Category: All categories

Region,bajra: (1/1/04 - 10/8/25)
Sikkim,100
Rajasthan,97
Haryana,91
Arunachal Pradesh,61
Andaman and Nicobar Islands,54
Punjab,53
Daman and Diu,51
Uttar Pradesh,51
Jharkhand,50
Goa,49
Uttarakhand,49
Dadra and Nagar Haveli,48
Chhattisgarh,47
Jammu and Kashmir,47
Karnataka,46
Telangana,46
Gujarat,41
Delhi,41
Madhya Pradesh,41
Odisha,40
Maharashtra,40
Puducherry,38
Andhra Pradesh,37
Himachal Pradesh,36
Tripura,35
Nagaland,33
Chandigarh,32
Bihar,28
Tamil Nadu,27
Assam,27
Meghalaya,25
West Bengal,24
Manipur,24
Kerala,21
Mizoram,18
Lakshadweep,
