state,district,year,soyabean_kharif_yield_tonne_per_hectare
,,2020 - 2021,0.94
,,2021 - 2022,1.23
,,2022 - 2023,1.1
,Leparada,2019 - 2020,2.0
,,2020 - 2021,1.86
,,2021 - 2022,1.22
,,2022 - 2023,1.5
,Lohit,2016 - 2017,0.76
,,2017 - 2018,0.1
,,2018 - 2019,0.1
,,2019 - 2020,0.1
,,2020 - 2021,0.19
,,2021 - 2022,1.48
,,2022 - 2023,1.12
,Longding,2016 - 2017,1.26
,,2017 - 2018,1.53
,,2018 - 2019,1.53
,,2019 - 2020,1.53
,,2020 - 2021,1.53
,,2021 - 2022,0.88
,,2022 - 2023,0.96
,Lower dibang valley,2016 - 2017,0.71
,,2017 - 2018,1.37
,,2018 - 2019,1.38
,,2019 - 2020,1.38
,,2020 - 2021,1.38
,,2021 - 2022,1.43
,,2022 - 2023,1.33
,Lower siang,2018 - 2019,2.37
,,2019 - 2020,2.37
,,2020 - 2021,2.41
,,2021 - 2022,1.31
,,2022 - 2023,1.24
,Lower subansiri,2016 - 2017,3.09
,,2017 - 2018,0.39
,,2018 - 2019,0.53
,,2019 - 2020,0.57
,,2020 - 2021,2.91
,,2021 - 2022,1.28
,,2022 - 2023,1.21
,Namsai,2016 - 2017,1.05
,,2017 - 2018,2.17
,,2018 - 2019,2.17
,,2019 - 2020,2.17
,,2020 - 2021,2.17
,,2021 - 2022,2.16
,,2022 - 2023,2.14
,Pakke kessang,2019 - 2020,1.03
,,2020 - 2021,1.04
,,2021 - 2022,1.24
,,2022 - 2023,1.73
,Papum pare,2016 - 2017,1.08
,,2017 - 2018,0.94
,,2018 - 2019,0.94
,,2019 - 2020,0.94
,,2020 - 2021,0.5
,,2021 - 2022,1.15
,,2022 - 2023,1.15
,Shi yomi,2019 - 2020,1.33
,,2020 - 2021,1.14
,,2021 - 2022,1.0
,,2022 - 2023,0.9
,Siang,2016 - 2017,2.94
,,2017 - 2018,5.37
,,2018 - 2019,5.37
,,2019 - 2020,5.37
,,2020 - 2021,5.5
,,2021 - 2022,1.35
,,2022 - 2023,1.25
,Tawang,2016 - 2017,1.78
,,2017 - 2018,1.46
,,2018 - 2019,1.47
,,2019 - 2020,1.46
,,2020 - 2021,1.51
,,2021 - 2022,1.51
,,2022 - 2023,1.52
,Tirap,2016 - 2017,2.69
,,2017 - 2018,1.48
,,2018 - 2019,1.48
,,2019 - 2020,1.48
,,2020 - 2021,1.48
,,2021 - 2022,1.2
,,2022 - 2023,1.3
,Upper siang,2021 - 2022,1.33
,,2022 - 2023,1.36
,Upper subansiri,2016 - 2017,2.11
,,2017 - 2018,0.65
,,2018 - 2019,0.61
,,2019 - 2020,0.62
,,2020 - 2021,0.65
,,2021 - 2022,0.94
,,2022 - 2023,1.09
,West kameng,2016 - 2017,1.62
,,2017 - 2018,0.99
,,2018 - 2019,0.99
,,2019 - 2020,0.99
,,2020 - 2021,1.04
,,2021 - 2022,1.17
,,2022 - 2023,1.34
,West siang,2016 - 2017,2.62
,,2017 - 2018,1.9
,,2018 - 2019,1.4
,,2019 - 2020,1.44
,,2020 - 2021,0.57
,,2021 - 2022,1.47
,,2022 - 2023,1.13
Bihar,Begusarai,2019 - 2020,0.76
,,2020 - 2021,0.46
,,2021 - 2022,0.76
,,2022 - 2023,0.91
,Khagaria,2019 - 2020,0.59
,,2020 - 2021,0.56
,,2021 - 2022,0.23
,,2022 - 2023,1.05
,Lakhisarai,2019 - 2020,0.75
,,2020 - 2021,0.47
,,2021 - 2022,0.78
,Samastipur,2019 - 2020,0.9
,,2020 - 2021,0.46
,,2021 - 2022,0.75
,,2022 - 2023,2.43
Chhattisgarh,Balod,2011 - 2012,0.74
,,2012 - 2013,1.13
,,2013 - 2014,0.84
,,2014 - 2015,0.58
,,2015 - 2016,0.39
,,2018 - 2019,0.0
,,2019 - 2020,0.85
,,2020 - 2021,0.66
,Baloda bazar,2011 - 2012,0.91
,,2012 - 2013,1.93
