state,district,year,soyabean_kharif_yield_tonne_per_hectare
,,2001 - 2002,1.61
,,2002 - 2003,1.43
,,2005 - 2006,1.63
,,2006 - 2007,1.67
,,2007 - 2008,1.7
,,2008 - 2009,1.68
,,2009 - 2010,0.89
,,2010 - 2011,1.67
,,2011 - 2012,1.67
,,2012 - 2013,1.67
,,2013 - 2014,1.56
,,2014 - 2015,1.56
,,2015 - 2016,2.8
,,2016 - 2017,1.75
,,2017 - 2018,2.8
,,2018 - 2019,1.6
,,2019 - 2020,1.6
,,2020 - 2021,0.75
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Sirmaur,2000 - 2001,0.25
,,2001 - 2002,0.34
,,2002 - 2003,1.47
,,2005 - 2006,1.63
,,2006 - 2007,1.68
,,2007 - 2008,1.69
,,2008 - 2009,1.66
,,2009 - 2010,0.71
,,2010 - 2011,1.41
,,2011 - 2012,1.41
,,2012 - 2013,1.44
,,2013 - 2014,1.12
,,2014 - 2015,1.44
,,2015 - 2016,1.44
,,2016 - 2017,1.38
,,2017 - 2018,1.5
,,2018 - 2019,1.6
,,2019 - 2020,1.73
,,2020 - 2021,0.98
,,2022 - 2023,0.98
,Solan,2000 - 2001,1.07
,,2001 - 2002,1.41
,,2002 - 2003,1.63
,,2005 - 2006,1.65
,,2006 - 2007,1.67
,,2007 - 2008,1.7
,,2008 - 2009,1.69
,,2009 - 2010,0.67
,,2010 - 2011,1.11
,,2011 - 2012,1.11
,,2012 - 2013,1.53
,,2013 - 2014,1.44
,,2014 - 2015,1.12
,,2015 - 2016,1.12
,,2016 - 2017,1.12
,,2017 - 2018,1.24
,,2018 - 2019,1.59
,,2019 - 2020,1.59
,,2020 - 2021,1.36
,,2021 - 2022,1.31
,,2022 - 2023,1.33
Jharkhand,Bokaro,2017 - 2018,0.82
,,2018 - 2019,1.2
,,2019 - 2020,1.6
,,2020 - 2021,1.6
,,2021 - 2022,1.59
,,2022 - 2023,1.59
,Chatra,2017 - 2018,0.83
,,2018 - 2019,0.85
,,2019 - 2020,1.82
,,2020 - 2021,1.82
,,2021 - 2022,1.84
,,2022 - 2023,1.82
,Deoghar,2017 - 2018,1.0
,,2018 - 2019,0.83
,,2020 - 2021,0.87
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Dumka,2017 - 2018,0.69
,,2018 - 2019,0.66
,,2019 - 2020,0.6
,,2020 - 2021,0.6
,East singhbum,2017 - 2018,0.65
,,2018 - 2019,0.48
,,2019 - 2020,0.45
,,2020 - 2021,0.79
,Garhwa,2018 - 2019,0.61
,,2020 - 2021,0.3
,,2022 - 2023,0.31
,Giridih,2017 - 2018,0.48
,,2018 - 2019,0.48
,,2019 - 2020,0.48
,,2020 - 2021,0.49
,,2021 - 2022,0.49
,,2022 - 2023,0.48
,Godda,2018 - 2019,0.95
,,2019 - 2020,0.94
,Hazaribagh,2018 - 2019,0.51
,Jamtara,2017 - 2018,1.33
,,2019 - 2020,0.0
,Khunti,2017 - 2018,0.91
,,2018 - 2019,0.8
,,2022 - 2023,0.45
,Koderma,2017 - 2018,0.8
,,2018 - 2019,1.17
,,2022 - 2023,0.49
,Latehar,2017 - 2018,1.11
,,2018 - 2019,1.11
,Lohardaga,2018 - 2019,0.85
,Pakur,2018 - 2019,0.43
,,2019 - 2020,0.65
,,2020 - 2021,0.65
,,2022 - 2023,0.65
,Palamu,2017 - 2018,0.98
,,2018 - 2019,0.83
,,2019 - 2020,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Ramgarh,2018 - 2019,0.51
,Ranchi,2018 - 2019,0.6
,,2019 - 2020,0.8
,,2020 - 2021,0.6
,,2021 - 2022,0.6
,,2022 - 2023,0.6
,Sahebganj,2017 - 2018,0.75
,,2018 - 2019,0.75
,Saraikela kharsawan,2018 - 2019,0.5
,,2019 - 2020,1.04
,,2020 - 2021,0.81
,,2021 - 2022,0.8
,,2022 - 2023,0.8
,Simdega,2017 - 2018,0.8
,,2018 - 2019,1.0
,,2022 - 2023,1.5
,West singhbhum,2018 - 2019,0.84
,,2019 - 2020,0.83
,,2022 - 2023,1.47
Karnataka,Bagalkot,2000 - 2001,1.0
,,2001 - 2002,0.74
,,2002 - 2003,0.54
,,2003 - 2004,0.44
,,2004 - 2005,0.56
,,2005 - 2006,0.76
,,2006 - 2007,0.95
,,2007 - 2008,1.35
,,2008 - 2009,1.01
,,2009 - 2010,0.58
,,2010 - 2011,0.86
,,2011 - 2012,0.87
,,2012 - 2013,0.79
,,2013 - 2014,1.2
,,2014 - 2015,0.96
,,2015 - 2016,1.09
,,2016 - 2017,1.0
,,2017 - 2018,1.17
,,2018 - 2019,1.23
,,2019 - 2020,0.72
,,2020 - 2021,1.25
,,2021 - 2022,1.21
,,2022 - 2023,1.15
,Bangalore rural,2000 - 2001,1.07
,,2019 - 2020,1.0
,,2020 - 2021,1.17
,,2021 - 2022,1.0
,,2022 - 2023,1.25
,Belgaum,2000 - 2001,1.08
,,2001 - 2002,0.84
,,2002 - 2003,0.86
,,2003 - 2004,0.44
,,2004 - 2005,0.61
,,2005 - 2006,0.55
,,2006 - 2007,0.77
,,2007 - 2008,0.86
,,2008 - 2009,0.67
,,2009 - 2010,0.51
,,2010 - 2011,0.82
,,2011 - 2012,1.01
,,2012 - 2013,0.67
,,2013 - 2014,0.74
,,2014 - 2015,0.91
,,2015 - 2016,0.34
,,2016 - 2017,1.07
,,2017 - 2018,1.23
,,2018 - 2019,1.26
,,2019 - 2020,1.0
,,2020 - 2021,1.03
,,2021 - 2022,0.98
,,2022 - 2023,1.01
,Bellary,2012 - 2013,1.04
,,2018 - 2019,1.0
,,2019 - 2020,1.12
,,2020 - 2021,1.19
,,2021 - 2022,1.15
,,2022 - 2023,1.18
,Bengaluru urban,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Bidar,2000 - 2001,1.05
,,2001 - 2002,0.83
,,2002 - 2003,0.83
,,2003 - 2004,0.48
,,2004 - 2005,0.63
,,2005 - 2006,0.68
,,2006 - 2007,0.84
,,2007 - 2008,1.03
,,2008 - 2009,0.67
,,2009 - 2010,0.24
,,2010 - 2011,0.97
,,2011 - 2012,1.08
,,2012 - 2013,1.49
,,2013 - 2014,1.6
,,2014 - 2015,0.57
,,2015 - 2016,0.65
,,2016 - 2017,0.37
,,2017 - 2018,1.82
,,2018 - 2019,0.82
,,2019 - 2020,1.18
,,2020 - 2021,1.33
,,2021 - 2022,1.34
,,2022 - 2023,1.34
,Bijapur,2000 - 2001,1.03
,,2004 - 2005,0.63
,,2005 - 2006,0.56
,,2006 - 2007,0.7
,,2007 - 2008,0.8
,,2009 - 2010,0.5
,,2018 - 2019,0.97
,,2019 - 2020,1.13
,,2020 - 2021,1.21
,,2021 - 2022,1.15
,,2022 - 2023,1.18
,Chamarajanagar,2000 - 2001,1.0
,,2008 - 2009,1.0
,,2018 - 2019,0.98
,,2019 - 2020,1.13
,,2020 - 2021,1.21
,,2021 - 2022,1.15
,,2022 - 2023,1.18
,Chikballapur,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.18
,,2021 - 2022,1.11
,,2022 - 2023,1.11
,Chikmagalur,2000 - 2001,1.04
,,2012 - 2013,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.13
,,2020 - 2021,1.21
,,2021 - 2022,1.17
,,2022 - 2023,1.17
,Chitradurga,2016 - 2017,0.75
,,2018 - 2019,1.0
,,2019 - 2020,1.13
,,2020 - 2021,1.14
,,2021 - 2022,1.16
,,2022 - 2023,1.18
,Davangere,2002 - 2003,0.75
,,2003 - 2004,0.5
,,2015 - 2016,1.0
,,2017 - 2018,1.53
,,2018 - 2019,1.0
,,2019 - 2020,1.17
,,2020 - 2021,1.2
,,2021 - 2022,1.15
,,2022 - 2023,1.18
,Dharwad,2000 - 2001,0.64
,,2001 - 2002,0.74
,,2002 - 2003,0.62
,,2003 - 2004,0.64
,,2004 - 2005,0.71
,,2005 - 2006,0.39
,,2006 - 2007,0.48
,,2007 - 2008,0.55
,,2008 - 2009,0.73
,,2009 - 2010,0.53
,,2010 - 2011,0.84
,,2011 - 2012,0.76
,,2012 - 2013,0.75
,,2013 - 2014,0.99
,,2014 - 2015,1.03
,,2015 - 2016,0.57
,,2016 - 2017,1.33
,,2017 - 2018,0.81
,,2018 - 2019,0.79
,,2019 - 2020,1.02
,,2020 - 2021,1.08
,,2021 - 2022,0.68
,,2022 - 2023,0.83
,Gadag,2004 - 2005,0.63
,,2005 - 2006,0.56
,,2006 - 2007,0.74
,,2007 - 2008,0.8
,,2008 - 2009,0.67
,,2009 - 2010,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.67
,,2017 - 2018,1.5
,,2018 - 2019,0.98
,,2019 - 2020,1.13
,,2020 - 2021,1.22
,,2021 - 2022,1.15
,,2022 - 2023,1.18
,Gulbarga,2000 - 2001,1.03
,,2001 - 2002,0.81
,,2002 - 2003,0.81
,,2003 - 2004,0.48
,,2004 - 2005,0.62
,,2005 - 2006,0.56
,,2006 - 2007,0.74
,,2007 - 2008,0.82
,,2008 - 2009,0.69
,,2009 - 2010,0.1
,,2010 - 2011,0.37
,,2011 - 2012,0.37
,,2012 - 2013,0.76
,,2013 - 2014,1.38
,,2014 - 2015,0.61
,,2015 - 2016,0.7
,,2016 - 2017,0.84
,,2017 - 2018,1.96
,,2018 - 2019,1.35
,,2019 - 2020,1.45
,,2020 - 2021,1.19
,,2021 - 2022,1.38
,,2022 - 2023,1.31
,Hassan,2000 - 2001,1.05
,,2001 - 2002,0.83
,,2002 - 2003,1.0
,,2003 - 2004,0.4
,,2004 - 2005,0.75
,,2018 - 2019,1.0
,,2019 - 2020,1.12
,,2020 - 2021,1.2
,,2021 - 2022,1.16
,,2022 - 2023,1.17
,Haveri,2000 - 2001,1.04
,,2001 - 2002,0.83
,,2002 - 2003,0.83
,,2003 - 2004,0.48
,,2004 - 2005,0.63
,,2005 - 2006,0.28
,,2006 - 2007,0.93
,,2007 - 2008,0.68
,,2008 - 2009,0.67
,,2009 - 2010,0.33
,,2010 - 2011,1.11
,,2011 - 2012,1.09
,,2012 - 2013,0.41
,,2013 - 2014,1.17
,,2014 - 2015,0.83
,,2015 - 2016,0.88
,,2016 - 2017,0.82
,,2017 - 2018,0.97
,,2018 - 2019,0.71
,,2019 - 2020,0.5
,,2020 - 2021,0.99
,,2021 - 2022,0.7
,,2022 - 2023,0.33
,Kolar,2018 - 2019,1.0
,,2019 - 2020,1.14
,,2020 - 2021,1.25
,,2022 - 2023,1.0
,Koppal,2018 - 2019,1.0
,,2019 - 2020,1.13
,,2020 - 2021,1.21
,,2021 - 2022,1.15
,,2022 - 2023,1.18
,Mandya,2000 - 2001,1.04
,,2001 - 2002,0.82
,,2002 - 2003,0.83
,,2003 - 2004,0.5
,,2004 - 2005,0.62
,,2005 - 2006,0.56
,,2006 - 2007,0.73
,,2007 - 2008,0.83
,,2010 - 2011,0.86
,,2011 - 2012,1.0
,,2016 - 2017,1.0
,,2018 - 2019,0.98
,,2019 - 2020,1.12
,,2020 - 2021,1.21
,,2021 - 2022,1.14
,,2022 - 2023,1.16
,Mysore,2000 - 2001,1.05
,,2001 - 2002,0.84
,,2004 - 2005,0.61
,,2005 - 2006,0.55
,,2006 - 2007,0.74
,,2007 - 2008,0.81
,,2008 - 2009,0.71
,,2018 - 2019,0.99
,,2019 - 2020,1.13
,,2020 - 2021,1.21
,,2021 - 2022,1.14
,,2022 - 2023,1.19
,Raichur,2018 - 2019,1.0
,,2019 - 2020,1.12
,,2020 - 2021,1.23
,,2021 - 2022,1.11
,,2022 - 2023,1.17
,Ramanagara,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.2
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Shimoga,2000 - 2001,1.04
,,2002 - 2003,1.0
,,2004 - 2005,0.6
,,2010 - 2011,0.87
,,2016 - 2017,1.0
,,2017 - 2018,1.5
,,2019 - 2020,1.0
,,2020 - 2021,1.19
,,2021 - 2022,1.15
,,2022 - 2023,1.11
,Tumkur,2000 - 2001,1.0
,,2001 - 2002,0.8
,,2003 - 2004,0.45
,,2004 - 2005,0.64
,,2005 - 2006,0.67
,,2006 - 2007,0.8
,,2007 - 2008,0.82
,,2008 - 2009,0.71
,,2009 - 2010,0.4
,,2010 - 2011,0.87
,,2011 - 2012,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.09
,,2020 - 2021,1.17
,,2021 - 2022,1.08
,,2022 - 2023,1.17
,Uttar kannad,2000 - 2001,1.0
,,2005 - 2006,0.56
,,2006 - 2007,0.74
,,2007 - 2008,0.82
,,2008 - 2009,0.68
,,2009 - 2010,0.44
,,2012 - 2013,1.0
,,2014 - 2015,0.75
,,2015 - 2016,0.5
,,2016 - 2017,0.75
,,2017 - 2018,1.57
,,2018 - 2019,1.0
,,2019 - 2020,1.11
,,2020 - 2021,1.2
,,2021 - 2022,1.15
,,2022 - 2023,1.18
,Vijayanagar,2022 - 2023,1.18
,Yadgir,2019 - 2020,1.0
,,2020 - 2021,1.2
,,2021 - 2022,1.0
,,2022 - 2023,1.16
Kerala,Palakkad,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
Madhya Pradesh,Agar malwa,2013 - 2014,0.59
,,2015 - 2016,0.76
,,2016 - 2017,1.29
,,2017 - 2018,1.3
,,2018 - 2019,0.84
,,2019 - 2020,0.7
,,2020 - 2021,0.54
,,2021 - 2022,0.61
,,2022 - 2023,0.81
,Alirajpur,2008 - 2009,0.76
,,2009 - 2010,
,,2010 - 2011,0.77
,,2011 - 2012,0.73
,,2012 - 2013,0.97
,,2013 - 2014,0.52
,,2014 - 2015,1.82
,,2015 - 2016,0.91
,,2016 - 2017,1.3
,,2017 - 2018,1.23
,,2018 - 2019,0.74
,,2019 - 2020,0.46
,,2020 - 2021,0.46
,,2021 - 2022,0.63
,,2022 - 2023,0.75
,Anuppur,2003 - 2004,0.5
,,2004 - 2005,0.45
,,2005 - 2006,0.5
,,2006 - 2007,0.49
,,2007 - 2008,0.33
,,2008 - 2009,0.55
,,2009 - 2010,
,,2010 - 2011,0.4
,,2011 - 2012,0.41
,,2012 - 2013,0.93
,,2013 - 2014,0.78
,,2014 - 2015,1.23
,,2015 - 2016,0.5
,,2016 - 2017,1.33
,,2017 - 2018,0.77
,,2018 - 2019,0.7
,,2019 - 2020,0.72
,,2020 - 2021,0.72
,,2021 - 2022,0.94
,,2022 - 2023,0.82
,Ashoknagar,2003 - 2004,0.96
,,2004 - 2005,0.87
,,2005 - 2006,1.03
,,2006 - 2007,0.99
,,2007 - 2008,1.07
,,2008 - 2009,1.11
,,2009 - 2010,
,,2010 - 2011,1.28
,,2011 - 2012,1.18
,,2012 - 2013,2.09
,,2013 - 2014,0.94
,,2014 - 2015,0.73
,,2015 - 2016,1.32
,,2016 - 2017,0.65
,,2017 - 2018,1.03
,,2018 - 2019,1.49
,,2019 - 2020,1.28
,,2020 - 2021,0.46
,,2021 - 2022,0.95
,,2022 - 2023,0.92
,Balaghat,2000 - 2001,1.19
,,2001 - 2002,1.27
,,2002 - 2003,1.2
,,2003 - 2004,1.44
,,2004 - 2005,1.3
,,2005 - 2006,1.45
,,2006 - 2007,1.24
,,2007 - 2008,1.09
,,2008 - 2009,1.19
,,2009 - 2010,
,,2010 - 2011,1.74
,,2011 - 2012,1.69
,,2012 - 2013,1.36
,,2013 - 2014,0.71
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,0.6
,,2022 - 2023,1.04
,Barwani,2000 - 2001,0.37
,,2001 - 2002,0.48
,,2002 - 2003,0.57
,,2003 - 2004,0.75
,,2004 - 2005,0.53
,,2005 - 2006,0.36
,,2006 - 2007,0.36
,,2007 - 2008,0.42
,,2008 - 2009,0.44
,,2009 - 2010,
,,2010 - 2011,0.29
,,2011 - 2012,0.35
,,2012 - 2013,2.05
,,2013 - 2014,1.05
,,2014 - 2015,1.33
,,2015 - 2016,1.09
,,2016 - 2017,1.42
,,2017 - 2018,1.4
,,2018 - 2019,1.15
,,2019 - 2020,0.98
,,2020 - 2021,0.63
,,2021 - 2022,1.13
,,2022 - 2023,1.25
,Betul,2000 - 2001,0.58
,,2001 - 2002,0.88
,,2002 - 2003,0.65
,,2003 - 2004,0.89
,,2004 - 2005,0.69
,,2005 - 2006,1.07
,,2006 - 2007,1.05
,,2007 - 2008,1.05
,,2008 - 2009,1.13
,,2009 - 2010,
,,2010 - 2011,1.1
,,2011 - 2012,1.27
,,2012 - 2013,1.85
,,2013 - 2014,0.63
,,2014 - 2015,2.06
,,2015 - 2016,0.49
,,2016 - 2017,1.33
,,2017 - 2018,1.34
,,2018 - 2019,0.64
,,2019 - 2020,0.39
,,2020 - 2021,0.39
,,2021 - 2022,0.56
,,2022 - 2023,1.02
,Bhind,2000 - 2001,0.51
,,2001 - 2002,0.82
,,2002 - 2003,0.75
,,2003 - 2004,0.87
,,2004 - 2005,0.78
,,2005 - 2006,0.82
,,2006 - 2007,0.57
,,2007 - 2008,0.54
,,2008 - 2009,0.5
,,2009 - 2010,
,,2010 - 2011,0.0
,,2011 - 2012,0.82
,,2012 - 2013,0.67
,,2013 - 2014,1.13
,,2014 - 2015,0.91
,,2015 - 2016,1.0
,,2017 - 2018,2.0
,,2018 - 2019,0.76
,,2019 - 2020,0.73
,,2020 - 2021,0.74
,,2021 - 2022,0.94
,,2022 - 2023,0.91
,Bhopal,2000 - 2001,1.2
,,2001 - 2002,0.99
,,2002 - 2003,0.92
,,2003 - 2004,1.06
,,2004 - 2005,0.99
,,2005 - 2006,1.16
,,2006 - 2007,1.03
,,2007 - 2008,1.25
,,2008 - 2009,1.33
,,2009 - 2010,
,,2010 - 2011,1.16
,,2011 - 2012,1.2
,,2012 - 2013,1.45
,,2013 - 2014,0.64
,,2014 - 2015,1.04
,,2015 - 2016,0.63
,,2016 - 2017,1.02
,,2017 - 2018,0.98
,,2018 - 2019,0.68
,,2019 - 2020,0.69
,,2020 - 2021,0.61
,,2021 - 2022,1.11
,,2022 - 2023,1.16
,Burhanpur,2003 - 2004,0.73
,,2004 - 2005,0.49
,,2005 - 2006,0.65
,,2006 - 2007,0.73
,,2007 - 2008,0.6
,,2008 - 2009,0.65
,,2009 - 2010,
,,2010 - 2011,0.52
,,2011 - 2012,0.55
,,2012 - 2013,0.97
,,2013 - 2014,1.43
,,2014 - 2015,0.63
,,2015 - 2016,0.53
,,2016 - 2017,1.5
,,2017 - 2018,1.67
,,2018 - 2019,1.13
,,2019 - 2020,0.94
,,2020 - 2021,0.54
,,2021 - 2022,0.98
,,2022 - 2023,1.11
,Chhatarpur,2000 - 2001,0.37
,,2001 - 2002,0.51
,,2002 - 2003,0.3
,,2003 - 2004,0.66
,,2004 - 2005,0.54
,,2005 - 2006,0.49
,,2006 - 2007,0.43
,,2007 - 2008,0.29
,,2008 - 2009,0.64
,,2009 - 2010,
,,2010 - 2011,0.41
,,2011 - 2012,0.42
,,2012 - 2013,0.84
,,2013 - 2014,0.6
,,2014 - 2015,1.44
,,2015 - 2016,1.02
,,2016 - 2017,1.07
,,2017 - 2018,0.85
,,2018 - 2019,1.32
,,2019 - 2020,0.44
,,2020 - 2021,0.52
,,2021 - 2022,1.04
,,2022 - 2023,1.4
,Chhindwara,2000 - 2001,0.82
,,2001 - 2002,0.75
,,2002 - 2003,0.74
,,2003 - 2004,1.45
,,2004 - 2005,0.84
,,2005 - 2006,0.89
,,2006 - 2007,1.37
,,2007 - 2008,1.5
,,2008 - 2009,1.19
,,2009 - 2010,
,,2010 - 2011,1.99
,,2011 - 2012,1.8
,,2012 - 2013,2.49
,,2013 - 2014,0.77
,,2014 - 2015,1.17
,,2015 - 2016,0.89
,,2016 - 2017,1.32
,,2017 - 2018,1.78
,,2018 - 2019,0.9
,,2019 - 2020,1.21
,,2020 - 2021,0.97
,,2021 - 2022,1.49
,,2022 - 2023,1.5
,Damoh,2000 - 2001,0.52
,,2001 - 2002,0.78
,,2002 - 2003,0.46
,,2003 - 2004,1.01
,,2004 - 2005,0.95
,,2005 - 2006,1.03
,,2006 - 2007,0.84
,,2007 - 2008,0.57
,,2008 - 2009,1.18
,,2009 - 2010,
,,2010 - 2011,1.46
,,2011 - 2012,1.29
,,2012 - 2013,1.26
,,2013 - 2014,0.5
,,2014 - 2015,1.18
,,2015 - 2016,1.31
,,2016 - 2017,0.86
,,2017 - 2018,1.35
,,2018 - 2019,0.93
,,2019 - 2020,0.67
,,2020 - 2021,0.61
,,2021 - 2022,0.96
,,2022 - 2023,0.95
,Datia,2000 - 2001,0.74
,,2001 - 2002,1.03
,,2002 - 2003,0.59
,,2003 - 2004,0.87
,,2004 - 2005,0.68
,,2005 - 2006,0.88
,,2006 - 2007,0.81
,,2007 - 2008,0.45
,,2008 - 2009,0.66
,,2009 - 2010,
,,2010 - 2011,0.58
,,2011 - 2012,0.65
,,2012 - 2013,0.91
,,2013 - 2014,0.82
,,2014 - 2015,1.27
,,2015 - 2016,0.78
,,2016 - 2017,0.57
,,2017 - 2018,0.85
,,2018 - 2019,0.77
,,2019 - 2020,0.77
,,2020 - 2021,0.67
,,2021 - 2022,0.62
,,2022 - 2023,0.71
,Dewas,2000 - 2001,1.01
,,2001 - 2002,1.16
,,2002 - 2003,0.99
,,2003 - 2004,1.42
,,2004 - 2005,1.05
,,2005 - 2006,1.29
,,2006 - 2007,1.19
,,2007 - 2008,1.2
,,2008 - 2009,1.21
,,2009 - 2010,
,,2010 - 2011,1.25
,,2011 - 2012,1.29
,,2012 - 2013,1.6
,,2013 - 2014,0.76
,,2014 - 2015,0.68
,,2015 - 2016,0.62
,,2016 - 2017,1.48
,,2017 - 2018,1.02
,,2018 - 2019,1.23
,,2019 - 2020,0.66
,,2020 - 2021,0.54
,,2021 - 2022,1.05
,,2022 - 2023,1.02
,Dhar,2000 - 2001,0.86
,,2001 - 2002,0.87
,,2002 - 2003,0.85
,,2003 - 2004,1.16
,,2004 - 2005,0.91
,,2005 - 2006,1.27
,,2006 - 2007,1.26
,,2007 - 2008,1.32
,,2008 - 2009,1.44
,,2009 - 2010,
,,2010 - 2011,1.32
,,2011 - 2012,1.31
,,2012 - 2013,1.59
,,2013 - 2014,1.48
,,2014 - 2015,0.9
,,2015 - 2016,1.31
,,2016 - 2017,1.6
,,2017 - 2018,1.29
,,2018 - 2019,1.49
,,2019 - 2020,0.98
,,2020 - 2021,0.63
,,2021 - 2022,1.61
,,2022 - 2023,1.61
,Dindori,2000 - 2001,0.48
,,2001 - 2002,0.77
,,2002 - 2003,0.66
,,2003 - 2004,0.78
,,2004 - 2005,0.78
,,2005 - 2006,0.52
,,2006 - 2007,0.59
,,2007 - 2008,0.64
,,2008 - 2009,0.65
,,2009 - 2010,
,,2010 - 2011,0.8
,,2011 - 2012,0.56
,,2012 - 2013,0.6
,,2013 - 2014,0.8
,,2014 - 2015,1.1
,,2015 - 2016,1.1
,,2016 - 2017,1.3
,,2017 - 2018,1.15
,,2018 - 2019,0.8
,,2019 - 2020,0.65
,,2020 - 2021,0.65
,,2021 - 2022,0.71
,,2022 - 2023,0.86
,Guna,2000 - 2001,0.98
,,2001 - 2002,0.95
,,2002 - 2003,0.33
,,2003 - 2004,1.06
,,2004 - 2005,0.79
,,2005 - 2006,1.08
,,2006 - 2007,0.98
,,2007 - 2008,1.16
,,2008 - 2009,1.04
,,2009 - 2010,
,,2010 - 2011,1.19
,,2011 - 2012,1.4
,,2012 - 2013,1.28
,,2013 - 2014,0.6
,,2014 - 2015,1.59
,,2015 - 2016,0.61
,,2016 - 2017,0.82
,,2017 - 2018,0.82
,,2018 - 2019,1.1
,,2019 - 2020,0.52
,,2020 - 2021,0.42
,,2021 - 2022,0.39
,,2022 - 2023,1.04
,Gwalior,2000 - 2001,2.25
,,2001 - 2002,2.02
,,2002 - 2003,1.02
,,2003 - 2004,2.14
,,2004 - 2005,2.09
,,2005 - 2006,2.16
,,2006 - 2007,1.47
,,2007 - 2008,1.7
,,2008 - 2009,1.9
,,2009 - 2010,
,,2010 - 2011,1.5
,,2011 - 2012,1.73
,,2012 - 2013,1.79
,,2013 - 2014,1.38
,,2014 - 2015,0.71
,,2015 - 2016,1.25
,,2016 - 2017,1.0
,,2017 - 2018,1.54
,,2018 - 2019,1.17
,,2019 - 2020,1.02
,,2020 - 2021,0.6
,,2021 - 2022,1.11
,,2022 - 2023,1.41
,Harda,2000 - 2001,0.96
,,2001 - 2002,1.2
,,2002 - 2003,0.83
,,2003 - 2004,1.33
,,2004 - 2005,0.41
,,2005 - 2006,1.81
,,2006 - 2007,1.66
,,2007 - 2008,1.4
,,2008 - 2009,1.26
,,2009 - 2010,
,,2010 - 2011,1.38
,,2011 - 2012,1.44
,,2012 - 2013,1.21
,,2013 - 2014,0.27
,,2014 - 2015,1.35
,,2015 - 2016,0.54
,,2016 - 2017,1.52
,,2017 - 2018,0.75
,,2018 - 2019,0.99
,,2019 - 2020,0.55
,,2020 - 2021,0.55
,,2021 - 2022,1.09
,,2022 - 2023,1.07
,Hoshangabad,2000 - 2001,0.99
,,2001 - 2002,1.02
,,2002 - 2003,0.64
,,2003 - 2004,1.03
,,2004 - 2005,0.54
,,2005 - 2006,1.05
,,2006 - 2007,1.22
,,2007 - 2008,1.09
,,2008 - 2009,0.85
,,2009 - 2010,
,,2010 - 2011,0.64
,,2011 - 2012,0.64
,,2012 - 2013,0.86
,,2013 - 2014,0.1
,,2014 - 2015,1.65
,,2015 - 2016,0.46
,,2016 - 2017,1.16
,,2017 - 2018,0.61
,,2018 - 2019,1.03
,,2019 - 2020,0.66
,,2020 - 2021,0.58
,,2021 - 2022,1.07
,,2022 - 2023,1.06
,Indore,2000 - 2001,1.03
,,2001 - 2002,0.98
,,2002 - 2003,0.76
,,2003 - 2004,1.08
,,2004 - 2005,1.08
,,2005 - 2006,1.13
,,2006 - 2007,1.23
,,2007 - 2008,1.4
,,2008 - 2009,1.52
,,2009 - 2010,
,,2010 - 2011,1.14
,,2011 - 2012,1.16
,,2012 - 2013,1.45
,,2013 - 2014,1.01
,,2014 - 2015,1.06
,,2015 - 2016,0.76
,,2016 - 2017,1.59
,,2017 - 2018,0.91
,,2018 - 2019,1.49
,,2019 - 2020,1.5
,,2020 - 2021,1.26
,,2021 - 2022,1.02
,,2022 - 2023,1.24
,Jabalpur,2000 - 2001,0.75
,,2001 - 2002,0.94
,,2002 - 2003,0.74
,,2003 - 2004,1.32
,,2004 - 2005,1.37
,,2005 - 2006,0.89
,,2006 - 2007,0.97
,,2007 - 2008,0.63
,,2008 - 2009,1.24
,,2009 - 2010,
,,2010 - 2011,1.19
,,2011 - 2012,0.96
,,2012 - 2013,1.34
,,2013 - 2014,0.28
,,2014 - 2015,1.19
,,2015 - 2016,0.67
,,2016 - 2017,1.0
,,2017 - 2018,0.48
,,2018 - 2019,0.91
,,2019 - 2020,0.92
,,2020 - 2021,0.84
,,2021 - 2022,0.93
,,2022 - 2023,0.93
,Jhabua,2000 - 2001,0.33
,,2001 - 2002,0.49
,,2002 - 2003,0.54
,,2003 - 2004,0.84
,,2004 - 2005,0.58
,,2005 - 2006,0.64
,,2006 - 2007,0.72
,,2007 - 2008,0.72
,,2008 - 2009,0.76
,,2009 - 2010,
,,2010 - 2011,0.71
,,2011 - 2012,0.68
,,2012 - 2013,0.99
,,2013 - 2014,0.78
,,2014 - 2015,0.84
,,2015 - 2016,1.44
,,2016 - 2017,1.61
,,2017 - 2018,1.43
,,2018 - 2019,0.86
,,2019 - 2020,0.76
,,2020 - 2021,0.6
,,2021 - 2022,0.77
,,2022 - 2023,0.82
,Katni,2000 - 2001,0.49
