state,district,year,horse_gram_kharif_yield_tonne_per_hectare
,,2003 - 2004,0.38
,,2004 - 2005,
,,2005 - 2006,0.4
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.5
,,2014 - 2015,
,,2015 - 2016,0.3
,,2016 - 2017,
,,2017 - 2018,0.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.33
,,2022 - 2023,0.5
,Nandyal,2022 - 2023,0.5
,Palnadu,2022 - 2023,0.3
,Parvathipuram manyam,2022 - 2023,0.2
,Prakasam,2000 - 2001,0.53
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,0.36
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,0.67
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,0.14
,,2017 - 2018,0.41
,,2018 - 2019,
,,2019 - 2020,0.0
,,2020 - 2021,0.0
,,2021 - 2022,0.25
,,2022 - 2023,0.3
,Spsr nellore,2000 - 2001,0.5
,,2001 - 2002,
,,2002 - 2003,0.5
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,0.5
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,0.5
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.0
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sri sathya sai,2022 - 2023,0.34
,Srikakulam,2000 - 2001,1.0
,,2001 - 2002,
,,2002 - 2003,0.5
,,2003 - 2004,0.25
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,0.0
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,0.2
,Tirupati,2022 - 2023,0.67
,Visakhapatanam,2000 - 2001,0.51
,,2001 - 2002,0.43
,,2002 - 2003,0.49
,,2003 - 2004,0.36
,,2004 - 2005,0.44
,,2005 - 2006,0.38
,,2006 - 2007,0.44
,,2007 - 2008,
,,2008 - 2009,0.56
,,2009 - 2010,0.67
,,2010 - 2011,0.48
,,2011 - 2012,0.54
,,2012 - 2013,
,,2013 - 2014,0.59
,,2014 - 2015,
,,2015 - 2016,0.25
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.33
,,2022 - 2023,
,Vizianagaram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West godavari,2000 - 2001,0.5
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,0.39
,,2006 - 2007,0.43
,,2008 - 2009,
,,2009 - 2010,0.67
,,2010 - 2011,0.47
,,2011 - 2012,
,,2013 - 2014,0.55
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.0
,,2021 - 2022,0.27
,,2022 - 2023,
Bihar,Araria,2000 - 2001,0.99
,,2001 - 2002,1.01
,,2002 - 2003,0.8
,,2003 - 2004,0.74
,,2004 - 2005,0.88
,,2005 - 2006,0.89
,,2009 - 2010,0.96
,,2010 - 2011,0.94
,,2011 - 2012,0.95
,,2012 - 2013,0.97
,,2013 - 2014,0.95
,,2014 - 2015,0.96
,,2015 - 2016,0.96
,,2016 - 2017,0.94
,Arwal,2003 - 2004,0.75
,,2004 - 2005,0.81
,,2005 - 2006,0.87
,,2011 - 2012,0.94
,,2012 - 2013,0.94
,,2018 - 2019,0.92
,,2019 - 2020,0.93
,,2020 - 2021,1.0
,,2021 - 2022,0.9
,,2022 - 2023,1.0
,Aurangabad,2000 - 2001,0.75
,,2001 - 2002,0.82
,,2002 - 2003,0.79
,,2003 - 2004,0.72
,,2005 - 2006,0.85
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,Banka,2000 - 2001,0.77
,,2001 - 2002,0.8
,,2002 - 2003,0.8
,,2003 - 2004,0.74
,,2004 - 2005,0.74
,,2005 - 2006,0.86
,,2009 - 2010,0.96
,,2010 - 2011,0.94
,,2011 - 2012,0.95
,,2012 - 2013,0.97
,,2013 - 2014,0.95
,,2014 - 2015,0.96
,,2015 - 2016,0.96
,,2016 - 2017,0.94
,,2017 - 2018,0.95
,,2018 - 2019,0.92
,,2019 - 2020,0.94
,,2020 - 2021,0.94
,,2021 - 2022,0.93
,,2022 - 2023,0.92
,Begusarai,2000 - 2001,0.77
,,2001 - 2002,0.8
,,2002 - 2003,0.8
,,2003 - 2004,0.74
,,2005 - 2006,0.86
,,2009 - 2010,0.96
,,2010 - 2011,0.94
,,2011 - 2012,0.95
,,2012 - 2013,0.97
,,2013 - 2014,0.95
,,2014 - 2015,0.96
,,2015 - 2016,0.87
,,2016 - 2017,0.87
,,2017 - 2018,0.89
,,2018 - 2019,0.88
,,2019 - 2020,0.88
,,2020 - 2021,0.88
,,2021 - 2022,0.69
,,2022 - 2023,0.67
,Bhagalpur,2000 - 2001,0.77
,,2001 - 2002,0.8
,,2002 - 2003,0.8
,,2003 - 2004,0.74
,,2004 - 2005,0.74
,,2005 - 2006,0.86
,,2009 - 2010,0.96
,,2010 - 2011,0.94
,,2011 - 2012,0.95
,,2012 - 2013,0.97
,,2013 - 2014,0.95
,,2014 - 2015,0.96
,,2015 - 2016,0.96
,,2016 - 2017,0.94
,,2017 - 2018,0.95
,,2018 - 2019,0.92
,,2019 - 2020,0.94
,,2020 - 2021,0.94
,,2021 - 2022,0.93
,,2022 - 2023,0.92
,Bhojpur,2004 - 2005,0.8
,,2009 - 2010,1.0
,,2010 - 2011,0.9
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,0.89
,Buxar,2016 - 2017,1.0
,Darbhanga,2000 - 2001,0.68
,,2001 - 2002,0.74
,,2002 - 2003,0.8
,,2003 - 2004,0.75
,,2004 - 2005,0.5
,,2005 - 2006,0.64
,,2009 - 2010,1.0
,Gaya,2000 - 2001,0.77
,,2001 - 2002,0.8
,,2002 - 2003,0.8
,,2003 - 2004,0.74
,,2004 - 2005,0.81
,,2005 - 2006,0.86
,,2009 - 2010,0.96
,,2010 - 2011,0.94
,,2011 - 2012,0.95
,,2012 - 2013,0.97
,,2013 - 2014,0.95
,,2014 - 2015,0.96
,,2015 - 2016,0.93
,,2016 - 2017,0.92
,,2017 - 2018,0.92
,,2018 - 2019,0.92
,,2019 - 2020,0.92
,,2020 - 2021,0.92
,,2021 - 2022,0.92
,,2022 - 2023,0.99
,Jamui,2000 - 2001,0.77
,,2001 - 2002,0.8
,,2003 - 2004,0.74
,,2004 - 2005,0.81
,,2005 - 2006,0.86
,,2009 - 2010,0.96
,,2010 - 2011,0.94
,,2011 - 2012,0.95
,,2012 - 2013,0.97
,,2013 - 2014,0.95
,,2014 - 2015,0.96
,,2015 - 2016,0.87
,,2016 - 2017,0.86
,,2017 - 2018,0.88
,,2018 - 2019,0.85
,,2019 - 2020,0.87
,,2020 - 2021,0.87
,,2021 - 2022,0.91
,,2022 - 2023,0.89
,Jehanabad,2000 - 2001,0.78
,,2001 - 2002,0.8
,,2005 - 2006,0.9
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,Kaimur (bhabua),2002 - 2003,0.67
,,2005 - 2006,0.9
,Katihar,2000 - 2001,0.89
,,2001 - 2002,0.96
,,2002 - 2003,0.8
,,2003 - 2004,0.74
,,2004 - 2005,0.88
,,2005 - 2006,0.89
,,2009 - 2010,0.96
,,2010 - 2011,0.94
,,2011 - 2012,0.95
,,2012 - 2013,0.97
,,2013 - 2014,0.95
,,2014 - 2015,0.96
,,2015 - 2016,0.96
,,2016 - 2017,0.94
,,2017 - 2018,0.88
,,2018 - 2019,0.94
,,2019 - 2020,0.94
,,2020 - 2021,0.94
,,2021 - 2022,0.94
,,2022 - 2023,0.92
,Khagaria,2000 - 2001,0.77
,,2001 - 2002,0.8
,,2002 - 2003,0.8
,,2003 - 2004,0.74
,,2004 - 2005,0.81
,,2005 - 2006,0.86
,,2009 - 2010,0.96
,,2010 - 2011,0.95
,,2011 - 2012,0.95
,,2012 - 2013,0.97
,,2013 - 2014,0.95
,,2014 - 2015,0.96
,,2015 - 2016,0.87
,,2016 - 2017,0.86
,,2017 - 2018,0.89
,,2018 - 2019,0.85
,,2019 - 2020,0.87
,,2020 - 2021,0.87
,,2021 - 2022,1.03
,,2022 - 2023,1.03
,Kishanganj,2000 - 2001,0.74
,,2001 - 2002,0.87
,,2002 - 2003,0.8
,,2003 - 2004,0.74
,,2004 - 2005,0.8
,,2005 - 2006,0.89
,,2009 - 2010,0.96
,,2010 - 2011,0.94
,,2011 - 2012,0.95
,,2012 - 2013,0.97
,,2013 - 2014,0.95
,,2014 - 2015,0.96
,,2015 - 2016,0.96
,,2016 - 2017,0.94
,,2017 - 2018,0.93
,Lakhisarai,2000 - 2001,0.75
,,2002 - 2003,0.8
,,2003 - 2004,0.74
,,2005 - 2006,0.86
,,2022 - 2023,1.0
,Madhepura,2000 - 2001,0.49
,,2001 - 2002,0.49
,,2002 - 2003,0.8
,,2004 - 2005,0.81
,,2005 - 2006,0.86
,,2009 - 2010,0.96
,,2010 - 2011,0.94
,,2011 - 2012,0.95
,,2012 - 2013,0.97
,,2013 - 2014,0.95
,,2014 - 2015,0.96
,,2015 - 2016,0.93
,,2016 - 2017,0.92
,,2017 - 2018,0.92
,,2018 - 2019,0.92
,,2019 - 2020,0.92
,,2020 - 2021,0.92
,,2021 - 2022,0.91
,,2022 - 2023,0.89
,Madhubani,2000 - 2001,0.66
,,2001 - 2002,0.74
,,2002 - 2003,0.8
,,2003 - 2004,0.74
,,2004 - 2005,0.49
,,2005 - 2006,0.62
,,2009 - 2010,0.96
,,2010 - 2011,0.94
,,2011 - 2012,0.95
,,2012 - 2013,0.97
,,2013 - 2014,0.95
,,2014 - 2015,0.96
,,2015 - 2016,0.93
,,2016 - 2017,0.92
,,2017 - 2018,0.93
,,2018 - 2019,0.92
,,2019 - 2020,0.92
,,2020 - 2021,0.93
,,2021 - 2022,0.93
,,2022 - 2023,0.92
,Munger,2000 - 2001,0.77
,,2001 - 2002,0.8
,,2002 - 2003,0.79
,,2003 - 2004,0.74
,,2004 - 2005,0.81
,,2005 - 2006,0.86
,,2009 - 2010,0.96
,,2010 - 2011,0.94
,,2011 - 2012,0.95
,,2012 - 2013,0.97
,,2013 - 2014,0.95
,,2014 - 2015,0.96
,,2015 - 2016,0.87
,,2016 - 2017,0.87
,,2017 - 2018,0.88
,,2018 - 2019,0.87
,,2019 - 2020,0.88
,,2020 - 2021,0.88
,,2021 - 2022,0.92
,,2022 - 2023,0.91
,Nalanda,2003 - 2004,0.8
,Nawada,2000 - 2001,0.77
,,2001 - 2002,0.8
,,2002 - 2003,0.8
,,2003 - 2004,0.74
,,2004 - 2005,0.81
,,2005 - 2006,0.86
,,2009 - 2010,0.96
,,2010 - 2011,0.94
,,2011 - 2012,0.95
,,2012 - 2013,0.97
,,2013 - 2014,0.95
,,2014 - 2015,0.96
,,2015 - 2016,0.93
,,2016 - 2017,0.92
,,2017 - 2018,0.92
,,2018 - 2019,0.92
,,2019 - 2020,0.92
,,2020 - 2021,0.92
,,2021 - 2022,0.92
,,2022 - 2023,0.99
,Pashchim champaran,2011 - 2012,0.96
,,2012 - 2013,0.98
,,2013 - 2014,0.95
,,2014 - 2015,0.97
,,2015 - 2016,0.94
,,2016 - 2017,0.93
,Purnia,2000 - 2001,0.92
,,2001 - 2002,0.99
,,2002 - 2003,0.8
,,2003 - 2004,0.74
,,2004 - 2005,0.99
,,2005 - 2006,0.89
,,2009 - 2010,0.96
,,2010 - 2011,0.94
,,2011 - 2012,0.95
,,2012 - 2013,0.97
,,2013 - 2014,0.95
,,2014 - 2015,0.96
,,2015 - 2016,0.96
,,2016 - 2017,0.94
,,2017 - 2018,0.93
,,2018 - 2019,0.94
,,2019 - 2020,0.93
,,2020 - 2021,0.93
,,2021 - 2022,0.94
,,2022 - 2023,0.93
,Rohtas,2000 - 2001,0.77
,,2001 - 2002,0.8
,,2002 - 2003,0.8
,,2003 - 2004,0.74
,,2004 - 2005,0.81
,,2005 - 2006,0.89
,,2009 - 2010,0.97
,,2010 - 2011,0.95
,,2011 - 2012,0.95
,,2012 - 2013,0.97
,,2013 - 2014,0.95
,Saharsa,2000 - 2001,0.49
,,2001 - 2002,0.49
,,2002 - 2003,0.8
,,2003 - 2004,0.74
,,2004 - 2005,0.81
,,2005 - 2006,0.86
,,2009 - 2010,0.96
,,2010 - 2011,0.94
,,2011 - 2012,0.95
,,2012 - 2013,0.97
,,2013 - 2014,0.95
,,2014 - 2015,0.96
,,2015 - 2016,0.93
,,2016 - 2017,0.92
,,2017 - 2018,0.93
,,2019 - 2020,0.92
,,2020 - 2021,0.92
,,2021 - 2022,0.91
,,2022 - 2023,0.89
,Samastipur,2000 - 2001,0.86
,,2002 - 2003,0.75
,,2003 - 2004,0.75
,,2004 - 2005,0.67
,,2005 - 2006,0.67
,,2012 - 2013,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Sheikhpura,2012 - 2013,0.96
,Sitamarhi,2000 - 2001,0.79
,,2001 - 2002,0.82
,,2002 - 2003,0.8
,,2003 - 2004,0.74
,Siwan,2009 - 2010,1.0
,Supaul,2000 - 2001,0.49
,,2001 - 2002,0.49
,,2002 - 2003,0.8
,,2003 - 2004,0.74
,,2004 - 2005,0.81
,,2005 - 2006,0.86
,,2009 - 2010,0.96
,,2010 - 2011,0.94
,,2011 - 2012,0.95
,,2012 - 2013,0.97
,,2013 - 2014,0.95
,,2014 - 2015,0.96
,,2015 - 2016,0.93
,,2016 - 2017,0.92
,,2017 - 2018,0.92
,,2018 - 2019,0.92
,,2019 - 2020,0.92
,,2020 - 2021,0.92
,,2021 - 2022,0.91
,,2022 - 2023,0.89
Chhattisgarh,Balod,2011 - 2012,0.35
,,2012 - 2013,0.33
,,2013 - 2014,0.34
,,2014 - 2015,0.31
,,2015 - 2016,0.36
,,2016 - 2017,0.48
,,2017 - 2018,0.46
,,2018 - 2019,0.45
,,2019 - 2020,0.46
,,2020 - 2021,0.44
,,2021 - 2022,0.5
,,2022 - 2023,0.49
,Baloda bazar,2011 - 2012,0.34
,,2012 - 2013,0.34
,,2013 - 2014,0.38
,,2014 - 2015,0.34
,,2015 - 2016,0.51
,,2016 - 2017,0.42
,,2017 - 2018,0.43
,,2018 - 2019,0.44
,,2019 - 2020,0.5
,,2020 - 2021,0.41
,,2021 - 2022,0.43
,,2022 - 2023,1.0
,Balrampur,2011 - 2012,0.24
,,2012 - 2013,0.28
,,2013 - 2014,0.2
,,2014 - 2015,0.28
,,2015 - 2016,0.62
,,2016 - 2017,0.65
,,2017 - 2018,0.6
,,2018 - 2019,0.6
,,2019 - 2020,0.6
,,2020 - 2021,0.64
,,2021 - 2022,0.64
,,2022 - 2023,0.64
,Bastar,2000 - 2001,0.39
,,2001 - 2002,0.41
,,2002 - 2003,0.24
,,2003 - 2004,0.38
,,2004 - 2005,0.35
,,2005 - 2006,0.36
,,2006 - 2007,0.45
,,2007 - 2008,0.4
,,2008 - 2009,0.35
,,2009 - 2010,0.3
,,2010 - 2011,0.37
,,2011 - 2012,0.37
,,2012 - 2013,0.37
,,2013 - 2014,0.37
,,2014 - 2015,0.37
,,2015 - 2016,0.3
,,2016 - 2017,0.32
,,2017 - 2018,0.44
,,2018 - 2019,0.43
,,2019 - 2020,0.35
,,2020 - 2021,0.34
,,2021 - 2022,0.31
,,2022 - 2023,0.34
,Bemetara,2012 - 2013,0.5
,,2014 - 2015,
,,2015 - 2016,
,,2020 - 2021,
,,2021 - 2022,
,Bijapur,2006 - 2007,0.0
,,2007 - 2008,0.31
,,2008 - 2009,0.22
,,2009 - 2010,0.25
,,2010 - 2011,0.32
,,2011 - 2012,0.3
,,2012 - 2013,0.43
,,2013 - 2014,0.39
,,2014 - 2015,0.3
,,2015 - 2016,0.29
,,2016 - 2017,0.43
,,2017 - 2018,0.43
,,2018 - 2019,0.43
,,2019 - 2020,0.42
,,2020 - 2021,0.41
,,2021 - 2022,0.43
,,2022 - 2023,0.37
,Bilaspur,2000 - 2001,0.21
,,2001 - 2002,0.29
,,2002 - 2003,0.25
,,2003 - 2004,0.29
,,2004 - 2005,0.27
,,2005 - 2006,0.3
,,2006 - 2007,0.32
,,2007 - 2008,0.33
,,2008 - 2009,0.3
,,2009 - 2010,0.33
,,2010 - 2011,0.32
,,2011 - 2012,0.33
,,2012 - 2013,0.34
,,2013 - 2014,0.35
,,2014 - 2015,0.35
,,2015 - 2016,0.42
,,2016 - 2017,0.38
,,2017 - 2018,0.38
,,2018 - 2019,0.38
,,2019 - 2020,0.38
,,2020 - 2021,0.36
,,2021 - 2022,0.38
,,2022 - 2023,0.38
,Dantewada,2000 - 2001,0.32
,,2001 - 2002,0.34
,,2002 - 2003,0.25
,,2003 - 2004,0.36
,,2004 - 2005,0.26
,,2005 - 2006,0.31
,,2006 - 2007,0.38
,,2007 - 2008,0.34
,,2008 - 2009,0.3
,,2009 - 2010,0.25
,,2010 - 2011,0.32
,,2011 - 2012,0.29
,,2012 - 2013,0.43
,,2013 - 2014,0.39
,,2014 - 2015,0.37
,,2015 - 2016,0.27
,,2016 - 2017,0.4
,,2017 - 2018,0.25
,,2018 - 2019,0.29
,,2019 - 2020,0.35
,,2020 - 2021,0.39
,,2021 - 2022,0.36
,,2022 - 2023,0.36
,Dhamtari,2000 - 2001,0.3
,,2001 - 2002,0.36
,,2002 - 2003,0.25
,,2003 - 2004,0.34
,,2004 - 2005,0.34
,,2005 - 2006,0.34
,,2006 - 2007,0.34
,,2007 - 2008,0.34
,,2008 - 2009,0.34
,,2009 - 2010,0.34
,,2010 - 2011,0.34
,,2011 - 2012,0.34
,,2012 - 2013,0.34
,,2013 - 2014,0.34
,,2014 - 2015,0.33
,,2015 - 2016,0.32
,,2016 - 2017,0.36
,,2017 - 2018,0.27
,,2018 - 2019,0.29
,,2019 - 2020,0.35
,,2020 - 2021,0.38
,,2021 - 2022,0.39
,,2022 - 2023,0.42
,Durg,2000 - 2001,0.26
,,2001 - 2002,0.32
,,2002 - 2003,0.29
,,2003 - 2004,0.35
,,2004 - 2005,0.33
,,2005 - 2006,0.34
,,2006 - 2007,0.38
,,2007 - 2008,0.34
,,2008 - 2009,0.31
,,2009 - 2010,0.29
,,2010 - 2011,0.36
,,2011 - 2012,
,,2012 - 2013,0.25
,,2013 - 2014,0.25
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.33
,,2020 - 2021,0.0
,Gariyaband,2011 - 2012,0.34
,,2012 - 2013,0.34
,,2013 - 2014,0.3
,,2014 - 2015,0.34
,,2015 - 2016,0.39
,,2016 - 2017,0.38
,,2017 - 2018,0.31
,,2018 - 2019,0.41
,,2019 - 2020,0.38
,,2020 - 2021,0.37
,,2021 - 2022,0.39
,,2022 - 2023,0.38
,Gaurella-pendra-marwahi,2019 - 2020,0.38
,,2020 - 2021,0.42
,,2021 - 2022,0.41
,,2022 - 2023,0.41
,Janjgir-champa,2000 - 2001,0.33
,,2001 - 2002,0.35
,,2002 - 2003,0.3
,,2003 - 2004,0.35
,,2004 - 2005,0.33
,,2005 - 2006,3.1
,,2006 - 2007,0.3
,,2007 - 2008,0.35
,,2008 - 2009,0.32
,,2009 - 2010,0.33
,,2010 - 2011,0.37
,,2011 - 2012,0.36
,,2012 - 2013,0.33
,,2013 - 2014,0.33
,,2014 - 2015,0.32
,,2015 - 2016,0.66
,,2016 - 2017,0.65
,,2017 - 2018,0.64
,,2018 - 2019,0.64
,,2019 - 2020,0.67
,,2020 - 2021,0.67
,,2021 - 2022,1.0
,Jashpur,2000 - 2001,0.27
,,2001 - 2002,0.29
,,2002 - 2003,0.28
,,2003 - 2004,0.3
,,2004 - 2005,0.25
,,2005 - 2006,0.33
,,2006 - 2007,0.27
,,2007 - 2008,0.28
,,2008 - 2009,0.29
,,2009 - 2010,0.27
,,2010 - 2011,0.27
,,2011 - 2012,0.27
,,2012 - 2013,0.28
,,2013 - 2014,0.29
,,2014 - 2015,0.28
,,2015 - 2016,0.24
,,2016 - 2017,0.24
,,2017 - 2018,0.28
,,2018 - 2019,0.29
,,2019 - 2020,0.29
,,2020 - 2021,0.29
,,2021 - 2022,0.29
,,2022 - 2023,0.3
,Kabirdham,2000 - 2001,0.22
,,2001 - 2002,0.28
,,2002 - 2003,0.29
,,2003 - 2004,0.4
,,2004 - 2005,0.3
,,2005 - 2006,0.25
,,2006 - 2007,0.25
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2011 - 2012,
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,Kanker,2000 - 2001,0.31
,,2001 - 2002,0.44
,,2002 - 2003,0.17
,,2003 - 2004,0.43
,,2004 - 2005,0.41
,,2005 - 2006,0.41
,,2006 - 2007,0.41
,,2007 - 2008,0.38
,,2008 - 2009,0.38
,,2009 - 2010,0.32
,,2010 - 2011,0.32
,,2011 - 2012,0.27
,,2012 - 2013,0.32
,,2013 - 2014,0.29
,,2014 - 2015,0.32
,,2015 - 2016,0.22
,,2016 - 2017,0.32
,,2017 - 2018,0.3
,,2018 - 2019,0.26
,,2019 - 2020,0.26
,,2020 - 2021,0.31
,,2021 - 2022,0.34
,,2022 - 2023,0.32
,Kondagaon,2011 - 2012,0.37
,,2012 - 2013,0.34
,,2013 - 2014,0.34
,,2014 - 2015,0.35
,,2015 - 2016,0.36
,,2016 - 2017,0.48
,,2017 - 2018,0.46
,,2018 - 2019,0.44
,,2019 - 2020,0.52
,,2020 - 2021,0.48
,,2021 - 2022,0.48
,,2022 - 2023,0.48
,Korba,2000 - 2001,0.24
,,2001 - 2002,0.31
,,2002 - 2003,0.27
,,2003 - 2004,0.27
,,2004 - 2005,0.24
,,2005 - 2006,0.28
,,2006 - 2007,0.24
,,2007 - 2008,0.27
,,2008 - 2009,0.27
,,2009 - 2010,0.27
,,2010 - 2011,0.3
,,2011 - 2012,0.27
,,2012 - 2013,0.3
,,2013 - 2014,0.33
,,2014 - 2015,0.33
,,2015 - 2016,0.32
,,2016 - 2017,0.38
,,2017 - 2018,0.38
,,2018 - 2019,0.35
,,2019 - 2020,0.35
,,2020 - 2021,0.35
,,2021 - 2022,0.38
,,2022 - 2023,0.38
,Korea,2000 - 2001,0.31
,,2001 - 2002,0.27
,,2002 - 2003,0.27
,,2003 - 2004,0.26
,,2004 - 2005,0.22
,,2005 - 2006,0.21
,,2006 - 2007,0.25
,,2007 - 2008,0.24
,,2008 - 2009,0.28
,,2009 - 2010,0.23
,,2010 - 2011,0.16
,,2011 - 2012,0.29
,,2012 - 2013,0.25
,,2013 - 2014,0.29
,,2014 - 2015,0.28
,,2015 - 2016,0.42
,,2016 - 2017,0.38
,,2017 - 2018,0.4
,,2018 - 2019,0.32
,,2019 - 2020,0.38
,,2020 - 2021,0.37
,,2021 - 2022,0.36
,,2022 - 2023,0.45
,Mahasamund,2000 - 2001,0.25
,,2001 - 2002,0.37
,,2002 - 2003,0.28
,,2003 - 2004,0.28
