state,district,year,small_millets_rabi_yield_tonne_per_hectare
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.0
,,2008 - 2009,
,,2009 - 2010,0.3
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Shahdol,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Shajapur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2018 - 2019,
,Sheopur,2004 - 2005,
,,2018 - 2019,
,,2019 - 2020,
,Shivpuri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.0
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.0
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Sidhi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Singrauli,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Tikamgarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2017 - 2018,
,Ujjain,2001 - 2002,
,Umaria,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Vidisha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.0
,,2008 - 2009,
,,2009 - 2010,0.28
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2022 - 2023,
Maharashtra,Ahilyanagar,2000 - 2001,
,,2001 - 2002,0.48
,,2002 - 2003,0.24
,,2003 - 2004,0.11
,,2004 - 2005,0.22
,,2005 - 2006,0.5
,,2006 - 2007,0.25
,,2007 - 2008,0.25
,,2008 - 2009,0.25
,,2009 - 2010,0.4
,,2010 - 2011,0.86
,,2011 - 2012,0.4
,,2012 - 2013,0.11
,,2013 - 2014,0.5
,,2014 - 2015,
,,2015 - 2016,0.14
,Akola,2000 - 2001,
,,2001 - 2002,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.37
,,2012 - 2013,
,,2014 - 2015,
,Amravati,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.5
,,2005 - 2006,1.13
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.91
,,2011 - 2012,
,,2012 - 2013,0.5
,,2013 - 2014,
,,2014 - 2015,0.0
,Beed,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.87
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.0
,,2014 - 2015,1.0
,,2015 - 2016,
,Bhandara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2010 - 2011,1.09
,,2014 - 2015,
,Buldhana,2000 - 2001,0.25
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.58
,,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,0.33
,,2015 - 2016,0.6
,Chandrapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.0
,,2003 - 2004,0.6
,,2004 - 2005,
,,2005 - 2006,1.0
,,2006 - 2007,0.75
,,2007 - 2008,1.0
,,2008 - 2009,
,,2010 - 2011,0.99
,,2011 - 2012,0.2
,,2012 - 2013,
,,2013 - 2014,0.67
,,2014 - 2015,0.23
,,2015 - 2016,
,Chhatrapati Sambhajinagar,2000 - 2001,
,,2001 - 2002,0.5
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.46
,,2011 - 2012,
,,2012 - 2013,0.33
,,2013 - 2014,0.4
,,2014 - 2015,0.21
,,2015 - 2016,0.19
,Dharashiv,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,
,,2003 - 2004,0.25
,,2004 - 2005,0.5
,,2006 - 2007,
,,2007 - 2008,0.33
,,2008 - 2009,0.25
,,2009 - 2010,
,,2010 - 2011,0.79
,,2011 - 2012,0.4
,,2012 - 2013,0.43
,,2013 - 2014,0.33
,,2014 - 2015,0.23
,,2015 - 2016,0.08
,Dhule,2000 - 2001,
,,2001 - 2002,0.33
,,2002 - 2003,0.57
,,2003 - 2004,
,,2004 - 2005,0.5
,,2005 - 2006,0.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,2.09
,,2011 - 2012,0.5
,,2012 - 2013,1.0
,,2013 - 2014,0.0
,,2014 - 2015,0.2
,,2015 - 2016,1.0
,Gadchiroli,2000 - 2001,
,,2001 - 2002,0.46
,,2002 - 2003,0.22
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.05
,,2011 - 2012,
,,2012 - 2013,0.3
,,2013 - 2014,
,,2014 - 2015,0.0
,Gondia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,0.79
,,2012 - 2013,
,,2015 - 2016,0.2
,Hingoli,2000 - 2001,
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,
,,2005 - 2006,0.33
,,2006 - 2007,
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.24
,,2011 - 2012,0.5
,,2012 - 2013,0.4
,,2013 - 2014,0.67
,,2014 - 2015,0.22
,,2015 - 2016,0.2
,Jalgaon,2000 - 2001,
,,2001 - 2002,0.47
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.18
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,0.88
,,2015 - 2016,
,Jalna,2000 - 2001,
,,2001 - 2002,0.0
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.97
,,2011 - 2012,
,,2013 - 2014,0.0
,,2014 - 2015,
,Kolhapur,2000 - 2001,0.2
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,0.0
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.0
,,2007 - 2008,0.5
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.01
,,2011 - 2012,
,,2012 - 2013,0.4
,,2013 - 2014,0.2
,,2014 - 2015,0.33
,,2015 - 2016,
,Latur,2000 - 2001,0.33
,,2001 - 2002,1.0
,,2002 - 2003,0.33
,,2003 - 2004,0.44
,,2004 - 2005,0.43
,,2005 - 2006,0.43
,,2006 - 2007,0.6
,,2007 - 2008,0.33
,,2008 - 2009,0.33
,,2009 - 2010,0.5
,,2010 - 2011,1.09
,,2011 - 2012,0.4
,,2012 - 2013,0.4
,,2013 - 2014,0.25
,,2014 - 2015,0.2
,,2015 - 2016,0.13
,Nagpur,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,
,,2010 - 2011,1.49
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Nanded,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,0.4
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,1.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.42
,,2011 - 2012,0.2
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,0.33
,,2015 - 2016,0.25
,Nandurbar,2000 - 2001,
,,2001 - 2002,0.5
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,1.0
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.5
,,2010 - 2011,1.74
,,2011 - 2012,0.4
,,2012 - 2013,0.2
,,2013 - 2014,0.67
,,2014 - 2015,0.0
,,2015 - 2016,0.4
,Nashik,2000 - 2001,
,,2001 - 2002,0.5
,,2002 - 2003,0.0
,,2003 - 2004,0.57
,,2004 - 2005,0.5
,,2005 - 2006,0.33
,,2006 - 2007,0.5
,,2007 - 2008,1.0
,,2008 - 2009,0.67
,,2009 - 2010,0.6
,,2010 - 2011,1.76
,,2011 - 2012,0.5
,,2012 - 2013,0.45
,,2013 - 2014,0.0
,,2014 - 2015,0.2
,,2015 - 2016,0.44
,Palghar,2014 - 2015,1.0
,,2015 - 2016,1.0
,Parbhani,2000 - 2001,
,,2001 - 2002,0.33
,,2002 - 2003,0.5
,,2003 - 2004,0.0
,,2004 - 2005,0.57
,,2005 - 2006,0.5
,,2006 - 2007,0.33
,,2007 - 2008,0.33
,,2008 - 2009,0.33
,,2009 - 2010,0.67
,,2010 - 2011,0.71
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,
,,2014 - 2015,0.21
,,2015 - 2016,0.15
,Pune,2000 - 2001,1.0
,,2001 - 2002,0.53
,,2002 - 2003,0.33
,,2003 - 2004,0.41
,,2004 - 2005,0.4
,,2005 - 2006,0.75
,,2006 - 2007,0.83
,,2007 - 2008,0.4
,,2008 - 2009,0.33
,,2009 - 2010,0.5
,,2010 - 2011,0.94
,,2011 - 2012,0.33
,,2012 - 2013,0.18
,,2013 - 2014,0.5
,,2014 - 2015,0.22
,,2015 - 2016,0.33
,Raigad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.0
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,0.5
,,2013 - 2014,
,,2014 - 2015,0.2
,,2015 - 2016,0.33
,Ratnagiri,2000 - 2001,
,,2001 - 2002,0.0
,,2002 - 2003,1.0
,,2003 - 2004,
,,2004 - 2005,0.0
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,
,,2010 - 2011,2.0
,,2011 - 2012,1.0
,,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,Sangli,2000 - 2001,0.0
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,0.95
,,2011 - 2012,1.0
,,2012 - 2013,0.5
,,2013 - 2014,0.25
,,2014 - 2015,0.0
,,2015 - 2016,0.33
,Satara,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,0.2
,,2003 - 2004,0.22
,,2004 - 2005,0.25
,,2005 - 2006,0.43
,,2006 - 2007,0.25
,,2007 - 2008,0.33
,,2008 - 2009,0.86
,,2009 - 2010,
,,2010 - 2011,1.15
,,2011 - 2012,1.0
,,2012 - 2013,0.2
,,2013 - 2014,1.0
,,2014 - 2015,0.33
,,2015 - 2016,0.33
,Sindhudurg,2000 - 2001,
,,2001 - 2002,0.5
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.5
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.6
,,2010 - 2011,1.75
,,2011 - 2012,1.0
,,2013 - 2014,0.0
,,2014 - 2015,1.0
,,2015 - 2016,0.93
,Solapur,2000 - 2001,0.5
,,2001 - 2002,0.52
,,2002 - 2003,0.07
,,2003 - 2004,0.12
,,2004 - 2005,0.21
,,2005 - 2006,0.5
,,2006 - 2007,0.67
,,2007 - 2008,0.33
,,2008 - 2009,0.25
,,2009 - 2010,0.4
,,2010 - 2011,0.77
,,2011 - 2012,0.41
,,2012 - 2013,0.15
,,2013 - 2014,0.5
,,2014 - 2015,0.2
,,2015 - 2016,0.15
,Thane,2000 - 2001,
,,2001 - 2002,0.5
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.33
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.5
,,2010 - 2011,1.75
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.0
,,2014 - 2015,1.0
,,2015 - 2016,0.4
,Wardha,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2009 - 2010,
,,2010 - 2011,1.62
,Washim,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.6
,,2012 - 2013,
,,2013 - 2014,0.25
,,2014 - 2015,0.5
,,2015 - 2016,0.3
,Yavatmal,2000 - 2001,
,,2001 - 2002,
,,2005 - 2006,0.53
,,2010 - 2011,1.47
,,2014 - 2015,
Meghalaya,East garo hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.84
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.85
,,2011 - 2012,0.86
,,2012 - 2013,0.95
,,2013 - 2014,1.0
,,2014 - 2015,1.01
,,2015 - 2016,1.05
,,2016 - 2017,1.06
,,2017 - 2018,1.05
,,2018 - 2019,1.05
,,2019 - 2020,1.04
,,2020 - 2021,1.04
,,2022 - 2023,0.89
,East jaintia hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.21
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.12
,,2011 - 2012,1.14
,,2012 - 2013,1.27
,East khasi hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.13
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.99
,,2011 - 2012,1.03
,,2012 - 2013,1.17
,,2013 - 2014,1.18
,,2014 - 2015,1.22
,,2015 - 2016,1.25
,,2016 - 2017,1.25
,,2017 - 2018,1.23
,,2018 - 2019,1.23
,,2019 - 2020,1.23
,,2020 - 2021,1.23
,,2022 - 2023,1.16
,North garo hills,2013 - 2014,1.03
,,2014 - 2015,1.05
,,2015 - 2016,1.07
,,2016 - 2017,1.08
,,2017 - 2018,1.09
,,2018 - 2019,1.08
,,2019 - 2020,1.06
,,2020 - 2021,1.06
,,2022 - 2023,1.1
,Ri bhoi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.95
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.92
,,2011 - 2012,1.0
,,2012 - 2013,1.04
,,2013 - 2014,1.08
,,2014 - 2015,1.15
,,2015 - 2016,1.24
,,2016 - 2017,1.21
,,2017 - 2018,1.21
,,2018 - 2019,1.21
,,2019 - 2020,1.19
,,2020 - 2021,1.19
,,2022 - 2023,1.24
,South garo hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.01
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.99
,,2011 - 2012,1.01
,,2012 - 2013,1.15
,,2013 - 2014,1.18
,,2014 - 2015,1.22
,,2015 - 2016,1.25
,,2016 - 2017,1.25
,,2017 - 2018,1.25
,,2018 - 2019,1.25
,,2019 - 2020,1.24
,,2020 - 2021,1.24
,,2022 - 2023,1.29
,South west garo hills,2013 - 2014,0.66
,,2014 - 2015,0.67
,,2015 - 2016,0.7
,,2016 - 2017,0.7
,,2017 - 2018,0.7
,,2018 - 2019,0.7
,,2019 - 2020,0.69
,,2020 - 2021,0.69
,,2022 - 2023,0.71
,South west khasi hills,2013 - 2014,1.16
,,2014 - 2015,1.27
,,2015 - 2016,1.33
,,2016 - 2017,1.33
,,2017 - 2018,1.32
,,2018 - 2019,1.31
,,2019 - 2020,1.31
,,2020 - 2021,1.31
,,2022 - 2023,1.29
,West garo hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.53
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.52
,,2011 - 2012,0.52
,,2012 - 2013,0.6
,,2013 - 2014,0.61
,,2014 - 2015,0.63
,,2015 - 2016,0.65
,,2016 - 2017,0.65
,,2017 - 2018,0.65
,,2018 - 2019,0.65
,,2019 - 2020,0.64
,,2020 - 2021,0.64
,,2022 - 2023,0.66
,West jaintia hills,2013 - 2014,1.32
,,2014 - 2015,1.35
,,2015 - 2016,1.38
,,2016 - 2017,1.39
,,2017 - 2018,1.39
,,2018 - 2019,1.38
,,2019 - 2020,1.38
,,2020 - 2021,1.38
,,2022 - 2023,1.38
,West khasi hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.17
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.01
,,2011 - 2012,1.01
,,2012 - 2013,1.11
,,2013 - 2014,1.11
,,2014 - 2015,1.19
,,2015 - 2016,1.23
,,2016 - 2017,1.23
,,2017 - 2018,1.23
,,2018 - 2019,1.22
,,2019 - 2020,1.22
,,2020 - 2021,1.22
,,2022 - 2023,1.24
Nagaland,Chumoukedima,2022 - 2023,
,Dimapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2021 - 2022,
,,2022 - 2023,
,Kiphire,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kohima,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Longleng,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mokokchung,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Noklak,2021 - 2022,
,,2022 - 2023,
,Nuiland,2022 - 2023,
,Peren,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Phek,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shamator,2022 - 2023,
,Tseminyu,2022 - 2023,
,Tuensang,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Wokha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Zunheboto,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Odisha,Anugul,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,Balangir,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Bargarh,2003 - 2004,
,,2004 - 2005,
,Boudh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Dhenkanal,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Gajapati,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Ganjam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Kalahandi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Kandhamal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Kendujhar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Koraput,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Malkangiri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Mayurbhanj,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Nabarangpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Nayagarh,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Nuapada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Rayagada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Sonepur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,Sundargarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
