state,district,year,coriander_rabi_yield_tonne_per_hectare
,,2006 - 2007,
,,2007 - 2008,0.58
,,2008 - 2009,0.67
,,2009 - 2010,0.57
,,2011 - 2012,0.57
,,2012 - 2013,0.54
,,2013 - 2014,0.56
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.56
,,2018 - 2019,0.78
,,2019 - 2020,0.73
,,2020 - 2021,0.75
,,2021 - 2022,0.7
,,2022 - 2023,0.78
,Gonda,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.62
,,2008 - 2009,0.58
,,2009 - 2010,0.54
,,2011 - 2012,0.63
,,2012 - 2013,0.56
,,2013 - 2014,0.55
,,2014 - 2015,0.46
,,2015 - 2016,0.3
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.79
,,2019 - 2020,0.72
,,2020 - 2021,0.78
,,2021 - 2022,0.75
,,2022 - 2023,0.76
,Gorakhpur,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.57
,,2008 - 2009,0.56
,,2009 - 2010,0.53
,,2011 - 2012,0.56
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.3
,,2016 - 2017,0.53
,,2017 - 2018,0.5
,,2018 - 2019,0.82
,,2019 - 2020,0.69
,,2020 - 2021,0.75
,,2021 - 2022,0.77
,,2022 - 2023,0.78
,Hamirpur,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.59
,,2008 - 2009,0.6
,,2009 - 2010,0.57
,,2011 - 2012,0.56
,,2012 - 2013,0.55
,,2013 - 2014,0.55
,,2014 - 2015,0.48
,,2015 - 2016,0.34
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.79
,,2019 - 2020,0.72
,,2020 - 2021,0.78
,,2021 - 2022,0.75
,,2022 - 2023,0.76
,Hapur,2014 - 2015,0.67
,,2016 - 2017,1.0
,,2017 - 2018,0.5
,,2018 - 2019,1.0
,,2019 - 2020,0.67
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Hardoi,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.58
,,2008 - 2009,0.6
,,2009 - 2010,0.57
,,2011 - 2012,0.55
,,2012 - 2013,0.55
,,2013 - 2014,0.55
,,2014 - 2015,0.48
,,2015 - 2016,0.35
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.79
,,2019 - 2020,0.72
,,2020 - 2021,0.78
,,2021 - 2022,0.75
,,2022 - 2023,0.77
,Hathras,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.58
,,2008 - 2009,0.6
,,2009 - 2010,0.58
,,2011 - 2012,0.56
,,2012 - 2013,0.54
,,2013 - 2014,0.55
,,2014 - 2015,0.49
,,2015 - 2016,0.34
,,2016 - 2017,0.51
,,2017 - 2018,0.52
,,2018 - 2019,0.8
,,2019 - 2020,0.72
,,2020 - 2021,0.78
,,2021 - 2022,0.75
,,2022 - 2023,0.76
,Jalaun,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.57
,,2008 - 2009,0.57
,,2009 - 2010,0.57
,,2011 - 2012,0.57
,,2012 - 2013,0.5
,,2013 - 2014,0.67
,,2014 - 2015,0.0
,,2015 - 2016,0.25
,,2016 - 2017,0.67
,,2017 - 2018,0.67
,,2018 - 2019,0.67
,,2019 - 2020,1.0
,,2020 - 2021,0.67
,,2021 - 2022,0.67
,,2022 - 2023,0.67
,Jaunpur,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.59
,,2008 - 2009,0.57
,,2009 - 2010,0.57
,,2011 - 2012,0.55
,,2012 - 2013,0.55
,,2013 - 2014,0.56
,,2014 - 2015,0.48
,,2015 - 2016,0.35
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.79
,,2019 - 2020,0.71
,,2020 - 2021,0.79
,,2021 - 2022,0.75
,,2022 - 2023,0.76
,Jhansi,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.59
,,2008 - 2009,0.59
,,2009 - 2010,0.56
,,2011 - 2012,0.54
,,2012 - 2013,0.5
,,2013 - 2014,0.57
,,2014 - 2015,0.5
,,2015 - 2016,0.38
,,2016 - 2017,0.56
,,2017 - 2018,0.5
,,2018 - 2019,0.8
,,2019 - 2020,0.74
,,2020 - 2021,0.77
,,2021 - 2022,0.76
,,2022 - 2023,0.79
,Kannauj,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.58
,,2008 - 2009,0.6
,,2009 - 2010,0.56
,,2011 - 2012,0.56
,,2012 - 2013,0.53
,,2013 - 2014,0.54
,,2014 - 2015,0.5
,,2015 - 2016,0.35
,,2016 - 2017,0.51
,,2017 - 2018,0.53
,,2018 - 2019,0.78
,,2019 - 2020,0.71
,,2020 - 2021,0.78
,,2021 - 2022,0.75
,,2022 - 2023,0.76
,Kanpur dehat,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.58
,,2008 - 2009,0.6
,,2009 - 2010,0.57
,,2011 - 2012,0.55
,,2012 - 2013,0.54
,,2013 - 2014,0.55
,,2014 - 2015,0.48
,,2015 - 2016,0.34
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.79
,,2019 - 2020,0.72
,,2020 - 2021,0.78
,,2021 - 2022,0.75
,,2022 - 2023,0.76
,Kanpur nagar,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.58
,,2008 - 2009,0.6
,,2009 - 2010,0.57
,,2011 - 2012,0.55
,,2012 - 2013,0.54
,,2013 - 2014,0.55
,,2014 - 2015,0.49
,,2015 - 2016,0.34
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.79
,,2019 - 2020,0.72
,,2020 - 2021,0.79
,,2021 - 2022,0.75
,,2022 - 2023,0.77
,Kasganj,2009 - 2010,0.57
,,2011 - 2012,0.53
,,2012 - 2013,0.54
,,2013 - 2014,0.54
,,2014 - 2015,0.48
,,2015 - 2016,0.36
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.8
,,2019 - 2020,0.71
,,2020 - 2021,0.8
,,2021 - 2022,0.74
,,2022 - 2023,0.78
,Kaushambi,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.57
,,2008 - 2009,0.59
,,2009 - 2010,0.56
,,2011 - 2012,0.55
,,2012 - 2013,0.54
,,2013 - 2014,0.54
,,2014 - 2015,0.48
,,2015 - 2016,0.34
,,2016 - 2017,0.53
,,2017 - 2018,0.52
,,2018 - 2019,0.8
,,2019 - 2020,0.72
,,2020 - 2021,0.79
,,2021 - 2022,0.75
,,2022 - 2023,0.77
,Kheri,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.58
,,2008 - 2009,0.59
,,2009 - 2010,0.57
,,2011 - 2012,0.55
,,2012 - 2013,0.54
,,2013 - 2014,0.55
,,2014 - 2015,0.48
,,2015 - 2016,0.34
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.79
,,2019 - 2020,0.72
,,2020 - 2021,0.78
,,2021 - 2022,0.75
,,2022 - 2023,0.76
,Kushi nagar,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.58
,,2008 - 2009,0.6
,,2009 - 2010,0.57
,,2011 - 2012,0.55
,,2012 - 2013,0.54
,,2013 - 2014,0.54
,,2014 - 2015,0.49
,,2015 - 2016,0.34
,,2016 - 2017,0.52
,,2017 - 2018,0.51
,,2018 - 2019,0.79
,,2019 - 2020,0.72
,,2020 - 2021,0.79
,,2021 - 2022,0.74
,,2022 - 2023,0.76
,Lalitpur,2005 - 2006,
,,2007 - 2008,0.59
,,2008 - 2009,0.61
,,2009 - 2010,0.57
,,2011 - 2012,0.56
,,2012 - 2013,0.55
,,2013 - 2014,0.54
,,2014 - 2015,0.49
,,2015 - 2016,0.34
,,2016 - 2017,0.51
,,2017 - 2018,0.53
,,2018 - 2019,0.8
,,2019 - 2020,0.71
,,2020 - 2021,0.8
,,2021 - 2022,0.74
,,2022 - 2023,0.76
,Lucknow,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.58
,,2008 - 2009,0.6
,,2009 - 2010,0.57
,,2011 - 2012,0.55
,,2012 - 2013,0.54
,,2013 - 2014,0.55
,,2014 - 2015,0.48
,,2015 - 2016,0.34
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.79
,,2019 - 2020,0.72
,,2020 - 2021,0.79
,,2021 - 2022,0.75
,,2022 - 2023,0.77
,Maharajganj,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.58
,,2008 - 2009,0.6
,,2009 - 2010,0.58
,,2011 - 2012,0.55
,,2012 - 2013,0.56
,,2013 - 2014,0.57
,,2014 - 2015,0.48
,,2015 - 2016,0.36
,,2016 - 2017,0.51
,,2017 - 2018,0.53
,,2018 - 2019,0.81
,,2019 - 2020,0.73
,,2020 - 2021,0.78
,,2021 - 2022,0.74
,,2022 - 2023,0.76
,Mahoba,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.57
,,2008 - 2009,0.6
,,2009 - 2010,0.57
,,2011 - 2012,0.55
,,2012 - 2013,0.54
,,2013 - 2014,0.56
,,2014 - 2015,0.48
,,2015 - 2016,0.33
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.78
,,2019 - 2020,0.71
,,2020 - 2021,0.78
,,2021 - 2022,0.74
,,2022 - 2023,0.78
,Mainpuri,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.57
,,2008 - 2009,0.6
,,2009 - 2010,0.58
,,2011 - 2012,0.56
,,2012 - 2013,0.55
,,2013 - 2014,0.55
,,2014 - 2015,0.49
,,2015 - 2016,0.36
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.8
,,2019 - 2020,0.73
,,2020 - 2021,0.78
,,2021 - 2022,0.75
,,2022 - 2023,0.76
,Mathura,2005 - 2006,
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2011 - 2012,0.58
,,2016 - 2017,0.5
,Mau,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.59
,,2008 - 2009,0.6
,,2009 - 2010,0.54
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.38
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.75
,,2019 - 2020,0.71
,,2020 - 2021,0.77
,,2021 - 2022,0.79
,,2022 - 2023,0.77
,Meerut,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.59
,,2008 - 2009,0.6
,,2009 - 2010,0.55
,,2011 - 2012,0.56
,,2012 - 2013,0.54
,,2013 - 2014,0.53
,,2014 - 2015,0.5
,,2015 - 2016,0.32
,,2016 - 2017,0.53
,,2017 - 2018,0.5
,,2018 - 2019,0.77
,,2019 - 2020,0.74
,,2020 - 2021,0.76
,,2021 - 2022,0.76
,,2022 - 2023,0.78
,Mirzapur,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,0.56
,,2009 - 2010,0.63
,Moradabad,2006 - 2007,
,,2007 - 2008,0.5
,,2008 - 2009,0.63
,,2009 - 2010,0.5
,,2011 - 2012,0.5
,,2016 - 2017,0.5
,Muzaffarnagar,2009 - 2010,0.6
,,2011 - 2012,0.33
,,2013 - 2014,0.33
,,2015 - 2016,0.33
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.8
,,2019 - 2020,0.75
,,2020 - 2021,0.75
,,2021 - 2022,0.75
,,2022 - 2023,0.75
,Pilibhit,2006 - 2007,
,,2008 - 2009,1.0
,Pratapgarh,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.59
,,2008 - 2009,0.6
,,2009 - 2010,0.56
,,2011 - 2012,0.53
,,2012 - 2013,0.55
,,2013 - 2014,0.56
,,2014 - 2015,0.49
,,2015 - 2016,0.35
,,2016 - 2017,0.53
,,2017 - 2018,0.51
,,2018 - 2019,0.78
,,2019 - 2020,0.72
,,2020 - 2021,0.8
,,2021 - 2022,0.76
,,2022 - 2023,0.77
,Rae bareli,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.58
,,2008 - 2009,0.6
,,2009 - 2010,0.57
,,2011 - 2012,0.55
,,2012 - 2013,0.54
,,2013 - 2014,0.55
,,2014 - 2015,0.49
,,2015 - 2016,0.34
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.37
,,2019 - 2020,0.72
,,2020 - 2021,0.78
,,2021 - 2022,0.75
,,2022 - 2023,0.76
,Rampur,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,0.59
,,2009 - 2010,0.57
,,2011 - 2012,0.57
,,2012 - 2013,0.67
,,2013 - 2014,0.58
,,2014 - 2015,0.5
,,2016 - 2017,0.57
,,2017 - 2018,0.5
,,2018 - 2019,0.78
,,2019 - 2020,0.67
,,2020 - 2021,0.83
,,2021 - 2022,0.67
,,2022 - 2023,0.67
,Saharanpur,2009 - 2010,0.5
,,2011 - 2012,0.58
,,2012 - 2013,1.0
,,2013 - 2014,0.6
,,2014 - 2015,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,1.0
,,2019 - 2020,0.5
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Sambhal,2012 - 2013,0.55
,,2013 - 2014,0.54
,,2014 - 2015,0.48
,,2015 - 2016,0.31
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.79
,,2019 - 2020,0.71
,,2020 - 2021,0.8
,,2021 - 2022,0.74
,,2022 - 2023,0.78
,Sant kabeer nagar,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.58
,,2008 - 2009,0.59
,,2009 - 2010,0.57
,,2011 - 2012,0.56
,,2012 - 2013,0.52
,,2013 - 2014,0.57
,,2014 - 2015,0.48
,,2015 - 2016,0.33
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.8
,,2019 - 2020,0.74
,,2020 - 2021,0.78
,,2021 - 2022,0.75
,,2022 - 2023,0.75
,Sant ravidas nagar,2009 - 2010,0.67
,Shahjahanpur,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.59
,,2008 - 2009,0.6
,,2009 - 2010,0.57
,,2011 - 2012,0.55
,,2012 - 2013,0.55
,,2013 - 2014,0.55
,,2014 - 2015,0.5
,,2015 - 2016,0.35
,,2016 - 2017,0.52
,,2017 - 2018,0.51
,,2018 - 2019,0.8
,,2019 - 2020,0.72
,,2020 - 2021,0.78
,,2021 - 2022,0.76
,,2022 - 2023,0.76
,Shamli,2021 - 2022,1.0
,Shravasti,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.6
,,2009 - 2010,0.67
,,2011 - 2012,0.57
,,2012 - 2013,1.0
,,2013 - 2014,0.54
,,2014 - 2015,0.6
,,2015 - 2016,0.38
,,2016 - 2017,0.53
,,2017 - 2018,0.5
,,2018 - 2019,0.82
,,2019 - 2020,0.75
,,2020 - 2021,0.82
,,2021 - 2022,0.8
,,2022 - 2023,0.8
,Siddharth nagar,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.58
,,2008 - 2009,0.6
,,2009 - 2010,0.57
,,2011 - 2012,0.55
,,2012 - 2013,0.54
,,2013 - 2014,0.55
,,2014 - 2015,0.48
,,2015 - 2016,0.35
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.79
,,2019 - 2020,0.72
,,2020 - 2021,0.78
,,2021 - 2022,0.75
,,2022 - 2023,0.77
,Sitapur,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.58
,,2008 - 2009,0.6
,,2009 - 2010,0.57
,,2011 - 2012,0.55
,,2012 - 2013,0.54
,,2013 - 2014,0.55
,,2014 - 2015,0.49
,,2015 - 2016,0.34
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.79
,,2019 - 2020,0.72
,,2020 - 2021,0.79
,,2021 - 2022,0.75
,,2022 - 2023,0.76
,Sonbhadra,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.57
,,2008 - 2009,0.6
,,2009 - 2010,0.55
,,2011 - 2012,0.56
,,2012 - 2013,0.54
,,2013 - 2014,0.55
,,2014 - 2015,0.5
,,2015 - 2016,0.33
,,2016 - 2017,0.54
,,2017 - 2018,0.54
,,2018 - 2019,0.81
,,2019 - 2020,0.72
,,2020 - 2021,0.77
,,2021 - 2022,0.74
,,2022 - 2023,0.76
,Sultanpur,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.57
,,2008 - 2009,0.6
,,2009 - 2010,0.57
,,2011 - 2012,0.56
,,2012 - 2013,0.55
,,2013 - 2014,0.55
,,2014 - 2015,0.48
,,2015 - 2016,0.34
,,2016 - 2017,0.52
,,2017 - 2018,0.53
,,2018 - 2019,0.79
,,2019 - 2020,0.72
,,2020 - 2021,0.78
,,2021 - 2022,0.75
,,2022 - 2023,0.76
,Unnao,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.58
,,2008 - 2009,0.6
,,2009 - 2010,0.56
,,2011 - 2012,0.55
,,2012 - 2013,0.54
,,2013 - 2014,0.54
,,2014 - 2015,0.48
,,2015 - 2016,0.35
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.79
,,2019 - 2020,0.72
,,2020 - 2021,0.78
,,2021 - 2022,0.75
,,2022 - 2023,0.77
,Varanasi,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.57
,,2008 - 2009,0.6
,,2009 - 2010,0.56
,,2011 - 2012,0.53
,,2012 - 2013,0.56
,,2013 - 2014,0.53
,,2014 - 2015,0.48
,,2015 - 2016,0.35
,,2016 - 2017,0.53
,,2017 - 2018,0.53
,,2018 - 2019,0.79
,,2019 - 2020,0.71
,,2020 - 2021,0.78
,,2021 - 2022,0.76
,,2022 - 2023,0.78
