state,district,year,garlic_whole_year_yield_tonne_per_hectare
Andhra Pradesh,Kadapa,2010 - 2011,2.1
,Srikakulam,2011 - 2012,2.0
Bihar,Araria,2000 - 2001,1.23
,,2001 - 2002,1.47
,,2002 - 2003,1.48
,,2003 - 2004,1.5
,,2004 - 2005,1.51
,,2005 - 2006,1.48
,,2007 - 2008,1.44
,,2008 - 2009,1.38
,,2016 - 2017,1.58
,,2017 - 2018,1.58
,,2018 - 2019,1.58
,,2022 - 2023,1.58
,Arwal,2004 - 2005,1.5
,,2005 - 2006,1.48
,,2007 - 2008,1.45
,,2008 - 2009,1.61
,,2016 - 2017,1.58
,,2017 - 2018,1.59
,,2018 - 2019,1.58
,,2019 - 2020,1.57
,,2020 - 2021,2.5
,,2021 - 2022,1.57
,,2022 - 2023,1.88
,Aurangabad,2000 - 2001,1.33
,,2001 - 2002,1.33
,,2002 - 2003,1.33
,,2003 - 2004,1.5
,,2005 - 2006,1.5
,,2007 - 2008,1.46
,,2008 - 2009,1.62
,,2016 - 2017,1.57
,,2017 - 2018,1.59
,Banka,2000 - 2001,1.5
,,2001 - 2002,1.5
,,2007 - 2008,1.33
,,2008 - 2009,1.67
,,2016 - 2017,1.43
,,2017 - 2018,1.5
,,2018 - 2019,1.4
,,2019 - 2020,1.4
,,2020 - 2021,1.6
,,2021 - 2022,1.54
,,2022 - 2023,1.55
,Begusarai,2000 - 2001,1.5
,,2001 - 2002,1.43
,,2002 - 2003,1.0
,,2003 - 2004,1.5
,,2004 - 2005,1.5
,,2005 - 2006,1.47
,,2016 - 2017,1.5
,,2017 - 2018,1.3
,,2018 - 2019,1.25
,,2019 - 2020,1.48
,,2020 - 2021,2.24
,,2021 - 2022,1.47
,,2022 - 2023,1.76
,Bhagalpur,2000 - 2001,1.4
,,2001 - 2002,1.47
,,2002 - 2003,1.48
,,2003 - 2004,1.48
,,2004 - 2005,1.51
,,2005 - 2006,1.49
,,2007 - 2008,1.45
,,2008 - 2009,1.62
,,2016 - 2017,1.42
,,2017 - 2018,1.5
,,2018 - 2019,1.5
,,2019 - 2020,1.27
,,2020 - 2021,1.67
,,2021 - 2022,1.55
,,2022 - 2023,1.55
,Bhojpur,2001 - 2002,1.5
,,2002 - 2003,1.5
,,2003 - 2004,1.4
,,2004 - 2005,1.5
,,2005 - 2006,1.4
,,2008 - 2009,1.5
,,2016 - 2017,1.56
,,2017 - 2018,1.56
,,2022 - 2023,1.5
,Buxar,2000 - 2001,1.5
,,2001 - 2002,1.33
,,2002 - 2003,1.5
,,2003 - 2004,2.0
,,2007 - 2008,1.4
,,2008 - 2009,2.0
,,2016 - 2017,1.98
,,2017 - 2018,1.97
,,2018 - 2019,1.97
,Darbhanga,2000 - 2001,1.45
,,2001 - 2002,1.46
,,2002 - 2003,1.49
,,2003 - 2004,1.5
,,2004 - 2005,1.52
,,2005 - 2006,1.46
,,2007 - 2008,1.5
,Gaya,2000 - 2001,1.45
,,2001 - 2002,1.4
,,2002 - 2003,1.45
,,2003 - 2004,1.44
,,2004 - 2005,1.45
,,2005 - 2006,1.48
,,2007 - 2008,1.45
,,2008 - 2009,1.6
,,2016 - 2017,1.52
,,2017 - 2018,1.5
,Gopalganj,2000 - 2001,0.98
,,2001 - 2002,0.98
,,2002 - 2003,1.48
,,2003 - 2004,1.51
,,2004 - 2005,1.51
,,2005 - 2006,1.46
,,2007 - 2008,1.45
,,2008 - 2009,1.59
,,2022 - 2023,1.57
,Jamui,2002 - 2003,1.0
,,2003 - 2004,2.0
,,2004 - 2005,2.0
,Jehanabad,2000 - 2001,1.47
,,2001 - 2002,1.44
,,2002 - 2003,1.47
,,2003 - 2004,1.5
,,2004 - 2005,1.5
,,2005 - 2006,1.46
,,2007 - 2008,1.5
,,2008 - 2009,1.5
,,2016 - 2017,1.5
,,2017 - 2018,1.5
,,2018 - 2019,1.57
,,2019 - 2020,1.63
,,2020 - 2021,2.5
,,2021 - 2022,1.63
,,2022 - 2023,1.88
