state,district,year,barley_rabi_yield_tonne_per_hectare
Bihar,Araria,2000 - 2001,1.17
,,2001 - 2002,1.25
,,2002 - 2003,1.17
,,2003 - 2004,1.12
,,2004 - 2005,1.05
,,2005 - 2006,1.04
,,2006 - 2007,1.07
,,2007 - 2008,1.19
,,2008 - 2009,1.11
,,2010 - 2011,1.29
,,2011 - 2012,1.6
,,2012 - 2013,1.4
,Arwal,2003 - 2004,1.03
,,2004 - 2005,0.87
,,2005 - 2006,0.71
,,2007 - 2008,1.04
,,2008 - 2009,0.74
,,2009 - 2010,0.81
,,2010 - 2011,0.91
,,2011 - 2012,0.91
,,2012 - 2013,1.34
,,2013 - 2014,1.13
,,2014 - 2015,1.1
,,2015 - 2016,1.27
,,2016 - 2017,1.34
,,2017 - 2018,1.74
,,2018 - 2019,1.38
,,2019 - 2020,1.29
,,2020 - 2021,1.33
,,2021 - 2022,1.55
,,2022 - 2023,1.12
,Aurangabad,2000 - 2001,1.05
,,2001 - 2002,1.01
,,2002 - 2003,1.1
,,2003 - 2004,0.93
,,2004 - 2005,1.03
,,2005 - 2006,0.51
,,2006 - 2007,0.8
,,2007 - 2008,1.09
,,2008 - 2009,0.66
,,2009 - 2010,0.68
,,2010 - 2011,0.77
,,2011 - 2012,0.77
,,2012 - 2013,1.04
,,2013 - 2014,1.32
,,2014 - 2015,1.14
,,2015 - 2016,1.24
,,2016 - 2017,1.18
,,2017 - 2018,2.14
,,2018 - 2019,1.59
,,2019 - 2020,0.98
,,2020 - 2021,1.4
,,2021 - 2022,1.71
,,2022 - 2023,1.02
,Banka,2000 - 2001,1.26
,,2001 - 2002,0.99
,,2002 - 2003,0.52
,,2003 - 2004,1.03
,,2004 - 2005,0.58
,,2005 - 2006,0.73
,,2006 - 2007,1.11
,,2007 - 2008,0.82
,,2008 - 2009,0.95
,,2009 - 2010,0.88
,,2010 - 2011,1.12
,,2011 - 2012,1.45
,,2012 - 2013,0.95
,,2013 - 2014,2.13
,,2014 - 2015,0.31
,,2015 - 2016,1.15
,,2016 - 2017,2.42
,,2017 - 2018,1.02
,,2018 - 2019,2.42
,,2019 - 2020,1.16
,,2020 - 2021,1.86
,,2021 - 2022,0.86
,,2022 - 2023,1.04
,Begusarai,2000 - 2001,0.95
,,2001 - 2002,0.6
,,2002 - 2003,0.91
,,2003 - 2004,0.88
,,2004 - 2005,1.05
,,2005 - 2006,0.86
,,2006 - 2007,1.52
,,2007 - 2008,1.12
,,2008 - 2009,0.64
,,2009 - 2010,0.79
,,2010 - 2011,0.94
,,2011 - 2012,0.68
,,2012 - 2013,1.43
,,2013 - 2014,1.39
,,2014 - 2015,1.11
,,2015 - 2016,1.31
,,2016 - 2017,1.5
,,2017 - 2018,1.58
,,2018 - 2019,2.0
,Bhagalpur,2000 - 2001,0.99
,,2001 - 2002,0.91
,,2002 - 2003,0.78
,,2003 - 2004,0.97
,,2004 - 2005,0.58
,,2005 - 2006,0.66
,,2006 - 2007,0.87
,,2007 - 2008,0.74
,,2008 - 2009,0.95
,,2009 - 2010,0.91
,,2010 - 2011,1.16
,,2011 - 2012,1.6
,,2012 - 2013,0.95
,,2013 - 2014,1.49
,,2014 - 2015,0.31
,,2015 - 2016,0.94
,,2016 - 2017,0.76
,,2017 - 2018,0.68
,,2018 - 2019,0.87
,,2019 - 2020,1.06
,,2020 - 2021,1.86
,,2021 - 2022,0.86
,,2022 - 2023,1.05
,Bhojpur,2000 - 2001,1.32
,,2001 - 2002,1.69
,,2002 - 2003,1.43
,,2003 - 2004,0.83
,,2004 - 2005,1.37
,,2005 - 2006,1.32
,,2006 - 2007,1.18
