state,district,year,ginger_rabi_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2010 - 2011,1.38
,,2011 - 2012,1.56
,,2012 - 2013,5.92
,,2013 - 2014,3.02
,,2014 - 2015,3.09
,,2015 - 2016,0.35
,,2016 - 2017,5.76
,,2017 - 2018,0.02
,,2018 - 2019,1.69
,,2019 - 2020,7.9
,,2020 - 2021,1.33
,North and middle andaman,2000 - 2001,
,,2001 - 2002,
,,2006 - 2007,
,,2010 - 2011,9.2
,,2011 - 2012,9.45
,,2012 - 2013,9.05
,,2013 - 2014,9.07
,,2014 - 2015,9.87
,,2015 - 2016,13.72
,,2016 - 2017,13.15
,,2017 - 2018,14.33
,,2018 - 2019,2.66
,,2019 - 2020,3.04
,,2020 - 2021,4.1
,South andamans,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2010 - 2011,8.81
,,2011 - 2012,8.64
,,2012 - 2013,8.91
,,2013 - 2014,6.02
,,2014 - 2015,8.96
,,2015 - 2016,8.5
,,2016 - 2017,7.33
,,2017 - 2018,7.82
,,2018 - 2019,11.85
,,2019 - 2020,10.74
,,2020 - 2021,5.46
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,
,Anantapur,2021 - 2022,
,,2022 - 2023,
,Bapatla,2022 - 2023,
,Chittoor,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East godavari,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2016 - 2017,2.75
,,2020 - 2021,
,Guntur,2020 - 2021,
,Kadapa,2004 - 2005,
,,2012 - 2013,8.0
,,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Krishna,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
