state,district,year,ginger_whole_year_yield_tonne_per_hectare
,,2017 - 2018,9.74
,,2018 - 2019,10.04
,,2019 - 2020,10.11
,,2020 - 2021,10.11
,,2021 - 2022,10.11
,,2022 - 2023,9.99
,South salmara mancachar,2020 - 2021,11.0
,,2021 - 2022,11.68
,,2022 - 2023,12.38
,Tinsukia,2007 - 2008,6.84
,,2008 - 2009,6.84
,,2009 - 2010,6.84
,,2010 - 2011,6.84
,,2011 - 2012,6.98
,,2012 - 2013,7.88
,,2013 - 2014,7.88
,,2014 - 2015,7.89
,,2015 - 2016,7.89
,,2016 - 2017,7.98
,,2017 - 2018,7.99
,,2018 - 2019,8.38
,,2019 - 2020,8.49
,,2020 - 2021,8.5
,,2021 - 2022,8.49
,,2022 - 2023,8.55
,Udalguri,2007 - 2008,6.43
,,2008 - 2009,6.43
,,2009 - 2010,6.43
,,2010 - 2011,6.43
,,2011 - 2012,8.87
,,2012 - 2013,9.87
,,2013 - 2014,9.87
,,2014 - 2015,9.88
,,2015 - 2016,9.88
,,2016 - 2017,9.96
,,2017 - 2018,9.96
,,2018 - 2019,10.3
,,2019 - 2020,10.39
,,2020 - 2021,10.39
,,2021 - 2022,10.39
,,2022 - 2023,10.47
,West karbi anglong,2020 - 2021,10.0
,,2021 - 2022,10.0
,,2022 - 2023,10.04
Bihar,Araria,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.48
,,2003 - 2004,
,,2004 - 2005,1.51
,,2005 - 2006,1.51
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,1.83
,,2022 - 2023,2.0
,Arwal,2005 - 2006,1.33
,,2008 - 2009,
,Aurangabad,2001 - 2002,
,,2002 - 2003,1.0
,,2005 - 2006,2.0
,Begusarai,2000 - 2001,
,,2002 - 2003,1.33
,,2005 - 2006,2.0
,Bhagalpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.5
,,2003 - 2004,
,,2005 - 2006,1.47
,Bhojpur,2016 - 2017,2.0
,Gaya,2002 - 2003,1.0
,,2005 - 2006,1.5
,,2007 - 2008,
,,2008 - 2009,
,Gopalganj,2022 - 2023,1.82
,Jehanabad,2003 - 2004,
,Katihar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.5
,,2003 - 2004,
,,2004 - 2005,1.5
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,1.83
,,2018 - 2019,1.83
,,2019 - 2020,1.83
,,2020 - 2021,1.83
,,2021 - 2022,1.83
,,2022 - 2023,1.83
,Khagaria,2016 - 2017,2.0
,Kishanganj,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.49
,,2003 - 2004,
,,2004 - 2005,1.51
,,2005 - 2006,1.51
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,1.83
,,2017 - 2018,1.9
,,2018 - 2019,1.88
,,2019 - 2020,1.87
,,2020 - 2021,1.88
,,2022 - 2023,1.88
,Madhepura,2000 - 2001,
,,2002 - 2003,1.6
,,2005 - 2006,1.0
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,2.0
,,2017 - 2018,2.0
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,2.0
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,Madhubani,2000 - 2001,
,,2002 - 2003,1.33
,,2003 - 2004,
,,2004 - 2005,1.0
,,2005 - 2006,1.51
,,2007 - 2008,
,,2008 - 2009,
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,Muzaffarpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.5
,,2003 - 2004,
,,2004 - 2005,1.0
,,2005 - 2006,1.05
,,2008 - 2009,
,,2016 - 2017,1.71
,,2017 - 2018,1.71
,,2018 - 2019,1.77
,,2019 - 2020,1.76
,,2020 - 2021,1.88
,,2021 - 2022,1.81
,,2022 - 2023,1.82
,Nalanda,2002 - 2003,1.5
,Nawada,2004 - 2005,2.0
,,2005 - 2006,1.5
,Pashchim champaran,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.48
,,2003 - 2004,
,,2004 - 2005,1.6
,,2005 - 2006,1.63
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,1.77
,,2017 - 2018,1.7
,,2018 - 2019,1.75
,,2019 - 2020,1.78
,,2020 - 2021,1.88
,,2021 - 2022,1.83
,,2022 - 2023,1.83
,Patna,2016 - 2017,2.0
,Purbi champaran,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,1.53
,,2005 - 2006,1.5
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,1.76
,Purnia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.0
,,2003 - 2004,
,,2004 - 2005,1.5
,,2005 - 2006,2.0
,,2008 - 2009,
,Rohtas,2016 - 2017,2.0
,,2017 - 2018,2.0
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,Saharsa,2004 - 2005,1.67
,,2007 - 2008,
,Samastipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.5
,,2003 - 2004,
,,2004 - 2005,1.0
,,2005 - 2006,1.5
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,2.0
,,2017 - 2018,1.88
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,Sheikhpura,2016 - 2017,2.0
,Sheohar,2016 - 2017,1.76
,Sitamarhi,2000 - 2001,
,Siwan,2000 - 2001,
,,2004 - 2005,2.0
,,2005 - 2006,1.5
,,2016 - 2017,1.6
,,2017 - 2018,1.8
,,2018 - 2019,1.8
,,2019 - 2020,1.8
,,2020 - 2021,1.8
,,2021 - 2022,1.8
,,2022 - 2023,1.75
,Supaul,2002 - 2003,1.5
,,2003 - 2004,
,,2004 - 2005,1.5
,,2005 - 2006,1.5
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,1.98
,,2017 - 2018,1.92
,,2018 - 2019,1.92
,,2019 - 2020,1.96
,,2020 - 2021,1.92
,,2021 - 2022,1.96
,,2022 - 2023,1.95
,Vaishali,2000 - 2001,
,,2016 - 2017,2.0
Chhattisgarh,Balod,2011 - 2012,1.0
,,2020 - 2021,2.0
,,2021 - 2022,1.67
,Baloda bazar,2011 - 2012,1.32
,,2012 - 2013,1.39
,,2013 - 2014,1.52
,,2014 - 2015,1.52
,,2015 - 2016,1.52
,,2016 - 2017,1.22
,,2017 - 2018,1.33
,,2018 - 2019,0.0
,,2019 - 2020,1.29
,,2020 - 2021,1.29
,,2021 - 2022,1.18
,,2022 - 2023,1.83
,Balrampur,2011 - 2012,1.16
,,2012 - 2013,1.2
,,2013 - 2014,1.02
,,2014 - 2015,1.02
,,2015 - 2016,1.02
,,2016 - 2017,1.12
,,2017 - 2018,1.1
,,2018 - 2019,1.1
,,2019 - 2020,1.08
,,2020 - 2021,1.19
,,2021 - 2022,1.13
,,2022 - 2023,1.03
,Bastar,2000 - 2001,1.24
,,2001 - 2002,1.2
,,2002 - 2003,1.1
,,2003 - 2004,1.25
,,2004 - 2005,1.26
,,2005 - 2006,1.16
,,2006 - 2007,1.25
,,2007 - 2008,1.29
,,2008 - 2009,1.2
,,2009 - 2010,1.29
,,2010 - 2011,1.26
,,2011 - 2012,1.32
,,2012 - 2013,1.31
,,2013 - 2014,1.16
,,2014 - 2015,1.06
,,2015 - 2016,1.06
,,2016 - 2017,1.18
,,2017 - 2018,1.18
,,2018 - 2019,1.18
,,2019 - 2020,1.2
,,2020 - 2021,1.2
,,2021 - 2022,1.13
,,2022 - 2023,1.0
,Bemetara,2011 - 2012,1.17
,,2012 - 2013,1.13
,,2013 - 2014,1.08
,,2014 - 2015,1.12
,,2015 - 2016,1.0
,,2016 - 2017,1.05
,,2017 - 2018,1.06
,,2018 - 2019,1.16
,,2019 - 2020,1.05
,,2020 - 2021,1.36
,,2021 - 2022,1.35
,,2022 - 2023,1.25
,Bijapur,2009 - 2010,0.0
,,2010 - 2011,1.0
,,2017 - 2018,1.0
,,2022 - 2023,2.0
,Bilaspur,2000 - 2001,1.09
,,2001 - 2002,1.21
,,2002 - 2003,1.07
,,2003 - 2004,1.19
,,2004 - 2005,1.04
,,2005 - 2006,1.05
,,2006 - 2007,1.2
,,2007 - 2008,1.13
,,2008 - 2009,1.13
,,2009 - 2010,1.26
,,2010 - 2011,1.26
,,2011 - 2012,1.27
,,2012 - 2013,1.31
,,2013 - 2014,1.07
,,2014 - 2015,1.26
,,2015 - 2016,1.25
,,2016 - 2017,1.28
,,2017 - 2018,1.27
,,2018 - 2019,1.29
,,2019 - 2020,1.0
,,2020 - 2021,1.5
,,2021 - 2022,1.5
,,2022 - 2023,1.0
,Dantewada,2000 - 2001,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.5
,,2004 - 2005,1.33
,,2005 - 2006,1.13
,,2006 - 2007,1.0
,,2007 - 2008,1.25
,,2008 - 2009,1.5
,,2009 - 2010,0.0
,,2010 - 2011,1.0
,,2011 - 2012,1.67
,,2012 - 2013,1.0
,,2013 - 2014,1.17
,,2014 - 2015,1.0
,,2015 - 2016,1.08
,,2016 - 2017,1.2
,,2017 - 2018,1.0
,,2018 - 2019,0.0
,,2019 - 2020,1.0
,,2020 - 2021,1.5
,Dhamtari,2001 - 2002,1.0
,,2002 - 2003,1.2
,,2003 - 2004,2.0
,,2004 - 2005,1.5
,,2005 - 2006,1.29
,,2006 - 2007,1.33
,,2007 - 2008,2.0
,,2010 - 2011,1.0
,,2013 - 2014,1.0
,,2015 - 2016,1.67
,,2016 - 2017,1.0
,,2019 - 2020,2.0
,,2020 - 2021,1.5
,,2021 - 2022,2.0
,,2022 - 2023,1.5
,Durg,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.18
,,2003 - 2004,1.0
,,2004 - 2005,1.16
,,2005 - 2006,1.15
,,2006 - 2007,1.45
,,2007 - 2008,1.24
,,2008 - 2009,1.15
,,2009 - 2010,1.15
,,2010 - 2011,1.16
,,2012 - 2013,1.0
,,2015 - 2016,1.5
,,2016 - 2017,1.0
,,2018 - 2019,0.0
,,2019 - 2020,1.82
,,2020 - 2021,1.51
,,2021 - 2022,1.67
,,2022 - 2023,1.33
,Gariyaband,2013 - 2014,2.0
,,2014 - 2015,2.0
,,2018 - 2019,0.0
,,2019 - 2020,1.67
,,2020 - 2021,2.0
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,Gaurella-pendra-marwahi,2019 - 2020,3.0
,,2020 - 2021,1.5
,,2021 - 2022,1.83
,,2022 - 2023,1.25
,Janjgir-champa,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.17
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.33
,,2007 - 2008,1.33
,,2008 - 2009,1.4
,,2009 - 2010,1.2
,,2010 - 2011,1.25
,,2011 - 2012,1.4
,,2012 - 2013,1.33
,,2013 - 2014,1.0
,,2014 - 2015,1.2
,,2015 - 2016,1.0
,,2016 - 2017,1.5
,,2017 - 2018,1.5
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,2.0
,,2021 - 2022,2.0
,Jashpur,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.12
,,2010 - 2011,0.91
,,2011 - 2012,1.22
,,2012 - 2013,1.15
,,2013 - 2014,1.19
,,2014 - 2015,1.16
,,2015 - 2016,1.31
,,2016 - 2017,1.21
,,2017 - 2018,1.14
,,2018 - 2019,1.08
,,2019 - 2020,1.2
,,2020 - 2021,1.23
,,2021 - 2022,1.2
,,2022 - 2023,1.24
,Kabirdham,2002 - 2003,1.12
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.67
,,2010 - 2011,1.29
,,2013 - 2014,1.0
,,2020 - 2021,1.57
,Kanker,2000 - 2001,1.23
,,2001 - 2002,1.4
,,2002 - 2003,1.0
,,2003 - 2004,1.54
,,2004 - 2005,1.38
,,2005 - 2006,1.15
,,2006 - 2007,1.5
,,2007 - 2008,1.36
,,2008 - 2009,1.14
,,2009 - 2010,1.21
,,2010 - 2011,1.26
,,2011 - 2012,1.29
,,2012 - 2013,1.0
,,2013 - 2014,0.88
,,2014 - 2015,0.9
,,2015 - 2016,0.88
,,2016 - 2017,1.17
,,2017 - 2018,0.91
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2021 - 2022,2.0
,Kondagaon,2011 - 2012,1.31
,,2012 - 2013,1.15
,,2013 - 2014,1.15
,,2014 - 2015,1.07
,,2015 - 2016,1.06
,,2016 - 2017,1.16
,,2017 - 2018,1.09
,,2018 - 2019,1.17
,,2019 - 2020,1.25
,,2020 - 2021,1.26
,,2021 - 2022,1.17
,,2022 - 2023,1.14
,Korba,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,0.33
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.43
,,2009 - 2010,0.0
,,2010 - 2011,1.25
,,2011 - 2012,1.33
,,2012 - 2013,1.5
,,2013 - 2014,1.0
,,2014 - 2015,1.5
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.5
,,2018 - 2019,1.0
,,2022 - 2023,2.0
,Korea,2000 - 2001,1.0
,,2001 - 2002,1.21
,,2002 - 2003,1.13
,,2003 - 2004,1.25
,,2004 - 2005,1.0
,,2005 - 2006,0.92
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.23
,,2009 - 2010,0.87
,,2010 - 2011,1.31
,,2011 - 2012,1.15
,,2012 - 2013,1.0
,,2013 - 2014,1.1
,,2014 - 2015,1.08
,,2015 - 2016,1.11
,,2016 - 2017,1.14
,,2017 - 2018,1.14
,,2018 - 2019,1.06
,,2019 - 2020,0.94
,,2020 - 2021,1.08
,,2021 - 2022,1.05
,,2022 - 2023,1.33
,Mahasamund,2001 - 2002,0.75
,,2002 - 2003,1.17
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.38
,,2012 - 2013,1.43
,,2013 - 2014,1.4
,,2014 - 2015,10.0
,,2016 - 2017,1.18
,,2017 - 2018,1.33
,,2018 - 2019,1.36
,,2019 - 2020,1.4
,,2020 - 2021,2.88
,,2021 - 2022,2.08
,,2022 - 2023,2.08
,Manendragarh chirimiri bharatpur,2022 - 2023,1.33
,Mungeli,2011 - 2012,1.26
,,2018 - 2019,0.0
,,2020 - 2021,2.0
,,2021 - 2022,1.86
,,2022 - 2023,2.0
,Narayanpur,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.0
,,2010 - 2011,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.11
,,2018 - 2019,0.0
,,2019 - 2020,2.0
,,2021 - 2022,1.75
,,2022 - 2023,1.0
,Raigarh,2000 - 2001,0.81
,,2001 - 2002,0.81
,,2002 - 2003,0.75
,,2003 - 2004,0.9
,,2004 - 2005,0.85
,,2005 - 2006,0.81
,,2006 - 2007,0.98
,,2007 - 2008,0.99
,,2008 - 2009,0.98
,,2009 - 2010,1.16
,,2010 - 2011,1.35
,,2011 - 2012,1.18
,,2012 - 2013,1.19
,,2013 - 2014,1.16
,,2014 - 2015,1.31
,,2015 - 2016,1.38
,,2016 - 2017,1.32
,,2017 - 2018,1.32
,,2018 - 2019,1.32
,,2019 - 2020,1.26
,,2020 - 2021,1.2
,,2021 - 2022,1.2
,,2022 - 2023,1.22
,Raipur,2000 - 2001,1.0
,,2001 - 2002,0.5
,,2002 - 2003,1.0
,,2003 - 2004,1.08
,,2004 - 2005,1.13
,,2005 - 2006,1.28
,,2006 - 2007,1.08
,,2007 - 2008,1.1
,,2008 - 2009,1.17
,,2009 - 2010,1.21
,,2010 - 2011,1.32
,,2011 - 2012,1.32
,,2012 - 2013,1.33
,,2013 - 2014,1.6
,,2014 - 2015,1.63
,,2015 - 2016,1.5
,,2016 - 2017,1.23
,,2017 - 2018,1.31
,,2018 - 2019,0.0
,,2019 - 2020,1.81
,,2020 - 2021,2.39
,,2021 - 2022,2.39
,,2022 - 2023,1.88
,Rajnandgaon,2000 - 2001,1.23
,,2001 - 2002,1.17
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.23
,,2005 - 2006,1.2
,,2006 - 2007,1.18
,,2007 - 2008,1.25
,,2008 - 2009,1.33
,,2009 - 2010,1.14
,,2010 - 2011,1.12
,,2011 - 2012,1.15
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.25
,,2017 - 2018,1.2
,,2018 - 2019,1.0
,,2019 - 2020,1.33
,,2020 - 2021,1.4
,,2021 - 2022,1.41
,,2022 - 2023,1.33
,Sakti,2022 - 2023,2.0
,Sarangarh bilaigarh,2022 - 2023,1.8
,Sukma,2014 - 2015,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,Surajpur,2011 - 2012,1.16
,,2012 - 2013,1.25
,,2013 - 2014,0.97
,,2014 - 2015,1.35
,,2015 - 2016,1.37
,,2016 - 2017,1.13
,,2017 - 2018,1.17
,,2018 - 2019,1.11
,,2019 - 2020,1.37
,,2020 - 2021,1.45
,,2021 - 2022,1.35
,,2022 - 2023,1.26
,Surguja,2000 - 2001,1.23
,,2001 - 2002,1.21
,,2002 - 2003,1.14
,,2003 - 2004,1.19
,,2004 - 2005,1.1
,,2005 - 2006,0.96
,,2006 - 2007,1.23
,,2007 - 2008,1.2
,,2008 - 2009,1.25
,,2009 - 2010,0.81
,,2010 - 2011,1.35
,,2011 - 2012,1.16
,,2012 - 2013,1.1
,,2013 - 2014,1.2
,,2014 - 2015,1.2
,,2015 - 2016,0.99
,,2016 - 2017,1.14
,,2017 - 2018,1.28
,,2018 - 2019,1.3
,,2019 - 2020,1.42
,,2020 - 2021,1.93
,,2021 - 2022,1.93
,,2022 - 2023,1.84
Haryana,Ambala,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,14.86
,,2014 - 2015,10.48
,,2015 - 2016,12.5
,Hisar,2021 - 2022,
,Jind,2021 - 2022,
,Kaithal,2012 - 2013,
,Panchkula,2000 - 2001,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,13.91
,,2014 - 2015,15.38
,,2015 - 2016,15.33
,,2016 - 2017,18.63
,,2017 - 2018,7.5
,,2018 - 2019,7.99
,,2019 - 2020,8.19
,,2021 - 2022,
,Sonipat,2015 - 2016,14.0
,,2016 - 2017,12.5
,,2017 - 2018,8.0
,,2018 - 2019,6.5
,,2019 - 2020,12.5
,Yamunanagar,2000 - 2001,
,,2011 - 2012,
,,2013 - 2014,14.75
,,2014 - 2015,15.94
,,2015 - 2016,15.52
,,2016 - 2017,14.18
,,2017 - 2018,7.64
Himachal Pradesh,Bilaspur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Chamba,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,Hamirpur,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kangra,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kullu,2009 - 2010,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,Lahul and spiti,2018 - 2019,
,Mandi,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2020 - 2021,
,,2021 - 2022,
,Shimla,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Sirmaur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Solan,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Una,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
Jammu and Kashmir,Jammu,2007 - 2008,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Kathua,2000 - 2001,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Poonch,2012 - 2013,
,Rajauri,2005 - 2006,
,Reasi,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,Samba,2017 - 2018,
,Udhampur,2000 - 2001,
,,2005 - 2006,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
Karnataka,Bagalkot,2014 - 2015,29.04
,,2015 - 2016,37.33
,,2016 - 2017,25.27
,,2017 - 2018,25.88
,,2018 - 2019,15.38
,,2019 - 2020,10.45
,,2020 - 2021,11.69
,,2021 - 2022,12.31
,,2022 - 2023,8.01
,Bangalore rural,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,11.67
,,2006 - 2007,11.67
,,2007 - 2008,20.52
,,2008 - 2009,31.86
,,2009 - 2010,31.49
,,2010 - 2011,3.62
,,2011 - 2012,3.18
,,2012 - 2013,31.85
,,2013 - 2014,27.67
,,2014 - 2015,29.09
,,2015 - 2016,37.33
,,2016 - 2017,25.29
,,2017 - 2018,25.83
,,2018 - 2019,15.39
,,2019 - 2020,10.46
,,2020 - 2021,11.69
,,2021 - 2022,11.69
,,2022 - 2023,7.54
,Belgaum,2007 - 2008,20.5
,,2008 - 2009,31.8
,,2010 - 2011,3.62
,,2012 - 2013,31.83
,,2013 - 2014,27.67
,,2014 - 2015,29.05
,,2016 - 2017,25.5
,,2017 - 2018,25.8
,,2018 - 2019,15.4
,,2019 - 2020,10.46
,,2020 - 2021,11.69
,,2021 - 2022,12.31
,,2022 - 2023,14.8
,Bellary,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,13.0
,,2006 - 2007,13.0
,,2007 - 2008,21.0
,,2008 - 2009,32.0
,,2009 - 2010,31.0
,,2010 - 2011,3.6
,,2015 - 2016,37.0
,,2017 - 2018,26.0
,,2018 - 2019,15.4
,,2019 - 2020,10.46
,,2020 - 2021,11.69
,,2021 - 2022,12.31
,Bengaluru urban,2000 - 2001,
,,2012 - 2013,31.8
,,2013 - 2014,27.75
,,2014 - 2015,29.09
,,2015 - 2016,37.36
,,2016 - 2017,25.25
,,2017 - 2018,25.83
,,2018 - 2019,15.39
,,2019 - 2020,10.46
,,2020 - 2021,11.69
,,2021 - 2022,12.6
,,2022 - 2023,15.81
,Bidar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,12.71
,,2006 - 2007,12.71
,,2007 - 2008,20.52
,,2008 - 2009,31.86
,,2009 - 2010,31.49
,,2010 - 2011,3.62
,,2011 - 2012,3.18
,,2012 - 2013,31.86
,,2013 - 2014,16.37
,,2014 - 2015,15.83
,,2015 - 2016,16.06
,,2016 - 2017,18.24
,,2017 - 2018,25.83
,,2018 - 2019,15.39
,,2019 - 2020,13.9
,,2020 - 2021,13.95
,,2021 - 2022,14.0
,,2022 - 2023,11.5
,Bijapur,2018 - 2019,15.38
,,2019 - 2020,10.46
,,2020 - 2021,11.69
,,2021 - 2022,12.47
,,2022 - 2023,2.46
,Chamarajanagar,2005 - 2006,13.0
,,2006 - 2007,13.0
,,2007 - 2008,21.0
,,2008 - 2009,31.86
,,2009 - 2010,31.5
,,2010 - 2011,3.62
,,2011 - 2012,3.18
,,2012 - 2013,31.86
,,2013 - 2014,27.63
,,2014 - 2015,29.06
,,2015 - 2016,37.33
,,2016 - 2017,25.28
,,2017 - 2018,25.83
,,2018 - 2019,15.39
,,2019 - 2020,10.46
,,2020 - 2021,11.69
,,2021 - 2022,12.56
,,2022 - 2023,10.0
,Chikballapur,2010 - 2011,3.61
,,2011 - 2012,3.18
,,2012 - 2013,31.87
,,2013 - 2014,27.62
,,2014 - 2015,29.0
,,2015 - 2016,37.35
,,2016 - 2017,25.3
,,2017 - 2018,25.84
,,2018 - 2019,15.39
,,2019 - 2020,10.46
,,2020 - 2021,11.69
,,2021 - 2022,12.58
,,2022 - 2023,9.53
,Chikmagalur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,12.23
,,2006 - 2007,12.23
,,2007 - 2008,20.52
,,2008 - 2009,31.86
,,2009 - 2010,31.49
,,2010 - 2011,3.43
,,2011 - 2012,3.03
,,2012 - 2013,30.31
,,2013 - 2014,31.87
,,2014 - 2015,29.05
,,2015 - 2016,37.33
,,2016 - 2017,25.28
,,2017 - 2018,24.95
,,2018 - 2019,16.39
,,2019 - 2020,10.62
,,2020 - 2021,11.69
