state,district,year,ginger_whole_year_yield_tonne_per_hectare
,,2010 - 2011,9.5
,,2011 - 2012,9.25
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
Arunachal Pradesh,Anjaw,2004 - 2005,7.0
,,2005 - 2006,7.0
,,2006 - 2007,7.59
,,2007 - 2008,7.37
,,2008 - 2009,7.54
,,2009 - 2010,8.0
,,2010 - 2011,8.0
,,2011 - 2012,8.05
,,2012 - 2013,8.17
,,2013 - 2014,8.17
,,2014 - 2015,20.16
,,2015 - 2016,4.71
,,2016 - 2017,5.03
,,2017 - 2018,4.73
,,2018 - 2019,4.82
,,2019 - 2020,4.75
,,2020 - 2021,4.82
,,2021 - 2022,5.19
,,2022 - 2023,5.19
,Changlang,2000 - 2001,5.28
,,2001 - 2002,4.7
,,2002 - 2003,5.5
,,2003 - 2004,5.65
,,2004 - 2005,7.25
,,2005 - 2006,5.7
,,2006 - 2007,5.44
,,2007 - 2008,6.3
,,2008 - 2009,7.15
,,2009 - 2010,7.2
,,2010 - 2011,7.2
,,2011 - 2012,7.21
,,2012 - 2013,7.73
,,2013 - 2014,7.73
,,2014 - 2015,7.08
,,2015 - 2016,7.41
,,2016 - 2017,7.41
,,2017 - 2018,7.25
,,2018 - 2019,7.26
,,2019 - 2020,7.25
,,2020 - 2021,7.26
,,2021 - 2022,7.32
,,2022 - 2023,7.32
,Dibang valley,2000 - 2001,7.0
,,2001 - 2002,9.0
,,2002 - 2003,16.67
,,2003 - 2004,8.0
,,2004 - 2005,4.38
,,2005 - 2006,7.17
,,2006 - 2007,1.6
,,2007 - 2008,5.94
,,2008 - 2009,6.25
,,2009 - 2010,6.25
,,2010 - 2011,4.0
,,2011 - 2012,4.13
,,2012 - 2013,2.74
,,2013 - 2014,2.87
,,2014 - 2015,3.1
,,2015 - 2016,4.78
,,2016 - 2017,4.9
,,2017 - 2018,4.78
,,2018 - 2019,4.82
,,2019 - 2020,4.79
,,2020 - 2021,4.82
,,2021 - 2022,5.09
,,2022 - 2023,5.08
,East kameng,2000 - 2001,4.05
,,2001 - 2002,4.5
,,2002 - 2003,4.44
,,2003 - 2004,4.45
,,2004 - 2005,4.44
,,2005 - 2006,4.13
,,2006 - 2007,4.05
,,2007 - 2008,4.09
,,2008 - 2009,4.13
,,2009 - 2010,4.12
,,2010 - 2011,4.07
,,2011 - 2012,4.06
,,2012 - 2013,4.1
,,2013 - 2014,4.12
,,2014 - 2015,3.68
,,2015 - 2016,4.55
,,2016 - 2017,4.7
,,2017 - 2018,4.56
,,2018 - 2019,4.6
,,2019 - 2020,4.57
,,2020 - 2021,4.58
,,2021 - 2022,4.94
,,2022 - 2023,4.95
,East siang,2000 - 2001,8.14
,,2001 - 2002,7.96
,,2002 - 2003,8.31
,,2003 - 2004,8.27
,,2004 - 2005,22.01
,,2005 - 2006,8.79
,,2006 - 2007,8.79
,,2007 - 2008,8.37
,,2008 - 2009,8.37
,,2009 - 2010,9.76
,,2010 - 2011,9.76
,,2011 - 2012,9.78
,,2012 - 2013,9.16
,,2013 - 2014,8.96
,,2014 - 2015,8.63
,,2015 - 2016,7.67
,,2016 - 2017,7.57
,,2017 - 2018,7.47
,,2018 - 2019,7.37
,,2019 - 2020,7.24
,,2020 - 2021,7.24
,,2021 - 2022,7.32
,,2022 - 2023,7.32
,Kamle,2018 - 2019,5.98
,,2019 - 2020,5.94
,,2020 - 2021,5.93
,,2021 - 2022,6.23
,,2022 - 2023,6.22
,Kra daadi,2015 - 2016,6.18
,,2016 - 2017,7.35
,,2017 - 2018,5.95
,,2018 - 2019,6.24
,,2019 - 2020,5.95
,,2020 - 2021,6.09
,,2021 - 2022,6.26
,,2022 - 2023,6.23
,Kurung kumey,2002 - 2003,7.25
,,2003 - 2004,7.1
,,2004 - 2005,6.91
,,2005 - 2006,7.0
,,2006 - 2007,0.8
,,2007 - 2008,0.68
,,2008 - 2009,6.0
,,2009 - 2010,6.0
,,2010 - 2011,6.95
,,2011 - 2012,7.15
,,2012 - 2013,6.9
,,2013 - 2014,6.8
,,2014 - 2015,4.88
,,2015 - 2016,5.64
,,2016 - 2017,7.07
,,2017 - 2018,5.5
,,2018 - 2019,5.83
,,2019 - 2020,5.53
,,2020 - 2021,5.68
,,2021 - 2022,6.4
,,2022 - 2023,5.91
,Leparada,2019 - 2020,7.11
,,2020 - 2021,7.19
,,2021 - 2022,7.58
,,2022 - 2023,7.59
,Lohit,2000 - 2001,9.8
,,2001 - 2002,10.0
,,2002 - 2003,10.0
,,2003 - 2004,9.0
,,2004 - 2005,7.0
,,2005 - 2006,8.2
,,2006 - 2007,8.15
,,2007 - 2008,8.23
,,2008 - 2009,8.38
,,2009 - 2010,8.2
,,2010 - 2011,8.96
,,2011 - 2012,8.98
,,2012 - 2013,9.05
,,2013 - 2014,9.07
,,2014 - 2015,8.8
,,2015 - 2016,8.67
,,2016 - 2017,7.88
,,2017 - 2018,7.31
,,2018 - 2019,7.35
,,2019 - 2020,7.31
,,2020 - 2021,7.34
,,2021 - 2022,7.57
,,2022 - 2023,7.57
,Longding,2013 - 2014,8.18
,,2014 - 2015,5.9
,,2015 - 2016,7.03
,,2016 - 2017,7.03
,,2017 - 2018,6.37
,,2018 - 2019,6.51
,,2019 - 2020,6.51
,,2020 - 2021,6.63
,,2021 - 2022,6.86
,,2022 - 2023,6.86
,Lower dibang valley,2002 - 2003,7.0
,,2003 - 2004,8.5
,,2004 - 2005,5.65
,,2005 - 2006,7.0
,,2006 - 2007,7.5
,,2007 - 2008,7.5
,,2008 - 2009,7.5
,,2009 - 2010,7.5
,,2010 - 2011,7.5
,,2011 - 2012,7.52
,,2012 - 2013,8.0
,,2013 - 2014,8.0
,,2014 - 2015,7.87
,,2015 - 2016,7.89
,,2016 - 2017,7.85
,,2017 - 2018,7.73
,,2018 - 2019,7.73
,,2019 - 2020,7.67
,,2020 - 2021,7.68
,,2021 - 2022,7.72
,,2022 - 2023,7.72
,Lower siang,2018 - 2019,7.36
,,2019 - 2020,7.15
,,2020 - 2021,7.16
,,2021 - 2022,7.26
,,2022 - 2023,7.26
,Lower subansiri,2000 - 2001,5.49
,,2001 - 2002,7.07
,,2002 - 2003,6.89
,,2003 - 2004,6.92
,,2004 - 2005,4.68
,,2005 - 2006,6.37
,,2006 - 2007,6.33
,,2007 - 2008,6.0
,,2008 - 2009,6.0
,,2009 - 2010,6.02
,,2010 - 2011,5.65
,,2011 - 2012,5.65
,,2012 - 2013,5.65
,,2013 - 2014,5.65
,,2014 - 2015,4.92
,,2015 - 2016,5.47
,,2016 - 2017,5.54
,,2017 - 2018,5.46
,,2018 - 2019,5.5
,,2019 - 2020,5.47
,,2020 - 2021,5.47
,,2021 - 2022,5.67
,,2022 - 2023,5.67
,Namsai,2015 - 2016,8.39
,,2016 - 2017,8.24
,,2017 - 2018,7.74
,,2018 - 2019,7.74
,,2019 - 2020,7.63
,,2020 - 2021,7.64
,,2021 - 2022,7.69
,,2022 - 2023,7.69
,Pakke kessang,2019 - 2020,4.57
,,2020 - 2021,4.58
,,2021 - 2022,4.91
,,2022 - 2023,4.92
,Papum pare,2000 - 2001,7.0
,,2001 - 2002,7.0
,,2002 - 2003,6.08
,,2003 - 2004,7.93
,,2004 - 2005,8.8
,,2005 - 2006,7.26
,,2006 - 2007,7.14
,,2007 - 2008,6.96
,,2008 - 2009,7.18
,,2009 - 2010,10.3
,,2010 - 2011,10.25
,,2011 - 2012,5.88
,,2012 - 2013,9.9
,,2013 - 2014,9.6
,,2014 - 2015,7.25
,,2015 - 2016,8.14
,,2016 - 2017,7.64
,,2017 - 2018,7.5
,,2018 - 2019,7.53
,,2019 - 2020,7.16
,,2020 - 2021,7.15
,,2021 - 2022,7.31
,,2022 - 2023,7.31
,Shi yomi,2019 - 2020,6.89
,,2020 - 2021,7.05
,,2021 - 2022,7.1
,,2022 - 2023,5.23
,Siang,2015 - 2016,7.99
,,2016 - 2017,7.75
,,2017 - 2018,7.17
,,2018 - 2019,7.05
,,2019 - 2020,7.05
,,2020 - 2021,7.06
,,2021 - 2022,7.24
,,2022 - 2023,7.34
,Tawang,2002 - 2003,2.5
,,2003 - 2004,2.5
,,2004 - 2005,2.5
,,2005 - 2006,2.5
,,2006 - 2007,2.5
,,2007 - 2008,2.5
,,2008 - 2009,2.5
,,2009 - 2010,2.53
,,2010 - 2011,2.5
,,2011 - 2012,2.48
,,2012 - 2013,2.5
,,2013 - 2014,2.5
,,2014 - 2015,3.27
,,2015 - 2016,3.37
,,2016 - 2017,3.56
,,2017 - 2018,3.44
,,2018 - 2019,3.49
,,2019 - 2020,3.46
,,2020 - 2021,3.48
,,2021 - 2022,3.79
,,2022 - 2023,3.79
,Tirap,2000 - 2001,2.79
,,2001 - 2002,4.55
,,2002 - 2003,4.55
,,2003 - 2004,4.61
,,2004 - 2005,7.11
,,2006 - 2007,4.38
,,2007 - 2008,3.5
,,2008 - 2009,3.45
,,2009 - 2010,2.63
,,2010 - 2011,2.65
,,2011 - 2012,2.66
,,2012 - 2013,8.0
,,2013 - 2014,8.18
,,2014 - 2015,6.43
,,2015 - 2016,8.0
,,2016 - 2017,5.33
,,2017 - 2018,4.87
,,2018 - 2019,5.0
,,2019 - 2020,4.89
,,2020 - 2021,5.0
,,2021 - 2022,5.46
,,2022 - 2023,5.46
,Upper siang,2003 - 2004,6.67
,,2004 - 2005,0.8
,,2005 - 2006,5.0
,,2006 - 2007,5.0
,,2007 - 2008,5.0
,,2008 - 2009,5.0
,,2009 - 2010,6.0
,,2010 - 2011,6.0
,,2011 - 2012,6.05
,,2012 - 2013,6.5
,,2013 - 2014,6.6
,,2014 - 2015,5.69
,,2015 - 2016,4.01
,,2016 - 2017,4.08
,,2017 - 2018,4.83
,,2018 - 2019,4.85
,,2019 - 2020,4.83
,,2020 - 2021,4.85
,,2021 - 2022,5.24
,,2022 - 2023,5.35
,Upper subansiri,2001 - 2002,5.0
,,2002 - 2003,5.05
,,2003 - 2004,4.74
,,2004 - 2005,6.86
,,2005 - 2006,4.01
,,2006 - 2007,9.13
,,2007 - 2008,11.6
,,2008 - 2009,5.69
,,2009 - 2010,5.69
,,2010 - 2011,9.46
,,2011 - 2012,9.27
,,2012 - 2013,9.0
,,2013 - 2014,9.22
,,2014 - 2015,7.11
,,2015 - 2016,7.96
,,2016 - 2017,7.48
,,2017 - 2018,7.11
,,2018 - 2019,7.15
,,2019 - 2020,7.11
,,2020 - 2021,7.1
,,2021 - 2022,7.28
,,2022 - 2023,7.28
,West kameng,2000 - 2001,1.51
,,2001 - 2002,1.51
,,2002 - 2003,1.51
,,2003 - 2004,1.51
,,2004 - 2005,1.51
,,2005 - 2006,1.51
,,2006 - 2007,1.53
,,2007 - 2008,1.56
,,2008 - 2009,2.41
,,2009 - 2010,1.6
,,2010 - 2011,3.63
,,2011 - 2012,3.58
,,2012 - 2013,3.63
,,2013 - 2014,3.72
,,2014 - 2015,3.47
,,2015 - 2016,4.62
,,2016 - 2017,4.79
,,2017 - 2018,4.63
,,2018 - 2019,4.68
,,2019 - 2020,4.64
,,2020 - 2021,4.64
,,2021 - 2022,4.96
,,2022 - 2023,4.96
,West siang,2000 - 2001,6.67
,,2001 - 2002,8.06
,,2002 - 2003,6.73
,,2003 - 2004,6.67
,,2004 - 2005,3.0
,,2005 - 2006,6.8
,,2006 - 2007,9.24
,,2007 - 2008,9.61
,,2008 - 2009,9.57
,,2009 - 2010,9.6
,,2010 - 2011,9.62
,,2011 - 2012,9.64
,,2012 - 2013,9.88
,,2013 - 2014,6.36
,,2014 - 2015,6.16
,,2015 - 2016,8.02
,,2016 - 2017,7.44
,,2017 - 2018,7.0
,,2018 - 2019,7.07
,,2019 - 2020,7.07
,,2020 - 2021,7.19
,,2021 - 2022,7.64
,,2022 - 2023,7.63
Assam,Baksa,2007 - 2008,6.92
,,2008 - 2009,6.92
,,2009 - 2010,6.92
,,2010 - 2011,6.92
,,2011 - 2012,6.99
,,2012 - 2013,8.0
,,2013 - 2014,8.0
,,2014 - 2015,8.02
,,2015 - 2016,8.04
,,2016 - 2017,8.18
,,2017 - 2018,8.2
,,2018 - 2019,8.82
,,2019 - 2020,8.99
,,2020 - 2021,8.98
,,2021 - 2022,8.99
,,2022 - 2023,9.06
,Barpeta,2007 - 2008,6.52
,,2008 - 2009,6.52
,,2009 - 2010,6.52
,,2010 - 2011,6.52
,,2011 - 2012,6.64
,,2012 - 2013,7.66
,,2013 - 2014,7.66
,,2014 - 2015,7.67
,,2015 - 2016,7.68
,,2016 - 2017,7.78
,,2017 - 2018,7.78
,,2018 - 2019,8.2
,,2019 - 2020,8.31
,,2020 - 2021,8.31
,,2021 - 2022,8.31
,,2022 - 2023,8.39
,Biswanath,2020 - 2021,10.1
,,2021 - 2022,10.11
,,2022 - 2023,10.42
,Bongaigaon,2007 - 2008,6.16
,,2008 - 2009,6.16
,,2009 - 2010,6.16
,,2010 - 2011,6.15
,,2011 - 2012,6.28
,,2012 - 2013,6.49
,,2013 - 2014,6.49
,,2014 - 2015,6.5
,,2015 - 2016,6.54
,,2016 - 2017,6.88
,,2017 - 2018,6.9
,,2018 - 2019,7.78
,,2019 - 2020,8.56
,,2020 - 2021,8.56
,,2021 - 2022,8.56
,,2022 - 2023,9.08
,Cachar,2007 - 2008,6.94
,,2008 - 2009,6.94
,,2009 - 2010,6.94
,,2010 - 2011,6.94
,,2011 - 2012,6.98
,,2012 - 2013,7.0
,,2013 - 2014,7.0
,,2014 - 2015,7.13
,,2015 - 2016,7.14
,,2016 - 2017,7.4
,,2017 - 2018,7.41
,,2018 - 2019,8.43
,,2019 - 2020,8.71
,,2020 - 2021,8.71
,,2021 - 2022,8.71
,,2022 - 2023,8.94
,Charaideo,2020 - 2021,9.8
,,2021 - 2022,9.8
,,2022 - 2023,10.7
,Chirang,2007 - 2008,6.96
,,2008 - 2009,6.96
