state,district,year,dry_chillies_kharif_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,North and middle andaman,2006 - 2007,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South andamans,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,4.21
,Anakapalli,2022 - 2023,
,Anantapur,2000 - 2001,2.7
,,2001 - 2002,1.89
,,2002 - 2003,2.24
,,2003 - 2004,3.67
,,2004 - 2005,3.32
,,2005 - 2006,2.84
,,2006 - 2007,3.23
,,2007 - 2008,4.5
,,2008 - 2009,3.5
,,2009 - 2010,2.51
,,2010 - 2011,3.71
,,2011 - 2012,2.54
,,2012 - 2013,2.0
,,2013 - 2014,1.5
,,2014 - 2015,4.23
,,2015 - 2016,3.05
,,2016 - 2017,2.7
,,2017 - 2018,2.5
,,2018 - 2019,0.78
,,2019 - 2020,3.27
,,2020 - 2021,2.19
,,2021 - 2022,0.42
,,2022 - 2023,4.59
,Annamayya,2022 - 2023,
,Bapatla,2022 - 2023,7.75
,Chittoor,2000 - 2001,1.48
,,2001 - 2002,1.45
,,2002 - 2003,1.52
,,2003 - 2004,2.46
,,2004 - 2005,2.18
,,2005 - 2006,1.87
,,2006 - 2007,2.67
,,2007 - 2008,1.0
,,2008 - 2009,2.48
,,2009 - 2010,2.39
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,4.0
,,2018 - 2019,2.42
,,2019 - 2020,4.5
,,2020 - 2021,3.18
,,2021 - 2022,2.42
,,2022 - 2023,5.0
,East godavari,2000 - 2001,2.76
,,2001 - 2002,3.62
,,2002 - 2003,1.97
,,2003 - 2004,4.41
,,2004 - 2005,4.14
,,2005 - 2006,4.19
,,2006 - 2007,4.5
,,2007 - 2008,2.0
,,2008 - 2009,4.46
,,2009 - 2010,4.79
,,2010 - 2011,3.32
,,2011 - 2012,3.8
,,2013 - 2014,4.85
,,2014 - 2015,5.75
,,2015 - 2016,4.67
,,2016 - 2017,5.04
,,2017 - 2018,5.6
,,2018 - 2019,3.28
,,2019 - 2020,4.7
,,2020 - 2021,4.74
,,2021 - 2022,2.67
,,2022 - 2023,6.12
,Eluru,2022 - 2023,4.9
,Guntur,2000 - 2001,2.94
,,2001 - 2002,4.0
,,2002 - 2003,2.02
,,2003 - 2004,5.04
,,2004 - 2005,4.91
,,2005 - 2006,4.71
,,2006 - 2007,4.86
,,2007 - 2008,4.95
,,2008 - 2009,5.0
,,2009 - 2010,5.52
,,2010 - 2011,3.35
,,2011 - 2012,4.29
,,2012 - 2013,4.4
,,2013 - 2014,5.14
,,2014 - 2015,6.51
,,2015 - 2016,4.01
,,2016 - 2017,5.62
,,2017 - 2018,5.8
,,2018 - 2019,3.2
,,2019 - 2020,5.94
,,2020 - 2021,5.11
,,2021 - 2022,1.52
,,2022 - 2023,8.44
,Kadapa,2000 - 2001,1.48
,,2001 - 2002,1.45
,,2002 - 2003,1.52
,,2003 - 2004,2.46
,,2004 - 2005,2.18
,,2005 - 2006,1.87
,,2006 - 2007,2.67
,,2007 - 2008,1.67
,,2008 - 2009,1.77
,,2009 - 2010,3.07
,,2010 - 2011,2.78
,,2011 - 2012,4.0
,,2012 - 2013,3.0
,,2013 - 2014,3.63
,,2014 - 2015,5.0
,,2015 - 2016,4.55
,,2016 - 2017,8.29
,,2017 - 2018,5.73
,,2018 - 2019,4.58
,,2019 - 2020,7.21
,,2020 - 2021,1.42
,,2021 - 2022,3.12
,,2022 - 2023,3.74
,Kakinada,2022 - 2023,6.12
,Krishna,2000 - 2001,3.35
,,2001 - 2002,3.56
,,2002 - 2003,2.51
,,2003 - 2004,3.09
,,2004 - 2005,4.09
,,2005 - 2006,3.48
,,2006 - 2007,4.43
,,2007 - 2008,3.63
,,2008 - 2009,3.68
,,2009 - 2010,2.92
,,2010 - 2011,3.29
,,2011 - 2012,2.96
,,2012 - 2013,3.3
,,2013 - 2014,4.96
,,2014 - 2015,5.85
,,2015 - 2016,6.08
,,2016 - 2017,6.56
,,2017 - 2018,6.96
,,2018 - 2019,5.41
,,2019 - 2020,7.47
,,2020 - 2021,7.54
,,2021 - 2022,2.79
,,2022 - 2023,6.14
,Kurnool,2000 - 2001,1.12
,,2001 - 2002,1.33
,,2002 - 2003,1.33
,,2003 - 2004,2.16
,,2004 - 2005,1.95
,,2005 - 2006,1.62
,,2006 - 2007,2.59
,,2007 - 2008,3.23
,,2008 - 2009,2.43
,,2009 - 2010,2.33
,,2010 - 2011,2.89
,,2011 - 2012,2.12
,,2012 - 2013,2.0
,,2013 - 2014,3.79
,,2014 - 2015,5.07
,,2015 - 2016,3.01
,,2016 - 2017,5.81
,,2017 - 2018,4.33
,,2018 - 2019,2.96
,,2019 - 2020,4.68
,,2020 - 2021,3.55
,,2021 - 2022,3.08
,,2022 - 2023,5.08
,Nandyal,2022 - 2023,6.05
,Ntr,2022 - 2023,7.25
,Palnadu,2022 - 2023,6.06
,Parvathipuram manyam,2022 - 2023,6.1
,Prakasam,2000 - 2001,1.88
,,2001 - 2002,2.33
,,2002 - 2003,1.17
,,2003 - 2004,2.49
,,2004 - 2005,1.53
,,2005 - 2006,2.08
,,2006 - 2007,2.99
,,2007 - 2008,2.75
,,2008 - 2009,2.5
,,2009 - 2010,2.59
,,2010 - 2011,3.19
,,2011 - 2012,2.59
,,2012 - 2013,3.88
,,2013 - 2014,3.89
,,2014 - 2015,3.55
,,2015 - 2016,3.67
,,2016 - 2017,3.29
,,2017 - 2018,4.41
,,2018 - 2019,2.45
,,2019 - 2020,3.22
,,2020 - 2021,3.75
,,2021 - 2022,1.52
,,2022 - 2023,3.52
,Spsr nellore,2000 - 2001,2.76
,,2001 - 2002,3.62
,,2002 - 2003,1.98
,,2003 - 2004,4.41
,,2004 - 2005,4.13
,,2005 - 2006,4.19
,,2006 - 2007,4.51
,,2007 - 2008,2.0
,,2008 - 2009,4.47
,,2009 - 2010,4.78
,,2010 - 2011,3.29
