state,district,year,dry_chillies_rabi_yield_tonne_per_hectare
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thiruvarur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thoothukudi,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruchirappalli,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirunelveli,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirupathur,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruvannamalai,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vellore,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Villupuram,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Virudhunagar,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Telangana,Adilabad,2000 - 2001,2.31
,,2001 - 2002,2.76
,,2002 - 2003,2.48
,,2003 - 2004,3.26
,,2004 - 2005,2.99
,,2005 - 2006,3.01
,,2006 - 2007,3.26
,,2007 - 2008,
,,2008 - 2009,3.93
,,2009 - 2010,3.78
,,2010 - 2011,2.99
,,2011 - 2012,3.26
,,2012 - 2013,
,,2013 - 2014,4.39
,,2014 - 2015,4.1
,,2015 - 2016,2.74
,,2016 - 2017,5.55
,,2017 - 2018,5.82
,,2018 - 2019,6.12
,,2019 - 2020,5.87
,,2020 - 2021,5.8
,,2021 - 2022,5.08
,,2022 - 2023,5.07
,Bhadradri,2016 - 2017,7.09
,,2017 - 2018,8.36
,,2018 - 2019,6.28
,,2019 - 2020,4.41
,,2020 - 2021,8.26
,,2021 - 2022,4.63
,,2022 - 2023,10.12
,Jagitial,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,5.1
,,2022 - 2023,5.09
,Jangoan,2016 - 2017,5.54
,,2017 - 2018,5.81
,,2018 - 2019,
,,2019 - 2020,6.0
,,2020 - 2021,5.98
,,2021 - 2022,5.1
,,2022 - 2023,2.54
,Jayashankar,2016 - 2017,6.29
,,2017 - 2018,5.91
,,2018 - 2019,6.5
,,2019 - 2020,5.89
,,2020 - 2021,5.97
,,2021 - 2022,5.12
,,2022 - 2023,4.24
,Jogulamba,2016 - 2017,5.5
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,6.04
,,2021 - 2022,5.1
,,2022 - 2023,1.84
,Kamareddy,2016 - 2017,5.54
,,2017 - 2018,5.8
,,2018 - 2019,6.16
,,2019 - 2020,5.89
,,2020 - 2021,7.33
,,2021 - 2022,5.1
,,2022 - 2023,5.08
,Karimnagar,2000 - 2001,2.31
,,2001 - 2002,2.76
,,2002 - 2003,2.49
,,2003 - 2004,3.26
,,2004 - 2005,2.99
,,2005 - 2006,3.01
,,2006 - 2007,3.26
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.26
,,2012 - 2013,
,,2013 - 2014,4.39
,,2014 - 2015,4.1
,,2015 - 2016,2.73
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,7.33
,,2021 - 2022,5.09
,,2022 - 2023,5.14
,Khammam,2000 - 2001,2.21
,,2001 - 2002,3.69
,,2002 - 2003,3.49
,,2003 - 2004,4.53
,,2004 - 2005,3.33
,,2005 - 2006,3.67
,,2006 - 2007,4.08
,,2007 - 2008,3.89
,,2008 - 2009,4.86
,,2009 - 2010,4.24
,,2010 - 2011,2.47
,,2011 - 2012,3.92
,,2012 - 2013,4.9
,,2013 - 2014,5.17
,,2014 - 2015,6.15
,,2015 - 2016,2.52
,,2016 - 2017,5.54
,,2017 - 2018,5.8
,,2018 - 2019,6.15
,,2019 - 2020,5.89
,,2020 - 2021,2.88
,,2021 - 2022,1.52
,,2022 - 2023,2.14
,Komaram bheem asifabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,6.15
,,2019 - 2020,5.89
,,2020 - 2021,6.31
,,2021 - 2022,5.1
,,2022 - 2023,5.09
,Mahabubabad,2016 - 2017,3.82
,,2017 - 2018,4.44
,,2018 - 2019,4.2
,,2019 - 2020,2.93
,,2020 - 2021,8.05
,,2021 - 2022,5.1
,,2022 - 2023,5.17
,Mahbubnagar,2000 - 2001,2.31
,,2001 - 2002,2.76
,,2002 - 2003,2.49
,,2003 - 2004,3.26
,,2004 - 2005,2.99
,,2005 - 2006,3.01
,,2006 - 2007,3.26
,,2007 - 2008,2.5
,,2008 - 2009,3.93
,,2009 - 2010,3.78
,,2010 - 2011,2.99
,,2011 - 2012,3.25
,,2012 - 2013,
,,2013 - 2014,4.39
,,2014 - 2015,4.1
,,2015 - 2016,2.74
,,2016 - 2017,5.55
,,2017 - 2018,5.81
,,2018 - 2019,
,,2019 - 2020,5.92
,,2020 - 2021,5.95
,,2021 - 2022,5.11
,,2022 - 2023,5.07
,Mancherial,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,5.86
,,2020 - 2021,6.06
,,2021 - 2022,5.1
,,2022 - 2023,5.08
,Medak,2000 - 2001,2.31
,,2001 - 2002,2.75
,,2002 - 2003,2.49
,,2003 - 2004,3.26
,,2004 - 2005,2.99
,,2005 - 2006,3.01
,,2006 - 2007,3.26
,,2007 - 2008,4.0
,,2008 - 2009,3.93
,,2009 - 2010,3.78
,,2010 - 2011,2.99
,,2011 - 2012,3.25
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,2.67
,,2016 - 2017,5.53
,,2017 - 2018,5.82
,,2018 - 2019,6.1
,,2019 - 2020,
,,2020 - 2021,5.8
,,2021 - 2022,5.11
,,2022 - 2023,5.17
,Medchal,2016 - 2017,
,,2019 - 2020,5.8
,,2021 - 2022,5.0
,,2022 - 2023,5.0
,Mulugu,2018 - 2019,6.57
,,2019 - 2020,7.19
,,2020 - 2021,6.08
,,2021 - 2022,5.93
,,2022 - 2023,4.69
,Nagarkurnool,2016 - 2017,5.54
,,2017 - 2018,5.8
,,2018 - 2019,6.14
,,2019 - 2020,5.89
,,2020 - 2021,6.0
,,2021 - 2022,5.1
,,2022 - 2023,4.23
,Nalgonda,2000 - 2001,2.31
,,2001 - 2002,2.76
,,2002 - 2003,2.49
,,2003 - 2004,3.26
,,2004 - 2005,2.99
,,2005 - 2006,3.0
,,2006 - 2007,3.26
,,2007 - 2008,2.5
,,2008 - 2009,3.94
,,2009 - 2010,3.78
,,2010 - 2011,2.99
,,2011 - 2012,3.25
,,2012 - 2013,4.0
,,2013 - 2014,4.39
,,2014 - 2015,4.1
,,2015 - 2016,2.73
,,2016 - 2017,5.54
,,2017 - 2018,5.81
,,2018 - 2019,6.15
,,2019 - 2020,5.89
,,2020 - 2021,6.22
,,2021 - 2022,5.1
,,2022 - 2023,5.09
,Narayanapet,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,5.09
,,2022 - 2023,5.1
,Nirmal,2016 - 2017,
,,2017 - 2018,6.0
,,2018 - 2019,
,,2019 - 2020,5.9
,,2020 - 2021,6.11
,,2021 - 2022,5.11
,,2022 - 2023,5.17
,Nizamabad,2000 - 2001,2.31
,,2001 - 2002,2.76
,,2002 - 2003,2.49
,,2003 - 2004,3.26
,,2004 - 2005,2.99
,,2005 - 2006,3.01
,,2006 - 2007,3.27
,,2007 - 2008,4.0
,,2008 - 2009,3.93
,,2009 - 2010,3.78
,,2010 - 2011,2.99
,,2011 - 2012,3.26
,,2012 - 2013,4.0
,,2013 - 2014,4.39
,,2014 - 2015,4.1
,,2015 - 2016,2.73
,,2016 - 2017,5.54
,,2017 - 2018,5.8
,,2018 - 2019,6.14
,,2019 - 2020,5.89
,,2020 - 2021,6.14
,,2021 - 2022,5.1
,,2022 - 2023,5.08
,Peddapalli,2016 - 2017,5.54
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,5.09
,,2022 - 2023,5.08
,Rajanna,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,5.08
,,2022 - 2023,5.08
,Rangareddi,2000 - 2001,2.31
,,2001 - 2002,2.76
,,2002 - 2003,2.49
,,2003 - 2004,3.26
,,2004 - 2005,2.99
,,2005 - 2006,3.01
,,2006 - 2007,3.26
,,2007 - 2008,2.0
,,2008 - 2009,3.94
,,2009 - 2010,3.78
,,2010 - 2011,2.99
,,2011 - 2012,3.25
,,2012 - 2013,
,,2013 - 2014,4.39
,,2014 - 2015,4.1
,,2015 - 2016,2.74
,,2016 - 2017,5.55
,,2017 - 2018,5.79
,,2018 - 2019,6.13
,,2019 - 2020,5.88
,,2020 - 2021,6.26
,,2021 - 2022,5.1
,,2022 - 2023,5.1
,Sangareddy,2016 - 2017,5.54
,,2017 - 2018,
,,2018 - 2019,6.0
,,2019 - 2020,5.92
,,2020 - 2021,6.3
,,2021 - 2022,5.09
,,2022 - 2023,5.08
,Siddipet,2016 - 2017,5.58
,,2017 - 2018,
,,2018 - 2019,6.0
,,2019 - 2020,5.88
,,2020 - 2021,5.64
,,2021 - 2022,5.1
,,2022 - 2023,5.09
,Suryapet,2016 - 2017,5.54
,,2017 - 2018,5.8
,,2018 - 2019,6.15
,,2019 - 2020,5.89
,,2020 - 2021,11.26
,,2021 - 2022,3.66
,,2022 - 2023,3.71
,Vikarabad,2016 - 2017,5.54
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,5.09
,,2022 - 2023,5.08
,Wanaparthy,2016 - 2017,5.55
,,2017 - 2018,
,,2018 - 2019,6.15
,,2019 - 2020,
,,2020 - 2021,5.96
,,2021 - 2022,5.1
,,2022 - 2023,5.09
,Warangal,2000 - 2001,2.39
,,2001 - 2002,2.2
,,2002 - 2003,1.93
,,2003 - 2004,2.25
,,2004 - 2005,2.63
,,2005 - 2006,2.29
,,2006 - 2007,2.82
,,2007 - 2008,2.25
,,2008 - 2009,2.89
,,2009 - 2010,3.34
,,2010 - 2011,3.54
,,2011 - 2012,2.41
,,2012 - 2013,4.0
,,2013 - 2014,3.74
,,2014 - 2015,2.87
,,2015 - 2016,2.86
,,2016 - 2017,4.03
,,2017 - 2018,3.92
,,2018 - 2019,5.39
,,2019 - 2020,4.19
,,2020 - 2021,4.88
,,2021 - 2022,0.93
,,2022 - 2023,2.04
,Warangal urban,2016 - 2017,5.56
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,5.83
,,2020 - 2021,6.03
,,2021 - 2022,5.09
,,2022 - 2023,5.09
,Yadadri,2016 - 2017,5.6
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,6.0
,,2020 - 2021,6.03
,,2021 - 2022,5.09
,,2022 - 2023,5.07
Uttar Pradesh,Agra,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Aligarh,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Allahabad,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ambedkar nagar,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Amethi,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Amroha,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Auraiya,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Azamgarh,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Baghpat,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bahraich,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ballia,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Balrampur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Banda,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Barabanki,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bareilly,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bijnor,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Budaun,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bulandshahr,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chandauli,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chitrakoot,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Deoria,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Etah,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Etawah,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Faizabad,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Farrukhabad,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Fatehpur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Firozabad,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gautam buddha nagar,2009 - 2010,
,,2011 - 2012,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,Ghaziabad,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ghazipur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gonda,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gorakhpur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hamirpur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hapur,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
