state,district,year,dry_chillies_rabi_yield_tonne_per_hectare
,,2003 - 2004,2.67
,,2004 - 2005,1.89
,,2005 - 2006,2.51
,,2006 - 2007,3.19
,,2007 - 2008,1.5
,,2008 - 2009,1.83
,,2009 - 2010,5.82
,,2010 - 2011,3.73
,,2011 - 2012,4.6
,,2012 - 2013,8.0
,,2013 - 2014,4.22
,,2014 - 2015,6.37
,,2015 - 2016,6.62
,,2016 - 2017,8.31
,,2017 - 2018,6.96
,,2018 - 2019,5.47
,,2019 - 2020,6.51
,,2020 - 2021,4.56
,,2021 - 2022,8.57
,,2022 - 2023,4.21
,Sri sathya sai,2022 - 2023,3.38
,Srikakulam,2000 - 2001,2.06
,,2001 - 2002,2.7
,,2002 - 2003,1.97
,,2003 - 2004,3.49
,,2004 - 2005,4.11
,,2005 - 2006,2.88
,,2006 - 2007,3.52
,,2007 - 2008,3.75
,,2008 - 2009,3.76
,,2009 - 2010,3.35
,,2010 - 2011,4.46
,,2011 - 2012,5.89
,,2012 - 2013,5.5
,,2013 - 2014,5.08
,,2014 - 2015,3.48
,,2015 - 2016,4.13
,,2016 - 2017,4.75
,,2017 - 2018,3.37
,,2018 - 2019,3.46
,,2019 - 2020,3.46
,,2020 - 2021,3.25
,,2021 - 2022,3.25
,,2022 - 2023,3.49
,Tirupati,2022 - 2023,5.04
,Visakhapatanam,2000 - 2001,2.2
,,2001 - 2002,1.37
,,2002 - 2003,1.25
,,2003 - 2004,1.53
,,2004 - 2005,2.6
,,2005 - 2006,1.99
,,2006 - 2007,2.77
,,2007 - 2008,0.5
,,2008 - 2009,1.24
,,2009 - 2010,2.11
,,2010 - 2011,3.43
,,2011 - 2012,1.74
,,2012 - 2013,2.0
,,2013 - 2014,1.93
,,2014 - 2015,2.19
,,2015 - 2016,1.93
,,2016 - 2017,1.98
,,2017 - 2018,1.39
,,2018 - 2019,1.69
,,2019 - 2020,1.93
,,2020 - 2021,1.47
,,2021 - 2022,2.18
,,2022 - 2023,6.29
,Vizianagaram,2000 - 2001,2.06
,,2001 - 2002,1.59
,,2002 - 2003,1.21
,,2003 - 2004,1.26
,,2004 - 2005,1.84
,,2005 - 2006,1.13
,,2006 - 2007,1.65
,,2007 - 2008,1.0
,,2008 - 2009,1.15
,,2009 - 2010,1.33
,,2010 - 2011,0.84
,,2011 - 2012,1.55
,,2012 - 2013,1.0
,,2013 - 2014,1.16
,,2014 - 2015,1.91
,,2015 - 2016,1.69
,,2016 - 2017,2.27
,,2017 - 2018,1.44
,,2018 - 2019,0.88
,,2019 - 2020,1.31
,,2020 - 2021,1.76
,,2021 - 2022,1.8
,,2022 - 2023,2.14
,West godavari,2000 - 2001,1.47
,,2001 - 2002,1.44
,,2002 - 2003,1.34
,,2003 - 2004,1.21
,,2004 - 2005,1.73
,,2005 - 2006,1.32
,,2006 - 2007,1.16
,,2007 - 2008,2.0
,,2008 - 2009,2.33
,,2009 - 2010,1.81
,,2010 - 2011,2.8
,,2011 - 2012,2.27
,,2012 - 2013,2.0
,,2013 - 2014,2.07
,,2014 - 2015,3.73
,,2015 - 2016,2.93
,,2016 - 2017,3.84
,,2017 - 2018,3.41
,,2018 - 2019,2.49
,,2019 - 2020,2.98
,,2020 - 2021,3.61
,,2021 - 2022,3.03
Arunachal Pradesh,Anjaw,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Changlang,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dibang valley,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
