state,district,year,tapioca_kharif_yield_tonne_per_hectare
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Palakkad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pathanamthitta,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thiruvananthapuram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thrissur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Wayanad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Manipur,Bishnupur,2002 - 2003,
,,2003 - 2004,
,Chandel,2002 - 2003,
,,2003 - 2004,
,Churachandpur,2002 - 2003,
,,2003 - 2004,
,Imphal east,2003 - 2004,
,Imphal west,2002 - 2003,
,,2003 - 2004,
,Senapati,2002 - 2003,
,,2003 - 2004,
,Tamenglong,2002 - 2003,
,,2003 - 2004,
,Thoubal,2003 - 2004,
,Ukhrul,2002 - 2003,
,,2003 - 2004,
Meghalaya,East garo hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,5.11
,,2008 - 2009,
,,2009 - 2010,5.1
,,2010 - 2011,5.1
,,2011 - 2012,5.15
,,2012 - 2013,5.59
,,2013 - 2014,5.6
,,2014 - 2015,5.66
,,2015 - 2016,5.69
,,2016 - 2017,5.68
,,2017 - 2018,5.69
,,2018 - 2019,5.69
,,2019 - 2020,5.69
,,2020 - 2021,5.69
,,2021 - 2022,5.69
,,2022 - 2023,5.69
,East jaintia hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,13.61
,,2008 - 2009,
,,2009 - 2010,10.56
,,2010 - 2011,10.22
,,2011 - 2012,10.27
,,2012 - 2013,10.28
,,2013 - 2014,9.8
,,2014 - 2015,9.5
,,2015 - 2016,9.83
,,2016 - 2017,8.86
,,2017 - 2018,8.86
,,2018 - 2019,8.86
,,2019 - 2020,8.86
,,2020 - 2021,8.86
,,2021 - 2022,8.86
,,2022 - 2023,8.86
,East khasi hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,5.26
,,2008 - 2009,
,,2009 - 2010,5.25
,,2010 - 2011,5.24
,,2011 - 2012,5.28
,,2012 - 2013,6.47
,,2013 - 2014,6.55
,,2014 - 2015,6.67
,,2015 - 2016,6.69
,,2016 - 2017,7.26
,,2017 - 2018,7.26
,,2018 - 2019,7.26
,,2019 - 2020,7.26
,,2020 - 2021,7.26
,,2021 - 2022,7.26
,,2022 - 2023,7.26
,North garo hills,2013 - 2014,5.72
,,2014 - 2015,5.73
,,2015 - 2016,5.87
,,2016 - 2017,5.87
,,2017 - 2018,5.87
,,2018 - 2019,5.87
,,2019 - 2020,5.87
,,2020 - 2021,5.87
,,2021 - 2022,5.87
,,2022 - 2023,5.87
,Ri bhoi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.37
,,2008 - 2009,
,,2009 - 2010,5.84
,,2010 - 2011,5.93
,,2011 - 2012,6.02
,,2012 - 2013,6.04
,,2013 - 2014,6.1
,,2014 - 2015,6.05
,,2015 - 2016,6.08
,,2016 - 2017,6.31
,,2017 - 2018,6.32
,,2018 - 2019,6.32
,,2019 - 2020,6.32
,,2020 - 2021,6.32
,,2021 - 2022,6.32
,,2022 - 2023,6.32
,South garo hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,5.56
,,2008 - 2009,
,,2009 - 2010,5.56
,,2010 - 2011,5.56
,,2011 - 2012,5.56
,,2012 - 2013,6.78
,,2013 - 2014,6.85
,,2014 - 2015,6.92
,,2015 - 2016,6.93
,,2016 - 2017,8.8
,,2017 - 2018,8.8
,,2018 - 2019,8.8
,,2019 - 2020,8.8
,,2020 - 2021,8.8
,,2021 - 2022,8.8
,,2022 - 2023,8.81
,South west garo hills,2013 - 2014,6.21
,,2014 - 2015,6.28
,,2015 - 2016,6.39
,,2016 - 2017,6.94
,,2017 - 2018,6.94
,,2018 - 2019,6.94
,,2019 - 2020,6.94
,,2020 - 2021,6.94
,,2021 - 2022,6.94
,,2022 - 2023,6.94
,South west khasi hills,2013 - 2014,6.27
,,2014 - 2015,6.41
,,2015 - 2016,6.5
,,2016 - 2017,8.9
,,2017 - 2018,8.9
,,2018 - 2019,8.9
,,2019 - 2020,8.9
,,2020 - 2021,8.9
,,2021 - 2022,8.91
,,2022 - 2023,8.91
,West garo hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,5.03
,,2008 - 2009,
,,2009 - 2010,4.33
,,2010 - 2011,5.04
,,2011 - 2012,5.05
,,2012 - 2013,5.72
,,2013 - 2014,5.63
,,2014 - 2015,5.67
,,2015 - 2016,5.77
,,2016 - 2017,5.77
,,2017 - 2018,5.77
,,2018 - 2019,5.77
,,2019 - 2020,5.77
,,2020 - 2021,5.77
,,2021 - 2022,5.77
,,2022 - 2023,5.77
,West jaintia hills,2013 - 2014,10.45
,,2014 - 2015,10.43
,,2015 - 2016,10.44
,,2016 - 2017,11.04
,,2017 - 2018,11.04
,,2018 - 2019,11.04
,,2019 - 2020,11.04
,,2020 - 2021,11.04
,,2021 - 2022,11.04
,,2022 - 2023,11.04
,West khasi hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,5.29
,,2008 - 2009,
,,2009 - 2010,5.5
,,2010 - 2011,5.52
,,2011 - 2012,5.53
,,2012 - 2013,6.69
,,2013 - 2014,7.02
,,2014 - 2015,7.02
,,2015 - 2016,7.05
,,2016 - 2017,7.63
,,2017 - 2018,7.64
,,2018 - 2019,7.64
,,2019 - 2020,7.64
,,2020 - 2021,7.64
,,2021 - 2022,7.64
,,2022 - 2023,7.64
Mizoram,Aizawl,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2009 - 2010,16.55
,,2010 - 2011,12.56
,,2011 - 2012,1.75
,,2015 - 2016,10.45
,,2016 - 2017,3.4
,,2017 - 2018,3.6
,,2020 - 2021,8.5
,Champhai,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,9.2
,,2009 - 2010,1.48
,,2010 - 2011,1.54
,,2011 - 2012,1.42
,,2013 - 2014,1.28
,,2014 - 2015,1.38
,,2015 - 2016,0.95
,,2016 - 2017,0.92
,,2017 - 2018,0.99
,,2018 - 2019,2.67
,,2019 - 2020,1.79
,,2020 - 2021,4.5
,,2021 - 2022,4.75
,Hnahthial,2020 - 2021,6.75
,,2021 - 2022,1.82
,,2022 - 2023,6.75
,Khawzawl,2020 - 2021,1.67
,Kolasib,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,10.05
,,2005 - 2006,10.33
,,2008 - 2009,0.33
,,2009 - 2010,12.19
,,2010 - 2011,4.33
,,2011 - 2012,4.38
,,2012 - 2013,13.88
,,2013 - 2014,37.83
,,2014 - 2015,36.82
,,2016 - 2017,36.93
,,2017 - 2018,36.85
,,2018 - 2019,37.97
,,2019 - 2020,11.69
,,2020 - 2021,11.92
,,2021 - 2022,11.81
,Lawngtlai,2005 - 2006,1.49
,,2009 - 2010,10.0
,,2010 - 2011,8.36
,,2011 - 2012,7.21
,,2013 - 2014,3.89
,,2014 - 2015,3.88
,,2015 - 2016,3.58
,,2016 - 2017,3.55
,,2017 - 2018,3.55
,,2018 - 2019,3.17
,,2019 - 2020,3.25
,,2020 - 2021,3.32
,,2021 - 2022,3.31
,,2022 - 2023,3.61
,Lunglei,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,4.39
,,2005 - 2006,5.2
,,2008 - 2009,5.25
,,2009 - 2010,11.86
,,2011 - 2012,8.57
,,2013 - 2014,8.55
,,2014 - 2015,1.56
,,2016 - 2017,14.38
,,2017 - 2018,12.9
,,2018 - 2019,9.93
,,2019 - 2020,9.08
,,2020 - 2021,10.0
,,2021 - 2022,2.0
,,2022 - 2023,2.15
,Mamit,2003 - 2004,
,,2004 - 2005,6.8
,,2005 - 2006,9.24
,,2007 - 2008,1.3
,,2008 - 2009,2.36
,,2011 - 2012,1.73
,,2012 - 2013,2.0
,,2013 - 2014,1.82
,,2014 - 2015,1.84
,,2015 - 2016,1.81
,,2016 - 2017,2.06
,,2017 - 2018,1.37
,,2018 - 2019,1.37
,,2020 - 2021,2.12
,,2021 - 2022,3.0
,Saiha,2005 - 2006,2.62
,Saitual,2020 - 2021,1.5
,,2021 - 2022,1.5
,,2022 - 2023,1.47
Nagaland,Chumoukedima,2022 - 2023,22.46
,Dimapur,2007 - 2008,23.0
,,2008 - 2009,23.0
,,2009 - 2010,11.53
,,2010 - 2011,23.56
,,2011 - 2012,23.3
,,2012 - 2013,20.25
,,2013 - 2014,20.25
,,2014 - 2015,20.21
,,2015 - 2016,18.87
,,2016 - 2017,20.25
,,2017 - 2018,20.29
,,2018 - 2019,20.33
,,2019 - 2020,20.33
,,2020 - 2021,20.26
,,2021 - 2022,10.0
,,2022 - 2023,22.44
,Kiphire,2008 - 2009,23.0
,,2009 - 2010,11.39
,,2010 - 2011,23.5
,,2011 - 2012,23.5
,,2012 - 2013,20.0
,,2013 - 2014,20.23
,,2014 - 2015,20.21
,,2015 - 2016,20.2
,,2016 - 2017,20.25
,,2017 - 2018,20.29
,,2018 - 2019,20.28
,,2019 - 2020,20.28
,,2020 - 2021,20.21
,,2021 - 2022,14.0
,,2022 - 2023,22.8
,Kohima,2007 - 2008,23.88
,,2008 - 2009,23.0
,,2009 - 2010,11.42
,,2010 - 2011,23.57
,,2011 - 2012,23.57
,,2012 - 2013,20.25
,,2013 - 2014,20.25
,,2014 - 2015,20.24
,,2015 - 2016,20.28
,,2016 - 2017,20.26
,,2017 - 2018,20.25
,,2018 - 2019,20.24
,,2019 - 2020,20.28
,,2020 - 2021,20.26
,,2021 - 2022,20.0
,,2022 - 2023,22.23
,Longleng,2008 - 2009,23.0
,,2009 - 2010,11.44
,,2010 - 2011,23.75
,,2011 - 2012,23.33
,,2012 - 2013,20.0
,,2013 - 2014,20.0
,,2014 - 2015,20.0
,,2015 - 2016,20.25
,,2016 - 2017,20.31
,,2017 - 2018,20.27
,,2018 - 2019,20.24
,,2019 - 2020,20.17
,,2020 - 2021,20.15
,,2021 - 2022,10.52
,,2022 - 2023,21.72
,Mokokchung,2007 - 2008,23.1
,,2008 - 2009,23.04
,,2009 - 2010,8.47
,,2010 - 2011,23.48
,,2011 - 2012,23.62
,,2012 - 2013,20.31
,,2013 - 2014,20.22
,,2014 - 2015,20.24
,,2015 - 2016,20.24
,,2016 - 2017,20.22
,,2017 - 2018,20.25
,,2018 - 2019,20.24
,,2019 - 2020,20.27
,,2020 - 2021,20.24
,,2021 - 2022,21.74
,,2022 - 2023,23.11
,Mon,2007 - 2008,23.14
,,2008 - 2009,23.0
,,2009 - 2010,11.2
,,2010 - 2011,23.42
,,2011 - 2012,23.42
,,2012 - 2013,20.21
,,2013 - 2014,20.21
,,2014 - 2015,20.21
,,2015 - 2016,20.8
,,2016 - 2017,20.25
,,2017 - 2018,20.24
,,2018 - 2019,20.22
,,2019 - 2020,20.22
,,2020 - 2021,20.15
,,2021 - 2022,10.69
,,2022 - 2023,21.5
,Noklak,2021 - 2022,12.75
,,2022 - 2023,22.44
,Nuiland,2022 - 2023,22.45
,Peren,2008 - 2009,23.0
,,2009 - 2010,11.44
,,2010 - 2011,23.44
,,2011 - 2012,23.3
,,2012 - 2013,20.08
,,2013 - 2014,20.08
,,2014 - 2015,20.08
,,2015 - 2016,20.21
,,2016 - 2017,20.27
,,2017 - 2018,20.25
,,2018 - 2019,20.29
,,2019 - 2020,20.35
,,2020 - 2021,20.32
,,2021 - 2022,18.5
,,2022 - 2023,23.7
,Phek,2007 - 2008,23.0
,,2008 - 2009,23.25
,,2009 - 2010,11.4
,,2010 - 2011,23.5
,,2011 - 2012,23.5
,,2012 - 2013,20.21
,,2013 - 2014,20.27
,,2014 - 2015,20.25
,,2015 - 2016,20.25
,,2016 - 2017,20.24
,,2017 - 2018,20.28
,,2018 - 2019,20.32
,,2019 - 2020,20.26
,,2020 - 2021,20.24
,,2021 - 2022,11.45
,,2022 - 2023,22.22
,Shamator,2022 - 2023,22.11
,Tseminyu,2022 - 2023,22.22
,Tuensang,2007 - 2008,23.0
,,2008 - 2009,22.92
,,2009 - 2010,11.41
,,2010 - 2011,23.47
,,2011 - 2012,23.47
,,2012 - 2013,20.28
,,2013 - 2014,20.24
,,2014 - 2015,20.24
,,2015 - 2016,20.5
,,2016 - 2017,20.22
,,2017 - 2018,20.29
,,2018 - 2019,20.24
,,2019 - 2020,20.27
,,2020 - 2021,20.27
,,2021 - 2022,11.03
,,2022 - 2023,22.06
,Wokha,2007 - 2008,22.86
,,2008 - 2009,23.0
,,2009 - 2010,11.58
,,2010 - 2011,23.5
,,2011 - 2012,23.57
,,2012 - 2013,20.17
,,2013 - 2014,20.21
,,2014 - 2015,20.2
,,2015 - 2016,20.06
,,2016 - 2017,20.24
,,2017 - 2018,20.22
,,2018 - 2019,20.26
,,2019 - 2020,20.31
,,2020 - 2021,20.29
,,2021 - 2022,8.5
,,2022 - 2023,22.15
,Zunheboto,2007 - 2008,22.75
,,2008 - 2009,23.45
,,2009 - 2010,11.45
,,2010 - 2011,23.58
,,2011 - 2012,23.58
,,2012 - 2013,20.07
,,2013 - 2014,20.27
,,2014 - 2015,20.25
,,2015 - 2016,20.41
,,2016 - 2017,20.22
,,2017 - 2018,20.26
,,2018 - 2019,20.25
,,2019 - 2020,20.15
,,2020 - 2021,20.09
,,2021 - 2022,11.2
,,2022 - 2023,22.09
Puducherry,Mahe,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,13.0
,,2007 - 2008,12.8
,,2008 - 2009,10.0
,,2009 - 2010,9.5
,,2010 - 2011,12.8
,,2011 - 2012,12.5
,,2015 - 2016,
,,2016 - 2017,35.0
,,2017 - 2018,42.0
,,2018 - 2019,40.0
,,2019 - 2020,35.0
,,2020 - 2021,40.0
,,2021 - 2022,30.0
,,2022 - 2023,30.0
,Pondicherry,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,40.86
,,2007 - 2008,41.0
,,2008 - 2009,30.0
,,2009 - 2010,28.44
,,2010 - 2011,18.8
,,2011 - 2012,24.95
,,2012 - 2013,23.86
,,2013 - 2014,30.0
,,2014 - 2015,25.44
,,2015 - 2016,
,,2016 - 2017,20.0
,,2017 - 2018,20.0
,,2018 - 2019,24.5
,,2019 - 2020,24.5
,,2020 - 2021,40.0
,,2021 - 2022,24.1
,,2022 - 2023,24.1
Tamil Nadu,Ariyalur,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chengalpattu,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Coimbatore,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Cuddalore,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dharmapuri,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dindigul,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Erode,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kallakurichi,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kanchipuram,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2021 - 2022,
,Kanniyakumari,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Karur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Krishnagiri,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Madurai,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mayiladuthurai,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nagapattinam,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Namakkal,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Perambalur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pudukkottai,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ramanathapuram,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,Ranipet,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Salem,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sivaganga,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thanjavur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,The nilgiris,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Theni,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thenkasi,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thiruvallur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thiruvarur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thoothukudi,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Tiruchirappalli,2000 - 2001,
