state,district,year,coriander_whole_year_yield_tonne_per_hectare
Andhra Pradesh,Anantapur,2000 - 2001,0.25
,,2001 - 2002,0.24
,,2002 - 2003,0.12
,,2003 - 2004,0.11
,,2004 - 2005,0.12
,,2005 - 2006,0.3
,,2006 - 2007,0.28
,,2008 - 2009,0.34
,,2009 - 2010,0.4
,,2010 - 2011,0.68
,,2011 - 2012,0.55
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Annamayya,2022 - 2023,
,Bapatla,2022 - 2023,
,Chittoor,2000 - 2001,0.32
,,2001 - 2002,0.35
,,2002 - 2003,0.28
,,2003 - 2004,0.26
,,2004 - 2005,0.24
,,2005 - 2006,0.45
,,2006 - 2007,0.34
,,2008 - 2009,0.41
,,2009 - 2010,0.51
,,2010 - 2011,0.68
,,2011 - 2012,0.58
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East godavari,2000 - 2001,0.74
,,2001 - 2002,0.78
,,2002 - 2003,0.57
,,2003 - 2004,0.76
,,2004 - 2005,0.64
,,2005 - 2006,0.73
,,2006 - 2007,0.55
,,2009 - 2010,1.0
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Guntur,2000 - 2001,0.74
,,2001 - 2002,0.77
,,2002 - 2003,0.55
,,2003 - 2004,0.76
,,2004 - 2005,0.63
,,2009 - 2010,1.05
,,2010 - 2011,0.68
,,2012 - 2013,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Kadapa,2000 - 2001,0.36
,,2001 - 2002,0.28
,,2002 - 2003,0.2
,,2003 - 2004,0.25
,,2004 - 2005,0.24
,,2005 - 2006,0.5
,,2006 - 2007,0.36
,,2008 - 2009,0.31
,,2009 - 2010,0.43
,,2010 - 2011,0.7
,,2011 - 2012,0.58
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Krishna,2001 - 2002,0.76
,,2002 - 2003,0.57
,,2003 - 2004,0.73
,,2004 - 2005,0.64
,,2005 - 2006,0.67
,,2006 - 2007,0.55
,Kurnool,2000 - 2001,0.34
,,2001 - 2002,0.41
,,2002 - 2003,0.31
,,2003 - 2004,0.32
,,2004 - 2005,0.27
,,2005 - 2006,0.42
,,2006 - 2007,0.31
,,2008 - 2009,0.69
,,2009 - 2010,0.72
,,2010 - 2011,0.68
,,2011 - 2012,0.54
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nandyal,2022 - 2023,
,Palnadu,2022 - 2023,
,Prakasam,2000 - 2001,0.74
,,2001 - 2002,0.77
,,2002 - 2003,0.55
,,2003 - 2004,0.76
,,2004 - 2005,0.61
,,2005 - 2006,0.71
,,2006 - 2007,0.54
,,2008 - 2009,0.96
,,2009 - 2010,1.03
,,2010 - 2011,0.68
,,2011 - 2012,0.95
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Spsr nellore,2000 - 2001,0.74
,,2001 - 2002,0.75
,,2002 - 2003,0.55
,,2003 - 2004,0.76
,,2004 - 2005,0.63
,,2005 - 2006,0.7
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Sri sathya sai,2022 - 2023,
,Srikakulam,2008 - 2009,1.0
,Visakhapatanam,2008 - 2009,0.97
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,West godavari,2005 - 2006,0.7
,,2015 - 2016,
,,2016 - 2017,
,,2021 - 2022,
Bihar,Araria,2000 - 2001,0.47
,,2001 - 2002,0.56
,,2002 - 2003,0.61
,,2003 - 2004,0.69
,,2004 - 2005,0.66
,,2005 - 2006,0.79
,,2007 - 2008,0.72
,,2016 - 2017,0.88
,,2017 - 2018,0.92
,,2018 - 2019,0.88
,,2021 - 2022,0.83
,,2022 - 2023,1.0
,Arwal,2003 - 2004,0.67
,,2004 - 2005,0.7
,,2005 - 2006,0.88
,,2007 - 2008,0.75
,,2016 - 2017,0.87
,,2017 - 2018,0.92
,,2018 - 2019,1.0
,Aurangabad,2000 - 2001,0.64
,,2001 - 2002,0.58
,,2002 - 2003,0.67
,,2003 - 2004,0.67
,,2004 - 2005,0.5
,,2005 - 2006,0.75
,,2007 - 2008,0.71
,,2016 - 2017,0.91
,,2017 - 2018,0.91
,,2018 - 2019,0.91
,Banka,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2016 - 2017,0.83
,,2017 - 2018,0.8
,Begusarai,2000 - 2001,0.46
,,2001 - 2002,0.57
,,2002 - 2003,0.64
,,2003 - 2004,0.67
,,2004 - 2005,0.66
,,2005 - 2006,0.65
,,2007 - 2008,0.73
,,2016 - 2017,0.88
,,2017 - 2018,0.92
,,2018 - 2019,0.93
,,2019 - 2020,0.89
,,2020 - 2021,0.91
,,2021 - 2022,0.91
,,2022 - 2023,0.91
,Bhagalpur,2000 - 2001,0.48
,,2001 - 2002,0.58
,,2002 - 2003,0.67
,,2003 - 2004,0.69
,,2004 - 2005,0.65
,,2005 - 2006,0.79
,,2007 - 2008,0.74
,,2016 - 2017,0.88
,,2017 - 2018,0.9
,,2018 - 2019,0.89
,,2019 - 2020,0.89
,,2020 - 2021,0.89
,,2021 - 2022,0.9
,,2022 - 2023,0.89
,Bhojpur,2001 - 2002,0.5
,,2002 - 2003,1.0
,,2003 - 2004,0.75
,,2004 - 2005,0.75
,,2005 - 2006,0.8
,,2007 - 2008,0.73
,,2016 - 2017,0.82
,,2017 - 2018,0.85
,,2018 - 2019,1.0
,Buxar,2000 - 2001,0.57
,,2001 - 2002,0.56
,,2002 - 2003,0.67
,,2003 - 2004,0.67
,,2005 - 2006,0.83
,,2007 - 2008,0.71
,Darbhanga,2000 - 2001,0.38
,,2001 - 2002,0.6
,,2002 - 2003,0.66
,,2003 - 2004,0.7
,,2004 - 2005,0.66
,,2005 - 2006,0.79
,,2007 - 2008,0.72
,,2016 - 2017,0.85
,,2017 - 2018,0.83
,,2018 - 2019,0.83
,,2019 - 2020,0.85
,,2020 - 2021,0.88
,,2021 - 2022,0.85
,Gaya,2000 - 2001,0.59
,,2001 - 2002,0.56
,,2002 - 2003,0.67
,,2003 - 2004,0.68
,,2004 - 2005,0.65
,,2005 - 2006,0.84
,,2007 - 2008,0.71
,Gopalganj,2000 - 2001,0.47
,,2001 - 2002,0.57
,,2002 - 2003,0.67
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,1.0
,,2007 - 2008,0.75
,,2022 - 2023,0.9
,Jehanabad,2000 - 2001,0.6
,,2001 - 2002,0.58
,,2002 - 2003,0.64
,,2003 - 2004,0.7
,,2004 - 2005,0.64
,,2005 - 2006,0.83
,,2007 - 2008,0.74
,,2016 - 2017,0.96
,,2017 - 2018,0.9
,,2018 - 2019,0.95
,,2019 - 2020,0.95
,,2020 - 2021,0.95
,,2021 - 2022,0.95
,,2022 - 2023,0.94
,Kaimur (bhabua),2000 - 2001,0.58
,,2001 - 2002,0.58
,,2002 - 2003,0.65
,,2003 - 2004,0.69
,,2004 - 2005,0.69
,,2005 - 2006,1.0
,,2019 - 2020,1.0
,Katihar,2000 - 2001,0.47
,,2001 - 2002,0.57
,,2002 - 2003,0.63
,,2004 - 2005,0.7
,,2005 - 2006,0.79
,,2007 - 2008,0.7
,,2016 - 2017,0.92
,,2017 - 2018,0.9
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,0.9
,,2021 - 2022,0.91
,,2022 - 2023,0.9
,Khagaria,2000 - 2001,0.48
,,2001 - 2002,0.59
,,2002 - 2003,0.65
,,2003 - 2004,0.7
,,2004 - 2005,0.66
,,2005 - 2006,0.65
,,2007 - 2008,0.73
,,2016 - 2017,0.88
,,2017 - 2018,0.9
,,2018 - 2019,0.9
,,2019 - 2020,0.89
,,2020 - 2021,0.9
,,2021 - 2022,1.21
,,2022 - 2023,1.22
,Kishanganj,2000 - 2001,0.5
,,2001 - 2002,0.56
,,2002 - 2003,0.58
,,2003 - 2004,0.75
,,2004 - 2005,0.64
,,2005 - 2006,0.79
,,2007 - 2008,0.72
,,2016 - 2017,0.88
,,2017 - 2018,0.88
,,2018 - 2019,0.89
,,2019 - 2020,0.88
,,2020 - 2021,0.89
,,2021 - 2022,0.9
,,2022 - 2023,0.89
,Lakhisarai,2002 - 2003,0.64
,,2021 - 2022,1.07
,,2022 - 2023,1.04
,Madhepura,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.64
,,2003 - 2004,0.69
,,2004 - 2005,0.65
,,2005 - 2006,0.88
,,2007 - 2008,0.77
,,2016 - 2017,0.88
,,2017 - 2018,0.92
,,2018 - 2019,0.89
,,2019 - 2020,1.0
,,2020 - 2021,0.83
,Madhubani,2000 - 2001,0.38
,,2001 - 2002,0.61
,,2002 - 2003,0.67
,,2003 - 2004,0.7
,,2004 - 2005,0.66
,,2005 - 2006,0.8
,,2007 - 2008,0.71
,,2016 - 2017,0.88
,,2017 - 2018,0.91
,,2018 - 2019,0.91
,,2019 - 2020,0.92
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Muzaffarpur,2000 - 2001,0.48
,,2001 - 2002,0.58
,,2002 - 2003,0.66
,,2003 - 2004,0.69
,,2004 - 2005,0.65
,,2005 - 2006,0.77
,,2007 - 2008,0.67
,,2016 - 2017,0.91
,,2017 - 2018,0.92
,,2018 - 2019,0.91
,,2019 - 2020,0.91
,,2020 - 2021,0.91
,,2021 - 2022,0.91
,,2022 - 2023,0.92
,Nalanda,2000 - 2001,0.59
,,2001 - 2002,0.57
,,2002 - 2003,0.64
,,2003 - 2004,0.7
,,2004 - 2005,0.67
,,2005 - 2006,0.78
,,2007 - 2008,0.72
,,2016 - 2017,0.89
,,2017 - 2018,0.91
,,2018 - 2019,0.9
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Nawada,2000 - 2001,0.58
,,2001 - 2002,0.67
,,2002 - 2003,0.6
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.83
,,2007 - 2008,1.0
,Pashchim champaran,2000 - 2001,0.4
,,2001 - 2002,0.58
,,2002 - 2003,0.65
,,2003 - 2004,0.69
,,2004 - 2005,0.66
,,2005 - 2006,0.78
,,2007 - 2008,0.71
,,2016 - 2017,0.91
,,2017 - 2018,0.92
,,2018 - 2019,0.92
,,2019 - 2020,0.92
,,2020 - 2021,0.92
,,2021 - 2022,0.91
,,2022 - 2023,0.91
,Patna,2000 - 2001,0.59
,,2001 - 2002,0.58
,,2002 - 2003,0.64
,,2003 - 2004,0.69
,,2004 - 2005,0.66
,,2005 - 2006,0.78
,,2007 - 2008,0.72
,,2016 - 2017,0.91
,,2017 - 2018,0.91
,,2018 - 2019,0.91
,,2019 - 2020,0.91
,,2020 - 2021,0.91
,,2021 - 2022,0.91
,,2022 - 2023,0.91
,Purbi champaran,2000 - 2001,0.42
,,2001 - 2002,0.58
,,2003 - 2004,0.7
,,2004 - 2005,0.66
,,2005 - 2006,0.79
,,2007 - 2008,0.72
,,2016 - 2017,0.91
,Purnia,2000 - 2001,0.47
,,2001 - 2002,0.55
,,2002 - 2003,0.67
,,2003 - 2004,0.67
,,2004 - 2005,0.67
,,2005 - 2006,0.67
,,2007 - 2008,0.8
,Rohtas,2000 - 2001,0.59
,,2001 - 2002,0.59
,,2002 - 2003,0.65
,,2003 - 2004,0.69
,,2004 - 2005,0.66
,,2005 - 2006,0.83
,,2007 - 2008,0.72
,,2016 - 2017,0.93
,,2017 - 2018,0.93
,,2018 - 2019,0.92
,,2019 - 2020,0.92
,Saharsa,2000 - 2001,0.62
,,2001 - 2002,0.57
,,2002 - 2003,0.66
,,2003 - 2004,0.69
,,2004 - 2005,0.66
,,2005 - 2006,0.86
,,2007 - 2008,0.76
,Samastipur,2000 - 2001,0.39
,,2001 - 2002,0.61
,,2002 - 2003,0.67
,,2003 - 2004,0.69
,,2004 - 2005,0.66
,,2005 - 2006,0.79
,,2007 - 2008,0.73
,,2016 - 2017,0.88
,,2017 - 2018,0.91
,,2018 - 2019,0.91
,,2019 - 2020,0.9
,,2020 - 2021,0.91
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Saran,2004 - 2005,0.5
,Sheikhpura,2007 - 2008,0.7
,,2016 - 2017,0.91
,,2017 - 2018,0.92
,,2018 - 2019,0.92
,,2019 - 2020,0.92
,,2020 - 2021,0.91
,,2021 - 2022,0.92
,,2022 - 2023,0.92
,Sheohar,2000 - 2001,0.42
,,2001 - 2002,0.6
,,2002 - 2003,0.7
,,2003 - 2004,0.71
,,2004 - 2005,0.67
,,2005 - 2006,0.79
,,2016 - 2017,0.93
,,2017 - 2018,0.9
,,2018 - 2019,0.92
,,2019 - 2020,0.92
,,2020 - 2021,0.92
,,2021 - 2022,0.92
,,2022 - 2023,0.91
,Sitamarhi,2000 - 2001,0.41
,,2001 - 2002,0.6
,,2002 - 2003,0.64
,,2003 - 2004,0.7
,,2004 - 2005,0.65
,,2005 - 2006,0.78
,,2007 - 2008,0.71
,,2016 - 2017,0.91
,,2017 - 2018,0.91
,,2018 - 2019,0.9
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Siwan,2003 - 2004,1.0
,,2004 - 2005,0.67
,,2005 - 2006,0.76
,,2016 - 2017,0.82
,,2017 - 2018,0.82
,,2018 - 2019,0.82
,,2019 - 2020,0.82
,,2020 - 2021,0.82
,,2021 - 2022,0.91
,,2022 - 2023,0.91
,Supaul,2000 - 2001,0.62
,,2001 - 2002,0.58
,,2002 - 2003,0.65
,,2003 - 2004,0.69
,,2004 - 2005,0.65
,,2005 - 2006,0.86
,,2007 - 2008,0.76
,,2016 - 2017,0.92
,,2017 - 2018,0.91
,,2018 - 2019,0.91
,,2019 - 2020,0.91
,,2020 - 2021,0.91
,,2021 - 2022,0.92
,,2022 - 2023,0.91
,Vaishali,2000 - 2001,0.41
,,2001 - 2002,0.58
,,2002 - 2003,0.65
,,2003 - 2004,0.69
,,2004 - 2005,0.66
,,2005 - 2006,0.78
,,2007 - 2008,0.74
,,2016 - 2017,0.92
,,2017 - 2018,0.89
,,2018 - 2019,0.88
,,2019 - 2020,0.86
,,2020 - 2021,0.86
,,2021 - 2022,0.88
,,2022 - 2023,0.89
Chhattisgarh,Balod,2011 - 2012,0.27
,,2012 - 2013,0.27
,,2013 - 2014,0.27
,,2014 - 2015,0.27
,,2015 - 2016,0.22
,,2016 - 2017,0.22
,,2017 - 2018,0.33
,,2018 - 2019,0.32
,,2019 - 2020,0.28
,,2020 - 2021,0.13
,,2021 - 2022,0.27
,,2022 - 2023,0.27
,Baloda bazar,2011 - 2012,0.48
,,2012 - 2013,0.44
,,2013 - 2014,0.48
,,2014 - 2015,0.47
,,2015 - 2016,0.37
,,2016 - 2017,0.38
,,2017 - 2018,0.34
,,2018 - 2019,0.36
,,2019 - 2020,0.35
,,2020 - 2021,0.37
,,2021 - 2022,0.4
,,2022 - 2023,0.38
,Balrampur,2011 - 2012,0.18
,,2012 - 2013,0.22
,,2013 - 2014,0.19
,,2014 - 2015,0.2
,,2015 - 2016,0.22
,,2016 - 2017,0.2
,,2017 - 2018,0.21
,,2018 - 2019,0.2
,,2019 - 2020,0.19
