state,district,year,masoor_rabi_yield_tonne_per_hectare
,,2022 - 2023,1.08
,Bongaigaon,2001 - 2002,0.59
,,2002 - 2003,0.67
,,2003 - 2004,0.64
,,2004 - 2005,0.61
,,2005 - 2006,0.55
,,2006 - 2007,0.57
,,2007 - 2008,0.54
,,2008 - 2009,0.53
,,2009 - 2010,0.55
,,2010 - 2011,0.54
,,2011 - 2012,0.61
,,2012 - 2013,0.68
,,2013 - 2014,0.67
,,2014 - 2015,0.9
,,2015 - 2016,0.61
,,2016 - 2017,0.76
,,2017 - 2018,0.66
,,2018 - 2019,0.95
,,2019 - 2020,0.95
,,2020 - 2021,0.88
,,2021 - 2022,0.87
,,2022 - 2023,0.64
,Cachar,2001 - 2002,0.54
,,2002 - 2003,0.5
,,2003 - 2004,0.53
,,2004 - 2005,0.53
,,2005 - 2006,0.52
,,2006 - 2007,0.53
,,2007 - 2008,0.5
,,2008 - 2009,0.42
,,2009 - 2010,0.48
,,2010 - 2011,0.46
,,2011 - 2012,0.53
,,2012 - 2013,0.52
,,2013 - 2014,0.57
,,2014 - 2015,0.67
,,2015 - 2016,0.68
,,2016 - 2017,0.66
,,2017 - 2018,0.69
,,2018 - 2019,0.66
,,2019 - 2020,0.66
,,2020 - 2021,0.66
,,2021 - 2022,0.66
,,2022 - 2023,0.57
,Charaideo,2020 - 2021,0.6
,,2021 - 2022,0.6
,,2022 - 2023,0.6
,Chirang,2005 - 2006,0.55
,,2006 - 2007,0.55
,,2007 - 2008,0.54
,,2008 - 2009,0.49
,,2009 - 2010,0.53
,,2010 - 2011,0.52
,,2011 - 2012,0.53
,,2012 - 2013,0.59
,,2013 - 2014,0.84
,,2014 - 2015,0.78
,,2015 - 2016,0.54
,,2016 - 2017,0.66
,,2017 - 2018,0.55
,,2018 - 2019,0.5
,,2019 - 2020,0.55
,,2020 - 2021,0.5
,,2021 - 2022,1.01
,,2022 - 2023,0.45
,Darrang,2001 - 2002,0.7
,,2002 - 2003,0.7
,,2003 - 2004,0.66
,,2004 - 2005,0.69
,,2005 - 2006,0.7
,,2006 - 2007,0.7
,,2007 - 2008,0.7
,,2008 - 2009,0.7
,,2009 - 2010,0.7
,,2010 - 2011,0.7
,,2011 - 2012,0.62
,,2012 - 2013,0.78
,,2013 - 2014,2.4
,,2014 - 2015,1.03
,,2015 - 2016,0.75
,,2016 - 2017,0.75
,,2017 - 2018,1.63
,,2018 - 2019,1.63
,,2019 - 2020,1.25
,,2020 - 2021,0.76
,,2021 - 2022,1.03
,,2022 - 2023,1.15
,Dhemaji,2001 - 2002,0.44
,,2002 - 2003,0.45
,,2003 - 2004,0.47
,,2004 - 2005,0.38
,,2005 - 2006,0.36
,,2006 - 2007,0.45
,,2007 - 2008,0.38
,,2008 - 2009,0.42
,,2009 - 2010,0.4
,,2010 - 2011,0.41
,,2011 - 2012,0.45
,,2012 - 2013,0.53
,,2013 - 2014,0.55
,,2014 - 2015,0.72
,,2015 - 2016,0.71
,,2016 - 2017,0.71
,,2017 - 2018,0.71
,,2018 - 2019,0.8
,,2019 - 2020,0.63
,,2020 - 2021,0.82
,,2021 - 2022,0.54
,,2022 - 2023,0.52
,Dhubri,2001 - 2002,0.77
,,2002 - 2003,0.77
,,2003 - 2004,0.77
,,2004 - 2005,0.77
,,2005 - 2006,0.77
,,2006 - 2007,0.77
,,2007 - 2008,0.77
,,2008 - 2009,0.77
,,2009 - 2010,0.77
,,2010 - 2011,0.77
,,2011 - 2012,0.74
,,2012 - 2013,0.8
,,2013 - 2014,0.81
,,2014 - 2015,1.06
,,2015 - 2016,0.99
,,2016 - 2017,0.77
,,2017 - 2018,0.87
,,2018 - 2019,0.8
,,2019 - 2020,0.8
,,2020 - 2021,0.78
,,2021 - 2022,0.78
,,2022 - 2023,0.78
,Dibrugarh,2001 - 2002,0.45
,,2002 - 2003,0.45
,,2003 - 2004,0.45
,,2004 - 2005,0.44
,,2005 - 2006,0.44
,,2006 - 2007,0.45
,,2008 - 2009,1.0
,,2009 - 2010,0.44
,,2010 - 2011,0.44
,,2011 - 2012,0.46
,,2012 - 2013,0.48
,,2013 - 2014,0.58
,,2014 - 2015,0.67
,,2015 - 2016,0.52
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.54
,,2019 - 2020,0.55
,,2020 - 2021,0.56
,,2021 - 2022,0.34
,,2022 - 2023,0.94
,Dima hasao,2001 - 2002,0.33
,,2002 - 2003,0.5
,,2003 - 2004,0.33
,,2004 - 2005,0.33
,,2005 - 2006,0.33
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.33
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.43
,,2012 - 2013,0.44
,,2013 - 2014,0.59
,,2014 - 2015,0.57
,,2015 - 2016,0.57
,,2016 - 2017,0.61
,,2017 - 2018,0.4
,,2018 - 2019,0.58
,,2019 - 2020,0.58
,,2020 - 2021,0.6
,,2021 - 2022,0.6
,,2022 - 2023,0.6
,Goalpara,2001 - 2002,0.46
,,2002 - 2003,0.48
,,2003 - 2004,0.46
,,2004 - 2005,0.47
,,2005 - 2006,0.47
,,2006 - 2007,0.47
,,2007 - 2008,0.47
,,2008 - 2009,0.48
,,2009 - 2010,0.47
,,2010 - 2011,0.47
,,2011 - 2012,0.49
,,2012 - 2013,0.53
,,2013 - 2014,0.85
,,2014 - 2015,0.7
,,2015 - 2016,0.69
,,2016 - 2017,0.65
,,2017 - 2018,0.7
,,2018 - 2019,0.7
,,2019 - 2020,0.7
,,2020 - 2021,0.7
,,2021 - 2022,0.71
,,2022 - 2023,0.72
,Golaghat,2001 - 2002,0.62
,,2002 - 2003,0.62
,,2003 - 2004,0.62
,,2004 - 2005,0.62
,,2005 - 2006,0.62
,,2006 - 2007,0.62
,,2007 - 2008,0.62
,,2008 - 2009,0.62
,,2009 - 2010,0.62
,,2010 - 2011,0.62
,,2011 - 2012,0.61
,,2012 - 2013,0.68
,,2013 - 2014,0.72
,,2014 - 2015,0.9
,,2015 - 2016,0.68
,,2016 - 2017,0.7
,,2017 - 2018,0.72
,,2018 - 2019,0.72
,,2019 - 2020,0.72
,,2020 - 2021,0.72
,,2021 - 2022,0.71
,,2022 - 2023,0.72
,Hailakandi,2009 - 2010,0.44
,,2014 - 2015,0.5
,,2019 - 2020,1.0
,,2020 - 2021,0.67
,,2021 - 2022,1.0
,,2022 - 2023,0.5
,Hojai,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.91
,Jorhat,2001 - 2002,0.5
,,2002 - 2003,0.49
,,2003 - 2004,0.49
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.49
,,2009 - 2010,0.5
,,2010 - 2011,0.49
,,2011 - 2012,0.53
,,2012 - 2013,0.58
,,2013 - 2014,0.59
,,2014 - 2015,0.77
,,2015 - 2016,0.76
,,2016 - 2017,0.79
,,2017 - 2018,0.72
,,2018 - 2019,0.69
,,2019 - 2020,0.8
,,2020 - 2021,0.81
,,2021 - 2022,0.79
,,2022 - 2023,0.81
,Kamrup,2001 - 2002,0.45
,,2002 - 2003,0.46
,,2003 - 2004,0.45
,,2004 - 2005,0.47
,,2005 - 2006,0.47
,,2006 - 2007,0.46
,,2007 - 2008,0.47
,,2008 - 2009,0.47
,,2009 - 2010,0.47
,,2010 - 2011,0.48
,,2011 - 2012,0.51
,,2012 - 2013,0.56
,,2013 - 2014,0.59
,,2014 - 2015,0.74
,,2015 - 2016,0.5
,,2016 - 2017,0.51
,,2017 - 2018,0.51
,,2018 - 2019,0.51
,,2019 - 2020,0.53
,,2020 - 2021,0.53
,,2021 - 2022,0.55
,,2022 - 2023,1.2
,Kamrup metro,2005 - 2006,0.5
,,2006 - 2007,0.49
,,2007 - 2008,0.47
,,2008 - 2009,0.44
,,2009 - 2010,0.46
,,2010 - 2011,0.46
,,2011 - 2012,0.48
,,2012 - 2013,0.51
,,2013 - 2014,0.56
,,2014 - 2015,0.68
,,2015 - 2016,0.56
,,2016 - 2017,0.51
,,2017 - 2018,0.51
,,2018 - 2019,0.53
,,2019 - 2020,0.53
,,2020 - 2021,0.53
,,2021 - 2022,0.54
,,2022 - 2023,1.1
,Karbi anglong,2001 - 2002,0.54
,,2002 - 2003,0.48
,,2003 - 2004,0.52
,,2004 - 2005,0.46
,,2005 - 2006,0.48
,,2006 - 2007,0.48
,,2007 - 2008,0.47
,,2008 - 2009,0.48
,,2009 - 2010,0.48
,,2010 - 2011,0.49
,,2011 - 2012,0.5
,,2012 - 2013,0.57
,,2013 - 2014,0.61
,,2014 - 2015,0.76
,,2015 - 2016,0.6
,,2016 - 2017,0.62
,,2017 - 2018,0.61
,,2018 - 2019,0.6
,,2019 - 2020,0.61
,,2020 - 2021,0.61
,,2021 - 2022,0.61
,,2022 - 2023,0.61
,Karimganj,2009 - 2010,0.47
,,2010 - 2011,0.44
,,2014 - 2015,0.65
,,2016 - 2017,0.66
,,2017 - 2018,0.4
,,2018 - 2019,0.69
,,2019 - 2020,0.6
,,2020 - 2021,0.7
,,2021 - 2022,0.75
,,2022 - 2023,0.9
,Kokrajhar,2001 - 2002,0.49
,,2002 - 2003,0.49
,,2003 - 2004,0.49
,,2004 - 2005,0.49
,,2005 - 2006,0.49
,,2006 - 2007,0.49
,,2007 - 2008,0.49
,,2008 - 2009,0.49
,,2009 - 2010,0.48
,,2010 - 2011,0.48
,,2011 - 2012,0.52
,,2012 - 2013,0.57
,,2013 - 2014,0.58
,,2014 - 2015,0.76
,,2015 - 2016,0.69
,,2016 - 2017,0.58
,,2017 - 2018,0.58
,,2018 - 2019,0.58
,,2019 - 2020,0.58
,,2020 - 2021,0.58
,,2021 - 2022,0.68
,,2022 - 2023,1.12
,Lakhimpur,2001 - 2002,0.46
,,2002 - 2003,0.46
,,2003 - 2004,0.46
,,2004 - 2005,0.46
,,2005 - 2006,0.46
,,2006 - 2007,0.46
,,2007 - 2008,0.46
,,2008 - 2009,0.46
,,2009 - 2010,0.46
,,2010 - 2011,0.46
,,2011 - 2012,0.51
,,2012 - 2013,0.56
,,2013 - 2014,0.56
,,2014 - 2015,1.0
,,2015 - 2016,0.93
,,2016 - 2017,0.93
,,2017 - 2018,0.88
,,2018 - 2019,0.83
,,2019 - 2020,0.91
,,2020 - 2021,0.9
,,2021 - 2022,0.92
,,2022 - 2023,0.86
,Majuli,2020 - 2021,0.79
,,2021 - 2022,0.79
,,2022 - 2023,0.59
,Marigaon,2001 - 2002,0.69
,,2002 - 2003,0.69
,,2003 - 2004,0.68
,,2004 - 2005,0.69
,,2005 - 2006,0.68
,,2006 - 2007,0.68
,,2007 - 2008,0.68
,,2008 - 2009,0.68
,,2009 - 2010,0.68
,,2010 - 2011,0.68
,,2011 - 2012,0.63
,,2012 - 2013,0.76
,,2013 - 2014,0.8
,,2014 - 2015,1.01
,,2015 - 2016,0.77
,,2016 - 2017,0.75
,,2017 - 2018,0.77
,,2018 - 2019,0.76
,,2019 - 2020,0.85
,,2020 - 2021,0.85
,,2021 - 2022,0.85
,,2022 - 2023,1.0
,Nagaon,2001 - 2002,0.36
,,2002 - 2003,0.36
,,2003 - 2004,0.36
,,2004 - 2005,0.36
,,2005 - 2006,0.36
,,2006 - 2007,0.36
,,2007 - 2008,0.36
,,2008 - 2009,0.36
,,2009 - 2010,0.36
,,2010 - 2011,0.36
,,2011 - 2012,0.42
,,2012 - 2013,0.47
,,2013 - 2014,0.46
,,2014 - 2015,0.61
,,2015 - 2016,0.69
,,2016 - 2017,0.69
,,2017 - 2018,0.64
,,2018 - 2019,0.72
,,2019 - 2020,0.64
,,2020 - 2021,0.64
,,2021 - 2022,0.64
,,2022 - 2023,0.65
,Nalbari,2001 - 2002,0.52
,,2002 - 2003,0.52
,,2003 - 2004,0.52
,,2004 - 2005,0.52
,,2005 - 2006,0.52
,,2006 - 2007,0.52
,,2007 - 2008,0.11
,,2008 - 2009,0.45
,,2009 - 2010,0.36
,,2010 - 2011,0.3
,,2011 - 2012,0.46
,,2012 - 2013,0.51
,,2013 - 2014,0.52
,,2014 - 2015,0.67
,,2015 - 2016,0.51
,,2016 - 2017,0.75
,,2017 - 2018,0.76
,,2018 - 2019,0.75
,,2019 - 2020,0.72
,,2020 - 2021,0.73
,,2021 - 2022,0.7
,,2022 - 2023,0.69
,Sivasagar,2001 - 2002,0.41
,,2002 - 2003,0.44
,,2003 - 2004,0.36
,,2004 - 2005,0.43
,,2005 - 2006,0.43
,,2006 - 2007,0.36
,,2007 - 2008,0.37
,,2008 - 2009,0.57
,,2009 - 2010,0.43
,,2010 - 2011,0.41
,,2011 - 2012,0.57
,,2012 - 2013,0.43
,,2013 - 2014,0.49
,,2014 - 2015,0.63
,,2015 - 2016,0.78
,,2016 - 2017,0.69
,,2017 - 2018,0.75
,,2018 - 2019,0.74
,,2019 - 2020,0.74
,,2020 - 2021,0.66
,,2021 - 2022,0.65
,,2022 - 2023,0.67
,Sonitpur,2001 - 2002,0.52
,,2002 - 2003,0.54
,,2003 - 2004,0.53
,,2004 - 2005,0.53
,,2005 - 2006,0.54
,,2006 - 2007,0.54
,,2007 - 2008,0.54
,,2008 - 2009,0.53
,,2009 - 2010,0.53
,,2010 - 2011,0.54
,,2011 - 2012,0.55
,,2012 - 2013,0.61
,,2013 - 2014,0.62
,,2014 - 2015,0.81
,,2015 - 2016,0.81
,,2016 - 2017,0.82
,,2017 - 2018,0.89
,,2018 - 2019,0.86
,,2019 - 2020,0.94
,,2020 - 2021,0.87
,,2021 - 2022,0.83
,,2022 - 2023,0.84
,South salmara mancachar,2020 - 2021,0.91
,,2021 - 2022,0.91
,,2022 - 2023,0.9
,Tinsukia,2001 - 2002,0.41
,,2002 - 2003,0.45
,,2003 - 2004,0.42
,,2004 - 2005,0.37
,,2005 - 2006,0.36
,,2006 - 2007,0.35
,,2007 - 2008,0.39
,,2008 - 2009,0.44
,,2009 - 2010,0.41
,,2010 - 2011,0.47
,,2011 - 2012,0.53
,,2012 - 2013,0.53
,,2013 - 2014,0.33
,,2014 - 2015,0.74
,,2015 - 2016,0.54
,,2016 - 2017,0.57
,,2017 - 2018,0.6
,,2018 - 2019,0.59
,,2019 - 2020,0.63
,,2020 - 2021,0.63
,,2021 - 2022,0.64
,,2022 - 2023,0.58
,Udalguri,2005 - 2006,0.66
,,2006 - 2007,0.64
,,2007 - 2008,0.65
,,2008 - 2009,0.61
,,2009 - 2010,0.63
,,2010 - 2011,0.63
,,2011 - 2012,0.59
,,2012 - 2013,0.7
,,2013 - 2014,0.74
,,2014 - 2015,0.93
,,2015 - 2016,0.6
,,2016 - 2017,0.61
,,2017 - 2018,0.85
,,2018 - 2019,0.83
,,2019 - 2020,0.81
,,2020 - 2021,0.77
,,2021 - 2022,0.79
,,2022 - 2023,0.83
,West karbi anglong,2020 - 2021,0.54
,,2021 - 2022,0.61
,,2022 - 2023,0.62
Bihar,Araria,2000 - 2001,0.88
,,2001 - 2002,0.48
,,2002 - 2003,0.69
,,2003 - 2004,0.36
,,2004 - 2005,0.53
,,2005 - 2006,0.5
,,2006 - 2007,0.47
,,2007 - 2008,0.49
,,2008 - 2009,0.66
,,2009 - 2010,0.55
,,2010 - 2011,0.72
,,2011 - 2012,1.85
,,2012 - 2013,0.72
,,2013 - 2014,0.9
,,2014 - 2015,0.43
,,2015 - 2016,0.84
,,2016 - 2017,0.62
,,2017 - 2018,0.35
,,2018 - 2019,0.78
,,2019 - 2020,0.83
,,2020 - 2021,0.75
,,2021 - 2022,0.67
,,2022 - 2023,1.09
,Arwal,2003 - 2004,0.81
,,2004 - 2005,0.63
,,2005 - 2006,0.74
,,2007 - 2008,0.87
,,2008 - 2009,0.83
,,2009 - 2010,1.01
,,2010 - 2011,0.56
,,2011 - 2012,0.84
,,2012 - 2013,1.1
,,2013 - 2014,0.89
,,2014 - 2015,0.88
,,2015 - 2016,0.81
,,2016 - 2017,0.8
,,2017 - 2018,0.71
,,2018 - 2019,0.86
,,2019 - 2020,0.59
,,2020 - 2021,1.02
,,2021 - 2022,0.97
,,2022 - 2023,0.79
,Aurangabad,2000 - 2001,0.99
,,2001 - 2002,0.87
,,2002 - 2003,0.82
,,2003 - 2004,0.86
,,2004 - 2005,0.65
,,2005 - 2006,0.52
,,2006 - 2007,0.87
,,2007 - 2008,0.8
,,2008 - 2009,0.58
,,2009 - 2010,0.7
,,2010 - 2011,1.03
,,2011 - 2012,0.99
,,2012 - 2013,0.95
,,2013 - 2014,0.72
,,2014 - 2015,0.7
,,2015 - 2016,0.77
,,2016 - 2017,0.88
,,2017 - 2018,0.83
,,2018 - 2019,0.77
,,2019 - 2020,0.33
,,2020 - 2021,0.46
,,2021 - 2022,0.65
,,2022 - 2023,0.49
,Banka,2000 - 2001,0.69
,,2001 - 2002,0.69
,,2002 - 2003,0.37
,,2003 - 2004,0.63
,,2004 - 2005,0.69
,,2005 - 2006,0.58
,,2006 - 2007,0.66
,,2007 - 2008,0.74
,,2008 - 2009,0.97
,,2009 - 2010,0.64
,,2010 - 2011,0.65
,,2011 - 2012,0.77
,,2012 - 2013,0.92
,,2013 - 2014,1.17
,,2014 - 2015,0.86
,,2015 - 2016,0.8
,,2016 - 2017,1.21
,,2017 - 2018,0.7
,,2018 - 2019,0.61
,,2019 - 2020,0.82
,,2020 - 2021,0.65
,,2021 - 2022,0.65
,,2022 - 2023,0.76
,Begusarai,2000 - 2001,1.06
,,2001 - 2002,0.62
,,2002 - 2003,0.49
,,2003 - 2004,0.84
,,2004 - 2005,0.86
,,2005 - 2006,0.63
,,2006 - 2007,0.8
,,2007 - 2008,1.04
,,2008 - 2009,0.78
,,2009 - 2010,0.63
,,2010 - 2011,0.84
,,2011 - 2012,1.52
,,2012 - 2013,1.42
,,2013 - 2014,1.52
,,2014 - 2015,0.57
,,2015 - 2016,0.77
,,2016 - 2017,0.81
,,2017 - 2018,1.0
,,2018 - 2019,1.04
,,2019 - 2020,0.87
,,2020 - 2021,0.91
,,2021 - 2022,0.92
,,2022 - 2023,1.15
,Bhagalpur,2000 - 2001,0.84
,,2001 - 2002,0.69
,,2002 - 2003,0.62
,,2003 - 2004,0.74
,,2004 - 2005,0.69
,,2005 - 2006,0.59
,,2006 - 2007,0.55
,,2007 - 2008,0.68
,,2008 - 2009,0.77
,,2009 - 2010,0.65
,,2010 - 2011,0.53
,,2011 - 2012,1.02
,,2012 - 2013,0.6
,,2013 - 2014,1.08
,,2014 - 2015,0.28
,,2015 - 2016,0.61
,,2016 - 2017,0.71
,,2017 - 2018,0.71
,,2018 - 2019,0.53
,,2019 - 2020,0.58
,,2020 - 2021,0.67
,,2021 - 2022,0.72
,,2022 - 2023,0.69
,Bhojpur,2000 - 2001,1.09
,,2001 - 2002,1.09
,,2002 - 2003,0.98
,,2003 - 2004,0.99
,,2004 - 2005,0.87
,,2005 - 2006,0.74
,,2006 - 2007,0.61
,,2007 - 2008,0.89
,,2008 - 2009,0.91
,,2009 - 2010,1.44
,,2010 - 2011,1.26
,,2011 - 2012,1.14
,,2012 - 2013,1.32
,,2013 - 2014,1.07
,,2014 - 2015,0.82
,,2015 - 2016,0.79
,,2016 - 2017,1.28
,,2017 - 2018,0.96
,,2018 - 2019,1.0
,,2019 - 2020,0.57
,,2020 - 2021,0.97
,,2021 - 2022,1.15
,,2022 - 2023,0.71
,Buxar,2000 - 2001,1.08
,,2001 - 2002,1.1
,,2002 - 2003,1.34
,,2003 - 2004,1.94
,,2004 - 2005,0.75
,,2005 - 2006,1.02
,,2006 - 2007,0.72
,,2007 - 2008,1.04
,,2008 - 2009,1.0
,,2009 - 2010,0.71
,,2010 - 2011,1.12
,,2011 - 2012,1.36
,,2012 - 2013,1.12
,,2013 - 2014,1.41
,,2014 - 2015,0.46
,,2015 - 2016,0.94
,,2016 - 2017,1.43
,,2017 - 2018,1.2
,,2018 - 2019,1.4
,,2019 - 2020,0.76
,,2020 - 2021,1.55
,,2021 - 2022,1.29
,,2022 - 2023,0.98
,Darbhanga,2000 - 2001,0.65
,,2001 - 2002,0.68
,,2002 - 2003,0.61
,,2003 - 2004,0.87
,,2004 - 2005,0.75
,,2005 - 2006,0.67
,,2006 - 2007,0.74
,,2007 - 2008,0.71
,,2008 - 2009,0.64
,,2009 - 2010,0.6
,,2010 - 2011,0.77
,,2011 - 2012,0.74
,,2012 - 2013,1.25
,,2013 - 2014,0.85
,,2014 - 2015,1.12
,,2015 - 2016,1.41
,,2016 - 2017,0.82
,,2017 - 2018,0.82
,,2018 - 2019,0.69
,,2019 - 2020,0.58
,,2020 - 2021,0.72
,,2021 - 2022,0.85
,,2022 - 2023,0.79
,Gaya,2000 - 2001,0.93
,,2001 - 2002,0.88
,,2002 - 2003,0.73
,,2003 - 2004,0.76
,,2004 - 2005,0.66
,,2005 - 2006,0.62
,,2006 - 2007,0.72
,,2007 - 2008,0.74
,,2008 - 2009,1.18
,,2009 - 2010,0.69
,,2010 - 2011,1.17
,,2011 - 2012,1.13
,,2012 - 2013,1.22
,,2013 - 2014,0.75
,,2014 - 2015,0.76
,,2015 - 2016,1.4
,,2016 - 2017,0.99
,,2017 - 2018,0.27
,,2018 - 2019,1.0
,,2019 - 2020,0.63
,,2020 - 2021,0.71
,,2021 - 2022,0.82
,,2022 - 2023,0.93
,Gopalganj,2000 - 2001,0.69
,,2001 - 2002,1.08
,,2002 - 2003,0.75
,,2003 - 2004,0.93
,,2004 - 2005,0.71
,,2005 - 2006,0.74
,,2006 - 2007,0.72
,,2007 - 2008,0.8
,,2008 - 2009,0.81
,,2009 - 2010,0.89
,,2010 - 2011,0.94
,,2011 - 2012,1.02
,,2012 - 2013,1.15
,,2013 - 2014,1.27
,,2014 - 2015,1.46
,,2015 - 2016,0.63
,,2016 - 2017,0.56
,,2017 - 2018,1.04
,,2018 - 2019,1.2
,,2019 - 2020,0.93
,,2020 - 2021,0.97
,,2021 - 2022,1.21
,,2022 - 2023,0.65
,Jamui,2000 - 2001,1.0
,,2001 - 2002,0.62
,,2002 - 2003,0.78
,,2003 - 2004,0.93
,,2004 - 2005,0.49
,,2005 - 2006,1.01
,,2006 - 2007,0.42
,,2007 - 2008,0.63
,,2008 - 2009,0.52
,,2009 - 2010,0.98
,,2010 - 2011,0.79
,,2011 - 2012,1.0
,,2012 - 2013,1.34
,,2013 - 2014,1.52
,,2014 - 2015,0.91
,,2015 - 2016,1.13
,,2016 - 2017,0.62
,,2017 - 2018,0.62
,,2018 - 2019,0.68
,,2019 - 2020,0.55
,,2020 - 2021,0.69
,,2021 - 2022,0.57
,,2022 - 2023,0.67
,Jehanabad,2000 - 2001,1.0
,,2001 - 2002,0.85
,,2002 - 2003,1.2
,,2003 - 2004,0.88
,,2004 - 2005,0.55
,,2005 - 2006,0.79
,,2006 - 2007,1.0
,,2007 - 2008,0.9
,,2008 - 2009,0.78
,,2009 - 2010,0.97
,,2010 - 2011,0.91
,,2011 - 2012,1.05
,,2012 - 2013,1.36
,,2013 - 2014,1.53
,,2014 - 2015,1.0
,,2015 - 2016,0.87
,,2016 - 2017,0.75
,,2017 - 2018,1.3
,,2018 - 2019,1.11
,,2019 - 2020,0.57
,,2020 - 2021,1.12
,,2021 - 2022,1.3
,,2022 - 2023,1.2
,Kaimur (bhabua),2000 - 2001,1.03
,,2001 - 2002,1.04
,,2002 - 2003,0.98
,,2003 - 2004,1.07
,,2004 - 2005,0.73
,,2005 - 2006,0.88
,,2006 - 2007,0.6
,,2007 - 2008,0.75
,,2008 - 2009,0.65
,,2009 - 2010,0.54
,,2010 - 2011,0.79
,,2011 - 2012,1.04
,,2012 - 2013,1.29
,,2013 - 2014,0.76
,,2014 - 2015,2.64
,,2015 - 2016,0.82
,,2016 - 2017,1.04
,,2017 - 2018,0.89
,,2018 - 2019,0.74
,,2019 - 2020,0.68
,,2020 - 2021,0.66
,,2021 - 2022,0.82
,,2022 - 2023,0.71
,Katihar,2000 - 2001,0.68
,,2001 - 2002,0.53
,,2002 - 2003,0.49
,,2003 - 2004,0.61
,,2004 - 2005,0.55
,,2005 - 2006,0.34
,,2006 - 2007,0.38
,,2007 - 2008,0.51
,,2008 - 2009,0.46
,,2009 - 2010,0.59
,,2010 - 2011,0.9
,,2011 - 2012,1.02
,,2012 - 2013,1.01
,,2013 - 2014,1.1
,,2014 - 2015,0.81
