state,district,year,arhar_tur_kharif_yield_tonne_per_hectare
,,2013 - 2014,0.55
,,2014 - 2015,0.54
,,2015 - 2016,0.52
,,2016 - 2017,0.53
,,2017 - 2018,0.49
,,2018 - 2019,0.56
,,2019 - 2020,0.75
,,2020 - 2021,0.64
,,2021 - 2022,0.69
,,2022 - 2023,0.69
,Surguja,2000 - 2001,0.52
,,2001 - 2002,0.44
,,2002 - 2003,0.49
,,2003 - 2004,0.66
,,2004 - 2005,0.57
,,2005 - 2006,0.49
,,2006 - 2007,0.48
,,2007 - 2008,0.56
,,2008 - 2009,0.63
,,2009 - 2010,0.5
,,2010 - 2011,0.47
,,2011 - 2012,0.44
,,2012 - 2013,0.7
,,2013 - 2014,0.62
,,2014 - 2015,0.69
,,2015 - 2016,0.51
,,2016 - 2017,0.64
,,2017 - 2018,0.4
,,2018 - 2019,0.53
,,2019 - 2020,0.71
,,2020 - 2021,0.61
,,2021 - 2022,0.6
,,2022 - 2023,0.68
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2000 - 2001,0.74
,,2001 - 2002,0.97
,,2002 - 2003,0.97
,,2003 - 2004,0.88
,,2004 - 2005,0.85
,,2005 - 2006,1.09
,,2006 - 2007,1.37
,,2007 - 2008,0.87
,,2008 - 2009,0.87
,,2009 - 2010,0.8
,,2010 - 2011,0.8
,,2011 - 2012,0.8
,,2012 - 2013,0.8
,,2015 - 2016,0.83
,,2016 - 2017,3.43
,,2017 - 2018,0.84
,,2018 - 2019,1.1
,,2019 - 2020,1.0
Gujarat,Ahmadabad,2000 - 2001,0.33
,,2001 - 2002,0.64
,,2002 - 2003,0.61
,,2003 - 2004,0.88
,,2004 - 2005,1.0
,,2005 - 2006,0.95
,,2006 - 2007,0.87
,,2007 - 2008,1.11
,,2008 - 2009,1.0
,,2009 - 2010,0.83
,,2010 - 2011,1.0
,,2011 - 2012,1.09
,,2012 - 2013,0.9
,,2013 - 2014,0.86
,,2014 - 2015,1.09
,,2015 - 2016,1.23
,,2016 - 2017,1.13
,,2017 - 2018,1.24
,,2018 - 2019,1.21
,,2019 - 2020,0.99
,,2020 - 2021,1.19
,,2021 - 2022,1.7
,,2022 - 2023,0.86
,Amreli,2000 - 2001,0.4
,,2001 - 2002,0.6
,,2002 - 2003,0.75
,,2003 - 2004,0.82
,,2004 - 2005,0.93
,,2005 - 2006,1.0
,,2006 - 2007,0.89
,,2007 - 2008,1.14
,,2008 - 2009,1.0
,,2009 - 2010,0.83
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.86
,,2014 - 2015,1.09
,,2015 - 2016,1.23
,,2016 - 2017,1.13
,,2017 - 2018,1.24
,,2018 - 2019,1.21
,,2019 - 2020,1.92
,,2020 - 2021,1.37
,,2021 - 2022,0.99
,,2022 - 2023,0.97
,Anand,2003 - 2004,0.82
,,2004 - 2005,0.93
,,2005 - 2006,1.0
,,2006 - 2007,0.78
,,2007 - 2008,1.1
,,2008 - 2009,0.91
,,2009 - 2010,0.89
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.86
,,2014 - 2015,1.09
,,2015 - 2016,1.23
,,2016 - 2017,1.13
,,2017 - 2018,1.24
,,2018 - 2019,1.21
,,2019 - 2020,1.0
,,2020 - 2021,1.2
,,2021 - 2022,1.15
,,2022 - 2023,1.15
,Aravalli,2014 - 2015,0.67
,,2015 - 2016,0.81
,,2016 - 2017,0.97
,,2017 - 2018,0.66
,,2018 - 2019,1.01
,,2019 - 2020,0.98
,,2020 - 2021,1.13
,,2021 - 2022,1.11
,,2022 - 2023,1.07
,Banas kantha,2000 - 2001,0.32
,,2001 - 2002,0.63
,,2002 - 2003,0.64
,,2003 - 2004,0.91
,,2004 - 2005,0.94
,,2005 - 2006,1.0
,,2006 - 2007,0.82
,,2007 - 2008,1.04
,,2008 - 2009,1.07
,,2009 - 2010,1.09
,,2010 - 2011,1.23
,,2011 - 2012,0.78
,,2012 - 2013,0.87
,,2013 - 2014,1.27
,,2014 - 2015,1.34
,,2015 - 2016,1.11
,,2016 - 2017,1.27
,,2017 - 2018,2.32
,,2018 - 2019,1.31
,,2019 - 2020,1.63
,,2020 - 2021,1.64
,,2021 - 2022,1.16
,,2022 - 2023,1.16
,Bharuch,2000 - 2001,0.29
,,2001 - 2002,0.61
,,2002 - 2003,0.63
,,2003 - 2004,0.51
,,2004 - 2005,0.56
,,2005 - 2006,0.62
,,2006 - 2007,0.63
,,2007 - 2008,0.82
,,2008 - 2009,0.73
,,2009 - 2010,0.65
,,2010 - 2011,0.93
,,2011 - 2012,0.88
,,2012 - 2013,0.91
,,2013 - 2014,0.76
,,2014 - 2015,0.85
,,2015 - 2016,1.14
,,2016 - 2017,1.08
,,2017 - 2018,1.02
,,2018 - 2019,1.09
,,2019 - 2020,0.94
,,2020 - 2021,1.06
,,2021 - 2022,1.09
,,2022 - 2023,1.13
,Bhavnagar,2000 - 2001,0.35
,,2001 - 2002,0.63
,,2002 - 2003,0.58
,,2003 - 2004,0.86
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,0.8
,,2007 - 2008,1.0
,,2008 - 2009,0.89
,,2009 - 2010,0.83
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.86
,,2014 - 2015,1.09
,,2015 - 2016,1.23
,,2016 - 2017,1.13
,,2017 - 2018,1.24
,,2018 - 2019,1.21
,,2019 - 2020,0.99
,,2020 - 2021,1.19
,,2021 - 2022,1.16
,,2022 - 2023,1.16
,Botad,2016 - 2017,1.12
,,2017 - 2018,1.2
,,2018 - 2019,1.23
,,2019 - 2020,1.0
,,2020 - 2021,1.19
,,2021 - 2022,1.16
,,2022 - 2023,1.16
,Chhotaudepur,2014 - 2015,1.73
,,2015 - 2016,1.6
,,2016 - 2017,1.19
,,2017 - 2018,1.85
,,2018 - 2019,1.58
,,2019 - 2020,0.73
,,2020 - 2021,1.48
,,2021 - 2022,1.32
,,2022 - 2023,1.07
,Dang,2000 - 2001,0.34
,,2001 - 2002,0.61
,,2002 - 2003,0.64
,,2003 - 2004,0.88
,,2004 - 2005,0.95
,,2005 - 2006,1.0
,,2006 - 2007,0.83
,,2007 - 2008,1.1
,,2008 - 2009,1.05
,,2009 - 2010,0.86
,,2010 - 2011,0.41
,,2011 - 2012,1.07
,,2012 - 2013,0.95
,,2013 - 2014,0.86
,,2015 - 2016,1.23
,,2016 - 2017,1.13
,,2017 - 2018,1.24
,,2018 - 2019,1.21
,,2019 - 2020,0.45
,,2020 - 2021,0.91
,,2021 - 2022,0.4
,,2022 - 2023,0.49
,Devbhumi dwarka,2016 - 2017,1.13
,,2017 - 2018,1.25
,Dohad,2003 - 2004,1.14
,,2004 - 2005,1.31
,,2005 - 2006,1.27
,,2006 - 2007,1.09
,,2007 - 2008,1.4
,,2008 - 2009,1.14
,,2009 - 2010,0.92
,,2010 - 2011,1.22
,,2011 - 2012,1.51
,,2012 - 2013,1.44
,,2013 - 2014,1.28
,,2014 - 2015,0.91
,,2015 - 2016,1.08
,,2016 - 2017,1.33
,,2017 - 2018,1.21
,,2018 - 2019,0.5
,,2019 - 2020,0.7
,,2020 - 2021,0.82
,,2021 - 2022,0.82
,,2022 - 2023,0.54
,Gandhinagar,2000 - 2001,0.25
,,2001 - 2002,0.6
,,2002 - 2003,0.75
,,2003 - 2004,0.89
,,2004 - 2005,0.92
,,2005 - 2006,0.91
,,2006 - 2007,0.9
,,2007 - 2008,1.17
,,2008 - 2009,1.0
,,2009 - 2010,0.75
,,2010 - 2011,1.0
,,2011 - 2012,1.25
,,2012 - 2013,1.0
,,2013 - 2014,0.85
,,2014 - 2015,1.09
,,2015 - 2016,1.23
,,2016 - 2017,1.13
,,2017 - 2018,1.24
,,2018 - 2019,1.21
,,2019 - 2020,0.98
,,2020 - 2021,1.17
,,2021 - 2022,1.2
,,2022 - 2023,1.14
,Gir somnath,2014 - 2015,1.09
,,2015 - 2016,1.23
,,2016 - 2017,1.13
,,2017 - 2018,1.24
,,2018 - 2019,1.21
,,2019 - 2020,0.99
,,2020 - 2021,1.19
,,2021 - 2022,1.16
,,2022 - 2023,1.16
,Jamnagar,2000 - 2001,0.34
,,2001 - 2002,0.63
,,2002 - 2003,1.0
,,2003 - 2004,0.85
,,2004 - 2005,0.91
,,2005 - 2006,1.0
,,2006 - 2007,0.91
,,2007 - 2008,1.18
,,2008 - 2009,1.0
,,2009 - 2010,0.83
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.86
,,2014 - 2015,1.09
,,2015 - 2016,1.23
,,2016 - 2017,1.13
,,2017 - 2018,1.24
,,2018 - 2019,1.15
,,2019 - 2020,1.63
,,2020 - 2021,2.06
,,2021 - 2022,1.16
,,2022 - 2023,1.16
,Junagadh,2000 - 2001,0.33
,,2001 - 2002,0.62
,,2002 - 2003,0.62
,,2003 - 2004,0.87
,,2004 - 2005,0.94
,,2005 - 2006,1.0
,,2006 - 2007,0.86
,,2007 - 2008,1.14
,,2008 - 2009,1.0
,,2009 - 2010,0.9
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.2
,,2013 - 2014,0.86
,,2014 - 2015,1.09
,,2015 - 2016,1.23
,,2016 - 2017,1.13
,,2017 - 2018,1.24
,,2018 - 2019,1.21
,,2019 - 2020,2.69
,,2020 - 2021,2.69
,,2021 - 2022,1.21
,,2022 - 2023,2.17
,Kachchh,2002 - 2003,0.0
,,2010 - 2011,1.0
,,2016 - 2017,1.13
,,2017 - 2018,1.24
,,2019 - 2020,1.0
,,2020 - 2021,1.2
,,2022 - 2023,1.16
,Kheda,2000 - 2001,0.37
,,2001 - 2002,0.92
,,2002 - 2003,1.04
,,2003 - 2004,1.26
,,2004 - 2005,1.39
,,2005 - 2006,1.26
,,2006 - 2007,0.85
,,2007 - 2008,0.92
,,2008 - 2009,0.95
,,2009 - 2010,0.48
,,2010 - 2011,0.82
,,2011 - 2012,1.21
,,2012 - 2013,1.05
,,2013 - 2014,1.13
,,2014 - 2015,1.09
,,2015 - 2016,1.23
,,2016 - 2017,1.13
,,2017 - 2018,1.24
,,2018 - 2019,1.21
,,2019 - 2020,0.99
,,2020 - 2021,1.19
,,2021 - 2022,1.16
,,2022 - 2023,1.16
,Mahesana,2000 - 2001,0.35
,,2001 - 2002,0.61
,,2002 - 2003,0.63
,,2003 - 2004,0.8
,,2004 - 2005,0.88
,,2005 - 2006,1.11
,,2006 - 2007,0.89
,,2007 - 2008,1.07
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.09
,,2015 - 2016,1.24
,,2016 - 2017,1.13
,,2017 - 2018,1.24
,,2018 - 2019,1.21
,,2019 - 2020,1.0
,,2020 - 2021,1.18
,,2021 - 2022,1.16
,,2022 - 2023,1.15
,Mahisagar,2014 - 2015,1.93
,,2015 - 2016,1.8
,,2016 - 2017,2.15
,,2017 - 2018,1.65
,,2018 - 2019,1.45
,,2019 - 2020,0.79
,,2020 - 2021,0.71
,,2021 - 2022,0.88
,,2022 - 2023,0.73
,Morbi,2014 - 2015,1.08
,,2015 - 2016,1.23
,,2016 - 2017,1.13
,,2017 - 2018,1.24
,,2018 - 2019,1.21
,,2019 - 2020,0.99
,,2020 - 2021,1.18
,,2021 - 2022,1.16
,,2022 - 2023,1.16
,Narmada,2003 - 2004,0.97
,,2004 - 2005,0.99
,,2005 - 2006,0.99
,,2006 - 2007,0.64
,,2007 - 2008,1.1
,,2008 - 2009,0.99
,,2009 - 2010,1.07
,,2010 - 2011,0.88
,,2011 - 2012,0.93
,,2012 - 2013,0.96
,,2013 - 2014,0.74
,,2014 - 2015,1.04
,,2015 - 2016,1.21
,,2016 - 2017,0.84
,,2017 - 2018,0.91
,,2018 - 2019,1.05
,,2019 - 2020,1.04
,,2020 - 2021,1.09
,,2021 - 2022,1.11
,,2022 - 2023,1.1
,Navsari,2003 - 2004,0.86
,,2004 - 2005,0.91
,,2005 - 2006,0.95
,,2006 - 2007,0.82
,,2007 - 2008,1.1
,,2008 - 2009,0.97
,,2009 - 2010,0.87
,,2010 - 2011,1.0
,,2011 - 2012,0.27
,,2012 - 2013,1.0
,,2013 - 2014,0.86
,,2014 - 2015,0.53
,,2015 - 2016,1.23
,,2016 - 2017,0.57
,,2017 - 2018,0.93
,,2018 - 2019,0.85
,,2019 - 2020,0.9
,,2020 - 2021,0.73
,,2021 - 2022,1.16
,,2022 - 2023,1.16
,Panch mahals,2000 - 2001,0.46
,,2001 - 2002,0.61
,,2002 - 2003,0.75
,,2003 - 2004,1.3
,,2004 - 2005,1.21
,,2005 - 2006,1.47
,,2006 - 2007,1.09
,,2007 - 2008,1.81
,,2008 - 2009,1.42
,,2009 - 2010,1.15
,,2010 - 2011,1.41
,,2011 - 2012,1.53
,,2012 - 2013,1.92
,,2013 - 2014,1.75
,,2014 - 2015,2.07
,,2015 - 2016,1.73
,,2016 - 2017,1.57
,,2017 - 2018,1.76
,,2018 - 2019,1.48
,,2019 - 2020,1.3
,,2020 - 2021,1.37
,,2021 - 2022,1.41
,,2022 - 2023,1.56
,Patan,2003 - 2004,0.88
,,2004 - 2005,0.93
,,2005 - 2006,1.0
,,2006 - 2007,0.83
,,2007 - 2008,1.17
,,2008 - 2009,1.0
,,2009 - 2010,0.86
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.8
,,2016 - 2017,1.14
,,2017 - 2018,1.24
,,2018 - 2019,1.21
,,2019 - 2020,1.0
,,2020 - 2021,1.19
,,2021 - 2022,1.16
,,2022 - 2023,1.16
,Porbandar,2003 - 2004,1.0
,,2010 - 2011,1.0
,,2014 - 2015,1.1
,,2016 - 2017,1.12
,,2019 - 2020,1.0
,,2020 - 2021,1.2
,,2021 - 2022,1.16
,,2022 - 2023,1.15
,Rajkot,2000 - 2001,0.35
,,2001 - 2002,0.62
,,2002 - 2003,0.58
,,2003 - 2004,0.88
,,2004 - 2005,0.86
,,2005 - 2006,1.0
,,2006 - 2007,0.8
,,2007 - 2008,1.25
,,2008 - 2009,1.0
,,2009 - 2010,0.83
,,2010 - 2011,1.0
,,2011 - 2012,1.11
,,2012 - 2013,1.0
,,2013 - 2014,0.86
,,2014 - 2015,1.09
,,2015 - 2016,1.23
,,2016 - 2017,1.13
,,2017 - 2018,1.24
,,2018 - 2019,2.62
,,2019 - 2020,2.26
,,2020 - 2021,1.42
,,2021 - 2022,1.64
,,2022 - 2023,1.96
,Sabar kantha,2000 - 2001,0.19
,,2001 - 2002,0.26
,,2002 - 2003,0.12
,,2003 - 2004,0.92
,,2004 - 2005,0.66
,,2005 - 2006,1.37
,,2006 - 2007,0.68
,,2007 - 2008,0.81
,,2008 - 2009,0.9
,,2009 - 2010,0.67
,,2010 - 2011,0.64
,,2011 - 2012,1.13
,,2012 - 2013,1.15
,,2013 - 2014,1.03
,,2014 - 2015,1.04
,,2015 - 2016,0.95
,,2016 - 2017,1.18
,,2017 - 2018,1.27
,,2018 - 2019,1.0
,,2019 - 2020,1.37
,,2020 - 2021,1.4
,,2021 - 2022,1.34
,,2022 - 2023,1.4
,Surat,2000 - 2001,0.58
,,2001 - 2002,0.87
,,2002 - 2003,0.69
,,2003 - 2004,1.2
,,2004 - 2005,0.9
,,2005 - 2006,1.17
,,2006 - 2007,0.99
,,2007 - 2008,0.98
,,2008 - 2009,1.12
,,2009 - 2010,1.57
,,2010 - 2011,1.19
,,2011 - 2012,0.85
,,2012 - 2013,1.81
,,2013 - 2014,1.58
,,2014 - 2015,1.29
,,2015 - 2016,1.52
,,2016 - 2017,1.41
,,2017 - 2018,2.54
,,2018 - 2019,2.31
,,2019 - 2020,1.16
,,2020 - 2021,1.1
,,2021 - 2022,1.48
,,2022 - 2023,1.21
,Surendranagar,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2013 - 2014,0.8
,,2014 - 2015,1.07
,,2015 - 2016,1.17
,,2016 - 2017,1.13
,,2017 - 2018,1.24
,,2018 - 2019,1.22
,,2019 - 2020,0.99
,,2020 - 2021,1.19
,,2021 - 2022,1.16
,,2022 - 2023,1.24
,Tapi,2008 - 2009,0.57
,,2009 - 2010,0.71
,,2010 - 2011,0.62
,,2011 - 2012,0.64
,,2012 - 2013,1.09
,,2013 - 2014,0.62
,,2014 - 2015,0.61
,,2015 - 2016,0.58
,,2016 - 2017,0.87
,,2017 - 2018,0.58
,,2018 - 2019,1.35
,,2019 - 2020,0.71
,,2020 - 2021,0.68
,,2021 - 2022,0.77
,,2022 - 2023,0.69
,Vadodara,2000 - 2001,0.36
,,2001 - 2002,0.51
,,2002 - 2003,0.75
,,2003 - 2004,0.68
,,2004 - 2005,0.96
,,2005 - 2006,0.95
,,2006 - 2007,0.84
,,2007 - 2008,1.13
,,2008 - 2009,1.1
,,2009 - 2010,1.04
,,2010 - 2011,1.06
,,2011 - 2012,1.18
,,2012 - 2013,1.26
,,2013 - 2014,1.19
,,2014 - 2015,0.97
,,2015 - 2016,1.37
,,2016 - 2017,1.15
,,2017 - 2018,1.23
,,2018 - 2019,1.3
,,2019 - 2020,1.19
,,2020 - 2021,1.24
,,2021 - 2022,1.23
,,2022 - 2023,1.34
,Valsad,2000 - 2001,0.33
,,2001 - 2002,0.62
,,2002 - 2003,0.52
,,2003 - 2004,0.87
,,2004 - 2005,0.93
,,2005 - 2006,1.0
,,2006 - 2007,0.83
,,2007 - 2008,0.57
,,2008 - 2009,0.5
,,2009 - 2010,0.6
,,2010 - 2011,0.72
,,2011 - 2012,0.64
,,2012 - 2013,0.68
,,2013 - 2014,0.54
,,2014 - 2015,0.5
,,2015 - 2016,1.05
,,2016 - 2017,0.76
,,2017 - 2018,1.24
,,2018 - 2019,0.49
,,2019 - 2020,0.61
,,2020 - 2021,0.68
,,2021 - 2022,0.69
,,2022 - 2023,0.74
Haryana,Ambala,2000 - 2001,1.17
,,2001 - 2002,1.36
,,2002 - 2003,1.46
,,2003 - 2004,0.0
,,2004 - 2005,2.33
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2018 - 2019,1.0
,,2021 - 2022,1.0
,Bhiwani,2000 - 2001,0.41
,,2001 - 2002,0.6
,,2002 - 2003,4.56
,,2003 - 2004,0.77
,,2004 - 2005,0.84
,,2005 - 2006,1.05
,,2007 - 2008,0.99
,,2008 - 2009,1.01
,,2009 - 2010,1.0
,,2010 - 2011,1.08
,,2011 - 2012,0.97
,,2012 - 2013,1.24
,,2013 - 2014,1.25
,,2014 - 2015,1.67
,,2015 - 2016,1.0
,,2016 - 2017,0.17
,,2017 - 2018,1.17
,,2018 - 2019,1.24
,,2019 - 2020,1.24
,,2020 - 2021,1.24
,,2021 - 2022,1.2
,Charki dadri,2014 - 2015,1.0
,,2017 - 2018,1.22
,,2018 - 2019,1.21
,,2019 - 2020,1.21
,,2020 - 2021,1.21
,,2021 - 2022,1.21
,Faridabad,2000 - 2001,0.76
,,2001 - 2002,0.8
,,2002 - 2003,0.77
,,2003 - 2004,1.22
,,2004 - 2005,0.81
,,2005 - 2006,0.74
,,2006 - 2007,0.73
,,2007 - 2008,0.88
,,2008 - 2009,0.95
,,2009 - 2010,1.0
,,2011 - 2012,0.86
,,2012 - 2013,1.16
,,2013 - 2014,1.5
,,2014 - 2015,0.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.1
,,2018 - 2019,1.2
,,2020 - 2021,1.21
,,2021 - 2022,1.21
,Fatehabad,2000 - 2001,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,2.44
,,2006 - 2007,0.0
,,2007 - 2008,1.05
,,2008 - 2009,0.0
,,2010 - 2011,1.12
,,2011 - 2012,0.0
,,2012 - 2013,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2021 - 2022,0.0
,Gurgaon,2000 - 2001,0.39
,,2001 - 2002,0.49
,,2002 - 2003,0.53
,,2003 - 2004,1.33
,,2004 - 2005,1.02
,,2005 - 2006,0.7
,,2006 - 2007,0.67
,,2007 - 2008,0.96
,,2008 - 2009,0.99
,,2009 - 2010,0.98
,,2010 - 2011,0.9
,,2011 - 2012,0.94
,,2012 - 2013,1.13
,,2013 - 2014,1.0
,,2014 - 2015,0.0
,,2015 - 2016,1.25
,,2017 - 2018,1.18
,,2018 - 2019,1.15
,,2019 - 2020,1.15
,,2020 - 2021,1.15
,Hisar,2000 - 2001,1.45
,,2001 - 2002,0.72
,,2002 - 2003,1.08
,,2003 - 2004,1.02
,,2004 - 2005,1.47
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,2.33
,,2008 - 2009,0.78
,,2009 - 2010,0.0
,,2010 - 2011,1.11
,,2011 - 2012,1.47
,,2012 - 2013,1.0
,,2015 - 2016,1.67
,,2016 - 2017,1.0
,,2017 - 2018,0.95
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Jhajjar,2000 - 2001,0.63
,,2001 - 2002,0.66
,,2002 - 2003,0.65
,,2003 - 2004,1.1
,,2004 - 2005,0.98
,,2005 - 2006,1.09
,,2006 - 2007,1.1
,,2007 - 2008,1.1
,,2008 - 2009,1.1
,,2009 - 2010,1.11
,,2010 - 2011,1.05
,,2011 - 2012,1.16
,,2012 - 2013,1.19
,,2013 - 2014,1.16
,,2014 - 2015,1.05
,,2015 - 2016,1.15
,,2017 - 2018,1.18
,,2018 - 2019,1.59
,,2019 - 2020,1.59
,,2020 - 2021,1.58
,,2021 - 2022,1.59
,Jind,2000 - 2001,2.44
,,2001 - 2002,1.0
,,2002 - 2003,1.03
,,2003 - 2004,0.99
,,2004 - 2005,1.01
,,2005 - 2006,0.88
,,2006 - 2007,0.88
,,2007 - 2008,1.12
,,2008 - 2009,1.12
,,2009 - 2010,1.02
,,2010 - 2011,1.1
,,2012 - 2013,0.98
,,2016 - 2017,1.0
,,2017 - 2018,1.1
,,2018 - 2019,1.0
,,2021 - 2022,1.0
,Kaithal,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,1.18
,,2003 - 2004,2.56
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,1.55
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2018 - 2019,1.0
,Karnal,2000 - 2001,1.06
,,2001 - 2002,0.98
,,2002 - 2003,0.93
,,2003 - 2004,1.45
,,2004 - 2005,1.22
,,2005 - 2006,0.85
,,2006 - 2007,1.06
,,2007 - 2008,1.16
,,2008 - 2009,1.23
,,2009 - 2010,1.08
,,2010 - 2011,0.68
,,2011 - 2012,0.68
,,2012 - 2013,0.95
,,2013 - 2014,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,Kurukshetra,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,1.25
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,1.79
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,1.0
,,2020 - 2021,1.0
,Mahendragarh,2000 - 2001,1.06
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2005 - 2006,0.81
,,2006 - 2007,0.76
,,2007 - 2008,0.75
,,2008 - 2009,0.64
,,2009 - 2010,1.28
,,2010 - 2011,1.14
,,2011 - 2012,1.08
,,2012 - 2013,0.99
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2021 - 2022,1.0
,Mewat,2005 - 2006,1.0
,,2006 - 2007,4.1
,,2007 - 2008,0.99
,,2008 - 2009,0.99
,,2009 - 2010,0.0
,,2011 - 2012,1.03
,,2012 - 2013,0.99
,,2013 - 2014,1.0
,,2014 - 2015,1.5
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.11
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Palwal,2008 - 2009,1.01
,,2009 - 2010,1.04
,,2010 - 2011,1.12
,,2011 - 2012,1.01
,,2012 - 2013,0.99
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.05
,,2018 - 2019,0.92
,,2019 - 2020,0.92
,,2020 - 2021,0.92
,,2021 - 2022,0.93
,Panchkula,2000 - 2001,0.94
,,2001 - 2002,0.78
,,2002 - 2003,1.96
,,2003 - 2004,1.64
,,2004 - 2005,0.0
,,2005 - 2006,1.49
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,1.61
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.59
,,2017 - 2018,1.0
,,2018 - 2019,1.19
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.17
,Panipat,2000 - 2001,1.08
,,2001 - 2002,1.14
,,2002 - 2003,1.12
,,2003 - 2004,1.05
,,2004 - 2005,1.06
,,2005 - 2006,0.89
,,2006 - 2007,0.95
,,2007 - 2008,1.41
,,2008 - 2009,1.22
,,2009 - 2010,1.12
,,2010 - 2011,1.11
,,2011 - 2012,0.85
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2015 - 2016,1.0
,,2017 - 2018,1.25
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Rewari,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,1.85
,,2004 - 2005,0.82
,,2005 - 2006,1.2
,,2006 - 2007,1.23
,,2007 - 2008,1.12
,,2008 - 2009,0.58
,,2009 - 2010,1.41
,,2010 - 2011,0.86
,,2011 - 2012,1.06
,,2012 - 2013,0.97
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2016 - 2017,0.5
,,2017 - 2018,1.17
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Rohtak,2000 - 2001,0.64
,,2001 - 2002,0.69
,,2002 - 2003,0.06
,,2003 - 2004,1.27
,,2004 - 2005,1.1
,,2005 - 2006,0.42
,,2006 - 2007,1.1
,,2007 - 2008,1.09
,,2008 - 2009,1.1
,,2009 - 2010,1.14
,,2010 - 2011,1.15
,,2011 - 2012,1.16
,,2012 - 2013,1.03
,,2013 - 2014,1.08
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.13
,,2017 - 2018,1.28
,,2018 - 2019,1.08
,,2019 - 2020,1.08
,,2020 - 2021,1.08
,,2021 - 2022,1.08
,Sirsa,2001 - 2002,1.11
,,2002 - 2003,0.0
,,2003 - 2004,0.82
,,2004 - 2005,1.32
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,2.17
,,2011 - 2012,0.0
,,2012 - 2013,1.0
,,2016 - 2017,1.0
