state,district,year,arhar_tur_kharif_yield_tonne_per_hectare
,,2019 - 2020,0.48
,,2020 - 2021,0.76
,,2021 - 2022,1.07
,,2022 - 2023,0.4
,Kurnool,2000 - 2001,0.45
,,2001 - 2002,0.38
,,2002 - 2003,0.42
,,2003 - 2004,0.41
,,2004 - 2005,0.44
,,2005 - 2006,0.73
,,2006 - 2007,0.3
,,2007 - 2008,0.65
,,2008 - 2009,0.35
,,2009 - 2010,0.51
,,2010 - 2011,0.43
,,2011 - 2012,0.26
,,2012 - 2013,0.5
,,2013 - 2014,0.42
,,2014 - 2015,0.43
,,2015 - 2016,0.35
,,2016 - 2017,0.35
,,2017 - 2018,0.44
,,2018 - 2019,0.17
,,2019 - 2020,0.6
,,2020 - 2021,0.5
,,2021 - 2022,0.3
,,2022 - 2023,0.61
,Nandyal,2022 - 2023,0.43
,Ntr,2022 - 2023,1.12
,Palnadu,2022 - 2023,1.02
,Parvathipuram manyam,2022 - 2023,0.46
,Prakasam,2000 - 2001,0.63
,,2001 - 2002,0.48
,,2002 - 2003,0.22
,,2003 - 2004,0.35
,,2004 - 2005,0.57
,,2005 - 2006,0.52
,,2006 - 2007,0.27
,,2007 - 2008,0.78
,,2008 - 2009,0.29
,,2009 - 2010,0.5
,,2010 - 2011,0.34
,,2011 - 2012,0.33
,,2012 - 2013,0.67
,,2013 - 2014,0.91
,,2014 - 2015,0.72
,,2015 - 2016,0.86
,,2016 - 2017,0.44
,,2017 - 2018,0.39
,,2018 - 2019,0.13
,,2019 - 2020,0.5
,,2020 - 2021,0.37
,,2021 - 2022,0.25
,,2022 - 2023,0.15
,Spsr nellore,2000 - 2001,0.55
,,2001 - 2002,0.58
,,2002 - 2003,0.35
,,2003 - 2004,0.42
,,2004 - 2005,0.66
,,2005 - 2006,0.61
,,2006 - 2007,0.48
,,2007 - 2008,1.0
,,2008 - 2009,0.48
,,2009 - 2010,0.66
,,2010 - 2011,0.51
,,2011 - 2012,0.53
,,2012 - 2013,1.0
,,2013 - 2014,0.96
,,2014 - 2015,0.84
,,2015 - 2016,1.0
,,2016 - 2017,0.6
,,2017 - 2018,0.63
,,2018 - 2019,0.52
,,2019 - 2020,0.62
,,2020 - 2021,0.22
,,2021 - 2022,0.26
,,2022 - 2023,0.26
,Sri sathya sai,2022 - 2023,0.09
,Srikakulam,2000 - 2001,0.55
,,2001 - 2002,0.58
,,2002 - 2003,0.35
,,2003 - 2004,0.42
,,2004 - 2005,0.66
,,2005 - 2006,0.61
,,2006 - 2007,0.48
,,2007 - 2008,0.5
,,2008 - 2009,0.48
,,2009 - 2010,0.66
,,2010 - 2011,0.51
,,2011 - 2012,0.53
,,2012 - 2013,1.0
,,2013 - 2014,0.96
,,2014 - 2015,0.83
,,2015 - 2016,0.23
,,2016 - 2017,0.47
,,2017 - 2018,0.56
,,2018 - 2019,0.27
,,2019 - 2020,0.4
,,2020 - 2021,0.44
,,2021 - 2022,0.46
,,2022 - 2023,0.36
,Tirupati,2022 - 2023,0.31
,Visakhapatanam,2000 - 2001,0.33
,,2001 - 2002,0.31
,,2002 - 2003,0.34
,,2003 - 2004,0.51
,,2004 - 2005,0.47
,,2005 - 2006,0.29
,,2006 - 2007,0.37
,,2007 - 2008,0.67
,,2008 - 2009,0.3
,,2009 - 2010,0.54
,,2010 - 2011,0.38
,,2011 - 2012,0.4
,,2012 - 2013,0.5
,,2013 - 2014,0.34
,,2014 - 2015,0.19
,,2015 - 2016,0.26
,,2016 - 2017,0.48
,,2017 - 2018,0.48
,,2018 - 2019,0.37
,,2019 - 2020,0.42
,,2020 - 2021,0.36
,,2021 - 2022,0.37
,,2022 - 2023,0.36
,Vizianagaram,2000 - 2001,0.55
,,2001 - 2002,0.58
,,2002 - 2003,0.35
,,2003 - 2004,0.42
,,2004 - 2005,0.66
,,2005 - 2006,0.61
,,2006 - 2007,0.48
,,2007 - 2008,0.5
,,2008 - 2009,0.48
,,2009 - 2010,0.66
,,2010 - 2011,0.51
,,2011 - 2012,0.53
,,2012 - 2013,0.5
,,2013 - 2014,0.96
,,2014 - 2015,0.83
,,2015 - 2016,0.71
,,2016 - 2017,0.78
,,2017 - 2018,0.71
,,2018 - 2019,0.28
,,2019 - 2020,0.44
,,2020 - 2021,0.46
,,2021 - 2022,0.5
,,2022 - 2023,0.33
,West godavari,2000 - 2001,0.56
,,2001 - 2002,0.58
,,2002 - 2003,0.35
,,2003 - 2004,0.42
,,2004 - 2005,0.66
,,2005 - 2006,0.6
,,2006 - 2007,0.48
,,2008 - 2009,0.48
,,2009 - 2010,0.66
,,2010 - 2011,0.51
,,2011 - 2012,0.53
,,2013 - 2014,0.96
,,2014 - 2015,0.83
,,2015 - 2016,0.9
,,2016 - 2017,0.58
,,2017 - 2018,0.57
,,2018 - 2019,0.24
,,2019 - 2020,0.53
,,2020 - 2021,0.43
,,2021 - 2022,0.41
Arunachal Pradesh,Dibang valley,2016 - 2017,0.58
,,2017 - 2018,0.63
,,2018 - 2019,0.63
,,2019 - 2020,0.63
,,2020 - 2021,0.63
,,2021 - 2022,0.67
,,2022 - 2023,0.67
,East kameng,2016 - 2017,0.92
,,2017 - 2018,0.95
,,2018 - 2019,0.95
,,2019 - 2020,0.95
,,2020 - 2021,0.95
,,2021 - 2022,0.95
,,2022 - 2023,0.95
,East siang,2016 - 2017,0.94
,,2017 - 2018,0.88
,,2018 - 2019,0.88
,,2019 - 2020,0.88
,,2020 - 2021,0.88
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Kamle,2018 - 2019,0.8
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,0.93
,,2022 - 2023,0.93
,Leparada,2019 - 2020,1.1
,,2020 - 2021,1.1
,,2021 - 2022,1.17
,,2022 - 2023,1.15
,Lohit,2016 - 2017,0.54
,,2017 - 2018,0.93
,,2018 - 2019,0.93
,,2019 - 2020,0.88
,,2020 - 2021,0.88
,,2021 - 2022,0.84
,,2022 - 2023,0.85
,Longding,2016 - 2017,0.32
,,2017 - 2018,0.33
,,2018 - 2019,0.33
,,2019 - 2020,0.33
,,2020 - 2021,0.33
,,2021 - 2022,0.33
,,2022 - 2023,0.4
,Lower dibang valley,2016 - 2017,0.9
