state,district,year,black_pepper_whole_year_yield_tonne_per_hectare
,,2022 - 2023,0.44
,Kannur,2000 - 2001,0.21
,,2001 - 2002,0.19
,,2002 - 2003,0.19
,,2003 - 2004,0.18
,,2004 - 2005,0.21
,,2005 - 2006,0.24
,,2006 - 2007,0.21
,,2007 - 2008,0.15
,,2008 - 2009,0.2
,,2009 - 2010,0.26
,,2010 - 2011,0.18
,,2011 - 2012,0.39
,,2012 - 2013,0.47
,,2013 - 2014,0.39
,,2014 - 2015,0.46
,,2015 - 2016,0.36
,,2016 - 2017,0.56
,,2017 - 2018,0.34
,,2018 - 2019,0.33
,,2019 - 2020,0.45
,,2020 - 2021,0.39
,,2021 - 2022,0.33
,,2022 - 2023,0.28
,Kasaragod,2000 - 2001,0.2
,,2001 - 2002,0.21
,,2002 - 2003,0.3
,,2003 - 2004,0.29
,,2004 - 2005,0.29
,,2005 - 2006,0.29
,,2006 - 2007,0.29
,,2007 - 2008,0.24
,,2008 - 2009,0.26
,,2009 - 2010,0.23
,,2010 - 2011,0.37
,,2011 - 2012,0.8
,,2012 - 2013,0.59
,,2013 - 2014,0.62
,,2014 - 2015,0.67
,,2015 - 2016,0.43
,,2016 - 2017,0.6
,,2017 - 2018,0.54
,,2018 - 2019,0.45
,,2019 - 2020,0.51
,,2020 - 2021,0.51
,,2021 - 2022,0.53
,,2022 - 2023,0.42
,Kollam,2000 - 2001,0.36
,,2001 - 2002,0.38
,,2002 - 2003,0.3
,,2003 - 2004,0.29
,,2004 - 2005,0.28
,,2005 - 2006,0.34
,,2006 - 2007,0.29
,,2007 - 2008,0.22
,,2008 - 2009,0.19
,,2009 - 2010,0.18
,,2010 - 2011,0.17
,,2011 - 2012,0.36
,,2012 - 2013,0.4
,,2013 - 2014,0.39
,,2014 - 2015,0.37
,,2015 - 2016,0.33
,,2016 - 2017,0.28
,,2017 - 2018,0.29
,,2018 - 2019,0.3
,,2019 - 2020,0.3
,,2020 - 2021,0.3
,,2021 - 2022,0.25
,,2022 - 2023,0.27
,Kottayam,2000 - 2001,0.13
,,2001 - 2002,0.15
,,2002 - 2003,0.16
,,2003 - 2004,0.2
,,2004 - 2005,0.21
,,2005 - 2006,0.18
,,2006 - 2007,0.17
,,2007 - 2008,0.16
,,2008 - 2009,0.14
,,2009 - 2010,0.14
,,2010 - 2011,0.13
,,2011 - 2012,0.34
,,2012 - 2013,0.37
,,2013 - 2014,0.38
,,2014 - 2015,0.34
,,2015 - 2016,0.36
,,2016 - 2017,0.31
,,2017 - 2018,0.4
,,2018 - 2019,0.4
,,2019 - 2020,0.33
,,2020 - 2021,0.35
,,2021 - 2022,0.31
,,2022 - 2023,0.26
,Kozhikode,2000 - 2001,0.19
,,2001 - 2002,0.21
,,2002 - 2003,0.14
,,2003 - 2004,0.14
,,2004 - 2005,0.14
,,2005 - 2006,0.13
,,2006 - 2007,0.12
,,2007 - 2008,0.09
,,2008 - 2009,0.1
,,2009 - 2010,0.13
,,2010 - 2011,0.11
,,2011 - 2012,0.18
,,2012 - 2013,0.33
,,2013 - 2014,0.25
,,2014 - 2015,0.31
,,2015 - 2016,0.27
,,2016 - 2017,0.28
,,2017 - 2018,0.17
,,2018 - 2019,0.27
,,2019 - 2020,0.26
,,2020 - 2021,0.25
,,2021 - 2022,0.22
,,2022 - 2023,0.24
,Malappuram,2000 - 2001,0.13
,,2001 - 2002,0.07
,,2002 - 2003,0.1
,,2003 - 2004,0.1
,,2004 - 2005,0.1
,,2005 - 2006,0.13
,,2006 - 2007,0.12
,,2007 - 2008,0.13
,,2008 - 2009,0.1
,,2009 - 2010,0.09
,,2010 - 2011,0.08
,,2011 - 2012,0.2
,,2012 - 2013,0.22
,,2013 - 2014,0.23
,,2014 - 2015,0.22
,,2015 - 2016,0.16
,,2016 - 2017,0.22
,,2017 - 2018,0.19
,,2018 - 2019,0.2
,,2019 - 2020,0.21
,,2020 - 2021,0.24
,,2021 - 2022,0.25
,,2022 - 2023,0.21
,Palakkad,2000 - 2001,0.12
,,2001 - 2002,0.14
,,2002 - 2003,0.14
,,2003 - 2004,0.14
,,2004 - 2005,0.14
,,2005 - 2006,0.15
,,2006 - 2007,0.17
,,2007 - 2008,0.14
,,2008 - 2009,0.15
,,2009 - 2010,0.19
,,2010 - 2011,0.17
,,2011 - 2012,0.34
,,2012 - 2013,0.34
,,2013 - 2014,0.4
,,2014 - 2015,0.36
,,2015 - 2016,0.38
,,2016 - 2017,0.4
,,2017 - 2018,0.39
,,2018 - 2019,0.41
,,2019 - 2020,0.37
,,2020 - 2021,0.42
,,2021 - 2022,0.43
,,2022 - 2023,0.39
,Pathanamthitta,2000 - 2001,0.24
,,2001 - 2002,0.26
,,2002 - 2003,0.24
,,2003 - 2004,0.26
,,2004 - 2005,0.24
,,2005 - 2006,0.26
,,2006 - 2007,0.29
,,2007 - 2008,0.3
,,2008 - 2009,0.27
,,2009 - 2010,0.24
,,2010 - 2011,0.23
,,2011 - 2012,0.5
,,2012 - 2013,0.45
,,2013 - 2014,0.45
,,2014 - 2015,0.42
,,2015 - 2016,0.35
,,2016 - 2017,0.32
,,2017 - 2018,0.37
,,2018 - 2019,0.32
,,2019 - 2020,0.32
,,2020 - 2021,0.32
,,2021 - 2022,0.32
,,2022 - 2023,0.31
,Thiruvananthapuram,2000 - 2001,0.3
,,2001 - 2002,0.26
,,2002 - 2003,0.27
,,2003 - 2004,0.25
,,2004 - 2005,0.28
,,2005 - 2006,0.24
,,2006 - 2007,0.23
,,2007 - 2008,0.26
,,2008 - 2009,0.21
,,2009 - 2010,0.21
,,2010 - 2011,0.2
,,2011 - 2012,0.42
,,2012 - 2013,0.36
,,2013 - 2014,0.36
,,2014 - 2015,0.38
,,2015 - 2016,0.42
,,2016 - 2017,0.39
,,2017 - 2018,0.35
,,2018 - 2019,0.33
,,2019 - 2020,0.31
,,2020 - 2021,0.32
,,2021 - 2022,0.29
,,2022 - 2023,0.32
,Thrissur,2000 - 2001,0.13
,,2001 - 2002,0.14
,,2002 - 2003,0.17
,,2003 - 2004,0.21
,,2004 - 2005,0.19
,,2005 - 2006,0.21
,,2006 - 2007,0.18
,,2007 - 2008,0.17
,,2008 - 2009,0.17
,,2009 - 2010,0.18
,,2010 - 2011,0.15
,,2011 - 2012,0.36
,,2012 - 2013,0.31
,,2013 - 2014,0.28
,,2014 - 2015,0.28
,,2015 - 2016,0.27
,,2016 - 2017,0.25
,,2017 - 2018,0.31
,,2018 - 2019,0.29
,,2019 - 2020,0.27
,,2020 - 2021,0.28
,,2021 - 2022,0.27
,,2022 - 2023,0.28
,Wayanad,2000 - 2001,0.4
,,2001 - 2002,0.33
,,2002 - 2003,0.3
,,2003 - 2004,0.29
,,2004 - 2005,0.33
,,2005 - 2006,0.28
,,2006 - 2007,0.27
,,2007 - 2008,0.16
,,2008 - 2009,0.22
,,2009 - 2010,0.27
,,2010 - 2011,0.15
,,2011 - 2012,0.32
,,2012 - 2013,0.41
,,2013 - 2014,0.29
,,2014 - 2015,0.48
,,2015 - 2016,0.53
,,2016 - 2017,0.39
,,2017 - 2018,0.32
,,2018 - 2019,0.31
,,2019 - 2020,0.36
,,2020 - 2021,0.44
,,2021 - 2022,0.4
,,2022 - 2023,0.36
Meghalaya,East garo hills,2004 - 2005,1.66
,,2008 - 2009,
,,2009 - 2010,0.28
,,2010 - 2011,0.37
,,2011 - 2012,0.38
,,2012 - 2013,0.49
,,2013 - 2014,0.48
,,2014 - 2015,0.49
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,East jaintia hills,2004 - 2005,0.76
,,2008 - 2009,
,,2009 - 2010,0.46
,,2010 - 2011,0.47
,,2011 - 2012,0.51
,,2012 - 2013,0.68
,,2013 - 2014,0.69
,,2014 - 2015,0.7
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,East khasi hills,2004 - 2005,0.65
,,2008 - 2009,
,,2009 - 2010,0.63
,,2010 - 2011,0.62
,,2011 - 2012,0.65
,,2012 - 2013,0.84
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,North garo hills,2013 - 2014,0.52
,,2014 - 2015,0.56
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Ri bhoi,2004 - 2005,0.6
,,2008 - 2009,
,,2009 - 2010,0.6
,,2010 - 2011,0.59
,,2011 - 2012,0.59
,,2012 - 2013,0.77
,,2013 - 2014,0.78
,,2014 - 2015,0.78
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,South garo hills,2004 - 2005,0.81
,,2008 - 2009,
,,2009 - 2010,0.48
,,2010 - 2011,0.49
,,2011 - 2012,0.5
,,2012 - 2013,0.65
,,2013 - 2014,0.65
,,2014 - 2015,0.66
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,South west garo hills,2013 - 2014,0.57
,,2014 - 2015,0.58
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,South west khasi hills,2013 - 2014,0.86
,,2014 - 2015,0.87
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,West garo hills,2004 - 2005,0.46
,,2008 - 2009,
,,2009 - 2010,0.44
,,2010 - 2011,0.45
,,2011 - 2012,0.47
,,2012 - 2013,0.6
,,2013 - 2014,0.61
,,2014 - 2015,0.63
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,West jaintia hills,2013 - 2014,0.67
,,2014 - 2015,0.86
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,West khasi hills,2004 - 2005,0.66
,,2008 - 2009,
,,2009 - 2010,0.65
,,2010 - 2011,0.65
,,2011 - 2012,0.66
,,2012 - 2013,0.85
,,2013 - 2014,0.82
,,2014 - 2015,0.83
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
Puducherry,Mahe,2000 - 2001,0.58
,,2001 - 2002,0.92
,,2002 - 2003,0.67
,,2003 - 2004,0.67
,,2004 - 2005,0.58
,,2005 - 2006,0.58
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Tamil Nadu,Coimbatore,2003 - 2004,0.2
,,2005 - 2006,0.2
,,2006 - 2007,0.19
,,2007 - 2008,0.19
,,2008 - 2009,0.2
,,2009 - 2010,0.21
,,2011 - 2012,0.21
,,2013 - 2014,0.2
,,2014 - 2015,0.21
,,2015 - 2016,0.21
,,2016 - 2017,0.21
,,2017 - 2018,0.21
,,2018 - 2019,0.21
,,2019 - 2020,0.21
,,2020 - 2021,0.22
,,2021 - 2022,0.21
,,2022 - 2023,0.21
,Cuddalore,2016 - 2017,0.0
,,2020 - 2021,0.0
,,2021 - 2022,0.33
,,2022 - 2023,0.25
,Dharmapuri,2007 - 2008,0.0
,,2009 - 2010,0.0
,,2011 - 2012,0.2
,,2015 - 2016,0.17
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2018 - 2019,0.0
,,2019 - 2020,0.16
,,2020 - 2021,0.22
,,2021 - 2022,0.18
,,2022 - 2023,0.19
,Dindigul,2000 - 2001,0.36
,,2003 - 2004,0.36
,,2005 - 2006,0.36
,,2006 - 2007,0.36
,,2007 - 2008,0.36
,,2008 - 2009,0.36
,,2009 - 2010,0.36
,,2011 - 2012,0.36
,,2013 - 2014,0.36
,,2014 - 2015,0.36
,,2015 - 2016,0.36
,,2016 - 2017,0.36
,,2017 - 2018,0.36
,,2018 - 2019,0.36
,,2019 - 2020,0.36
,,2020 - 2021,0.22
,,2021 - 2022,0.33
,,2022 - 2023,0.33
,Erode,2000 - 2001,0.0
,,2003 - 2004,0.0
,,2005 - 2006,0.33
,,2006 - 2007,0.33
,,2007 - 2008,0.0
,,2008 - 2009,0.17
,,2009 - 2010,0.0
,,2011 - 2012,0.29
,,2013 - 2014,0.33
,,2014 - 2015,0.33
,,2015 - 2016,0.0
,,2016 - 2017,0.0
,,2017 - 2018,0.25
,,2018 - 2019,0.0
,,2019 - 2020,0.2
,,2020 - 2021,0.2
,,2021 - 2022,0.23
,,2022 - 2023,0.22
,Kallakurichi,2020 - 2021,0.21
,,2021 - 2022,0.2
,,2022 - 2023,0.21
,Kanniyakumari,2003 - 2004,0.15
,,2005 - 2006,0.16
,,2006 - 2007,0.15
,,2007 - 2008,0.16
,,2008 - 2009,0.15
,,2009 - 2010,0.15
,,2011 - 2012,0.15
,,2013 - 2014,0.15
,,2014 - 2015,0.15
,,2015 - 2016,0.15
,,2016 - 2017,0.15
,,2017 - 2018,0.15
,,2018 - 2019,0.15
,,2019 - 2020,0.15
,,2020 - 2021,0.22
,,2021 - 2022,0.17
,,2022 - 2023,0.17
,Krishnagiri,2003 - 2004,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.17
,,2007 - 2008,0.2
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2011 - 2012,0.0
,,2019 - 2020,0.0
,,2020 - 2021,0.0
,,2021 - 2022,0.0
,Mayiladuthurai,2020 - 2021,0.0
,,2021 - 2022,0.0
,Namakkal,2000 - 2001,0.18
,,2003 - 2004,0.18
,,2005 - 2006,0.19
,,2006 - 2007,0.18
,,2007 - 2008,0.18
,,2008 - 2009,0.19
,,2009 - 2010,0.18
,,2011 - 2012,0.18
,,2013 - 2014,0.18
,,2014 - 2015,0.18
,,2015 - 2016,0.18
,,2016 - 2017,0.18
,,2017 - 2018,0.18
,,2018 - 2019,0.18
,,2019 - 2020,0.18
,,2020 - 2021,0.22
,,2021 - 2022,0.19
,,2022 - 2023,0.19
,Pudukkottai,2003 - 2004,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2016 - 2017,0.33
,,2017 - 2018,0.18
,,2018 - 2019,0.2
,,2019 - 2020,0.29
,,2020 - 2021,0.17
,,2021 - 2022,0.22
,,2022 - 2023,0.17
,Salem,2000 - 2001,0.17
,,2003 - 2004,0.16
,,2005 - 2006,0.2
,,2006 - 2007,0.2
,,2007 - 2008,0.18
,,2008 - 2009,0.19
,,2009 - 2010,0.18
,,2011 - 2012,0.18
,,2013 - 2014,0.18
,,2014 - 2015,0.18
,,2015 - 2016,0.18
,,2016 - 2017,0.18
,,2017 - 2018,0.18
,,2018 - 2019,0.18
,,2019 - 2020,0.18
,,2020 - 2021,0.22
,,2021 - 2022,0.19
,,2022 - 2023,0.19
,Thanjavur,2003 - 2004,0.0
,,2005 - 2006,0.17
,,2006 - 2007,0.18
,,2007 - 2008,0.25
,,2008 - 2009,0.25
,,2009 - 2010,0.25
,,2011 - 2012,0.18
,,2013 - 2014,0.13
,,2014 - 2015,0.14
,,2015 - 2016,0.19
,,2016 - 2017,0.17
,,2017 - 2018,0.2
,,2018 - 2019,0.18
,,2019 - 2020,0.17
,,2020 - 2021,0.25
,,2021 - 2022,0.18
,,2022 - 2023,0.25
,The nilgiris,2000 - 2001,0.19
,,2003 - 2004,0.19
,,2005 - 2006,0.19
,,2006 - 2007,0.19
,,2007 - 2008,0.19
,,2008 - 2009,0.19
,,2009 - 2010,0.18
,,2011 - 2012,0.17
,,2013 - 2014,0.18
,,2014 - 2015,0.17
,,2015 - 2016,0.17
,,2016 - 2017,0.18
,,2017 - 2018,0.18
,,2018 - 2019,0.18
,,2019 - 2020,0.18
,,2020 - 2021,0.22
,,2021 - 2022,0.18
,,2022 - 2023,0.19
,Theni,2000 - 2001,0.25
,,2003 - 2004,0.25
,,2005 - 2006,0.25
,,2006 - 2007,0.27
,,2007 - 2008,0.27
,,2008 - 2009,0.26
,,2009 - 2010,0.29
,,2011 - 2012,0.32
,,2013 - 2014,0.3
,,2014 - 2015,0.31
,,2015 - 2016,0.3
,,2016 - 2017,0.3
,,2017 - 2018,0.31
,,2018 - 2019,0.31
,,2019 - 2020,0.3
,,2020 - 2021,0.22
,,2021 - 2022,0.29
,,2022 - 2023,0.28
,Thenkasi,2020 - 2021,0.22
,,2021 - 2022,0.22
,,2022 - 2023,0.23
,Thiruvarur,2019 - 2020,0.0
,,2020 - 2021,0.0
,,2021 - 2022,0.0
,Tiruchirappalli,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2011 - 2012,0.0
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2018 - 2019,0.0
,,2019 - 2020,0.14
,,2020 - 2021,0.25
,,2021 - 2022,0.2
,,2022 - 2023,0.21
,Tirunelveli,2000 - 2001,0.14
,,2003 - 2004,0.21
,,2005 - 2006,0.2
,,2006 - 2007,0.21
,,2007 - 2008,0.2
,,2008 - 2009,0.21
,,2009 - 2010,0.2
,,2011 - 2012,0.2
,,2013 - 2014,0.2
,,2014 - 2015,0.21
,,2015 - 2016,0.21
,,2016 - 2017,0.21
,,2017 - 2018,0.21
,,2018 - 2019,0.21
,,2019 - 2020,0.21
,Tirupathur,2022 - 2023,0.25
,Tiruppur,2008 - 2009,0.0
,,2011 - 2012,0.0
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.13
,,2016 - 2017,0.14
,,2017 - 2018,0.0
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,,2020 - 2021,0.0
,,2021 - 2022,0.0
,Tiruvannamalai,2017 - 2018,0.0
,,2018 - 2019,0.23
,,2019 - 2020,0.23
,,2020 - 2021,0.22
,,2021 - 2022,0.25
,,2022 - 2023,0.22
,Vellore,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2021 - 2022,0.14
,Villupuram,2016 - 2017,0.0
,,2017 - 2018,0.2
,,2018 - 2019,0.17
,,2019 - 2020,0.2
,,2020 - 2021,0.17
,,2021 - 2022,0.0
