state,district,year,black_pepper_whole_year_yield_tonne_per_hectare
,,2017 - 2018,2.18
,,2018 - 2019,1.67
,,2019 - 2020,1.74
,,2020 - 2021,1.75
,,2021 - 2022,1.75
,,2022 - 2023,2.03
,Dhubri,2007 - 2008,2.0
,,2009 - 2010,1.33
,,2010 - 2011,2.0
,,2011 - 2012,2.0
,,2012 - 2013,2.0
,,2013 - 2014,2.0
,,2014 - 2015,2.0
,,2015 - 2016,2.0
,,2016 - 2017,2.57
,,2017 - 2018,2.8
,,2018 - 2019,3.0
,,2019 - 2020,3.0
,,2020 - 2021,3.0
,,2021 - 2022,3.0
,,2022 - 2023,3.11
,Dibrugarh,2007 - 2008,1.69
,,2008 - 2009,1.98
,,2009 - 2010,1.85
,,2010 - 2011,1.83
,,2011 - 2012,1.83
,,2012 - 2013,1.85
,,2013 - 2014,1.85
,,2014 - 2015,1.86
,,2015 - 2016,1.86
,,2016 - 2017,2.68
,,2017 - 2018,2.72
,,2018 - 2019,2.75
,,2019 - 2020,2.78
,,2020 - 2021,2.78
,,2021 - 2022,2.79
,,2022 - 2023,2.89
,Dima hasao,2007 - 2008,1.14
,,2008 - 2009,1.66
,,2009 - 2010,1.39
,,2010 - 2011,1.39
,,2011 - 2012,1.42
,,2012 - 2013,1.52
,,2013 - 2014,1.52
,,2014 - 2015,1.55
,,2015 - 2016,1.63
,,2016 - 2017,1.5
,,2017 - 2018,1.54
,,2018 - 2019,1.57
,,2019 - 2020,1.98
,,2020 - 2021,2.0
,,2021 - 2022,2.27
,,2022 - 2023,2.51
,Goalpara,2007 - 2008,1.23
,,2008 - 2009,2.28
,,2009 - 2010,1.76
,,2010 - 2011,1.77
,,2011 - 2012,1.77
,,2012 - 2013,1.85
,,2013 - 2014,1.85
,,2014 - 2015,1.86
,,2015 - 2016,1.88
,,2016 - 2017,1.91
,,2017 - 2018,1.93
,,2018 - 2019,1.95
,,2019 - 2020,2.44
,,2020 - 2021,2.44
,,2021 - 2022,2.44
,,2022 - 2023,2.51
,Golaghat,2007 - 2008,1.14
,,2008 - 2009,1.14
,,2009 - 2010,1.1
,,2010 - 2011,1.15
,,2011 - 2012,1.34
,,2012 - 2013,1.44
,,2013 - 2014,1.44
,,2014 - 2015,2.41
,,2015 - 2016,2.41
,,2016 - 2017,2.86
,,2017 - 2018,2.44
,,2018 - 2019,2.44
,,2019 - 2020,2.45
,,2020 - 2021,2.45
,,2021 - 2022,2.45
,,2022 - 2023,2.49
,Hailakandi,2007 - 2008,1.93
,,2008 - 2009,1.95
,,2009 - 2010,1.92
,,2010 - 2011,1.93
,,2011 - 2012,1.95
,,2012 - 2013,1.97
,,2013 - 2014,1.97
,,2014 - 2015,1.97
,,2015 - 2016,1.97
,,2016 - 2017,2.21
,,2017 - 2018,2.44
,,2018 - 2019,2.46
,,2019 - 2020,2.57
,,2020 - 2021,2.58
,,2021 - 2022,2.57
,,2022 - 2023,2.89
,Hojai,2020 - 2021,2.04
