,tp_kharif_mean,tp_kharif_std,e_kharif_mean,e_kharif_std,swvl1_kharif_mean,soil_air_diff_kharif_mean,soil_air_diff_kharif_std,runoff_ratio_kharif_mean,e_rabi_mean,e_rabi_std,swvl1_rabi_mean,swvl1_rabi_std,soil_air_diff_rabi_mean,soil_air_diff_rabi_std,runoff_ratio_rabi_mean,tp_zaid_mean,e_zaid_mean,e_zaid_std,swvl1_zaid_std,soil_air_diff_zaid_mean,runoff_ratio_zaid_mean,tp_kharif_fraction,t2m_amplitude,t2m_peak_sin,t2m_peak_cos,GDD_kharif,GDD_rabi,heat_months_30C,heat_months_35C,humidity_variability,swvl1_amplitude,swvl1_stability,soil_moisture_seasonality,cvh,water_retention_index,humidity_stress_index
tp_kharif_mean,1.0,0.6734704829374876,-0.11029466190131101,-0.46857898729834796,0.682618692973245,-0.7222057044967151,-0.38097128364279376,0.8189563915928995,-0.23182617631622573,0.18661026932737157,0.5409888194823256,0.2579683804727729,-0.4879501756800971,-0.108027576268679,0.2230245020614638,0.6728274956905765,-0.3509536703968442,0.35963728430770875,0.3528737784710931,-0.558244832883796,0.3646990101995873,0.029252405563729492,-0.27312382695699433,-0.4680550290114908,0.46124945013350593,-0.37575994469609597,-0.2215895300522406,-0.5925490535634402,-0.10621843974354503,-0.42302628998771025,-0.0027936467445815777,-0.25693339569774665,0.3797528063597875,0.6422928909346274,0.2883085688572498,0.013350365712707781
tp_kharif_std,0.6734704829374876,1.0,0.027900413556270494,0.005247078976745885,0.39998929898718755,-0.37696228487228567,0.009022485541779375,0.5373550469399381,0.09585554590749766,0.11560275869060258,0.2227717334603717,-0.2011266390525232,-0.2894525237056335,-0.0968411501990095,0.11409604266701802,0.2707656607761554,-0.07985731286107274,0.10216740407314723,0.0777795250872068,-0.4431614908822735,0.38494262582340394,0.3403039062475452,0.12807050546886523,-0.2588374553173255,0.06166954095738837,-0.2410232061174652,-0.3120655043546431,-0.23379538665993105,-0.012248863964418846,0.0629011548174141,0.12577590007670103,-0.15232062473010094,0.3517335505424187,0.3411486437279639,0.030775590902488534,-0.18176458534497592
e_kharif_mean,-0.11029466190131101,0.027900413556270494,1.0,0.3005897346646721,-0.20968333400283465,0.2436540731317989,0.3528381338395377,0.07243182998343153,0.43641099402692024,-0.4480707263241079,-0.029329341347929357,-0.3124865874739459,0.2619435033939911,0.26287439845469357,-0.31678989177477573,0.037655981971966165,0.7652216345918247,-0.3615766334932559,-0.31893884068226525,0.2944473439208101,0.10103702770325933,-0.10681373812202198,-0.02808290131338061,0.05984345193539521,0.19846440762014295,-0.32282475316243253,-0.05639444972461791,0.06588277194685156,0.23041069359534813,0.1120869093451286,-0.28739782928318064,-0.09279954255464937,-0.3043084722774712,0.05909604670589152,0.04515399299873979,0.1046164049026646
e_kharif_std,-0.46857898729834796,0.005247078976745885,0.3005897346646721,1.0,-0.41510970111727546,0.5468504972827049,0.6614452578318587,-0.45862332030392183,0.45231916016950113,-0.07703096871525886,-0.4714973535476748,-0.627783791987047,0.33547217441786253,0.027852467868558668,-0.05944852514798741,-0.40547224462414533,0.5825122057951214,-0.4877388259098185,-0.4563880720046776,0.3504556834345197,-0.034053400903716814,0.38502863709005475,0.4560262404817217,0.30772493188829286,-0.33712750038813444,0.27366597316879165,0.05495199182569092,0.5759992877173875,0.20697125993429188,0.6422147267232527,0.07944462005075918,0.22804157279237097,-0.03550543667410539,-0.44508293118941994,-0.19075103636254165,-0.13988896257414912
swvl1_kharif_mean,0.682618692973245,0.39998929898718755,-0.20968333400283465,-0.41510970111727546,1.0,-0.7226274624284752,-0.2695795629487618,0.6749084639092572,-0.16413688788862965,0.4634538015614296,0.7944805087562848,0.38151698572928144,-0.4558176283051277,-0.1210828132786249,0.20000291414444332,0.4159053154303637,-0.29055752037590504,0.345440369440621,0.35734206801458107,-0.4957120037856282,0.2260139062944525,0.13450158397684284,-0.22161818934876715,-0.34176515383373424,0.3846583867058349,-0.3492553147928936,-0.16073754852638636,-0.5466741135337,-0.17309195861340718,-0.19871690790071384,0.28998264281102953,-0.4283003274462339,0.5536289198557923,0.619599048148071,0.2770957780885396,-0.1710225125281969
soil_air_diff_kharif_mean,-0.7222057044967151,-0.37696228487228567,0.2436540731317989,0.5468504972827049,-0.7226274624284752,1.0,0.46378780622932075,-0.726890386713702,0.2799055173613356,-0.21343548075471597,-0.7062934123378481,-0.31668842924161106,0.5346795632859895,-0.07327816580626893,-0.07395875446658204,-0.629887672749555,0.41860985920386334,-0.49894814714458857,-0.37393254015127236,0.7576162671003042,-0.29210154517232223,0.17986846732308254,0.2725289839569106,0.4777537985357138,-0.3990708492953713,0.5261406446253847,0.32895676610014074,0.6956739513341466,0.24330265120347683,0.511880332722574,0.0363037639278777,0.3304914233000789,-0.2188118467043468,-0.720299801320187,-0.2843833971144043,-0.13899903558993387
soil_air_diff_kharif_std,-0.38097128364279376,0.009022485541779375,0.3528381338395377,0.6614452578318587,-0.2695795629487618,0.46378780622932075,1.0,-0.19533911262440604,0.47237280090689454,0.053198812530711875,-0.4300580980489751,-0.5133673539866181,0.6136104841352642,0.22223083004780822,0.04208598347431502,-0.4059999593952557,0.6477766320996026,-0.5137340908785761,-0.4945114229312527,0.5264388403784664,0.15533997392105872,0.39777163615780303,0.3990729643234946,0.24757475240478985,-0.25541152532410016,-0.03754989157536831,-0.0011196902920873745,0.36665784822405634,0.12211024284639771,0.537821070375827,0.14506733565896254,0.11145059456695468,0.14678792279692304,-0.4069619437293253,-0.20015239107019112,-0.17230893154933355
runoff_ratio_kharif_mean,0.8189563915928995,0.5373550469399381,0.07243182998343153,-0.45862332030392183,0.6749084639092572,-0.726890386713702,-0.19533911262440604,1.0,0.02941805510663451,0.0556739208998623,0.6656794057616443,0.13043786086163983,-0.19069300945667114,0.3098237653520484,0.10953743346416611,0.7578065093842792,-0.16726735246839866,0.4812222838593665,0.4101626682970075,-0.5396539312560167,0.42971278296632,-0.21008775956232328,-0.10028264923228059,-0.6475672391567642,0.5373726050447919,-0.6928757953019145,-0.4831956257994027,-0.7221908761038368,-0.10297075786879806,-0.5436200595135215,-0.20745419315635247,-0.3669277345255267,0.19609868844728523,0.6303470220721826,0.18823942689387807,0.218986230483534
e_rabi_mean,-0.23182617631622573,0.09585554590749766,0.43641099402692024,0.45231916016950113,-0.16413688788862965,0.2799055173613356,0.47237280090689454,0.02941805510663451,1.0,-0.08712065030342224,-0.16837089263441418,-0.5815731410063522,0.4733307126881639,0.4588008975699854,-0.10327562261649305,0.013739408104765271,0.6316453320687706,-0.03186669703849136,-0.17403666204461796,0.08400097909681527,0.019858490731824843,0.15830978996453296,0.7807252322123475,-0.2938993042369682,-0.23593608735253077,-0.2246852210205446,-0.627020940040042,0.2038119513600804,0.20052053454270533,0.31765876063907617,-0.2735906060247959,-0.15402604254651592,-0.038807123497328455,-0.3129605371509839,-0.40025745557815884,-0.03293072807339843
e_rabi_std,0.18661026932737157,0.11560275869060258,-0.4480707263241079,-0.07703096871525886,0.4634538015614296,-0.21343548075471597,0.053198812530711875,0.0556739208998623,-0.08712065030342224,1.0,0.05103448533276776,0.3752926464120586,-0.09919136963179408,-0.18026217891523574,0.39615017968786137,-0.13571549191122365,-0.0931838780283548,0.14787162505155363,-0.06499658481519262,-0.016891922327767695,-0.01588386883988896,0.41436457827799794,0.024217743321895184,0.11703044905474906,-0.1031845294957815,0.05242765921106034,0.08366979724496297,-0.05962243400668209,-0.14438612701097944,0.24546810045853987,0.6081955537265769,0.004418993915861386,0.6915106772764035,-0.006462478895955269,0.28160259968591955,-0.2763660009789323
swvl1_rabi_mean,0.5409888194823256,0.2227717334603717,-0.029329341347929357,-0.4714973535476748,0.7944805087562848,-0.7062934123378481,-0.4300580980489751,0.6656794057616443,-0.16837089263441418,0.05103448533276776,1.0,0.3082370421871123,-0.337453014577209,0.15636491957879348,-0.0813610658148004,0.6254698071110153,-0.2967109465590651,0.503933067550164,0.4347008578475505,-0.4797590032702336,0.18179777532454267,-0.4040155721297527,-0.31706473429249454,-0.44958803114672097,0.5143592478653984,-0.5363640589978168,-0.2652214237126368,-0.6184089360513068,-0.18540256566479554,-0.5289447544159056,-0.18515034401169614,-0.4913906370901862,-0.06588125990475394,0.5873955186456324,0.2749591141296039,0.21651994943420583
swvl1_rabi_std,0.2579683804727729,-0.2011266390525232,-0.3124865874739459,-0.627783791987047,0.38151698572928144,-0.31668842924161106,-0.5133673539866181,0.13043786086163983,-0.5815731410063522,0.3752926464120586,0.3082370421871123,1.0,-0.3262552892717316,-0.20782069761722236,0.10984089433975296,0.05364036253338617,-0.36821267914394307,0.3200397361534542,0.34592212435479996,-0.027715196306644044,-0.1541516602165666,-0.20471645199074123,-0.6480341003686733,0.17616108743720013,0.3048970823452844,-0.02099796626215014,0.3965355674675794,-0.3674066718815278,-0.15958713636142163,-0.32985016112460575,0.34375762096061097,-0.11038891372152389,0.20418522738604047,0.33569932714293976,0.450984419097603,-0.03415412312542251
soil_air_diff_rabi_mean,-0.4879501756800971,-0.2894525237056335,0.2619435033939911,0.33547217441786253,-0.4558176283051277,0.5346795632859895,0.6136104841352642,-0.19069300945667114,0.4733307126881639,-0.09919136963179408,-0.337453014577209,-0.3262552892717316,1.0,0.6493211591170407,-0.040166237598096496,-0.2218204654427327,0.5057083941417111,-0.1050699987208087,-0.3257337559787281,0.6841704160795283,-0.02472477534478688,-0.1726839133679089,0.3759099240370257,0.10834388558326566,-0.1582460450017107,-0.22067377625539578,-0.12902249989742534,0.2461192990812745,0.060365511730651106,0.09087193632777774,-0.25376564153521164,0.07692831658686695,-0.28620412414392227,-0.6227063604206126,-0.1808896829424089,0.24938919098433276
soil_air_diff_rabi_std,-0.108027576268679,-0.0968411501990095,0.26287439845469357,0.027852467868558668,-0.1210828132786249,-0.07327816580626893,0.22223083004780822,0.3098237653520484,0.4588008975699854,-0.18026217891523574,0.15636491957879348,-0.20782069761722236,0.6493211591170407,1.0,-0.1528440286589216,0.2798040529821328,0.3563049852064486,0.33410090269473797,-0.04645750801664676,0.07648603723435614,0.2149242471524314,-0.4742830145302134,0.2991443735258473,-0.3177225869418147,0.09015470070269024,-0.6997949219261406,-0.5294978809920311,-0.23586021581591107,-0.0010000667852933924,-0.3224665320338853,-0.5214132410871358,-0.16615639643343405,-0.413369059652545,-0.09487790970170723,-0.023451683481011672,0.483393402753434
runoff_ratio_rabi_mean,0.2230245020614638,0.11409604266701802,-0.31678989177477573,-0.05944852514798741,0.20000291414444332,-0.07395875446658204,0.04208598347431502,0.10953743346416611,-0.10327562261649305,0.39615017968786137,-0.0813610658148004,0.10984089433975296,-0.040166237598096496,-0.1528440286589216,1.0,-0.04962193378967695,-0.19284350534188727,-0.043088702216233135,0.04434171065625078,-0.024491088295676706,0.22287136299707616,0.27861481447776915,0.08021657587054701,-0.06995589787029341,-0.13793548985970136,0.16442923574396026,-0.005818140409993483,0.02983754683798957,-0.06924068906356527,0.010584357331343068,0.37842052414848476,0.02825944043280942,0.44019015564539615,-0.09877796815709627,0.15854572259984054,-0.23478971651668867
tp_zaid_mean,0.6728274956905765,0.2707656607761554,0.037655981971966165,-0.40547224462414533,0.4159053154303637,-0.629887672749555,-0.4059999593952557,0.7578065093842792,0.013739408104765271,-0.13571549191122365,0.6254698071110153,0.05364036253338617,-0.2218204654427327,0.2798040529821328,-0.04962193378967695,1.0,-0.27685020740200356,0.5869232276930005,0.50033786776406,-0.5072414642252123,0.268235035060632,-0.5341942206098024,-0.12100662975062747,-0.7118565945914342,0.6028976329888556,-0.5475930788900111,-0.4822810775596446,-0.6236629864488796,-0.09959599170490283,-0.6875947669677109,-0.5309297743322599,-0.29349020491914685,-0.17432647888917818,0.4447318692461503,0.1440955929971859,0.4179973970278293
e_zaid_mean,-0.3509536703968442,-0.07985731286107274,0.7652216345918247,0.5825122057951214,-0.29055752037590504,0.41860985920386334,0.6477766320996026,-0.16726735246839866,0.6316453320687706,-0.0931838780283548,-0.2967109465590651,-0.36821267914394307,0.5057083941417111,0.3563049852064486,-0.19284350534188727,-0.27685020740200356,1.0,-0.4675954727331674,-0.5670176227005851,0.4880629521893678,0.03792568843739267,0.18693210894273918,0.26234959278164943,0.24819792638754,-0.10250606373880813,-0.206469696404239,-0.04381616009775287,0.28092687845974995,0.25848269510612015,0.47308801243579884,-0.0501096990910129,0.008670889172356162,-0.07053674286845109,-0.19698323944069618,0.030295162102154726,-0.03480296482437784
e_zaid_std,0.35963728430770875,0.10216740407314723,-0.3615766334932559,-0.4877388259098185,0.345440369440621,-0.49894814714458857,-0.5137340908785761,0.4812222838593665,-0.03186669703849136,0.14787162505155363,0.503933067550164,0.3200397361534542,-0.1050699987208087,0.33410090269473797,-0.043088702216233135,0.5869232276930005,-0.4675954727331674,1.0,0.5939269025556774,-0.407649298256249,0.10476286029400661,-0.47385231639037556,-0.04999967301969752,-0.4895769207045441,0.3152546045256953,-0.3975521974424121,-0.3929662580890253,-0.5640610393703465,-0.18099670523079447,-0.6368817119789106,-0.29777506753514094,-0.24737105664708936,-0.12344548705697168,0.18744976660252163,0.0950635865294356,0.40555338124288104
swvl1_zaid_std,0.3528737784710931,0.0777795250872068,-0.31893884068226525,-0.4563880720046776,0.35734206801458107,-0.37393254015127236,-0.4945114229312527,0.4101626682970075,-0.17403666204461796,-0.06499658481519262,0.4347008578475505,0.34592212435479996,-0.3257337559787281,-0.04645750801664676,0.04434171065625078,0.50033786776406,-0.5670176227005851,0.5939269025556774,1.0,-0.4454723144653925,-0.056719597851726054,-0.36619683716649865,-0.15537463636450022,-0.4634099240202978,0.45419295249302727,-0.08898273443802654,-0.19014308905700442,-0.5369609460756045,-0.13369040397111612,-0.46233276001728113,-0.1020812011624207,-0.21240676277779055,-0.008953337101041157,0.2379032386839804,-0.013365250857161424,-0.004239604910207328
soil_air_diff_zaid_mean,-0.558244832883796,-0.4431614908822735,0.2944473439208101,0.3504556834345197,-0.4957120037856282,0.7576162671003042,0.5264388403784664,-0.5396539312560167,0.08400097909681527,-0.016891922327767695,-0.4797590032702336,-0.027715196306644044,0.6841704160795283,0.07648603723435614,-0.024491088295676706,-0.5072414642252123,0.4880629521893678,-0.407649298256249,-0.4454723144653925,1.0,-0.12978075066211756,0.02549551589802508,-0.11326278783815527,0.531362862264983,-0.11376291081634932,0.22071966205629487,0.5055469766711288,0.4308385051865477,0.11784192777265384,0.26445292536241694,0.06510731189925373,0.2364619217237588,-0.15661270618699277,-0.6109469908475094,0.04143893894740988,0.06260207730891929
runoff_ratio_zaid_mean,0.3646990101995873,0.38494262582340394,0.10103702770325933,-0.034053400903716814,0.2260139062944525,-0.29210154517232223,0.15533997392105872,0.42971278296632,0.019858490731824843,-0.01588386883988896,0.18179777532454267,-0.1541516602165666,-0.02472477534478688,0.2149242471524314,0.22287136299707616,0.268235035060632,0.03792568843739267,0.10476286029400661,-0.056719597851726054,-0.12978075066211756,1.0,0.09569613899767303,-0.06845474677852326,-0.22038600080512935,0.0977242549558298,-0.3773959593865168,-0.1792752562444471,-0.3329634645039127,-0.09227447554243778,-0.228139897408742,-0.048143187015613764,-0.13316228607359978,0.12206421666160934,0.2604957257029495,0.073228977100553,0.13265844858309625
tp_kharif_fraction,0.029252405563729492,0.3403039062475452,-0.10681373812202198,0.38502863709005475,0.13450158397684284,0.17986846732308254,0.39777163615780303,-0.21008775956232328,0.15830978996453296,0.41436457827799794,-0.4040155721297527,-0.20471645199074123,-0.1726839133679089,-0.4742830145302134,0.27861481447776915,-0.5341942206098024,0.18693210894273918,-0.47385231639037556,-0.36619683716649865,0.02549551589802508,0.09569613899767303,1.0,0.2874945943031046,0.3050189275224698,-0.4306149871463298,0.4078042618545327,0.16535142032683914,0.37523486619777086,0.11813491802431446,0.7259993489034633,0.6493024016353595,0.09944604023995676,0.7750153307747609,-0.049388556997715355,-0.1930694728030145,-0.6591595847360702
t2m_amplitude,-0.27312382695699433,0.12807050546886523,-0.02808290131338061,0.4560262404817217,-0.22161818934876715,0.2725289839569106,0.3990729643234946,-0.10028264923228059,0.7807252322123475,0.024217743321895184,-0.31706473429249454,-0.6480341003686733,0.3759099240370257,0.2991443735258473,0.08021657587054701,-0.12100662975062747,0.26234959278164943,-0.04999967301969752,-0.15537463636450022,-0.11326278783815527,-0.06845474677852326,0.2874945943031046,1.0,-0.2767119748086146,-0.5244478477312547,0.055516729302686973,-0.6511927072056215,0.3969040343343706,0.12437404520144221,0.42004895208818444,-0.06823347176888857,-0.04435575030091917,0.07064703848922546,-0.4276644330466886,-0.5399002543498224,-0.16808857836044208
