state,district,year,cashewnut_whole_year_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2000 - 2001,0.23
,,2001 - 2002,0.27
,,2002 - 2003,0.29
,,2003 - 2004,0.29
,,2004 - 2005,0.29
,,2005 - 2006,0.12
,,2006 - 2007,0.19
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,North and middle andaman,2000 - 2001,0.68
,,2001 - 2002,0.41
,,2006 - 2007,1.09
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South andamans,2002 - 2003,0.3
,,2003 - 2004,0.22
,,2004 - 2005,0.22
,,2005 - 2006,0.26
,,2006 - 2007,0.33
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Andhra Pradesh,Anantapur,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Chittoor,2000 - 2001,0.21
,,2001 - 2002,0.27
,,2002 - 2003,0.12
,,2003 - 2004,0.27
,,2004 - 2005,0.21
,,2005 - 2006,0.27
,,2006 - 2007,0.26
,,2008 - 2009,0.29
,,2009 - 2010,0.3
,,2010 - 2011,0.24
,,2011 - 2012,0.25
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,East godavari,2000 - 2001,0.14
,,2001 - 2002,0.15
,,2002 - 2003,0.03
,,2003 - 2004,0.1
,,2004 - 2005,0.09
,,2005 - 2006,0.16
,,2006 - 2007,0.24
,,2008 - 2009,0.21
,,2009 - 2010,0.29
,,2010 - 2011,0.18
,,2011 - 2012,0.19
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Guntur,2000 - 2001,0.22
,,2001 - 2002,0.27
,,2002 - 2003,0.13
,,2003 - 2004,0.27
,,2004 - 2005,0.21
,,2005 - 2006,0.26
,,2006 - 2007,0.26
,,2008 - 2009,0.29
,,2009 - 2010,0.3
,,2010 - 2011,0.24
,,2011 - 2012,0.26
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Kadapa,2000 - 2001,0.29
,,2001 - 2002,0.29
,,2002 - 2003,0.14
,,2003 - 2004,0.29
,,2004 - 2005,0.29
,,2005 - 2006,0.29
,,2006 - 2007,0.33
,,2008 - 2009,0.33
,,2009 - 2010,0.33
,,2010 - 2011,0.17
,,2011 - 2012,0.33
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Krishna,2000 - 2001,0.22
,,2001 - 2002,0.27
,,2002 - 2003,0.12
,,2003 - 2004,0.27
,,2004 - 2005,0.21
,,2005 - 2006,0.27
,,2006 - 2007,0.26
,,2008 - 2009,0.29
,,2009 - 2010,0.3
,,2010 - 2011,0.24
,,2011 - 2012,0.26
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Prakasam,2000 - 2001,0.22
,,2001 - 2002,0.27
,,2002 - 2003,0.12
,,2003 - 2004,0.27
,,2004 - 2005,0.21
,,2005 - 2006,0.27
,,2006 - 2007,0.26
,,2008 - 2009,0.32
,,2009 - 2010,0.3
,,2010 - 2011,0.24
,,2011 - 2012,0.26
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Spsr nellore,2000 - 2001,0.22
,,2001 - 2002,0.28
,,2002 - 2003,0.12
,,2003 - 2004,0.27
,,2004 - 2005,0.21
,,2005 - 2006,0.27
,,2006 - 2007,0.26
,,2008 - 2009,0.29
,,2009 - 2010,0.3
,,2010 - 2011,0.24
,,2011 - 2012,0.26
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Srikakulam,2000 - 2001,0.34
,,2001 - 2002,0.42
,,2002 - 2003,0.44
,,2003 - 2004,0.38
,,2004 - 2005,0.45
,,2005 - 2006,0.4
,,2006 - 2007,0.35
,,2008 - 2009,0.26
,,2009 - 2010,0.4
,,2010 - 2011,0.36
,,2011 - 2012,0.36
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Visakhapatanam,2000 - 2001,0.25
