state,district,year,rapeseed_and_mustard_rabi_yield_tonne_per_hectare
,,2022 - 2023,1.36
,Namsai,2016 - 2017,0.85
,,2017 - 2018,0.85
,,2018 - 2019,0.85
,,2019 - 2020,0.85
,,2020 - 2021,0.86
,,2021 - 2022,0.87
,,2022 - 2023,0.89
,Pakke kessang,2019 - 2020,1.36
,,2020 - 2021,1.38
,,2021 - 2022,1.37
,,2022 - 2023,1.38
,Papum pare,2016 - 2017,1.47
,,2017 - 2018,1.46
,,2018 - 2019,1.46
,,2019 - 2020,1.46
,,2020 - 2021,1.47
,,2021 - 2022,1.47
,,2022 - 2023,1.47
,Shi yomi,2019 - 2020,0.73
,,2020 - 2021,0.74
,,2021 - 2022,0.75
,,2022 - 2023,0.75
,Siang,2016 - 2017,0.91
,,2017 - 2018,0.91
,,2018 - 2019,0.91
,,2019 - 2020,0.91
,,2020 - 2021,0.92
,,2021 - 2022,0.97
,,2022 - 2023,0.97
,Tirap,2016 - 2017,1.56
,,2017 - 2018,1.53
,,2018 - 2019,1.53
,,2019 - 2020,1.52
,,2020 - 2021,1.53
,,2021 - 2022,1.19
,,2022 - 2023,1.19
,Upper siang,2016 - 2017,1.51
,,2017 - 2018,1.44
,,2018 - 2019,1.44
,,2019 - 2020,1.46
,,2020 - 2021,1.47
,,2021 - 2022,1.47
,,2022 - 2023,1.41
,Upper subansiri,2016 - 2017,1.54
,,2017 - 2018,1.49
,,2018 - 2019,1.58
,,2019 - 2020,1.57
,,2020 - 2021,1.57
,,2021 - 2022,1.54
,,2022 - 2023,1.47
,West kameng,2016 - 2017,1.82
,,2017 - 2018,1.78
,,2018 - 2019,1.78
,,2019 - 2020,1.77
,,2020 - 2021,1.81
,,2021 - 2022,1.79
,,2022 - 2023,1.82
,West siang,2016 - 2017,1.38
,,2017 - 2018,1.38
,,2018 - 2019,0.7
,,2019 - 2020,0.69
,,2020 - 2021,0.7
,,2021 - 2022,0.74
,,2022 - 2023,0.87
Assam,Baksa,2005 - 2006,0.44
,,2006 - 2007,0.49
,,2007 - 2008,0.65
,,2008 - 2009,0.6
,,2009 - 2010,0.29
,,2010 - 2011,0.36
,,2011 - 2012,0.51
,,2012 - 2013,0.53
,,2013 - 2014,0.59
,,2014 - 2015,0.52
,,2015 - 2016,0.57
,,2016 - 2017,0.57
,,2017 - 2018,0.6
,,2018 - 2019,0.63
,,2019 - 2020,0.65
,,2020 - 2021,0.54
,,2021 - 2022,0.7
,,2022 - 2023,0.7
,Barpeta,2000 - 2001,0.59
,,2001 - 2002,0.33
,,2002 - 2003,0.53
,,2003 - 2004,0.62
,,2004 - 2005,0.56
,,2005 - 2006,0.29
,,2006 - 2007,0.46
,,2007 - 2008,0.53
,,2008 - 2009,0.58
,,2009 - 2010,0.52
,,2010 - 2011,0.44
,,2011 - 2012,0.65
,,2012 - 2013,0.82
,,2013 - 2014,0.54
,,2014 - 2015,0.54
,,2015 - 2016,0.68
,,2016 - 2017,0.67
,,2017 - 2018,0.69
,,2018 - 2019,0.64
,,2019 - 2020,0.69
,,2020 - 2021,0.69
,,2021 - 2022,0.65
,,2022 - 2023,0.73
,Biswanath,2020 - 2021,0.44
,,2021 - 2022,0.39
,,2022 - 2023,0.67
,Bongaigaon,2000 - 2001,0.55
,,2001 - 2002,0.64
,,2002 - 2003,0.6
,,2003 - 2004,0.53
,,2004 - 2005,0.69
,,2005 - 2006,0.5
,,2006 - 2007,0.67
,,2007 - 2008,0.47
,,2008 - 2009,0.64
,,2009 - 2010,0.59
,,2010 - 2011,0.67
,,2011 - 2012,0.69
,,2012 - 2013,0.57
,,2013 - 2014,0.63
,,2014 - 2015,0.57
,,2015 - 2016,0.46
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.54
,,2019 - 2020,0.64
,,2020 - 2021,0.57
,,2021 - 2022,0.66
,,2022 - 2023,0.77
,Cachar,2000 - 2001,0.62
,,2001 - 2002,0.46
,,2002 - 2003,0.41
,,2003 - 2004,0.86
,,2004 - 2005,0.57
,,2005 - 2006,0.58
,,2006 - 2007,0.57
,,2007 - 2008,0.53
,,2008 - 2009,0.67
,,2009 - 2010,0.66
,,2010 - 2011,0.67
,,2011 - 2012,0.54
,,2012 - 2013,0.59
,,2013 - 2014,0.53
,,2014 - 2015,0.66
,,2015 - 2016,0.3
,,2016 - 2017,0.39
,,2017 - 2018,0.43
,,2018 - 2019,0.56
,,2019 - 2020,0.22
,,2020 - 2021,0.72
,,2021 - 2022,0.34
,,2022 - 2023,0.79
,Charaideo,2020 - 2021,0.49
,,2021 - 2022,0.42
,,2022 - 2023,0.44
,Chirang,2005 - 2006,0.52
,,2006 - 2007,0.49
,,2007 - 2008,0.55
,,2008 - 2009,0.72
,,2009 - 2010,0.44
,,2010 - 2011,0.4
,,2011 - 2012,0.52
,,2012 - 2013,0.35
,,2013 - 2014,0.5
,,2014 - 2015,0.49
,,2015 - 2016,0.63
,,2016 - 2017,0.62
,,2017 - 2018,0.59
,,2018 - 2019,0.48
,,2019 - 2020,0.51
,,2020 - 2021,0.4
,,2021 - 2022,0.44
,,2022 - 2023,0.86
,Darrang,2000 - 2001,0.44
,,2001 - 2002,0.47
,,2002 - 2003,0.4
,,2003 - 2004,0.44
,,2004 - 2005,0.47
,,2005 - 2006,0.34
,,2006 - 2007,0.34
,,2007 - 2008,0.44
,,2008 - 2009,0.54
,,2009 - 2010,0.61
,,2010 - 2011,0.5
,,2011 - 2012,0.51
,,2012 - 2013,0.49
,,2013 - 2014,0.51
,,2014 - 2015,0.59
,,2015 - 2016,0.63
,,2016 - 2017,0.54
,,2017 - 2018,0.56
,,2018 - 2019,0.64
,,2019 - 2020,0.8
,,2020 - 2021,0.77
