state,district,year,rapeseed_and_mustard_rabi_yield_tonne_per_hectare
,,2017 - 2018,1.85
,,2018 - 2019,1.82
,,2019 - 2020,1.51
,,2020 - 2021,1.74
,,2021 - 2022,1.76
,,2022 - 2023,1.34
,Charki dadri,2017 - 2018,1.9
,,2018 - 2019,2.1
,,2019 - 2020,1.74
,,2020 - 2021,2.42
,,2021 - 2022,1.92
,,2022 - 2023,1.03
,Faridabad,2000 - 2001,1.58
,,2001 - 2002,1.98
,,2002 - 2003,1.39
,,2003 - 2004,1.63
,,2004 - 2005,1.15
,,2005 - 2006,1.62
,,2006 - 2007,1.42
,,2007 - 2008,1.43
,,2008 - 2009,2.37
,,2010 - 2011,2.14
,,2011 - 2012,2.68
,,2012 - 2013,1.69
,,2013 - 2014,2.0
,,2016 - 2017,2.0
,,2017 - 2018,2.0
,,2018 - 2019,1.83
,,2019 - 2020,1.67
,,2020 - 2021,1.67
,,2021 - 2022,1.98
,,2022 - 2023,1.77
,Fatehabad,2000 - 2001,1.52
,,2001 - 2002,1.42
,,2002 - 2003,1.07
,,2003 - 2004,1.65
,,2004 - 2005,1.14
,,2005 - 2006,1.47
,,2006 - 2007,1.48
,,2007 - 2008,1.39
,,2008 - 2009,1.71
,,2010 - 2011,2.03
,,2011 - 2012,1.93
,,2012 - 2013,1.59
,,2013 - 2014,1.83
,,2014 - 2015,1.5
,,2015 - 2016,1.36
,,2016 - 2017,1.65
,,2017 - 2018,1.93
,,2018 - 2019,2.12
,,2019 - 2020,1.75
,,2020 - 2021,1.81
,,2021 - 2022,1.81
,,2022 - 2023,1.76
,Gurgaon,2000 - 2001,1.5
,,2001 - 2002,1.58
,,2002 - 2003,1.26
,,2003 - 2004,1.4
,,2004 - 2005,1.16
,,2005 - 2006,1.27
,,2006 - 2007,1.23
,,2007 - 2008,1.28
,,2008 - 2009,1.94
,,2010 - 2011,1.8
,,2011 - 2012,1.92
,,2012 - 2013,1.97
,,2013 - 2014,1.62
,,2014 - 2015,1.3
,,2015 - 2016,1.7
,,2016 - 2017,2.0
,,2017 - 2018,2.33
,,2018 - 2019,2.24
,,2019 - 2020,2.37
,,2020 - 2021,2.27
,,2021 - 2022,1.99
,,2022 - 2023,1.95
,Hisar,2000 - 2001,1.39
,,2001 - 2002,1.66
,,2002 - 2003,1.19
,,2003 - 2004,1.53
,,2004 - 2005,1.14
,,2005 - 2006,0.8
,,2006 - 2007,1.51
,,2007 - 2008,1.11
,,2008 - 2009,1.76
,,2010 - 2011,2.01
,,2011 - 2012,1.71
,,2012 - 2013,1.66
,,2013 - 2014,1.62
,,2014 - 2015,1.48
,,2015 - 2016,1.81
,,2016 - 2017,1.86
,,2017 - 2018,2.2
,,2018 - 2019,2.14
,,2019 - 2020,1.82
,,2020 - 2021,1.9
,,2021 - 2022,1.92
,,2022 - 2023,1.93
,Jhajjar,2000 - 2001,1.61
,,2001 - 2002,1.57
,,2002 - 2003,1.16
,,2003 - 2004,1.48
,,2004 - 2005,1.32
,,2005 - 2006,0.85
,,2006 - 2007,1.31
,,2007 - 2008,1.24
,,2008 - 2009,1.84
,,2010 - 2011,1.77
,,2011 - 2012,1.58
,,2012 - 2013,1.66
,,2013 - 2014,1.55
,,2014 - 2015,1.32
,,2015 - 2016,1.58
,,2016 - 2017,2.33
,,2017 - 2018,2.12
,,2018 - 2019,2.05
,,2019 - 2020,2.1
,,2020 - 2021,2.08
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,Jind,2000 - 2001,1.23
,,2001 - 2002,1.46
,,2002 - 2003,1.22
,,2003 - 2004,1.63
,,2004 - 2005,1.28
,,2005 - 2006,0.68
,,2006 - 2007,1.2
,,2007 - 2008,1.13
,,2008 - 2009,1.51
,,2010 - 2011,1.83
,,2011 - 2012,1.58
,,2012 - 2013,1.75
,,2013 - 2014,1.75
,,2014 - 2015,1.0
,,2015 - 2016,1.75
,,2016 - 2017,1.88
,,2017 - 2018,2.1
,,2018 - 2019,2.25
,,2019 - 2020,1.82
,,2020 - 2021,2.0
,,2021 - 2022,2.15
,,2022 - 2023,2.15
,Kaithal,2000 - 2001,1.08
,,2001 - 2002,1.26
,,2002 - 2003,1.6
,,2003 - 2004,1.55
,,2004 - 2005,1.25
,,2005 - 2006,1.31
,,2006 - 2007,1.46
,,2007 - 2008,1.39
,,2008 - 2009,3.02
,,2010 - 2011,2.79
,,2011 - 2012,1.32
,,2012 - 2013,2.3
,,2013 - 2014,2.0
,,2014 - 2015,1.0
,,2015 - 2016,2.0
,,2016 - 2017,1.5
,,2017 - 2018,2.56
,,2018 - 2019,1.85
,,2019 - 2020,1.8
,,2020 - 2021,1.87
,,2021 - 2022,1.85
,,2022 - 2023,2.19
,Karnal,2000 - 2001,1.01
,,2001 - 2002,1.0
,,2002 - 2003,1.14
,,2003 - 2004,1.25
,,2004 - 2005,1.41
,,2005 - 2006,1.61
,,2006 - 2007,1.49
,,2007 - 2008,1.15
,,2008 - 2009,2.33
,,2010 - 2011,2.4
,,2011 - 2012,1.01
,,2012 - 2013,1.84
,,2013 - 2014,2.0
,,2014 - 2015,1.0
,,2015 - 2016,2.0
,,2016 - 2017,1.88
,,2017 - 2018,2.07
,,2018 - 2019,2.05
,,2019 - 2020,1.83
,,2020 - 2021,2.17
,,2021 - 2022,2.05
,,2022 - 2023,2.11
,Kurukshetra,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,1.46
,,2005 - 2006,1.43
,,2006 - 2007,1.13
,,2007 - 2008,1.73
,,2008 - 2009,2.77
,,2010 - 2011,2.0
,,2011 - 2012,1.35
,,2012 - 2013,1.64
,,2013 - 2014,1.5
,,2014 - 2015,1.0
,,2015 - 2016,1.5
,,2016 - 2017,1.56
,,2017 - 2018,1.78
,,2018 - 2019,1.76
,,2019 - 2020,1.5
,,2020 - 2021,1.78
,,2021 - 2022,1.5
,,2022 - 2023,1.79
,Mahendragarh,2000 - 2001,1.2
,,2001 - 2002,1.37
,,2002 - 2003,1.07
,,2003 - 2004,1.62
,,2004 - 2005,1.2
,,2005 - 2006,1.16
,,2006 - 2007,1.41
,,2007 - 2008,1.07
,,2008 - 2009,1.86
,,2010 - 2011,1.91
,,2011 - 2012,0.82
,,2012 - 2013,1.71
,,2013 - 2014,1.7
,,2014 - 2015,1.49
,,2015 - 2016,1.57
,,2016 - 2017,1.96
,,2017 - 2018,1.88
,,2018 - 2019,2.05
,,2019 - 2020,1.86
,,2020 - 2021,2.1
,,2021 - 2022,2.04
,,2022 - 2023,1.74
,Mewat,2005 - 2006,1.05
,,2006 - 2007,1.05
,,2007 - 2008,1.43
,,2008 - 2009,1.63
,,2010 - 2011,1.79
,,2011 - 2012,1.83
,,2012 - 2013,1.6
,,2013 - 2014,1.52
,,2014 - 2015,1.36
,,2015 - 2016,1.61
,,2016 - 2017,1.89
,,2017 - 2018,2.16
,,2018 - 2019,2.29
,,2019 - 2020,2.35
,,2020 - 2021,2.22
,,2021 - 2022,2.07
,,2022 - 2023,2.26
,Palwal,2008 - 2009,2.28
,,2010 - 2011,1.79
,,2011 - 2012,2.11
,,2012 - 2013,1.84
,,2013 - 2014,1.67
,,2014 - 2015,1.0
,,2015 - 2016,1.5
,,2016 - 2017,1.75
,,2017 - 2018,2.18
,,2018 - 2019,2.12
,,2019 - 2020,2.0
,,2020 - 2021,1.75
,,2021 - 2022,2.11
,,2022 - 2023,1.82
,Panchkula,2000 - 2001,0.88
,,2001 - 2002,0.73
,,2002 - 2003,0.8
,,2003 - 2004,0.69
,,2004 - 2005,0.83
,,2005 - 2006,1.56
,,2006 - 2007,0.0
,,2007 - 2008,1.98
,,2008 - 2009,1.91
,,2010 - 2011,1.48
,,2011 - 2012,1.24
,,2012 - 2013,2.0
,,2013 - 2014,2.0
,,2016 - 2017,0.75
,,2017 - 2018,2.0
,,2018 - 2019,0.8
,,2019 - 2020,1.0
,,2020 - 2021,0.92
,,2021 - 2022,1.16
,,2022 - 2023,1.35
,Panipat,2000 - 2001,1.41
,,2001 - 2002,1.34
,,2002 - 2003,1.16
,,2003 - 2004,1.57
,,2004 - 2005,1.4
,,2005 - 2006,1.0
,,2006 - 2007,0.98
,,2007 - 2008,1.24
,,2008 - 2009,2.61
,,2010 - 2011,2.29
,,2011 - 2012,1.15
,,2012 - 2013,2.28
,,2013 - 2014,2.0
,,2014 - 2015,1.0
,,2015 - 2016,2.0
,,2016 - 2017,1.75
,,2017 - 2018,2.0
,,2018 - 2019,2.33
,,2019 - 2020,1.91
,,2020 - 2021,2.28
,,2021 - 2022,2.24
,,2022 - 2023,2.08
,Rewari,2000 - 2001,1.78
,,2001 - 2002,1.69
,,2002 - 2003,1.31
,,2003 - 2004,1.75
,,2004 - 2005,1.4
,,2005 - 2006,1.53
,,2006 - 2007,1.46
,,2007 - 2008,1.62
,,2008 - 2009,1.99
,,2010 - 2011,2.0
,,2011 - 2012,1.83
,,2012 - 2013,2.15
,,2013 - 2014,1.86
,,2014 - 2015,1.54
,,2015 - 2016,1.84
,,2016 - 2017,2.24
,,2017 - 2018,2.3
,,2018 - 2019,2.3
,,2019 - 2020,1.8
,,2020 - 2021,2.29
,,2021 - 2022,1.95
,,2022 - 2023,1.93
,Rohtak,2000 - 2001,1.29
,,2001 - 2002,1.48
,,2002 - 2003,1.1
,,2003 - 2004,1.58
,,2004 - 2005,1.11
,,2005 - 2006,0.94
,,2006 - 2007,1.39
,,2007 - 2008,1.04
,,2008 - 2009,1.54
,,2010 - 2011,1.61
,,2011 - 2012,1.53
,,2012 - 2013,1.47
,,2013 - 2014,1.42
,,2014 - 2015,1.11
,,2015 - 2016,1.27
,,2016 - 2017,1.25
,,2017 - 2018,1.94
,,2018 - 2019,1.84
,,2019 - 2020,1.81
,,2020 - 2021,1.81
,,2021 - 2022,1.76
,,2022 - 2023,1.78
,Sirsa,2000 - 2001,1.36
,,2001 - 2002,1.51
,,2002 - 2003,1.0
,,2003 - 2004,1.52
,,2004 - 2005,1.15
,,2005 - 2006,1.22
,,2006 - 2007,1.31
,,2007 - 2008,1.27
,,2008 - 2009,1.68
,,2010 - 2011,1.95
,,2011 - 2012,1.69
,,2012 - 2013,1.64
,,2013 - 2014,1.74
,,2014 - 2015,1.51
,,2015 - 2016,1.71
,,2016 - 2017,1.58
,,2017 - 2018,1.99
,,2018 - 2019,2.12
,,2019 - 2020,1.86
,,2020 - 2021,1.93
,,2021 - 2022,1.96
,,2022 - 2023,1.85
,Sonipat,2000 - 2001,1.07
,,2001 - 2002,1.46
,,2002 - 2003,0.95
,,2003 - 2004,1.28
,,2004 - 2005,1.1
,,2005 - 2006,1.12
,,2006 - 2007,1.36
,,2007 - 2008,0.94
,,2008 - 2009,1.27
,,2010 - 2011,1.86
,,2011 - 2012,1.31
,,2012 - 2013,1.23
,,2013 - 2014,1.5
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.62
,,2017 - 2018,1.64
,,2018 - 2019,1.72
,,2019 - 2020,1.83
,,2020 - 2021,2.1
,,2021 - 2022,1.9
,,2022 - 2023,1.9
,Yamunanagar,2000 - 2001,1.01
,,2001 - 2002,1.08
,,2002 - 2003,1.1
,,2003 - 2004,1.15
,,2004 - 2005,0.83
,,2005 - 2006,0.85
,,2006 - 2007,1.47
,,2007 - 2008,1.11
,,2008 - 2009,2.38
,,2010 - 2011,1.69
,,2011 - 2012,1.26
,,2012 - 2013,1.36
,,2013 - 2014,2.0
,,2014 - 2015,1.0
,,2015 - 2016,1.5
,,2016 - 2017,1.2
,,2017 - 2018,1.57
,,2018 - 2019,1.33
,,2019 - 2020,1.5
,,2020 - 2021,1.77
,,2021 - 2022,1.26
,,2022 - 2023,1.79
Himachal Pradesh,Bilaspur,2000 - 2001,0.6
,,2001 - 2002,0.53
,,2002 - 2003,0.53
,,2005 - 2006,0.13
,,2006 - 2007,0.26
,,2007 - 2008,0.91
,,2008 - 2009,0.16
,,2009 - 2010,0.15
,,2010 - 2011,0.4
,,2011 - 2012,0.36
,,2012 - 2013,0.26
,,2013 - 2014,0.13
,,2014 - 2015,0.72
,,2015 - 2016,0.13
,,2016 - 2017,0.13
,,2017 - 2018,0.48
,,2018 - 2019,0.48
,,2019 - 2020,0.41
,,2020 - 2021,0.77
,,2021 - 2022,0.77
,,2022 - 2023,0.76
,Chamba,2000 - 2001,0.2
,,2001 - 2002,0.28
,,2002 - 2003,0.28
,,2005 - 2006,0.05
,,2006 - 2007,0.24
,,2007 - 2008,0.19
,,2008 - 2009,0.29
,,2009 - 2010,0.31
,,2010 - 2011,0.5
,,2011 - 2012,0.62
,,2012 - 2013,0.5
,,2013 - 2014,0.42
,,2014 - 2015,0.63
,,2015 - 2016,0.49
,,2016 - 2017,0.27
,,2017 - 2018,0.49
,,2018 - 2019,0.48
,,2019 - 2020,0.49
,,2020 - 2021,0.73
,,2021 - 2022,0.73
,,2022 - 2023,0.73
,Hamirpur,2000 - 2001,0.5
,,2001 - 2002,0.65
,,2002 - 2003,0.8
,,2005 - 2006,0.27
,,2006 - 2007,1.1
,,2007 - 2008,0.55
,,2008 - 2009,0.1
,,2009 - 2010,0.08
,,2010 - 2011,0.58
,,2011 - 2012,0.15
,,2012 - 2013,0.12
,,2013 - 2014,0.03
,,2014 - 2015,0.47
,,2015 - 2016,0.07
,,2016 - 2017,0.07
,,2017 - 2018,0.32
,,2018 - 2019,0.32
,,2019 - 2020,0.43
,,2020 - 2021,0.73
,,2021 - 2022,0.72
,,2022 - 2023,0.71
,Kangra,2000 - 2001,0.55
,,2001 - 2002,0.81
,,2002 - 2003,0.82
,,2005 - 2006,0.68
,,2006 - 2007,0.89
,,2007 - 2008,0.57
,,2008 - 2009,0.29
,,2009 - 2010,0.28
,,2010 - 2011,0.56
,,2011 - 2012,0.54
,,2012 - 2013,0.45
,,2013 - 2014,0.54
,,2014 - 2015,0.72
,,2015 - 2016,0.58
,,2016 - 2017,0.24
,,2017 - 2018,0.64
,,2018 - 2019,0.64
,,2019 - 2020,0.68
,,2020 - 2021,0.76
,,2021 - 2022,0.76
,,2022 - 2023,0.75
,Kinnaur,2001 - 2002,1.0
,,2002 - 2003,0.0
,,2013 - 2014,0.47
,,2020 - 2021,0.75
,,2022 - 2023,0.67
,Kullu,2000 - 2001,0.5
,,2001 - 2002,0.58
,,2002 - 2003,0.39
,,2005 - 2006,0.37
,,2006 - 2007,1.06
,,2007 - 2008,0.53
,,2008 - 2009,0.23
,,2009 - 2010,0.16
,,2010 - 2011,0.61
,,2011 - 2012,0.35
,,2012 - 2013,0.26
,,2013 - 2014,0.38
,,2014 - 2015,0.33
,,2015 - 2016,0.45
,,2016 - 2017,0.14
,,2017 - 2018,0.46
,,2018 - 2019,0.46
,,2019 - 2020,0.55
,,2020 - 2021,0.73
,,2021 - 2022,0.73
,,2022 - 2023,0.73
,Lahul and spiti,2000 - 2001,1.45
,,2001 - 2002,1.33
,,2002 - 2003,0.04
,,2005 - 2006,1.35
,,2008 - 2009,1.49
,,2009 - 2010,1.84
,,2010 - 2011,1.17
,,2011 - 2012,4.2
,,2012 - 2013,1.92
,,2014 - 2015,0.85
,,2015 - 2016,0.48
,,2016 - 2017,1.63
,,2017 - 2018,0.48
,,2018 - 2019,0.42
,,2019 - 2020,0.53
,,2020 - 2021,0.75
,Mandi,2000 - 2001,0.15
,,2001 - 2002,0.12
,,2002 - 2003,0.21
,,2005 - 2006,0.23
,,2006 - 2007,0.29
,,2007 - 2008,0.29
,,2008 - 2009,0.05
,,2009 - 2010,0.04
,,2010 - 2011,0.61
,,2011 - 2012,0.08
,,2012 - 2013,0.06
,,2013 - 2014,0.49
,,2014 - 2015,0.4
,,2015 - 2016,0.56
,,2016 - 2017,0.03
,,2017 - 2018,0.55
,,2018 - 2019,0.53
,,2019 - 2020,0.57
,,2020 - 2021,0.34
,,2021 - 2022,0.34
,,2022 - 2023,0.36
,Shimla,2000 - 2001,0.29
,,2001 - 2002,0.44
,,2002 - 2003,0.48
,,2005 - 2006,0.19
,,2006 - 2007,0.36
,,2007 - 2008,0.34
,,2008 - 2009,0.1
,,2009 - 2010,0.07
,,2010 - 2011,0.6
,,2011 - 2012,0.16
,,2012 - 2013,0.13
,,2013 - 2014,0.58
,,2014 - 2015,0.43
,,2015 - 2016,0.49
,,2016 - 2017,0.07
,,2017 - 2018,0.49
,,2018 - 2019,0.49
,,2019 - 2020,0.52
,,2020 - 2021,1.12
,,2021 - 2022,1.12
,,2022 - 2023,1.12
,Sirmaur,2000 - 2001,0.34
,,2001 - 2002,0.52
,,2002 - 2003,0.25
,,2005 - 2006,0.08
,,2006 - 2007,0.31
,,2007 - 2008,0.2
,,2008 - 2009,0.04
,,2009 - 2010,0.03
,,2010 - 2011,0.51
,,2011 - 2012,0.06
,,2012 - 2013,0.05
,,2013 - 2014,0.59
,,2014 - 2015,0.25
,,2015 - 2016,0.5
,,2016 - 2017,0.03
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.51
,,2020 - 2021,0.74
,,2021 - 2022,0.64
,,2022 - 2023,0.74
,Solan,2000 - 2001,0.46
,,2001 - 2002,0.7
,,2002 - 2003,0.3
,,2005 - 2006,0.07
,,2006 - 2007,0.1
,,2007 - 2008,0.31
,,2008 - 2009,0.19
,,2009 - 2010,0.17
,,2010 - 2011,0.56
,,2011 - 2012,0.46
,,2012 - 2013,0.28
,,2013 - 2014,0.65
,,2014 - 2015,0.21
,,2015 - 2016,0.61
,,2016 - 2017,0.15
,,2017 - 2018,0.59
,,2018 - 2019,0.59
,,2019 - 2020,0.58
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Una,2000 - 2001,0.47
,,2001 - 2002,0.7
,,2002 - 2003,0.58
,,2005 - 2006,0.3
,,2006 - 2007,0.62
,,2007 - 2008,0.9
,,2008 - 2009,0.58
,,2009 - 2010,0.62
,,2010 - 2011,0.05
,,2011 - 2012,3.7
,,2012 - 2013,1.03
,,2013 - 2014,0.79
,,2014 - 2015,0.4
,,2015 - 2016,0.65
,,2016 - 2017,0.54
,,2017 - 2018,0.61
,,2018 - 2019,0.61
,,2019 - 2020,0.62
,,2020 - 2021,1.31
,,2021 - 2022,1.31
,,2022 - 2023,1.33
Jammu and Kashmir,Anantnag,2000 - 2001,0.37
,,2001 - 2002,0.58
,,2002 - 2003,0.3
,,2003 - 2004,0.66
,,2006 - 2007,0.79
,,2007 - 2008,0.79
,,2008 - 2009,0.9
,,2009 - 2010,0.9
,,2010 - 2011,0.9
,,2011 - 2012,0.79
,,2012 - 2013,0.73
,,2013 - 2014,0.73
,,2015 - 2016,0.79
,,2016 - 2017,0.46
,,2017 - 2018,1.24
,,2018 - 2019,1.0
,,2019 - 2020,0.56
,,2020 - 2021,0.58
,,2021 - 2022,0.68
,,2022 - 2023,0.8
,Badgam,2000 - 2001,0.4
,,2001 - 2002,0.67
,,2002 - 2003,0.65
,,2003 - 2004,0.72
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.37
,,2009 - 2010,0.54
,,2010 - 2011,0.6
,,2011 - 2012,1.17
,,2012 - 2013,1.11
,,2013 - 2014,0.62
,,2015 - 2016,0.64
,,2016 - 2017,0.59
,,2017 - 2018,0.77
,,2018 - 2019,1.08
,,2019 - 2020,0.93
,,2020 - 2021,0.97
,,2021 - 2022,1.0
,,2022 - 2023,1.06
,Bandipora,2007 - 2008,0.43
,,2008 - 2009,0.93
,,2009 - 2010,0.27
,,2010 - 2011,0.28
,,2011 - 2012,0.75
,,2012 - 2013,1.1
,,2013 - 2014,1.1
,,2015 - 2016,0.58
,,2016 - 2017,0.93
,,2017 - 2018,1.03
,,2018 - 2019,2.46
,,2019 - 2020,1.14
,,2020 - 2021,1.06
,,2021 - 2022,1.02
,,2022 - 2023,1.04
,Baramulla,2000 - 2001,0.68
,,2001 - 2002,0.36
,,2002 - 2003,0.37
,,2003 - 2004,0.42
,,2006 - 2007,0.43
,,2007 - 2008,0.43
,,2008 - 2009,0.93
,,2009 - 2010,0.69
,,2010 - 2011,0.79
,,2011 - 2012,1.35
,,2012 - 2013,2.05
,,2013 - 2014,2.05
,,2015 - 2016,0.66
,,2016 - 2017,1.2
,,2017 - 2018,0.87
,,2018 - 2019,1.28
,,2019 - 2020,0.8
,,2020 - 2021,1.65
,,2021 - 2022,0.78
,,2022 - 2023,0.88
,Doda,2000 - 2001,0.45
,,2001 - 2002,0.3
,,2002 - 2003,0.36
,,2003 - 2004,0.58
,,2006 - 2007,0.46
,,2007 - 2008,0.46
,,2008 - 2009,0.61
,,2009 - 2010,0.81
,,2010 - 2011,0.55
,,2011 - 2012,0.59
,,2012 - 2013,0.96
,,2013 - 2014,0.96
,,2015 - 2016,0.36
,,2016 - 2017,0.33
,,2017 - 2018,0.4
,,2018 - 2019,0.65
,,2019 - 2020,0.93
,,2020 - 2021,0.37
,,2021 - 2022,1.93
,,2022 - 2023,1.14
,Ganderbal,2007 - 2008,0.42
,,2008 - 2009,3.56
,,2009 - 2010,0.34
,,2010 - 2011,0.52
,,2011 - 2012,0.57
,,2012 - 2013,0.72
,,2013 - 2014,0.72
,,2015 - 2016,1.02
,,2016 - 2017,0.96
,,2017 - 2018,1.09
,,2018 - 2019,1.07
,,2019 - 2020,1.17
,,2020 - 2021,0.7
,,2021 - 2022,0.93
,,2022 - 2023,0.92
,Jammu,2000 - 2001,0.29
,,2001 - 2002,0.82
,,2002 - 2003,0.63
,,2003 - 2004,0.18
,,2006 - 2007,0.49
,,2007 - 2008,0.49
,,2008 - 2009,0.8
,,2009 - 2010,0.9
,,2010 - 2011,1.38
,,2011 - 2012,1.1
,,2012 - 2013,1.14
,,2013 - 2014,1.14
,,2015 - 2016,0.64
,,2016 - 2017,0.88
,,2017 - 2018,1.18
,,2018 - 2019,1.09
,,2019 - 2020,0.86
,,2020 - 2021,0.63
,,2021 - 2022,0.79
,,2022 - 2023,0.88
,Kathua,2000 - 2001,0.36
,,2001 - 2002,1.31
,,2002 - 2003,1.33
,,2003 - 2004,0.25
,,2005 - 2006,
,,2006 - 2007,0.24
,,2007 - 2008,0.24
,,2008 - 2009,0.17
,,2009 - 2010,0.41
,,2010 - 2011,0.65
,,2011 - 2012,0.77
,,2012 - 2013,0.59
,,2013 - 2014,0.59
,,2015 - 2016,0.3
,,2016 - 2017,0.29
,,2017 - 2018,0.3
,,2018 - 2019,0.68
,,2019 - 2020,0.4
,,2020 - 2021,0.31
,,2021 - 2022,0.45
,,2022 - 2023,0.68
,Kishtwar,2007 - 2008,0.46
,,2008 - 2009,0.61
,,2009 - 2010,0.54
,,2010 - 2011,0.64
,,2011 - 2012,0.63
,,2012 - 2013,0.69
,,2013 - 2014,0.69
,,2015 - 2016,0.44
,,2016 - 2017,0.38
,,2017 - 2018,0.43
,,2018 - 2019,0.6
,,2019 - 2020,0.86
,,2020 - 2021,0.58
,,2021 - 2022,0.79
,,2022 - 2023,0.84
,Kulgam,2007 - 2008,0.79
,,2008 - 2009,0.9
,,2009 - 2010,1.57
,,2010 - 2011,1.33
,,2011 - 2012,0.72
,,2012 - 2013,0.7
,,2013 - 2014,0.7
,,2015 - 2016,0.45
,,2016 - 2017,0.48
,,2017 - 2018,0.55
,,2018 - 2019,1.55
,,2019 - 2020,0.47
,,2020 - 2021,0.35
,,2021 - 2022,0.54
,,2022 - 2023,0.97
,Kupwara,2000 - 2001,0.39
,,2001 - 2002,0.52
,,2002 - 2003,0.7
,,2003 - 2004,0.42
,Leh ladakh,2000 - 2001,0.7
,,2001 - 2002,1.03
,,2002 - 2003,1.03
,,2003 - 2004,1.03
,,2006 - 2007,1.11
,,2007 - 2008,1.11
,,2008 - 2009,1.13
,,2009 - 2010,1.13
,,2010 - 2011,1.13
,,2011 - 2012,1.13
,,2012 - 2013,1.13
,,2013 - 2014,1.13
,,2015 - 2016,1.13
,,2016 - 2017,1.13
,,2017 - 2018,1.13
,,2018 - 2019,1.13
,Poonch,2000 - 2001,0.08
,,2001 - 2002,0.59
,,2002 - 2003,0.44
,,2003 - 2004,0.16
,,2006 - 2007,0.44
,,2007 - 2008,0.44
,,2008 - 2009,0.31
,,2009 - 2010,0.5
,,2010 - 2011,0.2
,,2011 - 2012,0.84
,,2012 - 2013,0.95
,,2013 - 2014,0.95
,,2015 - 2016,0.44
,,2016 - 2017,0.38
,,2017 - 2018,2.79
,,2018 - 2019,0.6
,,2019 - 2020,0.86
,,2020 - 2021,1.45
,,2021 - 2022,0.79
,,2022 - 2023,0.84
,Pulwama,2000 - 2001,0.36
,,2001 - 2002,0.5
,,2002 - 2003,0.33
,,2003 - 2004,1.01
,,2006 - 2007,0.71
,,2007 - 2008,0.71
,,2008 - 2009,0.93
,,2009 - 2010,0.76
,,2010 - 2011,0.78
,,2011 - 2012,0.94
,,2012 - 2013,0.78
,,2013 - 2014,0.78
,,2015 - 2016,0.51
,,2016 - 2017,0.58
,,2017 - 2018,0.56
,,2018 - 2019,1.42
,,2019 - 2020,1.22
,,2020 - 2021,0.76
,,2021 - 2022,0.74
,,2022 - 2023,0.87
,Rajauri,2000 - 2001,0.46
,,2001 - 2002,0.35
,,2002 - 2003,0.43
,,2003 - 2004,0.29
,,2006 - 2007,0.7
,,2007 - 2008,0.7
,,2008 - 2009,0.83
,,2009 - 2010,0.46
,,2010 - 2011,0.6
,,2011 - 2012,0.6
,,2012 - 2013,0.97
,,2013 - 2014,0.97
,,2015 - 2016,0.44
,,2016 - 2017,0.27
,,2017 - 2018,0.43
,,2018 - 2019,0.35
,,2019 - 2020,0.87
,,2020 - 2021,0.7
,,2021 - 2022,0.77
,,2022 - 2023,0.74
,Ramban,2007 - 2008,0.46
,,2008 - 2009,0.61
,,2009 - 2010,0.24
,,2010 - 2011,0.61
,,2011 - 2012,0.63
,,2012 - 2013,0.52
,,2013 - 2014,0.52
,,2015 - 2016,0.63
,,2017 - 2018,0.68
,,2018 - 2019,0.6
,,2019 - 2020,0.86
,,2020 - 2021,0.57
,,2021 - 2022,0.79
,,2022 - 2023,0.84
,Reasi,2007 - 2008,0.73
,,2008 - 2009,0.85
,,2009 - 2010,0.27
,,2010 - 2011,0.82
,,2011 - 2012,0.22
,,2012 - 2013,0.27
,,2013 - 2014,0.27
,,2015 - 2016,0.44
,,2016 - 2017,0.38
,,2017 - 2018,0.43
,,2018 - 2019,0.6
,,2019 - 2020,0.85
,,2020 - 2021,0.58
,,2021 - 2022,0.79
,,2022 - 2023,0.56
,Samba,2007 - 2008,0.49
,,2008 - 2009,0.8
,,2009 - 2010,0.1
,,2010 - 2011,0.58
,,2011 - 2012,0.67
,,2012 - 2013,0.45
,,2013 - 2014,0.45
,,2015 - 2016,0.44
,,2016 - 2017,0.13
,,2017 - 2018,0.43
,,2018 - 2019,0.6
,,2019 - 2020,0.85
,,2020 - 2021,0.58
,,2021 - 2022,0.79
,,2022 - 2023,0.99
,Shopian,2007 - 2008,0.71
,,2008 - 2009,0.93
,,2009 - 2010,0.84
,,2010 - 2011,1.45
,,2011 - 2012,1.24
,,2012 - 2013,1.29
,,2013 - 2014,1.29
,,2015 - 2016,0.66
,,2016 - 2017,0.84
,,2017 - 2018,0.92
,,2018 - 2019,0.9
,,2019 - 2020,0.81
,,2020 - 2021,0.67
,,2021 - 2022,0.79
,,2022 - 2023,0.88
,Srinagar,2000 - 2001,0.6
,,2001 - 2002,0.66
,,2002 - 2003,0.46
,,2003 - 2004,0.43
,,2006 - 2007,0.42
,,2007 - 2008,0.42
,,2008 - 2009,3.56
,,2009 - 2010,0.83
,,2010 - 2011,0.88
,,2011 - 2012,0.9
,,2012 - 2013,1.26
,,2013 - 2014,1.26
,,2015 - 2016,0.66
,,2016 - 2017,1.0
