state,district,year,sesamum_kharif_yield_tonne_per_hectare
Andaman and Nicobar Islands,North and middle andaman,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South andamans,2011 - 2012,
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,0.17
,Anakapalli,2022 - 2023,0.06
,Anantapur,2000 - 2001,0.2
,,2001 - 2002,
,,2017 - 2018,0.22
,,2018 - 2019,0.0
,,2019 - 2020,
,,2020 - 2021,0.25
,,2021 - 2022,0.17
,,2022 - 2023,0.36
,Annamayya,2022 - 2023,0.35
,Bapatla,2022 - 2023,0.05
,Chittoor,2000 - 2001,0.23
,,2001 - 2002,0.17
,,2002 - 2003,0.09
,,2003 - 2004,0.29
,,2004 - 2005,0.1
,,2005 - 2006,0.17
,,2006 - 2007,0.26
,,2008 - 2009,0.19
,,2009 - 2010,0.25
,,2010 - 2011,0.17
,,2011 - 2012,0.23
,,2013 - 2014,0.45
,,2014 - 2015,0.28
,,2015 - 2016,0.63
,,2016 - 2017,0.23
,,2017 - 2018,0.25
,,2018 - 2019,0.27
,,2019 - 2020,0.24
,,2020 - 2021,0.2
,,2021 - 2022,0.2
,,2022 - 2023,0.33
,East godavari,2000 - 2001,0.16
,,2001 - 2002,0.25
,,2002 - 2003,0.05
,,2003 - 2004,0.17
,,2004 - 2005,0.1
,,2005 - 2006,0.17
,,2006 - 2007,0.26
,,2007 - 2008,0.0
,,2008 - 2009,0.19
,,2009 - 2010,0.25
,,2010 - 2011,0.17
,,2011 - 2012,0.23
,,2012 - 2013,
,,2013 - 2014,0.45
,,2014 - 2015,0.27
,,2015 - 2016,0.21
,,2016 - 2017,0.17
,,2017 - 2018,0.19
,,2018 - 2019,0.24
,,2019 - 2020,0.24
,,2020 - 2021,0.23
,,2021 - 2022,0.22
,,2022 - 2023,
,Eluru,2022 - 2023,0.18
,Guntur,2000 - 2001,0.23
,,2001 - 2002,0.17
,,2002 - 2003,0.1
,,2003 - 2004,0.29
,,2004 - 2005,0.38
,,2005 - 2006,0.12
,,2006 - 2007,0.28
,,2007 - 2008,0.5
,,2008 - 2009,0.36
,,2009 - 2010,0.55
,,2010 - 2011,0.12
,,2011 - 2012,0.45
,,2012 - 2013,0.5
,,2013 - 2014,0.78
,,2014 - 2015,0.3
,,2015 - 2016,0.15
,,2016 - 2017,0.43
,,2017 - 2018,0.38
,,2018 - 2019,0.44
,,2019 - 2020,0.46
,,2020 - 2021,0.34
,,2021 - 2022,0.29
,,2022 - 2023,0.18
,Kadapa,2000 - 2001,0.23
,,2001 - 2002,0.16
,,2002 - 2003,0.1
,,2003 - 2004,0.29
,,2004 - 2005,0.09
,,2005 - 2006,0.17
,,2006 - 2007,0.25
,,2007 - 2008,
,,2008 - 2009,0.2
,,2009 - 2010,0.25
,,2010 - 2011,0.17
,,2011 - 2012,0.24
,,2012 - 2013,
,,2013 - 2014,0.47
,,2014 - 2015,0.27
,,2015 - 2016,0.63
,,2016 - 2017,0.21
,,2017 - 2018,0.33
,,2018 - 2019,0.29
,,2019 - 2020,0.21
,,2020 - 2021,0.2
,,2021 - 2022,0.13
,,2022 - 2023,0.33
,Kakinada,2022 - 2023,0.17
,Konaseema,2022 - 2023,
,Krishna,2000 - 2001,0.23
,,2001 - 2002,0.17
,,2002 - 2003,0.1
,,2003 - 2004,0.29
,,2004 - 2005,0.09
,,2005 - 2006,0.17
,,2006 - 2007,0.26
,,2008 - 2009,0.2
,,2009 - 2010,0.25
,,2010 - 2011,0.17
,,2011 - 2012,0.22
,,2012 - 2013,
,,2013 - 2014,0.45
,,2014 - 2015,0.27
,,2015 - 2016,0.18
,,2016 - 2017,0.23
,,2017 - 2018,0.21
,,2018 - 2019,0.27
,,2019 - 2020,
,,2020 - 2021,0.22
,,2021 - 2022,0.2
,,2022 - 2023,
,Kurnool,2000 - 2001,0.23
,,2001 - 2002,0.17
,,2002 - 2003,0.1
,,2003 - 2004,0.29
,,2004 - 2005,0.1
,,2005 - 2006,0.17
,,2006 - 2007,0.26
,,2008 - 2009,0.2
,,2009 - 2010,0.24
,,2010 - 2011,0.17
,,2011 - 2012,0.21
,,2013 - 2014,0.45
,,2014 - 2015,0.27
,,2015 - 2016,0.64
,,2016 - 2017,0.24
,,2017 - 2018,0.25
,,2018 - 2019,
,,2019 - 2020,0.25
,,2020 - 2021,0.0
,,2021 - 2022,0.2
,,2022 - 2023,0.35
,Nandyal,2022 - 2023,
,Ntr,2022 - 2023,0.25
,Palnadu,2022 - 2023,0.21
,Parvathipuram manyam,2022 - 2023,0.17
,Prakasam,2000 - 2001,0.18
,,2001 - 2002,0.08
,,2002 - 2003,0.04
,,2003 - 2004,0.35
,,2004 - 2005,0.02
,,2005 - 2006,0.37
,,2006 - 2007,0.36
,,2007 - 2008,0.53
,,2008 - 2009,0.52
,,2009 - 2010,0.2
,,2010 - 2011,0.11
,,2011 - 2012,0.59
,,2012 - 2013,0.33
,,2013 - 2014,0.63
,,2014 - 2015,0.19
,,2015 - 2016,0.14
,,2016 - 2017,0.17
,,2017 - 2018,0.25
,,2018 - 2019,0.26
,,2019 - 2020,0.42
,,2020 - 2021,0.14
,,2021 - 2022,0.2
,,2022 - 2023,0.19
,Spsr nellore,2000 - 2001,0.23
,,2001 - 2002,0.17
,,2002 - 2003,0.1
,,2003 - 2004,0.29
,,2004 - 2005,0.1
,,2005 - 2006,0.17
,,2006 - 2007,0.18
,,2007 - 2008,0.33
,,2008 - 2009,0.39
,,2009 - 2010,0.41
,,2010 - 2011,0.41
,,2011 - 2012,0.23
,,2012 - 2013,0.0
,,2013 - 2014,0.19
,,2014 - 2015,0.15
,,2015 - 2016,0.33
,,2016 - 2017,0.51
,,2017 - 2018,0.09
,,2018 - 2019,0.14
,,2019 - 2020,0.63
,,2020 - 2021,0.39
,,2021 - 2022,0.31
,,2022 - 2023,0.18
,Sri sathya sai,2022 - 2023,0.35
,Srikakulam,2000 - 2001,0.23
,,2001 - 2002,0.17
,,2002 - 2003,0.1
,,2003 - 2004,0.29
,,2004 - 2005,0.1
,,2005 - 2006,0.17
,,2006 - 2007,0.12
,,2007 - 2008,0.0
,,2008 - 2009,0.1
,,2009 - 2010,0.13
,,2010 - 2011,0.16
,,2011 - 2012,0.23
,,2012 - 2013,0.0
,,2013 - 2014,0.21
,,2014 - 2015,0.14
,,2015 - 2016,0.13
,,2016 - 2017,0.14
,,2017 - 2018,0.14
,,2018 - 2019,0.15
,,2019 - 2020,0.16
,,2020 - 2021,0.14
,,2021 - 2022,0.17
,,2022 - 2023,0.17
,Tirupati,2022 - 2023,0.35
,Visakhapatanam,2000 - 2001,0.27
,,2001 - 2002,0.15
,,2002 - 2003,0.12
,,2003 - 2004,0.15
,,2004 - 2005,0.26
,,2005 - 2006,0.15
,,2006 - 2007,0.17
,,2007 - 2008,0.2
,,2008 - 2009,0.23
,,2009 - 2010,0.17
,,2010 - 2011,0.17
,,2011 - 2012,0.19
,,2012 - 2013,0.25
,,2013 - 2014,0.25
,,2014 - 2015,0.26
,,2015 - 2016,0.16
,,2016 - 2017,0.18
,,2017 - 2018,0.18
,,2018 - 2019,0.18
,,2019 - 2020,0.11
,,2020 - 2021,0.22
,,2021 - 2022,0.1
,,2022 - 2023,0.19
,Vizianagaram,2000 - 2001,0.27
,,2001 - 2002,0.17
,,2002 - 2003,0.11
,,2003 - 2004,0.16
,,2004 - 2005,0.12
,,2005 - 2006,0.13
,,2006 - 2007,0.18
,,2007 - 2008,0.08
,,2008 - 2009,0.1
,,2009 - 2010,0.26
,,2010 - 2011,0.12
,,2011 - 2012,0.12
,,2012 - 2013,0.22
,,2013 - 2014,0.16
,,2014 - 2015,0.29
,,2015 - 2016,0.2
,,2016 - 2017,0.17
,,2017 - 2018,0.17
,,2018 - 2019,0.27
,,2019 - 2020,0.14
,,2020 - 2021,0.2
,,2021 - 2022,0.16
,,2022 - 2023,0.18
,West godavari,2000 - 2001,0.22
,,2001 - 2002,0.14
,,2002 - 2003,0.08
,,2003 - 2004,0.3
,,2004 - 2005,
,,2005 - 2006,0.17
,,2006 - 2007,0.26
,,2007 - 2008,
,,2008 - 2009,0.21
,,2009 - 2010,0.25
,,2010 - 2011,0.16
,,2011 - 2012,0.25
,,2012 - 2013,
,,2013 - 2014,0.42
,,2014 - 2015,0.28
,,2015 - 2016,0.17
,,2016 - 2017,0.25
,,2017 - 2018,0.23
,,2018 - 2019,0.3
,,2019 - 2020,
,,2020 - 2021,0.0
,,2021 - 2022,0.22
Arunachal Pradesh,Anjaw,2016 - 2017,0.18
,,2017 - 2018,0.28
,,2018 - 2019,0.28
,,2019 - 2020,0.28
,,2020 - 2021,0.32
,,2021 - 2022,0.35
,,2022 - 2023,0.37
,Changlang,2016 - 2017,0.43
,,2017 - 2018,0.87
,,2018 - 2019,0.55
,,2019 - 2020,0.55
,,2020 - 2021,0.56
,,2021 - 2022,0.74
,,2022 - 2023,0.76
,Dibang valley,2016 - 2017,0.43
,,2017 - 2018,0.79
,,2018 - 2019,0.79
,,2019 - 2020,0.79
,,2020 - 2021,0.85
,,2021 - 2022,0.88
,,2022 - 2023,0.93
,East kameng,2016 - 2017,0.69
,,2017 - 2018,0.81
,,2018 - 2019,0.81
,,2019 - 2020,0.81
,,2020 - 2021,0.81
,,2021 - 2022,0.82
,,2022 - 2023,0.82
,East siang,2016 - 2017,1.29
,,2017 - 2018,0.92
,,2018 - 2019,0.91
,,2019 - 2020,0.91
,,2020 - 2021,0.91
