feature,unweighted_avg_rank,weighted_avg_rank,unweighted_rank,weighted_rank
water_retention_index,3.3333333333333335,3.3381034889182275,1,1
swvl1_rabi_std,5.0,5.009030178932006,2,2
runoff_ratio_zaid_mean,6.333333333333333,6.259051372926153,3,3
humidity_stress_index,7.0,7.01959075457736,4,4
runoff_ratio_rabi_mean,8.0,7.9751289575999635,5,5
GDD_rabi,8.0,8.032370824618697,5,6
humidity_variability,9.0,8.979299498224648,7,7
GDD_kharif,9.333333333333334,9.321152878252207,8,8
tp_kharif_fraction,10.666666666666666,10.790690711873921,9,9
tp_zaid_mean,11.666666666666666,11.819311645383285,10,10
tp_kharif_std,12.666666666666666,12.67092669001378,11,11
soil_air_diff_kharif_std,13.0,12.909277561164581,12,12
e_kharif_mean,13.333333333333334,13.400204994244282,13,13
e_rabi_std,14.333333333333334,14.263221913550838,14,14
e_zaid_std,15.666666666666666,15.642726406019769,15,15
swvl1_zaid_std,16.333333333333332,16.35241395567291,16,16
e_kharif_std,16.666666666666668,16.537272850914313,17,17
swvl1_rabi_mean,18.0,17.922057631205917,18,18
soil_air_diff_rabi_std,18.666666666666668,18.777069342801873,19,19
soil_moisture_seasonality,19.333333333333332,19.37839474527094,20,20
cvh,19.333333333333332,19.388534671400937,20,21
runoff_ratio_kharif_mean,19.666666666666668,19.60618504077639,22,22
swvl1_amplitude,22.0,22.012780070041337,23,23
e_zaid_mean,22.0,22.05571147030539,23,24
t2m_amplitude,23.666666666666668,23.654396728863112,25,25
swvl1_kharif_mean,25.666666666666668,25.629525686463076,26,26
soil_air_diff_rabi_mean,26.0,26.082802007101407,27,27
tp_kharif_mean,27.0,26.93900824187194,28,28
swvl1_stability,27.666666666666668,27.71760798138716,29,29
t2m_peak_cos,28.0,27.914137199471906,30,30
e_rabi_mean,28.0,28.002640143911336,30,31
heat_months_35C,28.333333333333332,28.223619754880765,32,32
soil_air_diff_kharif_mean,31.333333333333332,31.33810348891823,33,33
soil_air_diff_zaid_mean,32.333333333333336,32.36144413460492,34,34
heat_months_30C,33.333333333333336,33.33810348891823,35,35
t2m_peak_sin,35.333333333333336,35.33810348891823,36,36
