feature,unweighted_avg_rank,weighted_avg_rank,unweighted_rank,weighted_rank
e_kharif_mean,4.666666666666667,4.686314003208111,1,1
GDD_kharif,6.333333333333333,6.346199815145244,2,2
swvl1_amplitude,6.666666666666667,6.673708470280859,3,3
water_retention_index,6.666666666666667,6.703396614474279,3,4
soil_moisture_seasonality,9.333333333333334,9.356805376002052,5,5
e_zaid_std,10.0,9.936538056601233,6,6
e_kharif_std,10.333333333333334,10.28478069925244,7,7
humidity_variability,10.666666666666666,10.643628902760454,8,8
runoff_ratio_zaid_mean,11.0,10.97274610663953,9,9
e_rabi_std,11.666666666666666,11.66966567070445,10,10
humidity_stress_index,11.666666666666666,11.693225332379978,10,11
e_rabi_mean,12.333333333333334,12.388102068938931,12,12
e_zaid_mean,13.666666666666666,13.67457702780587,13,13
swvl1_rabi_mean,13.666666666666666,13.683879752375162,13,14
runoff_ratio_rabi_mean,14.666666666666666,14.67779412529279,15,15
cvh,16.0,15.95040357038048,16,16
tp_kharif_fraction,16.666666666666668,16.675317019024323,17,17
t2m_amplitude,16.666666666666668,16.726173429495837,17,18
soil_air_diff_kharif_mean,18.666666666666668,18.71069936697313,19,19
swvl1_kharif_mean,21.666666666666668,21.682271203631707,20,20
swvl1_rabi_std,22.0,22.013431235016746,21,21
runoff_ratio_kharif_mean,22.333333333333332,22.31694594971433,22,22
tp_kharif_std,22.333333333333332,22.379147912261104,22,23
tp_zaid_mean,23.0,22.960966275801773,24,24
swvl1_zaid_std,23.666666666666668,23.6257205894048,25,25
swvl1_stability,23.666666666666668,23.65701728234168,25,26
t2m_peak_cos,24.333333333333332,24.266523818005318,27,27
GDD_rabi,24.666666666666668,24.658277263193675,28,28
soil_air_diff_zaid_mean,25.666666666666668,25.65784298443117,29,29
soil_air_diff_rabi_mean,25.666666666666668,25.671665642774897,29,30
tp_kharif_mean,26.0,26.022385391694574,31,31
soil_air_diff_rabi_std,29.666666666666668,29.66392861151354,32,32
heat_months_30C,30.666666666666668,30.639151824421546,33,33
soil_air_diff_kharif_std,31.333333333333332,31.3230315767967,34,34
t2m_peak_sin,32.333333333333336,32.34337414098531,35,35
heat_months_35C,35.666666666666664,35.66436289027605,36,36
