feature,unweighted_avg_rank,weighted_avg_rank,unweighted_rank,weighted_rank
tp_kharif_std,1.6666666666666667,1.6380523888364171,1,1
humidity_variability,3.6666666666666665,3.643896790854737,2,2
runoff_ratio_rabi_mean,3.6666666666666665,3.744716964132988,2,3
t2m_amplitude,11.0,10.69955008278238,4,4
runoff_ratio_zaid_mean,11.666666666666666,11.358424213424621,8,5
tp_kharif_fraction,11.666666666666666,11.408467965322043,8,6
swvl1_rabi_std,11.333333333333334,11.416557831945596,5,7
swvl1_zaid_std,11.333333333333334,11.456923382423515,5,8
GDD_rabi,11.666666666666666,11.478055525891559,8,9
swvl1_rabi_mean,12.0,12.009132937769182,10,10
e_kharif_std,12.333333333333334,12.664408130998336,11,11
e_zaid_mean,12.666666666666666,12.686818207600112,12,12
tp_kharif_mean,14.0,14.005844402018319,13,13
e_zaid_std,14.0,14.19707387767191,13,14
e_kharif_mean,15.666666666666666,15.835126266508327,15,15
swvl1_stability,17.666666666666668,17.655585594891377,16,16
water_retention_index,17.666666666666668,17.774671643707993,16,17
runoff_ratio_kharif_mean,19.333333333333332,19.329437065321116,18,18
soil_moisture_seasonality,20.333333333333332,20.123230249880024,20,19
cvh,20.0,20.358348673750495,19,20
tp_zaid_mean,20.666666666666668,20.40390149643745,21,21
swvl1_kharif_mean,20.666666666666668,20.48134406164242,21,22
humidity_stress_index,21.333333333333332,21.384047286103133,23,23
soil_air_diff_kharif_std,22.333333333333332,22.229894825176597,24,24
swvl1_amplitude,22.666666666666668,22.42727910451073,25,25
e_rabi_mean,24.333333333333332,24.181129006412903,26,26
e_rabi_std,24.333333333333332,24.467334253326428,26,27
t2m_peak_sin,24.666666666666668,24.837682132775782,28,28
GDD_kharif,26.0,25.865391347745557,30,29
t2m_peak_cos,25.666666666666668,26.024345139544785,29,30
soil_air_diff_zaid_mean,26.333333333333332,26.37363641520022,31,31
soil_air_diff_rabi_std,27.666666666666668,27.561342493114854,33,32
heat_months_30C,27.333333333333332,27.6623975283812,32,33
soil_air_diff_rabi_mean,31.333333333333332,31.276104777672835,34,34
soil_air_diff_kharif_mean,31.333333333333332,31.33984793622403,34,35
heat_months_35C,36.0,36.0,36,36
