crop,n_common_features,weight_random_forest,weight_knn,weight_xgboost,spearman_random_forest_vs_knn,spearman_random_forest_vs_knn_pval,spearman_random_forest_vs_xgboost,spearman_random_forest_vs_xgboost_pval,spearman_knn_vs_xgboost,spearman_knn_vs_xgboost_pval,spearman_mean,topk_random_forest_vs_knn,topk_random_forest_vs_xgboost,topk_knn_vs_xgboost,topk_all3_count
mesta,36,0.3297,0.335,0.3352,0.7302,0.0,0.7887,0.0,0.6036,0.0001,0.7075,7,7,5,5
turmeric,36,0.3277,0.3375,0.3347,0.5951,0.0001,0.8358,0.0,0.5961,0.0001,0.6757,6,7,7,6
other_oilseeds,36,0.3358,0.3301,0.3341,0.6031,0.0001,0.7127,0.0,0.5498,0.0005,0.6219,7,8,7,6
small_millets,36,0.3231,0.3398,0.3371,0.4579,0.005,0.7462,0.0,0.5683,0.0003,0.5908,6,6,6,4
castorseed,36,0.3355,0.3381,0.3264,0.5315,0.0009,0.8257,0.0,0.3565,0.0328,0.5712,5,6,5,3
sesamum,36,0.3302,0.3395,0.3303,0.4844,0.0028,0.6183,0.0001,0.5241,0.001,0.5423,3,6,7,3
sweet_potato,36,0.3242,0.3408,0.3349,0.4113,0.0127,0.669,0.0,0.5269,0.001,0.5357,3,5,5,2
linseed,36,0.3351,0.3248,0.3401,0.5176,0.0012,0.6952,0.0,0.3807,0.022,0.5312,8,5,4,4
garlic,36,0.3345,0.3318,0.3337,0.4139,0.0121,0.7241,0.0,0.4335,0.0083,0.5238,5,8,6,4
arhar_tur,36,0.2917,0.3517,0.3566,0.3598,0.0311,0.7408,0.0,0.4692,0.0039,0.5233,3,6,5,3
other_rabi_pulses,36,0.3188,0.3438,0.3374,0.5019,0.0018,0.5835,0.0002,0.4708,0.0038,0.5187,6,7,4,4
moong,36,0.2886,0.3545,0.3569,0.4705,0.0038,0.6208,0.0001,0.4602,0.0047,0.5172,3,6,6,3
other_kharif_pulses,36,0.3067,0.345,0.3483,0.4831,0.0028,0.5637,0.0003,0.4685,0.004,0.5051,7,8,7,6
tobacco,36,0.3386,0.3324,0.329,0.3882,0.0193,0.6641,0.0,0.4523,0.0056,0.5015,4,6,5,4
ragi,36,0.3323,0.3334,0.3343,0.3835,0.0209,0.6345,0.0,0.4546,0.0053,0.4909,4,6,5,3
maize,36,0.3218,0.3264,0.3518,0.2798,0.0984,0.7758,0.0,0.3097,0.0661,0.4551,5,7,5,4
coriander,36,0.3299,0.3356,0.3344,0.3192,0.0578,0.7413,0.0,0.2723,0.1081,0.4443,4,5,4,1
banana,36,0.3256,0.3395,0.3349,0.1789,0.2965,0.8221,0.0,0.3127,0.0633,0.4379,2,7,4,2
gram,36,0.2882,0.3625,0.3493,0.4855,0.0027,0.5851,0.0002,0.2288,0.1795,0.4331,6,6,6,4
urad,36,0.3152,0.3416,0.3432,0.3761,0.0238,0.4692,0.0039,0.4396,0.0073,0.4283,6,5,7,5
dry_chillies,36,0.3022,0.3425,0.3553,0.2952,0.0804,0.7156,0.0,0.2692,0.1123,0.4267,5,6,7,4
sannhamp,36,0.3418,0.3295,0.3286,0.3336,0.0468,0.643,0.0,0.3027,0.0727,0.4264,3,5,5,2
rapeseed_and_mustard,36,0.3276,0.3354,0.3369,0.366,0.0281,0.6196,0.0001,0.2852,0.0918,0.4236,5,7,6,5
peas_and_beans,36,0.3191,0.3401,0.3408,0.2121,0.2143,0.7866,0.0,0.2623,0.1222,0.4203,5,7,5,4
groundnut,36,0.3237,0.3342,0.3421,0.4507,0.0058,0.5212,0.0011,0.2705,0.1105,0.4141,6,6,4,4
niger_seed,36,0.3298,0.3321,0.3381,0.4239,0.01,0.5683,0.0003,0.2499,0.1415,0.414,6,7,5,4
sugarcane,36,0.3118,0.3435,0.3447,0.2965,0.0791,0.7923,0.0,0.1333,0.4382,0.4074,4,6,3,2
soyabean,36,0.3076,0.3399,0.3525,0.2633,0.1207,0.6347,0.0,0.3212,0.0561,0.4064,2,5,2,1
sunflower,36,0.3292,0.3345,0.3363,0.2947,0.081,0.7037,0.0,0.2139,0.2103,0.4041,5,5,3,3
other_cereals,36,0.339,0.3225,0.3385,0.1856,0.2785,0.7364,0.0,0.2749,0.1047,0.399,5,6,5,4
rice,36,0.3203,0.3425,0.3372,0.4206,0.0106,0.5274,0.0009,0.2396,0.1592,0.3959,5,3,3,2
horse_gram,36,0.3457,0.319,0.3353,0.1681,0.3271,0.5961,0.0001,0.4175,0.0113,0.3939,3,6,5,3
ginger,36,0.3287,0.3372,0.3342,0.3717,0.0256,0.5786,0.0002,0.2245,0.1882,0.3916,5,7,6,4
jowar,36,0.2934,0.3589,0.3477,0.1987,0.2453,0.5719,0.0003,0.3768,0.0235,0.3825,3,6,6,3
masoor,36,0.3237,0.3406,0.3357,0.2075,0.2247,0.7187,0.0,0.1815,0.2895,0.3692,4,6,5,4
wheat,36,0.3278,0.3361,0.3361,0.2046,0.2312,0.5665,0.0003,0.2958,0.0799,0.3556,3,4,5,2
cowpea_lobia,36,0.3318,0.3347,0.3335,0.0582,0.7361,0.7784,0.0,0.1784,0.2979,0.3383,2,7,2,2
bajra,36,0.3202,0.3349,0.3449,0.0523,0.7622,0.7166,0.0,0.2445,0.1506,0.3378,5,6,5,4
safflower,36,0.3212,0.3463,0.3325,0.0746,0.6653,0.6363,0.0,0.1982,0.2466,0.303,3,6,5,3
onion,36,0.3265,0.3363,0.3372,0.0739,0.6685,0.6965,0.0,0.1375,0.4241,0.3026,3,7,3,2
barley,36,0.3213,0.3393,0.3394,0.0288,0.8674,0.8232,0.0,0.0059,0.9727,0.286,4,6,5,4
potato,36,0.304,0.3505,0.3455,0.0981,0.5693,0.6764,0.0,0.0739,0.6685,0.2828,3,6,3,2
cotton,36,0.3252,0.3472,0.3277,0.2116,0.2154,0.592,0.0001,0.0371,0.8301,0.2802,4,5,3,2
