feature,unweighted_avg_rank,weighted_avg_rank,unweighted_rank,weighted_rank
runoff_ratio_rabi_mean,1.3333333333333333,1.3425322329419835,1,1
soil_moisture_seasonality,4.0,4.1061790293131315,2,2
water_retention_index,4.666666666666667,4.699914756794611,3,3
GDD_rabi,7.333333333333333,7.221502912718208,4,4
runoff_ratio_zaid_mean,8.333333333333334,8.08983106757446,5,5
cvh,8.666666666666666,8.321976505212639,6,6
e_zaid_std,8.666666666666666,8.789139612201762,6,7
t2m_amplitude,9.0,8.919313786517483,8,8
swvl1_amplitude,10.666666666666666,10.950512039166796,9,9
GDD_kharif,12.0,12.046654755727266,10,10
tp_kharif_fraction,14.333333333333334,14.544247766648276,11,11
tp_kharif_std,15.666666666666666,15.895318641514894,12,12
swvl1_stability,16.666666666666668,17.092703299287223,13,13
tp_zaid_mean,17.333333333333332,17.824545630841747,14,14
e_kharif_mean,18.333333333333332,18.31493553411603,15,15
swvl1_zaid_std,18.333333333333332,18.33832446695131,15,16
soil_air_diff_kharif_std,19.0,19.09974427038383,17,17
humidity_variability,19.333333333333332,19.19601009688759,18,18
swvl1_rabi_std,19.666666666666668,19.347469321043256,19,19
runoff_ratio_kharif_mean,20.0,20.110386795303803,20,20
e_rabi_std,22.0,21.889613204696193,21,21
soil_air_diff_rabi_std,22.666666666666668,22.18597378413493,23,22
humidity_stress_index,22.0,22.37162660259596,21,23
soil_air_diff_kharif_mean,23.0,22.698417085966582,24,24
soil_air_diff_zaid_mean,23.333333333333332,23.342532232941984,25,25
t2m_peak_cos,24.0,23.68368990499923,26,26
e_kharif_std,24.0,23.730344660726495,26,27
tp_kharif_mean,25.0,25.23785087445688,28,28
e_rabi_mean,25.666666666666668,25.394124076770524,30,29
e_zaid_mean,25.333333333333332,25.40626427251852,29,30
soil_air_diff_rabi_mean,26.0,26.335491261845377,31,31
heat_months_30C,27.0,26.83441980704429,32,32
swvl1_rabi_mean,27.333333333333332,27.20454873881223,33,33
swvl1_kharif_mean,27.666666666666668,27.818840194023046,34,34
t2m_peak_sin,32.0,31.957553010263403,35,35
heat_months_35C,35.666666666666664,35.657467767058016,36,36
