feature,unweighted_avg_rank,weighted_avg_rank,unweighted_rank,weighted_rank
e_kharif_std,2.3333333333333335,2.268280971773782,1,1
humidity_variability,3.6666666666666665,3.683567353308626,2,2
runoff_ratio_rabi_mean,4.666666666666667,4.533304708554043,3,3
e_zaid_mean,5.666666666666667,5.853373408024339,4,4
e_kharif_mean,6.333333333333333,6.380163646591338,5,5
swvl1_zaid_std,8.333333333333334,8.425058086515408,6,6
e_zaid_std,9.333333333333334,9.300146471723764,7,7
runoff_ratio_zaid_mean,9.666666666666666,9.63612252837627,8,8
swvl1_rabi_std,13.0,12.609685830642695,9,9
water_retention_index,13.666666666666666,13.533304708554041,11,10
tp_zaid_mean,13.333333333333334,13.737905466013425,10,11
cvh,14.333333333333334,13.833072362492405,13,12
soil_moisture_seasonality,14.0,14.050702059925875,12,13
swvl1_rabi_mean,14.666666666666666,14.533304708554043,14,14
t2m_peak_sin,15.333333333333334,15.633950961153385,15,15
e_rabi_std,17.666666666666668,17.57494191348459,16,16
GDD_kharif,19.666666666666668,19.8819816729808,17,17
GDD_rabi,20.0,20.169806054715714,19,18
tp_kharif_fraction,19.666666666666668,20.183213812475202,17,19
heat_months_30C,20.333333333333332,20.659301991116322,20,20
soil_air_diff_kharif_std,21.666666666666668,21.334890388881867,21,21
soil_air_diff_zaid_mean,21.666666666666668,21.498181973610535,21,22
tp_kharif_std,23.0,22.55176245074454,23,23
soil_air_diff_kharif_mean,23.0,23.04815167491759,23,24
swvl1_amplitude,23.333333333333332,23.238965856832085,25,25
swvl1_kharif_mean,24.0,24.214700494639782,26,26
t2m_amplitude,24.666666666666668,24.818250673080833,27,27
swvl1_stability,24.666666666666668,25.035501552728903,27,28
e_rabi_mean,25.333333333333332,25.373649176604292,29,29
soil_air_diff_rabi_mean,25.666666666666668,25.55865573851698,30,30
t2m_peak_cos,28.333333333333332,28.099181767043305,31,31
humidity_stress_index,28.333333333333332,28.22664376684323,31,32
soil_air_diff_rabi_std,29.666666666666668,29.51701853358643,33,33
tp_kharif_mean,30.333333333333332,30.383420881584858,34,34
runoff_ratio_kharif_mean,30.666666666666668,30.619836353408658,35,35
heat_months_35C,36.0,36.0,36,36
