feature,unweighted_avg_rank,weighted_avg_rank,unweighted_rank,weighted_rank
runoff_ratio_rabi_mean,3.6666666666666665,3.6183241303961333,1,1
tp_kharif_std,4.0,3.9830196661615584,2,2
e_rabi_std,4.333333333333333,4.3116396381553495,3,3
tp_kharif_mean,6.0,6.041030709686199,4,4
runoff_ratio_kharif_mean,9.0,9.10895204503997,5,5
e_zaid_mean,10.0,9.954014144399238,6,6
e_kharif_mean,10.333333333333334,10.321549929984482,7,7
GDD_kharif,11.333333333333334,11.559999957447747,8,8
cvh,11.666666666666666,11.585753005088927,9,9
soil_air_diff_kharif_mean,12.666666666666666,12.827043282372012,10,10
e_kharif_std,13.0,12.905188038978658,11,11
swvl1_zaid_std,14.666666666666666,14.606298942472256,12,12
runoff_ratio_zaid_mean,15.666666666666666,15.72939107153085,13,13
soil_moisture_seasonality,17.333333333333332,17.40995603764112,14,14
water_retention_index,18.333333333333332,18.230967761152634,15,15
GDD_rabi,18.666666666666668,18.638144714054395,17,16
t2m_amplitude,18.666666666666668,18.708180945502914,17,17
soil_air_diff_zaid_mean,18.666666666666668,18.735071571170486,17,18
soil_air_diff_rabi_mean,19.666666666666668,19.858163700229078,19,19
soil_air_diff_rabi_std,20.0,20.074327188718478,20,20
e_zaid_std,20.666666666666668,20.57729342070994,21,21
tp_zaid_mean,21.0,20.890322601234963,22,22
e_rabi_mean,21.0,21.074327188718478,22,23
swvl1_amplitude,21.333333333333332,21.457392600692025,24,24
t2m_peak_cos,22.0,21.84361139190913,25,25
swvl1_kharif_mean,24.0,24.22497413208925,26,26
swvl1_rabi_std,24.666666666666668,24.4937812938874,27,27
soil_air_diff_kharif_std,24.666666666666668,24.589318608633818,27,28
swvl1_rabi_mean,25.0,24.88609280904547,29,29
humidity_variability,25.333333333333332,25.322939472354157,30,30
humidity_stress_index,27.333333333333332,27.369650681679992,31,31
heat_months_30C,28.0,27.86838712148196,32,32
swvl1_stability,28.0,27.963924436228368,32,33
tp_kharif_fraction,28.333333333333332,28.318709680164666,34,34
t2m_peak_sin,31.666666666666668,31.59354840082331,35,35
heat_months_35C,35.333333333333336,35.318709680164666,36,36
