feature,unweighted_avg_rank,weighted_avg_rank,unweighted_rank,weighted_rank
water_retention_index,1.0,1.0,1,1
GDD_rabi,4.666666666666667,4.671549767008635,2,2
GDD_kharif,5.0,4.984625293179345,3,3
swvl1_rabi_std,6.666666666666667,6.67048179629528,4,4
swvl1_zaid_std,10.333333333333334,10.349890199173545,5,5
humidity_variability,10.333333333333334,10.367058282502306,5,6
swvl1_kharif_mean,10.666666666666666,10.637939006145864,7,7
soil_moisture_seasonality,11.333333333333334,11.364730920637523,8,8
e_kharif_mean,12.0,11.95566925604614,9,9
cvh,12.666666666666666,12.696576486207025,10,10
runoff_ratio_rabi_mean,13.0,13.088127502551043,11,11
humidity_stress_index,14.0,14.034678731576125,12,12
tp_kharif_std,14.333333333333334,14.409595649948063,13,13
t2m_peak_cos,16.0,15.914391279751811,14,14
runoff_ratio_zaid_mean,16.0,16.0620328126393,14,15
t2m_amplitude,16.333333333333332,16.279464765307942,16,16
tp_zaid_mean,17.333333333333332,17.278396794594585,17,17
tp_kharif_mean,18.0,17.90847716487082,19,18
soil_air_diff_rabi_mean,18.0,17.965855253780553,19,19
tp_kharif_fraction,18.0,17.989088596470836,19,20
heat_months_30C,19.333333333333332,19.265540870076784,21,21
e_rabi_std,19.666666666666668,19.644921091740212,22,22
e_zaid_std,20.0,19.99946601464332,23,23
swvl1_amplitude,22.0,22.049519453040105,24,24
soil_air_diff_zaid_mean,23.0,23.023767328046965,25,25
soil_air_diff_kharif_std,23.666666666666668,23.660829783917542,26,26
e_zaid_mean,24.0,24.004654723729566,27,27
e_kharif_std,24.0,24.073286781087067,27,28
runoff_ratio_kharif_mean,26.333333333333332,26.27107214408163,29,29
swvl1_rabi_mean,27.666666666666668,27.663691131139004,30,30
soil_air_diff_kharif_mean,28.0,27.991415958335622,31,31
e_rabi_mean,30.333333333333332,30.335774883504318,32,32
swvl1_stability,31.0,31.01644267753401,33,33
soil_air_diff_rabi_std,32.0,32.02949002248988,34,34
t2m_peak_sin,33.333333333333336,33.34149757794724,35,35
heat_months_35C,36.0,36.0,36,36
