state,district,year,castor_seed_kharif_yield_tonne_per_hectare
,,2020 - 2021,0.57
,,2021 - 2022,0.62
,,2022 - 2023,0.55
,Barpeta,2000 - 2001,0.55
,,2001 - 2002,0.6
,,2002 - 2003,0.6
,,2003 - 2004,0.55
,,2004 - 2005,0.55
,,2005 - 2006,0.56
,,2006 - 2007,0.53
,,2007 - 2008,0.59
,,2008 - 2009,0.59
,,2009 - 2010,0.57
,,2010 - 2011,0.59
,,2011 - 2012,0.71
,,2012 - 2013,0.79
,,2013 - 2014,0.64
,,2014 - 2015,0.77
,,2015 - 2016,0.62
,,2016 - 2017,0.62
,,2017 - 2018,0.67
,,2018 - 2019,0.44
,,2019 - 2020,0.42
,,2020 - 2021,0.45
,,2021 - 2022,0.33
,,2022 - 2023,0.36
,Biswanath,2020 - 2021,0.75
,,2022 - 2023,0.4
,Bongaigaon,2000 - 2001,0.41
,,2001 - 2002,0.39
,,2002 - 2003,0.39
,,2003 - 2004,0.41
,,2004 - 2005,0.41
,,2005 - 2006,0.38
,,2006 - 2007,0.43
,,2007 - 2008,0.44
,,2008 - 2009,0.38
,,2009 - 2010,0.43
,,2010 - 2011,0.33
,,2011 - 2012,0.57
,,2012 - 2013,0.5
,,2013 - 2014,0.6
,,2014 - 2015,0.57
,,2015 - 2016,0.71
,,2016 - 2017,0.57
,,2017 - 2018,0.57
,,2018 - 2019,0.43
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.62
,Cachar,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Chirang,2005 - 2006,0.43
,,2006 - 2007,0.42
,,2007 - 2008,0.44
,,2008 - 2009,0.29
,,2009 - 2010,0.37
,,2010 - 2011,0.33
,,2011 - 2012,0.54
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2015 - 2016,0.56
,,2016 - 2017,0.62
,,2017 - 2018,0.67
,,2018 - 2019,0.5
,,2020 - 2021,0.33
,,2021 - 2022,0.4
,,2022 - 2023,0.6
,Darrang,2000 - 2001,0.4
,,2001 - 2002,0.39
,,2002 - 2003,0.39
,,2003 - 2004,0.39
,,2004 - 2005,0.38
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.4
,,2010 - 2011,0.5
,,2011 - 2012,0.4
,,2012 - 2013,0.5
,,2013 - 2014,0.67
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Dhemaji,2000 - 2001,0.45
,,2001 - 2002,0.45
,,2002 - 2003,0.45
,,2003 - 2004,0.44
,,2004 - 2005,0.45
,,2005 - 2006,0.45
,,2006 - 2007,0.44
,,2007 - 2008,0.45
,,2008 - 2009,0.45
,,2009 - 2010,0.45
,,2010 - 2011,0.45
,,2011 - 2012,0.55
,,2012 - 2013,0.58
,,2013 - 2014,0.55
,,2014 - 2015,0.63
,,2015 - 2016,0.7
,,2016 - 2017,0.46
,,2017 - 2018,0.45
,,2018 - 2019,0.57
,,2019 - 2020,0.62
,,2020 - 2021,0.61
,,2021 - 2022,0.6
,,2022 - 2023,0.63
,Dhubri,2000 - 2001,0.64
,,2001 - 2002,0.6
,,2002 - 2003,0.6
,,2003 - 2004,0.58
,,2004 - 2005,0.67
,,2005 - 2006,0.64
,,2006 - 2007,0.58
,,2007 - 2008,0.62
,,2008 - 2009,0.71
,,2009 - 2010,0.57
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,0.5
,,2016 - 2017,0.83
,,2017 - 2018,0.83
,,2018 - 2019,0.67
,,2019 - 2020,0.6
,,2020 - 2021,0.75
,,2021 - 2022,0.75
,,2022 - 2023,1.0
,Dibrugarh,2000 - 2001,0.31
,,2001 - 2002,0.34
,,2002 - 2003,0.35
,,2003 - 2004,0.32
,,2004 - 2005,0.38
,,2005 - 2006,0.31
,,2006 - 2007,0.33
,,2007 - 2008,0.33
,,2009 - 2010,0.33
,,2010 - 2011,0.29
,,2011 - 2012,0.5
,,2012 - 2013,0.33
,,2014 - 2015,0.33
,,2015 - 2016,0.33
,,2016 - 2017,0.5
,,2017 - 2018,0.33
,Dima hasao,2000 - 2001,0.45
,,2001 - 2002,0.45
,,2002 - 2003,0.45
,,2003 - 2004,0.46
,,2004 - 2005,0.45
,,2005 - 2006,0.45
,,2006 - 2007,0.45
,,2007 - 2008,0.45
,,2008 - 2009,0.42
,,2009 - 2010,0.44
,,2010 - 2011,0.44
,,2011 - 2012,0.56
,,2012 - 2013,0.58
,,2013 - 2014,0.62
,,2014 - 2015,0.63
,,2015 - 2016,0.46
,,2016 - 2017,0.45
,,2017 - 2018,0.46
,,2018 - 2019,0.4
,,2019 - 2020,0.4
,,2020 - 2021,0.4
,,2021 - 2022,0.4
,,2022 - 2023,0.45
,Goalpara,2000 - 2001,0.36
,,2001 - 2002,0.36
,,2002 - 2003,0.38
,,2003 - 2004,0.37
,,2004 - 2005,0.35
,,2005 - 2006,0.36
,,2006 - 2007,0.36
,,2007 - 2008,0.36
,,2008 - 2009,0.36
,,2009 - 2010,0.35
,,2010 - 2011,0.35
,,2011 - 2012,0.48
,,2012 - 2013,0.46
,,2013 - 2014,1.39
,,2014 - 2015,0.5
,,2015 - 2016,0.43
,,2016 - 2017,0.42
,,2017 - 2018,0.48
,,2018 - 2019,0.45
,,2019 - 2020,0.48
,,2020 - 2021,0.48
