state,district,year,castor_seed_kharif_yield_tonne_per_hectare
,,2011 - 2012,0.0
Gujarat,Ahmadabad,2000 - 2001,1.04
,,2001 - 2002,1.13
,,2002 - 2003,0.86
,,2003 - 2004,1.35
,,2004 - 2005,1.55
,,2005 - 2006,1.48
,,2006 - 2007,1.66
,,2007 - 2008,1.55
,,2008 - 2009,1.79
,,2009 - 2010,1.38
,,2010 - 2011,1.94
,,2011 - 2012,2.24
,,2012 - 2013,1.5
,,2013 - 2014,1.37
,,2014 - 2015,1.61
,,2015 - 2016,1.5
,,2016 - 2017,1.61
,,2017 - 2018,1.82
,,2018 - 2019,1.85
,,2019 - 2020,1.81
,,2020 - 2021,1.78
,,2021 - 2022,1.97
,,2022 - 2023,2.17
,Amreli,2000 - 2001,1.4
,,2001 - 2002,1.79
,,2002 - 2003,1.23
,,2003 - 2004,1.9
,,2004 - 2005,1.74
,,2005 - 2006,2.0
,,2006 - 2007,1.78
,,2007 - 2008,1.86
,,2008 - 2009,1.92
,,2009 - 2010,2.0
,,2010 - 2011,2.0
,,2011 - 2012,2.05
,,2012 - 2013,1.97
,,2013 - 2014,2.17
,,2014 - 2015,1.76
,,2015 - 2016,1.74
,,2016 - 2017,2.59
,,2017 - 2018,1.99
,,2018 - 2019,1.02
,,2019 - 2020,1.29
,,2020 - 2021,2.06
,,2021 - 2022,2.16
,,2022 - 2023,2.24
,Anand,2003 - 2004,1.88
,,2004 - 2005,1.7
,,2005 - 2006,1.96
,,2006 - 2007,1.73
,,2007 - 2008,1.94
,,2008 - 2009,1.95
,,2009 - 2010,1.93
,,2010 - 2011,1.93
,,2011 - 2012,2.07
,,2012 - 2013,1.98
,,2013 - 2014,2.17
,,2014 - 2015,2.24
,,2015 - 2016,1.95
,,2016 - 2017,1.54
,,2017 - 2018,2.19
,,2018 - 2019,1.81
,,2019 - 2020,1.94
,,2020 - 2021,2.06
,,2021 - 2022,2.16
,,2022 - 2023,2.24
,Aravalli,2014 - 2015,1.61
,,2015 - 2016,1.73
,,2016 - 2017,1.82
,,2017 - 2018,3.64
,,2018 - 2019,1.5
,,2019 - 2020,1.33
,,2020 - 2021,1.62
,,2021 - 2022,1.83
,,2022 - 2023,1.93
,Banas kantha,2000 - 2001,1.94
,,2001 - 2002,2.36
,,2002 - 2003,1.29
,,2003 - 2004,2.08
,,2004 - 2005,1.71
,,2005 - 2006,2.13
,,2006 - 2007,1.55
,,2007 - 2008,2.23
,,2008 - 2009,2.16
,,2009 - 2010,2.36
,,2010 - 2011,2.37
,,2011 - 2012,2.05
,,2012 - 2013,2.41
,,2013 - 2014,2.51
,,2014 - 2015,2.69
,,2015 - 2016,1.87
,,2016 - 2017,2.17
,,2017 - 2018,3.22
,,2018 - 2019,2.87
,,2019 - 2020,2.4
,,2020 - 2021,2.67
,,2021 - 2022,2.75
,,2022 - 2023,2.71
,Bharuch,2000 - 2001,1.35
,,2001 - 2002,1.73
,,2002 - 2003,1.17
,,2003 - 2004,1.8
,,2004 - 2005,1.75
,,2005 - 2006,1.96
,,2006 - 2007,1.92
,,2007 - 2008,1.98
,,2008 - 2009,1.97
,,2009 - 2010,1.96
,,2010 - 2011,1.65
,,2011 - 2012,2.06
,,2012 - 2013,1.98
,,2013 - 2014,2.17
,,2014 - 2015,1.35
,,2015 - 2016,1.35
,,2016 - 2017,1.65
,,2017 - 2018,3.13
,,2018 - 2019,1.24
,,2019 - 2020,1.32
,,2020 - 2021,1.48
,,2021 - 2022,1.59
,,2022 - 2023,1.83
,Bhavnagar,2000 - 2001,1.39
,,2001 - 2002,1.82
,,2002 - 2003,1.17
,,2003 - 2004,2.0
,,2004 - 2005,1.63
,,2005 - 2006,2.5
,,2006 - 2007,1.67
,,2007 - 2008,3.0
,,2008 - 2009,2.0
,,2009 - 2010,2.33
,,2010 - 2011,2.0
,,2011 - 2012,2.14
,,2012 - 2013,2.0
,,2013 - 2014,2.17
,,2014 - 2015,2.24
,,2015 - 2016,1.23
,,2016 - 2017,2.06
,,2017 - 2018,2.54
,,2018 - 2019,1.81
,,2019 - 2020,1.94
,,2021 - 2022,2.25
,,2022 - 2023,2.25
,Botad,2014 - 2015,3.0
,,2015 - 2016,2.79
,,2016 - 2017,2.77
,,2017 - 2018,2.92
,,2018 - 2019,1.81
,,2019 - 2020,2.03
,,2020 - 2021,2.2
,,2021 - 2022,2.16
,,2022 - 2023,2.24
,Chhotaudepur,2014 - 2015,2.17
,,2015 - 2016,1.93
,,2016 - 2017,2.24
,,2017 - 2018,1.88
,,2018 - 2019,1.66
,,2019 - 2020,2.1
,,2020 - 2021,1.92
,,2021 - 2022,2.16
,,2022 - 2023,2.24
,Devbhumi dwarka,2014 - 2015,2.51
,,2015 - 2016,1.57
,,2016 - 2017,1.8
,,2017 - 2018,2.96
,,2018 - 2019,1.81
,,2019 - 2020,2.05
,,2020 - 2021,2.06
,,2022 - 2023,2.26
,Dohad,2003 - 2004,2.0
,,2004 - 2005,2.0
,,2005 - 2006,2.0
,,2006 - 2007,1.67
,,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2010 - 2011,2.0
,,2011 - 2012,2.0
,,2012 - 2013,2.2
,,2013 - 2014,2.17
,,2014 - 2015,2.22
,,2015 - 2016,1.98
,,2017 - 2018,2.54
,,2018 - 2019,1.81
,,2019 - 2020,2.0
,Gandhinagar,2000 - 2001,1.38
,,2001 - 2002,1.64
,,2002 - 2003,2.27
,,2003 - 2004,2.05
,,2004 - 2005,1.76
,,2005 - 2006,2.18
,,2006 - 2007,2.0
,,2007 - 2008,2.23
,,2008 - 2009,2.15
,,2009 - 2010,2.17
,,2010 - 2011,2.21
,,2011 - 2012,2.02
,,2012 - 2013,2.08
,,2013 - 2014,2.46
,,2014 - 2015,2.54
,,2015 - 2016,2.39
,,2016 - 2017,2.23
,,2017 - 2018,2.49
,,2018 - 2019,2.47
,,2019 - 2020,2.33
,,2020 - 2021,2.42
,,2021 - 2022,2.32
,,2022 - 2023,2.37
,Gir somnath,2014 - 2015,2.89
,,2015 - 2016,1.98
,,2016 - 2017,2.07
,,2017 - 2018,2.54
,,2018 - 2019,1.81
,,2019 - 2020,1.94
,,2020 - 2021,2.06
,,2021 - 2022,2.16
,,2022 - 2023,2.2
,Jamnagar,2000 - 2001,1.23
,,2001 - 2002,2.14
,,2002 - 2003,0.59
,,2003 - 2004,3.73
,,2004 - 2005,2.65
,,2005 - 2006,3.27
,,2006 - 2007,2.84
,,2007 - 2008,3.34
,,2008 - 2009,2.96
,,2009 - 2010,3.6
,,2010 - 2011,3.29
,,2011 - 2012,3.63
,,2012 - 2013,2.23
,,2013 - 2014,3.6
,,2014 - 2015,2.36
,,2015 - 2016,2.11
,,2016 - 2017,3.69
,,2017 - 2018,3.82
,,2018 - 2019,1.36
,,2019 - 2020,2.94
,,2020 - 2021,2.87
,,2021 - 2022,2.95
,,2022 - 2023,3.07
,Junagadh,2000 - 2001,1.4
,,2001 - 2002,1.8
,,2002 - 2003,1.05
,,2003 - 2004,2.48
,,2004 - 2005,1.69
,,2005 - 2006,1.95
,,2006 - 2007,1.78
,,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2009 - 2010,1.92
,,2010 - 2011,2.0
,,2011 - 2012,2.05
,,2012 - 2013,2.0
,,2013 - 2014,2.17
,,2014 - 2015,2.58
,,2015 - 2016,3.22
,,2016 - 2017,1.89
,,2017 - 2018,2.54
,,2018 - 2019,1.81
,,2019 - 2020,1.94
,,2020 - 2021,2.06
,,2021 - 2022,2.16
,,2022 - 2023,2.24
,Kachchh,2000 - 2001,1.74
,,2001 - 2002,1.11
,,2002 - 2003,1.39
,,2003 - 2004,1.59
,,2004 - 2005,1.89
,,2005 - 2006,1.31
,,2006 - 2007,2.01
,,2007 - 2008,1.85
,,2008 - 2009,1.65
,,2009 - 2010,1.56
,,2010 - 2011,1.77
,,2011 - 2012,1.98
,,2012 - 2013,1.89
,,2013 - 2014,2.16
,,2014 - 2015,1.89
,,2015 - 2016,2.51
,,2016 - 2017,2.35
,,2017 - 2018,2.51
,,2018 - 2019,0.73
,,2019 - 2020,1.56
,,2020 - 2021,1.81
,,2021 - 2022,1.81
,,2022 - 2023,1.92
,Kheda,2000 - 2001,0.61
,,2001 - 2002,0.74
,,2002 - 2003,1.13
,,2003 - 2004,1.55
,,2004 - 2005,1.48
,,2005 - 2006,1.56
,,2006 - 2007,1.51
,,2007 - 2008,1.58
,,2008 - 2009,1.44
,,2009 - 2010,1.59
,,2010 - 2011,1.42
,,2011 - 2012,1.44
,,2012 - 2013,1.84
,,2013 - 2014,1.51
,,2014 - 2015,1.79
,,2015 - 2016,1.84
,,2016 - 2017,1.54
,,2017 - 2018,1.69
,,2018 - 2019,1.78
,,2019 - 2020,1.89
,,2020 - 2021,1.87
,,2021 - 2022,2.39
,,2022 - 2023,2.27
,Mahesana,2000 - 2001,1.16
,,2001 - 2002,1.48
,,2002 - 2003,1.37
,,2003 - 2004,1.72
,,2004 - 2005,1.72
,,2005 - 2006,1.88
,,2006 - 2007,1.94
,,2007 - 2008,2.16
,,2008 - 2009,2.0
,,2009 - 2010,2.1
,,2010 - 2011,1.97
,,2011 - 2012,2.12
,,2012 - 2013,2.25
,,2013 - 2014,2.14
,,2014 - 2015,2.05
,,2015 - 2016,2.4
,,2016 - 2017,2.34
,,2017 - 2018,2.46
,,2018 - 2019,2.21
,,2019 - 2020,2.39
,,2020 - 2021,2.41
,,2021 - 2022,2.47
,,2022 - 2023,2.49
,Mahisagar,2014 - 2015,1.91
,,2015 - 2016,1.16
,,2016 - 2017,1.1
,,2017 - 2018,1.79
,,2018 - 2019,1.32
,,2019 - 2020,1.75
,,2020 - 2021,1.55
,,2021 - 2022,1.78
,,2022 - 2023,1.76
,Morbi,2014 - 2015,3.24
,,2015 - 2016,2.16
,,2016 - 2017,2.16
,,2017 - 2018,2.43
,,2018 - 2019,2.24
,,2019 - 2020,1.94
,,2021 - 2022,3.28
,,2022 - 2023,2.99
,Narmada,2003 - 2004,2.0
,,2004 - 2005,1.86
,,2005 - 2006,1.85
,,2006 - 2007,1.89
,,2007 - 2008,2.0
,,2008 - 2009,1.88
,,2009 - 2010,2.2
,,2010 - 2011,2.33
,,2011 - 2012,2.05
,,2012 - 2013,1.92
,,2013 - 2014,2.17
,,2014 - 2015,1.65
,,2015 - 2016,2.06
,,2016 - 2017,2.07
,,2017 - 2018,2.54
,,2018 - 2019,1.81
,,2019 - 2020,1.94
,,2020 - 2021,2.06
,,2021 - 2022,2.16
,,2022 - 2023,2.24
,Navsari,2004 - 2005,1.0
,Panch mahals,2000 - 2001,1.42
,,2001 - 2002,1.8
,,2002 - 2003,1.2
,,2003 - 2004,1.9
,,2004 - 2005,1.69
,,2005 - 2006,1.89
,,2006 - 2007,1.89
,,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2009 - 2010,1.91
,,2010 - 2011,2.03
,,2011 - 2012,2.06
,,2012 - 2013,1.98
,,2013 - 2014,2.17
,,2014 - 2015,1.28
,,2015 - 2016,1.22
,,2016 - 2017,1.46
,,2017 - 2018,1.46
,,2018 - 2019,1.52
,,2019 - 2020,1.52
,,2020 - 2021,1.59
,,2021 - 2022,1.7
,,2022 - 2023,1.68
,Patan,2003 - 2004,1.56
,,2004 - 2005,1.45
,,2005 - 2006,1.77
,,2006 - 2007,1.21
,,2007 - 2008,1.49
,,2008 - 2009,1.62
,,2009 - 2010,1.45
,,2010 - 2011,1.85
,,2011 - 2012,1.77
,,2012 - 2013,1.62
,,2013 - 2014,1.84
,,2014 - 2015,1.85
,,2015 - 2016,1.88
,,2016 - 2017,1.89
,,2017 - 2018,2.2
,,2018 - 2019,1.92
,,2019 - 2020,1.72
,,2020 - 2021,1.91
,,2021 - 2022,2.09
,,2022 - 2023,2.26
,Porbandar,2003 - 2004,1.82
,,2004 - 2005,1.67
,,2005 - 2006,1.88
,,2006 - 2007,1.78
,,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2010 - 2011,1.67
,,2011 - 2012,2.05
,,2012 - 2013,2.0
,,2013 - 2014,2.17
,,2014 - 2015,2.93
,,2015 - 2016,2.52
,,2016 - 2017,2.37
,,2017 - 2018,2.41
,,2018 - 2019,2.21
,,2019 - 2020,1.23
,Rajkot,2000 - 2001,0.76
,,2001 - 2002,1.81
,,2002 - 2003,0.64
,,2003 - 2004,3.24
,,2004 - 2005,3.1
,,2005 - 2006,3.27
,,2006 - 2007,3.15
,,2007 - 2008,3.04
,,2008 - 2009,2.33
,,2009 - 2010,3.7
,,2010 - 2011,1.74
,,2011 - 2012,2.89
,,2012 - 2013,0.84
,,2013 - 2014,2.66
,,2014 - 2015,2.43
,,2015 - 2016,1.25
,,2016 - 2017,1.79
,,2017 - 2018,2.87
,,2018 - 2019,1.31
,,2019 - 2020,1.51
,,2020 - 2021,2.25
,,2021 - 2022,2.85
,,2022 - 2023,3.1
,Sabar kantha,2000 - 2001,0.86
,,2001 - 2002,0.7
,,2002 - 2003,0.48
,,2003 - 2004,1.28
,,2004 - 2005,1.13
,,2005 - 2006,1.85
,,2006 - 2007,1.39
,,2007 - 2008,1.5
,,2008 - 2009,1.88
,,2009 - 2010,1.7
,,2010 - 2011,1.71
,,2011 - 2012,1.78
,,2012 - 2013,1.79
,,2013 - 2014,1.95
,,2014 - 2015,2.0
,,2015 - 2016,2.03
,,2016 - 2017,1.89
,,2017 - 2018,2.3
,,2018 - 2019,2.22
,,2019 - 2020,2.25
,,2020 - 2021,2.3
,,2021 - 2022,2.08
,,2022 - 2023,2.07
,Surat,2000 - 2001,1.33
,,2001 - 2002,1.75
,,2002 - 2003,1.17
,,2003 - 2004,1.75
,,2004 - 2005,1.67
,,2005 - 2006,2.0
,,2006 - 2007,1.75
,,2007 - 2008,2.0
,,2008 - 2009,2.5
,,2009 - 2010,1.67
,,2010 - 2011,2.0
,,2011 - 2012,2.07
,,2012 - 2013,2.0
,,2013 - 2014,2.17
,,2014 - 2015,2.24
,,2015 - 2016,1.98
,,2016 - 2017,2.07
,,2017 - 2018,2.54
,,2018 - 2019,1.81
,,2019 - 2020,1.94
,,2020 - 2021,2.06
,,2021 - 2022,2.16
,,2022 - 2023,2.24
,Surendranagar,2000 - 2001,1.38
,,2001 - 2002,1.81
,,2002 - 2003,1.46
,,2003 - 2004,2.42
,,2004 - 2005,2.29
,,2005 - 2006,3.08
,,2006 - 2007,2.17
,,2007 - 2008,2.64
,,2008 - 2009,2.74
,,2009 - 2010,1.79
,,2010 - 2011,2.61
,,2011 - 2012,2.51
,,2012 - 2013,2.27
,,2013 - 2014,2.51
,,2014 - 2015,1.6
,,2015 - 2016,1.73
,,2016 - 2017,1.72
,,2017 - 2018,2.0
,,2018 - 2019,0.4
,,2019 - 2020,1.8
,,2020 - 2021,1.55
,,2021 - 2022,1.92
,,2022 - 2023,2.09
,Tapi,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2011 - 2012,2.0
,,2012 - 2013,2.0
,,2013 - 2014,2.17
,,2014 - 2015,2.24
,,2015 - 2016,1.98
,,2016 - 2017,2.07
,,2017 - 2018,2.54
,,2018 - 2019,1.81
,,2019 - 2020,2.51
,,2020 - 2021,2.06
,,2021 - 2022,2.16
,,2022 - 2023,2.24
,Vadodara,2000 - 2001,0.73
,,2001 - 2002,1.25
,,2002 - 2003,1.3
,,2003 - 2004,1.5
,,2004 - 2005,1.05
,,2005 - 2006,1.54
,,2006 - 2007,1.31
,,2007 - 2008,1.37
,,2008 - 2009,1.53
,,2009 - 2010,1.63
,,2010 - 2011,1.76
,,2011 - 2012,2.02
,,2012 - 2013,2.3
,,2013 - 2014,1.83
,,2014 - 2015,1.87
,,2015 - 2016,1.83
,,2016 - 2017,1.81
,,2017 - 2018,2.03
,,2018 - 2019,2.04
,,2019 - 2020,1.95
,,2020 - 2021,1.95
,,2021 - 2022,2.04
,,2022 - 2023,2.27
Haryana,Bhiwani,2006 - 2007,0.75
,,2007 - 2008,1.47
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.47
,,2018 - 2019,0.67
,,2019 - 2020,0.66
,,2020 - 2021,6.66
,,2021 - 2022,0.67
,Charki dadri,2018 - 2019,0.83
,,2019 - 2020,0.86
,,2020 - 2021,8.4
,,2021 - 2022,0.83
,Fatehabad,2006 - 2007,0.48
,,2007 - 2008,0.68
,,2008 - 2009,1.23
,,2009 - 2010,0.77
,,2010 - 2011,0.0
,,2011 - 2012,0.63
,,2012 - 2013,0.45
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,0.76
,,2019 - 2020,0.76
,,2020 - 2021,7.62
,,2021 - 2022,0.76
,Gurgaon,2018 - 2019,0.5
,,2020 - 2021,5.0
,Hisar,2006 - 2007,0.33
,,2007 - 2008,0.7
,,2008 - 2009,1.08
,,2009 - 2010,2.0
,,2010 - 2011,0.33
,,2011 - 2012,0.33
,,2012 - 2013,0.4
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.22
,,2017 - 2018,1.0
,,2018 - 2019,0.62
,,2019 - 2020,0.62
,,2020 - 2021,6.2
,,2021 - 2022,0.62
,Jhajjar,2019 - 2020,1.0
,Jind,2021 - 2022,0.0
,Mahendragarh,2007 - 2008,0.0
,,2010 - 2011,0.0
,,2011 - 2012,1.28
,,2012 - 2013,0.5
,,2018 - 2019,0.8
,,2021 - 2022,0.0
,Mewat,2018 - 2019,0.65
,,2019 - 2020,0.75
,,2020 - 2021,6.5
,Rewari,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2018 - 2019,0.8
,,2019 - 2020,0.79
,,2020 - 2021,8.0
,,2021 - 2022,0.8
,Rohtak,2018 - 2019,0.5
,Sirsa,2006 - 2007,0.44
,,2007 - 2008,0.96
,,2008 - 2009,1.2
,,2009 - 2010,1.09
,,2010 - 2011,0.5
,,2011 - 2012,0.43
,,2012 - 2013,0.5
,,2013 - 2014,1.2
,,2014 - 2015,1.67
,,2015 - 2016,0.75
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,0.68
,,2019 - 2020,0.68
,,2020 - 2021,6.83
,,2021 - 2022,0.68
,Yamunanagar,2018 - 2019,0.83
Jharkhand,Bokaro,2017 - 2018,0.1
,,2018 - 2019,0.0
,Deoghar,2017 - 2018,0.4
,,2022 - 2023,0.58
,Dumka,2017 - 2018,0.5
,,2018 - 2019,0.62
,,2019 - 2020,0.6
,,2020 - 2021,0.57
,,2022 - 2023,0.67
,East singhbum,2017 - 2018,0.5
,,2018 - 2019,0.43
,,2019 - 2020,0.5
,,2020 - 2021,0.33
,,2021 - 2022,0.5
,,2022 - 2023,0.37
,Giridih,2020 - 2021,0.75
,,2021 - 2022,0.83
,Godda,2019 - 2020,0.67
,Gumla,2022 - 2023,0.19
,Hazaribagh,2022 - 2023,0.4
,Khunti,2022 - 2023,1.0
,Pakur,2021 - 2022,0.63
,Palamu,2017 - 2018,1.0
,,2018 - 2019,0.91
,,2019 - 2020,0.33
,,2021 - 2022,1.0
,Saraikela kharsawan,2021 - 2022,0.67
,Simdega,2017 - 2018,0.4
,West singhbhum,2021 - 2022,0.45
,,2022 - 2023,0.36
Karnataka,Bagalkot,2000 - 2001,1.29
,,2001 - 2002,0.74
,,2002 - 2003,0.9
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2011 - 2012,0.85
,,2018 - 2019,0.5
,,2019 - 2020,0.89
,,2020 - 2021,0.9
,,2021 - 2022,0.91
,,2022 - 2023,0.63
,Bangalore rural,2000 - 2001,1.61
,,2001 - 2002,1.69
,,2002 - 2003,2.69
,,2003 - 2004,3.33
,,2004 - 2005,1.68
,,2005 - 2006,3.46
,,2006 - 2007,1.91
,,2007 - 2008,0.67
,,2008 - 2009,0.95
,,2009 - 2010,0.65
,,2010 - 2011,0.84
,,2011 - 2012,0.84
,,2012 - 2013,0.62
,,2013 - 2014,0.89
,,2014 - 2015,0.61
,,2015 - 2016,0.53
,,2016 - 2017,0.49
,,2017 - 2018,0.64
,,2018 - 2019,0.58
,,2019 - 2020,0.9
,,2020 - 2021,0.89
,,2021 - 2022,1.0
,,2022 - 2023,0.67
,Belgaum,2000 - 2001,1.28
,,2001 - 2002,0.74
,,2002 - 2003,0.47
,,2003 - 2004,0.9
,,2004 - 2005,0.87
,,2005 - 2006,1.04
,,2006 - 2007,0.8
,,2007 - 2008,0.67
,,2008 - 2009,0.95
,,2009 - 2010,0.64
,,2010 - 2011,0.84
,,2011 - 2012,0.84
,,2012 - 2013,0.62
,,2013 - 2014,0.89
,,2014 - 2015,0.6
,,2015 - 2016,0.52
,,2016 - 2017,0.48
,,2017 - 2018,0.75
,,2018 - 2019,1.0
,,2020 - 2021,0.9
,,2021 - 2022,0.92
,,2022 - 2023,1.0
,Bellary,2000 - 2001,1.28
,,2001 - 2002,0.74
,,2002 - 2003,0.92
,,2003 - 2004,0.9
,,2004 - 2005,0.87
,,2005 - 2006,1.04
,,2006 - 2007,0.8
,,2007 - 2008,0.67
,,2008 - 2009,0.95
,,2009 - 2010,0.65
,,2010 - 2011,0.83
,,2011 - 2012,0.84
,,2012 - 2013,0.62
,,2013 - 2014,0.9
,,2014 - 2015,0.61
,,2015 - 2016,0.52
,,2016 - 2017,0.49
,,2017 - 2018,0.65
,,2018 - 2019,0.57
,,2019 - 2020,0.92
,,2020 - 2021,0.9
,,2021 - 2022,0.92
,,2022 - 2023,0.63
,Bengaluru urban,2000 - 2001,1.28
,,2001 - 2002,0.74
,,2002 - 2003,0.92
,,2003 - 2004,0.9
,,2004 - 2005,0.87
,,2005 - 2006,1.04
,,2006 - 2007,0.8
,,2007 - 2008,0.67
,,2008 - 2009,0.95
,,2009 - 2010,0.65
,,2010 - 2011,0.84
,,2011 - 2012,0.84
,,2012 - 2013,0.63
,,2013 - 2014,0.89
,,2014 - 2015,0.62
,,2015 - 2016,0.52
,,2016 - 2017,0.49
,,2017 - 2018,0.65
,,2018 - 2019,0.6
,,2019 - 2020,0.88
,,2020 - 2021,0.83
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Bidar,2013 - 2014,0.88
,,2014 - 2015,0.64
,,2016 - 2017,0.48
,,2017 - 2018,0.62
,,2018 - 2019,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Bijapur,2000 - 2001,1.29
,,2002 - 2003,0.92
,,2003 - 2004,0.83
,,2005 - 2006,1.0
,,2006 - 2007,0.81
,,2007 - 2008,0.67
,,2008 - 2009,0.95
,,2009 - 2010,0.67
,,2010 - 2011,1.0
,,2011 - 2012,0.8
,,2019 - 2020,0.95
,,2020 - 2021,0.88
,,2021 - 2022,0.89
,,2022 - 2023,0.67
,Chamarajanagar,2000 - 2001,1.28
,,2001 - 2002,0.74
,,2002 - 2003,0.92
,,2003 - 2004,0.9
,,2004 - 2005,0.87
,,2005 - 2006,1.04
,,2006 - 2007,0.8
,,2007 - 2008,0.14
,,2008 - 2009,2.17
,,2009 - 2010,0.77
,,2010 - 2011,0.69
,,2011 - 2012,0.31
,,2012 - 2013,0.27
,,2013 - 2014,0.24
,,2014 - 2015,0.2
,,2015 - 2016,0.27
,,2016 - 2017,0.12
,,2017 - 2018,0.62
,,2018 - 2019,0.57
,,2019 - 2020,0.92
,,2020 - 2021,0.9
,,2021 - 2022,0.91
,,2022 - 2023,0.63
,Chikballapur,2007 - 2008,0.67
,,2008 - 2009,0.95
,,2009 - 2010,0.65
,,2010 - 2011,0.84
,,2011 - 2012,0.84
,,2012 - 2013,0.62
,,2013 - 2014,0.89
,,2014 - 2015,0.6
,,2015 - 2016,0.52
,,2016 - 2017,0.5
,,2017 - 2018,0.64
,,2018 - 2019,0.24
,,2019 - 2020,0.36
,,2020 - 2021,0.29
,,2021 - 2022,0.22
,,2022 - 2023,0.25
,Chikmagalur,2000 - 2001,1.61
,,2001 - 2002,0.67
,,2002 - 2003,0.92
,,2003 - 2004,0.9
,,2004 - 2005,0.87
,,2005 - 2006,1.04
,,2006 - 2007,0.8
,,2007 - 2008,0.67
,,2008 - 2009,0.95
,,2009 - 2010,0.65
,,2010 - 2011,0.84
,,2011 - 2012,0.84
,,2012 - 2013,0.62
,,2013 - 2014,0.89
,,2014 - 2015,0.61
,,2015 - 2016,0.53
,,2016 - 2017,0.49
,,2017 - 2018,0.65
,,2018 - 2019,0.57
,,2019 - 2020,0.92
,,2020 - 2021,0.91
,,2021 - 2022,0.91
,,2022 - 2023,0.5
,Chitradurga,2000 - 2001,1.56
,,2001 - 2002,0.67
,,2002 - 2003,1.58
,,2003 - 2004,0.98
,,2004 - 2005,1.83
,,2005 - 2006,1.04
,,2006 - 2007,0.8
,,2007 - 2008,0.67
,,2008 - 2009,0.79
,,2009 - 2010,1.0
,,2010 - 2011,1.01
,,2011 - 2012,0.76
,,2012 - 2013,0.74
,,2013 - 2014,0.77
,,2014 - 2015,0.9
,,2015 - 2016,0.62
,,2016 - 2017,1.78
,,2017 - 2018,0.78
,,2018 - 2019,0.57
,,2019 - 2020,0.92
,,2020 - 2021,0.95
,,2021 - 2022,1.05
,,2022 - 2023,0.65
,Dakshin kannad,2020 - 2021,1.0
,Davangere,2000 - 2001,1.28
,,2001 - 2002,0.74
,,2002 - 2003,0.92
,,2003 - 2004,0.9
,,2004 - 2005,0.87
,,2005 - 2006,1.04
,,2006 - 2007,0.8
,,2007 - 2008,0.67
,,2008 - 2009,0.94
,,2009 - 2010,0.65
,,2010 - 2011,0.84
,,2011 - 2012,0.84
,,2012 - 2013,0.62
,,2013 - 2014,0.89
,,2014 - 2015,0.61
,,2015 - 2016,0.54
,,2016 - 2017,0.5
,,2017 - 2018,0.65
,,2018 - 2019,0.56
,,2019 - 2020,0.92
,,2020 - 2021,0.89
,,2021 - 2022,0.93
,,2022 - 2023,0.61
,Dharwad,2000 - 2001,1.33
,,2006 - 2007,0.79
,,2007 - 2008,0.67
,,2013 - 2014,1.0
,,2020 - 2021,0.88
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Gadag,2000 - 2001,1.28
,,2001 - 2002,0.74
,,2002 - 2003,0.93
,,2003 - 2004,0.9
,,2004 - 2005,0.86
,,2005 - 2006,1.04
,,2006 - 2007,0.8
,,2007 - 2008,0.67
,,2008 - 2009,0.94
,,2009 - 2010,0.65
,,2010 - 2011,0.84
,,2011 - 2012,0.86
,,2013 - 2014,0.91
,,2014 - 2015,0.67
,,2016 - 2017,0.5
,,2017 - 2018,0.64
,,2018 - 2019,0.54
,,2019 - 2020,0.9
,,2020 - 2021,0.93
,,2021 - 2022,1.0
,,2022 - 2023,0.6
,Gulbarga,2000 - 2001,1.28
,,2001 - 2002,0.74
,,2002 - 2003,0.94
,,2003 - 2004,0.89
,,2004 - 2005,0.87
,,2005 - 2006,1.04
,,2006 - 2007,0.8
,,2007 - 2008,0.67
,,2008 - 2009,0.95
,,2009 - 2010,0.65
,,2010 - 2011,0.84
,,2011 - 2012,0.84
,,2012 - 2013,0.64
,,2014 - 2015,0.61
,,2016 - 2017,0.5
,,2018 - 2019,0.67
,,2019 - 2020,0.93
,,2021 - 2022,0.93
,,2022 - 2023,0.5
,Hassan,2000 - 2001,0.37
,,2001 - 2002,0.45
,,2002 - 2003,0.39
,,2003 - 2004,0.26
,,2004 - 2005,0.46
,,2005 - 2006,0.71
,,2006 - 2007,0.54
,,2007 - 2008,0.5
,,2008 - 2009,0.56
,,2009 - 2010,0.53
,,2010 - 2011,0.79
,,2011 - 2012,0.81
,,2012 - 2013,0.5
,,2013 - 2014,1.07
,,2014 - 2015,0.95
,,2015 - 2016,0.69
