crop,n_rows,n_classes,dropped,acc_mean,acc_std,f1_mean,f1_std,f1_high_mean,f1_high_std,f1_low_mean,f1_low_std,f1_medium_mean,f1_medium_std
other_oilseeds,223,3,none,0.8791919191919192,0.038577925039814075,0.8781335572296507,0.039196812181466034,0.8814,0.1026,0.9235,0.0241,0.6945,0.0958
mesta,258,3,none,0.8373303167420815,0.035162702837023364,0.8350163360469132,0.04133334100475073,0.9354,0.035,0.4896,0.1952,0.7657,0.0505
onion,573,3,none,0.8150419527078565,0.03741327867608092,0.8151973540346823,0.03642276993438712,0.8428,0.0301,0.7919,0.1,0.7955,0.0437
garlic,439,3,none,0.8108150470219435,0.045275428083289486,0.8106564364433563,0.045382037741502526,0.8071,0.0498,0.831,0.0245,0.8005,0.0712
sweet_potato,457,3,none,0.800764452938366,0.04320391701385359,0.8042166602308528,0.04113029858723043,0.8714,0.0337,0.6637,0.1129,0.7633,0.0562
cowpea_lobia,231,3,none,0.8060129509713228,0.11471330299822483,0.8036940207613176,0.12313311800019922,0.6149,0.2271,0.8402,0.1249,0.832,0.0988
ragi,379,3,none,0.7967368421052632,0.03925116227084475,0.796649206850128,0.039835484848520564,0.829,0.0569,0.8011,0.0456,0.7644,0.0581
sugarcane,663,3,none,0.778343586238323,0.026686543291370046,0.7925994260731297,0.02260129841625127,0.8535,0.0263,0.5657,0.0622,0.6967,0.0138
groundnut,583,2,High,0.7821396993810787,0.02927621827560248,0.7854989117334996,0.028258256308008194,,,0.8151,0.0309,0.7331,0.0272
peas_and_beans,518,3,none,0.7759895444361464,0.0230196769843637,0.7776632902200147,0.023785914827996444,0.6579,0.0447,0.793,0.0335,0.789,0.0188
turmeric,502,3,none,0.7769306930693068,0.038742512265488235,0.7748848491240362,0.03902508127048595,0.8232,0.0141,0.7719,0.0505,0.7286,0.0702
coriander,406,3,none,0.7732610659439928,0.03345918559011129,0.7712790418813664,0.03490506088965944,0.7842,0.0213,0.7872,0.0395,0.7563,0.0473
tobacco,352,3,none,0.770020120724346,0.026381638204290278,0.7664082130185741,0.022569482701105946,0.8105,0.0315,0.7939,0.0593,0.7119,0.0253
banana,405,3,none,0.7580246913580247,0.055541836440503665,0.7603205608636625,0.0540513713550117,0.824,0.0472,0.6538,0.0806,0.679,0.0848
sunflower,483,3,none,0.7350515463917526,0.0619149439178155,0.7457468785239028,0.05921344860895405,0.8128,0.0557,0.5157,0.1043,0.6961,0.0664
rapeseed_and_mustard,656,3,none,0.7423779782558408,0.028714883933847447,0.7423268165854361,0.028131482681842977,0.7645,0.0221,0.7728,0.049,0.7054,0.0379
sannhamp,304,3,none,0.737103825136612,0.0945131531709149,0.739531913124144,0.09136054891725419,0.668,0.1006,0.8098,0.1245,0.6881,0.0574
ginger,444,3,none,0.7410112359550561,0.03316034733342406,0.7368426771061872,0.02977475195722907,0.8517,0.0511,0.675,0.047,0.627,0.036
barley,328,3,none,0.7288578088578088,0.06100699371951092,0.731230438124851,0.05678364424766437,0.8244,0.0573,0.6985,0.0844,0.644,0.0518
rice,720,3,none,0.7180555555555556,0.03124228299778332,0.7245923238962145,0.030795108198195646,0.7835,0.0253,0.5528,0.0718,0.6941,0.0629
castorseed,390,3,none,0.7205128205128205,0.03922322702763681,0.7200904361716345,0.03873546106188297,0.8223,0.1435,0.7299,0.0499,0.6807,0.0493
potato,600,3,none,0.6816666666666668,0.016996731711975955,0.7119644317133738,0.01417971491144091,0.7057,0.0248,0.2965,0.0859,0.7593,0.0193
horse_gram,328,3,none,0.7103030303030302,0.061577016953599184,0.7094664353625393,0.06134931649908489,0.7456,0.0766,0.7147,0.0561,0.6751,0.0717
wheat,630,3,none,0.7126984126984126,0.025297424524617813,0.7006522962273285,0.024813409748973243,0.8405,0.0329,0.7332,0.037,0.5584,0.0358
cotton,454,3,none,0.7004395604395605,0.025418606232617096,0.7003068043925011,0.030212518723662287,0.8157,0.0351,0.6651,0.0395,0.559,0.0539
linseed,433,3,none,0.6999732691793638,0.04482236566214637,0.6957120685593285,0.046044745712963034,0.755,0.0548,0.7044,0.0573,0.6386,0.0656
other_rabi_pulses,602,3,none,0.6727823691460054,0.007315774388982165,0.6891102393774305,0.011325082283700461,0.7268,0.0256,0.1043,0.0915,0.6638,0.0426
bajra,501,3,none,0.6745940594059405,0.02713489847816011,0.6656655579974007,0.02732653369722781,0.7861,0.0395,0.6574,0.0574,0.5784,0.0284
masoor,469,3,none,0.6608556394417753,0.04283530467372505,0.6643967683202577,0.0420483552946293,0.658,0.0712,0.6254,0.0576,0.6862,0.046
niger_seed,224,3,none,0.6606060606060606,0.07402875871322413,0.6632136690353009,0.07138091528920812,0.7841,0.0802,0.598,0.0674,0.5724,0.1018
small_millets,554,3,none,0.6643243243243242,0.03232012587355483,0.6600115885307348,0.032186658075596966,0.7229,0.0565,0.6506,0.0763,0.6226,0.0401
dry_chillies,577,3,none,0.6429985007496252,0.016406320896008807,0.6414247256853864,0.01740505711270144,0.6213,0.0266,0.6739,0.0408,0.6342,0.0285
urad,664,3,none,0.6356459330143541,0.0377013938189604,0.6283861215991127,0.04007275103046893,0.7164,0.0286,0.6288,0.0497,0.5604,0.0603
other_cereals,229,3,none,0.6246376811594203,0.04705125530651573,0.6241570597454904,0.048173913369884976,0.7053,0.0458,0.5935,0.1196,0.5442,0.0744
sesamum,686,3,none,0.6238548608907225,0.02890845091733214,0.6181089842701268,0.030656749391363588,0.664,0.0341,0.6437,0.0555,0.5683,0.0479
jowar,521,3,none,0.5797252747252748,0.03825115142944145,0.613093639057886,0.04059052188567922,0.3441,0.0498,0.6381,0.0643,0.6457,0.0422
soyabean,425,3,none,0.6117647058823529,0.03409735704985749,0.6110858032351436,0.034818339604861345,0.5706,0.0685,0.6436,0.0581,0.6151,0.0412
safflower,247,3,none,0.611265306122449,0.06984511930964533,0.6073795696787735,0.07004876498109058,0.7106,0.1404,0.3875,0.0904,0.5534,0.1143
maize,723,3,none,0.6168965517241379,0.025002209206420677,0.594623686696641,0.026156340207834087,0.6593,0.0504,0.7077,0.0317,0.4736,0.0334
other_kharif_pulses,586,3,none,0.5955671447196871,0.021905781205281184,0.5847864828235455,0.019379983968708617,0.6456,0.0422,0.6127,0.0282,0.541,0.0203
arhar_tur,665,3,none,0.5639097744360901,0.020175049421050733,0.5788178218885733,0.02185921254040655,0.752,0.025,0.3995,0.0258,0.4755,0.0443
gram,641,3,none,0.5725896317829458,0.025940673103930268,0.5506092894850655,0.03349077772790277,0.5734,0.0456,0.7019,0.0347,0.4726,0.0487
moong,675,3,none,0.5748148148148149,0.03936394149803386,0.5461487892934803,0.05169882524067632,0.6369,0.0347,0.6445,0.0147,0.4428,0.0842
