state,district,year,guar_seed_whole_year_yield_tonne_per_hectare
,,2002 - 2003,0.01
,,2003 - 2004,0.0
,,2004 - 2005,0.05
,,2005 - 2006,0.36
,,2006 - 2007,0.67
,,2007 - 2008,0.55
,,2008 - 2009,0.3
,,2009 - 2010,0.0
,,2010 - 2011,0.62
,,2011 - 2012,0.64
,,2012 - 2013,0.56
,,2013 - 2014,0.33
,,2014 - 2015,0.55
,,2015 - 2016,0.2
,,2016 - 2017,0.31
,,2017 - 2018,0.3
,,2018 - 2019,0.11
,,2019 - 2020,0.54
,,2020 - 2021,0.5
,,2021 - 2022,0.11
,,2022 - 2023,0.54
,Jhalawar,2008 - 2009,0.33
,,2012 - 2013,0.45
,,2013 - 2014,0.57
,,2014 - 2015,0.58
,,2015 - 2016,0.5
,,2016 - 2017,0.43
,,2017 - 2018,0.33
,,2018 - 2019,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,1.0
,Jhunjhunu,2000 - 2001,0.09
,,2001 - 2002,1.01
,,2002 - 2003,0.02
,,2003 - 2004,0.0
,,2004 - 2005,0.66
,,2005 - 2006,0.28
,,2006 - 2007,0.19
,,2007 - 2008,0.22
,,2008 - 2009,0.21
,,2009 - 2010,0.02
,,2010 - 2011,0.74
,,2011 - 2012,0.87
,,2012 - 2013,0.75
,,2013 - 2014,0.93
,,2014 - 2015,0.92
,,2015 - 2016,0.77
,,2016 - 2017,0.89
,,2017 - 2018,0.98
,,2018 - 2019,1.03
,,2019 - 2020,0.91
,,2020 - 2021,0.91
,,2021 - 2022,0.86
,,2022 - 2023,1.02
,Jodhpur,2000 - 2001,0.06
,,2001 - 2002,0.42
,,2002 - 2003,0.49
,,2003 - 2004,0.0
,,2004 - 2005,0.07
,,2005 - 2006,0.06
,,2006 - 2007,0.03
,,2007 - 2008,0.14
,,2008 - 2009,0.1
,,2009 - 2010,0.0
,,2010 - 2011,0.63
,,2011 - 2012,0.65
,,2012 - 2013,0.32
,,2013 - 2014,0.64
,,2014 - 2015,0.6
,,2015 - 2016,0.5
,,2016 - 2017,0.52
,,2017 - 2018,0.37
,,2018 - 2019,0.38
,,2019 - 2020,0.91
,,2020 - 2021,0.76
,,2021 - 2022,0.48
,,2022 - 2023,0.55
,Karauli,2000 - 2001,0.38
,,2001 - 2002,0.79
,,2002 - 2003,0.13
,,2003 - 2004,0.0
,,2004 - 2005,0.85
,,2005 - 2006,1.05
,,2006 - 2007,1.11
,,2007 - 2008,1.21
,,2008 - 2009,1.2
,,2009 - 2010,2.0
,,2010 - 2011,0.52
,,2011 - 2012,1.12
,,2012 - 2013,1.18
,,2013 - 2014,1.31
,,2014 - 2015,1.28
,,2015 - 2016,1.26
,,2016 - 2017,1.28
,,2017 - 2018,1.32
,,2018 - 2019,1.43
,,2019 - 2020,1.57
,,2020 - 2021,1.74
,,2021 - 2022,1.86
,,2022 - 2023,1.4
,Kota,2000 - 2001,0.58
,,2001 - 2002,1.0
,,2003 - 2004,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2012 - 2013,0.45
,,2013 - 2014,0.56
,,2014 - 2015,0.59
,,2015 - 2016,0.46
,,2016 - 2017,0.4
,,2017 - 2018,0.37
,,2018 - 2019,0.38
,Nagaur,2000 - 2001,0.16
,,2001 - 2002,0.27
,,2002 - 2003,0.02
,,2003 - 2004,0.0
,,2004 - 2005,0.18
,,2005 - 2006,0.42
,,2006 - 2007,0.27
,,2007 - 2008,0.54
,,2008 - 2009,0.49
,,2009 - 2010,0.16
,,2010 - 2011,0.48
,,2011 - 2012,0.53
,,2012 - 2013,0.09
,,2013 - 2014,0.47
,,2014 - 2015,0.62
,,2015 - 2016,0.45
,,2016 - 2017,0.58
,,2017 - 2018,0.51
,,2018 - 2019,0.68
,,2019 - 2020,0.7
,,2020 - 2021,0.74
,,2021 - 2022,0.66
,,2022 - 2023,0.72
,Pali,2000 - 2001,0.0
,,2001 - 2002,0.77
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.31
,,2005 - 2006,0.33
,,2006 - 2007,0.71
,,2007 - 2008,0.68
,,2008 - 2009,0.21
,,2009 - 2010,0.09
,,2010 - 2011,0.84
,,2011 - 2012,0.64
,,2012 - 2013,0.53
,,2013 - 2014,0.35
,,2014 - 2015,0.41
,,2015 - 2016,0.69
,,2016 - 2017,0.38
,,2017 - 2018,0.27
,,2018 - 2019,0.56
,,2019 - 2020,0.52
,,2020 - 2021,0.64
,,2021 - 2022,0.4
,,2022 - 2023,0.65
,Pratapgarh,2008 - 2009,1.1
,,2009 - 2010,1.19
,,2010 - 2011,0.51
,,2011 - 2012,0.6
,,2012 - 2013,0.45
,,2013 - 2014,0.57
,,2014 - 2015,0.59
,,2016 - 2017,0.4
,,2017 - 2018,0.37
,,2018 - 2019,0.34
,,2019 - 2020,0.46
,,2020 - 2021,0.45
,,2021 - 2022,0.41
,,2022 - 2023,0.53
,Rajsamand,2000 - 2001,0.03
,,2001 - 2002,1.8
,,2002 - 2003,0.1
,,2003 - 2004,0.0
,,2004 - 2005,0.41
,,2005 - 2006,0.58
,,2006 - 2007,1.31
,,2007 - 2008,0.86
,,2008 - 2009,0.76
,,2009 - 2010,0.32
,,2010 - 2011,0.52
,,2011 - 2012,0.72
,,2012 - 2013,0.78
,,2013 - 2014,0.52
,,2014 - 2015,1.0
,,2015 - 2016,0.26
,,2016 - 2017,0.99
,,2017 - 2018,0.79
,,2018 - 2019,1.14
,,2019 - 2020,1.01
,,2020 - 2021,1.17
,,2021 - 2022,1.28
,,2022 - 2023,1.03
,Sawai madhopur,2000 - 2001,0.19
,,2001 - 2002,0.41
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.46
,,2007 - 2008,0.47
,,2008 - 2009,0.5
,,2009 - 2010,0.35
,,2010 - 2011,0.52
,,2011 - 2012,1.0
,,2012 - 2013,1.07
,,2013 - 2014,1.13
,,2014 - 2015,1.03
,,2015 - 2016,1.03
,,2016 - 2017,0.91
,,2017 - 2018,0.64
,,2018 - 2019,0.91
,,2019 - 2020,1.14
,,2020 - 2021,0.94
,,2021 - 2022,1.2
,,2022 - 2023,1.02
,Sikar,2000 - 2001,0.11
,,2001 - 2002,0.5
,,2002 - 2003,0.02
,,2003 - 2004,0.0
,,2004 - 2005,0.31
,,2005 - 2006,0.31
,,2006 - 2007,0.42
,,2007 - 2008,0.52
,,2008 - 2009,0.41
,,2009 - 2010,0.08
,,2010 - 2011,0.78
,,2011 - 2012,0.94
,,2012 - 2013,0.62
,,2013 - 2014,0.74
,,2014 - 2015,0.89
,,2015 - 2016,0.71
,,2016 - 2017,0.81
,,2017 - 2018,0.59
,,2018 - 2019,0.71
,,2019 - 2020,0.86
,,2020 - 2021,0.91
,,2021 - 2022,0.85
,,2022 - 2023,0.82
,Sirohi,2000 - 2001,0.05
,,2001 - 2002,1.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.05
,,2005 - 2006,0.81
,,2006 - 2007,0.54
,,2007 - 2008,1.0
,,2008 - 2009,0.38
,,2009 - 2010,0.02
,,2010 - 2011,0.86
,,2011 - 2012,0.74
,,2012 - 2013,0.8
,,2013 - 2014,0.33
,,2014 - 2015,0.68
,,2015 - 2016,0.74
,,2016 - 2017,0.52
,,2017 - 2018,0.0
,,2018 - 2019,0.56
,,2019 - 2020,0.97
,,2020 - 2021,0.64
,,2021 - 2022,0.25
,,2022 - 2023,0.68
,Tonk,2000 - 2001,0.03
,,2001 - 2002,0.42
,,2002 - 2003,0.05
,,2003 - 2004,0.0
,,2004 - 2005,0.78
,,2005 - 2006,0.87
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,0.8
,,2009 - 2010,0.33
,,2010 - 2011,0.52
,,2011 - 2012,0.82
,,2012 - 2013,0.66
,,2013 - 2014,0.76
,,2014 - 2015,0.77
,,2015 - 2016,0.58
,,2016 - 2017,0.84
,,2017 - 2018,0.85
,,2018 - 2019,1.0
,,2019 - 2020,0.72
,,2020 - 2021,0.9
,,2021 - 2022,0.97
,,2022 - 2023,0.91
,Udaipur,2000 - 2001,0.19
,,2001 - 2002,0.66
,,2002 - 2003,0.33
,,2003 - 2004,0.0
,,2004 - 2005,0.68
,,2005 - 2006,0.63
,,2006 - 2007,0.33
,,2007 - 2008,1.16
,,2008 - 2009,0.78
,,2009 - 2010,0.37
,,2010 - 2011,1.02
,,2011 - 2012,0.74
,,2012 - 2013,0.68
,,2013 - 2014,0.95
,,2014 - 2015,0.78
,,2015 - 2016,0.56
,,2016 - 2017,0.51
,,2017 - 2018,0.73
,,2018 - 2019,1.15
,,2019 - 2020,0.38
,,2020 - 2021,0.84
,,2021 - 2022,0.73
,,2022 - 2023,0.48
Uttar Pradesh,Agra,2004 - 2005,0.85
,,2005 - 2006,0.81
,,2006 - 2007,0.84
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Aligarh,2004 - 2005,0.85
,,2005 - 2006,0.81
,,2006 - 2007,0.84
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Allahabad,2004 - 2005,0.83
,,2005 - 2006,0.81
,,2006 - 2007,0.83
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ambedkar nagar,2004 - 2005,0.86
,,2006 - 2007,0.75
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Amethi,2012 - 2013,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Amroha,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,Auraiya,2004 - 2005,0.86
,,2005 - 2006,0.78
,,2006 - 2007,0.85
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Azamgarh,2004 - 2005,0.86
,,2005 - 2006,0.77
,,2006 - 2007,0.83
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bahraich,2004 - 2005,0.85
,,2005 - 2006,0.81
,,2006 - 2007,0.83
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ballia,2004 - 2005,0.85
,,2006 - 2007,0.85
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Balrampur,2005 - 2006,0.83
,,2006 - 2007,0.83
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Banda,2004 - 2005,0.86
,,2005 - 2006,0.81
,,2006 - 2007,0.86
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Barabanki,2005 - 2006,0.8
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bareilly,2004 - 2005,0.85
,,2005 - 2006,0.75
,,2006 - 2007,0.86
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Basti,2004 - 2005,0.84
,,2005 - 2006,0.82
,,2006 - 2007,0.84
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bijnor,2004 - 2005,0.83
,,2005 - 2006,0.67
,,2006 - 2007,0.83
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Budaun,2004 - 2005,0.86
,,2005 - 2006,0.84
,,2006 - 2007,0.82
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bulandshahr,2004 - 2005,0.85
,,2005 - 2006,0.81
,,2006 - 2007,0.84
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chandauli,2004 - 2005,0.84
,,2005 - 2006,0.8
,,2006 - 2007,0.87
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chitrakoot,2004 - 2005,0.85
,,2005 - 2006,0.81
,,2006 - 2007,0.84
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Deoria,2004 - 2005,1.0
,,2006 - 2007,0.83
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Etah,2004 - 2005,0.83
,,2005 - 2006,0.81
,,2006 - 2007,0.84
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Etawah,2004 - 2005,0.86
,,2005 - 2006,0.88
,,2006 - 2007,0.89
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Faizabad,2004 - 2005,0.84
,,2005 - 2006,0.82
,,2006 - 2007,0.85
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Farrukhabad,2004 - 2005,0.85
,,2005 - 2006,0.8
,,2006 - 2007,0.84
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Fatehpur,2004 - 2005,0.86
,,2005 - 2006,1.0
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Firozabad,2004 - 2005,0.85
,,2005 - 2006,0.75
,,2006 - 2007,1.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gautam buddha nagar,2004 - 2005,0.88
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ghaziabad,2007 - 2008,
,Ghazipur,2004 - 2005,0.86
,,2005 - 2006,0.83
,,2006 - 2007,0.82
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gonda,2005 - 2006,0.81
,,2006 - 2007,0.86
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gorakhpur,2004 - 2005,0.84
,,2005 - 2006,0.79
,,2006 - 2007,0.81
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hamirpur,2004 - 2005,0.83
,,2006 - 2007,0.83
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hardoi,2004 - 2005,0.86
,,2005 - 2006,0.83
,,2006 - 2007,0.85
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hathras,2005 - 2006,0.83
,,2006 - 2007,0.86
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jalaun,2004 - 2005,0.84
,,2005 - 2006,0.81
,,2006 - 2007,0.84
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jaunpur,2004 - 2005,0.83
,,2005 - 2006,0.82
,,2006 - 2007,0.85
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jhansi,2004 - 2005,0.87
,,2005 - 2006,0.75
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kannauj,2006 - 2007,0.75
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kanpur dehat,2004 - 2005,0.86
,,2006 - 2007,0.82
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kanpur nagar,2004 - 2005,0.83
,,2005 - 2006,0.81
,,2006 - 2007,0.84
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kasganj,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kaushambi,2004 - 2005,0.84
,,2005 - 2006,0.79
,,2006 - 2007,0.86
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kheri,2004 - 2005,0.85
,,2005 - 2006,0.81
,,2006 - 2007,0.84
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kushi nagar,2006 - 2007,0.88
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lucknow,2005 - 2006,0.83
,,2006 - 2007,0.83
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2022 - 2023,
,Maharajganj,2006 - 2007,1.0
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,
,,2017 - 2018,
,Mahoba,2006 - 2007,1.0
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mainpuri,2004 - 2005,0.84
,,2005 - 2006,0.83
,,2006 - 2007,0.83
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mathura,2004 - 2005,0.85
,,2005 - 2006,0.81
,,2006 - 2007,0.84
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mau,2004 - 2005,0.75
