state,district,year,guar_seed_whole_year_yield_tonne_per_hectare
,,2014 - 2015,0.77
,,2015 - 2016,0.62
,,2016 - 2017,0.67
,,2017 - 2018,0.67
,,2018 - 2019,0.84
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahesana,2000 - 2001,0.52
,,2001 - 2002,0.74
,,2002 - 2003,0.5
,,2003 - 2004,0.98
,,2004 - 2005,0.92
,,2005 - 2006,0.75
,,2006 - 2007,0.51
,,2007 - 2008,0.76
,,2008 - 2009,0.81
,,2009 - 2010,0.28
,,2010 - 2011,0.58
,,2011 - 2012,0.57
,,2012 - 2013,0.6
,,2013 - 2014,0.89
,,2014 - 2015,0.77
,,2015 - 2016,0.62
,,2016 - 2017,0.67
,,2017 - 2018,0.83
,,2018 - 2019,0.7
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahisagar,2014 - 2015,0.77
,,2015 - 2016,0.62
,,2016 - 2017,0.67
,,2017 - 2018,0.67
,,2018 - 2019,0.7
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Morbi,2021 - 2022,
,,2022 - 2023,
,Narmada,2013 - 2014,0.89
,,2014 - 2015,0.76
,,2015 - 2016,0.63
,Navsari,2011 - 2012,1.0
,,2012 - 2013,40.0
,,2013 - 2014,1.0
,,2014 - 2015,0.83
,Panch mahals,2000 - 2001,0.23
,,2001 - 2002,0.42
,,2002 - 2003,0.3
,,2003 - 2004,0.7
,,2004 - 2005,0.75
,,2005 - 2006,0.57
,,2006 - 2007,0.5
,,2007 - 2008,1.0
,,2008 - 2009,0.5
,,2009 - 2010,0.33
,,2010 - 2011,0.75
,,2011 - 2012,0.63
,,2012 - 2013,0.6
,,2013 - 2014,0.89
,,2014 - 2015,0.77
,,2015 - 2016,0.62
,,2016 - 2017,0.66
,,2017 - 2018,0.66
,,2018 - 2019,0.7
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Patan,2003 - 2004,0.65
,,2004 - 2005,0.71
,,2005 - 2006,0.7
,,2006 - 2007,0.48
,,2007 - 2008,0.98
,,2008 - 2009,0.6
,,2009 - 2010,0.28
,,2010 - 2011,0.7
