state,district,year,urad_rabi_yield_tonne_per_hectare
,,2022 - 2023,0.44
,Spsr nellore,2000 - 2001,0.8
,,2001 - 2002,0.68
,,2002 - 2003,0.27
,,2003 - 2004,0.31
,,2004 - 2005,0.55
,,2005 - 2006,0.61
,,2006 - 2007,0.64
,,2007 - 2008,0.44
,,2008 - 2009,0.49
,,2009 - 2010,0.65
,,2010 - 2011,0.44
,,2011 - 2012,0.57
,,2012 - 2013,0.73
,,2013 - 2014,0.87
,,2014 - 2015,0.81
,,2015 - 2016,0.42
,,2016 - 2017,0.15
,,2017 - 2018,0.68
,,2018 - 2019,0.41
,,2019 - 2020,0.79
,,2020 - 2021,0.1
,,2021 - 2022,0.66
,,2022 - 2023,0.99
,Sri sathya sai,2022 - 2023,1.33
,Srikakulam,2000 - 2001,0.35
,,2001 - 2002,0.51
,,2002 - 2003,0.3
,,2003 - 2004,0.49
,,2004 - 2005,0.36
,,2005 - 2006,0.37
,,2006 - 2007,0.43
,,2007 - 2008,0.49
,,2008 - 2009,0.57
,,2009 - 2010,0.52
,,2010 - 2011,0.62
,,2011 - 2012,0.58
,,2012 - 2013,0.5
,,2013 - 2014,0.56
,,2014 - 2015,0.52
,,2015 - 2016,0.64
,,2016 - 2017,0.5
,,2017 - 2018,0.53
,,2018 - 2019,0.56
,,2019 - 2020,0.48
,,2020 - 2021,0.51
,,2021 - 2022,0.56
,,2022 - 2023,0.73
,Tirupati,2022 - 2023,0.51
,Visakhapatanam,2000 - 2001,0.8
,,2001 - 2002,0.68
,,2002 - 2003,0.58
,,2003 - 2004,0.39
,,2004 - 2005,0.63
,,2005 - 2006,0.63
,,2006 - 2007,0.78
,,2007 - 2008,0.5
,,2008 - 2009,0.67
,,2009 - 2010,0.74
,,2010 - 2011,0.53
,,2011 - 2012,0.7
,,2012 - 2013,0.8
,,2013 - 2014,0.79
,,2014 - 2015,0.53
,,2015 - 2016,0.38
,,2016 - 2017,0.81
,,2017 - 2018,0.37
,,2018 - 2019,0.55
,,2019 - 2020,0.44
,,2020 - 2021,0.39
,,2021 - 2022,0.45
,,2022 - 2023,1.26
,Vizianagaram,2000 - 2001,0.8
,,2001 - 2002,0.39
,,2002 - 2003,0.22
,,2003 - 2004,0.32
,,2004 - 2005,0.32
,,2005 - 2006,0.37
,,2006 - 2007,0.49
,,2007 - 2008,0.44
,,2008 - 2009,0.53
,,2009 - 2010,0.49
,,2010 - 2011,0.42
,,2011 - 2012,0.56
,,2012 - 2013,0.59
,,2013 - 2014,0.54
,,2014 - 2015,0.56
,,2015 - 2016,0.64
,,2016 - 2017,0.47
,,2017 - 2018,0.61
,,2018 - 2019,0.42
,,2019 - 2020,0.64
,,2020 - 2021,0.61
,,2021 - 2022,0.62
,,2022 - 2023,0.7
,West godavari,2000 - 2001,0.39
,,2001 - 2002,0.68
,,2002 - 2003,0.58
,,2003 - 2004,0.39
,,2004 - 2005,0.69
,,2005 - 2006,0.73
,,2006 - 2007,0.63
,,2007 - 2008,0.57
,,2008 - 2009,0.4
,,2009 - 2010,0.23
,,2010 - 2011,0.26
,,2011 - 2012,0.31
,,2012 - 2013,0.86
,,2013 - 2014,1.04
,,2014 - 2015,0.89
,,2015 - 2016,0.95
,,2016 - 2017,0.2
,,2017 - 2018,0.82
,,2018 - 2019,1.25
,,2019 - 2020,0.56
,,2020 - 2021,0.94
,,2021 - 2022,1.3
,,2022 - 2023,1.43
Arunachal Pradesh,Anjaw,2016 - 2017,0.97
,,2017 - 2018,1.39
,,2018 - 2019,1.39
,,2019 - 2020,1.39
,,2020 - 2021,1.39
,,2021 - 2022,0.91
,,2022 - 2023,0.91
,Changlang,2016 - 2017,0.91
,,2017 - 2018,0.91
,,2018 - 2019,0.91
,,2019 - 2020,0.91
,,2020 - 2021,0.91
,,2021 - 2022,0.94
,,2022 - 2023,0.95
,Dibang valley,2016 - 2017,0.61
,,2017 - 2018,0.71
,,2018 - 2019,0.71
,,2019 - 2020,0.76
,,2020 - 2021,0.76
,,2021 - 2022,0.78
,,2022 - 2023,0.78
,East kameng,2016 - 2017,0.79
,,2017 - 2018,0.86
,,2018 - 2019,0.86
,,2019 - 2020,0.84
,,2020 - 2021,0.84
,,2021 - 2022,0.84
,,2022 - 2023,0.86
,East siang,2016 - 2017,0.86
,,2017 - 2018,0.77
,,2018 - 2019,0.85
,,2019 - 2020,0.86
,,2020 - 2021,0.86
,,2021 - 2022,1.06
,,2022 - 2023,1.06
,Kamle,2018 - 2019,1.75
,,2019 - 2020,1.69
