state,district,year,urad_rabi_yield_tonne_per_hectare
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.14
,,2014 - 2015,0.67
,,2015 - 2016,0.9
,,2016 - 2017,0.4
,,2017 - 2018,0.91
,,2018 - 2019,0.78
,,2019 - 2020,0.82
,,2020 - 2021,0.5
,,2021 - 2022,0.58
,,2022 - 2023,0.68
,Tirunelveli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.39
,,2014 - 2015,1.9
,,2015 - 2016,0.61
,,2016 - 2017,0.05
,,2017 - 2018,0.58
,,2018 - 2019,0.75
,,2019 - 2020,0.71
,,2020 - 2021,0.86
,,2021 - 2022,0.7
,,2022 - 2023,0.6
,Tirupathur,2020 - 2021,0.52
,,2021 - 2022,0.64
,,2022 - 2023,0.66
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.85
,,2014 - 2015,0.99
,,2015 - 2016,0.7
,,2016 - 2017,0.36
,,2017 - 2018,0.68
,,2018 - 2019,0.61
,,2019 - 2020,0.78
,,2020 - 2021,0.52
,,2021 - 2022,0.63
,,2022 - 2023,0.66
,Tiruvannamalai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.46
,,2014 - 2015,0.61
,,2015 - 2016,0.63
,,2016 - 2017,0.42
,,2017 - 2018,0.68
,,2018 - 2019,0.64
,,2019 - 2020,0.92
,,2020 - 2021,1.0
,,2021 - 2022,0.83
,,2022 - 2023,0.89
,Vellore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.85
,,2014 - 2015,0.99
,,2015 - 2016,0.7
,,2016 - 2017,0.36
,,2017 - 2018,0.67
,,2018 - 2019,0.61
,,2019 - 2020,0.78
,,2020 - 2021,0.52
,,2021 - 2022,0.63
,,2022 - 2023,0.66
,Villupuram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.02
,,2014 - 2015,1.3
,,2015 - 2016,0.97
,,2016 - 2017,0.48
,,2017 - 2018,1.0
,,2018 - 2019,0.77
,,2019 - 2020,1.14
,,2020 - 2021,0.9
,,2021 - 2022,0.95
,,2022 - 2023,1.01
,Virudhunagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.63
,,2014 - 2015,0.86
,,2015 - 2016,0.7
,,2016 - 2017,0.36
,,2017 - 2018,0.68
,,2018 - 2019,0.61
,,2019 - 2020,0.78
,,2020 - 2021,0.52
,,2021 - 2022,0.63
,,2022 - 2023,0.65
Telangana,Adilabad,2000 - 2001,0.53
,,2001 - 2002,0.17
,,2002 - 2003,0.23
,,2003 - 2004,0.41
,,2004 - 2005,0.73
,,2005 - 2006,0.74
,,2006 - 2007,0.95
,,2007 - 2008,1.0
,,2008 - 2009,0.67
,,2009 - 2010,0.69
,,2010 - 2011,0.74
,,2011 - 2012,0.42
,,2012 - 2013,0.0
,,2013 - 2014,0.98
,,2014 - 2015,0.41
,,2015 - 2016,0.79
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,1.5
,,2019 - 2020,1.78
,,2020 - 2021,1.86
,,2021 - 2022,1.29
,,2022 - 2023,1.58
,Bhadradri,2016 - 2017,0.82
,,2017 - 2018,0.88
,,2018 - 2019,1.48
,,2019 - 2020,1.8
,,2020 - 2021,1.91
,,2021 - 2022,1.25
,,2022 - 2023,1.0
,Jagitial,2016 - 2017,0.82
,,2017 - 2018,1.03
,,2018 - 2019,1.13
,,2019 - 2020,1.12
,,2020 - 2021,1.23
,,2021 - 2022,0.82
,,2022 - 2023,1.04
,Jangoan,2016 - 2017,0.82
,,2017 - 2018,0.89
,,2018 - 2019,1.47
,,2019 - 2020,1.78
,,2020 - 2021,1.87
,,2021 - 2022,1.3
,,2022 - 2023,1.57
,Jayashankar,2016 - 2017,0.82
,,2017 - 2018,0.73
,,2018 - 2019,0.68
,,2019 - 2020,1.8
,,2020 - 2021,1.88
,,2021 - 2022,0.68
,,2022 - 2023,1.56
,Jogulamba,2016 - 2017,0.82
,,2017 - 2018,0.88
,,2018 - 2019,1.48
,,2019 - 2020,1.8
,,2020 - 2021,1.88
,,2021 - 2022,0.89
,,2022 - 2023,1.14
,Kamareddy,2016 - 2017,1.1
,,2017 - 2018,0.89
,,2018 - 2019,1.47
,,2019 - 2020,1.82
,,2020 - 2021,1.93
,,2021 - 2022,1.3
,,2022 - 2023,1.57
,Karimnagar,2000 - 2001,0.53
,,2001 - 2002,0.17
,,2002 - 2003,0.23
,,2003 - 2004,0.41
,,2004 - 2005,0.73
,,2005 - 2006,0.74
,,2006 - 2007,0.95
,,2008 - 2009,0.67
,,2009 - 2010,0.69
,,2010 - 2011,0.74
,,2011 - 2012,0.42
,,2012 - 2013,1.0
,,2013 - 2014,0.98
,,2014 - 2015,0.41
,,2015 - 2016,0.79
,,2016 - 2017,0.82
,,2017 - 2018,0.86
,,2018 - 2019,1.48
,,2019 - 2020,1.75
,,2020 - 2021,3.5
,,2021 - 2022,1.29
,,2022 - 2023,2.0
,Khammam,2000 - 2001,0.77
,,2001 - 2002,0.17
,,2002 - 2003,0.23
,,2003 - 2004,0.41
,,2004 - 2005,0.71
,,2005 - 2006,0.81
,,2006 - 2007,1.24
,,2007 - 2008,1.0
,,2008 - 2009,0.7
,,2009 - 2010,0.77
,,2010 - 2011,0.79
,,2011 - 2012,0.9
,,2012 - 2013,1.0
,,2013 - 2014,1.05
,,2014 - 2015,0.41
,,2015 - 2016,0.99
,,2016 - 2017,0.82
,,2017 - 2018,0.88
,,2018 - 2019,1.48
,,2019 - 2020,1.8
,,2020 - 2021,1.87
,,2021 - 2022,0.8
,,2022 - 2023,0.88
,Komaram bheem asifabad,2016 - 2017,0.72
,,2017 - 2018,0.88
,,2018 - 2019,1.5
,,2019 - 2020,1.81
,,2020 - 2021,1.92
,,2021 - 2022,1.3
,,2022 - 2023,1.55
,Mahabubabad,2016 - 2017,0.82
,,2017 - 2018,0.75
,,2018 - 2019,0.81
,,2019 - 2020,1.8
,,2020 - 2021,1.88
,,2021 - 2022,0.62
,,2022 - 2023,0.88
,Mahbubnagar,2000 - 2001,0.5
,,2001 - 2002,0.17
,,2002 - 2003,0.29
,,2003 - 2004,0.36
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.0
,,2007 - 2008,
,,2008 - 2009,0.7
,,2009 - 2010,0.7
,,2010 - 2011,0.74
,,2011 - 2012,0.41
,,2012 - 2013,
,,2013 - 2014,0.98
,,2014 - 2015,0.41
,,2015 - 2016,0.79
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,2.0
,,2020 - 2021,1.91
,,2021 - 2022,1.3
,,2022 - 2023,1.58
,Mancherial,2016 - 2017,0.7
,,2017 - 2018,0.88
,,2018 - 2019,1.49
,,2019 - 2020,1.79
,,2020 - 2021,2.07
,,2021 - 2022,1.3
,,2022 - 2023,1.56
,Medak,2000 - 2001,0.5
,,2001 - 2002,0.17
,,2002 - 2003,0.23
,,2003 - 2004,0.41
,,2004 - 2005,0.5
,,2005 - 2006,
,,2006 - 2007,1.0
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.67
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,0.41
,,2015 - 2016,0.77
,,2016 - 2017,0.67
,,2017 - 2018,0.83
,,2018 - 2019,1.43
,,2019 - 2020,1.8
,,2020 - 2021,1.75
,,2021 - 2022,1.3
,,2022 - 2023,1.5
,Medchal,2021 - 2022,1.29
,,2022 - 2023,2.0
,Mulugu,2018 - 2019,0.66
,,2019 - 2020,1.8
,,2020 - 2021,1.88
,,2021 - 2022,0.76
,,2022 - 2023,0.51
,Nagarkurnool,2016 - 2017,0.82
,,2017 - 2018,0.88
,,2018 - 2019,1.48
,,2019 - 2020,1.8
,,2020 - 2021,1.88
,,2021 - 2022,0.97
,,2022 - 2023,1.28
,Nalgonda,2000 - 2001,0.29
,,2001 - 2002,0.17
,,2002 - 2003,0.23
,,2003 - 2004,0.41
,,2004 - 2005,0.75
,,2005 - 2006,0.51
,,2006 - 2007,0.35
,,2007 - 2008,0.5
,,2008 - 2009,0.55
,,2009 - 2010,0.42
,,2010 - 2011,0.4
,,2011 - 2012,0.1
,,2012 - 2013,0.33
,,2013 - 2014,0.44
,,2014 - 2015,0.41
,,2015 - 2016,0.42
,,2016 - 2017,0.82
,,2017 - 2018,0.88
,,2018 - 2019,1.47
,,2019 - 2020,1.8
,,2020 - 2021,1.87
,,2021 - 2022,1.3
,,2022 - 2023,1.59
,Narayanapet,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,2.0
,,2021 - 2022,1.3
,,2022 - 2023,1.56
,Nirmal,2016 - 2017,0.72
,,2017 - 2018,0.88
,,2018 - 2019,1.48
,,2019 - 2020,1.83
,,2020 - 2021,1.82
,,2021 - 2022,1.29
,,2022 - 2023,1.56
,Nizamabad,2000 - 2001,0.53
,,2001 - 2002,0.17
,,2002 - 2003,0.23
,,2003 - 2004,0.41
,,2004 - 2005,0.73
,,2005 - 2006,0.74
,,2006 - 2007,0.95
,,2007 - 2008,1.0
,,2008 - 2009,0.67
,,2009 - 2010,0.69
,,2010 - 2011,0.74
,,2011 - 2012,0.42
,,2012 - 2013,0.5
,,2013 - 2014,0.98
,,2014 - 2015,0.41
,,2015 - 2016,0.79
,,2016 - 2017,1.1
,,2017 - 2018,1.5
,,2018 - 2019,1.47
,,2019 - 2020,1.81
,,2020 - 2021,1.96
,,2021 - 2022,1.3
,,2022 - 2023,1.57
,Peddapalli,2016 - 2017,0.82
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.83
,,2020 - 2021,1.88
,,2021 - 2022,1.29
,,2022 - 2023,2.0
,Rajanna,2016 - 2017,0.82
,,2017 - 2018,0.86
,,2018 - 2019,1.5
,,2019 - 2020,
,,2020 - 2021,2.5
,,2021 - 2022,1.29
,,2022 - 2023,2.0
,Rangareddi,2000 - 2001,0.52
,,2001 - 2002,0.2
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.0
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.0
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.8
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.91
,,2021 - 2022,1.3
,,2022 - 2023,
,Sangareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.92
,,2021 - 2022,1.29
,,2022 - 2023,1.56
,Siddipet,2016 - 2017,0.76
,,2017 - 2018,0.9
,,2018 - 2019,1.45
,,2019 - 2020,1.86
,,2020 - 2021,1.79
,,2021 - 2022,1.29
,,2022 - 2023,2.0
,Suryapet,2016 - 2017,0.82
,,2017 - 2018,0.88
,,2018 - 2019,1.48
,,2019 - 2020,1.8
,,2020 - 2021,1.92
,,2021 - 2022,1.3
,,2022 - 2023,0.61
,Vikarabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,2.0
,,2021 - 2022,1.3
,,2022 - 2023,1.6
,Wanaparthy,2016 - 2017,0.82
,,2017 - 2018,0.88
,,2018 - 2019,2.05
,,2019 - 2020,1.86
,,2020 - 2021,1.93
,,2021 - 2022,1.82
,,2022 - 2023,1.96
,Warangal,2000 - 2001,0.53
,,2001 - 2002,0.17
,,2002 - 2003,0.23
,,2003 - 2004,0.41
,,2004 - 2005,0.72
,,2005 - 2006,0.74
,,2006 - 2007,0.95
,,2007 - 2008,0.5
,,2008 - 2009,0.67
,,2009 - 2010,0.7
,,2010 - 2011,0.74
,,2011 - 2012,0.42
,,2012 - 2013,0.5
,,2013 - 2014,0.98
,,2014 - 2015,0.41
,,2015 - 2016,0.79
,,2016 - 2017,0.81
,,2017 - 2018,0.88
,,2018 - 2019,1.48
,,2019 - 2020,1.8
,,2020 - 2021,1.86
,,2021 - 2022,0.74
,,2022 - 2023,1.63
,Warangal urban,2016 - 2017,0.82
,,2017 - 2018,0.88
,,2018 - 2019,1.49
,,2019 - 2020,1.81
,,2020 - 2021,2.0
,,2021 - 2022,1.3
,,2022 - 2023,1.63
,Yadadri,2016 - 2017,0.81
,,2017 - 2018,0.88
,,2018 - 2019,1.48
,,2019 - 2020,1.83
,,2020 - 2021,1.93
,,2021 - 2022,1.3
,,2022 - 2023,1.67
Tripura,Dhalai,2004 - 2005,0.57
,,2005 - 2006,0.5
,,2006 - 2007,0.53
,,2007 - 2008,0.56
,,2008 - 2009,0.8
,,2009 - 2010,0.56
,,2010 - 2011,0.59
,,2011 - 2012,0.59
,,2012 - 2013,0.58
,,2013 - 2014,0.73
,,2014 - 2015,0.7
,,2015 - 2016,0.71
,,2016 - 2017,0.72
,,2017 - 2018,0.75
,,2018 - 2019,0.74
,,2019 - 2020,0.8
,,2020 - 2021,0.85
,,2021 - 2022,0.82
,,2022 - 2023,0.82
,Gomati,2012 - 2013,0.99
,,2013 - 2014,0.97
,,2014 - 2015,0.91
,,2015 - 2016,0.79
,,2016 - 2017,0.92
,,2017 - 2018,0.81
,,2018 - 2019,0.69
,,2019 - 2020,0.78
,,2020 - 2021,0.77
,,2021 - 2022,0.76
,,2022 - 2023,0.76
,Khowai,2012 - 2013,0.52
,,2013 - 2014,0.86
,,2014 - 2015,0.68
,,2015 - 2016,0.78
,,2016 - 2017,0.76
,,2017 - 2018,0.69
,,2018 - 2019,0.71
,,2019 - 2020,0.74
,,2020 - 2021,0.8
,,2021 - 2022,0.78
,,2022 - 2023,0.78
,North tripura,2004 - 2005,0.59
,,2005 - 2006,0.57
,,2006 - 2007,0.53
,,2007 - 2008,0.55
,,2008 - 2009,0.55
,,2009 - 2010,0.52
,,2010 - 2011,0.6
,,2011 - 2012,0.61
,,2012 - 2013,0.6
,,2013 - 2014,0.72
,,2014 - 2015,0.76
,,2015 - 2016,0.77
,,2016 - 2017,0.72
,,2017 - 2018,0.69
,,2018 - 2019,0.65
,,2019 - 2020,0.66
,,2020 - 2021,0.71
,,2021 - 2022,0.66
,,2022 - 2023,0.73
,Sepahijala,2012 - 2013,0.62
,,2013 - 2014,
,,2014 - 2015,0.5
,,2015 - 2016,0.7
,,2016 - 2017,0.72
,,2017 - 2018,0.55
,,2018 - 2019,0.73
,,2019 - 2020,0.72
,,2020 - 2021,0.78
,,2021 - 2022,0.77
,,2022 - 2023,0.76
,South tripura,2004 - 2005,0.73
,,2005 - 2006,0.93
,,2006 - 2007,0.84
,,2007 - 2008,0.75
,,2008 - 2009,0.83
,,2009 - 2010,0.73
,,2010 - 2011,0.78
,,2011 - 2012,0.8
,,2012 - 2013,0.67
,,2013 - 2014,0.87
,,2014 - 2015,0.75
,,2015 - 2016,0.75
,,2016 - 2017,0.81
,,2017 - 2018,0.78
,,2018 - 2019,0.74
,,2019 - 2020,0.76
,,2020 - 2021,0.81
,,2021 - 2022,0.78
,,2022 - 2023,0.78
,Unakoti,2012 - 2013,0.55
,,2013 - 2014,0.69
,,2014 - 2015,0.68
,,2015 - 2016,0.69
,,2016 - 2017,0.72
,,2017 - 2018,0.68
,,2018 - 2019,0.64
,,2019 - 2020,0.65
,,2020 - 2021,0.72
,,2021 - 2022,0.67
,,2022 - 2023,0.74
,West tripura,2004 - 2005,0.49
,,2005 - 2006,0.48
,,2006 - 2007,0.5
,,2007 - 2008,0.51
,,2008 - 2009,0.39
,,2009 - 2010,0.55
,,2010 - 2011,0.57
,,2011 - 2012,0.53
,,2012 - 2013,0.59
,,2013 - 2014,0.64
,,2014 - 2015,0.66
,,2015 - 2016,0.69
,,2016 - 2017,0.73
,,2017 - 2018,0.66
,,2018 - 2019,0.69
,,2019 - 2020,0.72
,,2020 - 2021,0.79
,,2021 - 2022,0.76
,,2022 - 2023,0.78
Uttar Pradesh,Agra,2000 - 2001,0.33
,,2001 - 2002,0.29
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Aligarh,2000 - 2001,0.44
,,2001 - 2002,0.32
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Allahabad,2000 - 2001,0.37
,,2001 - 2002,0.52
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ambedkar nagar,2000 - 2001,0.45
,,2001 - 2002,0.55
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Amethi,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Amroha,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Auraiya,2000 - 2001,0.5
,,2001 - 2002,0.63
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Azamgarh,2000 - 2001,0.46
,,2001 - 2002,0.49
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Baghpat,2000 - 2001,0.54
,,2001 - 2002,0.48
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bahraich,2000 - 2001,0.46
,,2001 - 2002,0.49
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ballia,2000 - 2001,0.45
,,2001 - 2002,0.5
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Balrampur,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Banda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Barabanki,2000 - 2001,0.43
,,2001 - 2002,0.43
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bareilly,2000 - 2001,0.47
,,2001 - 2002,0.47
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Basti,2000 - 2001,0.46
,,2001 - 2002,0.49
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bijnor,2000 - 2001,0.45
,,2001 - 2002,0.48
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Budaun,2000 - 2001,0.47
,,2001 - 2002,0.49
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bulandshahr,2000 - 2001,0.54
,,2001 - 2002,0.48
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chandauli,2000 - 2001,0.43
,,2001 - 2002,0.5
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chitrakoot,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Deoria,2000 - 2001,0.5
,,2001 - 2002,0.44
,,2002 - 2003,
,,2003 - 2004,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Etah,2000 - 2001,0.45
,,2001 - 2002,0.31
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Etawah,2000 - 2001,0.5
,,2001 - 2002,0.63
