state,district,year,rice_rabi_yield_tonne_per_hectare
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Karur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Krishnagiri,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Madurai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mayiladuthurai,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nagapattinam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Namakkal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Perambalur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pudukkottai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ramanathapuram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ranipet,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Salem,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sivaganga,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thanjavur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,The nilgiris,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Theni,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thenkasi,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thiruvallur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thiruvarur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thoothukudi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruchirappalli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirunelveli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirupathur,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruvannamalai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vellore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Villupuram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Virudhunagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Telangana,Adilabad,2000 - 2001,3.08
,,2001 - 2002,2.39
,,2002 - 2003,2.18
,,2003 - 2004,2.64
,,2004 - 2005,2.2
,,2005 - 2006,2.39
,,2006 - 2007,2.5
,,2007 - 2008,2.33
,,2008 - 2009,2.87
,,2009 - 2010,2.27
,,2010 - 2011,2.89
,,2011 - 2012,3.1
,,2012 - 2013,2.8
,,2013 - 2014,2.92
,,2014 - 2015,3.22
,,2015 - 2016,2.88
,,2016 - 2017,3.79
,,2017 - 2018,3.6
,,2018 - 2019,3.4
,,2019 - 2020,3.72
,,2020 - 2021,3.88
,,2021 - 2022,3.57
,,2022 - 2023,3.45
,Bhadradri,2016 - 2017,4.11
,,2017 - 2018,3.77
,,2018 - 2019,4.07
,,2019 - 2020,3.29
,,2020 - 2021,1.54
,,2021 - 2022,3.16
,,2022 - 2023,3.57
,Hyderabad,2000 - 2001,
,Jagitial,2016 - 2017,3.74
,,2017 - 2018,3.5
,,2018 - 2019,3.78
,,2019 - 2020,3.82
,,2020 - 2021,4.3
,,2021 - 2022,3.82
,,2022 - 2023,3.62
,Jangoan,2016 - 2017,3.61
,,2017 - 2018,3.53
,,2018 - 2019,2.8
,,2019 - 2020,3.55
,,2020 - 2021,3.79
,,2021 - 2022,3.19
,,2022 - 2023,2.16
,Jayashankar,2016 - 2017,3.63
,,2017 - 2018,3.5
,,2018 - 2019,3.32
,,2019 - 2020,3.59
,,2020 - 2021,3.83
,,2021 - 2022,2.89
,,2022 - 2023,3.09
,Jogulamba,2016 - 2017,2.66
,,2017 - 2018,2.54
,,2018 - 2019,2.81
,,2019 - 2020,3.17
,,2020 - 2021,3.12
,,2021 - 2022,2.99
,,2022 - 2023,3.18
,Kamareddy,2016 - 2017,3.87
,,2017 - 2018,3.8
,,2018 - 2019,3.76
,,2019 - 2020,4.15
,,2020 - 2021,4.33
,,2021 - 2022,4.32
,,2022 - 2023,3.55
,Karimnagar,2000 - 2001,3.47
,,2001 - 2002,3.22
,,2002 - 2003,3.15
,,2003 - 2004,3.19
,,2004 - 2005,2.77
,,2005 - 2006,3.44
,,2006 - 2007,3.29
,,2007 - 2008,3.59
,,2008 - 2009,3.6
,,2009 - 2010,3.09
,,2010 - 2011,3.73
,,2011 - 2012,3.29
,,2012 - 2013,3.61
,,2013 - 2014,3.69
,,2014 - 2015,3.62
,,2015 - 2016,3.19
,,2016 - 2017,4.24
,,2017 - 2018,4.21
,,2018 - 2019,3.68
,,2019 - 2020,3.91
,,2020 - 2021,4.33
,,2021 - 2022,3.74
,,2022 - 2023,3.16
,Khammam,2000 - 2001,3.1
,,2001 - 2002,3.48
,,2002 - 2003,2.42
,,2003 - 2004,2.92
,,2004 - 2005,3.29
,,2005 - 2006,2.97
,,2006 - 2007,2.89
,,2007 - 2008,3.27
,,2008 - 2009,3.23
,,2009 - 2010,3.61
,,2010 - 2011,3.54
,,2011 - 2012,2.99
,,2012 - 2013,2.89
,,2013 - 2014,3.27
,,2014 - 2015,3.62
,,2015 - 2016,2.66
,,2016 - 2017,4.06
,,2017 - 2018,3.77
,,2018 - 2019,3.12
,,2019 - 2020,3.88
,,2020 - 2021,3.61
,,2021 - 2022,3.05
,,2022 - 2023,3.44
,Komaram bheem asifabad,2016 - 2017,2.57
,,2017 - 2018,2.72
,,2018 - 2019,2.35
,,2019 - 2020,3.0
,,2020 - 2021,3.61
,,2021 - 2022,2.75
,,2022 - 2023,2.94
,Mahabubabad,2016 - 2017,3.2
,,2017 - 2018,3.3
,,2018 - 2019,3.5
,,2019 - 2020,3.37
,,2020 - 2021,3.56
,,2021 - 2022,3.15
,,2022 - 2023,2.92
,Mahbubnagar,2000 - 2001,2.83
,,2001 - 2002,2.35
,,2002 - 2003,2.0
,,2003 - 2004,2.09
,,2004 - 2005,2.25
,,2005 - 2006,2.55
,,2006 - 2007,2.45
,,2007 - 2008,2.78
,,2008 - 2009,2.81
,,2009 - 2010,2.69
,,2010 - 2011,2.8
,,2011 - 2012,2.54
,,2012 - 2013,2.76
,,2013 - 2014,2.73
,,2014 - 2015,2.74
,,2015 - 2016,2.17
,,2016 - 2017,2.55
,,2017 - 2018,2.95
,,2018 - 2019,2.59
,,2019 - 2020,3.31
,,2020 - 2021,3.65
,,2021 - 2022,3.5
,,2022 - 2023,3.53
,Mancherial,2016 - 2017,3.7
,,2017 - 2018,3.71
,,2018 - 2019,3.66
,,2019 - 2020,4.25
,,2020 - 2021,3.91
,,2021 - 2022,3.04
,,2022 - 2023,3.26
,Medak,2000 - 2001,3.23
,,2001 - 2002,2.64
,,2002 - 2003,1.76
,,2003 - 2004,2.31
,,2004 - 2005,2.2
,,2005 - 2006,2.94
,,2006 - 2007,2.84
,,2007 - 2008,3.37
,,2008 - 2009,3.34
,,2009 - 2010,2.96
,,2010 - 2011,3.66
,,2011 - 2012,2.6
,,2012 - 2013,3.03
,,2013 - 2014,3.7
,,2014 - 2015,3.49
,,2015 - 2016,2.86
,,2016 - 2017,4.13
,,2017 - 2018,3.44
,,2018 - 2019,3.22
,,2019 - 2020,3.74
,,2020 - 2021,5.0
,,2021 - 2022,3.75
,,2022 - 2023,3.33
,Medchal,2016 - 2017,3.89
,,2017 - 2018,3.93
,,2018 - 2019,3.36
,,2019 - 2020,3.45
,,2020 - 2021,3.86
,,2021 - 2022,3.35
,,2022 - 2023,3.61
,Mulugu,2018 - 2019,3.32
,,2019 - 2020,3.83
,,2020 - 2021,3.5
,,2021 - 2022,3.05
,,2022 - 2023,3.38
,Nagarkurnool,2016 - 2017,2.33
,,2017 - 2018,3.17
,,2018 - 2019,2.66
,,2019 - 2020,3.46
,,2020 - 2021,3.36
,,2021 - 2022,2.91
,,2022 - 2023,3.48
,Nalgonda,2000 - 2001,2.75
,,2001 - 2002,2.59
,,2002 - 2003,2.3
,,2003 - 2004,2.82
,,2004 - 2005,2.98
,,2005 - 2006,3.21
,,2006 - 2007,3.15
,,2007 - 2008,3.2
,,2008 - 2009,3.26
,,2009 - 2010,3.43
,,2010 - 2011,3.42
,,2011 - 2012,2.97
,,2012 - 2013,3.33
,,2013 - 2014,3.27
,,2014 - 2015,3.37
,,2015 - 2016,2.71
,,2016 - 2017,3.51
,,2017 - 2018,3.17
,,2018 - 2019,3.29
,,2019 - 2020,3.44
,,2020 - 2021,3.68
,,2021 - 2022,3.23
,,2022 - 2023,3.72
,Narayanapet,2018 - 2019,2.59
,,2019 - 2020,3.37
,,2020 - 2021,3.3
,,2021 - 2022,3.47
,,2022 - 2023,3.36
,Nirmal,2016 - 2017,3.03
,,2017 - 2018,3.73
,,2018 - 2019,3.45
,,2019 - 2020,3.87
,,2020 - 2021,4.06
,,2021 - 2022,3.63
,,2022 - 2023,3.41
,Nizamabad,2000 - 2001,3.27
,,2001 - 2002,2.69
,,2002 - 2003,2.3
,,2003 - 2004,3.0
,,2004 - 2005,2.58
,,2005 - 2006,3.19
,,2006 - 2007,3.32
,,2007 - 2008,3.49
,,2008 - 2009,3.47
,,2009 - 2010,3.14
,,2010 - 2011,3.97
,,2011 - 2012,3.52
,,2012 - 2013,3.44
,,2013 - 2014,3.89
,,2014 - 2015,3.8
,,2015 - 2016,3.07
,,2016 - 2017,4.16
,,2017 - 2018,4.06
,,2018 - 2019,3.96
,,2019 - 2020,4.03
,,2020 - 2021,4.22
,,2021 - 2022,3.99
,,2022 - 2023,3.89
,Peddapalli,2016 - 2017,4.36
,,2017 - 2018,4.09
,,2018 - 2019,3.89
,,2019 - 2020,4.08
,,2020 - 2021,4.15
,,2021 - 2022,3.79
,,2022 - 2023,3.85
,Rajanna,2016 - 2017,3.99
,,2017 - 2018,3.23
,,2018 - 2019,3.52
,,2019 - 2020,3.95
,,2020 - 2021,4.06
,,2021 - 2022,4.32
,,2022 - 2023,3.69
,Rangareddi,2000 - 2001,2.51
,,2001 - 2002,2.66
,,2002 - 2003,2.37
,,2003 - 2004,2.41
,,2004 - 2005,2.67
,,2005 - 2006,2.79
,,2006 - 2007,2.54
,,2007 - 2008,2.58
,,2008 - 2009,2.76
,,2009 - 2010,2.64
,,2010 - 2011,2.68
,,2011 - 2012,2.47
,,2012 - 2013,2.5
,,2013 - 2014,2.23
,,2014 - 2015,2.79
,,2015 - 2016,2.37
,,2016 - 2017,3.09
,,2017 - 2018,3.12
,,2018 - 2019,1.92
,,2019 - 2020,2.75
,,2020 - 2021,3.69
,,2021 - 2022,3.14
,,2022 - 2023,3.69
,Sangareddy,2016 - 2017,4.65
,,2017 - 2018,4.45
,,2018 - 2019,2.73
,,2019 - 2020,3.13
,,2020 - 2021,3.71
,,2021 - 2022,3.48
,,2022 - 2023,3.41
,Siddipet,2016 - 2017,3.87
,,2017 - 2018,3.74
,,2018 - 2019,2.39
,,2019 - 2020,3.8
,,2020 - 2021,4.26
,,2021 - 2022,4.18
,,2022 - 2023,3.04
,Suryapet,2016 - 2017,3.69
,,2017 - 2018,3.74
,,2018 - 2019,3.6
,,2019 - 2020,3.63
,,2020 - 2021,3.83
,,2021 - 2022,3.24
,,2022 - 2023,3.54
,Vikarabad,2016 - 2017,2.65
,,2017 - 2018,3.3
,,2018 - 2019,2.84
,,2019 - 2020,3.55
,,2020 - 2021,3.01
,,2021 - 2022,2.99
,,2022 - 2023,3.22
,Wanaparthy,2016 - 2017,2.88
,,2017 - 2018,2.82
,,2018 - 2019,2.82
,,2019 - 2020,3.32
,,2020 - 2021,3.78
,,2021 - 2022,3.24
,,2022 - 2023,3.32
,Warangal,2000 - 2001,2.98
,,2001 - 2002,2.94
,,2002 - 2003,2.55
,,2003 - 2004,2.81
,,2004 - 2005,2.92
,,2005 - 2006,3.28
,,2006 - 2007,2.64
,,2007 - 2008,2.85
,,2008 - 2009,2.95
,,2009 - 2010,2.67
,,2010 - 2011,3.45
,,2011 - 2012,2.66
,,2012 - 2013,3.54
,,2013 - 2014,3.13
,,2014 - 2015,3.34
,,2015 - 2016,3.16
,,2016 - 2017,3.98
,,2017 - 2018,3.23
,,2018 - 2019,3.45
,,2019 - 2020,3.78
,,2020 - 2021,4.03
,,2021 - 2022,3.24
,,2022 - 2023,3.54
,Warangal urban,2016 - 2017,3.77
,,2017 - 2018,4.24
,,2018 - 2019,3.28
,,2019 - 2020,3.8
,,2020 - 2021,3.68
,,2021 - 2022,3.93
,,2022 - 2023,3.86
,Yadadri,2016 - 2017,3.84
,,2017 - 2018,3.62
,,2018 - 2019,3.53
,,2019 - 2020,3.55
,,2020 - 2021,3.59
,,2021 - 2022,3.37
,,2022 - 2023,3.51
The Dadra & Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2021 - 2022,
,,2022 - 2023,
,Daman,2021 - 2022,
,,2022 - 2023,
Tripura,Dhalai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gomati,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khowai,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,North tripura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sepahijala,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South tripura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Unakoti,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West tripura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Uttar Pradesh,Agra,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Aligarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Allahabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ambedkar nagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
