State,District,Year,Wheat,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2009 - 2010,285,576,2.02,,,,,,,,,,,,
,,2010 - 2011,280,574,2.05,,,,,,,,,,,,
,,2011 - 2012,280,635,2.27,,,,,,,,,,,,
,,2012 - 2013,297,613,2.06,,,,,,,,,,,,
,,2013 - 2014,280,521,1.86,,,,,,,,,,,,
,,2014 - 2015,373,858,2.3,,,,,,,,,,,,
,,2015 - 2016,373,858,2.3,,,,,,,,,,,,
,,2016 - 2017,373,858,2.3,,,,,,,,,,,,
,,2017 - 2018,375,862,2.3,,,,,,,,,,,,
,,2018 - 2019,375,862,2.3,,,,,,,,,,,,
,,2019 - 2020,375,862,2.3,,,,,,,,,,,,
,,2020 - 2021,375,862,2.3,,,,,,,,,,,,
,,2021 - 2022,380,873,2.3,,,,,,,,,,,,
,,2022 - 2023,381,876,2.3,,,,,,,,,,,,
,3. Dibang valley,2000 - 2001,170,250,1.47,,,,,,,,,,,,
,,2001 - 2002,15,25,1.67,,,,,,,,,,,,
,4. East kameng,2000 - 2001,12,17,1.42,,,,,,,,,,,,
,,2001 - 2002,470,795,1.69,,,,,,,,,,,,
,,2002 - 2003,16,28,1.75,,,,,,,,,,,,
,,2003 - 2004,16,28,1.75,,,,,,,,,,,,
,,2004 - 2005,20,32,1.6,,,,,,,,,,,,
,,2005 - 2006,23,46,2,,,,,,,,,,,,
,,2006 - 2007,23,47,2.04,,,,,,,,,,,,
,,2007 - 2008,25,52,2.08,,,,,,,,,,,,
,,2008 - 2009,27,56,2.07,,,,,,,,,,,,
,,2009 - 2010,28,57,2.04,,,,,,,,,,,,
,,2010 - 2011,31,65,2.1,,,,,,,,,,,,
,,2011 - 2012,31,72,2.32,,,,,,,,,,,,
,,2012 - 2013,32,75,2.34,,,,,,,,,,,,
,,2013 - 2014,35,81,2.31,,,,,,,,,,,,
,,2014 - 2015,128,418,3.27,,,,,,,,,,,,
,,2015 - 2016,148,348,2.35,,,,,,,,,,,,
,,2016 - 2017,148,348,2.35,,,,,,,,,,,,
,,2017 - 2018,150,352,2.35,,,,,,,,,,,,
,,2018 - 2019,150,352,2.35,,,,,,,,,,,,
,,2019 - 2020,105,246,2.34,,,,,,,,,,,,
,,2020 - 2021,105,246,2.34,,,,,,,,,,,,
,,2021 - 2022,109,251,2.3,,,,,,,,,,,,
,,2022 - 2023,109,252,2.31,,,,,,,,,,,,
,5. East siang,2000 - 2001,460,665,1.45,,,,,,,,,,,,
,,2002 - 2003,470,845,1.8,,,,,,,,,,,,
,,2003 - 2004,464,910,1.96,,,,,,,,,,,,
,,2004 - 2005,500,"1,000.00",2,,,,,,,,,,,,
,,2005 - 2006,527,"1,045.00",1.98,,,,,,,,,,,,
,,2006 - 2007,527,"1,045.00",1.98,,,,,,,,,,,,
,,2007 - 2008,34,67,1.97,,,,,,,,,,,,
,,2008 - 2009,74,108,1.46,,,,,,,,,,,,
,,2009 - 2010,74,108,1.46,,,,,,,,,,,,
,,2010 - 2011,538,"1,067.00",1.98,,,,,,,,,,,,
,,2011 - 2012,538,"1,181.00",2.2,,,,,,,,,,,,
,,2012 - 2013,5,11,2.2,,,,,,,,,,,,
,,2013 - 2014,10,20,2,,,,,,,,,,,,
,,2014 - 2015,103,357,3.47,,,,,,,,,,,,
,,2015 - 2016,123,327,2.66,,,,,,,,,,,,
,,2016 - 2017,123,327,2.66,,,,,,,,,,,,
,,2017 - 2018,125,331,2.65,,,,,,,,,,,,
,,2018 - 2019,85,225,2.65,,,,,,,,,,,,
,,2019 - 2020,85,225,2.65,,,,,,,,,,,,
,,2020 - 2021,85,225,2.65,,,,,,,,,,,,
,,2021 - 2022,87,230,2.64,,,,,,,,,,,,
,,2022 - 2023,88,233,2.65,,,,,,,,,,,,
,6. Kurung kumey,2002 - 2003,15,16,1.07,,,,,,,,,,,,
,,2003 - 2004,15,16,1.07,,,,,,,,,,,,
,,2004 - 2005,15,16,1.07,,,,,,,,,,,,
,7. Lohit,2000 - 2001,302,541,1.79,,,,,,,,,,,,
,,2001 - 2002,170,250,1.47,,,,,,,,,,,,
,,2002 - 2003,340,578,1.7,,,,,,,,,,,,
,,2003 - 2004,340,578,1.7,,,,,,,,,,,,
,,2004 - 2005,355,603,1.7,,,,,,,,,,,,
,,2005 - 2006,392,666,1.7,,,,,,,,,,,,
,,2006 - 2007,420,772,1.84,,,,,,,,,,,,
,,2007 - 2008,415,664,1.6,,,,,,,,,,,,
,,2008 - 2009,423,698,1.65,,,,,,,,,,,,
,,2009 - 2010,400,640,1.6,,,,,,,,,,,,
,,2010 - 2011,475,784,1.65,,,,,,,,,,,,
,,2011 - 2012,475,867,1.83,,,,,,,,,,,,
,,2012 - 2013,460,759,1.65,,,,,,,,,,,,
,,2013 - 2014,465,799,1.72,,,,,,,,,,,,
,,2014 - 2015,558,"1,136.00",2.04,,,,,,,,,,,,
,,2015 - 2016,223,474,2.13,,,,,,,,,,,,
,,2016 - 2017,223,474,2.13,,,,,,,,,,,,
,,2017 - 2018,225,478,2.12,,,,,,,,,,,,
,,2018 - 2019,225,478,2.12,,,,,,,,,,,,
,,2019 - 2020,225,478,2.12,,,,,,,,,,,,
,,2020 - 2021,225,478,2.12,,,,,,,,,,,,
,,2021 - 2022,229,485,2.12,,,,,,,,,,,,
,,2022 - 2023,229,486,2.12,,,,,,,,,,,,
,8. Lower dibang valley,2002 - 2003,170,255,1.5,,,,,,,,,,,,
,,2003 - 2004,175,260,1.49,,,,,,,,,,,,
,,2004 - 2005,180,270,1.5,,,,,,,,,,,,
,,2005 - 2006,195,302,1.55,,,,,,,,,,,,
,,2006 - 2007,250,375,1.5,,,,,,,,,,,,
,,2007 - 2008,260,364,1.4,,,,,,,,,,,,
,,2008 - 2009,257,386,1.5,,,,,,,,,,,,
,,2009 - 2010,260,390,1.5,,,,,,,,,,,,
,,2010 - 2011,265,398,1.5,,,,,,,,,,,,
,,2011 - 2012,265,442,1.67,,,,,,,,,,,,
,,2012 - 2013,280,420,1.5,,,,,,,,,,,,
,,2013 - 2014,289,434,1.5,,,,,,,,,,,,
,,2014 - 2015,382,771,2.02,,,,,,,,,,,,
,,2015 - 2016,392,791,2.02,,,,,,,,,,,,
,,2016 - 2017,392,791,2.02,,,,,,,,,,,,
,,2017 - 2018,394,795,2.02,,,,,,,,,,,,
,,2018 - 2019,394,795,2.02,,,,,,,,,,,,
,,2019 - 2020,394,795,2.02,,,,,,,,,,,,
,,2020 - 2021,394,795,2.02,,,,,,,,,,,,
,,2021 - 2022,399,806,2.02,,,,,,,,,,,,
,,2022 - 2023,399,807,2.02,,,,,,,,,,,,
,9. Lower siang,2018 - 2019,40,106,2.65,,,,,,,,,,,,
,,2019 - 2020,40,106,2.65,,,,,,,,,,,,
,,2020 - 2021,40,106,2.65,,,,,,,,,,,,
,,2021 - 2022,43,112,2.6,,,,,,,,,,,,
,,2022 - 2023,44,115,2.61,,,,,,,,,,,,
,10. Lower subansiri,2000 - 2001,65,70,1.08,,,,,,,,,,,,
,,2001 - 2002,10,12,1.2,,,,,,,,,,,,
,,2002 - 2003,45,55,1.22,,,,,,,,,,,,
,,2006 - 2007,5,10,2,,,,,,,,,,,,
,,2007 - 2008,2,3,1.5,,,,,,,,,,,,
,,2008 - 2009,10,10,1,,,,,,,,,,,,
,11. Namsai,2015 - 2016,335,702,2.1,,,,,,,,,,,,
,,2016 - 2017,335,702,2.1,,,,,,,,,,,,
,,2017 - 2018,337,706,2.09,,,,,,,,,,,,
,,2018 - 2019,337,706,2.09,,,,,,,,,,,,
,,2019 - 2020,337,706,2.09,,,,,,,,,,,,
,,2020 - 2021,337,706,2.09,,,,,,,,,,,,
,,2021 - 2022,341,714,2.09,,,,,,,,,,,,
,,2022 - 2023,342,718,2.1,,,,,,,,,,,,
,12. Pakke kessang,2019 - 2020,45,106,2.36,,,,,,,,,,,,
,,2020 - 2021,45,106,2.36,,,,,,,,,,,,
,,2021 - 2022,47,110,2.34,,,,,,,,,,,,
,,2022 - 2023,47,111,2.36,,,,,,,,,,,,
,13. Papum pare,2000 - 2001,150,250,1.67,,,,,,,,,,,,
,,2001 - 2002,165,275,1.67,,,,,,,,,,,,
,,2002 - 2003,180,270,1.5,,,,,,,,,,,,
,,2003 - 2004,133,223,1.68,,,,,,,,,,,,
,,2004 - 2005,150,258,1.72,,,,,,,,,,,,
,,2005 - 2006,160,280,1.75,,,,,,,,,,,,
,,2006 - 2007,170,306,1.8,,,,,,,,,,,,
,,2007 - 2008,150,240,1.6,,,,,,,,,,,,
,,2008 - 2009,160,300,1.88,,,,,,,,,,,,
,,2009 - 2010,180,342,1.9,,,,,,,,,,,,
,,2010 - 2011,183,320,1.75,,,,,,,,,,,,
,,2011 - 2012,183,354,1.93,,,,,,,,,,,,
,,2012 - 2013,179,304,1.7,,,,,,,,,,,,
,,2013 - 2014,186,381,2.05,,,,,,,,,,,,
,,2014 - 2015,279,718,2.57,,,,,,,,,,,,
,,2015 - 2016,299,738,2.47,,,,,,,,,,,,
,,2016 - 2017,299,738,2.47,,,,,,,,,,,,
,,2017 - 2018,301,742,2.47,,,,,,,,,,,,
,,2018 - 2019,301,742,2.47,,,,,,,,,,,,
