State,District,Year,Peas & beans (Pulses),,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2022 - 2023,35,40,1.14,120,253,2.11,,,,,,
,15. Namsai,2016 - 2017,55,63,1.15,519,629,1.21,,,,,,
,,2017 - 2018,70,63,0.9,549,635,1.16,,,,,,
,,2018 - 2019,70,63,0.9,549,635,1.16,,,,,,
,,2019 - 2020,70,63,0.9,550,642,1.17,,,,,,
,,2020 - 2021,70,65,0.93,550,644,1.17,,,,,,
,,2021 - 2022,73,69,0.95,551,647,1.17,,,,,,
,,2022 - 2023,78,80,1.03,561,657,1.17,,,,,,
,16. Pakke kessang,2019 - 2020,13,15,1.15,92,108,1.17,,,,,,
,,2020 - 2021,13,15,1.15,92,110,1.2,,,,,,
,,2021 - 2022,14,16,1.14,93,111,1.19,,,,,,
,,2022 - 2023,14,16,1.14,93,141,1.52,,,,,,
,17. Papum pare,2016 - 2017,29,29,1,133,341,2.56,,,,,,
,,2017 - 2018,37,29,0.78,146,335,2.29,,,,,,
,,2018 - 2019,37,29,0.78,146,335,2.29,,,,,,
,,2019 - 2020,37,30,0.81,148,335,2.26,,,,,,
,,2020 - 2021,37,30,0.81,148,337,2.28,,,,,,
,,2021 - 2022,39,32,0.82,149,339,2.28,,,,,,
,,2022 - 2023,44,42,0.95,149,339,2.28,,,,,,
,18. Shi yomi,2019 - 2020,,,,19,72,3.79,,,,,,
,,2020 - 2021,,,,19,32,1.68,,,,,,
,,2021 - 2022,,,,19,33,1.74,,,,,,
,,2022 - 2023,,,,9,13,1.44,,,,,,
,19. Siang,2016 - 2017,32,32,1,201,212,1.05,,,,,,
,,2017 - 2018,26,31,1.19,192,211,1.1,,,,,,
,,2018 - 2019,26,31,1.19,192,211,1.1,,,,,,
,,2019 - 2020,26,31,1.19,192,218,1.14,,,,,,
,,2020 - 2021,26,34,1.31,194,379,1.95,,,,,,
,,2021 - 2022,29,38,1.31,195,382,1.96,,,,,,
,,2022 - 2023,34,40,1.18,195,373,1.91,,,,,,
,20. Tirap,2016 - 2017,29,11,0.38,69,105,1.52,,,,,,
,,2017 - 2018,23,14,0.61,59,106,1.8,,,,,,
,,2018 - 2019,23,14,0.61,59,106,1.8,,,,,,
,,2019 - 2020,23,14,0.61,60,113,1.88,,,,,,
,,2020 - 2021,23,14,0.61,60,115,1.92,,,,,,
,,2021 - 2022,24,15,0.63,61,116,1.9,,,,,,
,,2022 - 2023,24,15,0.63,61,106,1.74,,,,,,
,21. Upper siang,2016 - 2017,22,17,0.77,103,173,1.68,,,,,,
,,2017 - 2018,19,17,0.89,98,172,1.76,,,,,,
,,2018 - 2019,19,17,0.89,98,172,1.76,,,,,,
,,2019 - 2020,19,17,0.89,98,172,1.76,,,,,,
,,2020 - 2021,19,17,0.89,98,174,1.78,,,,,,
,,2021 - 2022,20,18,0.9,99,175,1.77,,,,,,
,,2022 - 2023,20,18,0.9,99,175,1.77,,,,,,
,22. Upper subansiri,2016 - 2017,30,34,1.13,198,310,1.57,,,,,,
,,2017 - 2018,32,42,1.31,194,324,1.67,,,,,,
,,2018 - 2019,22,32,1.45,178,244,1.37,,,,,,
,,2019 - 2020,22,33,1.5,179,244,1.36,,,,,,
,,2020 - 2021,22,33,1.5,179,246,1.37,,,,,,
,,2021 - 2022,23,34,1.48,180,247,1.37,,,,,,
,,2022 - 2023,23,30,1.3,180,247,1.37,,,,,,
,23. West kameng,2016 - 2017,57,65,1.14,208,407,1.96,,,,,,
,,2017 - 2018,72,73,1.01,230,434,1.89,,,,,,
,,2018 - 2019,72,73,1.01,230,434,1.89,,,,,,
,,2019 - 2020,74,74,1,230,434,1.89,,,,,,
,,2020 - 2021,74,75,1.01,230,436,1.9,,,,,,
,,2021 - 2022,76,77,1.01,231,439,1.9,,,,,,
,,2022 - 2023,81,84,1.04,231,464,2.01,,,,,,
,24. West siang,2016 - 2017,33,35,1.06,144,313,2.17,,,,,,
,,2017 - 2018,37,34,0.92,150,311,2.07,,,,,,
,,2018 - 2019,19,30,1.58,64,285,4.45,,,,,,
,,2019 - 2020,14,22,1.57,29,148,5.1,,,,,,
,,2020 - 2021,14,22,1.57,29,53,1.83,,,,,,
,,2021 - 2022,17,25,1.47,30,56,1.87,,,,,,
,,2022 - 2023,17,25,1.47,30,56,1.87,,,,,,
2. Assam,1. Baksa,2005 - 2006,,,,"1,268.00",989,0.78,,,,,,
,,2006 - 2007,,,,"1,174.00",916,0.78,,,,,,
,,2007 - 2008,,,,"1,118.00",872,0.78,,,,,,
,,2008 - 2009,,,,845,667,0.79,,,,,,
,,2009 - 2010,,,,"1,046.00",819,0.78,,,,,,
,,2010 - 2011,,,,"1,044.00",818,0.78,,,,,,
,,2011 - 2012,,,,"1,138.00",924,0.81,,,,,,
,,2012 - 2013,,,,"1,299.00","1,069.00",0.82,,,,,,
,,2013 - 2014,,,,"1,290.00","1,251.00",0.97,,,,,,
,,2014 - 2015,,,,"1,519.00","1,700.00",1.12,,,,,,
,,2015 - 2016,,,,"1,385.00","1,310.00",0.95,,,,,,
,,2016 - 2017,,,,"1,270.00","1,447.00",1.14,,,,,,
,,2017 - 2018,,,,"1,405.00","1,325.00",0.94,,,,,,
,,2018 - 2019,,,,"1,380.00","1,449.00",1.05,,,,,,
,,2019 - 2020,,,,"1,430.00","1,539.00",1.08,,,,,,
,,2020 - 2021,,,,"1,436.00","1,529.00",1.06,,,,,,
,,2021 - 2022,,,,"1,300.00","1,388.00",1.07,,,,,,
,,2022 - 2023,,,,"1,200.00","1,296.00",1.08,,,,,,
,2. Barpeta,2001 - 2002,,,,"2,135.00","1,708.00",0.8,,,,,,
,,2002 - 2003,,,,"2,105.00","1,684.00",0.8,,,,,,
,,2003 - 2004,,,,"2,135.00","1,708.00",0.8,,,,,,
,,2004 - 2005,,,,"2,110.00","1,688.00",0.8,,,,,,
,,2005 - 2006,,,,"1,891.00","1,513.00",0.8,,,,,,
,,2006 - 2007,,,,"1,965.00","1,572.00",0.8,,,,,,
,,2007 - 2008,,,,"1,965.00","1,572.00",0.8,,,,,,
,,2008 - 2009,,,,"1,382.00","1,105.00",0.8,,,,,,
,,2009 - 2010,,,,"1,404.00","1,124.00",0.8,,,,,,
,,2010 - 2011,,,,"1,585.00","1,268.00",0.8,,,,,,
,,2011 - 2012,,,,"1,521.00","1,260.00",0.83,,,,,,
