State,District,Year,Peas & beans (Pulses),,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,3. Balrampur,2011 - 2012,,,,823,297,0.36,,,,,,
,,2012 - 2013,,,,601,326,0.54,,,,,,
,,2013 - 2014,,,,638,221,0.35,,,,,,
,,2014 - 2015,,,,711,303,0.43,,,,,,
,,2015 - 2016,,,,612,244,0.4,,,,,,
,,2016 - 2017,,,,814,359,0.44,,,,,,
,,2017 - 2018,,,,928,422,0.45,,,,,,
,,2018 - 2019,,,,976,388,0.4,,,,,,
,,2019 - 2020,,,,"1,037.00",464,0.45,,,,,,
,,2020 - 2021,,,,630,311,0.49,,,,,,
,,2021 - 2022,,,,761,336,0.44,,,,,,
,,2022 - 2023,,,,173,71,0.41,,,,,,
,4. Bastar,2000 - 2001,,,,201,59,0.29,,,,,,
,,2001 - 2002,,,,239,76,0.32,,,,,,
,,2002 - 2003,,,,232,64,0.28,,,,,,
,,2003 - 2004,,,,289,84,0.29,,,,,,
,,2004 - 2005,,,,404,123,0.3,,,,,,
,,2005 - 2006,,,,337,73,0.22,,,,,,
,,2006 - 2007,,,,384,123,0.32,,,,,,
,,2007 - 2008,,,,312,91,0.29,,,,,,
,,2008 - 2009,,,,299,87,0.29,,,,,,
,,2009 - 2010,,,,344,97,0.28,,,,,,
,,2010 - 2011,,,,365,120,0.33,,,,,,
,,2011 - 2012,,,,106,28,0.26,,,,,,
,,2012 - 2013,,,,66,19,0.29,,,,,,
,,2013 - 2014,,,,121,34,0.28,,,,,,
,,2014 - 2015,,,,58,16,0.28,,,,,,
,,2015 - 2016,,,,59,9,0.15,,,,,,
,,2016 - 2017,,,,97,33,0.34,,,,,,
,,2017 - 2018,,,,110,34,0.31,,,,,,
,,2018 - 2019,,,,115,38,0.33,,,,,,
,,2019 - 2020,,,,158,52,0.33,,,,,,
,,2020 - 2021,,,,100,34,0.34,,,,,,
,,2021 - 2022,,,,107,35,0.33,,,,,,
,,2022 - 2023,,,,89,32,0.36,,,,,,
,5. Bemetara,2011 - 2012,,,,275,92,0.33,,,,,,
,,2012 - 2013,,,,401,133,0.33,,,,,,
,,2013 - 2014,,,,480,151,0.31,,,,,,
,,2014 - 2015,,,,418,127,0.3,,,,,,
,,2015 - 2016,,,,333,119,0.36,,,,,,
,,2016 - 2017,,,,297,112,0.38,,,,,,
,,2017 - 2018,,,,240,90,0.38,,,,,,
,,2018 - 2019,,,,207,85,0.41,,,,,,
,,2019 - 2020,,,,403,161,0.4,,,,,,
,,2020 - 2021,,,,885,471,0.53,,,,,,
,,2021 - 2022,,,,"1,465.00",554,0.38,,,,,,
,,2022 - 2023,,,,"2,082.00","1,025.00",0.49,,,,,,
,6. Bilaspur,2000 - 2001,,,,510,157,0.31,,,,,,
,,2001 - 2002,,,,803,271,0.34,,,,,,
,,2002 - 2003,,,,727,232,0.32,,,,,,
,,2003 - 2004,,,,898,313,0.35,,,,,,
,,2004 - 2005,,,,947,285,0.3,,,,,,
,,2005 - 2006,,,,979,336,0.34,,,,,,
,,2006 - 2007,,,,692,238,0.34,,,,,,
,,2007 - 2008,,,,825,284,0.34,,,,,,
,,2008 - 2009,,,,894,313,0.35,,,,,,
,,2009 - 2010,,,,870,288,0.33,,,,,,
,,2010 - 2011,,,,936,333,0.36,,,,,,
,,2011 - 2012,,,,950,338,0.36,,,,,,
,,2012 - 2013,,,,730,273,0.37,,,,,,
,,2013 - 2014,,,,761,298,0.39,,,,,,
,,2014 - 2015,,,,659,258,0.39,,,,,,
,,2015 - 2016,,,,573,207,0.36,,,,,,
,,2016 - 2017,,,,726,263,0.36,,,,,,
,,2017 - 2018,,,,344,104,0.3,,,,,,
,,2018 - 2019,,,,458,179,0.39,,,,,,
,,2019 - 2020,,,,171,62,0.36,,,,,,
,,2020 - 2021,,,,182,88,0.48,,,,,,
,,2021 - 2022,,,,242,87,0.36,,,,,,
,,2022 - 2023,,,,223,108,0.48,,,,,,
,7. Dantewada,2001 - 2002,,,,1,,0,,,,,,
,,2002 - 2003,,,,4,1,0.25,,,,,,
,,2003 - 2004,,,,3,1,0.33,,,,,,
,,2004 - 2005,,,,1,,0,,,,,,
,,2006 - 2007,,,,2,1,0.5,,,,,,
,,2009 - 2010,,,,1,,0,,,,,,
,,2012 - 2013,,,,1,,0,,,,,,
,,2013 - 2014,,,,1,,0,,,,,,
,,2014 - 2015,,,,12,2,0.17,,,,,,
,,2015 - 2016,,,,9,1,0.11,,,,,,
,,2016 - 2017,,,,9,3,0.33,,,,,,
,,2017 - 2018,,,,6,1,0.17,,,,,,
,,2018 - 2019,,,,3,1,0.33,,,,,,
,,2019 - 2020,,,,1,,0,,,,,,
,,2020 - 2021,,,,1,0,0,,,,,,
,,2021 - 2022,,,,2,1,0.5,,,,,,
,,2022 - 2023,,,,2,1,0.5,,,,,,
,8. Dhamtari,2000 - 2001,,,,512,200,0.39,,,,,,
,,2001 - 2002,,,,"1,705.00",666,0.39,,,,,,
,,2002 - 2003,,,,"1,448.00",565,0.39,,,,,,
,,2003 - 2004,,,,"3,752.00","1,464.00",0.39,,,,,,
,,2004 - 2005,,,,"1,991.00",648,0.33,,,,,,
,,2005 - 2006,,,,"2,531.00",988,0.39,,,,,,
,,2006 - 2007,,,,"1,539.00",601,0.39,,,,,,
,,2007 - 2008,,,,"1,996.00",779,0.39,,,,,,
,,2008 - 2009,,,,"2,696.00","1,053.00",0.39,,,,,,
,,2009 - 2010,,,,"1,589.00",620,0.39,,,,,,
,,2010 - 2011,,,,"1,090.00",425,0.39,,,,,,
,,2011 - 2012,,,,"1,399.00",546,0.39,,,,,,
,,2012 - 2013,,,,439,171,0.39,,,,,,
,,2013 - 2014,,,,553,216,0.39,,,,,,
,,2014 - 2015,,,,966,377,0.39,,,,,,
,,2015 - 2016,,,,"1,091.00",450,0.41,,,,,,
,,2016 - 2017,,,,"1,036.00",427,0.41,,,,,,
,,2017 - 2018,,,,"1,292.00",532,0.41,,,,,,
,,2018 - 2019,,,,781,322,0.41,,,,,,
,,2019 - 2020,,,,673,287,0.43,,,,,,
,,2020 - 2021,,,,935,430,0.46,,,,,,
,,2021 - 2022,,,,909,400,0.44,,,,,,
,,2022 - 2023,,,,909,399,0.44,,,,,,
,9. Durg,2000 - 2001,,,,477,116,0.24,,,,,,
,,2001 - 2002,,,,756,221,0.29,,,,,,
,,2002 - 2003,,,,790,240,0.3,,,,,,
,,2003 - 2004,,,,"1,061.00",324,0.31,,,,,,
,,2004 - 2005,,,,"1,036.00",241,0.23,,,,,,
,,2005 - 2006,,,,"1,303.00",433,0.33,,,,,,
,,2006 - 2007,,,,"1,281.00",426,0.33,,,,,,
,,2007 - 2008,,,,"1,384.00",483,0.35,,,,,,
,,2008 - 2009,,,,"1,073.00",368,0.34,,,,,,
,,2009 - 2010,,,,"1,062.00",306,0.29,,,,,,
,,2010 - 2011,,,,946,299,0.32,,,,,,
,,2011 - 2012,,,,217,72,0.33,,,,,,
,,2012 - 2013,,,,191,63,0.33,,,,,,
,,2013 - 2014,,,,192,46,0.24,,,,,,
,,2014 - 2015,,,,182,60,0.33,,,,,,
,,2015 - 2016,,,,200,67,0.34,,,,,,
,,2016 - 2017,,,,152,59,0.39,,,,,,
,,2017 - 2018,,,,45,15,0.33,,,,,,
,,2018 - 2019,,,,68,24,0.35,,,,,,
,,2019 - 2020,,,,67,18,0.27,,,,,,
,,2020 - 2021,,,,93,47,0.51,,,,,,
,,2021 - 2022,,,,52,18,0.35,,,,,,
,,2022 - 2023,,,,70,33,0.47,,,,,,
,10. Gariyaband,2011 - 2012,,,,187,66,0.35,,,,,,
,,2012 - 2013,,,,495,177,0.36,,,,,,
,,2013 - 2014,,,,450,146,0.32,,,,,,
,,2014 - 2015,,,,261,119,0.46,,,,,,
,,2015 - 2016,,,,190,74,0.39,,,,,,
,,2016 - 2017,,,,366,143,0.39,,,,,,
,,2017 - 2018,,,,400,143,0.36,,,,,,
,,2018 - 2019,,,,406,137,0.34,,,,,,
,,2019 - 2020,,,,409,146,0.36,,,,,,
,,2020 - 2021,,,,881,394,0.45,,,,,,
,,2021 - 2022,,,,"1,377.00",538,0.39,,,,,,
,,2022 - 2023,,,,882,395,0.45,,,,,,
,11. Gaurella-pendra-marwahi,2019 - 2020,,,,197,71,0.36,,,,,,
,,2020 - 2021,,,,177,89,0.5,,,,,,
,,2021 - 2022,,,,147,59,0.4,,,,,,
,,2022 - 2023,,,,122,62,0.51,,,,,,
,12. Janjgir-champa,2000 - 2001,,,,124,44,0.35,,,,,,
,,2001 - 2002,,,,215,69,0.32,,,,,,
,,2002 - 2003,,,,263,87,0.33,,,,,,
,,2003 - 2004,,,,364,131,0.36,,,,,,
,,2004 - 2005,,,,333,110,0.33,,,,,,
,,2005 - 2006,,,,326,128,0.39,,,,,,
,,2006 - 2007,,,,276,100,0.36,,,,,,
,,2007 - 2008,,,,222,82,0.37,,,,,,
,,2008 - 2009,,,,218,78,0.36,,,,,,
,,2009 - 2010,,,,191,63,0.33,,,,,,
,,2010 - 2011,,,,204,72,0.35,,,,,,
,,2011 - 2012,,,,230,84,0.37,,,,,,
,,2012 - 2013,,,,229,90,0.39,,,,,,
,,2013 - 2014,,,,212,87,0.41,,,,,,
,,2014 - 2015,,,,236,85,0.36,,,,,,
,,2015 - 2016,,,,191,79,0.41,,,,,,
,,2016 - 2017,,,,192,79,0.41,,,,,,
,,2017 - 2018,,,,130,49,0.38,,,,,,
,,2018 - 2019,,,,83,35,0.42,,,,,,
,,2019 - 2020,,,,47,18,0.38,,,,,,
,,2020 - 2021,,,,33,25,0.76,,,,,,
,,2021 - 2022,,,,27,10,0.37,,,,,,
,,2022 - 2023,,,,7,5,0.71,,,,,,
,13. Jashpur,2000 - 2001,,,,939,317,0.34,,,,,,
,,2001 - 2002,,,,"1,107.00",381,0.34,,,,,,
,,2002 - 2003,,,,"1,194.00",389,0.33,,,,,,
,,2003 - 2004,,,,"1,275.00",446,0.35,,,,,,
,,2004 - 2005,,,,"1,044.00",359,0.34,,,,,,
,,2005 - 2006,,,,"1,044.00",327,0.31,,,,,,
,,2006 - 2007,,,,969,333,0.34,,,,,,
,,2007 - 2008,,,,815,270,0.33,,,,,,
,,2008 - 2009,,,,872,300,0.34,,,,,,
,,2009 - 2010,,,,827,294,0.36,,,,,,
,,2010 - 2011,,,,858,290,0.34,,,,,,
,,2011 - 2012,,,,800,290,0.36,,,,,,
,,2012 - 2013,,,,844,295,0.35,,,,,,
,,2013 - 2014,,,,806,292,0.36,,,,,,
,,2014 - 2015,,,,748,271,0.36,,,,,,
,,2015 - 2016,,,,727,285,0.39,,,,,,
,,2016 - 2017,,,,822,312,0.38,,,,,,
,,2017 - 2018,,,,671,239,0.36,,,,,,
,,2018 - 2019,,,,484,166,0.34,,,,,,
,,2019 - 2020,,,,559,192,0.34,,,,,,
,,2020 - 2021,,,,547,198,0.36,,,,,,
,,2021 - 2022,,,,569,209,0.37,,,,,,
,,2022 - 2023,,,,528,203,0.38,,,,,,
,14. Kabirdham,2000 - 2001,,,,285,38,0.13,,,,,,
,,2001 - 2002,,,,277,87,0.31,,,,,,
,,2002 - 2003,,,,244,70,0.29,,,,,,
,,2003 - 2004,,,,240,67,0.28,,,,,,
,,2004 - 2005,,,,256,62,0.24,,,,,,
,,2005 - 2006,,,,254,69,0.27,,,,,,
,,2006 - 2007,,,,268,73,0.27,,,,,,
,,2007 - 2008,,,,310,84,0.27,,,,,,
,,2008 - 2009,,,,315,86,0.27,,,,,,
,,2009 - 2010,,,,398,108,0.27,,,,,,
,,2010 - 2011,,,,455,147,0.32,,,,,,
,,2011 - 2012,,,,499,163,0.33,,,,,,
,,2012 - 2013,,,,568,200,0.35,,,,,,
,,2013 - 2014,,,,533,188,0.35,,,,,,
,,2014 - 2015,,,,582,189,0.32,,,,,,
,,2015 - 2016,,,,639,207,0.32,,,,,,
,,2016 - 2017,,,,601,245,0.41,,,,,,
,,2017 - 2018,,,,718,230,0.32,,,,,,
,,2018 - 2019,,,,472,158,0.33,,,,,,
,,2019 - 2020,,,,409,144,0.35,,,,,,
,,2020 - 2021,,,,563,144,0.26,,,,,,
,,2021 - 2022,,,,583,206,0.35,,,,,,
,,2022 - 2023,,,,497,183,0.37,,,,,,
,15. Kanker,2000 - 2001,,,,605,151,0.25,,,,,,
,,2001 - 2002,,,,"1,063.00",300,0.28,,,,,,
,,2002 - 2003,,,,"1,304.00",306,0.23,,,,,,
,,2003 - 2004,,,,"1,735.00",652,0.38,,,,,,
,,2004 - 2005,,,,"1,888.00",532,0.28,,,,,,
,,2005 - 2006,,,,"1,918.00",586,0.31,,,,,,
,,2006 - 2007,,,,"2,032.00",668,0.33,,,,,,
,,2007 - 2008,,,,"1,981.00",651,0.33,,,,,,
,,2008 - 2009,,,,"1,989.00",579,0.29,,,,,,
,,2009 - 2010,,,,"1,981.00",559,0.28,,,,,,
,,2010 - 2011,,,,"1,569.00",516,0.33,,,,,,
,,2011 - 2012,,,,"1,531.00",410,0.27,,,,,,
,,2012 - 2013,,,,"1,509.00",390,0.26,,,,,,
,,2013 - 2014,,,,"1,612.00",394,0.24,,,,,,
,,2014 - 2015,,,,"1,591.00",411,0.26,,,,,,
,,2015 - 2016,,,,"1,519.00",402,0.26,,,,,,
,,2016 - 2017,,,,"1,271.00",367,0.29,,,,,,
,,2017 - 2018,,,,"1,197.00",288,0.24,,,,,,
,,2018 - 2019,,,,30,8,0.27,,,,,,
,,2019 - 2020,,,,"1,617.00",413,0.26,,,,,,
,,2020 - 2021,,,,"1,301.00",437,0.34,,,,,,
,,2021 - 2022,,,,"1,054.00",300,0.28,,,,,,
,,2022 - 2023,,,,864,265,0.31,,,,,,
,16. Khairgarh chhuikhadan gandai,2022 - 2023,,,,105,115,1.1,,,,,,
,17. Kondagaon,2011 - 2012,,,,295,79,0.27,,,,,,
,,2012 - 2013,,,,46,13,0.28,,,,,,
,,2013 - 2014,,,,55,15,0.27,,,,,,
,,2014 - 2015,,,,92,26,0.28,,,,,,
,,2015 - 2016,,,,91,28,0.31,,,,,,
,,2016 - 2017,,,,94,29,0.31,,,,,,
,,2017 - 2018,,,,47,13,0.28,,,,,,
,,2018 - 2019,,,,75,27,0.36,,,,,,
,,2019 - 2020,,,,41,14,0.34,,,,,,
,,2020 - 2021,,,,35,17,0.49,,,,,,
,,2021 - 2022,,,,76,23,0.3,,,,,,
,,2022 - 2023,,,,84,41,0.49,,,,,,
,18. Korba,2000 - 2001,,,,394,119,0.3,,,,,,
,,2001 - 2002,,,,127,46,0.36,,,,,,
,,2002 - 2003,,,,97,28,0.29,,,,,,
,,2003 - 2004,,,,141,43,0.3,,,,,,
,,2004 - 2005,,,,174,44,0.25,,,,,,
,,2005 - 2006,,,,184,53,0.29,,,,,,
,,2006 - 2007,,,,181,46,0.25,,,,,,
,,2007 - 2008,,,,219,59,0.27,,,,,,
,,2008 - 2009,,,,203,73,0.36,,,,,,
,,2009 - 2010,,,,142,47,0.33,,,,,,
,,2010 - 2011,,,,203,66,0.33,,,,,,
,,2011 - 2012,,,,183,55,0.3,,,,,,
,,2012 - 2013,,,,241,80,0.33,,,,,,
,,2013 - 2014,,,,240,72,0.3,,,,,,
,,2014 - 2015,,,,204,74,0.36,,,,,,
,,2015 - 2016,,,,316,85,0.27,,,,,,
,,2016 - 2017,,,,253,92,0.36,,,,,,
,,2017 - 2018,,,,545,198,0.36,,,,,,
,,2018 - 2019,,,,159,53,0.33,,,,,,
,,2019 - 2020,,,,105,38,0.36,,,,,,
,,2020 - 2021,,,,100,34,0.34,,,,,,
,,2021 - 2022,,,,111,38,0.34,,,,,,
,,2022 - 2023,,,,66,22,0.33,,,,,,
,19. Korea,2000 - 2001,,,,283,125,0.44,,,,,,
,,2001 - 2002,,,,439,175,0.4,,,,,,
,,2002 - 2003,,,,239,61,0.26,,,,,,
,,2003 - 2004,,,,323,127,0.39,,,,,,
,,2004 - 2005,,,,342,116,0.34,,,,,,
,,2005 - 2006,,,,177,64,0.36,,,,,,
,,2006 - 2007,,,,361,126,0.35,,,,,,
,,2007 - 2008,,,,147,49,0.33,,,,,,
,,2008 - 2009,,,,278,121,0.44,,,,,,
,,2009 - 2010,,,,276,98,0.36,,,,,,
,,2010 - 2011,,,,249,72,0.29,,,,,,
,,2011 - 2012,,,,263,114,0.43,,,,,,
,,2012 - 2013,,,,279,107,0.38,,,,,,
,,2014 - 2015,,,,186,74,0.4,,,,,,
,,2015 - 2016,,,,206,67,0.33,,,,,,
,,2016 - 2017,,,,282,122,0.43,,,,,,
,,2017 - 2018,,,,270,109,0.4,,,,,,
,,2018 - 2019,,,,304,75,0.25,,,,,,
,,2019 - 2020,,,,240,104,0.43,,,,,,
,,2020 - 2021,,,,250,97,0.39,,,,,,
,,2021 - 2022,,,,230,86,0.37,,,,,,
,,2022 - 2023,,,,100,40,0.4,,,,,,
,20. Mahasamund,2000 - 2001,,,,30,12,0.4,,,,,,
,,2001 - 2002,,,,99,40,0.4,,,,,,
,,2002 - 2003,,,,219,71,0.32,,,,,,
,,2003 - 2004,,,,246,80,0.33,,,,,,
,,2004 - 2005,,,,221,69,0.31,,,,,,
,,2005 - 2006,,,,226,74,0.33,,,,,,
,,2006 - 2007,,,,292,95,0.33,,,,,,
,,2007 - 2008,,,,231,79,0.34,,,,,,
,,2008 - 2009,,,,220,73,0.33,,,,,,
,,2009 - 2010,,,,231,102,0.44,,,,,,
,,2010 - 2011,,,,201,98,0.49,,,,,,
,,2011 - 2012,,,,169,82,0.49,,,,,,
,,2012 - 2013,,,,184,97,0.53,,,,,,
,,2013 - 2014,,,,213,112,0.53,,,,,,
,,2014 - 2015,,,,164,87,0.53,,,,,,
,,2015 - 2016,,,,166,87,0.52,,,,,,
,,2016 - 2017,,,,150,73,0.49,,,,,,
,,2017 - 2018,,,,81,43,0.53,,,,,,
,,2018 - 2019,,,,9,5,0.56,,,,,,
,,2019 - 2020,,,,42,19,0.45,,,,,,
,,2020 - 2021,,,,7,4,0.57,,,,,,
,,2021 - 2022,,,,67,49,0.73,,,,,,
,,2022 - 2023,,,,19,11,0.58,,,,,,
,21. Manendragarh chirimiri bharatpur,2022 - 2023,,,,175,71,0.41,,,,,,
,22. Mohla manpur ambagarh chouki,2022 - 2023,,,,266,125,0.47,,,,,,
,23. Mungeli,2011 - 2012,,,,256,91,0.36,,,,,,
,,2012 - 2013,,,,246,97,0.39,,,,,,
,,2013 - 2014,,,,260,102,0.39,,,,,,
,,2014 - 2015,,,,235,88,0.37,,,,,,
,,2015 - 2016,,,,243,96,0.4,,,,,,
,,2016 - 2017,,,,273,107,0.39,,,,,,
,,2017 - 2018,,,,193,58,0.3,,,,,,
,,2018 - 2019,,,,174,63,0.36,,,,,,
,,2019 - 2020,,,,192,70,0.36,,,,,,
,,2020 - 2021,,,,176,65,0.37,,,,,,
,,2021 - 2022,,,,150,54,0.36,,,,,,
,,2022 - 2023,,,,181,67,0.37,,,,,,
,24. Narayanpur,2006 - 2007,,,,20,,0,,,,,,
,,2007 - 2008,,,,38,11,0.29,,,,,,
,,2008 - 2009,,,,38,11,0.29,,,,,,
,,2009 - 2010,,,,13,4,0.31,,,,,,
,,2010 - 2011,,,,94,29,0.31,,,,,,
,,2011 - 2012,,,,5,1,0.2,,,,,,
,,2012 - 2013,,,,16,4,0.25,,,,,,
,,2013 - 2014,,,,11,3,0.27,,,,,,
,,2014 - 2015,,,,6,2,0.33,,,,,,
,,2015 - 2016,,,,4,1,0.25,,,,,,
,,2016 - 2017,,,,8,2,0.25,,,,,,
,,2017 - 2018,,,,11,3,0.27,,,,,,
,,2018 - 2019,,,,14,4,0.29,,,,,,
,,2019 - 2020,,,,13,3,0.23,,,,,,
,,2020 - 2021,,,,21,6,0.29,,,,,,
,,2021 - 2022,,,,16,4,0.25,,,,,,
,,2022 - 2023,,,,28,8,0.29,,,,,,
,25. Raigarh,2000 - 2001,,,,721,240,0.33,,,,,,
,,2001 - 2002,,,,903,321,0.36,,,,,,
,,2002 - 2003,,,,"1,230.00",422,0.34,,,,,,
,,2003 - 2004,,,,"1,618.00",604,0.37,,,,,,
,,2004 - 2005,,,,"1,580.00",514,0.33,,,,,,
,,2005 - 2006,,,,"1,524.00",523,0.34,,,,,,
,,2006 - 2007,,,,"1,154.00",397,0.34,,,,,,
,,2007 - 2008,,,,"1,286.00",465,0.36,,,,,,
,,2008 - 2009,,,,"1,202.00",435,0.36,,,,,,
,,2009 - 2010,,,,981,295,0.3,,,,,,
,,2010 - 2011,,,,850,317,0.37,,,,,,
,,2011 - 2012,,,,845,305,0.36,,,,,,
,,2012 - 2013,,,,848,322,0.38,,,,,,
,,2013 - 2014,,,,894,334,0.37,,,,,,
,,2014 - 2015,,,,855,335,0.39,,,,,,
,,2015 - 2016,,,,920,360,0.39,,,,,,
,,2016 - 2017,,,,920,360,0.39,,,,,,
,,2017 - 2018,,,,734,283,0.39,,,,,,
,,2018 - 2019,,,,711,265,0.37,,,,,,
,,2019 - 2020,,,,755,282,0.37,,,,,,
,,2020 - 2021,,,,528,210,0.4,,,,,,
,,2021 - 2022,,,,366,137,0.37,,,,,,
,,2022 - 2023,,,,345,129,0.37,,,,,,
,26. Raipur,2000 - 2001,,,,751,322,0.43,,,,,,
,,2001 - 2002,,,,"1,422.00",601,0.42,,,,,,
,,2002 - 2003,,,,984,352,0.36,,,,,,
,,2003 - 2004,,,,"2,341.00",838,0.36,,,,,,
,,2004 - 2005,,,,"2,643.00",774,0.29,,,,,,
,,2005 - 2006,,,,"3,261.00","1,104.00",0.34,,,,,,
,,2006 - 2007,,,,"3,314.00","1,121.00",0.34,,,,,,
,,2007 - 2008,,,,"3,267.00","1,105.00",0.34,,,,,,
,,2008 - 2009,,,,"3,269.00","1,106.00",0.34,,,,,,
,,2009 - 2010,,,,"2,487.00",874,0.35,,,,,,
,,2010 - 2011,,,,"2,689.00",997,0.37,,,,,,
,,2011 - 2012,,,,624,219,0.35,,,,,,
,,2012 - 2013,,,,787,333,0.42,,,,,,
,,2013 - 2014,,,,490,191,0.39,,,,,,
,,2014 - 2015,,,,525,239,0.46,,,,,,
,,2015 - 2016,,,,561,237,0.42,,,,,,
,,2016 - 2017,,,,461,225,0.49,,,,,,
,,2017 - 2018,,,,380,173,0.46,,,,,,
,,2018 - 2019,,,,291,142,0.49,,,,,,
,,2019 - 2020,,,,434,211,0.49,,,,,,
,,2020 - 2021,,,,334,212,0.63,,,,,,
,,2021 - 2022,,,,269,122,0.45,,,,,,
,,2022 - 2023,,,,214,146,0.68,,,,,,
,27. Rajnandgaon,2000 - 2001,,,,170,49,0.29,,,,,,
,,2001 - 2002,,,,184,55,0.3,,,,,,
,,2002 - 2003,,,,169,41,0.24,,,,,,
,,2003 - 2004,,,,203,60,0.3,,,,,,
,,2004 - 2005,,,,210,60,0.29,,,,,,
,,2005 - 2006,,,,176,53,0.3,,,,,,
,,2006 - 2007,,,,235,69,0.29,,,,,,
,,2007 - 2008,,,,204,60,0.29,,,,,,
,,2008 - 2009,,,,235,66,0.28,,,,,,
,,2009 - 2010,,,,291,82,0.28,,,,,,
,,2010 - 2011,,,,337,109,0.32,,,,,,
,,2011 - 2012,,,,297,96,0.32,,,,,,
,,2012 - 2013,,,,286,86,0.3,,,,,,
,,2013 - 2014,,,,315,111,0.35,,,,,,
,,2014 - 2015,,,,360,116,0.32,,,,,,
,,2015 - 2016,,,,943,307,0.33,,,,,,
,,2016 - 2017,,,,"1,182.00",417,0.35,,,,,,
,,2017 - 2018,,,,816,309,0.38,,,,,,
,,2018 - 2019,,,,804,306,0.38,,,,,,
,,2019 - 2020,,,,279,98,0.35,,,,,,
,,2020 - 2021,,,,195,92,0.47,,,,,,
,,2021 - 2022,,,,264,92,0.35,,,,,,
,,2022 - 2023,,,,149,70,0.47,,,,,,
,28. Sakti,2022 - 2023,,,,13,10,0.77,,,,,,
,29. Sarangarh bilaigarh,2022 - 2023,,,,174,74,0.43,,,,,,
,30. Sukma,2019 - 2020,,,,403,181,0.45,,,,,,
,,2020 - 2021,,,,288,130,0.45,,,,,,
,,2021 - 2022,,,,537,231,0.43,,,,,,
,,2022 - 2023,,,,562,253,0.45,,,,,,
,31. Surajpur,2011 - 2012,,,,"1,060.00",371,0.35,,,,,,
,,2012 - 2013,,,,"1,098.00",500,0.46,,,,,,
,,2013 - 2014,,,,"1,017.00",441,0.43,,,,,,
,,2014 - 2015,,,,"1,020.00",442,0.43,,,,,,
,,2015 - 2016,,,,860,373,0.43,,,,,,
,,2016 - 2017,,,,"1,081.00",469,0.43,,,,,,
,,2017 - 2018,,,,786,369,0.47,,,,,,
,,2018 - 2019,,,,907,459,0.51,,,,,,
,,2019 - 2020,,,,746,404,0.54,,,,,,
,,2020 - 2021,,,,"1,070.00",544,0.51,,,,,,
,,2021 - 2022,,,,969,511,0.53,,,,,,
,,2022 - 2023,,,,793,403,0.51,,,,,,
,32. Surguja,2000 - 2001,,,,"2,853.00","1,259.00",0.44,,,,,,
,,2001 - 2002,,,,"2,511.00","1,107.00",0.44,,,,,,
,,2002 - 2003,,,,"3,037.00","1,251.00",0.41,,,,,,
,,2003 - 2004,,,,"2,818.00","1,263.00",0.45,,,,,,
,,2004 - 2005,,,,"3,289.00","1,379.00",0.42,,,,,,
,,2005 - 2006,,,,"2,918.00","1,223.00",0.42,,,,,,
,,2006 - 2007,,,,"3,217.00","1,372.00",0.43,,,,,,
,,2007 - 2008,,,,"3,078.00","1,335.00",0.43,,,,,,
,,2008 - 2009,,,,"3,091.00","1,340.00",0.43,,,,,,
,,2009 - 2010,,,,"3,081.00","1,225.00",0.4,,,,,,
,,2010 - 2011,,,,"3,131.00",905,0.29,,,,,,
,,2011 - 2012,,,,"1,189.00",430,0.36,,,,,,
,,2012 - 2013,,,,"1,200.00",421,0.35,,,,,,
,,2013 - 2014,,,,963,432,0.45,,,,,,
,,2014 - 2015,,,,969,455,0.47,,,,,,
,,2015 - 2016,,,,2,1,0.5,,,,,,
,,2016 - 2017,,,,970,407,0.42,,,,,,
,,2017 - 2018,,,,858,403,0.47,,,,,,
,,2018 - 2019,,,,831,391,0.47,,,,,,
,,2019 - 2020,,,,"1,144.00",496,0.43,,,,,,
,,2020 - 2021,,,,998,500,0.5,,,,,,
,,2021 - 2022,,,,"1,016.00",478,0.47,,,,,,
,,2022 - 2023,,,,943,495,0.52,,,,,,
5. Haryana,1. Ambala,2000 - 2001,,,,61,100,1.64,,,,,,
,,2001 - 2002,,,,55,100,1.82,,,,,,
,,2002 - 2003,,,,13,0,0,,,,,,
,,2003 - 2004,,,,139,100,0.72,,,,,,
,,2004 - 2005,,,,39,,0,,,,,,
,,2005 - 2006,,,,27,,0,,,,,,
,,2007 - 2008,,,,11,,0,,,,,,
,,2008 - 2009,,,,9,,0,,,,,,
,,2009 - 2010,,,,1,,0,,,,,,
,,2011 - 2012,,,,11,,0,,,,,,
,,2012 - 2013,,,,21,25,1.19,,,,,,
,,2013 - 2014,"1,130.00","8,110.00",7.18,,,,,,,,,
,,2014 - 2015,705,"6,767.00",9.6,,,,,,,,,
,,2015 - 2016,864,"8,732.00",10.11,,,,,,,,,
,,2016 - 2017,705,"6,767.00",9.6,,,,,,,,,
,,2017 - 2018,158,"1,476.00",9.34,,,,,,,,,
,,2018 - 2019,"1,102.00","7,270.00",6.6,1,1,1,,,,,,
,,2019 - 2020,690,"9,036.00",13.1,2,2,1,,,,,,
,,2020 - 2021,,,,2,2,1,,,,,,
