State,District,Year,Horse-gram,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2009 - 2010,687,335,0.49,277,189,0.68,,,,,,,,,
,,2010 - 2011,604,187,0.31,101,49,0.49,,,,,,,,,
,,2011 - 2012,994,380,0.38,288,153,0.53,,,,,,,,,
,,2012 - 2013,"3,000.00","2,000.00",0.67,,,,,,,,,,,,
,,2013 - 2014,"2,690.00","1,781.00",0.66,880,514,0.58,,,,,,,,,
,,2014 - 2015,"2,960.00","1,400.00",0.47,"1,759.00",790,0.45,,,,,,,,,
,,2015 - 2016,"3,909.00","2,056.00",0.53,"1,969.00",858,0.44,,,,,,,,,
,,2016 - 2017,351,46,0.13,69,14,0.2,,,,,,,,,
,,2017 - 2018,"2,525.00","1,762.00",0.7,603,289,0.48,,,,,,,,,
,,2018 - 2019,"6,948.00","1,626.00",0.23,222,,0,,,,,,,,,
,,2019 - 2020,"3,655.00","2,010.00",0.55,450,199,0.44,,,,,,,,,
,,2020 - 2021,"1,695.00",700,0.41,73,27,0.37,,,,,,,,,
,,2021 - 2022,"1,216.00",196,0.16,130,27,0.21,,,,,,,,,
,,2022 - 2023,360,192,0.53,8,2,0.25,,,,,,,,,
,10. Krishna,2000 - 2001,640,135,0.21,,,,,,,,,,,,
,,2001 - 2002,617,334,0.54,,,,,,,,,,,,
,,2002 - 2003,404,149,0.37,,,,,,,,,,,,
,,2003 - 2004,635,344,0.54,79,29,0.37,,,,,,,,,
,,2004 - 2005,558,226,0.41,,,,,,,,,,,,
,,2005 - 2006,281,101,0.36,,,,,,,,,,,,
,,2006 - 2007,375,190,0.51,,,,,,,,,,,,
,,2008 - 2009,224,84,0.38,,,,,,,,,,,,
,,2009 - 2010,305,190,0.62,,,,,,,,,,,,
,,2010 - 2011,201,83,0.41,,,,,,,,,,,,
,,2011 - 2012,89,37,0.42,,,,,,,,,,,,
,,2013 - 2014,117,54,0.46,,,,,,,,,,,,
,,2014 - 2015,755,313,0.41,,,,,,,,,,,,
,,2015 - 2016,"1,077.00",595,0.55,,,,,,,,,,,,
,,2016 - 2017,296,165,0.56,,,,,,,,,,,,
,,2017 - 2018,"1,187.00",842,0.71,,,,,,,,,,,,
,,2018 - 2019,"1,141.00",737,0.65,,,,,,,,,,,,
,,2019 - 2020,370,342,0.92,,,,,,,,,,,,
,,2020 - 2021,65,56,0.86,4,0,0,,,,,,,,,
,,2021 - 2022,196,142,0.72,,,,,,,,,,,,
,,2022 - 2023,29,17,0.59,,,,,,,,,,,,
,11. Kurnool,2000 - 2001,"1,361.00",287,0.21,32,16,0.5,,,,,,,,,
,,2001 - 2002,"1,681.00",909,0.54,4,2,0.5,,,,,,,,,
,,2002 - 2003,"1,248.00",462,0.37,2,1,0.5,,,,,,,,,
,,2003 - 2004,"1,143.00",618,0.54,8,3,0.38,,,,,,,,,
,,2004 - 2005,981,130,0.13,,,,,,,,,,,,
,,2005 - 2006,"1,406.00",531,0.38,25,10,0.4,,,,,,,,,
,,2006 - 2007,"1,474.00",731,0.5,,,,,,,,,,,,
,,2007 - 2008,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2008 - 2009,"1,128.00",749,0.66,,,,,,,,,,,,
,,2009 - 2010,"1,396.00",967,0.69,,,,,,,,,,,,
,,2010 - 2011,965,543,0.56,,,,,,,,,,,,
,,2011 - 2012,593,347,0.59,,,,,,,,,,,,
,,2012 - 2013,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2013 - 2014,567,320,0.56,4,2,0.5,,,,,,,,,
,,2014 - 2015,380,174,0.46,,,,,,,,,,,,
,,2015 - 2016,260,135,0.52,98,29,0.3,,,,,,,,,
,,2016 - 2017,47,19,0.4,,,,,,,,,,,,
,,2017 - 2018,251,152,0.61,1,,0,,,,,,,,,
,,2018 - 2019,207,36,0.17,,,,,,,,,,,,
,,2019 - 2020,63,31,0.49,,,,,,,,,,,,
,,2020 - 2021,79,61,0.77,,,,,,,,,,,,
