State,District,Year,Horse-gram,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,22. Mohla manpur ambagarh chouki,2022 - 2023,65,25,0.38,436,195,0.45,,,,,,,,,
,23. Mungeli,2020 - 2021,5,2,0.4,,,,,,,,,,,,
,,2021 - 2022,14,9,0.64,,,,,,,,,,,,
,,2022 - 2023,3,1,0.33,,,,,,,,,,,,
,24. Narayanpur,2006 - 2007,5,,0,"1,881.00",,0,,,,,,,,,
,,2007 - 2008,,,,"2,026.00",718,0.35,,,,,,,,,
,,2008 - 2009,,,,"2,027.00",706,0.35,,,,,,,,,
,,2009 - 2010,,,,"2,030.00",611,0.3,,,,,,,,,
,,2010 - 2011,,,,"3,212.00","1,176.00",0.37,,,,,,,,,
,,2011 - 2012,,,,"1,852.00",678,0.37,,,,,,,,,
,,2012 - 2013,,,,"1,826.00",593,0.32,,,,,,,,,
,,2013 - 2014,7,2,0.29,"1,870.00",618,0.33,,,,,,,,,
,,2014 - 2015,,,,"1,855.00",493,0.27,,,,,,,,,
,,2015 - 2016,,,,"1,682.00",443,0.26,,,,,,,,,
,,2016 - 2017,,,,"1,662.00",625,0.38,,,,,,,,,
,,2017 - 2018,,,,"1,698.00",627,0.37,,,,,,,,,
,,2018 - 2019,,,,"1,743.00",656,0.38,,,,,,,,,
,,2019 - 2020,,,,"1,223.00",460,0.38,,,,,,,,,
,,2020 - 2021,9,4,0.44,970,582,0.6,,,,,,,,,
,,2021 - 2022,1,1,1,642,391,0.61,,,,,,,,,
,,2022 - 2023,1,1,1,795,430,0.54,,,,,,,,,
,25. Raigarh,2000 - 2001,,,,"4,124.00",934,0.23,,,,,,,,,
,,2001 - 2002,,,,"3,771.00","1,000.00",0.27,,,,,,,,,
,,2002 - 2003,15,4,0.27,"3,776.00",910,0.24,,,,,,,,,
,,2003 - 2004,90,25,0.28,"2,100.00",526,0.25,,,,,,,,,
,,2004 - 2005,,,,"3,497.00",827,0.24,,,,,,,,,
,,2005 - 2006,70,18,0.26,"2,970.00",730,0.25,,,,,,,,,
,,2006 - 2007,40,12,0.3,"3,032.00",804,0.27,,,,,,,,,
,,2007 - 2008,18,5,0.28,"3,048.00",911,0.3,,,,,,,,,
,,2008 - 2009,14,4,0.29,"3,099.00",911,0.29,,,,,,,,,
,,2009 - 2010,18,5,0.28,"3,103.00",852,0.27,,,,,,,,,
,,2010 - 2011,12,3,0.25,"3,232.00",935,0.29,,,,,,,,,
,,2011 - 2012,6,2,0.33,"3,130.00",905,0.29,,,,,,,,,
,,2012 - 2013,3,1,0.33,"3,121.00",932,0.3,,,,,,,,,
,,2013 - 2014,3,1,0.33,"3,040.00",880,0.29,,,,,,,,,
,,2014 - 2015,,,,"3,088.00",968,0.31,,,,,,,,,
,,2015 - 2016,1,,0,"3,018.00",992,0.33,,,,,,,,,
,,2016 - 2017,1,,0,"2,936.00",965,0.33,,,,,,,,,
,,2017 - 2018,1,,0,"2,760.00",878,0.32,,,,,,,,,
,,2018 - 2019,,,,"2,639.00",839,0.32,,,,,,,,,
,,2019 - 2020,2,1,0.5,"2,079.00",661,0.32,,,,,,,,,
,,2020 - 2021,,,,"1,516.00",530,0.35,,,,,,,,,
,,2021 - 2022,,,,"1,450.00",477,0.33,,,,,,,,,
,,2022 - 2023,,,,439,145,0.33,,,,,,,,,
,26. Raipur,2000 - 2001,,,,"1,143.00",272,0.24,,,,,,,,,
,,2001 - 2002,,,,"1,078.00",335,0.31,,,,,,,,,
,,2002 - 2003,834,245,0.29,"1,024.00",301,0.29,,,,,,,,,
,,2003 - 2004,839,256,0.31,"1,057.00",330,0.31,,,,,,,,,
,,2004 - 2005,,,,"1,860.00",530,0.28,,,,,,,,,
,,2005 - 2006,613,170,0.28,"1,313.00",357,0.27,,,,,,,,,
,,2006 - 2007,584,162,0.28,"1,327.00",383,0.29,,,,,,,,,
,,2007 - 2008,581,171,0.29,"1,438.00",423,0.29,,,,,,,,,
,,2008 - 2009,572,168,0.29,"1,181.00",354,0.3,,,,,,,,,
,,2009 - 2010,545,166,0.3,"1,115.00",316,0.28,,,,,,,,,
,,2010 - 2011,538,183,0.34,"1,081.00",337,0.31,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,,,,
,27. Rajnandgaon,2000 - 2001,,,,"2,257.00",637,0.28,,,,,,,,,
,,2001 - 2002,,,,"2,491.00",770,0.31,,,,,,,,,
,,2002 - 2003,"1,069.00",237,0.22,"2,201.00",513,0.23,,,,,,,,,
,,2003 - 2004,"1,143.00",298,0.26,"2,355.00",766,0.33,,,,,,,,,
,,2004 - 2005,,,,"3,479.00","1,099.00",0.32,,,,,,,,,
,,2005 - 2006,"1,222.00",330,0.27,"2,356.00",741,0.31,,,,,,,,,
,,2006 - 2007,"1,104.00",304,0.28,"2,202.00",669,0.3,,,,,,,,,
,,2007 - 2008,"1,106.00",304,0.27,"2,049.00",589,0.29,,,,,,,,,
,,2008 - 2009,"1,033.00",249,0.24,"1,848.00",521,0.28,,,,,,,,,
,,2009 - 2010,960,232,0.24,"1,688.00",366,0.22,,,,,,,,,
,,2010 - 2011,941,235,0.25,"1,807.00",578,0.32,,,,,,,,,
,,2011 - 2012,902,260,0.29,"1,740.00",566,0.33,,,,,,,,,
,,2012 - 2013,911,241,0.26,"1,711.00",464,0.27,,,,,,,,,
,,2013 - 2014,834,201,0.24,"1,611.00",498,0.31,,,,,,,,,
,,2014 - 2015,702,210,0.3,"1,244.00",405,0.33,,,,,,,,,
,,2015 - 2016,"3,375.00",894,0.26,10,4,0.4,,,,,,,,,
,,2016 - 2017,"3,414.00",987,0.29,10,4,0.4,,,,,,,,,
,,2017 - 2018,"3,086.00",892,0.29,5,2,0.4,,,,,,,,,
,,2018 - 2019,973,281,0.29,"1,012.00",349,0.34,,,,,,,,,
,,2019 - 2020,120,40,0.33,415,170,0.41,,,,,,,,,
,,2020 - 2021,46,23,0.5,405,195,0.48,,,,,,,,,
,,2021 - 2022,24,12,0.5,406,195,0.48,,,,,,,,,
,,2022 - 2023,6,2,0.33,17,8,0.47,,,,,,,,,
,28. Sakti,2022 - 2023,8,4,0.5,1,1,1,,,,,,,,,
,29. Sarangarh bilaigarh,2022 - 2023,,,,17,12,0.71,,,,,,,,,
,30. Sukma,2011 - 2012,63,20,0.32,"1,052.00",310,0.29,,,,,,,,,
,,2012 - 2013,62,20,0.32,"1,031.00",444,0.43,,,,,,,,,
,,2013 - 2014,59,18,0.31,990,386,0.39,,,,,,,,,
,,2014 - 2015,58,15,0.26,"1,072.00",355,0.33,,,,,,,,,
,,2015 - 2016,45,13,0.29,"1,080.00",459,0.43,,,,,,,,,
,,2016 - 2017,42,9,0.21,929,374,0.4,,,,,,,,,
,,2017 - 2018,19,5,0.26,912,408,0.45,,,,,,,,,
,,2018 - 2019,9,3,0.33,968,690,0.71,,,,,,,,,
,,2019 - 2020,113,23,0.2,393,182,0.46,,,,,,,,,
,,2020 - 2021,28,12,0.43,210,102,0.49,,,,,,,,,
,,2021 - 2022,6,3,0.5,163,64,0.39,,,,,,,,,
,,2022 - 2023,1,2,2,157,65,0.41,,,,,,,,,
,31. Surajpur,2011 - 2012,,,,"2,925.00",705,0.24,,,,,,,,,
,,2012 - 2013,,,,"2,665.00",746,0.28,,,,,,,,,
,,2013 - 2014,,,,"2,554.00",775,0.3,,,,,,,,,
,,2014 - 2015,,,,"2,867.00",856,0.3,,,,,,,,,
,,2015 - 2016,,,,"2,750.00","1,597.00",0.58,,,,,,,,,
,,2016 - 2017,,,,"2,819.00","1,396.00",0.5,,,,,,,,,
,,2017 - 2018,,,,"2,746.00","1,569.00",0.57,,,,,,,,,
,,2018 - 2019,,,,"2,450.00","1,516.00",0.62,,,,,,,,,
,,2019 - 2020,,,,"2,060.00","1,275.00",0.62,,,,,,,,,
,,2020 - 2021,,,,"1,757.00","1,166.00",0.66,,,,,,,,,
,,2021 - 2022,,,,"1,237.00",845,0.68,,,,,,,,,
,,2022 - 2023,,,,"1,268.00",755,0.6,,,,,,,,,
,32. Surguja,2000 - 2001,,,,"12,134.00","3,216.00",0.27,,,,,,,,,
,,2001 - 2002,,,,"10,996.00","3,233.00",0.29,,,,,,,,,
,,2002 - 2003,,,,"10,765.00","2,697.00",0.25,,,,,,,,,
,,2003 - 2004,,,,"10,360.00","2,996.00",0.29,,,,,,,,,
,,2004 - 2005,,,,"9,430.00","2,273.00",0.24,,,,,,,,,
,,2005 - 2006,,,,"8,842.00","2,429.00",0.27,,,,,,,,,
,,2006 - 2007,,,,"8,563.00","2,476.00",0.29,,,,,,,,,
,,2007 - 2008,,,,"8,748.00","2,403.00",0.27,,,,,,,,,
,,2008 - 2009,,,,"8,448.00","2,402.00",0.28,,,,,,,,,
,,2009 - 2010,,,,"8,335.00","2,009.00",0.24,,,,,,,,,
,,2010 - 2011,,,,"8,448.00","1,385.00",0.16,,,,,,,,,
,,2011 - 2012,,,,"2,990.00",720,0.24,,,,,,,,,
,,2012 - 2013,,,,"2,923.00",817,0.28,,,,,,,,,
,,2013 - 2014,,,,"2,897.00",880,0.3,,,,,,,,,
,,2014 - 2015,,,,"2,747.00",821,0.3,,,,,,,,,
,,2015 - 2016,,,,"2,641.00",869,0.33,,,,,,,,,
,,2016 - 2017,,,,"2,583.00",745,0.29,,,,,,,,,
,,2017 - 2018,,,,"2,578.00",705,0.27,,,,,,,,,
,,2018 - 2019,,,,"2,432.00",800,0.33,,,,,,,,,
,,2019 - 2020,,,,"1,955.00",643,0.33,,,,,,,,,
,,2020 - 2021,,,,"1,335.00",453,0.34,,,,,,,,,
,,2021 - 2022,,,,"1,266.00",390,0.31,,,,,,,,,
,,2022 - 2023,,,,"1,219.00",370,0.3,,,,,,,,,
4. Haryana,1. Ambala,2002 - 2003,,,,1,0,0,,,,,,,,,
,,2004 - 2005,,,,2,,0,,,,,,,,,
,,2005 - 2006,,,,2,,0,,,,,,,,,
,,2006 - 2007,,,,6,,0,,,,,,,,,
,,2007 - 2008,,,,4,,0,,,,,,,,,
,,2008 - 2009,,,,3,,0,,,,,,,,,
,,2009 - 2010,,,,7,,0,,,,,,,,,
,,2010 - 2011,,,,4,,0,,,,,,,,,
,,2011 - 2012,,,,5,,0,,,,,,,,,
,,2012 - 2013,,,,2,,0,,,,,,,,,
,,2019 - 2020,,,,1,1,1,,,,,,,,,
,2. Bhiwani,2003 - 2004,,,,169,,0,,,,,,,,,
,,2005 - 2006,,,,64,,0,,,,,,,,,
,,2007 - 2008,,,,75,,0,,,,,,,,,
,,2013 - 2014,,,,100,100,1,,,,,,,,,
,,2014 - 2015,,,,100,100,1,,,,,,,,,
,3. Faridabad,2003 - 2004,,,,"3,520.00",600,0.17,,,,,,,,,
,,2005 - 2006,,,,"1,767.00",500,0.28,,,,,,,,,
,,2006 - 2007,,,,"1,528.00",400,0.26,,,,,,,,,
,,2013 - 2014,,,,300,200,0.67,,,,,,,,,
,4. Hisar,2006 - 2007,,,,125,100,0.8,,,,,,,,,
,5. Karnal,2001 - 2002,,,,137,0,0,,,,,,,,,
,,2002 - 2003,,,,108,0,0,,,,,,,,,
,,2003 - 2004,,,,137,,0,,,,,,,,,
,,2008 - 2009,,,,124,100,0.81,,,,,,,,,
,6. Mahendragarh,2002 - 2003,,,,2,0,0,,,,,,,,,
,7. Mewat,2005 - 2006,,,,"3,388.00",600,0.18,,,,,,,,,
,,2006 - 2007,,,,5,,0,,,,,,,,,
,8. Palwal,2010 - 2011,,,,34,,0,,,,,,,,,
,9. Panchkula,2001 - 2002,,,,162,0,0,,,,,,,,,
,,2002 - 2003,,,,322,100,0.31,,,,,,,,,
,,2003 - 2004,,,,373,100,0.27,,,,,,,,,
,,2004 - 2005,,,,324,100,0.31,,,,,,,,,
,,2005 - 2006,,,,370,100,0.27,,,,,,,,,
,,2006 - 2007,,,,317,100,0.32,,,,,,,,,
,,2007 - 2008,,,,303,100,0.33,,,,,,,,,
,,2008 - 2009,,,,351,100,0.28,,,,,,,,,
,,2009 - 2010,,,,366,100,0.27,,,,,,,,,
,,2010 - 2011,,,,350,100,0.29,,,,,,,,,
,,2011 - 2012,,,,353,100,0.28,,,,,,,,,
,,2012 - 2013,,,,307,123,0.4,,,,,,,,,
,,2013 - 2014,,,,200,100,0.5,,,,,,,,,
,,2014 - 2015,,,,200,200,1,,,,,,,,,
,,2015 - 2016,,,,200,100,0.5,,,,,,,,,
,,2016 - 2017,,,,200,100,0.5,,,,,,,,,
,,2017 - 2018,,,,280,80,0.29,,,,,,,,,
,,2018 - 2019,,,,283,142,0.5,,,,,,,,,
,,2019 - 2020,,,,418,209,0.5,,,,,,,,,
,,2020 - 2021,,,,493,247,0.5,,,,,,,,,
,,2021 - 2022,,,,705,352.5,0.5,,,,,,,,,
,10. Rohtak,2001 - 2002,,,,3,0,0,,,,,,,,,
,11. Yamunanagar,2001 - 2002,,,,8,0,0,,,,,,,,,
,,2002 - 2003,,,,13,0,0,,,,,,,,,
,,2003 - 2004,,,,137,,0,,,,,,,,,
,,2004 - 2005,,,,189,,0,,,,,,,,,
,,2005 - 2006,,,,94,,0,,,,,,,,,
,,2006 - 2007,,,,76,,0,,,,,,,,,
,,2007 - 2008,,,,76,,0,,,,,,,,,
,,2008 - 2009,,,,42,,0,,,,,,,,,
,,2009 - 2010,,,,63,,0,,,,,,,,,
,,2010 - 2011,,,,28,,0,,,,,,,,,
,,2011 - 2012,,,,65,,0,,,,,,,,,
,,2012 - 2013,,,,34,13,0.38,,,,,,,,,
,,2017 - 2018,,,,10,,0,,,,,,,,,
,,2018 - 2019,,,,6,3,0.5,,,,,,,,,
,,2019 - 2020,,,,6,3,0.5,,,,,,,,,
,,2020 - 2021,,,,127,64,0.5,,,,,,,,,
,,2021 - 2022,,,,3,1.5,0.5,,,,,,,,,
5. Himachal Pradesh,1. Bilaspur,2000 - 2001,,,,31,10,0.32,,,,,,,,,
,,2001 - 2002,,,,31,16,0.52,,,,,,,,,
,,2002 - 2003,,,,32,9,0.28,,,,,,,,,
,,2005 - 2006,,,,49,27,0.55,,,,,,,,,
,,2006 - 2007,,,,11,7,0.64,,,,,,,,,
,,2007 - 2008,,,,22,14,0.64,,,,,,,,,
,,2008 - 2009,,,,18,6,0.33,,,,,,,,,
,,2009 - 2010,,,,13,3,0.23,,,,,,,,,
,,2010 - 2011,,,,12,3,0.25,,,,,,,,,
,,2011 - 2012,,,,12,9,0.75,,,,,,,,,
,,2012 - 2013,,,,7,4,0.57,,,,,,,,,
,,2013 - 2014,,,,12,3,0.25,,,,,,,,,
,,2014 - 2015,,,,11,3,0.27,,,,,,,,,
,,2015 - 2016,,,,11,5,0.45,,,,,,,,,
,,2016 - 2017,,,,11,3,0.27,,,,,,,,,
,,2017 - 2018,,,,11,6,0.55,,,,,,,,,
,,2018 - 2019,,,,11,6,0.55,,,,,,,,,
,,2019 - 2020,,,,13,8,0.62,,,,,,,,,
,,2021 - 2022,,,,3,2,0.67,,,,,,,,,
,,2022 - 2023,,,,3,2,0.67,,,,,,,,,
,2. Chamba,2000 - 2001,,,,349,89,0.26,,,,,,,,,
,,2001 - 2002,,,,281,119,0.42,,,,,,,,,
,,2002 - 2003,,,,321,92,0.29,,,,,,,,,
,,2005 - 2006,,,,314,70,0.22,,,,,,,,,
,,2006 - 2007,,,,362,125,0.35,,,,,,,,,
,,2007 - 2008,,,,318,110,0.35,,,,,,,,,
,,2008 - 2009,,,,336,92,0.27,,,,,,,,,
,,2009 - 2010,,,,328,75,0.23,,,,,,,,,
,,2010 - 2011,,,,295,165,0.56,,,,,,,,,
,,2011 - 2012,,,,294,179,0.61,,,,,,,,,
,,2012 - 2013,,,,173,94,0.54,,,,,,,,,
,,2013 - 2014,,,,286,77,0.27,,,,,,,,,
,,2014 - 2015,,,,283,76,0.27,,,,,,,,,
,,2015 - 2016,,,,280,115,0.41,,,,,,,,,
,,2016 - 2017,,,,277,74,0.27,,,,,,,,,
,,2017 - 2018,,,,280,128,0.46,,,,,,,,,
,,2018 - 2019,,,,265,121,0.46,,,,,,,,,
,,2019 - 2020,,,,278,183,0.66,,,,,,,,,
,,2020 - 2021,,,,334,220,0.66,,,,,,,,,
,,2021 - 2022,,,,218,144,0.66,,,,,,,,,
,,2022 - 2023,,,,286,187,0.65,,,,,,,,,
,3. Hamirpur,2000 - 2001,,,,47,17,0.36,,,,,,,,,
,,2001 - 2002,,,,35,16,0.46,,,,,,,,,
,,2002 - 2003,,,,62,11,0.18,,,,,,,,,
,,2005 - 2006,,,,22,6,0.27,,,,,,,,,
,,2006 - 2007,,,,24,7,0.29,,,,,,,,,
,,2007 - 2008,,,,9,3,0.33,,,,,,,,,
,,2008 - 2009,,,,5,1,0.2,,,,,,,,,
,,2009 - 2010,,,,3,1,0.33,,,,,,,,,
,,2010 - 2011,,,,3,1,0.33,,,,,,,,,
,,2011 - 2012,,,,3,1,0.33,,,,,,,,,
,,2012 - 2013,,,,2,1,0.5,,,,,,,,,
,,2013 - 2014,,,,3,1,0.33,,,,,,,,,
,,2014 - 2015,,,,3,1,0.33,,,,,,,,,
,,2015 - 2016,,,,3,1,0.33,,,,,,,,,
,,2016 - 2017,,,,3,1,0.33,,,,,,,,,
,,2017 - 2018,,,,3,1,0.33,,,,,,,,,
,,2018 - 2019,,,,3,1,0.33,,,,,,,,,
,,2019 - 2020,,,,4,2,0.5,,,,,,,,,
,4. Kangra,2000 - 2001,,,,318,100,0.31,,,,,,,,,
,,2001 - 2002,,,,305,159,0.52,,,,,,,,,
,,2002 - 2003,,,,308,93,0.3,,,,,,,,,
,,2005 - 2006,,,,222,91,0.41,,,,,,,,,
,,2006 - 2007,,,,276,142,0.51,,,,,,,,,
,,2007 - 2008,,,,202,87,0.43,,,,,,,,,
,,2008 - 2009,,,,182,81,0.45,,,,,,,,,
,,2009 - 2010,,,,132,56,0.42,,,,,,,,,
,,2010 - 2011,,,,119,85,0.71,,,,,,,,,
,,2011 - 2012,,,,288,198,0.69,,,,,,,,,
,,2012 - 2013,,,,70,70,1,,,,,,,,,
,,2013 - 2014,,,,115,58,0.5,,,,,,,,,
,,2014 - 2015,,,,114,57,0.5,,,,,,,,,
,,2015 - 2016,,,,113,56,0.5,,,,,,,,,
,,2016 - 2017,,,,112,56,0.5,,,,,,,,,
,,2017 - 2018,,,,113,76,0.67,,,,,,,,,
,,2018 - 2019,,,,114,69,0.61,,,,,,,,,
,,2019 - 2020,,,,116,71,0.61,,,,,,,,,
,,2020 - 2021,,,,148,54,0.36,,,,,,,,,
,,2021 - 2022,,,,130,55,0.42,,,,,,,,,
,,2022 - 2023,,,,108,38,0.35,,,,,,,,,
,5. Kullu,2000 - 2001,,,,73,11,0.15,,,,,,,,,
,,2001 - 2002,,,,27,5,0.19,,,,,,,,,
,,2002 - 2003,,,,71,4,0.06,,,,,,,,,
,,2005 - 2006,,,,87,35,0.4,,,,,,,,,
,,2006 - 2007,,,,186,79,0.42,,,,,,,,,
,,2007 - 2008,,,,176,53,0.3,,,,,,,,,
,,2008 - 2009,,,,124,39,0.31,,,,,,,,,
,,2009 - 2010,,,,121,27,0.22,,,,,,,,,
,,2010 - 2011,,,,109,75,0.69,,,,,,,,,
,,2011 - 2012,,,,108,84,0.78,,,,,,,,,
,,2012 - 2013,,,,64,34,0.53,,,,,,,,,
,,2013 - 2014,,,,106,28,0.26,,,,,,,,,
,,2014 - 2015,,,,105,28,0.27,,,,,,,,,
,,2015 - 2016,,,,103,55,0.53,,,,,,,,,
,,2016 - 2017,,,,102,27,0.26,,,,,,,,,
,,2017 - 2018,,,,103,65,0.63,,,,,,,,,
,,2018 - 2019,,,,106,68,0.64,,,,,,,,,
,,2019 - 2020,,,,108,70,0.65,,,,,,,,,
,,2020 - 2021,,,,144,90,0.63,,,,,,,,,
,,2021 - 2022,,,,112,70,0.63,,,,,,,,,
,,2022 - 2023,,,,81,51,0.63,,,,,,,,,
,6. Lahul and spiti,2000 - 2001,,,,45,11,0.24,,,,,,,,,
,,2002 - 2003,,,,65,16,0.25,,,,,,,,,
,7. Mandi,2000 - 2001,,,,405,228,0.56,,,,,,,,,
,,2001 - 2002,,,,285,169,0.59,,,,,,,,,
,,2002 - 2003,,,,350,277,0.79,,,,,,,,,
,,2005 - 2006,,,,315,223,0.71,,,,,,,,,
,,2006 - 2007,,,,231,140,0.61,,,,,,,,,
,,2007 - 2008,,,,305,132,0.43,,,,,,,,,
,,2008 - 2009,,,,265,115,0.43,,,,,,,,,
,,2009 - 2010,,,,242,92,0.38,,,,,,,,,
,,2010 - 2011,,,,218,128,0.59,,,,,,,,,
,,2011 - 2012,,,,317,197,0.62,,,,,,,,,
,,2012 - 2013,,,,998,114,0.11,,,,,,,,,
,,2013 - 2014,,,,211,94,0.45,,,,,,,,,
,,2014 - 2015,,,,209,93,0.44,,,,,,,,,
,,2015 - 2016,,,,207,99,0.48,,,,,,,,,
,,2016 - 2017,,,,205,91,0.44,,,,,,,,,
,,2017 - 2018,,,,207,135,0.65,,,,,,,,,
,,2018 - 2019,,,,210,123,0.59,,,,,,,,,
,,2019 - 2020,,,,208,121,0.58,,,,,,,,,
,,2020 - 2021,,,,235,108,0.46,,,,,,,,,
,,2021 - 2022,,,,253,116,0.46,,,,,,,,,
,,2022 - 2023,,,,250,115,0.46,,,,,,,,,
,8. Shimla,2000 - 2001,,,,691,163,0.24,,,,,,,,,
,,2001 - 2002,,,,716,274,0.38,,,,,,,,,
,,2002 - 2003,,,,697,32,0.05,,,,,,,,,
,,2005 - 2006,,,,667,237,0.36,,,,,,,,,
,,2006 - 2007,,,,677,411,0.61,,,,,,,,,
,,2007 - 2008,,,,630,273,0.43,,,,,,,,,
,,2008 - 2009,,,,665,278,0.42,,,,,,,,,
,,2009 - 2010,,,,627,180,0.29,,,,,,,,,
,,2010 - 2011,,,,564,209,0.37,,,,,,,,,
,,2011 - 2012,,,,561,189,0.34,,,,,,,,,
,,2012 - 2013,,,,332,223,0.67,,,,,,,,,
,,2013 - 2014,,,,547,184,0.34,,,,,,,,,
,,2014 - 2015,,,,341,182,0.53,,,,,,,,,
,,2015 - 2016,,,,436,195,0.45,,,,,,,,,
,,2016 - 2017,,,,530,179,0.34,,,,,,,,,
,,2017 - 2018,,,,436,251,0.58,,,,,,,,,
,,2018 - 2019,,,,446,272,0.61,,,,,,,,,
,,2019 - 2020,,,,440,273,0.62,,,,,,,,,
,,2020 - 2021,,,,455,210,0.46,,,,,,,,,
,,2021 - 2022,,,,330,152,0.46,,,,,,,,,
,,2022 - 2023,,,,316,146,0.46,,,,,,,,,
,9. Sirmaur,2000 - 2001,,,,379,89,0.23,,,,,,,,,
,,2001 - 2002,,,,335,114,0.34,,,,,,,,,
,,2002 - 2003,,,,316,15,0.05,,,,,,,,,
,,2005 - 2006,,,,249,82,0.33,,,,,,,,,
,,2006 - 2007,,,,347,285,0.82,,,,,,,,,
,,2007 - 2008,,,,284,256,0.9,,,,,,,,,
,,2008 - 2009,,,,290,199,0.69,,,,,,,,,
,,2009 - 2010,,,,209,141,0.67,,,,,,,,,
,,2010 - 2011,,,,188,165,0.88,,,,,,,,,
,,2011 - 2012,,,,187,148,0.79,,,,,,,,,
,,2012 - 2013,,,,110,175,1.59,,,,,,,,,
,,2013 - 2014,,,,182,144,0.79,,,,,,,,,
,,2014 - 2015,,,,181,143,0.79,,,,,,,,,
,,2015 - 2016,,,,179,141,0.79,,,,,,,,,
,,2016 - 2017,,,,177,140,0.79,,,,,,,,,
,,2017 - 2018,,,,179,139,0.78,,,,,,,,,
,,2018 - 2019,,,,182,118,0.65,,,,,,,,,
,,2019 - 2020,,,,180,117,0.65,,,,,,,,,
,,2020 - 2021,,,,148,59,0.4,,,,,,,,,
,,2021 - 2022,,,,157,63,0.4,,,,,,,,,
,,2022 - 2023,,,,154,62,0.4,,,,,,,,,
,10. Solan,2000 - 2001,,,,426,78,0.18,,,,,,,,,
,,2001 - 2002,,,,356,80,0.22,,,,,,,,,
,,2002 - 2003,,,,335,44,0.13,,,,,,,,,
,,2005 - 2006,,,,387,79,0.2,,,,,,,,,
,,2006 - 2007,,,,384,127,0.33,,,,,,,,,
,,2007 - 2008,,,,419,154,0.37,,,,,,,,,
,,2008 - 2009,,,,311,47,0.15,,,,,,,,,
,,2009 - 2010,,,,308,19,0.06,,,,,,,,,
,,2010 - 2011,,,,277,170,0.61,,,,,,,,,
,,2011 - 2012,,,,276,20,0.07,,,,,,,,,
,,2012 - 2013,,,,143,23,0.16,,,,,,,,,
,,2013 - 2014,,,,269,19,0.07,,,,,,,,,
,,2014 - 2015,,,,206,19,0.09,,,,,,,,,
,,2015 - 2016,,,,263,85,0.32,,,,,,,,,
,,2016 - 2017,,,,260,19,0.07,,,,,,,,,
,,2017 - 2018,,,,263,128,0.49,,,,,,,,,
,,2018 - 2019,,,,262,151,0.58,,,,,,,,,
,,2019 - 2020,,,,265,164,0.62,,,,,,,,,
,,2020 - 2021,,,,96,62,0.65,,,,,,,,,
,,2021 - 2022,,,,117,76,0.65,,,,,,,,,
,11. Una,2000 - 2001,,,,43,9,0.21,,,,,,,,,
,,2001 - 2002,,,,47,15,0.32,,,,,,,,,
,,2002 - 2003,,,,25,6,0.24,,,,,,,,,
,,2005 - 2006,,,,58,21,0.36,,,,,,,,,
,,2006 - 2007,,,,53,14,0.26,,,,,,,,,
,,2007 - 2008,,,,57,15,0.26,,,,,,,,,
,,2008 - 2009,,,,42,10,0.24,,,,,,,,,
,,2009 - 2010,,,,22,5,0.23,,,,,,,,,
,,2010 - 2011,,,,20,11,0.55,,,,,,,,,
,,2011 - 2012,,,,20,5,0.25,,,,,,,,,
,,2012 - 2013,,,,11,6,0.55,,,,,,,,,
,,2013 - 2014,,,,19,5,0.26,,,,,,,,,
,,2014 - 2015,,,,19,5,0.26,,,,,,,,,
,,2015 - 2016,,,,19,5,0.26,,,,,,,,,
,,2016 - 2017,,,,19,5,0.26,,,,,,,,,
,,2017 - 2018,,,,19,9,0.47,,,,,,,,,
,,2018 - 2019,,,,19,9,0.47,,,,,,,,,
,,2019 - 2020,,,,21,13,0.62,,,,,,,,,
,,2021 - 2022,,,,3,3,1,,,,,,,,,
6. Jammu and Kashmir,1. Doda,2001 - 2002,,,,980,294,0.3,,,,,,,,,
,,2006 - 2007,,,,597,179.1,0.3,,,,,,,,,
,,2009 - 2010,,,,374,112.2,0.3,,,,,,,,,
,,2010 - 2011,,,,459,137.7,0.3,,,,,,,,,
,,2011 - 2012,,,,211,63.3,0.3,,,,,,,,,
,,2012 - 2013,,,,461,138.3,0.3,,,,,,,,,
,,2016 - 2017,,,,448,156.3,0.35,,,,,,,,,
,,2017 - 2018,45,18,0.4,570,198.9,0.35,,,,,,,,,
,,2018 - 2019,,,,368,128.4,0.35,,,,,,,,,
,,2019 - 2020,20,8,0.4,375,130.8,0.35,,,,,,,,,
,,2020 - 2021,,,,292,101.8,0.35,,,,,,,,,
,2. Jammu,2001 - 2002,,,,616,166,0.27,,,,,,,,,
,,2006 - 2007,,,,"1,318.00",355.9,0.27,,,,,,,,,
,,2009 - 2010,,,,981,264.9,0.27,,,,,,,,,
,,2010 - 2011,,,,146,39.5,0.27,,,,,,,,,
,,2011 - 2012,,,,407,110.1,0.27,,,,,,,,,
,,2012 - 2013,,,,411,111.2,0.27,,,,,,,,,
,,2016 - 2017,1,0.4,0.4,85,29.6,0.35,,,,,,,,,
