State,District,Year,Cardamom,,,,,
,,,Whole Year,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,191,1,0.01,,,
,,2016 - 2017,155,15,0.1,,,
,,2017 - 2018,155,15,0.1,,,
,,2018 - 2019,150,14,0.09,,,
,,2019 - 2020,151,15,0.1,,,
,,2020 - 2021,112,10,0.09,,,
,,2021 - 2022,112,11,0.1,,,
,,2022 - 2023,112,10,0.09,,,
,18. Tiruvannamalai,2005 - 2006,1,,0,,,
,,2016 - 2017,3,,0,,,
,,2022 - 2023,1,0,0,,,
,19. Vellore,2006 - 2007,2,,0,,,
,,2009 - 2010,4,,0,,,
,,2011 - 2012,5,,0,,,
,,2013 - 2014,7,,0,,,
,,2014 - 2015,1,,0,,,
,,2015 - 2016,4,2,0.5,,,
,20. Villupuram,2009 - 2010,1,,0,,,
,21. Virudhunagar,2003 - 2004,279,24,0.09,,,
,,2004 - 2005,279,24,0.09,,,
,,2005 - 2006,279,24,0.09,,,
,,2006 - 2007,279,24,0.09,,,
,,2007 - 2008,279,24,0.09,,,
,,2008 - 2009,279,24,0.09,,,
,,2009 - 2010,279,24,0.09,,,
,,2011 - 2012,317,27,0.09,,,
,,2013 - 2014,325,28,0.09,,,
,,2014 - 2015,325,28,0.09,,,
,,2015 - 2016,325,236,0.73,,,
,,2016 - 2017,325,28,0.09,,,
,,2017 - 2018,327,28,0.09,,,
,,2018 - 2019,326,28,0.09,,,
,,2019 - 2020,326,28,0.09,,,
,,2020 - 2021,329,30,0.09,,,
,,2021 - 2022,329,28,0.09,,,
,,2022 - 2023,329,29,0.09,,,
5. West Bengal,1. Darjeeling,2001 - 2002,"2,875.00",704,0.24,,,
,,2002 - 2003,"2,874.00",704,0.24,,,
,,2003 - 2004,"2,874.00",704,0.24,,,
,,2004 - 2005,2.87,0.7,0.24,,,
,,2005 - 2006,"2,874.00",704,0.24,,,
,,2006 - 2007,"2,874.00",704,0.24,,,
,,2008 - 2009,245,704,2.87,,,
