State,District,Year,Barley,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2022 - 2023,10,40,4,,,,,,,,,
,11. Karnal,2000 - 2001,311,0,0,,,,,,,,,
,,2001 - 2002,186,0,0,,,,,,,,,
,,2002 - 2003,118,0,0,,,,,,,,,
,,2003 - 2004,116,0,0,,,,,,,,,
,,2004 - 2005,106,,0,,,,,,,,,
,,2005 - 2006,111,,0,,,,,,,,,
,,2006 - 2007,98,,0,,,,,,,,,
,,2007 - 2008,110,,0,,,,,,,,,
,,2008 - 2009,311,,0,,,,,,,,,
,,2009 - 2010,72,,0,,,,,,,,,
,,2010 - 2011,31,,0,,,,,,,,,
,,2011 - 2012,84,,0,,,,,,,,,
,,2012 - 2013,28,,0,,,,,,,,,
,,2016 - 2017,200,700,3.5,,,,,,,,,
,,2019 - 2020,30,120,4,,,,,,,,,
,,2020 - 2021,10,30,3,,,,,,,,,
,,2021 - 2022,59,190,3.22,,,,,,,,,
,12. Kurukshetra,2000 - 2001,4,0,0,,,,,,,,,
,,2001 - 2002,10,0,0,,,,,,,,,
,,2002 - 2003,7,0,0,,,,,,,,,
,,2003 - 2004,7,0,0,,,,,,,,,
,,2004 - 2005,11,,0,,,,,,,,,
,,2005 - 2006,3,,0,,,,,,,,,
,,2006 - 2007,14,,0,,,,,,,,,
,,2007 - 2008,5,,0,,,,,,,,,
,,2008 - 2009,1,,0,,,,,,,,,
,,2009 - 2010,5,,0,,,,,,,,,
,,2010 - 2011,1,,0,,,,,,,,,
,,2011 - 2012,4,,0,,,,,,,,,
,,2012 - 2013,1,,0,,,,,,,,,
,,2019 - 2020,10,40,4,,,,,,,,,
,,2020 - 2021,20,70,3.5,,,,,,,,,
,,2021 - 2022,6,20,3.33,,,,,,,,,
,13. Mahendragarh,2000 - 2001,"1,373.00","3,000.00",2.18,,,,,,,,,
,,2001 - 2002,"1,368.00","3,000.00",2.19,,,,,,,,,
,,2002 - 2003,997,"3,000.00",3.01,,,,,,,,,
,,2003 - 2004,692,"3,000.00",4.34,,,,,,,,,
,,2004 - 2005,439,,0,,,,,,,,,
,,2005 - 2006,550,"3,000.00",5.45,,,,,,,,,
,,2006 - 2007,670,"3,000.00",4.48,,,,,,,,,
,,2007 - 2008,654,"3,000.00",4.59,,,,,,,,,
,,2008 - 2009,778,"3,000.00",3.86,,,,,,,,,
,,2009 - 2010,638,"2,000.00",3.13,,,,,,,,,
,,2010 - 2011,847,"3,000.00",3.54,,,,,,,,,
,,2011 - 2012,872,"2,000.00",2.29,,,,,,,,,
,,2012 - 2013,679,"4,000.00",5.89,,,,,,,,,
,,2013 - 2014,"1,000.00","3,000.00",3,,,,,,,,,
,,2016 - 2017,500,"1,600.00",3.2,,,,,,,,,
