State,District,Year,Barley,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2012 - 2013,"3,033.00","5,271.00",1.74,,,,,,,,,
,,2013 - 2014,"3,002.00","2,746.00",0.91,,,,,,,,,
,,2014 - 2015,"2,971.00","5,352.00",1.8,,,,,,,,,
,,2015 - 2016,"2,339.00","4,188.00",1.79,,,,,,,,,
,,2016 - 2017,"2,908.00","2,660.00",0.91,,,,,,,,,
,,2017 - 2018,"2,339.00","4,208.00",1.8,,,,,,,,,
,,2018 - 2019,"3,447.00","5,540.00",1.61,,,,,,,,,
,,2019 - 2020,"3,401.00","6,054.00",1.78,,,,,,,,,
,,2020 - 2021,"2,829.00","4,129.00",1.46,,,,,,,,,
,,2021 - 2022,"3,174.00","6,136.00",1.93,,,,,,,,,
,,2022 - 2023,"2,850.00","3,822.00",1.34,,,,,,,,,
,9. Shimla,2000 - 2001,"4,148.00","2,517.00",0.61,,,,,,,,,
,,2001 - 2002,"4,872.00","5,222.00",1.07,,,,,,,,,
,,2002 - 2003,"4,470.00","3,763.00",0.84,,,,,,,,,
,,2003 - 2004,"4,674.00","5,581.00",1.19,,,,,,,,,
,,2004 - 2005,"4,704.00","5,753.00",1.22,,,,,,,,,
,,2005 - 2006,"4,059.00","5,139.00",1.27,,,,,,,,,
,,2006 - 2007,"3,923.00","4,648.00",1.18,,,,,,,,,
,,2007 - 2008,"4,110.00","6,026.00",1.47,,,,,,,,,
,,2008 - 2009,"3,444.00","2,030.00",0.59,,,,,,,,,
,,2009 - 2010,"3,256.00","1,585.00",0.49,,,,,,,,,
,,2010 - 2011,"3,289.00","2,553.00",0.78,,,,,,,,,
,,2011 - 2012,"3,272.00","3,491.00",1.07,,,,,,,,,
,,2012 - 2013,"3,222.00","3,521.00",1.09,,,,,,,,,
,,2013 - 2014,"3,189.00","1,834.00",0.58,,,,,,,,,
,,2014 - 2015,"3,156.00","3,576.00",1.13,,,,,,,,,
,,2015 - 2016,"3,123.00","5,509.00",1.76,,,,,,,,,
,,2016 - 2017,"3,089.00","1,776.00",0.57,,,,,,,,,
,,2017 - 2018,"3,123.00","5,511.00",1.76,,,,,,,,,
,,2018 - 2019,"2,590.00","4,408.00",1.7,,,,,,,,,
,,2019 - 2020,"2,590.00","4,558.00",1.76,,,,,,,,,
,,2020 - 2021,"2,380.00","2,791.00",1.17,,,,,,,,,
,,2021 - 2022,"2,182.00","5,559.00",2.55,,,,,,,,,
,,2022 - 2023,"2,188.00","3,212.00",1.47,,,,,,,,,
,10. Sirmaur,2000 - 2001,"2,548.00","1,387.00",0.54,,,,,,,,,
,,2001 - 2002,"2,010.00","2,383.00",1.19,,,,,,,,,
,,2002 - 2003,"2,379.00","3,781.00",1.59,,,,,,,,,
,,2003 - 2004,"2,716.00","2,314.00",0.85,,,,,,,,,
,,2004 - 2005,"1,730.00","2,699.00",1.56,,,,,,,,,
,,2005 - 2006,"2,504.00","2,411.00",0.96,,,,,,,,,
,,2006 - 2007,"2,396.00","2,243.00",0.94,,,,,,,,,
,,2007 - 2008,"2,370.00","2,225.00",0.94,,,,,,,,,
,,2008 - 2009,"2,155.00","1,502.00",0.7,,,,,,,,,
,,2009 - 2010,"1,975.00","1,168.00",0.59,,,,,,,,,
,,2010 - 2011,"1,995.00","1,881.00",0.94,,,,,,,,,
,,2011 - 2012,"1,985.00","2,604.00",1.31,,,,,,,,,
,,2012 - 2013,"1,955.00","2,594.00",1.33,,,,,,,,,
,,2013 - 2014,"1,934.00","1,351.00",0.7,,,,,,,,,
,,2014 - 2015,"1,914.00","2,634.00",1.38,,,,,,,,,
,,2015 - 2016,"1,894.00","2,723.00",1.44,,,,,,,,,
,,2016 - 2017,"1,874.00","1,309.00",0.7,,,,,,,,,
,,2017 - 2018,"1,894.00","2,723.00",1.44,,,,,,,,,
,,2018 - 2019,"2,269.00","3,879.00",1.71,,,,,,,,,
,,2019 - 2020,"2,275.00","3,890.00",1.71,,,,,,,,,
,,2020 - 2021,"2,095.00","2,891.00",1.38,,,,,,,,,
,,2021 - 2022,"2,002.00","3,797.00",1.9,,,,,,,,,
,,2022 - 2023,"1,991.00","4,955.00",2.49,,,,,,,,,
,11. Solan,2000 - 2001,"1,561.00",719,0.46,,,,,,,,,
,,2001 - 2002,"1,474.00","1,675.00",1.14,,,,,,,,,
,,2002 - 2003,"1,392.00","1,157.00",0.83,,,,,,,,,
,,2003 - 2004,"1,533.00","1,103.00",0.72,,,,,,,,,
,,2004 - 2005,"1,682.00","1,924.00",1.14,,,,,,,,,
,,2005 - 2006,"1,574.00",945,0.6,,,,,,,,,
,,2006 - 2007,"1,928.00","2,444.00",1.27,,,,,,,,,
,,2007 - 2008,"1,556.00","1,337.00",0.86,,,,,,,,,
,,2008 - 2009,"1,836.00","1,093.00",0.6,,,,,,,,,
,,2009 - 2010,"1,682.00",822,0.49,,,,,,,,,
,,2010 - 2011,"1,699.00",343,0.2,,,,,,,,,
,,2011 - 2012,"1,690.00","2,975.00",1.76,,,,,,,,,
,,2012 - 2013,"1,665.00","1,824.00",1.1,,,,,,,,,
,,2013 - 2014,"1,647.00",950,0.58,,,,,,,,,
,,2014 - 2015,"1,630.00","1,854.00",1.14,,,,,,,,,
,,2015 - 2016,"1,613.00","2,378.00",1.47,,,,,,,,,
,,2016 - 2017,"1,596.00",921,0.58,,,,,,,,,
,,2017 - 2018,"1,613.00","2,378.00",1.47,,,,,,,,,
,,2018 - 2019,"1,613.00","2,371.00",1.47,,,,,,,,,
,,2019 - 2020,"1,640.00","2,575.00",1.57,,,,,,,,,
,,2020 - 2021,"1,209.00",749,0.62,,,,,,,,,
,,2021 - 2022,"1,217.00","1,102.00",0.91,,,,,,,,,
,,2022 - 2023,"1,091.00","1,466.00",1.34,,,,,,,,,
,12. Una,2000 - 2001,1,1,1,,,,,,,,,
6. Jammu and Kashmir,1. Bandipora,2012 - 2013,"2,125.00","1,912.50",0.9,,,,,,,,,
,,2013 - 2014,"2,125.00","1,912.50",0.9,,,,,,,,,
,2. Doda,2000 - 2001,"6,059.00","1,913.00",0.32,34,9,0.26,,,,,,
,,2001 - 2002,"6,913.00","2,219.00",0.32,27,7,0.26,,,,,,
,,2002 - 2003,"6,886.00","2,208.00",0.32,,,,,,,,,
,,2003 - 2004,"6,478.00","2,077.00",0.32,,,,,,,,,
,,2004 - 2005,"6,564.00","2,106.00",0.32,,,,,,,,,
,,2005 - 2006,,,,37,9.7,0.26,,,,,,
,,2006 - 2007,"6,608.00","2,121.10",0.32,19,11.4,0.6,,,,,,
,,2007 - 2008,"2,429.00",779.7,0.32,,,,,,,,,
,,2008 - 2009,"2,551.00",818.9,0.32,,,,,,,,,
,,2009 - 2010,"3,044.00",977.8,0.32,,,,,,,,,
,,2010 - 2011,"2,018.00",648.2,0.32,,,,,,,,,
,,2011 - 2012,"2,221.00",713.4,0.32,,,,,,,,,
,,2012 - 2013,"2,226.00",715,0.32,,,,,,,,,
,,2013 - 2014,"2,226.00",715,0.32,,,,,,,,,
,,2015 - 2016,"1,395.00",448.1,0.32,,,,,,,,,
,,2016 - 2017,"1,446.00",464.5,0.32,,,,,,,,,
,,2017 - 2018,"1,429.00",459,0.32,4,1.4,0.35,,,,,,
,,2018 - 2019,"1,514.00",486.3,0.32,,,,,,,,,
,,2019 - 2020,"1,538.00",494.01,0.32,,,,,,,,,
,,2020 - 2021,"1,471.00",472.5,0.32,,,,,,,,,
,,2021 - 2022,"1,679.00",539.3,0.32,,,,,,,,,
,,2022 - 2023,"1,459.00",468.65,0.32,,,,,,,,,
,3. Ganderbal,2010 - 2011,,,,20,8.1,0.41,,,,,,
,,2011 - 2012,,,,16,6.5,0.41,,,,,,
,,2012 - 2013,,,,16,6.5,0.41,,,,,,
,,2015 - 2016,,,,22,7.7,0.35,,,,,,
,,2016 - 2017,,,,22,7.7,0.35,,,,,,
,,2017 - 2018,,,,22,7.7,0.35,,,,,,
,,2019 - 2020,,,,23,8.1,0.35,,,,,,
,,2020 - 2021,,,,21,7.4,0.35,,,,,,
,4. Jammu,2000 - 2001,89,44,0.49,,,,,,,,,
,,2001 - 2002,126,62,0.49,,,,,,,,,
,,2002 - 2003,229,114,0.5,,,,,,,,,
,,2003 - 2004,416,207,0.5,,,,,,,,,
,,2004 - 2005,293,146,0.5,,,,,,,,,
,,2006 - 2007,427,212.6,0.5,,,,,,,,,
,,2007 - 2008,255,127,0.5,,,,,,,,,
,,2008 - 2009,293,145.9,0.5,,,,,,,,,
,,2009 - 2010,333,166,0.5,,,,,,,,,
,,2010 - 2011,380,563.4,1.48,,,,,,,,,
,,2011 - 2012,255,378.1,1.48,,,,,,,,,
,,2012 - 2013,77,114.2,1.48,,,,,,,,,
,,2013 - 2014,77,114.2,1.48,,,,,,,,,
,,2015 - 2016,392,579.4,1.48,,,,,,,,,
,,2016 - 2017,422,623.7,1.48,,,,,,,,,
,,2017 - 2018,58,85.7,1.48,,,,,,,,,
,,2018 - 2019,422,623.5,1.48,,,,,,,,,
,,2019 - 2020,610,901.27,1.48,124,43.7,0.35,,,,,,
,,2020 - 2021,610,901.27,1.48,"2,291.00",807.4,0.35,,,,,,
,,2021 - 2022,724,"1,069.70",1.48,,,,,,,,,
,,2022 - 2023,704,"1,040.15",1.48,,,,,,,,,
,5. Kargil,2003 - 2004,"4,150.00","3,344.00",0.81,,,,,,,,,
,,2008 - 2009,"4,016.00","3,491.60",0.87,,,,,,,,,
,,2009 - 2010,"3,010.00","2,617.10",0.87,,,,,,,,,
,,2010 - 2011,"4,243.00","3,689.10",0.87,,,,,,,,,
,6. Kathua,2000 - 2001,"1,607.00","1,432.00",0.89,,,,,,,,,
,,2001 - 2002,"1,697.00","1,493.00",0.88,,,,,,,,,
,,2002 - 2003,"1,731.00","1,523.00",0.88,,,,,,,,,
,,2003 - 2004,"1,673.00","1,472.00",0.88,,,,,,,,,
,,2004 - 2005,"1,868.00","1,644.00",0.88,,,,,,,,,
,,2006 - 2007,"1,615.00","1,421.10",0.88,,,,,,,,,
,,2007 - 2008,"1,615.00","1,421.10",0.88,,,,,,,,,
,,2008 - 2009,"1,822.00","1,603.20",0.88,,,,,,,,,
,,2009 - 2010,"1,847.00","1,625.80",0.88,,,,,,,,,
,,2010 - 2011,"1,878.00","1,653.10",0.88,,,,,,,,,
,,2011 - 2012,"1,897.00","1,669.80",0.88,,,,,,,,,
,,2012 - 2013,"1,882.00","1,656.60",0.88,,,,,,,,,
,,2013 - 2014,"1,882.00","1,656.60",0.88,,,,,,,,,
,,2015 - 2016,"1,200.00","1,056.10",0.88,,,,,,,,,
,,2016 - 2017,"1,698.00","1,494.30",0.88,,,,,,,,,
,,2017 - 2018,"1,633.00","1,437.10",0.88,6,2.2,0.37,,,,,,
,,2018 - 2019,"1,819.00","1,600.80",0.88,,,,,,,,,
,,2019 - 2020,"1,375.00","1,210.06",0.88,48,16.9,0.35,,,,,,
,,2020 - 2021,"1,765.00","1,553.28",0.88,,,,,,,,,
,,2021 - 2022,"1,765.00","1,553.30",0.88,,,,,,,,,
,,2022 - 2023,"1,765.00","1,553.28",0.88,,,,,,,,,
,7. Kishtwar,2007 - 2008,"2,268.00",728,0.32,16,4.2,0.26,,,,,,
,,2008 - 2009,"2,165.00",695,0.32,,,,,,,,,
,,2009 - 2010,"2,013.00",646.5,0.32,49,12.9,0.26,,,,,,
,,2010 - 2011,"2,013.00",646.5,0.32,71,18.7,0.26,,,,,,
,,2011 - 2012,"1,670.00",536.3,0.32,13,3.5,0.27,,,,,,
,,2012 - 2013,"2,340.00",751.5,0.32,12,3.2,0.27,,,,,,
,,2013 - 2014,"2,340.00",751.5,0.32,,,,,,,,,
,,2014 - 2015,,,,27,9.5,0.35,,,,,,
,,2015 - 2016,"1,399.00",449.3,0.32,25,8.8,0.35,,,,,,
,,2016 - 2017,"1,546.00",496.5,0.32,51,17.9,0.35,,,,,,
,,2017 - 2018,"1,528.00",490.7,0.32,53,18.6,0.35,,,,,,
,,2018 - 2019,"1,190.00",382.2,0.32,8,2.8,0.35,,,,,,
,,2019 - 2020,"1,657.00",532.19,0.32,67,23.5,0.35,,,,,,
,,2020 - 2021,"1,551.00",498.1,0.32,67,23.5,0.35,,,,,,
,,2021 - 2022,"1,558.00",500.3,0.32,,,,,,,,,
,,2022 - 2023,"1,551.00",498.1,0.32,,,,,,,,,
,8. Leh ladakh,2000 - 2001,162,143,0.88,,,,,,,,,
,,2001 - 2002,159,138,0.87,,,,,,,,,
,,2002 - 2003,159,138,0.87,,,,,,,,,
,,2003 - 2004,132,115,0.87,,,,,,,,,
,,2004 - 2005,76,66,0.87,,,,,,,,,
,,2006 - 2007,144,125.2,0.87,,,,,,,,,
,,2007 - 2008,144,125.2,0.87,,,,,,,,,
,,2008 - 2009,94,81.7,0.87,,,,,,,,,
,,2009 - 2010,40,35.1,0.88,,,,,,,,,
,,2010 - 2011,33,30.1,0.91,,,,,,,,,
,,2011 - 2012,85,77.5,0.91,,,,,,,,,
,,2012 - 2013,4,3.6,0.9,,,,,,,,,
,,2013 - 2014,4,3.6,0.9,,,,,,,,,
,,2015 - 2016,154,138.6,0.9,,,,,,,,,
,,2016 - 2017,5,4.5,0.9,,,,,,,,,
,,2017 - 2018,4,3.6,0.9,,,,,,,,,
,,2018 - 2019,4,3.6,0.9,,,,,,,,,
,9. Rajauri,2002 - 2003,1,0.1,0.1,,,,,,,,,
,,2003 - 2004,2,6,3,,,,,,,,,
,,2004 - 2005,20,6,0.3,,,,,,,,,
,,2006 - 2007,15,4.5,0.3,,,,,,,,,
,,2007 - 2008,15,4.5,0.3,,,,,,,,,
,,2015 - 2016,67,40.4,0.6,,,,,,,,,
,,2016 - 2017,,,,97,34,0.35,,,,,,
,,2017 - 2018,4,3.7,0.93,,,,,,,,,
,,2018 - 2019,,,,414,144.9,0.35,,,,,,
,10. Ramban,2007 - 2008,"1,911.00",613.4,0.32,,,,,,,,,
,,2008 - 2009,"1,910.00",613.1,0.32,,,,,,,,,
,,2009 - 2010,"2,781.00",892.8,0.32,,,,,,,,,
,,2010 - 2011,"1,619.00",519.8,0.32,,,,,,,,,
,,2011 - 2012,263,84.4,0.32,,,,,,,,,
,,2012 - 2013,"1,897.00",608.8,0.32,,,,,,,,,
,,2013 - 2014,"1,897.00",608.8,0.32,,,,,,,,,
,,2015 - 2016,112,36,0.32,,,,,,,,,
,,2017 - 2018,40,12.8,0.32,,,,,,,,,
,,2018 - 2019,50,16,0.32,,,,,,,,,
,,2019 - 2020,51,16.32,0.32,,,,,,,,,
,,2020 - 2021,91,29.1,0.32,,,,,,,,,
,,2021 - 2022,10,3.2,0.32,,,,,,,,,
,,2022 - 2023,102,32.62,0.32,,,,,,,,,
,11. Reasi,2007 - 2008,392,359.3,0.92,,,,,,,,,
,,2008 - 2009,233,213.6,0.92,,,,,,,,,
,,2009 - 2010,243,223.2,0.92,47,12.3,0.26,,,,,,
,,2010 - 2011,337,309.5,0.92,11,2.9,0.26,,,,,,
,,2011 - 2012,91,83.6,0.92,,,,,,,,,
,,2012 - 2013,138,126.8,0.92,8,2.2,0.28,,,,,,
,,2013 - 2014,138,126.8,0.92,,,,,,,,,
,,2015 - 2016,174,159.3,0.92,,,,,,,,,
,,2016 - 2017,87,79.6,0.91,19,6.7,0.35,,,,,,
,,2017 - 2018,79,72.3,0.92,8,2.8,0.35,,,,,,
,,2018 - 2019,345,315.7,0.92,19,6.7,0.35,,,,,,
,,2019 - 2020,30,27.45,0.92,12,4.2,0.35,,,,,,
,,2020 - 2021,30,27.5,0.92,12,4.2,0.35,,,,,,
,,2021 - 2022,9,8.3,0.92,,,,,,,,,
,12. Samba,2007 - 2008,172,85.6,0.5,544,142.6,0.26,,,,,,
,,2008 - 2009,180,89.6,0.5,,,,,,,,,
,,2009 - 2010,172,85.8,0.5,57,15,0.26,,,,,,
,,2010 - 2011,140,69.8,0.5,,,,,,,,,
,,2011 - 2012,136,67.8,0.5,,,,,,,,,
,,2012 - 2013,131,65.3,0.5,,,,,,,,,
,,2013 - 2014,131,65.3,0.5,,,,,,,,,
,,2015 - 2016,745,371.3,0.5,,,,,,,,,
,,2016 - 2017,512,255.2,0.5,,,,,,,,,
,,2017 - 2018,187,93.2,0.5,,,,,,,,,
,,2018 - 2019,401,199.9,0.5,,,,,,,,,
,,2019 - 2020,379,188.93,0.5,16,5.6,0.35,,,,,,
,,2020 - 2021,393,195.91,0.5,,,,,,,,,
,,2021 - 2022,394,196.4,0.5,,,,,,,,,
,,2022 - 2023,419,208.87,0.5,,,,,,,,,
,13. Srinagar,2003 - 2004,20,5,0.25,,,,,,,,,
,14. Udhampur,2000 - 2001,975,895,0.92,,,,,,,,,
,,2001 - 2002,"1,101.00","1,009.00",0.92,,,,,,,,,
,,2002 - 2003,"1,506.00","1,380.00",0.92,,,,,,,,,
,,2003 - 2004,"1,050.00",962,0.92,,,,,,,,,
,,2004 - 2005,"1,115.00","1,022.00",0.92,,,,,,,,,
,,2006 - 2007,"1,191.00","1,091.70",0.92,,,,,,,,,
,,2007 - 2008,799,732.4,0.92,,,,,,,,,
,,2008 - 2009,593,543.6,0.92,,,,,,,,,
,,2009 - 2010,597,548,0.92,,,,,,,,,
,,2010 - 2011,551,505.8,0.92,,,,,,,,,
,,2011 - 2012,629,577.4,0.92,,,,,,,,,
,,2012 - 2013,"1,073.00",985,0.92,,,,,,,,,
,,2013 - 2014,"1,073.00",985,0.92,,,,,,,,,
,,2015 - 2016,895,821.5,0.92,80,28.1,0.35,,,,,,
,,2016 - 2017,855,784.8,0.92,,,,,,,,,
,,2017 - 2018,702,644.4,0.92,,,,,,,,,
,,2018 - 2019,853,783,0.92,,,,,,,,,
,,2019 - 2020,855,784.84,0.92,643,226.7,0.35,,,,,,
,,2020 - 2021,785,720.6,0.92,32,11.3,0.35,,,,,,
,,2021 - 2022,790,725.2,0.92,,,,,,,,,
,,2022 - 2023,785,720.6,0.92,,,,,,,,,
7. Jharkhand,1. Garhwa,2004 - 2005,"2,962.57","1,801.24",0.61,,,,,,,,,
,2. Godda,2003 - 2004,"1,051.19","1,249.86",1.19,,,,,,,,,
,3. Hazaribagh,2003 - 2004,43.2,36.76,0.85,,,,,,,,,
,4. Palamu,2003 - 2004,"3,425.43","2,702.66",0.79,,,,,,,,,
8. Karnataka,1. Bagalkot,2022 - 2023,,,,30,0,0,,,,,,
,2. Bangalore rural,2022 - 2023,1,0,0,12,0,0,,,,,,
,3. Belgaum,2022 - 2023,229,0,0,152,0,0,10,0,0,,,
,4. Bellary,2022 - 2023,24,0,0,10,0,0,,,,,,
,5. Bengaluru urban,2022 - 2023,,,,13,0,0,,,,,,
,6. Bijapur,2022 - 2023,14,0,0,7,0,0,,,,,,
,7. Chamarajanagar,2022 - 2023,6,0,0,32,0,0,9,0,0,,,
,8. Chikballapur,2022 - 2023,2,0,0,15,0,0,4,0,0,,,
,9. Chikmagalur,2022 - 2023,4,0,0,17,0,0,,,,,,
,10. Chitradurga,2022 - 2023,24,0,0,40,0,0,4,0,0,,,
,11. Davangere,2022 - 2023,3,0,0,25,0,0,6,0,0,,,
,12. Dharwad,2022 - 2023,6,0,0,25,0,0,,,,,,
,13. Gadag,2022 - 2023,,,,16,0,0,,,,,,
,14. Gulbarga,2022 - 2023,3,0,0,,,,,,,,,
,15. Hassan,2022 - 2023,8,0,0,76,0,0,1,0,0,,,
,16. Haveri,2022 - 2023,32,0,0,112,0,0,9,0,0,,,
,17. Kolar,2022 - 2023,2,0,0,,,,,,,,,
,18. Koppal,2022 - 2023,7,0,0,63,0,0,,,,,,
,19. Mysore,2022 - 2023,,,,4,0,0,,,,,,
,20. Raichur,2022 - 2023,,,,4,0,0,,,,,,
,21. Ramanagara,2022 - 2023,,,,14,0,0,,,,,,
,22. Shimoga,2022 - 2023,1,0,0,10,0,0,6,0,0,,,
,23. Tumkur,2022 - 2023,6,0,0,9,0,0,,,,,,
,24. Uttar kannad,2022 - 2023,,,,,,,1,0,0,,,
,25. Yadgir,2022 - 2023,9,0,0,70,0,0,,,,,,
9. Ladakh,1. Kargil,2022 - 2023,"5,374.00","10,748.00",2,,,,,,,,,
,2. Leh ladakh,2020 - 2021,"9,970.97","17,651.94",1.77,,,,,,,,,
,,2021 - 2022,"7,801.30","14,508.70",1.86,,,,,,,,,
,,2022 - 2023,"4,234.00","7,164.70",1.69,,,,,,,,,
10. Madhya Pradesh,1. Agar malwa,2013 - 2014,,,,286,466,1.63,,,,,,
,,2014 - 2015,,,,"1,000.00","1,000.00",1,,,,,,
,,2018 - 2019,,,,48,45,0.94,,,,,,
,,2019 - 2020,34,80,2.35,,,,,,,,,
,,2020 - 2021,40,90,2.25,,,,,,,,,
,,2021 - 2022,3,5,1.67,,,,,,,,,
,2. Alirajpur,2008 - 2009,11,11,1,,,,,,,,,
,,2010 - 2011,3,3,1,,,,,,,,,
,,2011 - 2012,,,,10,12,1.2,,,,,,
,,2012 - 2013,,,,48,48,1,,,,,,
,,2013 - 2014,,,,49,61,1.24,,,,,,
,,2014 - 2015,,,,"1,000.00","1,000.00",1,,,,,,
,,2015 - 2016,,,,"6,000.00","15,000.00",2.5,,,,,,
,,2016 - 2017,,,,"6,000.00","18,000.00",3,,,,,,
,,2017 - 2018,,,,"1,500.00","2,400.00",1.6,,,,,,
,3. Anuppur,2003 - 2004,57,35,0.61,,,,,,,,,
,,2004 - 2005,65,36,0.55,,,,,,,,,
,,2005 - 2006,61,42,0.69,,,,,,,,,
,,2007 - 2008,527,363,0.69,,,,,,,,,
,,2008 - 2009,59,40,0.68,,,,,,,,,
,,2009 - 2010,,,,,,,,,,89,54,0.61
,,2010 - 2011,85,48,0.56,,,,,,,,,
,,2011 - 2012,,,,68,61,0.9,,,,,,
,,2012 - 2013,,,,64,53,0.83,,,,,,
,,2013 - 2014,,,,59,48,0.81,,,,,,
,,2014 - 2015,,,,"1,000.00","2,000.00",2,,,,,,
,,2016 - 2017,,,,10,20,2,,,,,,
,,2017 - 2018,,,,100,80,0.8,,,,,,
,,2018 - 2019,,,,21,13,0.62,,,,,,
,,2019 - 2020,40,46,1.15,,,,,,,,,
,,2020 - 2021,67,53,0.79,,,,,,,,,
,,2021 - 2022,16,14,0.88,,,,,,,,,
,,2022 - 2023,50,41,0.82,,,,,,,,,
,4. Ashoknagar,2003 - 2004,253,411,1.62,,,,,,,,,
,,2004 - 2005,253,401,1.58,,,,,,,,,
,,2005 - 2006,368,750,2.04,,,,,,,,,
,,2007 - 2008,374,754,2.02,,,,,,,,,
,,2008 - 2009,374,800,2.14,,,,,,,,,
,,2009 - 2010,,,,,,,,,,658,"1,338.00",2.03
,,2010 - 2011,725,"2,048.00",2.82,,,,,,,,,
,,2011 - 2012,,,,808,"2,582.00",3.2,,,,,,
,,2012 - 2013,,,,681,"1,513.00",2.22,,,,,,
,,2013 - 2014,,,,669,"1,721.00",2.57,,,,,,
,,2014 - 2015,,,,"1,000.00","1,000.00",1,,,,,,
,,2016 - 2017,,,,600,"2,000.00",3.33,,,,,,
,,2017 - 2018,,,,500,"1,110.00",2.22,,,,,,
,,2018 - 2019,,,,59,156,2.64,,,,,,
,,2019 - 2020,67,199,2.97,,,,,,,,,
,,2020 - 2021,64,205,3.2,,,,,,,,,
,,2021 - 2022,87,188,2.16,,,,,,,,,
,,2022 - 2023,110,177,1.61,,,,,,,,,
,5. Balaghat,2000 - 2001,1,2,2,,,,,,,,,
,,2002 - 2003,1,2,2,,,,,,,,,
,,2014 - 2015,,,,"2,000.00","3,000.00",1.5,,,,,,
,,2017 - 2018,,,,300,480,1.6,,,,,,
,,2019 - 2020,1,2,2,,,,,,,,,
,,2021 - 2022,11,20,1.82,,,,,,,,,
,,2022 - 2023,33,36,1.09,,,,,,,,,
,6. Barwani,2015 - 2016,,,,"4,000.00","13,000.00",3.25,,,,,,
,,2016 - 2017,,,,"5,000.00","16,000.00",3.2,,,,,,
,,2017 - 2018,,,,"2,800.00","4,370.00",1.56,,,,,,
,,2019 - 2020,28,90,3.21,,,,,,,,,
,7. Betul,2001 - 2002,10,10,1,,,,,,,,,
,,2021 - 2022,3,5,1.67,,,,,,,,,
,8. Bhind,2000 - 2001,"8,154.00","8,433.00",1.03,,,,,,,,,
,,2001 - 2002,"7,104.00","11,870.00",1.67,,,,,,,,,
,,2002 - 2003,"10,026.00","15,132.00",1.51,,,,,,,,,
,,2003 - 2004,"10,553.00","22,447.00",2.13,,,,,,,,,
,,2004 - 2005,"10,388.00","19,953.00",1.92,,,,,,,,,
,,2005 - 2006,"9,692.00","19,408.00",2,,,,,,,,,
,,2007 - 2008,"7,400.00","9,963.00",1.35,,,,,,,,,
,,2008 - 2009,"5,315.00","10,697.00",2.01,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"5,114.00","9,282.00",1.82
,,2010 - 2011,"4,447.00","9,410.00",2.12,,,,,,,,,
,,2011 - 2012,,,,"4,443.00","11,981.00",2.7,,,,,,
,,2012 - 2013,,,,"4,747.00","7,184.00",1.51,,,,,,
,,2013 - 2014,,,,"4,492.00","17,184.00",3.83,,,,,,
,,2014 - 2015,,,,"1,000.00","1,000.00",1,,,,,,
,,2015 - 2016,,,,"3,000.00","8,000.00",2.67,,,,,,
,,2016 - 2017,,,,"3,850.00","12,000.00",3.12,,,,,,
,,2017 - 2018,,,,"4,370.00","17,280.00",3.95,,,,,,
,,2018 - 2019,,,,412,"1,464.00",3.55,,,,,,
,,2019 - 2020,236,677,2.87,,,,,,,,,
,,2020 - 2021,271,444,1.64,,,,,,,,,
,,2021 - 2022,91,245,2.69,,,,,,,,,
,,2022 - 2023,230,474,2.06,,,,,,,,,
,9. Bhopal,2000 - 2001,6,6,1,,,,,,,,,
,,2001 - 2002,2,3,1.5,,,,,,,,,
,,2003 - 2004,2,3,1.5,,,,,,,,,
,,2010 - 2011,1,2,2,,,,,,,,,
,,2018 - 2019,,,,1,1,1,,,,,,
,,2019 - 2020,4,10,2.5,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
,10. Burhanpur,2015 - 2016,,,,"6,000.00","15,000.00",2.5,,,,,,
,,2016 - 2017,,,,"6,000.00","18,000.00",3,,,,,,
,,2017 - 2018,,,,"1,400.00","2,040.00",1.46,,,,,,
,11. Chhatarpur,2000 - 2001,"10,256.00","11,691.00",1.14,,,,,,,,,
,,2001 - 2002,"10,667.00","13,945.00",1.31,,,,,,,,,
,,2002 - 2003,"10,875.00","15,527.00",1.43,,,,,,,,,
,,2003 - 2004,"11,047.00","15,069.00",1.36,,,,,,,,,
,,2004 - 2005,"10,425.00","12,842.00",1.23,,,,,,,,,
,,2005 - 2006,"10,542.00","12,391.00",1.18,,,,,,,,,
,,2007 - 2008,"4,864.00","4,270.00",0.88,,,,,,,,,
,,2008 - 2009,"10,467.00","11,875.00",1.13,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"10,905.00","11,754.00",1.08
,,2010 - 2011,"11,755.00","11,382.00",0.97,,,,,,,,,
,,2011 - 2012,,,,"15,447.00","17,489.00",1.13,,,,,,
,,2012 - 2013,,,,"15,897.00","15,650.00",0.98,,,,,,
,,2013 - 2014,,,,"19,960.00","21,008.00",1.05,,,,,,
,,2014 - 2015,,,,"3,000.00","4,000.00",1.33,,,,,,
,,2015 - 2016,,,,"9,000.00","26,000.00",2.89,,,,,,
,,2016 - 2017,,,,"9,000.00","28,000.00",3.11,,,,,,
