State,District,Year,Arhar/Tur,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2005 - 2006,,,,"35,956.00","31,461.00",0.87,,,,,,
,,2006 - 2007,331,244,0.74,"27,430.00","20,188.00",0.74,,,,,,
,,2007 - 2008,,,,"21,000.00","19,000.00",0.9,,,,,,
,,2008 - 2009,132,152,1.15,"18,935.00","21,832.00",1.15,,,,,,
,,2009 - 2010,"2,552.00","2,350.00",0.92,"31,140.00","28,680.00",0.92,,,,,,
,,2010 - 2011,885,"1,001.00",1.13,"24,084.00","27,239.00",1.13,,,,,,
,,2011 - 2012,401,403,1,"16,678.00","16,745.00",1,,,,,,
,,2012 - 2013,,,,"15,000.00","20,000.00",1.33,,,,,,
,,2013 - 2014,292,368,1.26,"13,579.00","17,096.00",1.26,,,,,,
,,2014 - 2015,193,301,1.56,"8,861.00","13,805.00",1.56,,,,,,
,,2015 - 2016,"1,412.00","1,703.00",1.21,"20,269.00","24,444.00",1.21,,,,,,
,,2016 - 2017,"1,969.00","1,971.00",1,"30,910.00","30,941.00",1,,,,,,
,,2017 - 2018,"2,287.00","2,564.00",1.12,"26,298.00","29,480.00",1.12,,,,,,
,,2018 - 2019,"1,060.00",716,0.68,"18,948.00","12,790.00",0.68,,,,,,
,,2019 - 2020,"2,064.00","1,505.00",0.73,"18,004.00","13,125.00",0.73,,,,,,
,,2020 - 2021,"2,390.00","1,778.00",0.74,"18,452.00","13,728.00",0.74,,,,,,
,,2021 - 2022,"2,772.00","2,437.00",0.88,"24,407.00","21,454.00",0.88,,,,,,
,,2022 - 2023,40,14,0.35,115,41,0.36,,,,,,
,10. Kadapa,2000 - 2001,168,93,0.55,"15,189.00","8,369.00",0.55,,,,,,
,,2001 - 2002,67,40,0.6,"12,059.00","7,139.00",0.59,,,,,,
,,2002 - 2003,36,6,0.17,"15,983.00","2,605.00",0.16,,,,,,
,,2003 - 2004,75,23,0.31,"29,594.00","8,997.00",0.3,,,,,,
,,2004 - 2005,44,11,0.25,"18,424.00","4,809.00",0.26,,,,,,
,,2005 - 2006,,,,"16,390.00","4,377.00",0.27,,,,,,
,,2006 - 2007,6,1,0.17,"9,313.00","1,527.00",0.16,,,,,,
,,2007 - 2008,,,,"14,000.00","4,000.00",0.29,,,,,,
