State,District,Year,Arhar/Tur,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2003 - 2004,,,,924,802,0.87,,,,,,
,,2004 - 2005,,,,"1,181.00","1,892.00",1.6,,,,,,
,,2005 - 2006,,,,"1,349.00","2,374.00",1.76,,,,,,
,,2006 - 2007,,,,"1,626.00","2,441.00",1.5,,,,,,
,,2007 - 2008,,,,"1,458.00","2,428.00",1.67,,,,,,
,,2008 - 2009,,,,"1,450.00","1,885.00",1.3,,,,,,
,,2009 - 2010,,,,"1,635.00","4,364.00",2.67,,,,,,
,,2010 - 2011,,,,"1,632.00","2,313.00",1.42,,,,,,
,,2011 - 2012,,,,"1,689.00","3,452.00",2.04,,,,,,
,,2012 - 2013,,,,"1,604.00","9,268.00",5.78,,,,,,
,,2013 - 2014,,,,"1,046.00","2,321.00",2.22,,,,,,
,,2014 - 2015,,,,"1,051.00","1,928.00",1.83,,,,,,
,,2015 - 2016,,,,"1,234.00","1,600.00",1.3,,,,,,
,,2016 - 2017,,,,229,217,0.95,,,,,,
,,2017 - 2018,,,,179,234,1.31,,,,,,
,,2018 - 2019,,,,270,829,3.07,,,,,,
,,2019 - 2020,,,,100,106,1.06,,,,,,
,,2020 - 2021,,,,586,"1,332.00",2.27,,,,,,
,,2021 - 2022,,,,68,109,1.6,,,,,,
,,2022 - 2023,,,,746,"1,768.00",2.37,,,,,,
,8. Buxar,2000 - 2001,,,,590,838,1.42,,,,,,
,,2001 - 2002,,,,594,557,0.94,,,,,,
,,2002 - 2003,,,,544,"1,023.00",1.88,,,,,,
,,2003 - 2004,,,,537,"1,254.00",2.34,,,,,,
,,2004 - 2005,,,,700,"1,167.00",1.67,,,,,,
,,2005 - 2006,,,,"1,122.00","1,365.00",1.22,,,,,,
,,2006 - 2007,,,,838,422,0.5,,,,,,
,,2007 - 2008,,,,703,974,1.39,,,,,,
,,2008 - 2009,,,,405,360,0.89,,,,,,
,,2009 - 2010,,,,423,439,1.04,,,,,,
,,2010 - 2011,,,,412,597,1.45,,,,,,
,,2011 - 2012,,,,337,845,2.51,,,,,,
,,2012 - 2013,,,,341,451,1.32,,,,,,
,,2013 - 2014,,,,403,965,2.39,,,,,,
,,2014 - 2015,,,,345,689,2,,,,,,
,,2015 - 2016,,,,302,479,1.59,,,,,,
,,2016 - 2017,,,,324,565,1.74,,,,,,
,,2017 - 2018,,,,186,"1,685.00",9.06,,,,,,
,,2018 - 2019,,,,185,332,1.79,,,,,,
,,2019 - 2020,,,,111,154,1.39,,,,,,
,,2020 - 2021,,,,92,186,2.02,,,,,,
,,2021 - 2022,,,,106,171,1.61,,,,,,
,,2022 - 2023,,,,87,161,1.85,,,,,,
,9. Darbhanga,2000 - 2001,,,,907,"1,248.00",1.38,,,,,,
,,2001 - 2002,,,,881,537,0.61,,,,,,
,,2002 - 2003,,,,371,467,1.26,,,,,,
,,2003 - 2004,,,,419,194,0.46,,,,,,
,,2004 - 2005,,,,273,321,1.18,,,,,,
,,2005 - 2006,,,,331,276,0.83,,,,,,
,,2006 - 2007,,,,356,265,0.74,,,,,,
,,2007 - 2008,,,,191,187,0.98,,,,,,
,,2008 - 2009,,,,141,137,0.97,,,,,,
,,2009 - 2010,,,,140,87,0.62,,,,,,
,,2010 - 2011,,,,299,397,1.33,,,,,,
,,2011 - 2012,,,,295,474,1.61,,,,,,
,,2012 - 2013,,,,286,609,2.13,,,,,,
,,2013 - 2014,,,,249,374,1.5,,,,,,
,,2014 - 2015,,,,248,283,1.14,,,,,,
,,2015 - 2016,,,,240,265,1.1,,,,,,
,,2016 - 2017,,,,243,"1,248.00",5.14,,,,,,
,,2017 - 2018,,,,239,133,0.56,,,,,,
,,2018 - 2019,,,,229,420,1.83,,,,,,
,,2019 - 2020,,,,221,318,1.44,,,,,,
,,2020 - 2021,,,,227,311,1.37,,,,,,
,,2021 - 2022,,,,178,221,1.24,,,,,,
,,2022 - 2023,,,,172,334,1.94,,,,,,
,10. Gaya,2000 - 2001,,,,"2,769.00","2,708.00",0.98,,,,,,
,,2001 - 2002,,,,"2,786.00","4,552.00",1.63,,,,,,
,,2002 - 2003,,,,"2,001.00","2,371.00",1.18,,,,,,
,,2003 - 2004,,,,"2,187.00","2,272.00",1.04,,,,,,
,,2004 - 2005,,,,"2,042.00","2,152.00",1.05,,,,,,
,,2005 - 2006,,,,"2,328.00","2,500.00",1.07,,,,,,
,,2006 - 2007,,,,"1,750.00","2,452.00",1.4,,,,,,
,,2007 - 2008,,,,"2,190.00","2,967.00",1.35,,,,,,
,,2008 - 2009,,,,"2,154.00","2,115.00",0.98,,,,,,
,,2009 - 2010,,,,"1,369.00","1,880.00",1.37,,,,,,
,,2010 - 2011,,,,"1,040.00","1,013.00",0.97,,,,,,
,,2011 - 2012,,,,"1,057.00","1,553.00",1.47,,,,,,
,,2012 - 2013,,,,"1,057.00","1,566.00",1.48,,,,,,
,,2013 - 2014,,,,"1,535.00","1,589.00",1.04,,,,,,
,,2014 - 2015,,,,"1,702.00","2,716.00",1.6,,,,,,
,,2015 - 2016,,,,"1,576.00","1,968.00",1.25,,,,,,
,,2016 - 2017,,,,"1,638.00","2,637.00",1.61,,,,,,
,,2017 - 2018,,,,"1,530.00","1,639.00",1.07,,,,,,
,,2018 - 2019,,,,"1,447.00","2,907.00",2.01,,,,,,
,,2019 - 2020,,,,"1,292.00","1,822.00",1.41,,,,,,
,,2020 - 2021,,,,"1,366.00","1,847.00",1.35,,,,,,
,,2021 - 2022,,,,"1,366.00","2,615.00",1.91,,,,,,
,,2022 - 2023,,,,"1,363.00","2,647.00",1.94,,,,,,
,11. Gopalganj,2000 - 2001,,,,"2,567.00","2,431.00",0.95,,,,,,
,,2001 - 2002,,,,"2,370.00","3,031.00",1.28,,,,,,
,,2002 - 2003,,,,"2,079.00","1,100.00",0.53,,,,,,
,,2003 - 2004,,,,"2,031.00","1,302.00",0.64,,,,,,
,,2004 - 2005,,,,"1,725.00","2,196.00",1.27,,,,,,
,,2005 - 2006,,,,"1,871.00","3,130.00",1.67,,,,,,
,,2006 - 2007,,,,"1,478.00","1,344.00",0.91,,,,,,
,,2007 - 2008,,,,"1,345.00","1,576.00",1.17,,,,,,
,,2008 - 2009,,,,"1,094.00","1,234.00",1.13,,,,,,
,,2009 - 2010,,,,"1,172.00","1,499.00",1.28,,,,,,
,,2010 - 2011,,,,"1,080.00","1,469.00",1.36,,,,,,
,,2011 - 2012,,,,529,687,1.3,,,,,,
,,2012 - 2013,,,,681,975,1.43,,,,,,
,,2013 - 2014,,,,416,570,1.37,,,,,,
,,2014 - 2015,,,,486,605,1.24,,,,,,
,,2015 - 2016,,,,478,597,1.25,,,,,,
,,2016 - 2017,,,,563,926,1.64,,,,,,
,,2017 - 2018,,,,420,102,0.24,,,,,,
,,2018 - 2019,,,,432,863,2,,,,,,
,,2019 - 2020,,,,282,537,1.9,,,,,,
,,2020 - 2021,,,,188,296,1.57,,,,,,
,,2021 - 2022,,,,178,236,1.33,,,,,,
,,2022 - 2023,,,,182,288,1.58,,,,,,
,12. Jamui,2000 - 2001,,,,315,394,1.25,,,,,,
,,2001 - 2002,,,,235,274,1.17,,,,,,
,,2002 - 2003,,,,493,341,0.69,,,,,,
,,2003 - 2004,,,,863,"1,231.00",1.43,,,,,,
,,2004 - 2005,,,,795,"1,215.00",1.53,,,,,,
,,2005 - 2006,,,,395,660,1.67,,,,,,
,,2006 - 2007,,,,450,185,0.41,,,,,,
,,2007 - 2008,,,,354,143,0.4,,,,,,
,,2008 - 2009,,,,385,670,1.74,,,,,,
,,2009 - 2010,,,,77,205,2.66,,,,,,
,,2010 - 2011,,,,77,150,1.95,,,,,,
,,2011 - 2012,,,,88,173,1.97,,,,,,
,,2012 - 2013,,,,90,172,1.91,,,,,,
,,2013 - 2014,,,,217,420,1.94,,,,,,
,,2014 - 2015,,,,505,954,1.89,,,,,,
,,2015 - 2016,,,,"4,212.00","6,453.00",1.53,,,,,,
,,2016 - 2017,,,,"4,343.00","7,523.00",1.73,,,,,,
,,2017 - 2018,,,,"2,561.00","2,625.00",1.02,,,,,,
,,2018 - 2019,,,,"1,822.00","3,671.00",2.01,,,,,,
,,2019 - 2020,,,,"1,494.00","2,534.00",1.7,,,,,,
,,2020 - 2021,,,,"1,345.00","1,718.00",1.28,,,,,,
,,2021 - 2022,,,,893,"1,407.00",1.58,,,,,,
,,2022 - 2023,,,,"1,050.00","2,249.00",2.14,,,,,,
,13. Jehanabad,2000 - 2001,,,,243,185,0.76,,,,,,
,,2001 - 2002,,,,408,469,1.15,,,,,,
,,2002 - 2003,,,,231,278,1.2,,,,,,
,,2003 - 2004,,,,411,558,1.36,,,,,,
,,2004 - 2005,,,,122,124,1.02,,,,,,
,,2005 - 2006,,,,255,381,1.49,,,,,,
,,2006 - 2007,,,,452,466,1.03,,,,,,
,,2007 - 2008,,,,200,273,1.37,,,,,,
,,2008 - 2009,,,,130,128,0.98,,,,,,
,,2009 - 2010,,,,138,197,1.43,,,,,,
,,2010 - 2011,,,,145,166,1.14,,,,,,
,,2011 - 2012,,,,156,231,1.48,,,,,,
,,2012 - 2013,,,,161,243,1.51,,,,,,
,,2013 - 2014,,,,160,206,1.29,,,,,,
,,2014 - 2015,,,,148,231,1.56,,,,,,
,,2015 - 2016,,,,148,206,1.39,,,,,,
,,2016 - 2017,,,,229,288,1.26,,,,,,
,,2017 - 2018,,,,211,193,0.91,,,,,,
,,2018 - 2019,,,,204,355,1.74,,,,,,
,,2019 - 2020,,,,193,251,1.3,,,,,,
,,2020 - 2021,,,,188,261,1.39,,,,,,
,,2021 - 2022,,,,175,390,2.23,,,,,,
,,2022 - 2023,,,,165,286,1.73,,,,,,
,14. Kaimur (bhabua),2000 - 2001,,,,"2,010.00","1,966.00",0.98,,,,,,
,,2001 - 2002,,,,"2,024.00","1,826.00",0.9,,,,,,
,,2002 - 2003,,,,"2,108.00","2,049.00",0.97,,,,,,
,,2003 - 2004,,,,"2,106.00","1,697.00",0.81,,,,,,
,,2004 - 2005,,,,"3,917.00","3,737.00",0.95,,,,,,
,,2005 - 2006,,,,640,731,1.14,,,,,,
,,2006 - 2007,,,,"2,696.00","2,793.00",1.04,,,,,,
,,2007 - 2008,,,,"1,362.00","1,889.00",1.39,,,,,,
,,2008 - 2009,,,,"1,618.00","2,455.00",1.52,,,,,,
,,2009 - 2010,,,,"1,974.00","3,020.00",1.53,,,,,,
,,2010 - 2011,,,,"1,937.00","2,904.00",1.5,,,,,,
,,2011 - 2012,,,,"1,533.00","2,361.00",1.54,,,,,,
,,2012 - 2013,,,,"1,800.00","3,472.00",1.93,,,,,,
,,2013 - 2014,,,,"1,791.00","2,919.00",1.63,,,,,,
,,2014 - 2015,,,,"1,837.00","2,432.00",1.32,,,,,,
,,2015 - 2016,,,,"1,683.00","2,361.00",1.4,,,,,,
,,2016 - 2017,,,,"1,770.00","1,168.00",0.66,,,,,,
,,2017 - 2018,,,,"1,633.00","1,486.00",0.91,,,,,,
,,2018 - 2019,,,,"1,760.00","2,601.00",1.48,,,,,,
,,2019 - 2020,,,,584,708,1.21,,,,,,
,,2020 - 2021,,,,375,471,1.26,,,,,,
,,2021 - 2022,,,,391,634,1.62,,,,,,
,,2022 - 2023,,,,395,702,1.78,,,,,,
,15. Katihar,2000 - 2001,,,,163,138,0.85,,,,,,
,,2001 - 2002,,,,194,134,0.69,,,,,,
,,2002 - 2003,,,,132,97,0.73,,,,,,
,,2003 - 2004,,,,87,106,1.22,,,,,,
,,2004 - 2005,,,,75,93,1.24,,,,,,
,,2005 - 2006,,,,54,58,1.07,,,,,,
,,2006 - 2007,,,,47,58,1.23,,,,,,
,,2007 - 2008,,,,25,27,1.08,,,,,,
,,2008 - 2009,,,,28,32,1.14,,,,,,
,,2009 - 2010,,,,29,39,1.34,,,,,,
,,2010 - 2011,,,,30,17,0.57,,,,,,
,,2011 - 2012,,,,62,118,1.9,,,,,,
,,2012 - 2013,,,,77,76,0.99,,,,,,
,,2013 - 2014,,,,75,125,1.67,,,,,,
,,2014 - 2015,,,,23,33,1.43,,,,,,
,,2015 - 2016,,,,19,30,1.58,,,,,,
,,2018 - 2019,,,,3,6,2,,,,,,
,,2019 - 2020,,,,3,5,1.67,,,,,,
,16. Khagaria,2000 - 2001,,,,342,496,1.45,,,,,,
,,2001 - 2002,,,,246,408,1.66,,,,,,
,,2002 - 2003,,,,240,156,0.65,,,,,,
,,2003 - 2004,,,,225,258,1.15,,,,,,
,,2004 - 2005,,,,230,243,1.06,,,,,,
,,2005 - 2006,,,,172,275,1.6,,,,,,
,,2006 - 2007,,,,171,158,0.92,,,,,,
,,2007 - 2008,,,,181,258,1.43,,,,,,
,,2008 - 2009,,,,187,325,1.74,,,,,,
,,2009 - 2010,,,,173,304,1.76,,,,,,
,,2010 - 2011,,,,180,301,1.67,,,,,,
,,2011 - 2012,,,,166,326,1.96,,,,,,
,,2012 - 2013,,,,166,474,2.86,,,,,,
,,2013 - 2014,,,,191,370,1.94,,,,,,
,,2014 - 2015,,,,190,359,1.89,,,,,,
,,2015 - 2016,,,,180,276,1.53,,,,,,
,,2016 - 2017,,,,136,225,1.65,,,,,,
,,2017 - 2018,,,,180,189,1.05,,,,,,
,,2018 - 2019,,,,186,356,1.91,,,,,,
,,2019 - 2020,,,,179,290,1.62,,,,,,
,,2020 - 2021,,,,144,218,1.51,,,,,,
,,2021 - 2022,,,,116,179,1.54,,,,,,
,,2022 - 2023,,,,100,192,1.92,,,,,,
,17. Kishanganj,2000 - 2001,,,,51,53,1.04,,,,,,
,,2001 - 2002,,,,283,339,1.2,,,,,,
,,2002 - 2003,,,,235,313,1.33,,,,,,
,,2003 - 2004,,,,214,260,1.21,,,,,,
,,2004 - 2005,,,,202,249,1.23,,,,,,
,,2005 - 2006,,,,270,292,1.08,,,,,,
,,2006 - 2007,,,,59,73,1.24,,,,,,
,,2007 - 2008,,,,53,56,1.06,,,,,,
,,2008 - 2009,,,,44,51,1.16,,,,,,
,,2009 - 2010,,,,44,60,1.36,,,,,,
,,2010 - 2011,,,,45,26,0.58,,,,,,
,,2011 - 2012,,,,43,82,1.91,,,,,,
,,2012 - 2013,,,,39,39,1,,,,,,
,,2013 - 2014,,,,36,60,1.67,,,,,,
,,2014 - 2015,,,,37,53,1.43,,,,,,
,,2015 - 2016,,,,40,63,1.58,,,,,,
,,2016 - 2017,,,,42,66,1.57,,,,,,
,,2017 - 2018,,,,43,67,1.56,,,,,,
,,2018 - 2019,,,,44,81,1.84,,,,,,
,,2019 - 2020,,,,42,71,1.69,,,,,,
,,2020 - 2021,,,,40,64,1.6,,,,,,
,,2021 - 2022,,,,37,59,1.59,,,,,,
,,2022 - 2023,,,,34,64,1.88,,,,,,
,18. Lakhisarai,2000 - 2001,,,,93,165,1.77,,,,,,
,,2001 - 2002,,,,169,240,1.42,,,,,,
,,2002 - 2003,,,,179,203,1.13,,,,,,
,,2003 - 2004,,,,134,144,1.07,,,,,,
,,2004 - 2005,,,,188,287,1.53,,,,,,
,,2005 - 2006,,,,180,279,1.55,,,,,,
,,2006 - 2007,,,,309,286,0.93,,,,,,
,,2007 - 2008,,,,200,285,1.43,,,,,,
,,2008 - 2009,,,,193,366,1.9,,,,,,
,,2009 - 2010,,,,184,323,1.76,,,,,,
,,2010 - 2011,,,,377,630,1.67,,,,,,
,,2011 - 2012,,,,414,521,1.26,,,,,,
,,2012 - 2013,,,,419,"1,381.00",3.3,,,,,,
,,2013 - 2014,,,,366,"1,242.00",3.39,,,,,,
,,2014 - 2015,,,,82,128,1.56,,,,,,
,,2015 - 2016,,,,82,136,1.66,,,,,,
,,2021 - 2022,,,,62,96,1.55,,,,,,
,19. Madhepura,2000 - 2001,,,,16,22,1.38,,,,,,
,,2001 - 2002,,,,17,22,1.29,,,,,,
,,2002 - 2003,,,,2,2,1,,,,,,
,,2003 - 2004,,,,33,41,1.24,,,,,,
,,2004 - 2005,,,,35,43,1.23,,,,,,
,,2005 - 2006,,,,23,30,1.3,,,,,,
,,2006 - 2007,,,,61,76,1.25,,,,,,
,,2007 - 2008,,,,37,51,1.38,,,,,,
,,2008 - 2009,,,,7,8,1.14,,,,,,
,,2009 - 2010,,,,10,13,1.3,,,,,,
,,2010 - 2011,,,,11,17,1.55,,,,,,
,,2011 - 2012,,,,11,21,1.91,,,,,,
,,2012 - 2013,,,,11,23,2.09,,,,,,
,,2013 - 2014,,,,47,78,1.66,,,,,,
,,2014 - 2015,,,,12,17,1.42,,,,,,
,,2015 - 2016,,,,14,22,1.57,,,,,,
,,2016 - 2017,,,,24,38,1.58,,,,,,
,,2017 - 2018,,,,33,51,1.55,,,,,,
,,2018 - 2019,,,,3,6,2,,,,,,
,,2019 - 2020,,,,5,8,1.6,,,,,,
,,2020 - 2021,,,,13,21,1.62,,,,,,
,,2021 - 2022,,,,73,117,1.6,,,,,,
,,2022 - 2023,,,,7,13,1.86,,,,,,
,20. Madhubani,2000 - 2001,,,,"1,072.00","1,420.00",1.32,,,,,,
,,2001 - 2002,,,,957,589,0.62,,,,,,
,,2002 - 2003,,,,"1,209.00","1,279.00",1.06,,,,,,
,,2003 - 2004,,,,"1,062.00",647,0.61,,,,,,
,,2004 - 2005,,,,932,859,0.92,,,,,,
,,2005 - 2006,,,,702,647,0.92,,,,,,
,,2006 - 2007,,,,548,589,1.07,,,,,,
,,2007 - 2008,,,,173,221,1.28,,,,,,
,,2008 - 2009,,,,5,6,1.2,,,,,,
,,2009 - 2010,,,,4,2,0.5,,,,,,
,,2010 - 2011,,,,5,7,1.4,,,,,,
,,2011 - 2012,,,,10,17,1.7,,,,,,
,,2012 - 2013,,,,25,53,2.12,,,,,,
,,2013 - 2014,,,,28,42,1.5,,,,,,
,,2014 - 2015,,,,81,92,1.14,,,,,,
,,2015 - 2016,,,,139,160,1.15,,,,,,
,,2016 - 2017,,,,182,372,2.04,,,,,,
,,2017 - 2018,,,,139,135,0.97,,,,,,
,,2018 - 2019,,,,182,268,1.47,,,,,,
,,2019 - 2020,,,,140,215,1.54,,,,,,
,,2020 - 2021,,,,178,188,1.06,,,,,,
,,2021 - 2022,,,,183,244,1.33,,,,,,
,,2022 - 2023,,,,185,389,2.1,,,,,,
,21. Munger,2000 - 2001,,,,41,73,1.78,,,,,,
,,2001 - 2002,,,,51,72,1.41,,,,,,
,,2002 - 2003,,,,92,104,1.13,,,,,,
,,2003 - 2004,,,,56,60,1.07,,,,,,
,,2004 - 2005,,,,78,119,1.53,,,,,,
,,2005 - 2006,,,,98,152,1.55,,,,,,
,,2006 - 2007,,,,167,154,0.92,,,,,,
,,2007 - 2008,,,,121,173,1.43,,,,,,
,,2008 - 2009,,,,136,237,1.74,,,,,,
,,2009 - 2010,,,,146,256,1.75,,,,,,
,,2010 - 2011,,,,187,312,1.67,,,,,,
,,2011 - 2012,,,,190,373,1.96,,,,,,
,,2012 - 2013,,,,117,334,2.85,,,,,,
,,2013 - 2014,,,,47,91,1.94,,,,,,
,,2014 - 2015,,,,47,72,1.53,,,,,,
,,2015 - 2016,,,,45,69,1.53,,,,,,
,,2016 - 2017,,,,45,75,1.67,,,,,,
,,2017 - 2018,,,,45,47,1.04,,,,,,
,,2018 - 2019,,,,45,86,1.91,,,,,,
,,2019 - 2020,,,,45,73,1.62,,,,,,
,,2020 - 2021,,,,45,68,1.51,,,,,,
,,2021 - 2022,,,,45,69,1.53,,,,,,
,,2022 - 2023,,,,45,87,1.93,,,,,,
,22. Muzaffarpur,2000 - 2001,,,,"1,542.00","2,230.00",1.45,,,,,,
,,2001 - 2002,,,,"1,763.00","4,563.00",2.59,,,,,,
,,2002 - 2003,,,,"1,307.00","2,354.00",1.8,,,,,,
,,2003 - 2004,,,,"1,729.00","3,992.00",2.31,,,,,,
,,2004 - 2005,,,,"1,578.00","2,728.00",1.73,,,,,,
,,2005 - 2006,,,,"1,195.00","1,901.00",1.59,,,,,,
,,2006 - 2007,,,,815,"1,442.00",1.77,,,,,,
,,2007 - 2008,,,,390,453,1.16,,,,,,
,,2008 - 2009,,,,460,708,1.54,,,,,,
,,2009 - 2010,,,,"1,299.00","1,485.00",1.14,,,,,,
,,2010 - 2011,,,,"1,882.00","3,322.00",1.77,,,,,,
,,2011 - 2012,,,,"1,771.00","1,952.00",1.1,,,,,,
,,2012 - 2013,,,,"1,666.00","2,809.00",1.69,,,,,,
,,2013 - 2014,,,,591,599,1.01,,,,,,
,,2014 - 2015,,,,"1,235.00","1,103.00",0.89,,,,,,
,,2015 - 2016,,,,906,"1,624.00",1.79,,,,,,
,,2016 - 2017,,,,539,"1,300.00",2.41,,,,,,
,,2017 - 2018,,,,492,856,1.74,,,,,,
,,2018 - 2019,,,,466,857,1.84,,,,,,
,,2019 - 2020,,,,489,607,1.24,,,,,,
,,2020 - 2021,,,,479,953,1.99,,,,,,
,,2021 - 2022,,,,523,623,1.19,,,,,,
,,2022 - 2023,,,,527,863,1.64,,,,,,
,23. Nalanda,2000 - 2001,,,,404,"1,052.00",2.6,,,,,,
,,2001 - 2002,,,,366,366,1,,,,,,
,,2002 - 2003,,,,379,304,0.8,,,,,,
,,2003 - 2004,,,,426,413,0.97,,,,,,
,,2004 - 2005,,,,404,323,0.8,,,,,,
,,2005 - 2006,,,,268,503,1.88,,,,,,
,,2006 - 2007,,,,263,399,1.52,,,,,,
,,2007 - 2008,,,,"1,463.00","3,058.00",2.09,,,,,,
,,2008 - 2009,,,,"1,585.00","2,552.00",1.61,,,,,,
,,2009 - 2010,,,,266,390,1.47,,,,,,
,,2010 - 2011,,,,292,680,2.33,,,,,,
,,2011 - 2012,,,,336,581,1.73,,,,,,
,,2012 - 2013,,,,460,607,1.32,,,,,,
,,2013 - 2014,,,,463,874,1.89,,,,,,
,,2014 - 2015,,,,213,373,1.75,,,,,,
,,2015 - 2016,,,,268,562,2.1,,,,,,
,,2016 - 2017,,,,204,196,0.96,,,,,,
,,2017 - 2018,,,,209,370,1.77,,,,,,
,,2018 - 2019,,,,138,293,2.12,,,,,,
,,2019 - 2020,,,,190,239,1.26,,,,,,
,,2020 - 2021,,,,209,401,1.92,,,,,,
,,2021 - 2022,,,,124,200,1.61,,,,,,
,,2022 - 2023,,,,161,297,1.84,,,,,,
,24. Nawada,2000 - 2001,,,,649,591,0.91,,,,,,
,,2001 - 2002,,,,897,915,1.02,,,,,,
,,2002 - 2003,,,,870,978,1.12,,,,,,
,,2003 - 2004,,,,797,821,1.03,,,,,,
,,2004 - 2005,,,,"1,091.00",880,0.81,,,,,,
,,2005 - 2006,,,,"1,073.00",798,0.74,,,,,,
,,2006 - 2007,,,,846,588,0.7,,,,,,
,,2007 - 2008,,,,"1,015.00",701,0.69,,,,,,
,,2008 - 2009,,,,881,648,0.74,,,,,,
,,2009 - 2010,,,,811,"1,127.00",1.39,,,,,,
,,2010 - 2011,,,,"1,319.00","1,389.00",1.05,,,,,,
,,2011 - 2012,,,,"1,110.00","1,319.00",1.19,,,,,,
,,2012 - 2013,,,,"1,085.00","1,299.00",1.2,,,,,,
,,2013 - 2014,,,,933,932,1,,,,,,
,,2014 - 2015,,,,887,691,0.78,,,,,,
,,2015 - 2016,,,,741,"1,367.00",1.84,,,,,,
,,2016 - 2017,,,,959,553,0.58,,,,,,
,,2017 - 2018,,,,974,720,0.74,,,,,,
,,2018 - 2019,,,,"1,068.00","1,479.00",1.38,,,,,,
,,2019 - 2020,,,,"1,076.00","1,315.00",1.22,,,,,,
,,2020 - 2021,,,,"1,027.00","1,580.00",1.54,,,,,,
,,2021 - 2022,,,,"1,015.00","1,745.00",1.72,,,,,,
,,2022 - 2023,,,,"1,011.00","2,016.00",1.99,,,,,,
,25. Pashchim champaran,2000 - 2001,,,,"5,553.00","9,290.00",1.67,,,,,,
,,2001 - 2002,,,,"5,594.00","8,201.00",1.47,,,,,,
,,2002 - 2003,,,,"5,622.00","4,925.00",0.88,,,,,,
,,2003 - 2004,,,,"5,372.00","6,613.00",1.23,,,,,,
,,2004 - 2005,,,,"5,308.00","6,757.00",1.27,,,,,,
,,2005 - 2006,,,,"7,330.00","11,288.00",1.54,,,,,,
,,2006 - 2007,,,,"6,966.00","12,553.00",1.8,,,,,,
,,2007 - 2008,,,,"5,914.00","10,438.00",1.76,,,,,,
,,2008 - 2009,,,,"5,917.00","6,473.00",1.09,,,,,,
,,2009 - 2010,,,,"5,926.00","4,593.00",0.78,,,,,,
,,2010 - 2011,,,,"4,511.00","5,540.00",1.23,,,,,,
,,2011 - 2012,,,,851,"2,266.00",2.66,,,,,,
,,2012 - 2013,,,,617,766,1.24,,,,,,
,,2013 - 2014,,,,528,714,1.35,,,,,,
,,2014 - 2015,,,,494,750,1.52,,,,,,
,,2015 - 2016,,,,301,406,1.35,,,,,,
,,2016 - 2017,,,,234,274,1.17,,,,,,
,,2017 - 2018,,,,225,258,1.15,,,,,,
,,2018 - 2019,,,,207,233,1.13,,,,,,
,,2019 - 2020,,,,175,305,1.74,,,,,,
,,2020 - 2021,,,,155,267,1.72,,,,,,
,,2021 - 2022,,,,118,183,1.55,,,,,,
,,2022 - 2023,,,,106,173,1.63,,,,,,
,26. Patna,2000 - 2001,,,,"1,326.00","2,392.00",1.8,,,,,,
,,2001 - 2002,,,,"1,105.00",800,0.72,,,,,,
,,2002 - 2003,,,,455,823,1.81,,,,,,
,,2003 - 2004,,,,398,414,1.04,,,,,,
,,2004 - 2005,,,,398,344,0.86,,,,,,
,,2005 - 2006,,,,409,276,0.67,,,,,,
,,2006 - 2007,,,,761,460,0.6,,,,,,
,,2007 - 2008,,,,198,292,1.47,,,,,,
,,2008 - 2009,,,,195,268,1.37,,,,,,
,,2009 - 2010,,,,494,679,1.37,,,,,,
,,2010 - 2011,,,,848,"1,905.00",2.25,,,,,,
,,2011 - 2012,,,,721,"2,182.00",3.03,,,,,,
,,2012 - 2013,,,,619,"2,050.00",3.31,,,,,,
,,2013 - 2014,,,,721,"1,663.00",2.31,,,,,,
,,2014 - 2015,,,,687,"1,450.00",2.11,,,,,,
,,2015 - 2016,,,,675,"1,152.00",1.71,,,,,,
,,2016 - 2017,,,,694,873,1.26,,,,,,
,,2017 - 2018,,,,938,"2,120.00",2.26,,,,,,
,,2018 - 2019,,,,433,946,2.18,,,,,,
,,2019 - 2020,,,,"1,895.00","3,267.00",1.72,,,,,,
,,2020 - 2021,,,,927,"1,495.00",1.61,,,,,,
,,2021 - 2022,,,,813,899,1.11,,,,,,
,,2022 - 2023,,,,796,"1,111.00",1.4,,,,,,
,27. Purbi champaran,2000 - 2001,,,,"3,706.00","6,612.00",1.78,,,,,,
,,2001 - 2002,,,,"4,021.00","4,391.00",1.09,,,,,,
,,2002 - 2003,,,,"2,766.00","3,037.00",1.1,,,,,,
,,2003 - 2004,,,,"2,324.00","3,242.00",1.4,,,,,,
,,2004 - 2005,,,,"1,359.00","1,730.00",1.27,,,,,,
,,2005 - 2006,,,,"1,347.00","2,139.00",1.59,,,,,,
,,2006 - 2007,,,,"1,419.00","1,721.00",1.21,,,,,,
,,2007 - 2008,,,,"1,412.00","1,843.00",1.31,,,,,,
,,2008 - 2009,,,,"1,329.00","1,239.00",0.93,,,,,,
,,2009 - 2010,,,,"1,336.00","3,134.00",2.35,,,,,,
,,2010 - 2011,,,,"1,569.00","4,572.00",2.91,,,,,,
,,2011 - 2012,,,,"1,496.00","6,030.00",4.03,,,,,,
,,2012 - 2013,,,,"1,342.00","2,298.00",1.71,,,,,,
