State,District,Year,Moth,,,,,
,,,Kharif,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2002 - 2003,"1,01,190.00",,0,,,
,,2003 - 2004,"2,89,402.00","1,30,801.00",0.45,,,
,,2004 - 2005,"2,72,646.00","25,892.00",0.09,,,
,,2005 - 2006,"2,44,556.00","13,949.00",0.06,,,
,,2006 - 2007,"2,37,689.00","25,974.00",0.11,,,
,,2007 - 2008,"2,93,070.00","1,37,815.00",0.47,,,
,,2008 - 2009,"2,94,989.00","92,875.00",0.31,,,
,,2009 - 2010,"3,10,912.00","4,025.00",0.01,,,
,,2010 - 2011,"4,22,419.00","1,42,649.00",0.34,,,
,,2011 - 2012,"3,21,986.00","81,073.00",0.25,,,
,,2012 - 2013,"1,81,317.00","50,454.00",0.28,,,
,,2013 - 2014,"2,12,555.00","57,338.00",0.27,,,
,,2014 - 2015,"2,26,298.00","91,090.00",0.4,,,
,,2015 - 2016,"3,29,648.00","95,925.00",0.29,,,
,,2016 - 2017,"4,21,670.00","1,28,157.00",0.3,,,
,,2017 - 2018,"2,98,244.00","83,487.00",0.28,,,
,,2018 - 2019,"2,69,355.00","66,350.00",0.25,,,
,,2019 - 2020,"2,59,005.00","68,426.00",0.26,,,
,,2020 - 2021,"2,71,392.00","84,987.00",0.31,,,
,,2021 - 2022,"2,99,376.00","32,977.00",0.11,,,
,,2022 - 2023,"2,23,931.00","76,429.00",0.34,,,
,12. Dausa,2000 - 2001,145,10,0.07,,,
,,2001 - 2002,109,26,0.24,,,
,,2002 - 2003,77,3,0.04,,,
,,2003 - 2004,91,48,0.53,,,
,,2004 - 2005,73,10,0.14,,,
,,2005 - 2006,228,28,0.12,,,
,,2006 - 2007,120,20,0.17,,,
,,2007 - 2008,106,33,0.31,,,
,,2008 - 2009,117,31,0.26,,,
,,2009 - 2010,94,3,0.03,,,
,,2010 - 2011,141,69,0.49,,,
,,2011 - 2012,149,51,0.34,,,
,,2012 - 2013,89,24,0.27,,,
,,2013 - 2014,83,23,0.28,,,
,,2014 - 2015,15,6,0.4,,,
,,2015 - 2016,35,10,0.29,,,
,,2016 - 2017,36,11,0.31,,,
,,2017 - 2018,23,7,0.3,,,
,,2018 - 2019,23,5,0.22,,,
,,2019 - 2020,3,1,0.33,,,
,,2020 - 2021,2,1,0.5,,,
,13. Dholpur,2000 - 2001,15,2,0.13,,,
,,2001 - 2002,12,3,0.25,,,
,,2002 - 2003,11,1,0.09,,,
,,2003 - 2004,9,5,0.56,,,
,,2004 - 2005,2,,0,,,
,,2005 - 2006,10,1,0.1,,,
,,2006 - 2007,10,2,0.2,,,
,,2007 - 2008,16,5,0.31,,,
,,2008 - 2009,12,3,0.25,,,
,,2009 - 2010,3,,0,,,
,,2010 - 2011,8,4,0.5,,,
,,2011 - 2012,4,1,0.25,,,
,,2012 - 2013,2,1,0.5,,,
,,2013 - 2014,1,,0,,,
,,2016 - 2017,112,35,0.31,,,
,,2018 - 2019,13,3,0.23,,,
,,2020 - 2021,3,1,0.33,,,
,14. Dungarpur,2003 - 2004,18,10,0.56,,,
,,2012 - 2013,2,1,0.5,,,
,,2014 - 2015,5,2,0.4,,,
,,2016 - 2017,13,4,0.31,,,
,,2017 - 2018,8,2,0.25,,,
,,2018 - 2019,3,1,0.33,,,
,,2019 - 2020,40,13,0.33,,,
,,2020 - 2021,9,3,0.33,,,
,,2021 - 2022,9,2,0.22,,,
,,2022 - 2023,1,1,1,,,
,15. Ganganagar,2000 - 2001,279,41,0.15,,,
,,2001 - 2002,"5,550.00","1,315.00",0.24,,,
,,2002 - 2003,"5,858.00",257,0.04,,,
,,2003 - 2004,"15,987.00","7,316.00",0.46,,,
,,2004 - 2005,"1,528.00",373,0.24,,,
,,2005 - 2006,"1,161.00",209,0.18,,,
,,2006 - 2007,"1,577.00",616,0.39,,,
,,2007 - 2008,"2,300.00","1,025.00",0.45,,,
,,2008 - 2009,"1,759.00",853,0.48,,,
,,2009 - 2010,"1,812.00",560,0.31,,,
,,2010 - 2011,"4,662.00","2,267.00",0.49,,,
,,2011 - 2012,"1,891.00","1,144.00",0.6,,,
,,2012 - 2013,576,434,0.75,,,
,,2013 - 2014,309,128,0.41,,,
,,2014 - 2015,"1,810.00",929,0.51,,,
,,2015 - 2016,351,131,0.37,,,
,,2016 - 2017,"1,979.00",620,0.31,,,
,,2017 - 2018,"1,456.00",734,0.5,,,
,,2018 - 2019,"1,566.00",511,0.33,,,
,,2019 - 2020,"3,412.00","1,071.00",0.31,,,
,,2020 - 2021,"2,701.00",751,0.28,,,
,,2021 - 2022,"1,926.00",613,0.32,,,
,,2022 - 2023,"2,146.00","1,362.00",0.63,,,
,16. Hanumangarh,2000 - 2001,"17,576.00","2,053.00",0.12,,,
,,2001 - 2002,"47,599.00","19,540.00",0.41,,,
,,2002 - 2003,"23,273.00","3,739.00",0.16,,,
,,2003 - 2004,"74,418.00","40,254.00",0.54,,,
,,2004 - 2005,"40,680.00","5,784.00",0.14,,,
,,2005 - 2006,"30,907.00","4,981.00",0.16,,,
,,2006 - 2007,"30,441.00","8,291.00",0.27,,,
,,2007 - 2008,"39,051.00","16,268.00",0.42,,,
,,2008 - 2009,"47,705.00","21,537.00",0.45,,,
,,2009 - 2010,"40,598.00","5,825.00",0.14,,,
,,2010 - 2011,"1,00,194.00","43,294.00",0.43,,,
,,2011 - 2012,"54,967.00","18,987.00",0.35,,,
,,2012 - 2013,"14,648.00","14,479.00",0.99,,,
,,2013 - 2014,"10,790.00","4,581.00",0.42,,,
,,2014 - 2015,"14,815.00","7,712.00",0.52,,,
,,2015 - 2016,"29,991.00","11,222.00",0.37,,,
,,2016 - 2017,"88,320.00","24,065.00",0.27,,,
,,2017 - 2018,"42,426.00","15,812.00",0.37,,,
,,2018 - 2019,"33,327.00","8,671.00",0.26,,,
,,2019 - 2020,"36,872.00","5,982.00",0.16,,,
,,2020 - 2021,"42,692.00","10,127.00",0.24,,,
,,2021 - 2022,"49,032.00","10,234.00",0.21,,,
,,2022 - 2023,"40,267.00","10,435.00",0.26,,,
,17. Jaipur,2000 - 2001,"1,537.00",133,0.09,,,
,,2001 - 2002,"1,836.00",435,0.24,,,
,,2002 - 2003,"1,314.00",,0,,,
,,2003 - 2004,967,425,0.44,,,
,,2004 - 2005,675,88,0.13,,,
,,2005 - 2006,668,81,0.12,,,
,,2006 - 2007,"1,103.00",183,0.17,,,
,,2007 - 2008,457,143,0.31,,,
,,2008 - 2009,405,108,0.27,,,
,,2009 - 2010,731,22,0.03,,,
,,2010 - 2011,580,282,0.49,,,
,,2011 - 2012,387,131,0.34,,,
,,2012 - 2013,822,225,0.27,,,
,,2013 - 2014,205,59,0.29,,,
,,2014 - 2015,538,211,0.39,,,
,,2015 - 2016,124,34,0.27,,,
,,2016 - 2017,178,56,0.31,,,
,,2017 - 2018,89,28,0.31,,,
,,2018 - 2019,57,13,0.23,,,
,,2019 - 2020,45,15,0.33,,,
,,2020 - 2021,118,39,0.33,,,
,,2021 - 2022,48,10,0.21,,,
,,2022 - 2023,27,13,0.48,,,
,18. Jaisalmer,2000 - 2001,142,21,0.15,,,
,,2001 - 2002,"2,283.00",541,0.24,,,
,,2002 - 2003,"1,512.00",66,0.04,,,
