State,District,Year,Moth,,,,,
,,,Kharif,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2013 - 2014,11,3,0.27,,,
,,2014 - 2015,5,2,0.4,,,
,,2015 - 2016,25,7,0.28,,,
,,2016 - 2017,14,4,0.29,,,
,,2017 - 2018,3,1,0.33,,,
,,2018 - 2019,6,1,0.17,,,
,,2019 - 2020,16,5,0.31,,,
,,2020 - 2021,1,0,0,,,
,,2022 - 2023,1,1,1,,,
,29. Sawai madhopur,2000 - 2001,136,20,0.15,,,
,,2001 - 2002,174,41,0.24,,,
,,2002 - 2003,74,3,0.04,,,
,,2003 - 2004,30,16,0.53,,,
,,2004 - 2005,39,5,0.13,,,
,,2005 - 2006,72,9,0.13,,,
,,2006 - 2007,59,10,0.17,,,
,,2007 - 2008,83,26,0.31,,,
,,2008 - 2009,175,47,0.27,,,
,,2009 - 2010,94,3,0.03,,,
,,2010 - 2011,176,86,0.49,,,
,,2011 - 2012,146,50,0.34,,,
,,2012 - 2013,163,44,0.27,,,
,,2013 - 2014,88,25,0.28,,,
,,2014 - 2015,87,34,0.39,,,
,,2015 - 2016,198,54,0.27,,,
,,2016 - 2017,40,12,0.3,,,
,,2017 - 2018,2,1,0.5,,,
,,2018 - 2019,5,1,0.2,,,
,,2019 - 2020,1,,0,,,
,,2020 - 2021,123,41,0.33,,,
,,2021 - 2022,35,7,0.2,,,
,,2022 - 2023,1,1,1,,,
,30. Sikar,2000 - 2001,"5,710.00",494,0.09,,,
,,2001 - 2002,"5,562.00","1,017.00",0.18,,,
,,2002 - 2003,"7,116.00",25,0,,,
,,2003 - 2004,"7,435.00","2,711.00",0.36,,,
,,2004 - 2005,"11,264.00","2,117.00",0.19,,,
,,2005 - 2006,"10,009.00",947,0.09,,,
,,2006 - 2007,"8,064.00","1,591.00",0.2,,,
,,2007 - 2008,"9,298.00","2,685.00",0.29,,,
,,2008 - 2009,"9,502.00","2,294.00",0.24,,,
,,2009 - 2010,"10,108.00",53,0.01,,,
,,2010 - 2011,"10,310.00","2,893.00",0.28,,,
,,2011 - 2012,"7,041.00","2,474.00",0.35,,,
,,2012 - 2013,"2,893.00",566,0.2,,,
,,2013 - 2014,"2,331.00",510,0.22,,,
,,2014 - 2015,"2,358.00","1,002.00",0.42,,,
,,2015 - 2016,"2,492.00",438,0.18,,,
,,2016 - 2017,"2,483.00","1,328.00",0.53,,,
,,2017 - 2018,"1,564.00",416,0.27,,,
,,2018 - 2019,817,318,0.39,,,
,,2019 - 2020,398,170,0.43,,,
,,2020 - 2021,186,71,0.38,,,
,,2021 - 2022,268,32,0.12,,,
,,2022 - 2023,218,23,0.11,,,
,31. Sirohi,2000 - 2001,13,2,0.15,,,
,,2001 - 2002,59,14,0.24,,,
,,2002 - 2003,7,,0,,,
,,2003 - 2004,15,8,0.53,,,
,,2004 - 2005,3,,0,,,
,,2005 - 2006,9,1,0.11,,,
,,2006 - 2007,14,2,0.14,,,
,,2007 - 2008,125,39,0.31,,,
,,2008 - 2009,1,,0,,,
,,2009 - 2010,14,,0,,,
,,2010 - 2011,87,42,0.48,,,
,,2011 - 2012,1,,0,,,
,,2012 - 2013,3,1,0.33,,,
,,2014 - 2015,1,,0,,,
,,2016 - 2017,34,11,0.32,,,
,,2019 - 2020,31,10,0.32,,,
,,2020 - 2021,13,4,0.31,,,
,,2022 - 2023,1,0,0,,,
,32. Tonk,2000 - 2001,82,12,0.15,,,
,,2001 - 2002,88,21,0.24,,,
,,2002 - 2003,27,1,0.04,,,
,,2003 - 2004,33,17,0.52,,,
,,2004 - 2005,52,7,0.13,,,
,,2005 - 2006,76,9,0.12,,,
,,2006 - 2007,68,11,0.16,,,
,,2007 - 2008,63,20,0.32,,,
,,2008 - 2009,66,18,0.27,,,
,,2009 - 2010,53,2,0.04,,,
,,2010 - 2011,177,86,0.49,,,
,,2011 - 2012,190,64,0.34,,,
,,2012 - 2013,134,37,0.28,,,
,,2013 - 2014,52,24,0.46,,,
,,2014 - 2015,23,9,0.39,,,
,,2015 - 2016,23,6,0.26,,,
,,2016 - 2017,26,8,0.31,,,
,,2017 - 2018,8,3,0.38,,,
,,2018 - 2019,12,3,0.25,,,
,,2021 - 2022,64,13,0.2,,,
,33. Udaipur,2000 - 2001,2,,0,,,
,,2001 - 2002,2,0.1,0.05,,,
,,2002 - 2003,1,,0,,,
,,2003 - 2004,5,3,0.6,,,
,,2004 - 2005,6,1,0.17,,,
,,2008 - 2009,104,28,0.27,,,
,,2010 - 2011,3,1,0.33,,,
,,2015 - 2016,7,2,0.29,,,
,,2017 - 2018,2,1,0.5,,,
,,2018 - 2019,2,1,0.5,,,
,,2019 - 2020,6,2,0.33,,,
,,2020 - 2021,2,1,0.5,,,
7. Uttar Pradesh,1. Agra,2000 - 2001,5,2,0.4,,,
,,2001 - 2002,8,3,0.38,,,
,,2002 - 2003,4,2,0.5,,,
,,2003 - 2004,2,1,0.5,,,
,2. Aligarh,2000 - 2001,9,3,0.33,,,
,,2001 - 2002,17,6,0.35,,,
,,2002 - 2003,2,1,0.5,,,
,,2003 - 2004,7,2,0.29,,,
,3. Amroha,2001 - 2002,2,1,0.5,,,
,,2003 - 2004,5,2,0.4,,,
,4. Balrampur,2000 - 2001,2,1,0.5,,,
,,2001 - 2002,3,1,0.33,,,
,5. Banda,2003 - 2004,1,1,1,,,
,6. Barabanki,2000 - 2001,2,1,0.5,,,
,,2002 - 2003,4,2,0.5,,,
,,2003 - 2004,5,2,0.4,,,
,7. Bareilly,2003 - 2004,3,1,0.33,,,
,8. Bijnor,2003 - 2004,2,1,0.5,,,
,9. Budaun,2000 - 2001,20,6,0.3,,,
,,2001 - 2002,211,81,0.38,,,
,,2002 - 2003,220,90,0.41,,,
,,2003 - 2004,295,114,0.39,,,
,10. Bulandshahr,2001 - 2002,1,0.1,0.1,,,
,11. Chandauli,2000 - 2001,12,4,0.33,,,
,,2001 - 2002,1,1,1,,,
,12. Deoria,2002 - 2003,8,3,0.38,,,
,13. Etah,2000 - 2001,14,4,0.29,,,
,,2001 - 2002,15,6,0.4,,,
,,2002 - 2003,8,3,0.38,,,
,,2003 - 2004,18,7,0.39,,,
,14. Etawah,2001 - 2002,1,0.1,0.1,,,
,15. Farrukhabad,2001 - 2002,1,1,1,,,
,16. Firozabad,2000 - 2001,7,2,0.29,,,
,,2001 - 2002,1,1,1,,,
,,2002 - 2003,3,1,0.33,,,
,,2003 - 2004,2,1,0.5,,,
,17. Ghazipur,2001 - 2002,1,0.1,0.1,,,
,18. Gonda,2001 - 2002,1,1,1,,,
,,2003 - 2004,1,0,0,,,
,19. Hardoi,2000 - 2001,8,2,0.25,,,
,,2001 - 2002,4,1,0.25,,,
,,2003 - 2004,3,1,0.33,,,
,20. Hathras,2001 - 2002,3,1,0.33,,,
,21. Jalaun,2000 - 2001,7,2,0.29,,,
,,2001 - 2002,1,0.1,0.1,,,
,22. Jhansi,2003 - 2004,2,1,0.5,,,
,23. Kannauj,2001 - 2002,1,0.1,0.1,,,
,,2003 - 2004,4,2,0.5,,,
,24. Kushi nagar,2001 - 2002,2,1,0.5,,,
,,2003 - 2004,3,1,0.33,,,
,25. Mahoba,2000 - 2001,25,7,0.28,,,
,,2001 - 2002,2,1,0.5,,,
,,2002 - 2003,2,1,0.5,,,
,,2003 - 2004,3,1,0.33,,,
,26. Mainpuri,2001 - 2002,1,1,1,,,
,27. Mathura,2003 - 2004,3,1,0.33,,,
,28. Mirzapur,2000 - 2001,5,1,0.2,,,
,,2001 - 2002,4,2,0.5,,,
,29. Moradabad,2002 - 2003,2,1,0.5,,,
,,2003 - 2004,19,7,0.37,,,
,30. Pratapgarh,2002 - 2003,3,1,0.33,,,
,31. Rae bareli,2000 - 2001,3,1,0.33,,,
,,2001 - 2002,7,3,0.43,,,
,32. Shahjahanpur,2000 - 2001,2,1,0.5,,,
,33. Shravasti,2001 - 2002,11,4,0.36,,,
,34. Unnao,2000 - 2001,30,9,0.3,,,
,,2001 - 2002,12,5,0.42,,,
,35. Varanasi,2001 - 2002,28,11,0.39,,,
,,2002 - 2003,2,1,0.5,,,
,,2003 - 2004,1,0,0,,,
8. Uttarakhand,1. Champawat,2001 - 2002,4,1,0.25,,,
,2. Dehradun,2000 - 2001,6,2,0.33,,,
,,2008 - 2009,281,98,0.35,,,
,,2010 - 2011,5,2,0.4,,,
,,2011 - 2012,1,1,1,,,
,,2012 - 2013,3,1,0.33,,,
,,2013 - 2014,6,2,0.33,,,
,,2016 - 2017,1,0,0,,,
,,2017 - 2018,2,1,0.5,,,
,,2018 - 2019,1,1,1,,,
,3. Nainital,2000 - 2001,38,15,0.39,,,
,,2001 - 2002,7,3,0.43,,,
,,2003 - 2004,2,1,0.5,,,
,,2004 - 2005,4,1,0.25,,,
,,2005 - 2006,9,3,0.33,,,
,,2006 - 2007,10,3,0.3,,,
,,2007 - 2008,8,3,0.38,,,
,,2008 - 2009,62,22,0.35,,,
,,2009 - 2010,18,7,0.39,,,
,,2010 - 2011,17,7,0.41,,,
,,2011 - 2012,1,1,1,,,
,,2012 - 2013,17,7,0.41,,,
,,2013 - 2014,20,9,0.45,,,
,,2014 - 2015,37,16,0.43,,,
,,2015 - 2016,15,8,0.53,,,
,,2016 - 2017,7,3,0.43,,,
,,2017 - 2018,7,4,0.57,,,
,,2018 - 2019,18,8,0.44,,,
,,2019 - 2020,9,5,0.56,,,
,,2020 - 2021,42,24,0.57,,,
,,2021 - 2022,18,10,0.56,,,
,4. Udam singh nagar,2013 - 2014,1,,0,,,
,,2018 - 2019,1,,0,,,
9. West Bengal,1. Purulia,2013 - 2014,,,,15,13,0.87
,,2014 - 2015,16,14,0.88,,,
,,2015 - 2016,,,,16,14,0.88
,,2016 - 2017,,,,16,15,0.94
