State,District,Year,Jute,,,,,,,,
,,,Kharif,,,Rabi,,,Autumn,,
,,,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,,2014 - 2015,"6,725.00","69,594.00",10.35,,,,,,
,,2015 - 2016,"6,169.00","67,478.00",10.94,,,,,,
,,2016 - 2017,"6,315.00","58,863.00",9.32,,,,,,
,,2017 - 2018,"5,644.00","81,587.00",14.46,,,,,,
,,2018 - 2019,"5,717.00","68,977.00",12.07,,,,,,
,,2019 - 2020,"5,665.00","69,522.00",12.27,,,,,,
,,2020 - 2021,"5,502.00","64,310.00",11.69,,,,,,
,,2021 - 2022,"5,006.00","63,298.00",12.64,,,,,,
,,2022 - 2023,"4,761.00","62,096.00",13.04,,,,,,
,3. Biswanath,2020 - 2021,"1,029.00","8,429.00",8.19,,,,,,
,,2021 - 2022,947,"7,345.00",7.76,,,,,,
,,2022 - 2023,803,"9,361.00",11.66,,,,,,
,4. Bongaigaon,2000 - 2001,"4,071.00","44,144.00",10.84,,,,,,
,,2001 - 2002,"3,895.00","40,020.00",10.27,,,,,,
,,2002 - 2003,"3,610.00","39,439.00",10.92,,,,,,
,,2003 - 2004,"3,440.00","35,141.00",10.22,,,,,,
,,2004 - 2005,"3,002.00","30,708.00",10.23,,,,,,
,,2005 - 2006,"2,838.00","25,931.00",9.14,,,,,,
,,2006 - 2007,"2,156.00","22,362.00",10.37,,,,,,
,,2007 - 2008,"2,250.00","20,421.00",9.08,,,,,,
,,2008 - 2009,"2,222.00","24,436.00",11,,,,,,
,,2009 - 2010,"2,281.00","26,333.00",11.54,,,,,,
,,2010 - 2011,"2,153.00","24,657.00",11.45,,,,,,
,,2011 - 2012,"2,371.00","24,965.00",10.53,,,,,,
,,2012 - 2013,"2,278.00","24,694.00",10.84,,,,,,
,,2013 - 2014,"2,203.00","29,726.00",13.49,,,,,,
,,2014 - 2015,"2,478.00","30,228.00",12.2,,,,,,
,,2015 - 2016,"2,481.00","27,145.00",10.94,,,,,,
,,2016 - 2017,"2,495.00","27,598.00",11.06,,,,,,
,,2017 - 2018,"2,472.00","29,072.00",11.76,,,,,,
,,2018 - 2019,"2,455.00","27,617.00",11.25,,,,,,
,,2019 - 2020,"2,003.00","23,282.00",11.62,,,,,,
