State,District,Year,Gram,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2002 - 2003,"54,056.00","28,109.00",0.52,2,1,0.5,,,,,,
,,2003 - 2004,"44,584.00","49,221.00",1.1,,,,,,,,,
,,2004 - 2005,"35,568.00","28,988.00",0.82,,,,,,,,,
,,2005 - 2006,"33,462.00","55,513.00",1.66,,,,,,,,,
,,2006 - 2007,"71,786.00","32,663.00",0.46,,,,,,,,,
,,2007 - 2008,"67,000.00","87,000.00",1.3,,,,,,,,,
,,2008 - 2009,"71,451.00","67,450.00",0.94,,,,,,,,,
,,2009 - 2010,"77,338.00","38,128.00",0.49,,,,,,,,,
,,2010 - 2011,"69,518.00","76,817.00",1.1,,,,,,,,,
,,2011 - 2012,"90,366.00","74,913.00",0.83,,,,,,,,,
,,2012 - 2013,"1,12,000.00","19,000.00",0.17,,,,,,,,,
,,2013 - 2014,"97,046.00","1,31,594.00",1.36,,,,,,,,,
,,2014 - 2015,"68,169.00","43,083.00",0.63,,,,,,,,,
,,2015 - 2016,"79,214.00","89,512.00",1.13,,,,,,,,,
,,2016 - 2017,"82,032.00","33,059.00",0.4,5,2,0.4,,,,,,
,,2017 - 2018,"97,135.00","68,966.00",0.71,,,,,,,,,
,,2018 - 2019,"1,01,525.00","25,483.00",0.25,,,,,,,,,
,,2019 - 2020,"90,675.00","1,15,883.00",1.28,,,,,,,,,
,,2020 - 2021,"1,06,078.00","1,21,778.00",1.15,1,1,1,,,,,,
,,2021 - 2022,"99,821.00","1,07,407.00",1.08,,,,,,,,,
,,2022 - 2023,"70,350.00","87,797.00",1.25,,,,,,,,,
,9. Kakinada,2022 - 2023,523,"1,242.00",2.37,,,,,,,,,
,10. Krishna,2000 - 2001,4,10,2.5,,,,,,,,,
,,2001 - 2002,30,56,1.87,,,,,,,,,
,,2002 - 2003,48,63,1.31,,,,,,,,,
,,2003 - 2004,153,274,1.79,2,4,2,,,,,,
,,2004 - 2005,586,895,1.53,,,,,,,,,
,,2005 - 2006,44,84,1.91,,,,,,,,,
,,2006 - 2007,321,612,1.91,,,,,,,,,
