State,District,Year,Gram,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2013 - 2014,7,8,1.14,,,,,,,,,
,,2014 - 2015,22,21,0.95,,,,,,,,,
,,2015 - 2016,14,14,1,,,,,,,,,
,,2017 - 2018,1,1,1,,,,,,,,,
,,2018 - 2019,39,47,1.21,,,,,,,,,
,,2019 - 2020,50,37,0.74,,,,,,,,,
,,2021 - 2022,8,8,1,,,,,,,,,
,,2022 - 2023,8,9,1.13,,,,,,,,,
,33. Sheikhpura,2000 - 2001,841,887,1.05,,,,,,,,,
,,2001 - 2002,589,326,0.55,,,,,,,,,
,,2002 - 2003,766,612,0.8,,,,,,,,,
,,2003 - 2004,"2,393.00","2,692.00",1.12,,,,,,,,,
,,2004 - 2005,"1,223.00","1,115.00",0.91,,,,,,,,,
,,2005 - 2006,"1,530.00","1,510.00",0.99,,,,,,,,,
,,2006 - 2007,"3,271.00","2,404.00",0.73,,,,,,,,,
,,2007 - 2008,"1,603.00","2,106.00",1.31,,,,,,,,,
,,2008 - 2009,"1,523.00","2,230.00",1.46,,,,,,,,,
,,2009 - 2010,"1,271.00","1,979.00",1.56,,,,,,,,,
,,2010 - 2011,976,967,0.99,,,,,,,,,
,,2011 - 2012,832,"1,166.00",1.4,,,,,,,,,
,,2012 - 2013,944,"1,134.00",1.2,,,,,,,,,
,,2013 - 2014,"1,183.00","1,530.00",1.29,,,,,,,,,
,,2014 - 2015,"1,092.00","1,251.00",1.15,,,,,,,,,
,,2015 - 2016,898,"1,483.00",1.65,,,,,,,,,
,,2016 - 2017,"1,057.00",919,0.87,,,,,,,,,
,,2017 - 2018,758,904,1.19,,,,,,,,,
,,2018 - 2019,766,"1,088.00",1.42,,,,,,,,,
,,2019 - 2020,843,696,0.83,,,,,,,,,
,,2020 - 2021,866,776,0.9,,,,,,,,,
,,2021 - 2022,845,583,0.69,,,,,,,,,
,,2022 - 2023,844,583,0.69,,,,,,,,,
,34. Sheohar,2011 - 2012,125,162,1.3,,,,,,,,,
,,2012 - 2013,"3,547.00","4,973.00",1.4,,,,,,,,,
,35. Sitamarhi,2000 - 2001,9,9,1,,,,,,,,,
,,2003 - 2004,843,824,0.98,,,,,,,,,
,,2004 - 2005,6,5,0.83,,,,,,,,,
,,2005 - 2006,40,38,0.95,,,,,,,,,
,,2011 - 2012,17,22,1.29,,,,,,,,,
,36. Siwan,2000 - 2001,315,285,0.9,,,,,,,,,
,,2001 - 2002,236,390,1.65,,,,,,,,,
,,2002 - 2003,244,246,1.01,,,,,,,,,
,,2003 - 2004,230,225,0.98,,,,,,,,,
,,2004 - 2005,100,83,0.83,,,,,,,,,
,,2005 - 2006,84,79,0.94,,,,,,,,,
,,2006 - 2007,59,50,0.85,,,,,,,,,
,,2007 - 2008,171,384,2.25,,,,,,,,,
,,2008 - 2009,68,116,1.71,,,,,,,,,
,,2009 - 2010,173,235,1.36,,,,,,,,,
,,2010 - 2011,50,41,0.82,,,,,,,,,
,,2011 - 2012,55,71,1.29,,,,,,,,,
,,2012 - 2013,50,70,1.4,,,,,,,,,
,,2013 - 2014,229,263,1.15,,,,,,,,,
,,2014 - 2015,225,216,0.96,,,,,,,,,
,,2015 - 2016,225,222,0.99,,,,,,,,,
,,2016 - 2017,223,250,1.12,,,,,,,,,
,,2017 - 2018,225,260,1.16,,,,,,,,,
,,2018 - 2019,225,270,1.2,,,,,,,,,
,,2019 - 2020,225,164,0.73,,,,,,,,,
,,2020 - 2021,225,237,1.05,,,,,,,,,
,,2021 - 2022,225,237,1.05,,,,,,,,,
,,2022 - 2023,225,242,1.08,,,,,,,,,
,37. Supaul,2002 - 2003,2,2,1,,,,,,,,,
,,2003 - 2004,25,24,0.96,,,,,,,,,
,,2004 - 2005,22,18,0.82,,,,,,,,,
,,2005 - 2006,4,4,1,,,,,,,,,
,,2007 - 2008,32,32,1,,,,,,,,,
,,2008 - 2009,1,1,1,,,,,,,,,
,,2010 - 2011,3,3,1,,,,,,,,,
,38. Vaishali,2000 - 2001,121,125,1.03,,,,,,,,,
,,2001 - 2002,354,336,0.95,,,,,,,,,
,,2002 - 2003,107,108,1.01,,,,,,,,,
,,2003 - 2004,295,289,0.98,,,,,,,,,
,,2004 - 2005,"1,201.00","1,002.00",0.83,,,,,,,,,
,,2005 - 2006,756,711,0.94,,,,,,,,,
,,2007 - 2008,110,109,0.99,,,,,,,,,
,,2008 - 2009,165,153,0.93,,,,,,,,,
,,2009 - 2010,61,66,1.08,,,,,,,,,
,,2010 - 2011,61,64,1.05,,,,,,,,,
,,2011 - 2012,4,5,1.25,,,,,,,,,
,,2012 - 2013,68,95,1.4,,,,,,,,,
,,2013 - 2014,30,34,1.13,,,,,,,,,
,,2015 - 2016,1,1,1,,,,,,,,,
,,2016 - 2017,10,11,1.1,,,,,,,,,
,,2017 - 2018,1,1,1,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,
4. Chandigarh,1. Chandigarh,2000 - 2001,1,1,1,,,,,,,,,
5. Chhattisgarh,1. Balod,2011 - 2012,"7,467.00","8,088.00",1.08,,,,,,,,,
,,2012 - 2013,"7,910.00","9,623.00",1.22,,,,,,,,,
,,2013 - 2014,"7,881.00","6,427.00",0.82,,,,,,,,,
,,2014 - 2015,"8,000.00","10,603.00",1.33,,,,,,,,,
,,2015 - 2016,"7,460.00","5,194.00",0.7,,,,,,,,,
,,2016 - 2017,"6,906.00","9,163.00",1.33,,,,,,,,,
,,2017 - 2018,"16,281.00","21,615.00",1.33,,,,,,,,,
,,2018 - 2019,"9,568.00","11,331.00",1.18,,,,,,,,,
,,2019 - 2020,"8,398.00","3,261.00",0.39,,,,,,,,,
,,2020 - 2021,"4,036.00","3,311.00",0.82,,,,,,,,,
,,2021 - 2022,"11,305.00","9,240.00",0.82,,,,,,,,,
,,2022 - 2023,"8,277.00","7,917.00",0.96,,,,,,,,,
,2. Baloda bazar,2011 - 2012,"2,689.00","2,768.00",1.03,,,,,,,,,
,,2012 - 2013,"2,612.00","3,487.00",1.33,,,,,,,,,
,,2013 - 2014,"2,994.00","2,987.00",1,,,,,,,,,
,,2014 - 2015,"2,833.00","4,319.00",1.52,,,,,,,,,
,,2015 - 2016,"2,922.00","2,405.00",0.82,,,,,,,,,
,,2016 - 2017,"2,044.00","2,918.00",1.43,,,,,,,,,
,,2017 - 2018,"1,272.00","1,203.00",0.95,,,,,,,,,
,,2018 - 2019,"4,130.00","4,180.00",1.01,,,,,,,,,
,,2019 - 2020,"2,577.00","1,324.00",0.51,,,,,,,,,
,,2020 - 2021,"1,021.00",730,0.71,,,,,,,,,
,,2021 - 2022,"1,008.00",717,0.71,,,,,,,,,
,,2022 - 2023,826,697,0.84,,,,,,,,,
,3. Balrampur,2011 - 2012,979,859,0.88,,,,,,,,,
,,2012 - 2013,963,"1,044.00",1.08,,,,,,,,,
,,2013 - 2014,"1,166.00",836,0.72,,,,,,,,,
,,2014 - 2015,"1,015.00","1,124.00",1.11,,,,,,,,,
,,2015 - 2016,"1,023.00",712,0.7,,,,,,,,,
,,2016 - 2017,"1,018.00","1,077.00",1.06,,,,,,,,,
,,2017 - 2018,981,972,0.99,,,,,,,,,
,,2018 - 2019,"1,019.00",942,0.92,,,,,,,,,
,,2019 - 2020,"1,325.00",624,0.47,,,,,,,,,
,,2020 - 2021,924,663,0.72,,,,,,,,,
,,2021 - 2022,904,586,0.65,,,,,,,,,
,,2022 - 2023,230,136,0.59,,,,,,,,,
,4. Bastar,2000 - 2001,683,404,0.59,,,,,,,,,
,,2001 - 2002,680,503,0.74,,,,,,,,,
,,2002 - 2003,518,344,0.66,,,,,,,,,
,,2003 - 2004,781,703,0.9,,,,,,,,,
,,2004 - 2005,700,419,0.6,,,,,,,,,
,,2005 - 2006,821,598,0.73,,,,,,,,,
,,2006 - 2007,952,866,0.91,,,,,,,,,
,,2007 - 2008,871,788,0.9,,,,,,,,,
,,2008 - 2009,803,595,0.74,,,,,,,,,
,,2009 - 2010,863,911,1.06,,,,,,,,,
,,2010 - 2011,928,936,1.01,,,,,,,,,
,,2011 - 2012,299,271,0.91,,,,,,,,,
,,2012 - 2013,339,440,1.3,,,,,,,,,
,,2013 - 2014,298,272,0.91,,,,,,,,,
,,2014 - 2015,271,369,1.36,,,,,,,,,
,,2015 - 2016,217,192,0.88,,,,,,,,,
,,2016 - 2017,226,266,1.18,,,,,,,,,
,,2017 - 2018,263,266,1.01,,,,,,,,,
,,2018 - 2019,373,399,1.07,,,,,,,,,
,,2019 - 2020,380,180,0.47,,,,,,,,,
,,2020 - 2021,487,391,0.8,,,,,,,,,
,,2021 - 2022,290,219,0.76,,,,,,,,,
,,2022 - 2023,200,146,0.73,,,,,,,,,
,5. Bemetara,2011 - 2012,"80,201.00","86,872.00",1.08,,,,,,,,,
,,2012 - 2013,"86,689.00","1,05,445.00",1.22,,,,,,,,,
,,2013 - 2014,"1,00,680.00","84,933.00",0.84,,,,,,,,,
,,2014 - 2015,"92,710.00","1,00,363.00",1.08,,,,,,,,,
,,2015 - 2016,"90,315.00","68,349.00",0.76,,,,,,,,,
,,2016 - 2017,"81,596.00","1,04,770.00",1.28,,,,,,,,,
,,2017 - 2018,"96,223.00","1,06,456.00",1.11,,,,,,,,,
,,2018 - 2019,"1,04,235.00","1,27,562.00",1.22,,,,,,,,,
,,2019 - 2020,"1,11,645.00","12,523.00",0.11,,,,,,,,,
,,2020 - 2021,"67,936.00","59,335.00",0.87,,,,,,,,,
,,2021 - 2022,"74,383.00","56,048.00",0.75,,,,,,,,,
,,2022 - 2023,"64,964.00","60,055.00",0.92,,,,,,,,,
,6. Bijapur,2006 - 2007,2,,0,,,,,,,,,
,,2007 - 2008,1,1,1,,,,,,,,,
,,2008 - 2009,3,2,0.67,,,,,,,,,
,7. Bilaspur,2000 - 2001,"17,356.00","10,284.00",0.59,,,,,,,,,
,,2001 - 2002,"19,188.00","14,032.00",0.73,,,,,,,,,
,,2002 - 2003,"18,095.00","12,052.00",0.67,,,,,,,,,
,,2003 - 2004,"21,450.00","19,667.00",0.92,,,,,,,,,
,,2004 - 2005,"22,414.00","12,780.00",0.57,,,,,,,,,
,,2005 - 2006,"22,781.00","15,583.00",0.68,,,,,,,,,
,,2006 - 2007,"21,732.00","18,655.00",0.86,,,,,,,,,
,,2007 - 2008,"22,426.00","19,781.00",0.88,,,,,,,,,
,,2008 - 2009,"22,206.00","17,944.00",0.81,,,,,,,,,
,,2009 - 2010,"27,224.00","27,054.00",0.99,,,,,,,,,
,,2010 - 2011,"18,398.00","18,905.00",1.03,,,,,,,,,
,,2011 - 2012,"2,802.00","2,819.00",1.01,,,,,,,,,
,,2012 - 2013,"2,578.00","3,059.00",1.19,,,,,,,,,
,,2013 - 2014,"2,589.00","2,163.00",0.84,,,,,,,,,
,,2014 - 2015,"2,992.00","3,314.00",1.11,,,,,,,,,
,,2015 - 2016,"2,516.00","2,027.00",0.81,,,,,,,,,
,,2016 - 2017,"2,316.00","2,638.00",1.14,,,,,,,,,
,,2017 - 2018,"1,948.00","1,912.00",0.98,,,,,,,,,
,,2018 - 2019,"2,270.00","2,385.00",1.05,,,,,,,,,
,,2019 - 2020,"1,495.00",687,0.46,,,,,,,,,
,,2020 - 2021,908,557,0.61,,,,,,,,,
,,2021 - 2022,762,550,0.72,,,,,,,,,
,,2022 - 2023,639,500,0.78,,,,,,,,,
,8. Dantewada,2000 - 2001,17,9,0.53,,,,,,,,,
,,2001 - 2002,21,12,0.57,,,,,,,,,
,,2002 - 2003,20,10,0.5,,,,,,,,,
,,2003 - 2004,24,19,0.79,,,,,,,,,
,,2004 - 2005,11,5,0.45,,,,,,,,,
,,2005 - 2006,8,4,0.5,,,,,,,,,
,,2006 - 2007,10,9,0.9,,,,,,,,,
,,2007 - 2008,7,6,0.86,,,,,,,,,
,,2008 - 2009,7,5,0.71,,,,,,,,,
,,2009 - 2010,14,,0,,,,,,,,,
,,2010 - 2011,10,4,0.4,,,,,,,,,
,,2011 - 2012,7,5,0.71,,,,,,,,,
,,2012 - 2013,3,2,0.67,,,,,,,,,
,,2013 - 2014,4,3,0.75,,,,,,,,,
,,2014 - 2015,25,40,1.6,,,,,,,,,
,,2015 - 2016,30,16,0.53,,,,,,,,,
,,2016 - 2017,33,26,0.79,,,,,,,,,
,,2017 - 2018,25,8,0.32,,,,,,,,,
,,2018 - 2019,12,8,0.67,,,,,,,,,
,,2019 - 2020,12,4,0.33,,,,,,,,,
,,2020 - 2021,5,3,0.6,,,,,,,,,
,,2021 - 2022,5,3,0.6,,,,,,,,,
,,2022 - 2023,2,2,1,,,,,,,,,
,9. Dhamtari,2000 - 2001,"2,793.00","1,980.00",0.71,,,,,,,,,
,,2001 - 2002,"5,248.00","4,643.00",0.88,,,,,,,,,
,,2002 - 2003,"7,690.00","6,021.00",0.78,,,,,,,,,
,,2003 - 2004,"12,204.00","12,707.00",1.04,,,,,,,,,
,,2004 - 2005,"12,786.00","7,401.00",0.58,,,,,,,,,
,,2005 - 2006,"13,157.00","10,579.00",0.8,,,,,,,,,
,,2006 - 2007,"6,566.00","6,400.00",0.97,,,,,,,,,
,,2007 - 2008,"6,136.00","5,945.00",0.97,,,,,,,,,
,,2008 - 2009,"9,367.00","8,744.00",0.93,,,,,,,,,
,,2009 - 2010,"12,829.00","14,100.00",1.1,,,,,,,,,
,,2010 - 2011,"5,531.00","6,286.00",1.14,,,,,,,,,
,,2011 - 2012,"11,391.00","12,677.00",1.11,,,,,,,,,
,,2012 - 2013,"5,068.00","6,756.00",1.33,,,,,,,,,
,,2013 - 2014,"5,141.00","4,753.00",0.92,,,,,,,,,
,,2014 - 2015,"5,835.00","7,930.00",1.36,,,,,,,,,
,,2015 - 2016,"6,579.00","5,923.00",0.9,,,,,,,,,
,,2016 - 2017,"10,190.00","12,969.00",1.27,,,,,,,,,
,,2017 - 2018,"25,145.00","27,577.00",1.1,,,,,,,,,
,,2018 - 2019,"10,040.00","12,770.00",1.27,,,,,,,,,
,,2019 - 2020,"7,953.00","4,217.00",0.53,,,,,,,,,
,,2020 - 2021,"5,559.00","5,651.00",1.02,,,,,,,,,
,,2021 - 2022,"6,879.00","6,745.00",0.98,,,,,,,,,
,,2022 - 2023,"6,879.00","7,560.00",1.1,,,,,,,,,
,10. Durg,2000 - 2001,"51,861.00","29,574.00",0.57,,,,,,,,,
,,2001 - 2002,"62,688.00","50,430.00",0.8,,,,,,,,,
,,2002 - 2003,"66,754.00","45,473.00",0.68,,,,,,,,,
,,2003 - 2004,"74,034.00","80,997.00",1.09,,,,,,,,,
,,2004 - 2005,"89,615.00","45,989.00",0.51,,,,,,,,,
,,2005 - 2006,"93,241.00","76,308.00",0.82,,,,,,,,,
,,2006 - 2007,"91,698.00","86,582.00",0.94,,,,,,,,,
,,2007 - 2008,"99,197.00","1,00,976.00",1.02,,,,,,,,,
,,2008 - 2009,"87,621.00","84,598.00",0.97,,,,,,,,,
,,2009 - 2010,"1,01,459.00","98,361.00",0.97,,,,,,,,,
,,2010 - 2011,"1,01,151.00","96,159.00",0.95,,,,,,,,,
,,2011 - 2012,"14,795.00","16,026.00",1.08,,,,,,,,,
,,2012 - 2013,"17,073.00","21,459.00",1.26,,,,,,,,,
,,2013 - 2014,"17,552.00","14,643.00",0.83,,,,,,,,,
,,2014 - 2015,"17,624.00","19,381.00",1.1,,,,,,,,,
,,2015 - 2016,"15,608.00","11,483.00",0.74,,,,,,,,,
,,2016 - 2017,"13,719.00","16,467.00",1.2,,,,,,,,,
,,2017 - 2018,"15,042.00","11,412.00",0.76,,,,,,,,,
,,2018 - 2019,"17,399.00","15,410.00",0.89,,,,,,,,,
,,2019 - 2020,"24,702.00","3,188.00",0.13,,,,,,,,,
,,2020 - 2021,"15,092.00","15,430.00",1.02,,,,,,,,,
,,2021 - 2022,"15,463.00","13,278.00",0.86,,,,,,,,,
,,2022 - 2023,"15,566.00","14,747.00",0.95,,,,,,,,,
,11. Gariyaband,2011 - 2012,300,309,1.03,,,,,,,,,
,,2012 - 2013,795,899,1.13,,,,,,,,,
,,2013 - 2014,785,560,0.71,,,,,,,,,
,,2014 - 2015,516,821,1.59,,,,,,,,,
,,2015 - 2016,386,357,0.92,,,,,,,,,
,,2016 - 2017,286,373,1.3,,,,,,,,,
,,2017 - 2018,624,562,0.9,,,,,,,,,
,,2018 - 2019,591,657,1.11,,,,,,,,,
,,2019 - 2020,435,211,0.49,,,,,,,,,
,,2020 - 2021,334,256,0.77,,,,,,,,,
,,2021 - 2022,447,309,0.69,,,,,,,,,
,,2022 - 2023,193,145,0.75,,,,,,,,,
,12. Gaurella-pendra-marwahi,2019 - 2020,701,322,0.46,,,,,,,,,
,,2020 - 2021,495,401,0.81,,,,,,,,,
,,2021 - 2022,498,365,0.73,,,,,,,,,
,,2022 - 2023,384,302,0.79,,,,,,,,,
,13. Janjgir-champa,2000 - 2001,121,76,0.63,,,,,,,,,
,,2001 - 2002,129,85,0.66,,,,,,,,,
,,2002 - 2003,231,154,0.67,,,,,,,,,
,,2003 - 2004,229,213,0.93,,,,,,,,,
,,2004 - 2005,172,89,0.52,,,,,,,,,
,,2005 - 2006,299,207,0.69,,,,,,,,,
,,2006 - 2007,216,194,0.9,,,,,,,,,
,,2007 - 2008,227,199,0.88,,,,,,,,,
,,2008 - 2009,198,171,0.86,,,,,,,,,
,,2009 - 2010,183,182,0.99,,,,,,,,,
,,2010 - 2011,155,160,1.03,,,,,,,,,
,,2011 - 2012,146,147,1.01,,,,,,,,,
,,2012 - 2013,153,184,1.2,,,,,,,,,
,,2013 - 2014,231,217,0.94,,,,,,,,,
,,2014 - 2015,266,194,0.73,,,,,,,,,
,,2015 - 2016,302,287,0.95,,,,,,,,,
,,2016 - 2017,107,143,1.34,,,,,,,,,
,,2017 - 2018,146,169,1.16,,,,,,,,,
,,2018 - 2019,117,145,1.24,,,,,,,,,
,,2019 - 2020,214,115,0.54,,,,,,,,,
,,2020 - 2021,109,102,0.94,,,,,,,,,
,,2021 - 2022,93,73,0.78,,,,,,,,,
,,2022 - 2023,58,52,0.9,,,,,,,,,
,14. Jashpur,2000 - 2001,"1,306.00",856,0.66,,,,,,,,,
,,2001 - 2002,"1,306.00","1,003.00",0.77,,,,,,,,,
,,2002 - 2003,"1,392.00",888,0.64,,,,,,,,,
,,2003 - 2004,"1,322.00","1,360.00",1.03,,,,,,,,,
,,2004 - 2005,"1,269.00",732,0.58,,,,,,,,,
,,2005 - 2006,"1,261.00",921,0.73,,,,,,,,,
,,2006 - 2007,"1,205.00","1,085.00",0.9,,,,,,,,,
,,2007 - 2008,"1,209.00","1,009.00",0.83,,,,,,,,,
,,2008 - 2009,"1,174.00",961,0.82,,,,,,,,,
,,2009 - 2010,"1,171.00","1,136.00",0.97,,,,,,,,,
,,2010 - 2011,"1,134.00","1,118.00",0.99,,,,,,,,,
,,2011 - 2012,"1,149.00","1,166.00",1.01,,,,,,,,,
,,2012 - 2013,"1,117.00","1,360.00",1.22,,,,,,,,,
,,2013 - 2014,"1,141.00",964,0.84,,,,,,,,,
,,2014 - 2015,"1,116.00","1,373.00",1.23,,,,,,,,,
,,2015 - 2016,"1,104.00",666,0.6,,,,,,,,,
,,2016 - 2017,"1,115.00","1,313.00",1.18,,,,,,,,,
,,2017 - 2018,745,743,1,,,,,,,,,
,,2018 - 2019,726,762,1.05,,,,,,,,,
,,2019 - 2020,737,305,0.41,,,,,,,,,
,,2020 - 2021,688,501,0.73,,,,,,,,,
,,2021 - 2022,571,389,0.68,,,,,,,,,
,,2022 - 2023,716,529,0.74,,,,,,,,,
,15. Kabirdham,2000 - 2001,"35,825.00","12,159.00",0.34,,,,,,,,,
,,2001 - 2002,"44,406.00","28,777.00",0.65,,,,,,,,,
,,2002 - 2003,"45,424.00","27,246.00",0.6,,,,,,,,,
,,2003 - 2004,"51,549.00","43,326.00",0.84,,,,,,,,,
,,2004 - 2005,"63,180.00","30,022.00",0.48,,,,,,,,,
,,2005 - 2006,"63,436.00","34,890.00",0.55,,,,,,,,,
,,2006 - 2007,"60,564.00","40,384.00",0.67,,,,,,,,,
,,2007 - 2008,"61,193.00","40,555.00",0.66,,,,,,,,,
,,2008 - 2009,"61,679.00","39,387.00",0.64,,,,,,,,,
,,2009 - 2010,"63,608.00","43,824.00",0.69,,,,,,,,,
,,2010 - 2011,"64,206.00","58,300.00",0.91,,,,,,,,,
,,2011 - 2012,"65,884.00","58,578.00",0.89,,,,,,,,,
,,2012 - 2013,"67,283.00","66,143.00",0.98,,,,,,,,,
,,2013 - 2014,"66,909.00","41,819.00",0.63,,,,,,,,,
,,2014 - 2015,"73,853.00","78,261.00",1.06,,,,,,,,,
,,2015 - 2016,"68,200.00","55,876.00",0.82,,,,,,,,,
,,2016 - 2017,"79,247.00","74,664.00",0.94,,,,,,,,,
,,2017 - 2018,"72,571.00","56,016.00",0.77,,,,,,,,,
,,2018 - 2019,"78,537.00","59,299.00",0.76,,,,,,,,,
,,2019 - 2020,"1,04,060.00","36,936.00",0.35,,,,,,,,,
,,2020 - 2021,"98,024.00","55,045.00",0.56,,,,,,,,,
,,2021 - 2022,"92,696.00","61,030.00",0.66,,,,,,,,,
,,2022 - 2023,"81,268.00","74,789.00",0.92,,,,,,,,,
,16. Kanker,2000 - 2001,577,301,0.52,,,,,,,,,
,,2001 - 2002,717,612,0.85,,,,,,,,,
,,2002 - 2003,559,366,0.65,,,,,,,,,
,,2003 - 2004,657,620,0.94,,,,,,,,,
,,2004 - 2005,677,524,0.77,,,,,,,,,
,,2005 - 2006,644,469,0.73,,,,,,,,,
,,2006 - 2007,608,578,0.95,,,,,,,,,
,,2007 - 2008,599,566,0.94,,,,,,,,,
,,2008 - 2009,599,426,0.71,,,,,,,,,
,,2009 - 2010,599,678,1.13,,,,,,,,,
,,2010 - 2011,725,848,1.17,,,,,,,,,
,,2011 - 2012,741,719,0.97,,,,,,,,,
,,2012 - 2013,764,968,1.27,,,,,,,,,
,,2013 - 2014,897,722,0.8,,,,,,,,,
,,2014 - 2015,882,993,1.13,,,,,,,,,
,,2015 - 2016,839,733,0.87,,,,,,,,,
,,2016 - 2017,148,177,1.2,,,,,,,,,
,,2017 - 2018,732,652,0.89,,,,,,,,,
,,2018 - 2019,586,646,1.1,,,,,,,,,
,,2019 - 2020,436,199,0.46,,,,,,,,,
,,2020 - 2021,306,214,0.7,,,,,,,,,
,,2021 - 2022,273,182,0.67,,,,,,,,,
,,2022 - 2023,181,125,0.69,,,,,,,,,
,17. Khairgarh chhuikhadan gandai,2022 - 2023,"65,259.00","56,686.00",0.87,,,,,,,,,
,18. Kondagaon,2011 - 2012,490,444,0.91,,,,,,,,,
,,2012 - 2013,423,583,1.38,,,,,,,,,
,,2013 - 2014,456,374,0.82,,,,,,,,,
,,2014 - 2015,420,648,1.54,,,,,,,,,
,,2015 - 2016,384,345,0.9,,,,,,,,,
,,2016 - 2017,323,412,1.28,,,,,,,,,
,,2017 - 2018,289,301,1.04,,,,,,,,,
,,2018 - 2019,272,319,1.17,,,,,,,,,
,,2019 - 2020,211,117,0.55,,,,,,,,,
,,2020 - 2021,198,158,0.8,,,,,,,,,
,,2021 - 2022,168,122,0.73,,,,,,,,,
,,2022 - 2023,174,57,0.33,,,,,,,,,
,19. Korba,2000 - 2001,282,149,0.53,,,,,,,,,
,,2001 - 2002,373,273,0.73,,,,,,,,,
,,2002 - 2003,296,162,0.55,,,,,,,,,
,,2003 - 2004,349,271,0.78,,,,,,,,,
,,2004 - 2005,355,147,0.41,,,,,,,,,
,,2005 - 2006,363,235,0.65,,,,,,,,,
,,2006 - 2007,353,230,0.65,,,,,,,,,
,,2007 - 2008,329,234,0.71,,,,,,,,,
,,2008 - 2009,384,331,0.86,,,,,,,,,
,,2009 - 2010,360,251,0.7,,,,,,,,,
,,2010 - 2011,330,295,0.89,,,,,,,,,
,,2011 - 2012,325,285,0.88,,,,,,,,,
,,2012 - 2013,314,267,0.85,,,,,,,,,
,,2013 - 2014,313,183,0.58,,,,,,,,,
,,2014 - 2015,329,321,0.98,,,,,,,,,
,,2015 - 2016,332,167,0.5,,,,,,,,,
,,2016 - 2017,265,251,0.95,,,,,,,,,
,,2017 - 2018,242,197,0.81,,,,,,,,,
,,2018 - 2019,185,148,0.8,,,,,,,,,
,,2019 - 2020,112,39,0.35,,,,,,,,,
,,2020 - 2021,79,49,0.62,,,,,,,,,
,,2021 - 2022,51,32,0.63,,,,,,,,,
,,2022 - 2023,31,22,0.71,,,,,,,,,
,20. Korea,2000 - 2001,465,230,0.49,,,,,,,,,
,,2001 - 2002,535,367,0.69,,,,,,,,,
,,2002 - 2003,413,209,0.51,,,,,,,,,
,,2003 - 2004,499,391,0.78,,,,,,,,,
,,2004 - 2005,463,201,0.43,,,,,,,,,
,,2005 - 2006,459,238,0.52,,,,,,,,,
,,2006 - 2007,430,282,0.66,,,,,,,,,
,,2007 - 2008,395,227,0.57,,,,,,,,,
,,2008 - 2009,409,306,0.75,,,,,,,,,
,,2009 - 2010,484,302,0.62,,,,,,,,,
,,2010 - 2011,397,333,0.84,,,,,,,,,
,,2011 - 2012,430,311,0.72,,,,,,,,,
,,2012 - 2013,480,410,0.85,,,,,,,,,
,,2013 - 2014,538,335,0.62,,,,,,,,,
,,2014 - 2015,542,539,0.99,,,,,,,,,
,,2015 - 2016,415,189,0.46,,,,,,,,,
,,2016 - 2017,477,361,0.76,,,,,,,,,
,,2017 - 2018,402,267,0.66,,,,,,,,,
,,2018 - 2019,376,238,0.63,,,,,,,,,
,,2019 - 2020,489,184,0.38,,,,,,,,,
,,2020 - 2021,415,220,0.53,,,,,,,,,
,,2021 - 2022,427,198,0.46,,,,,,,,,
,,2022 - 2023,201,110,0.55,,,,,,,,,
,21. Mahasamund,2000 - 2001,218,167,0.77,,,,,,,,,
,,2001 - 2002,341,279,0.82,,,,,,,,,
,,2002 - 2003,287,150,0.52,,,,,,,,,
,,2003 - 2004,493,428,0.87,,,,,,,,,
,,2004 - 2005,490,249,0.51,,,,,,,,,
,,2005 - 2006,318,213,0.67,,,,,,,,,
,,2006 - 2007,296,259,0.88,,,,,,,,,
,,2007 - 2008,254,225,0.89,,,,,,,,,
,,2008 - 2009,185,144,0.78,,,,,,,,,
,,2009 - 2010,208,213,1.02,,,,,,,,,
,,2010 - 2011,154,163,1.06,,,,,,,,,
,,2011 - 2012,113,115,1.02,,,,,,,,,
,,2012 - 2013,214,284,1.33,,,,,,,,,
,,2013 - 2014,209,191,0.91,,,,,,,,,
,,2014 - 2015,262,194,0.74,,,,,,,,,
,,2015 - 2016,219,183,0.84,,,,,,,,,
,,2016 - 2017,106,125,1.18,,,,,,,,,
,,2017 - 2018,151,154,1.02,,,,,,,,,
,,2018 - 2019,115,125,1.09,,,,,,,,,
,,2019 - 2020,109,43,0.39,,,,,,,,,
,,2020 - 2021,28,21,0.75,,,,,,,,,
,,2021 - 2022,24,16,0.67,,,,,,,,,
,,2022 - 2023,32,24,0.75,,,,,,,,,
,22. Manendragarh chirimiri bharatpur,2022 - 2023,189,104,0.55,,,,,,,,,
,23. Mohla manpur ambagarh chouki,2022 - 2023,676,587,0.87,,,,,,,,,
,24. Mungeli,2011 - 2012,"15,833.00","15,932.00",1.01,,,,,,,,,
