State,District,Year,Coconut,,,,,
,,,Whole Year,,,Kharif,,
,,,Area (Hectare),Production (Nuts),Yield (Nuts/Hectare),Area (Hectare),Production (Nuts),Yield (Nuts/Hectare)
,,2006 - 2007,534,"37,15,000.00","6,956.93",,,
,,2007 - 2008,544,"35,66,000.00","6,555.15",,,
,,2008 - 2009,554,"38,74,000.00","6,992.78",,,
,,2009 - 2010,554,"37,15,000.00","6,705.78",,,
,,2010 - 2011,578,"46,74,000.00","8,086.51",,,
,,2011 - 2012,615,"50,02,000.00","8,133.33",,,
,,2012 - 2013,618,"43,94,000.00","7,110.03",,,
,,2013 - 2014,630,"64,10,000.00","10,174.60",,,
,,2014 - 2015,610,"42,53,000.00","6,972.13",,,
,,2015 - 2016,635,"35,48,000.00","5,587.40",,,
,,2016 - 2017,637,"41,15,000.00","6,459.97",,,
,,2017 - 2018,637,"53,01,000.00","8,321.82",,,
,,2018 - 2019,635,"52,49,000.00","8,266.14",,,
,,2019 - 2020,660,"48,84,000.00","7,400.00",,,
,,2020 - 2021,657,"52,38,000.00","7,972.60",,,
,,2021 - 2022,657,"52,38,000.00","7,972.60",,,
,,2022 - 2023,623,"48,21,000.00","7,738.36",,,
,5. Cachar,2000 - 2001,"1,430.00","29,48,000.00","2,061.54",,,
,,2001 - 2002,"1,431.00","25,53,000.00","1,784.07",,,
,,2002 - 2003,"1,450.00","17,85,000.00","1,231.03",,,
,,2003 - 2004,"1,400.00","21,68,000.00","1,548.57",,,
,,2005 - 2006,"1,325.00","22,72,000.00","1,714.72",,,
,,2006 - 2007,"1,404.00","28,47,000.00","2,027.78",,,
,,2007 - 2008,999,"9,80,000.00",980.98,,,
,,2008 - 2009,"1,049.00","31,55,000.00","3,007.63",,,
,,2009 - 2010,"1,054.00","97,11,000.00","9,213.47",,,
,,2010 - 2011,"1,004.00","30,45,000.00","3,032.87",,,
,,2011 - 2012,"1,005.00","27,46,000.00","2,732.34",,,
,,2012 - 2013,"1,058.00","22,02,000.00","2,081.29",,,
,,2013 - 2014,"1,123.00","12,30,000.00","1,095.28",,,
,,2014 - 2015,"1,072.00","32,52,000.00","3,033.58",,,
,,2015 - 2016,"1,042.00","11,83,000.00","1,135.32",,,
,,2016 - 2017,990,"27,62,000.00","2,789.90",,,
,,2017 - 2018,990,"33,66,000.00","3,400.00",,,
,,2018 - 2019,991,"18,43,000.00","1,859.74",,,
,,2019 - 2020,991,"15,50,000.00","1,564.08",,,
,,2020 - 2021,"1,018.00","12,62,000.00","1,239.69",,,
,,2021 - 2022,"1,018.00","12,62,000.00","1,239.69",,,
,,2022 - 2023,965,"15,29,000.00","1,584.46",,,
,6. Charaideo,2019 - 2020,500,"26,36,000.00","5,272.00",,,
,,2020 - 2021,480,"12,67,000.00","2,639.58",,,
,,2021 - 2022,480,"12,67,000.00","2,639.58",,,
,,2022 - 2023,184,"2,13,000.00","1,157.61",,,
,7. Chirang,2006 - 2007,303,"23,13,000.00","7,633.66",,,
,,2007 - 2008,341,"26,48,000.00","7,765.40",,,
,,2008 - 2009,359,"33,67,000.00","9,378.83",,,
,,2009 - 2010,323,"29,64,000.00","9,176.47",,,
,,2010 - 2011,328,"26,70,000.00","8,140.24",,,
,,2011 - 2012,451,"37,48,000.00","8,310.42",,,
,,2012 - 2013,478,"29,49,000.00","6,169.46",,,
,,2013 - 2014,583,"40,48,000.00","6,943.40",,,
,,2014 - 2015,624,"42,25,000.00","6,770.83",,,
,,2015 - 2016,517,"38,58,000.00","7,462.28",,,
,,2016 - 2017,549,"39,02,000.00","7,107.47",,,
,,2017 - 2018,549,"88,17,000.00","16,060.11",,,
,,2018 - 2019,545,"13,81,000.00","2,533.94",,,
,,2019 - 2020,545,"10,37,000.00","1,902.75",,,
,,2020 - 2021,525,"25,20,000.00","4,800.00",,,
,,2021 - 2022,525,"25,20,000.00","4,800.00",,,
,,2022 - 2023,420,"18,09,000.00","4,307.14",,,
,8. Darrang,2000 - 2001,981,"51,92,000.00","5,292.56",,,
,,2001 - 2002,"1,050.00","86,39,000.00","8,227.62",,,
,,2002 - 2003,"1,048.00","28,32,000.00","2,702.29",,,
,,2003 - 2004,"1,070.00","77,11,000.00","7,206.54",,,
,,2005 - 2006,"1,082.00","87,78,000.00","8,112.75",,,
,,2006 - 2007,178,"4,20,000.00","2,359.55",,,
,,2007 - 2008,274,"20,86,000.00","7,613.14",,,
,,2008 - 2009,410,"22,99,000.00","5,607.32",,,
,,2009 - 2010,605,"43,04,000.00","7,114.05",,,
,,2010 - 2011,589,"34,24,000.00","5,813.24",,,
,,2011 - 2012,599,"43,89,000.00","7,327.21",,,
,,2012 - 2013,606,"50,60,000.00","8,349.83",,,
,,2013 - 2014,610,"44,03,000.00","7,218.03",,,
,,2014 - 2015,583,"39,07,000.00","6,701.54",,,
,,2015 - 2016,594,"41,11,000.00","6,920.88",,,
,,2016 - 2017,598,"33,15,000.00","5,543.48",,,
,,2017 - 2018,598,"25,94,000.00","4,337.79",,,
,,2018 - 2019,607,"32,49,000.00","5,352.55",,,
,,2019 - 2020,616,"30,15,000.00","4,894.48",,,
,,2020 - 2021,615,"19,42,000.00","3,157.72",,,
,,2021 - 2022,615,"19,42,000.00","3,157.72",,,
,,2022 - 2023,613,"20,92,000.00","3,412.72",,,
,9. Dhemaji,2000 - 2001,114,"6,88,000.00","6,035.09",,,
,,2001 - 2002,116,"5,23,000.00","4,508.62",,,
,,2002 - 2003,118,"5,88,000.00","4,983.05",,,
,,2003 - 2004,118,"5,17,000.00","4,381.36",,,
,,2005 - 2006,98,"3,48,000.00","3,551.02",,,
,,2006 - 2007,114,"2,42,000.00","2,122.81",,,
,,2007 - 2008,117,"2,47,000.00","2,111.11",,,
,,2008 - 2009,109,"3,66,000.00","3,357.80",,,
,,2009 - 2010,112,"12,04,000.00","10,750.00",,,
,,2010 - 2011,133,"3,25,000.00","2,443.61",,,
,,2011 - 2012,103,"5,31,000.00","5,155.34",,,
,,2012 - 2013,102,"4,44,000.00","4,352.94",,,
,,2013 - 2014,104,"1,44,000.00","1,384.62",,,
,,2014 - 2015,94,"1,25,000.00","1,329.79",,,
,,2015 - 2016,96,"1,37,000.00","1,427.08",,,
,,2016 - 2017,94,"3,75,000.00","3,989.36",,,
,,2017 - 2018,94,"3,96,000.00","4,212.77",,,
,,2018 - 2019,100,"1,58,000.00","1,580.00",,,
,,2019 - 2020,101,"3,73,000.00","3,693.07",,,
,,2020 - 2021,97,"3,69,000.00","3,804.12",,,
,,2021 - 2022,97,"3,69,000.00","3,804.12",,,
,,2022 - 2023,150,"7,55,000.00","5,033.33",,,
,10. Dhubri,2000 - 2001,601,"24,53,000.00","4,081.53",,,
,,2001 - 2002,635,"9,86,000.00","1,552.76",,,
,,2002 - 2003,538,"20,96,000.00","3,895.91",,,
,,2003 - 2004,590,"28,26,000.00","4,789.83",,,
,,2005 - 2006,650,"59,57,000.00","9,164.62",,,
,,2006 - 2007,415,"33,16,000.00","7,990.36",,,
,,2007 - 2008,372,"44,70,000.00","12,016.13",,,
,,2008 - 2009,287,"31,35,000.00","10,923.34",,,
,,2009 - 2010,330,"49,19,000.00","14,906.06",,,
,,2010 - 2011,355,"42,67,000.00","12,019.72",,,
,,2011 - 2012,368,"56,34,000.00","15,309.78",,,
,,2012 - 2013,364,"30,92,000.00","8,494.51",,,
,,2013 - 2014,364,"38,27,000.00","10,513.74",,,
,,2014 - 2015,366,"54,66,000.00","14,934.43",,,
,,2015 - 2016,364,"43,57,000.00","11,969.78",,,
,,2016 - 2017,364,"54,96,000.00","15,098.90",,,
,,2017 - 2018,364,"63,41,000.00","17,420.33",,,
,,2018 - 2019,355,"60,06,000.00","16,918.31",,,
,,2019 - 2020,347,"43,60,000.00","12,564.84",,,
,,2020 - 2021,246,"36,99,000.00","15,036.59",,,
,,2021 - 2022,246,"36,99,000.00","15,036.59",,,
,,2022 - 2023,242,"29,09,000.00","12,020.66",,,
,11. Dibrugarh,2000 - 2001,170,"5,61,000.00","3,300.00",,,
,,2001 - 2002,170,"8,86,000.00","5,211.76",,,
,,2002 - 2003,172,"8,21,000.00","4,773.26",,,
,,2003 - 2004,180,"5,71,000.00","3,172.22",,,
,,2005 - 2006,48,"78,000.00","1,625.00",,,
,,2006 - 2007,37,"1,48,000.00","4,000.00",,,
,,2007 - 2008,37,"79,000.00","2,135.14",,,
,,2008 - 2009,30,"50,000.00","1,666.67",,,
,,2009 - 2010,51,"1,11,000.00","2,176.47",,,
,,2010 - 2011,51,"3,68,000.00","7,215.69",,,
,,2011 - 2012,65,"38,000.00",584.62,,,
,,2012 - 2013,80,"2,55,000.00","3,187.50",,,
,,2013 - 2014,85,"3,30,000.00","3,882.35",,,
,,2014 - 2015,77,"1,36,000.00","1,766.23",,,
,,2015 - 2016,77,"1,84,000.00","2,389.61",,,
,,2016 - 2017,77,"1,24,000.00","1,610.39",,,
,,2017 - 2018,83,"8,70,000.00","10,481.93",,,
,,2018 - 2019,81,"4,29,000.00","5,296.30",,,
,,2019 - 2020,81,"4,78,000.00","5,901.23",,,
,,2020 - 2021,89,"3,61,000.00","4,056.18",,,
,,2021 - 2022,89,"3,61,000.00","4,056.18",,,
,,2022 - 2023,83,"3,36,000.00","4,048.19",,,
,12. Dima hasao,2000 - 2001,44,"2,87,000.00","6,522.73",,,
,,2001 - 2002,40,"3,09,000.00","7,725.00",,,
,,2002 - 2003,43,"3,27,000.00","7,604.65",,,
,,2003 - 2004,46,"3,34,000.00","7,260.87",,,
,,2005 - 2006,45,"4,83,000.00","10,733.33",,,
,,2006 - 2007,68,"68,000.00","1,000.00",,,
,,2007 - 2008,63,"1,12,000.00","1,777.78",,,
,,2008 - 2009,106,"3,89,000.00","3,669.81",,,
,,2009 - 2010,91,"1,99,000.00","2,186.81",,,
,,2010 - 2011,81,"62,000.00",765.43,,,
,,2011 - 2012,93,"1,14,000.00","1,225.81",,,
,,2012 - 2013,93,"46,000.00",494.62,,,
,,2013 - 2014,164,"5,99,000.00","3,652.44",,,
,,2014 - 2015,164,"67,000.00",408.54,,,
,,2015 - 2016,164,"1,01,000.00",615.85,,,
,,2016 - 2017,164,"3,48,000.00","2,121.95",,,
,,2017 - 2018,164,"3,43,000.00","2,091.46",,,
,,2018 - 2019,168,"4,11,000.00","2,446.43",,,
,,2019 - 2020,168,"2,24,000.00","1,333.33",,,
,,2020 - 2021,141,"6,39,000.00","4,531.91",,,
,,2021 - 2022,141,"6,39,000.00","4,531.91",,,
,,2022 - 2023,69,"1,81,000.00","2,623.19",,,
,13. Goalpara,2000 - 2001,590,"46,27,000.00","7,842.37",,,
,,2001 - 2002,601,"79,55,000.00","13,236.27",,,
,,2002 - 2003,608,"63,78,000.00","10,490.13",,,
,,2003 - 2004,610,"56,85,000.00","9,319.67",,,
,,2005 - 2006,625,"57,42,000.00","9,187.20",,,
,,2006 - 2007,325,"28,59,000.00","8,796.92",,,
,,2007 - 2008,355,"43,03,000.00","12,121.13",,,
,,2008 - 2009,330,"31,77,000.00","9,627.27",,,
,,2009 - 2010,350,"31,66,000.00","9,045.71",,,
,,2010 - 2011,360,"30,41,000.00","8,447.22",,,
,,2011 - 2012,400,"31,47,000.00","7,867.50",,,
,,2012 - 2013,430,"22,94,000.00","5,334.88",,,
,,2013 - 2014,575,"47,58,000.00","8,274.78",,,
,,2014 - 2015,736,"53,12,000.00","7,217.39",,,
,,2015 - 2016,760,"9,26,000.00","1,218.42",,,
,,2016 - 2017,754,"39,22,000.00","5,201.59",,,
,,2017 - 2018,754,"1,42,07,000.00","18,842.18",,,
,,2018 - 2019,770,"77,00,000.00","10,000.00",,,
,,2019 - 2020,770,"13,07,000.00","1,697.40",,,
,,2020 - 2021,797,"9,09,000.00","1,140.53",,,
,,2021 - 2022,797,"9,09,000.00","1,140.53",,,
,,2022 - 2023,802,"19,30,000.00","2,406.48",,,
,14. Golaghat,2000 - 2001,561,"51,85,000.00","9,242.42",,,
,,2001 - 2002,560,"51,09,000.00","9,123.21",,,
,,2002 - 2003,566,"81,69,000.00","14,432.86",,,
,,2003 - 2004,651,"1,10,06,000.00","16,906.30",,,
,,2005 - 2006,658,"1,60,62,000.00","24,410.33",,,
,,2006 - 2007,612,"1,35,55,000.00","22,148.69",,,
,,2007 - 2008,639,"1,40,29,000.00","21,954.62",,,
,,2008 - 2009,"1,057.00","2,22,84,000.00","21,082.31",,,
,,2009 - 2010,"1,065.00","1,65,98,000.00","15,584.98",,,
,,2010 - 2011,"1,023.00","1,17,15,000.00","11,451.61",,,
,,2011 - 2012,"1,030.00","1,77,37,000.00","17,220.39",,,
,,2012 - 2013,"1,040.00","1,90,75,000.00","18,341.35",,,
,,2013 - 2014,"1,053.00","1,18,78,000.00","11,280.15",,,
,,2014 - 2015,"1,047.00","53,93,000.00","5,150.91",,,
,,2015 - 2016,"1,047.00","1,60,20,000.00","15,300.86",,,
,,2016 - 2017,"1,047.00","1,59,40,000.00","15,224.45",,,
,,2017 - 2018,"1,047.00","1,37,64,000.00","13,146.13",,,
,,2018 - 2019,"1,044.00","1,37,64,000.00","13,183.91",,,
,,2019 - 2020,"1,044.00","84,05,000.00","8,050.77",,,
,,2020 - 2021,977,"1,18,37,000.00","12,115.66",,,
,,2021 - 2022,977,"1,18,37,000.00","12,115.66",,,
,,2022 - 2023,238,"17,78,000.00","7,470.59",,,
,15. Hailakandi,2000 - 2001,175,"1,14,000.00",651.43,,,
,,2001 - 2002,178,"7,40,000.00","4,157.30",,,
,,2002 - 2003,190,"4,19,000.00","2,205.26",,,
,,2003 - 2004,200,"4,87,000.00","2,435.00",,,
,,2005 - 2006,220,"7,68,000.00","3,490.91",,,
,,2006 - 2007,265,"6,41,000.00","2,418.87",,,
,,2007 - 2008,280,"12,88,000.00","4,600.00",,,
,,2008 - 2009,282,"8,99,000.00","3,187.94",,,
,,2009 - 2010,280,"15,36,000.00","5,485.71",,,
,,2010 - 2011,290,"14,88,000.00","5,131.03",,,
,,2011 - 2012,315,"6,89,000.00","2,187.30",,,
,,2012 - 2013,325,"17,62,000.00","5,421.54",,,
,,2013 - 2014,269,"6,31,000.00","2,345.72",,,
,,2014 - 2015,276,"11,35,000.00","4,112.32",,,
,,2015 - 2016,280,"21,07,000.00","7,525.00",,,
,,2016 - 2017,285,"16,22,000.00","5,691.23",,,
,,2017 - 2018,285,"16,15,000.00","5,666.67",,,
,,2018 - 2019,290,"6,28,000.00","2,165.52",,,
,,2019 - 2020,292,"13,38,000.00","4,582.19",,,
,,2020 - 2021,296,"18,24,000.00","6,162.16",,,
,,2021 - 2022,296,"18,24,000.00","6,162.16",,,
,,2022 - 2023,296,"18,10,000.00","6,114.86",,,
,16. Hojai,2019 - 2020,495,"36,58,000.00","7,389.90",,,
,,2020 - 2021,497,"12,72,000.00","2,559.36",,,
,,2021 - 2022,497,"12,72,000.00","2,559.36",,,
,,2022 - 2023,497,"12,72,000.00","2,559.36",,,
,17. Jorhat,2000 - 2001,608,"70,87,000.00","11,656.25",,,
,,2001 - 2002,548,"60,34,000.00","11,010.95",,,
,,2002 - 2003,600,"58,94,000.00","9,823.33",,,
,,2003 - 2004,606,"34,14,000.00","5,633.66",,,
,,2005 - 2006,607,"26,62,000.00","4,385.50",,,
,,2006 - 2007,569,"22,57,000.00","3,966.61",,,
,,2007 - 2008,345,"31,22,000.00","9,049.28",,,
,,2008 - 2009,345,"14,25,000.00","4,130.43",,,
,,2009 - 2010,317,"30,89,000.00","9,744.48",,,
,,2010 - 2011,357,"37,71,000.00","10,563.03",,,
,,2011 - 2012,407,"65,25,000.00","16,031.94",,,
,,2012 - 2013,404,"42,78,000.00","10,589.11",,,
,,2013 - 2014,474,"30,74,000.00","6,485.23",,,
,,2014 - 2015,453,"66,67,000.00","14,717.44",,,
,,2015 - 2016,456,"58,17,000.00","12,756.58",,,
,,2016 - 2017,453,"1,15,20,000.00","25,430.46",,,
,,2017 - 2018,453,"82,96,000.00","18,313.47",,,
,,2018 - 2019,463,"82,74,000.00","17,870.41",,,
,,2019 - 2020,326,"45,20,000.00","13,865.03",,,
,,2020 - 2021,327,"24,18,000.00","7,394.50",,,
,,2021 - 2022,327,"24,18,000.00","7,394.50",,,
,,2022 - 2023,329,"25,67,000.00","7,802.43",,,
,18. Kamrup,2000 - 2001,"2,072.00","1,55,04,000.00","7,482.63",,,
,,2001 - 2002,"2,091.00","2,31,23,000.00","11,058.35",,,
,,2002 - 2003,"2,101.00","2,25,59,000.00","10,737.27",,,
,,2003 - 2004,"2,343.00","1,90,29,000.00","8,121.64",,,
,,2005 - 2006,"2,026.00","5,74,05,000.00","28,334.16",,,
,,2006 - 2007,"1,479.00","1,37,71,000.00","9,311.02",,,
,,2007 - 2008,"1,466.00","1,39,51,000.00","9,516.37",,,
,,2008 - 2009,"1,534.00","2,27,86,000.00","14,853.98",,,
,,2009 - 2010,"1,548.00","72,73,000.00","4,698.32",,,
,,2010 - 2011,"1,517.00","1,49,47,000.00","9,853.00",,,
,,2011 - 2012,"1,430.00","84,96,000.00","5,941.26",,,
,,2012 - 2013,"1,435.00","74,25,000.00","5,174.22",,,
,,2013 - 2014,"1,253.00","1,25,47,000.00","10,013.57",,,
,,2014 - 2015,"1,228.00","1,07,07,000.00","8,719.06",,,
,,2015 - 2016,"1,233.00","1,12,81,000.00","9,149.23",,,
,,2016 - 2017,"1,240.00","1,31,73,000.00","10,623.39",,,
,,2017 - 2018,"1,240.00","1,77,69,000.00","14,329.84",,,
,,2018 - 2019,"1,227.00","1,12,31,000.00","9,153.22",,,
,,2019 - 2020,"1,197.00","1,55,66,000.00","13,004.18",,,
,,2020 - 2021,"1,421.00","1,58,21,000.00","11,133.71",,,
,,2021 - 2022,"1,421.00","1,58,21,000.00","11,133.71",,,
,,2022 - 2023,"1,623.00","2,46,06,000.00","15,160.81",,,
,19. Kamrup metro,2006 - 2007,196,"18,00,000.00","9,183.67",,,
,,2007 - 2008,198,"18,82,000.00","9,505.05",,,
,,2008 - 2009,201,"29,75,000.00","14,801.00",,,
,,2009 - 2010,251,"11,66,000.00","4,645.42",,,
,,2010 - 2011,216,"21,35,000.00","9,884.26",,,
,,2011 - 2012,208,"13,14,000.00","6,317.31",,,
,,2012 - 2013,210,"16,30,000.00","7,761.90",,,
,,2013 - 2014,210,"17,27,000.00","8,223.81",,,
,,2014 - 2015,216,"16,72,000.00","7,740.74",,,
,,2015 - 2016,200,"14,92,000.00","7,460.00",,,
,,2016 - 2017,190,"39,60,000.00","20,842.11",,,
,,2017 - 2018,190,"17,23,000.00","9,068.42",,,
,,2018 - 2019,177,"23,62,000.00","13,344.63",,,
,,2019 - 2020,176,"25,24,000.00","14,340.91",,,
,,2020 - 2021,247,"29,24,000.00","11,838.06",,,
,,2021 - 2022,247,"29,24,000.00","11,838.06",,,
,,2022 - 2023,211,"25,00,000.00","11,848.34",,,
,20. Karbi anglong,2000 - 2001,391,"14,40,000.00","3,682.86",,,
,,2001 - 2002,396,"30,38,000.00","7,671.72",,,
,,2002 - 2003,402,"19,21,000.00","4,778.61",,,
,,2003 - 2004,408,"15,95,000.00","3,909.31",,,
,,2005 - 2006,416,"38,30,000.00","9,206.73",,,
,,2006 - 2007,394,"20,57,000.00","5,220.81",,,
,,2007 - 2008,385,"27,13,000.00","7,046.75",,,
,,2008 - 2009,435,"13,66,000.00","3,140.23",,,
,,2009 - 2010,451,"28,50,000.00","6,319.29",,,
,,2010 - 2011,423,"9,15,000.00","2,163.12",,,
,,2011 - 2012,474,"24,72,000.00","5,215.19",,,
,,2012 - 2013,466,"26,53,000.00","5,693.13",,,
,,2013 - 2014,499,"6,76,000.00","1,354.71",,,
,,2014 - 2015,512,"29,74,000.00","5,808.59",,,
,,2015 - 2016,520,"38,80,000.00","7,461.54",,,
,,2016 - 2017,516,"25,62,000.00","4,965.12",,,
,,2017 - 2018,516,"16,17,000.00","3,133.72",,,
,,2018 - 2019,574,"17,37,000.00","3,026.13",,,
,,2019 - 2020,504,"20,44,000.00","4,055.56",,,
,,2020 - 2021,503,"16,90,000.00","3,359.84",,,
,,2021 - 2022,503,"16,90,000.00","3,359.84",,,
,,2022 - 2023,495,"16,63,000.00","3,359.60",,,
,21. Karimganj,2000 - 2001,470,"12,62,000.00","2,685.11",,,
,,2001 - 2002,472,"14,89,000.00","3,154.66",,,
,,2002 - 2003,474,"26,82,000.00","5,658.23",,,
,,2003 - 2004,480,"10,32,000.00","2,150.00",,,
,,2005 - 2006,480,"14,21,000.00","2,960.42",,,
,,2006 - 2007,680,"15,19,000.00","2,233.82",,,
,,2007 - 2008,699,"7,66,000.00","1,095.85",,,
,,2008 - 2009,325,"12,76,000.00","3,926.15",,,
,,2009 - 2010,687,"98,16,000.00","14,288.21",,,
,,2010 - 2011,709,"25,28,000.00","3,565.59",,,
,,2011 - 2012,711,"14,69,000.00","2,066.10",,,
,,2012 - 2013,717,"21,85,000.00","3,047.42",,,
,,2013 - 2014,723,"24,29,000.00","3,359.61",,,
,,2014 - 2015,729,"30,59,000.00","4,196.16",,,
,,2015 - 2016,730,"35,58,000.00","4,873.97",,,
,,2016 - 2017,730,"24,88,000.00","3,408.22",,,
,,2017 - 2018,730,"22,34,000.00","3,060.27",,,
,,2018 - 2019,735,"54,00,000.00","7,346.94",,,
,,2019 - 2020,735,"37,99,000.00","5,168.71",,,
,,2020 - 2021,735,"34,69,000.00","4,719.73",,,
,,2021 - 2022,735,"34,69,000.00","4,719.73",,,
,,2022 - 2023,715,"32,03,000.00","4,479.72",,,
,22. Kokrajhar,2000 - 2001,315,"17,32,000.00","5,498.41",,,
,,2001 - 2002,325,"17,22,000.00","5,298.46",,,
,,2002 - 2003,330,"16,72,000.00","5,066.67",,,
,,2003 - 2004,335,"19,76,000.00","5,898.51",,,
,,2005 - 2006,344,"24,36,000.00","7,081.40",,,
,,2006 - 2007,401,"26,53,000.00","6,615.96",,,
,,2007 - 2008,380,"34,53,000.00","9,086.84",,,
,,2008 - 2009,383,"24,68,000.00","6,443.86",,,
,,2009 - 2010,380,"41,04,000.00","10,800.00",,,
,,2010 - 2011,385,"23,84,000.00","6,192.21",,,
,,2011 - 2012,400,"31,18,000.00","7,795.00",,,
,,2012 - 2013,385,"16,66,000.00","4,327.27",,,
,,2013 - 2014,414,"25,24,000.00","6,096.62",,,
,,2014 - 2015,427,"40,99,000.00","9,599.53",,,
,,2015 - 2016,397,"38,57,000.00","9,715.37",,,
,,2016 - 2017,416,"35,55,000.00","8,545.67",,,
,,2017 - 2018,416,"22,22,000.00","5,341.35",,,
,,2018 - 2019,425,"30,30,000.00","7,129.41",,,
,,2019 - 2020,425,"20,30,000.00","4,776.47",,,
,,2020 - 2021,422,"24,40,000.00","5,781.99",,,
,,2021 - 2022,422,"24,40,000.00","5,781.99",,,
,,2022 - 2023,338,"13,72,000.00","4,059.17",,,
,23. Lakhimpur,2000 - 2001,187,"16,63,000.00","8,893.05",,,
,,2001 - 2002,192,"50,44,000.00","26,270.83",,,
,,2002 - 2003,200,"18,00,000.00","9,000.00",,,
,,2003 - 2004,229,"26,97,000.00","11,777.29",,,
,,2005 - 2006,229,"20,62,000.00","9,004.37",,,
,,2006 - 2007,312,"22,28,000.00","7,141.03",,,
,,2007 - 2008,293,"14,95,000.00","5,102.39",,,
,,2008 - 2009,288,"30,06,000.00","10,437.50",,,
,,2009 - 2010,298,"24,40,000.00","8,187.92",,,
,,2010 - 2011,290,"23,14,000.00","7,979.31",,,
,,2011 - 2012,278,"24,17,000.00","8,694.24",,,
,,2012 - 2013,292,"16,41,000.00","5,619.86",,,
,,2013 - 2014,292,"9,95,000.00","3,407.53",,,
,,2014 - 2015,290,"18,04,000.00","6,220.69",,,
,,2015 - 2016,287,"19,58,000.00","6,822.30",,,
,,2016 - 2017,289,"13,62,000.00","4,712.80",,,
,,2017 - 2018,289,"16,53,000.00","5,719.72",,,
,,2018 - 2019,283,"15,61,000.00","5,515.90",,,
,,2019 - 2020,289,"14,70,000.00","5,086.51",,,
,,2020 - 2021,265,"13,89,000.00","5,241.51",,,
,,2021 - 2022,265,"13,89,000.00","5,241.51",,,
,,2022 - 2023,218,"10,50,000.00","4,816.51",,,
,24. Majuli,2019 - 2020,135,"14,23,000.00","10,540.74",,,
,,2020 - 2021,100,"13,60,000.00","13,600.00",,,
,,2021 - 2022,100,"13,60,000.00","13,600.00",,,
,,2022 - 2023,100,"14,57,000.00","14,570.00",,,
,25. Marigaon,2000 - 2001,"1,300.00","73,07,000.00","5,620.77",,,
,,2001 - 2002,"1,310.00","75,14,000.00","5,735.88",,,
,,2002 - 2003,"1,310.00","91,99,000.00","7,022.14",,,
,,2003 - 2004,"1,300.00","90,85,000.00","6,988.46",,,
,,2005 - 2006,"1,310.00","81,32,000.00","6,207.63",,,
,,2006 - 2007,"1,225.00","94,37,000.00","7,703.67",,,
,,2007 - 2008,"1,005.00","67,10,000.00","6,676.62",,,
,,2008 - 2009,"1,428.00","1,02,39,000.00","7,170.17",,,
,,2009 - 2010,"1,400.00","79,88,000.00","5,705.71",,,
,,2010 - 2011,790,"53,08,000.00","6,718.99",,,
,,2011 - 2012,810,"76,09,000.00","9,393.83",,,
,,2012 - 2013,935,"92,30,000.00","9,871.66",,,
,,2013 - 2014,750,"51,30,000.00","6,840.00",,,
,,2014 - 2015,750,"56,73,000.00","7,564.00",,,
,,2015 - 2016,706,"50,21,000.00","7,111.90",,,
,,2016 - 2017,706,"39,31,000.00","5,567.99",,,
,,2017 - 2018,706,"51,21,000.00","7,253.54",,,
,,2018 - 2019,781,"53,11,000.00","6,800.26",,,
,,2019 - 2020,781,"50,62,000.00","6,481.43",,,
,,2020 - 2021,702,"69,08,000.00","9,840.46",,,
,,2021 - 2022,702,"69,08,000.00","9,840.46",,,
,,2022 - 2023,653,"64,43,000.00","9,866.77",,,
,26. Nagaon,2000 - 2001,"5,036.00","3,97,71,000.00","7,897.34",,,
,,2001 - 2002,"5,036.00","4,17,86,000.00","8,297.46",,,
,,2002 - 2003,"5,062.00","5,29,93,000.00","10,468.79",,,
,,2003 - 2004,"5,050.00","4,32,16,000.00","8,557.62",,,
,,2005 - 2006,"3,224.00","3,92,77,000.00","12,182.69",,,
,,2006 - 2007,"3,195.00","3,53,28,000.00","11,057.28",,,
,,2007 - 2008,"3,222.00","2,77,60,000.00","8,615.77",,,
,,2008 - 2009,"3,223.00","3,46,55,000.00","10,752.40",,,
,,2009 - 2010,"3,242.00","3,79,01,000.00","11,690.62",,,
,,2010 - 2011,"3,343.00","3,24,11,000.00","9,695.18",,,
,,2011 - 2012,"3,323.00","2,35,47,000.00","7,086.07",,,
,,2012 - 2013,"3,156.00","1,99,52,000.00","6,321.93",,,
,,2013 - 2014,"3,345.00","1,50,05,000.00","4,485.80",,,
,,2014 - 2015,"3,179.00","1,97,89,000.00","6,224.91",,,
,,2015 - 2016,"3,064.00","1,45,38,000.00","4,744.78",,,
,,2016 - 2017,"3,076.00","1,19,90,000.00","3,897.92",,,
,,2017 - 2018,"2,941.00","1,28,77,000.00","4,378.44",,,
,,2018 - 2019,"2,920.00","1,27,95,000.00","4,381.85",,,
,,2019 - 2020,"2,490.00","94,62,000.00","3,800.00",,,
,,2020 - 2021,"2,478.00","1,21,42,000.00","4,899.92",,,
,,2021 - 2022,"2,478.00","1,21,42,000.00","4,899.92",,,
,,2022 - 2023,"2,830.00","1,53,95,000.00","5,439.93",,,
,27. Nalbari,2000 - 2001,"2,200.00","1,27,52,000.00","5,796.36",,,
,,2001 - 2002,"2,200.00","1,48,36,000.00","6,743.64",,,
,,2002 - 2003,"2,110.00","81,01,000.00","3,839.34",,,
,,2003 - 2004,"2,050.00","1,16,73,000.00","5,694.15",,,
,,2005 - 2006,"2,045.00","1,80,31,000.00","8,817.11",,,
