State,District,Year,Coconut,,,,,
,,,Whole Year,,,Kharif,,
,,,Area (Hectare),Production (Nuts),Yield (Nuts/Hectare),Area (Hectare),Production (Nuts),Yield (Nuts/Hectare)
,,2006 - 2007,"4,307.00","3,49,24,554.00","8,108.79",,,
,,2008 - 2009,"3,915.00","3,55,94,856.00","9,091.92",,,
,,2009 - 2010,"3,893.00","2,27,98,170.00","5,856.20",,,
,,2010 - 2011,"3,837.00","3,34,44,000.00","8,716.18",,,
,,2011 - 2012,"3,663.00","2,93,76,960.00","8,019.92",,,
,,2012 - 2013,"3,351.00","2,88,99,000.00","8,623.99",,,
,,2013 - 2014,"2,760.00","1,98,47,000.00","7,190.94",,,
,,2014 - 2015,"3,465.00","4,16,00,000.00","12,005.77",,,
,,2015 - 2016,"3,465.00","4,68,00,000.00","13,506.49",,,
,,2016 - 2017,"3,465.00","4,78,00,000.00","13,795.09",,,
,,2017 - 2018,"2,752.00","3,87,00,000.00","14,062.50",,,
,,2018 - 2019,"2,501.00","4,55,00,000.00","18,192.72",,,
,,2019 - 2020,"2,360.00","2,16,06,000.00","9,155.08",,,
,,2020 - 2021,"1,996.00","2,66,98,000.00","13,375.75",,,
,,2021 - 2022,"1,972.00","2,63,83,000.00","13,378.80",,,
,,2022 - 2023,"1,568.00","2,87,27,000.00","18,320.79",,,
,7. East godavari,2000 - 2001,"48,237.00","58,85,84,535.00","12,201.93",,,
,,2001 - 2002,"48,515.00","62,97,72,990.00","12,981.00",,,
,,2002 - 2003,"49,479.00","68,59,43,720.00","13,863.33",,,
,,2003 - 2004,"48,854.00","68,31,71,460.00","13,983.94",,,
,,2004 - 2005,"49,381.00","67,41,25,653.00","13,651.52",,,
,,2005 - 2006,"49,692.00","36,90,60,890.00","7,426.97",,,
,,2006 - 2007,"49,592.00","61,30,37,376.00","12,361.62",,,
,,2008 - 2009,"50,214.00","49,29,36,570.00","9,816.72",,,
,,2009 - 2010,"50,247.00","52,73,81,820.00","10,495.79",,,
,,2010 - 2011,"50,789.00","60,33,58,000.00","11,879.70",,,
,,2011 - 2012,"50,741.00","71,99,61,050.00","14,188.94",,,
,,2012 - 2013,"49,516.00","72,99,65,000.00","14,742.00",,,
,,2013 - 2014,"49,114.00","72,08,95,000.00","14,677.99",,,
,,2014 - 2015,"46,865.00","71,53,00,000.00","15,262.99",,,
,,2015 - 2016,"50,490.00","73,71,54,000.00","14,600.00",,,
,,2016 - 2017,"50,501.00","69,69,00,000.00","13,799.73",,,
,,2017 - 2018,"50,473.00","73,73,00,000.00","14,607.81",,,
,,2018 - 2019,"50,538.00","76,63,00,000.00","15,162.85",,,
,,2019 - 2020,"50,535.00","89,80,57,000.00","17,770.99",,,
,,2020 - 2021,"50,254.00","91,46,23,000.00","18,200.00",,,
,,2021 - 2022,"49,411.00","89,85,88,000.00","18,185.99",,,
,,2022 - 2023,"8,085.00","11,57,37,000.00","14,315.03",,,
,8. Eluru,2022 - 2023,"13,621.00","37,14,58,000.00","27,270.98",,,
,9. Guntur,2000 - 2001,519,"55,55,550.00","10,704.34",,,
,,2001 - 2002,491,"54,26,352.00","11,051.63",,,
,,2002 - 2003,399,"44,88,408.00","11,249.14",,,
,,2003 - 2004,380,"44,97,480.00","11,835.47",,,
,,2004 - 2005,215,"25,28,312.00","11,759.59",,,
,,2005 - 2006,222,"19,41,072.00","8,743.57",,,
,,2006 - 2007,213,"27,47,097.00","12,897.17",,,
,,2008 - 2009,157,"14,35,126.00","9,140.93",,,
,,2009 - 2010,136,"15,39,810.00","11,322.13",,,
,,2010 - 2011,142,"16,80,000.00","11,830.99",,,
,,2011 - 2012,125,"17,57,728.00","14,061.82",,,
,,2012 - 2013,118,"20,16,000.00","17,084.75",,,
,,2013 - 2014,111,"18,40,000.00","16,576.58",,,
,,2014 - 2015,112,"8,00,000.00","7,142.86",,,
,,2015 - 2016,99,"9,20,000.00","9,292.93",,,
,,2016 - 2017,159,"22,00,000.00","13,836.48",,,
,,2017 - 2018,110,"11,00,000.00","10,000.00",,,
,,2018 - 2019,99,"16,00,000.00","16,161.62",,,
,,2019 - 2020,97,"17,85,000.00","18,402.06",,,
,,2020 - 2021,95,"16,63,000.00","17,505.26",,,
,,2021 - 2022,109,"20,01,000.00","18,357.80",,,
,,2022 - 2023,19,"3,48,000.00","18,315.79",,,
,10. Kadapa,2000 - 2001,146,"6,25,240.00","4,282.47",,,
,,2001 - 2002,148,"5,30,400.00","3,583.78",,,
,,2002 - 2003,155,"6,58,350.00","4,247.42",,,
,,2003 - 2004,104,"4,06,980.00","3,913.27",,,
,,2004 - 2005,95,"7,25,372.00","7,635.49",,,
,,2005 - 2006,96,"3,84,384.00","4,004.00",,,
,,2006 - 2007,92,"7,44,660.00","8,094.13",,,
,,2008 - 2009,126,"11,43,384.00","9,074.48",,,
,,2009 - 2010,127,"7,45,965.00","5,873.74",,,
,,2010 - 2011,131,"11,43,000.00","8,725.19",,,
,,2011 - 2012,132,"10,56,480.00","8,003.64",,,
,,2012 - 2013,114,"9,83,000.00","8,622.81",,,
,,2013 - 2014,90,"6,47,000.00","7,188.89",,,
,,2014 - 2015,121,"15,00,000.00","12,396.69",,,
,,2015 - 2016,121,"18,00,000.00","14,876.03",,,
,,2016 - 2017,120,"17,00,000.00","14,166.67",,,
,,2017 - 2018,117,"10,00,000.00","8,547.01",,,
,,2018 - 2019,116,"12,00,000.00","10,344.83",,,
,,2019 - 2020,113,"20,79,000.00","18,398.23",,,
,,2020 - 2021,81,"14,18,000.00","17,506.17",,,
,,2021 - 2022,67,"12,30,000.00","18,358.21",,,
,,2022 - 2023,11,"2,02,000.00","18,363.64",,,
,11. Kakinada,2022 - 2023,"2,882.00","5,28,01,000.00","18,320.96",,,
,12. Konaseema,2022 - 2023,"39,169.00","67,47,64,000.00","17,226.99",,,
,13. Krishna,2000 - 2001,"1,520.00","1,62,73,950.00","10,706.55",,,
,,2001 - 2002,"1,789.00","1,97,82,864.00","11,058.06",,,
,,2002 - 2003,"1,889.00","2,12,55,984.00","11,252.51",,,
,,2003 - 2004,"1,726.00","2,04,07,920.00","11,823.82",,,
,,2004 - 2005,"1,693.00","1,98,92,568.00","11,749.89",,,
,,2005 - 2006,"1,627.00","1,41,92,976.00","8,723.40",,,
,,2006 - 2007,"1,648.00","2,12,20,329.00","12,876.41",,,
,,2008 - 2009,"2,129.00","1,94,39,434.00","9,130.78",,,
,,2009 - 2010,"2,090.00","2,35,99,014.00","11,291.39",,,
,,2010 - 2011,"1,897.00","2,24,95,000.00","11,858.20",,,
,,2011 - 2012,"1,965.00","2,75,12,912.00","14,001.48",,,
,,2012 - 2013,"2,008.00","3,43,09,000.00","17,086.16",,,
,,2013 - 2014,"2,053.00","3,40,29,000.00","16,575.26",,,
,,2014 - 2015,"1,829.00","3,00,00,000.00","16,402.41",,,
,,2015 - 2016,"1,872.00","2,74,65,000.00","14,671.47",,,
,,2016 - 2017,997,"1,38,00,000.00","13,841.52",,,
,,2017 - 2018,"1,925.00","3,17,00,000.00","16,467.53",,,
,,2018 - 2019,"1,899.00","3,72,00,000.00","19,589.26",,,
,,2019 - 2020,"1,820.00","3,34,90,000.00","18,401.10",,,
,,2020 - 2021,"1,444.00","2,52,71,000.00","17,500.69",,,
,,2021 - 2022,"1,544.00","3,45,10,000.00","22,351.04",,,
,,2022 - 2023,846,"1,55,00,000.00","18,321.51",,,
,14. Kurnool,2000 - 2001,99,"4,25,810.00","4,301.11",,,
,,2001 - 2002,110,"3,74,400.00","3,403.64",,,
,,2002 - 2003,100,"4,25,733.00","4,257.33",,,
,,2003 - 2004,86,"3,42,720.00","3,985.12",,,
,,2004 - 2005,64,"4,86,530.00","7,602.03",,,
,,2005 - 2006,60,"2,27,136.00","3,785.60",,,
,,2006 - 2007,52,"4,21,974.00","8,114.88",,,
,,2008 - 2009,71,"6,46,668.00","9,108.00",,,
,,2009 - 2010,49,"2,89,755.00","5,913.37",,,
,,2010 - 2011,51,"4,45,000.00","8,725.49",,,
,,2011 - 2012,15,"1,19,280.00","7,952.00",,,
,,2012 - 2013,16,"1,38,000.00","8,625.00",,,
,,2013 - 2014,8,"58,000.00","7,250.00",,,
,,2017 - 2018,14,,0,,,
,,2018 - 2019,10,,0,,,
,,2019 - 2020,5,"92,000.00","18,400.00",,,
,,2020 - 2021,22,"3,85,000.00","17,500.00",,,
,,2021 - 2022,19,"3,49,000.00","18,368.42",,,
,,2022 - 2023,13,"2,38,000.00","18,307.69",,,
,15. Nandyal,2022 - 2023,8,"1,47,000.00","18,375.00",,,
,16. Ntr,2022 - 2023,72,"13,19,000.00","18,319.44",,,
,17. Palnadu,2022 - 2023,12,"2,20,000.00","18,333.33",,,
