State,District,Year,Guar seed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,9. Chhotaudepur,2014 - 2015,,,,,,,105,81,0.77
,,2016 - 2017,,,,,,,225,150,0.67
,,2017 - 2018,,,,,,,202,134,0.66
,,2020 - 2021,,,,25,16,0.64,,,
,10. Devbhumi dwarka,2014 - 2015,,,,,,,735,569,0.77
,11. Dohad,2016 - 2017,,,,,,,12,8,0.67
,,2017 - 2018,,,,,,,30,20,0.67
,,2018 - 2019,,,,,,,13,,0
,,2019 - 2020,,,,51,37,0.73,,,
,,2020 - 2021,,,,262,170,0.65,,,
,12. Gandhinagar,2000 - 2001,,,,,,,"2,200.00",500,0.23
,,2001 - 2002,,,,,,,"2,600.00","1,100.00",0.42
,,2002 - 2003,,,,,,,900,300,0.33
,,2003 - 2004,,,,,,,"5,700.00","4,300.00",0.75
,,2004 - 2005,,,,,,,"3,700.00","2,700.00",0.73
,,2005 - 2006,,,,,,,"4,200.00","2,400.00",0.57
,,2006 - 2007,,,,,,,"3,700.00","1,500.00",0.41
,,2007 - 2008,,,,,,,"2,800.00","1,800.00",0.64
,,2008 - 2009,,,,,,,"3,800.00","1,300.00",0.34
,,2009 - 2010,,,,,,,"3,100.00",800,0.26
,,2010 - 2011,,,,,,,"3,000.00","1,700.00",0.57
,,2011 - 2012,,,,,,,"4,200.00","2,400.00",0.57
,,2012 - 2013,,,,,,,"3,500.00","2,100.00",0.6
,,2013 - 2014,,,,,,,"10,428.00","9,239.00",0.89
,,2014 - 2015,,,,,,,"6,785.00","5,248.00",0.77
,,2015 - 2016,,,,,,,"14,579.00","9,014.00",0.62
,,2016 - 2017,,,,,,,"11,570.00","7,715.00",0.67
,,2017 - 2018,,,,,,,"8,496.00","5,651.00",0.67
,,2018 - 2019,,,,,,,"12,044.00","9,635.00",0.8
,,2019 - 2020,,,,"6,831.00","6,150.00",0.9,,,
,,2020 - 2021,,,,"4,865.00","5,471.00",1.12,,,
,,2021 - 2022,,,,"3,924.00","4,327.00",1.1,,,
,,2022 - 2023,,,,"3,519.00","3,771.00",1.07,,,
,13. Gir somnath,2014 - 2015,,,,,,,185,143,0.77
,,2015 - 2016,,,,,,,48,30,0.63
,,2017 - 2018,,,,,,,43,29,0.67
,,2019 - 2020,,,,2,1,0.5,,,
,,2020 - 2021,,,,8,5,0.63,,,
,14. Jamnagar,2000 - 2001,,,,,,,200,,0
,,2001 - 2002,,,,,,,100,100,1
,,2007 - 2008,,,,,,,"1,000.00",600,0.6
,,2012 - 2013,,,,,,,300,200,0.67
,,2013 - 2014,,,,,,,"9,114.00","8,075.00",0.89
,,2014 - 2015,,,,,,,"2,163.00","1,673.00",0.77
,,2015 - 2016,,,,,,,593,367,0.62
,,2016 - 2017,,,,,,,110,73,0.66
,,2017 - 2018,,,,,,,40,27,0.68
,,2018 - 2019,,,,,,,43,,0
,,2019 - 2020,,,,91,66,0.73,,,
,,2020 - 2021,,,,40,26,0.65,,,
,,2021 - 2022,,,,30,20,0.67,,,
,,2022 - 2023,,,,15,11,0.73,,,
,15. Junagadh,2001 - 2002,,,,,,,100,,0
,,2012 - 2013,,,,,,,300,200,0.67
,,2013 - 2014,,,,,,,605,536,0.89
,,2014 - 2015,,,,,,,40,31,0.78
,,2015 - 2016,,,,,,,270,167,0.62
,,2020 - 2021,,,,20,13,0.65,,,
,16. Kachchh,2000 - 2001,,,,,,,"1,18,400.00","19,600.00",0.17
,,2001 - 2002,,,,,,,"1,05,300.00","30,200.00",0.29
,,2002 - 2003,,,,,,,"38,100.00","4,900.00",0.13
,,2003 - 2004,,,,,,,"1,00,200.00","55,700.00",0.56
,,2004 - 2005,,,,,,,"83,200.00","39,700.00",0.48
,,2005 - 2006,,,,,,,"59,600.00","34,600.00",0.58
,,2006 - 2007,,,,,,,"91,800.00","46,400.00",0.51
,,2007 - 2008,,,,,,,"81,700.00","46,400.00",0.57
,,2008 - 2009,,,,,,,"58,100.00","20,900.00",0.36
,,2009 - 2010,,,,,,,"59,700.00","29,400.00",0.49
,,2010 - 2011,,,,,,,"59,600.00","28,900.00",0.48
,,2011 - 2012,,,,,,,"49,700.00","26,100.00",0.53
,,2012 - 2013,,,,,,,"45,400.00","20,500.00",0.45
,,2013 - 2014,,,,,,,"1,04,229.00","58,243.00",0.56
,,2014 - 2015,,,,,,,"55,682.00","26,421.00",0.47
,,2015 - 2016,,,,,,,"1,10,978.00","61,793.00",0.56
,,2016 - 2017,,,,,,,"82,122.00","41,989.00",0.51
,,2017 - 2018,,,,,,,"86,329.00","65,247.00",0.76
,,2018 - 2019,,,,,,,"26,896.00","5,379.00",0.2
,,2019 - 2020,,,,"68,608.00","40,130.00",0.58,,,
,,2020 - 2021,,,,"65,530.00","30,880.00",0.47,,,
,,2021 - 2022,,,,"62,202.00","31,766.00",0.51,,,
,,2022 - 2023,,,,"71,987.00","42,968.00",0.6,,,
,17. Kheda,2000 - 2001,,,,,,,300,100,0.33
,,2001 - 2002,,,,,,,200,100,0.5
,,2002 - 2003,,,,,,,"1,300.00",400,0.31
,,2003 - 2004,,,,,,,100,100,1
,,2004 - 2005,,,,,,,600,500,0.83
,,2005 - 2006,,,,,,,400,300,0.75
,,2006 - 2007,,,,,,,"1,300.00",500,0.38
,,2007 - 2008,,,,,,,"1,600.00","1,100.00",0.69
,,2008 - 2009,,,,,,,700,200,0.29
,,2009 - 2010,,,,,,,"1,300.00",400,0.31
,,2010 - 2011,,,,,,,"1,900.00","1,100.00",0.58
,,2011 - 2012,,,,,,,900,500,0.56
,,2012 - 2013,,,,,,,"8,400.00","5,100.00",0.61
,,2013 - 2014,,,,,,,"14,447.00","12,800.00",0.89
,,2014 - 2015,,,,,,,"16,983.00","13,136.00",0.77
,,2015 - 2016,,,,,,,"12,490.00","7,723.00",0.62
,,2016 - 2017,,,,,,,"9,241.00","6,162.00",0.67
,,2017 - 2018,,,,,,,"9,065.00","6,029.00",0.67
,,2018 - 2019,,,,,,,"8,670.00","7,283.00",0.84
,,2019 - 2020,,,,"7,283.00","5,265.00",0.72,,,
,,2020 - 2021,,,,"6,212.00","4,760.00",0.77,,,
,,2021 - 2022,,,,"5,518.00","4,146.00",0.75,,,
,,2022 - 2023,,,,"5,133.00","5,886.00",1.15,,,
,18. Mahesana,2000 - 2001,,,,,,,"19,400.00","10,100.00",0.52
,,2001 - 2002,,,,,,,"20,500.00","15,200.00",0.74
,,2002 - 2003,,,,,,,"15,000.00","7,500.00",0.5
,,2003 - 2004,,,,,,,"12,900.00","12,700.00",0.98
,,2004 - 2005,,,,,,,"11,800.00","10,900.00",0.92
,,2005 - 2006,,,,,,,"11,100.00","8,300.00",0.75
,,2006 - 2007,,,,,,,"11,700.00","6,000.00",0.51
,,2007 - 2008,,,,,,,"9,700.00","7,400.00",0.76
,,2008 - 2009,,,,,,,"7,500.00","6,100.00",0.81
,,2009 - 2010,,,,,,,"6,500.00","1,800.00",0.28
,,2010 - 2011,,,,,,,"6,000.00","3,500.00",0.58
,,2011 - 2012,,,,,,,"6,500.00","3,700.00",0.57
,,2012 - 2013,,,,,,,"26,000.00","15,600.00",0.6
,,2013 - 2014,,,,,,,"46,565.00","41,257.00",0.89
,,2014 - 2015,,,,,,,"28,507.00","22,050.00",0.77
,,2015 - 2016,,,,,,,"27,649.00","17,095.00",0.62
,,2016 - 2017,,,,,,,"21,752.00","14,504.00",0.67
,,2017 - 2018,,,,,,,"12,923.00","10,752.00",0.83
,,2018 - 2019,,,,,,,"11,157.00","7,810.00",0.7
,,2019 - 2020,,,,"13,880.00","9,939.00",0.72,,,
,,2020 - 2021,,,,"13,705.00","12,384.00",0.9,,,
,,2021 - 2022,,,,"12,250.00","9,932.00",0.81,,,
,,2022 - 2023,,,,"9,345.00","8,606.00",0.92,,,
,19. Mahisagar,2014 - 2015,,,,,,,"2,310.00","1,787.00",0.77
,,2015 - 2016,,,,,,,"3,235.00","2,000.00",0.62
,,2016 - 2017,,,,,,,815,543,0.67
,,2017 - 2018,,,,,,,833,554,0.67
,,2018 - 2019,,,,,,,942,659,0.7
,,2019 - 2020,,,,305,205,0.67,,,
,,2020 - 2021,,,,202,131,0.65,,,
,,2021 - 2022,,,,518,339,0.65,,,
,,2022 - 2023,,,,365,260,0.71,,,
,20. Morbi,2021 - 2022,,,,"1,430.00",936,0.65,,,
,,2022 - 2023,,,,940,"1,704.00",1.81,,,
,21. Narmada,2013 - 2014,,,,,,,53,47,0.89
,,2014 - 2015,,,,,,,38,29,0.76
,,2015 - 2016,,,,,,,8,5,0.63
,22. Navsari,2011 - 2012,,,,,,,100,100,1
,,2012 - 2013,,,,,,,100,"4,000.00",40
,,2013 - 2014,,,,,,,4,4,1
,,2014 - 2015,,,,,,,6,5,0.83
,23. Panch mahals,2000 - 2001,,,,,,,"3,000.00",700,0.23
,,2001 - 2002,,,,,,,"3,600.00","1,500.00",0.42
,,2002 - 2003,,,,,,,"2,000.00",600,0.3
,,2003 - 2004,,,,,,,"1,000.00",700,0.7
,,2004 - 2005,,,,,,,400,300,0.75
,,2005 - 2006,,,,,,,700,400,0.57
,,2006 - 2007,,,,,,,200,100,0.5
,,2007 - 2008,,,,,,,100,100,1
,,2008 - 2009,,,,,,,400,200,0.5
,,2009 - 2010,,,,,,,600,200,0.33
,,2010 - 2011,,,,,,,400,300,0.75
,,2011 - 2012,,,,,,,800,500,0.63
,,2012 - 2013,,,,,,,"4,800.00","2,900.00",0.6
,,2013 - 2014,,,,,,,760,673,0.89
,,2014 - 2015,,,,,,,604,467,0.77
,,2015 - 2016,,,,,,,"3,055.00","1,889.00",0.62
,,2016 - 2017,,,,,,,50,33,0.66
,,2017 - 2018,,,,,,,"2,573.00","1,711.00",0.66
,,2018 - 2019,,,,,,,827,576,0.7
,,2019 - 2020,,,,"1,328.00","1,298.00",0.98,,,
,,2020 - 2021,,,,54,58,1.07,,,
,,2021 - 2022,,,,579,595,1.03,,,
,,2022 - 2023,,,,150,107,0.71,,,
,24. Patan,2003 - 2004,,,,,,,"12,500.00","8,100.00",0.65
,,2004 - 2005,,,,,,,"15,000.00","10,600.00",0.71
,,2005 - 2006,,,,,,,"16,100.00","11,300.00",0.7
,,2006 - 2007,,,,,,,"14,500.00","6,900.00",0.48
,,2007 - 2008,,,,,,,"12,000.00","11,700.00",0.98
,,2008 - 2009,,,,,,,"9,000.00","5,400.00",0.6
,,2009 - 2010,,,,,,,"9,700.00","2,700.00",0.28
,,2010 - 2011,,,,,,,"5,600.00","3,900.00",0.7
,,2011 - 2012,,,,,,,"4,400.00","2,500.00",0.57
,,2012 - 2013,,,,,,,"13,300.00","8,000.00",0.6
,,2013 - 2014,,,,,,,"42,520.00","37,673.00",0.89
,,2014 - 2015,,,,,,,"25,555.00","19,767.00",0.77
,,2015 - 2016,,,,,,,"17,605.00","10,885.00",0.62
,,2016 - 2017,,,,,,,"25,975.00","16,416.00",0.63
,,2017 - 2018,,,,,,,"30,210.00","20,093.00",0.67
,,2018 - 2019,,,,,,,"32,625.00","22,185.00",0.68
,,2019 - 2020,,,,"22,508.00","12,021.00",0.53,,,
,,2020 - 2021,,,,"13,595.00","3,607.00",0.27,,,
,,2021 - 2022,,,,"12,794.00","6,116.00",0.48,,,
,,2022 - 2023,,,,"6,100.00","3,945.00",0.65,,,
