State,District,Year,Dry chillies,,,,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2003 - 2004,,,,"2,792.00","5,832.00",2.09,412,"1,014.00",2.46,,,,,,
,,2004 - 2005,,,,"2,285.00","11,110.00",4.86,537,"1,171.00",2.18,,,,,,
,,2005 - 2006,,,,"2,159.00","7,967.00",3.69,459,858,1.87,,,,,,
,,2006 - 2007,,,,"2,405.00","8,975.00",3.73,413,"1,104.00",2.67,,,,,,
,,2007 - 2008,,,,"2,000.00","7,000.00",3.5,"1,000.00","1,000.00",1,,,,,,
,,2008 - 2009,,,,"2,500.00","5,155.00",2.06,514,"1,276.00",2.48,,,,,,
,,2009 - 2010,,,,"2,297.00","7,695.00",3.35,591,"1,415.00",2.39,,,,,,
,,2010 - 2011,,,,"2,034.00","4,153.00",2.04,,,,,,,,,
,,2011 - 2012,,,,"1,897.00","2,474.00",1.3,,,,,,,,,
,,2012 - 2013,,,,"2,000.00","4,000.00",2,,,,,,,,,
,,2013 - 2014,,,,"1,751.00","3,488.00",1.99,,,,,,,,,
,,2014 - 2015,,,,"1,693.00","5,287.00",3.12,,,,,,,,,
,,2015 - 2016,,,,"1,531.00","4,218.00",2.76,,,,,,,,,
,,2016 - 2017,,,,"2,208.00","4,961.00",2.25,,,,,,,,,
,,2017 - 2018,,,,"2,045.00","5,900.00",2.89,3,12,4,,,,,,
,,2018 - 2019,,,,"1,603.00","4,751.00",2.96,45,109,2.42,,,,,,
,,2019 - 2020,,,,"1,956.00","6,255.00",3.2,38,171,4.5,,,,,,
,,2020 - 2021,,,,"1,713.00","1,872.00",1.09,34,108,3.18,,,,,,
,,2021 - 2022,,,,"1,661.00","1,306.00",0.79,19,46,2.42,,,,,,
,,2022 - 2023,,,,"1,236.00",454,0.37,52,260,5,,,,,,
,7. East godavari,2000 - 2001,,,,539,"1,112.00",2.06,868,"2,396.00",2.76,,,,,,
,,2001 - 2002,,,,936,"1,882.00",2.01,628,"2,274.00",3.62,,,,,,
,,2002 - 2003,,,,597,993,1.66,512,"1,011.00",1.97,,,,,,
,,2003 - 2004,,,,"1,029.00","2,172.00",2.11,"1,070.00","4,714.00",4.41,,,,,,
,,2004 - 2005,,,,613,"1,582.00",2.58,599,"2,479.00",4.14,,,,,,
