State,District,Year,Dry chillies,,,,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2013 - 2014,544,446,0.82,,,,,,,,,,,,
,,2014 - 2015,584,488,0.84,,,,,,,,,,,,
,,2015 - 2016,605,511,0.84,,,,,,,,,,,,
,,2016 - 2017,614,522,0.85,,,,,,,,,,,,
,,2017 - 2018,648,570,0.88,,,,,,,,,,,,
,,2018 - 2019,635,574,0.9,,,,,,,,,,,,
,,2019 - 2020,614,566,0.92,,,,,,,,,,,,
,,2020 - 2021,666,615,0.92,,,,,,,,,,,,
,23. Lakhimpur,2000 - 2001,560,312,0.56,,,,,,,,,,,,
,,2001 - 2002,593,330,0.56,,,,,,,,,,,,
,,2002 - 2003,588,327,0.56,,,,,,,,,,,,
,,2003 - 2004,603,335,0.56,,,,,,,,,,,,
,,2004 - 2005,615,342,0.56,,,,,,,,,,,,
,,2005 - 2006,617,343,0.56,,,,,,,,,,,,
,,2006 - 2007,627,349,0.56,,,,,,,,,,,,
,,2007 - 2008,640,355,0.55,,,,,,,,,,,,
,,2008 - 2009,681,379,0.56,,,,,,,,,,,,
,,2009 - 2010,617,343,0.56,,,,,,,,,,,,
,,2010 - 2011,600,333,0.56,,,,,,,,,,,,
,,2011 - 2012,480,375,0.78,,,,,,,,,,,,
,,2012 - 2013,510,444,0.87,,,,,,,,,,,,
,,2013 - 2014,345,301,0.87,,,,,,,,,,,,
,,2014 - 2015,395,347,0.88,,,,,,,,,,,,
,,2015 - 2016,425,376,0.88,,,,,,,,,,,,
,,2016 - 2017,498,444,0.89,,,,,,,,,,,,
,,2017 - 2018,530,522,0.98,,,,,,,,,,,,
,,2018 - 2019,315,316,1,,,,,,,,,,,,
,,2019 - 2020,448,458,1.02,,,,,,,,,,,,
,,2020 - 2021,431,441,1.02,,,,,,,,,,,,
,24. Majuli,2020 - 2021,150,133,0.89,,,,,,,,,,,,
,25. Marigaon,2000 - 2001,600,360,0.6,,,,,,,,,,,,
,,2001 - 2002,580,348,0.6,,,,,,,,,,,,
,,2002 - 2003,520,312,0.6,,,,,,,,,,,,
,,2003 - 2004,420,252,0.6,,,,,,,,,,,,
,,2004 - 2005,400,240,0.6,,,,,,,,,,,,
,,2005 - 2006,400,240,0.6,,,,,,,,,,,,
,,2006 - 2007,389,233,0.6,,,,,,,,,,,,
,,2007 - 2008,390,234,0.6,,,,,,,,,,,,
,,2008 - 2009,413,247,0.6,,,,,,,,,,,,
,,2009 - 2010,405,243,0.6,,,,,,,,,,,,
,,2010 - 2011,408,245,0.6,,,,,,,,,,,,
,,2011 - 2012,393,259,0.66,,,,,,,,,,,,
,,2012 - 2013,451,304,0.67,,,,,,,,,,,,
,,2013 - 2014,466,315,0.68,,,,,,,,,,,,
,,2014 - 2015,441,337,0.76,,,,,,,,,,,,
,,2015 - 2016,430,331,0.77,,,,,,,,,,,,
,,2016 - 2017,399,310,0.78,,,,,,,,,,,,
,,2017 - 2018,423,372,0.88,,,,,,,,,,,,
,,2018 - 2019,399,362,0.91,,,,,,,,,,,,
,,2019 - 2020,401,388,0.97,,,,,,,,,,,,
,,2020 - 2021,408,395,0.97,,,,,,,,,,,,
,26. Nagaon,2000 - 2001,"1,289.00",805,0.62,,,,,,,,,,,,
,,2001 - 2002,"1,266.00",792,0.63,,,,,,,,,,,,
,,2002 - 2003,"1,282.00",802,0.63,,,,,,,,,,,,
,,2003 - 2004,"1,238.00",776,0.63,,,,,,,,,,,,
,,2004 - 2005,"1,281.00",802,0.63,,,,,,,,,,,,
,,2005 - 2006,"1,307.00",822,0.63,,,,,,,,,,,,
,,2006 - 2007,"1,328.00",835,0.63,,,,,,,,,,,,
,,2007 - 2008,"1,311.00",823,0.63,,,,,,,,,,,,
,,2008 - 2009,"1,213.00",757,0.62,,,,,,,,,,,,
,,2009 - 2010,"1,190.00",747,0.63,,,,,,,,,,,,
,,2010 - 2011,"1,218.00",756,0.62,,,,,,,,,,,,
,,2011 - 2012,"1,644.00","1,192.00",0.73,,,,,,,,,,,,
,,2012 - 2013,"1,469.00","1,072.00",0.73,,,,,,,,,,,,
,,2013 - 2014,"1,457.00","1,064.00",0.73,,,,,,,,,,,,
,,2014 - 2015,"1,453.00","1,068.00",0.74,,,,,,,,,,,,
,,2015 - 2016,"1,440.00","1,066.00",0.74,,,,,,,,,,,,
,,2016 - 2017,"1,291.00",957,0.74,,,,,,,,,,,,
,,2017 - 2018,"1,394.00","1,071.00",0.77,,,,,,,,,,,,
,,2018 - 2019,"1,161.00",898,0.77,,,,,,,,,,,,
,,2019 - 2020,"1,108.00",865,0.78,,,,,,,,,,,,
,,2020 - 2021,880,687,0.78,,,,,,,,,,,,
,27. Nalbari,2000 - 2001,700,516,0.74,,,,,,,,,,,,
,,2001 - 2002,700,515,0.74,,,,,,,,,,,,
,,2002 - 2003,710,524,0.74,,,,,,,,,,,,
,,2003 - 2004,700,516,0.74,,,,,,,,,,,,
,,2004 - 2005,685,299,0.44,,,,,,,,,,,,
,,2005 - 2006,384,283,0.74,,,,,,,,,,,,
,,2006 - 2007,380,242,0.64,,,,,,,,,,,,
,,2007 - 2008,375,170,0.45,,,,,,,,,,,,
,,2008 - 2009,309,188,0.61,,,,,,,,,,,,
,,2009 - 2010,300,215,0.72,,,,,,,,,,,,
,,2010 - 2011,380,221,0.58,,,,,,,,,,,,
,,2011 - 2012,406,265,0.65,,,,,,,,,,,,
,,2012 - 2013,406,272,0.67,,,,,,,,,,,,
,,2013 - 2014,408,273,0.67,,,,,,,,,,,,
,,2014 - 2015,432,292,0.68,,,,,,,,,,,,
,,2015 - 2016,485,332,0.68,,,,,,,,,,,,
,,2016 - 2017,490,340,0.69,,,,,,,,,,,,
,,2017 - 2018,469,366,0.78,,,,,,,,,,,,
,,2018 - 2019,481,390,0.81,,,,,,,,,,,,
,,2019 - 2020,471,393,0.83,,,,,,,,,,,,
,,2020 - 2021,570,475,0.83,,,,,,,,,,,,
,28. Sivasagar,2000 - 2001,210,180,0.86,,,,,,,,,,,,
,,2001 - 2002,228,195,0.86,,,,,,,,,,,,
,,2002 - 2003,226,193,0.85,,,,,,,,,,,,
,,2003 - 2004,118,88,0.75,,,,,,,,,,,,
,,2004 - 2005,117,88,0.75,,,,,,,,,,,,
,,2005 - 2006,140,107,0.76,,,,,,,,,,,,
,,2006 - 2007,128,99,0.77,,,,,,,,,,,,
,,2007 - 2008,192,157,0.82,,,,,,,,,,,,
,,2008 - 2009,107,83,0.78,,,,,,,,,,,,
,,2009 - 2010,100,78,0.78,,,,,,,,,,,,
,,2010 - 2011,142,107,0.75,,,,,,,,,,,,
,,2011 - 2012,159,91,0.57,,,,,,,,,,,,
,,2012 - 2013,112,75,0.67,,,,,,,,,,,,
,,2013 - 2014,199,133,0.67,,,,,,,,,,,,
,,2014 - 2015,222,148,0.67,,,,,,,,,,,,
,,2015 - 2016,232,156,0.67,,,,,,,,,,,,
,,2016 - 2017,238,164,0.69,,,,,,,,,,,,
,,2017 - 2018,217,172,0.79,,,,,,,,,,,,
,,2018 - 2019,201,160,0.8,,,,,,,,,,,,
,,2019 - 2020,224,331,1.48,,,,,,,,,,,,
,,2020 - 2021,157,232,1.48,,,,,,,,,,,,
,29. Sonitpur,2000 - 2001,695,313,0.45,,,,,,,,,,,,
,,2001 - 2002,891,401,0.45,,,,,,,,,,,,
,,2002 - 2003,840,378,0.45,,,,,,,,,,,,
,,2003 - 2004,855,385,0.45,,,,,,,,,,,,
,,2004 - 2005,869,391,0.45,,,,,,,,,,,,
,,2005 - 2006,914,411,0.45,,,,,,,,,,,,
,,2006 - 2007,975,438,0.45,,,,,,,,,,,,
,,2007 - 2008,896,404,0.45,,,,,,,,,,,,
,,2008 - 2009,885,406,0.46,,,,,,,,,,,,
,,2009 - 2010,899,845,0.94,,,,,,,,,,,,
,,2010 - 2011,932,423,0.45,,,,,,,,,,,,
,,2011 - 2012,"1,041.00",498,0.48,,,,,,,,,,,,
,,2012 - 2013,729,420,0.58,,,,,,,,,,,,
,,2013 - 2014,651,374,0.57,,,,,,,,,,,,
,,2014 - 2015,"1,105.00",646,0.58,,,,,,,,,,,,
,,2015 - 2016,"1,179.00",696,0.59,,,,,,,,,,,,
,,2016 - 2017,"1,889.00","1,122.00",0.59,,,,,,,,,,,,
,,2017 - 2018,"1,828.00","1,271.00",0.7,,,,,,,,,,,,
,,2018 - 2019,"1,683.00","1,144.00",0.68,,,,,,,,,,,,
,,2019 - 2020,"1,517.00","1,048.00",0.69,,,,,,,,,,,,
,,2020 - 2021,"1,294.00",894,0.69,,,,,,,,,,,,
,30. South salmara mancachar,2020 - 2021,340,506,1.49,,,,,,,,,,,,
,31. Tinsukia,2000 - 2001,142,86,0.61,,,,,,,,,,,,
,,2001 - 2002,171,104,0.61,,,,,,,,,,,,
,,2002 - 2003,141,86,0.61,,,,,,,,,,,,
,,2003 - 2004,155,94,0.61,,,,,,,,,,,,
,,2004 - 2005,145,88,0.61,,,,,,,,,,,,
,,2005 - 2006,151,91,0.6,,,,,,,,,,,,
,,2006 - 2007,168,102,0.61,,,,,,,,,,,,
,,2007 - 2008,165,100,0.61,,,,,,,,,,,,
,,2008 - 2009,131,79,0.6,,,,,,,,,,,,
,,2009 - 2010,138,83,0.6,,,,,,,,,,,,
,,2010 - 2011,187,113,0.6,,,,,,,,,,,,
,,2011 - 2012,200,153,0.77,,,,,,,,,,,,
,,2012 - 2013,214,167,0.78,,,,,,,,,,,,
,,2013 - 2014,201,157,0.78,,,,,,,,,,,,
,,2014 - 2015,243,191,0.79,,,,,,,,,,,,
,,2015 - 2016,250,197,0.79,,,,,,,,,,,,
,,2016 - 2017,253,185,0.73,,,,,,,,,,,,
,,2017 - 2018,249,184,0.74,,,,,,,,,,,,
,,2018 - 2019,251,198,0.79,,,,,,,,,,,,
,,2019 - 2020,256,212,0.83,,,,,,,,,,,,
,,2020 - 2021,285,236,0.83,,,,,,,,,,,,
,32. Udalguri,2005 - 2006,985,611,0.62,,,,,,,,,,,,
,,2006 - 2007,"1,231.00",763,0.62,,,,,,,,,,,,
,,2007 - 2008,809,502,0.62,,,,,,,,,,,,
,,2008 - 2009,477,295,0.62,,,,,,,,,,,,
,,2009 - 2010,492,305,0.62,,,,,,,,,,,,
,,2010 - 2011,538,334,0.62,,,,,,,,,,,,
,,2011 - 2012,492,27,0.05,,,,,,,,,,,,
,,2012 - 2013,452,294,0.65,,,,,,,,,,,,
,,2013 - 2014,369,240,0.65,,,,,,,,,,,,
,,2014 - 2015,369,242,0.66,,,,,,,,,,,,
,,2015 - 2016,375,248,0.66,,,,,,,,,,,,
,,2016 - 2017,380,254,0.67,,,,,,,,,,,,
,,2017 - 2018,375,289,0.77,,,,,,,,,,,,
,,2018 - 2019,377,339,0.9,,,,,,,,,,,,
,,2019 - 2020,401,328,0.82,,,,,,,,,,,,
,,2020 - 2021,413,337,0.82,,,,,,,,,,,,
,33. West karbi anglong,2020 - 2021,122,113,0.93,,,,,,,,,,,,
5. Bihar,1. Araria,2000 - 2001,173,111,0.64,,,,,,,,,,,,
,,2001 - 2002,177,168,0.95,,,,,,,,,,,,
,,2002 - 2003,267,179,0.67,,,,,,,,,,,,
,,2003 - 2004,252,116,0.46,,,,,,,,,,,,
,,2004 - 2005,232,160,0.69,,,,,,,,,,,,
,,2005 - 2006,309,204,0.66,,,,,,,,,,,,
,,2007 - 2008,261,183,0.7,,,,,,,,,,,,
,,2008 - 2009,284,202,0.71,,,,,,,,,,,,
,,2020 - 2021,,,,34,35,1.03,,,,,,,,,
,,2021 - 2022,,,,58,70,1.21,,,,,,,,,
,,2022 - 2023,,,,180,153,0.85,,,,,,,,,
,2. Arwal,2003 - 2004,3,2,0.67,,,,,,,,,,,,
,,2004 - 2005,10,7,0.7,,,,,,,,,,,,
,,2005 - 2006,9,9,1,,,,,,,,,,,,
,,2008 - 2009,9,13,1.44,,,,,,,,,,,,
,,2020 - 2021,,,,11,25,2.27,,,,,,,,,
,,2021 - 2022,,,,10,27,2.7,,,,,,,,,
,,2022 - 2023,,,,9,18,2,,,,,,,,,
,3. Aurangabad,2000 - 2001,3,3,1,,,,,,,,,,,,
,,2001 - 2002,8,8,1,,,,,,,,,,,,
,,2002 - 2003,8,5,0.63,,,,,,,,,,,,
,,2003 - 2004,2,1,0.5,,,,,,,,,,,,
,,2004 - 2005,2,1,0.5,,,,,,,,,,,,
,,2005 - 2006,7,7,1,,,,,,,,,,,,
,,2007 - 2008,5,7,1.4,,,,,,,,,,,,
,,2008 - 2009,4,6,1.5,,,,,,,,,,,,
,4. Banka,2000 - 2001,5,5,1,,,,,,,,,,,,
,,2001 - 2002,4,4,1,,,,,,,,,,,,
,,2002 - 2003,16,11,0.69,,,,,,,,,,,,
,,2003 - 2004,2,1,0.5,,,,,,,,,,,,
,,2004 - 2005,9,6,0.67,,,,,,,,,,,,
,,2005 - 2006,3,3,1,,,,,,,,,,,,
,,2007 - 2008,3,4,1.33,,,,,,,,,,,,
,,2008 - 2009,3,4,1.33,,,,,,,,,,,,
,5. Begusarai,2000 - 2001,"1,081.00",843,0.78,,,,,,,,,,,,
,,2001 - 2002,771,540,0.7,,,,,,,,,,,,
,,2002 - 2003,865,502,0.58,,,,,,,,,,,,
,,2003 - 2004,901,649,0.72,,,,,,,,,,,,
,,2004 - 2005,831,590,0.71,,,,,,,,,,,,
,,2005 - 2006,839,696,0.83,,,,,,,,,,,,
,,2007 - 2008,657,"1,235.00",1.88,,,,,,,,,,,,
,,2008 - 2009,324,758,2.34,,,,,,,,,,,,
,,2020 - 2021,,,,441,"1,524.00",3.46,,,,,,,,,
,,2021 - 2022,,,,285,912,3.2,,,,,,,,,
,,2022 - 2023,,,,202,490,2.43,,,,,,,,,
,6. Bhagalpur,2000 - 2001,19,20,1.05,,,,,,,,,,,,
,,2001 - 2002,22,22,1,,,,,,,,,,,,
,,2002 - 2003,3,2,0.67,,,,,,,,,,,,
,,2003 - 2004,9,6,0.67,,,,,,,,,,,,
,,2004 - 2005,8,6,0.75,,,,,,,,,,,,
,,2005 - 2006,34,33,0.97,,,,,,,,,,,,
,,2007 - 2008,8,11,1.38,,,,,,,,,,,,
,,2008 - 2009,8,11,1.38,,,,,,,,,,,,
,,2020 - 2021,,,,19,43,2.26,,,,,,,,,
,,2022 - 2023,,,,19,39,2.05,,,,,,,,,
,7. Bhojpur,2003 - 2004,4,4,1,,,,,,,,,,,,
,,2005 - 2006,30,26,0.87,,,,,,,,,,,,
,,2008 - 2009,18,12,0.67,,,,,,,,,,,,
,8. Buxar,2000 - 2001,2,4,2,,,,,,,,,,,,
,,2001 - 2002,4,6,1.5,,,,,,,,,,,,
,,2002 - 2003,2,1,0.5,,,,,,,,,,,,
,,2003 - 2004,3,3,1,,,,,,,,,,,,
,,2022 - 2023,,,,2,4,2,,,,,,,,,
,9. Darbhanga,2000 - 2001,110,116,1.05,,,,,,,,,,,,
,,2001 - 2002,116,119,1.03,,,,,,,,,,,,
,,2002 - 2003,18,12,0.67,,,,,,,,,,,,
,,2003 - 2004,37,19,0.51,,,,,,,,,,,,
,,2004 - 2005,35,43,1.23,,,,,,,,,,,,
,,2005 - 2006,34,22,0.65,,,,,,,,,,,,
,,2022 - 2023,,,,12,21,1.75,,,,,,,,,
,10. Gaya,2000 - 2001,36,38,1.06,,,,,,,,,,,,
,,2001 - 2002,2,2,1,,,,,,,,,,,,
,,2002 - 2003,45,30,0.67,,,,,,,,,,,,
,,2003 - 2004,51,35,0.69,,,,,,,,,,,,
,,2004 - 2005,62,45,0.73,,,,,,,,,,,,
,,2005 - 2006,47,46,0.98,,,,,,,,,,,,
,,2007 - 2008,55,73,1.33,,,,,,,,,,,,
,,2008 - 2009,57,80,1.4,,,,,,,,,,,,
,11. Gopalganj,2000 - 2001,2,2,1,,,,,,,,,,,,
,,2001 - 2002,6,6,1,,,,,,,,,,,,
,,2002 - 2003,4,3,0.75,,,,,,,,,,,,
,,2003 - 2004,3,2,0.67,,,,,,,,,,,,
,,2004 - 2005,4,3,0.75,,,,,,,,,,,,
,,2005 - 2006,2,2,1,,,,,,,,,,,,
,,2007 - 2008,1,1,1,,,,,,,,,,,,
,,2008 - 2009,1,1,1,,,,,,,,,,,,
,,2021 - 2022,,,,25,68,2.72,,,,,,,,,
,,2022 - 2023,,,,2,4,2,,,,,,,,,
,12. Jehanabad,2000 - 2001,61,65,1.07,,,,,,,,,,,,
,,2001 - 2002,14,14,1,,,,,,,,,,,,
,,2002 - 2003,17,11,0.65,,,,,,,,,,,,
,,2003 - 2004,18,12,0.67,,,,,,,,,,,,
,,2004 - 2005,24,17,0.71,,,,,,,,,,,,
,,2005 - 2006,30,29,0.97,,,,,,,,,,,,
,,2007 - 2008,4,5,1.25,,,,,,,,,,,,
,,2020 - 2021,,,,8,18,2.25,,,,,,,,,
,,2021 - 2022,,,,6,16,2.67,,,,,,,,,
,,2022 - 2023,,,,4,8,2,,,,,,,,,
,13. Kaimur (bhabua),2000 - 2001,53,96,1.81,,,,,,,,,,,,
,,2001 - 2002,37,55,1.49,,,,,,,,,,,,
,,2002 - 2003,29,17,0.59,,,,,,,,,,,,
,,2003 - 2004,28,28,1,,,,,,,,,,,,
,,2004 - 2005,24,13,0.54,,,,,,,,,,,,
,,2021 - 2022,,,,1,3,3,,,,,,,,,
,,2022 - 2023,,,,28,57,2.04,,,,,,,,,
,14. Katihar,2000 - 2001,50,36,0.72,,,,,,,,,,,,
,,2001 - 2002,47,58,1.23,,,,,,,,,,,,
,,2002 - 2003,45,32,0.71,,,,,,,,,,,,
,,2003 - 2004,54,30,0.56,,,,,,,,,,,,
,,2004 - 2005,35,25,0.71,,,,,,,,,,,,
,,2005 - 2006,67,43,0.64,,,,,,,,,,,,
,,2007 - 2008,31,31,1,,,,,,,,,,,,
,,2008 - 2009,29,24,0.83,,,,,,,,,,,,
,,2020 - 2021,,,,69,76,1.1,,,,,,,,,
,,2021 - 2022,,,,74,81,1.09,,,,,,,,,
,,2022 - 2023,,,,72,58,0.81,,,,,,,,,
,15. Khagaria,2000 - 2001,334,287,0.86,,,,,,,,,,,,
,,2001 - 2002,213,375,1.76,,,,,,,,,,,,
,,2002 - 2003,129,177,1.37,,,,,,,,,,,,
,,2003 - 2004,94,68,0.72,,,,,,,,,,,,
,,2004 - 2005,145,141,0.97,,,,,,,,,,,,
,,2005 - 2006,87,114,1.31,,,,,,,,,,,,
,,2007 - 2008,80,46,0.58,,,,,,,,,,,,
,,2008 - 2009,100,94,0.94,,,,,,,,,,,,
,,2020 - 2021,,,,62,36,0.58,,,,,,,,,
,,2021 - 2022,,,,48,22,0.46,,,,,,,,,
,,2022 - 2023,,,,51,125,2.45,,,,,,,,,
,16. Kishanganj,2000 - 2001,18,13,0.72,,,,,,,,,,,,
,,2001 - 2002,12,11,0.92,,,,,,,,,,,,
,,2002 - 2003,52,36,0.69,,,,,,,,,,,,
,,2003 - 2004,54,30,0.56,,,,,,,,,,,,
,,2004 - 2005,55,39,0.71,,,,,,,,,,,,
,,2005 - 2006,83,53,0.64,,,,,,,,,,,,
,,2007 - 2008,79,46,0.58,,,,,,,,,,,,
,,2008 - 2009,78,47,0.6,,,,,,,,,,,,
,,2020 - 2021,,,,116,42,0.36,,,,,,,,,
,,2021 - 2022,,,,97,477,4.92,,,,,,,,,
,,2022 - 2023,,,,88,83,0.94,,,,,,,,,
,17. Lakhisarai,2000 - 2001,65,52,0.8,,,,,,,,,,,,
,,2001 - 2002,2,2,1,,,,,,,,,,,,
,,2002 - 2003,38,26,0.68,,,,,,,,,,,,
,,2003 - 2004,25,18,0.72,,,,,,,,,,,,
,,2004 - 2005,8,6,0.75,,,,,,,,,,,,
,,2020 - 2021,,,,21,65,3.1,,,,,,,,,
,,2021 - 2022,,,,5,14,2.8,,,,,,,,,
,,2022 - 2023,,,,22,53,2.41,,,,,,,,,
,18. Madhepura,2000 - 2001,4,4,1,,,,,,,,,,,,
,,2002 - 2003,5,3,0.6,,,,,,,,,,,,
,,2003 - 2004,19,15,0.79,,,,,,,,,,,,
,,2004 - 2005,20,14,0.7,,,,,,,,,,,,
,,2005 - 2006,17,11,0.65,,,,,,,,,,,,
,,2007 - 2008,35,25,0.71,,,,,,,,,,,,
,,2008 - 2009,21,30,1.43,,,,,,,,,,,,
,,2020 - 2021,,,,31,119,3.84,,,,,,,,,
,,2021 - 2022,,,,22,88,4,,,,,,,,,
,,2022 - 2023,,,,28,16,0.57,,,,,,,,,
,19. Madhubani,2000 - 2001,13,14,1.08,,,,,,,,,,,,
,,2001 - 2002,28,21,0.75,,,,,,,,,,,,
,,2002 - 2003,53,34,0.64,,,,,,,,,,,,
,,2003 - 2004,58,35,0.6,,,,,,,,,,,,
,,2004 - 2005,14,12,0.86,,,,,,,,,,,,
,,2005 - 2006,36,23,0.64,,,,,,,,,,,,
,,2007 - 2008,73,45,0.62,,,,,,,,,,,,
,,2008 - 2009,72,45,0.63,,,,,,,,,,,,
,,2020 - 2021,,,,37,23,0.62,,,,,,,,,
,,2021 - 2022,,,,38,112,2.95,,,,,,,,,
,,2022 - 2023,,,,37,28,0.76,,,,,,,,,
,20. Muzaffarpur,2000 - 2001,51,30,0.59,,,,,,,,,,,,
,,2001 - 2002,75,44,0.59,,,,,,,,,,,,
,,2002 - 2003,160,102,0.64,,,,,,,,,,,,
,,2003 - 2004,83,45,0.54,,,,,,,,,,,,
,,2004 - 2005,51,33,0.65,,,,,,,,,,,,
,,2005 - 2006,40,25,0.63,,,,,,,,,,,,
,,2007 - 2008,16,7,0.44,,,,,,,,,,,,
,,2008 - 2009,101,95,0.94,,,,,,,,,,,,
,,2020 - 2021,,,,92,97,1.05,,,,,,,,,
,,2021 - 2022,,,,94,116,1.23,,,,,,,,,
,,2022 - 2023,,,,96,112,1.17,,,,,,,,,
,21. Nalanda,2000 - 2001,35,64,1.83,,,,,,,,,,,,
,,2001 - 2002,71,106,1.49,,,,,,,,,,,,
,,2002 - 2003,67,48,0.72,,,,,,,,,,,,
,,2003 - 2004,11,11,1,,,,,,,,,,,,
,,2004 - 2005,11,6,0.55,,,,,,,,,,,,
,,2005 - 2006,66,56,0.85,,,,,,,,,,,,
,,2007 - 2008,53,24,0.45,,,,,,,,,,,,
,,2008 - 2009,57,36,0.63,,,,,,,,,,,,
,,2020 - 2021,,,,19,43,2.26,,,,,,,,,
,,2021 - 2022,,,,17,46,2.71,,,,,,,,,
,,2022 - 2023,,,,37,76,2.05,,,,,,,,,
,22. Nawada,2000 - 2001,25,27,1.08,,,,,,,,,,,,
,,2001 - 2002,9,9,1,,,,,,,,,,,,
,,2002 - 2003,10,7,0.7,,,,,,,,,,,,
,,2003 - 2004,4,3,0.75,,,,,,,,,,,,
,,2004 - 2005,7,5,0.71,,,,,,,,,,,,
,,2005 - 2006,5,5,1,,,,,,,,,,,,
,,2007 - 2008,4,5,1.25,,,,,,,,,,,,
,,2008 - 2009,1,1,1,,,,,,,,,,,,
,23. Pashchim champaran,2000 - 2001,558,391,0.7,,,,,,,,,,,,
,,2001 - 2002,435,330,0.76,,,,,,,,,,,,
,,2002 - 2003,565,373,0.66,,,,,,,,,,,,
,,2003 - 2004,544,245,0.45,,,,,,,,,,,,
,,2004 - 2005,536,391,0.73,,,,,,,,,,,,
,,2005 - 2006,520,993,1.91,,,,,,,,,,,,
,,2007 - 2008,577,"1,050.00",1.82,,,,,,,,,,,,
,,2008 - 2009,590,"1,033.00",1.75,,,,,,,,,,,,
,,2020 - 2021,,,,3,4,1.33,,,,,,,,,
,,2021 - 2022,,,,2,2,1,,,,,,,,,
,,2022 - 2023,,,,2,2,1,,,,,,,,,
,24. Patna,2000 - 2001,671,"1,436.00",2.14,,,,,,,,,,,,
,,2001 - 2002,506,840,1.66,,,,,,,,,,,,
,,2002 - 2003,96,49,0.51,,,,,,,,,,,,
,,2003 - 2004,93,133,1.43,,,,,,,,,,,,
,,2004 - 2005,247,101,0.41,,,,,,,,,,,,
,,2005 - 2006,43,21,0.49,,,,,,,,,,,,
,,2007 - 2008,22,13,0.59,,,,,,,,,,,,
,,2008 - 2009,30,14,0.47,,,,,,,,,,,,
,,2020 - 2021,,,,103,232,2.25,,,,,,,,,
,,2021 - 2022,,,,9,24,2.67,,,,,,,,,
,,2022 - 2023,,,,9,18,2,,,,,,,,,
,25. Purbi champaran,2000 - 2001,41,21,0.51,,,,,,,,,,,,
,,2001 - 2002,97,71,0.73,,,,,,,,,,,,
,,2002 - 2003,76,82,1.08,,,,,,,,,,,,
,,2003 - 2004,70,87,1.24,,,,,,,,,,,,
,,2004 - 2005,82,59,0.72,,,,,,,,,,,,
,,2005 - 2006,86,53,0.62,,,,,,,,,,,,
,,2007 - 2008,91,228,2.51,,,,,,,,,,,,
,,2008 - 2009,93,169,1.82,,,,,,,,,,,,
,,2020 - 2021,,,,6,13,2.17,,,,,,,,,
,,2021 - 2022,,,,28,34,1.21,,,,,,,,,
,,2022 - 2023,,,,26,26,1,,,,,,,,,
,26. Purnia,2000 - 2001,105,90,0.86,,,,,,,,,,,,
,,2001 - 2002,85,68,0.8,,,,,,,,,,,,
,,2002 - 2003,166,125,0.75,,,,,,,,,,,,
,,2003 - 2004,92,76,0.83,,,,,,,,,,,,
,,2004 - 2005,88,67,0.76,,,,,,,,,,,,
,,2005 - 2006,103,59,0.57,,,,,,,,,,,,
,,2007 - 2008,37,21,0.57,,,,,,,,,,,,
,,2008 - 2009,60,97,1.62,,,,,,,,,,,,
,,2020 - 2021,,,,81,25,0.31,,,,,,,,,
,,2021 - 2022,,,,79,35,0.44,,,,,,,,,
,,2022 - 2023,,,,58,44,0.76,,,,,,,,,
,27. Rohtas,2000 - 2001,266,274,1.03,,,,,,,,,,,,
,,2001 - 2002,198,212,1.07,,,,,,,,,,,,
,,2002 - 2003,147,88,0.6,,,,,,,,,,,,
,,2003 - 2004,264,224,0.85,,,,,,,,,,,,
,,2004 - 2005,121,100,0.83,,,,,,,,,,,,
,,2005 - 2006,106,106,1,,,,,,,,,,,,
,,2007 - 2008,92,40,0.43,,,,,,,,,,,,
,,2008 - 2009,95,66,0.69,,,,,,,,,,,,
,28. Saharsa,2002 - 2003,9,6,0.67,,,,,,,,,,,,
,,2003 - 2004,12,9,0.75,,,,,,,,,,,,
,,2004 - 2005,4,3,0.75,,,,,,,,,,,,
,,2005 - 2006,1,1,1,,,,,,,,,,,,
,,2007 - 2008,2,1,0.5,,,,,,,,,,,,
,,2008 - 2009,31,44,1.42,,,,,,,,,,,,
,29. Samastipur,2000 - 2001,428,449,1.05,,,,,,,,,,,,
,,2001 - 2002,340,218,0.64,,,,,,,,,,,,
,,2002 - 2003,266,170,0.64,,,,,,,,,,,,
,,2003 - 2004,263,163,0.62,,,,,,,,,,,,
,,2004 - 2005,271,214,0.79,,,,,,,,,,,,
,,2005 - 2006,274,175,0.64,,,,,,,,,,,,
,,2007 - 2008,280,174,0.62,,,,,,,,,,,,
,,2008 - 2009,111,69,0.62,,,,,,,,,,,,
,,2020 - 2021,,,,124,76,0.61,,,,,,,,,
,,2021 - 2022,,,,128,354,2.77,,,,,,,,,
,,2022 - 2023,,,,129,260,2.02,,,,,,,,,
,30. Saran,2001 - 2002,9,9,1,,,,,,,,,,,,
,,2003 - 2004,5,3,0.6,,,,,,,,,,,,
,,2007 - 2008,13,17,1.31,,,,,,,,,,,,
,,2008 - 2009,16,23,1.44,,,,,,,,,,,,
