State,District,Year,Garlic,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2018 - 2019,10,150,15,,,,,,
,,2019 - 2020,15,153,10.2,,,,,,
,14. Mewat,2006 - 2007,1,,0,,,,,,
,,2007 - 2008,3,,0,,,,,,
,,2008 - 2009,3,,0,,,,,,
,,2013 - 2014,66,350,5.3,,,,,,
,,2014 - 2015,52,359,6.9,,,,,,
,,2015 - 2016,60,410,6.83,,,,,,
,,2016 - 2017,62,450,7.26,,,,,,
,,2017 - 2018,105,"1,060.00",10.1,,,,,,
,,2018 - 2019,125,"1,125.00",9,,,,,,
,,2019 - 2020,143,"1,350.00",9.44,,,,,,
,15. Palwal,2013 - 2014,35,235,6.71,,,,,,
,,2014 - 2015,60,400,6.67,,,,,,
,,2015 - 2016,80,540,6.75,,,,,,
,,2016 - 2017,60,450,7.5,,,,,,
,,2018 - 2019,90,750,8.33,,,,,,
,,2019 - 2020,175,"1,458.00",8.33,,,,,,
,,2021 - 2022,1,0,0,,,,,,
,16. Panchkula,2000 - 2001,16,200,12.5,,,,,,
,,2004 - 2005,1,,0,,,,,,
,,2006 - 2007,1,,0,,,,,,
,,2007 - 2008,24,200,8.33,,,,,,
,,2008 - 2009,61,400,6.56,,,,,,
,,2009 - 2010,52,500,9.62,,,,,,
,,2011 - 2012,21,,0,,,,,,
,,2012 - 2013,25,200,8,,,,,,
,,2013 - 2014,415,"2,640.00",6.36,,,,,,
,,2014 - 2015,55,705,12.82,,,,,,
,,2015 - 2016,55,705,12.82,,,,,,
,,2016 - 2017,65,800,12.31,,,,,,
,,2017 - 2018,60,720,12,,,,,,
,,2018 - 2019,45,720,16,,,,,,
,,2019 - 2020,40,400,10,,,,,,
,,2021 - 2022,20,0,0,,,,,,
,17. Panipat,2000 - 2001,6,0,0,,,,,,
,,2001 - 2002,5,0,0,,,,,,
,,2004 - 2005,5,,0,,,,,,
,,2006 - 2007,22,200,9.09,,,,,,
,,2009 - 2010,1,,0,,,,,,
,,2010 - 2011,1,,0,,,,,,
,,2011 - 2012,3,,0,,,,,,
,,2012 - 2013,7,100,14.29,,,,,,
,,2013 - 2014,82,670,8.17,,,,,,
,,2014 - 2015,80,660,8.25,,,,,,
,,2015 - 2016,100,"1,050.00",10.5,,,,,,
,,2016 - 2017,203,"2,210.00",10.89,,,,,,
,,2017 - 2018,30,390,13,,,,,,
,,2018 - 2019,90,"1,634.00",18.16,,,,,,
,,2019 - 2020,99,"1,824.00",18.42,,,,,,
,18. Rewari,2013 - 2014,40,220,5.5,,,,,,
,,2014 - 2015,40,350,8.75,,,,,,
,,2015 - 2016,40,355,8.88,,,,,,
,,2016 - 2017,40,260,6.5,,,,,,
,,2017 - 2018,44,430,9.77,,,,,,
,,2018 - 2019,42,460,10.95,,,,,,
,,2019 - 2020,40,435,10.88,,,,,,
,19. Rohtak,2000 - 2001,3,0,0,,,,,,
,,2013 - 2014,88,440,5,,,,,,
,,2014 - 2015,88,700,7.95,,,,,,
,,2015 - 2016,85,690,8.12,,,,,,
,,2016 - 2017,70,530,7.57,,,,,,
,,2017 - 2018,20,223,11.15,,,,,,
,20. Sirsa,2000 - 2001,27,300,11.11,,,,,,
,,2001 - 2002,9,100,11.11,,,,,,
,,2006 - 2007,86,"1,100.00",12.79,,,,,,
,,2007 - 2008,9,,0,,,,,,
,,2008 - 2009,15,100,6.67,,,,,,
,,2009 - 2010,136,800,5.88,,,,,,
,,2010 - 2011,80,100,1.25,,,,,,
,,2011 - 2012,219,200,0.91,,,,,,
,,2012 - 2013,101,"1,000.00",9.9,,,,,,
,,2013 - 2014,260,"2,500.00",9.62,,,,,,
,,2014 - 2015,170,"1,600.00",9.41,,,,,,
,,2015 - 2016,50,300,6,,,,,,
,,2016 - 2017,220,780,3.55,,,,,,
,,2017 - 2018,203,"1,400.00",6.9,,,,,,
,,2018 - 2019,235,"1,314.00",5.59,,,,,,
,,2019 - 2020,209,"1,170.00",5.6,,,,,,
,,2021 - 2022,168,0,0,,,,,,
,21. Sonipat,2013 - 2014,95,900,9.47,,,,,,
,,2014 - 2015,65,625,9.62,,,,,,
,,2015 - 2016,82,600,7.32,,,,,,
,,2016 - 2017,20,245,12.25,,,,,,
,,2018 - 2019,25,460,18.4,,,,,,
,,2019 - 2020,25,480,19.2,,,,,,
,22. Yamunanagar,2007 - 2008,233,"1,200.00",5.15,,,,,,
,,2008 - 2009,230,"1,800.00",7.83,,,,,,
,,2011 - 2012,240,200,0.83,,,,,,
,,2013 - 2014,900,"7,100.00",7.89,,,,,,
,,2014 - 2015,800,"7,100.00",8.88,,,,,,
,,2015 - 2016,700,"7,300.00",10.43,,,,,,
,,2016 - 2017,728,"8,118.00",11.15,,,,,,
,,2017 - 2018,"1,600.00","19,889.00",12.43,,,,,,
,,2018 - 2019,400,"7,470.00",18.68,,,,,,
,,2019 - 2020,512,"9,380.00",18.32,,,,,,
,,2021 - 2022,243,0,0,,,,,,
6. Himachal Pradesh,1. Bilaspur,2001 - 2002,42,39,0.93,,,,,,
,,2002 - 2003,55,49,0.89,,,,,,
,,2005 - 2006,,,,30,17,0.57,,,
,,2006 - 2007,,,,21,17,0.81,,,
,,2007 - 2008,,,,23,32,1.39,,,
,,2009 - 2010,,,,30,53,1.77,,,
,,2010 - 2011,,,,31,39,1.26,,,
,,2012 - 2013,,,,14,20,1.43,,,
,,2013 - 2014,,,,30,39,1.3,,,
,,2014 - 2015,,,,13,13,1,,,
,,2015 - 2016,,,,40,13,0.33,,,
,,2018 - 2019,,,,20,8,0.4,,,
,,2019 - 2020,,,,35,22,0.63,,,
,,2020 - 2021,,,,66,111,1.68,,,
,,2021 - 2022,,,,27,51,1.89,,,
,2. Chamba,2001 - 2002,75,44,0.59,,,,,,
,,2002 - 2003,58,20,0.34,,,,,,
,,2005 - 2006,,,,57,5,0.09,,,
,,2006 - 2007,,,,50,22,0.44,,,
,,2007 - 2008,,,,65,29,0.45,,,
,,2008 - 2009,,,,147,82,0.56,,,
,,2009 - 2010,,,,105,159,1.51,,,
,,2010 - 2011,,,,90,108,1.2,,,
,,2011 - 2012,,,,86,55,0.64,,,
,,2012 - 2013,,,,127,80,0.63,,,
,,2013 - 2014,,,,86,108,1.26,,,
,,2014 - 2015,,,,102,80,0.78,,,
,,2015 - 2016,,,,102,65,0.64,,,
,,2016 - 2017,,,,118,48,0.41,,,
,,2017 - 2018,,,,118,51,0.43,,,
,,2018 - 2019,,,,110,46,0.42,,,
,,2019 - 2020,,,,130,88,0.68,,,
,,2020 - 2021,,,,29,63,2.17,,,
,,2021 - 2022,,,,31,63,2.03,,,
,3. Hamirpur,2001 - 2002,8,8,1,,,,,,
,,2002 - 2003,9,12,1.33,,,,,,
,,2005 - 2006,,,,18,23,1.28,,,
,,2006 - 2007,,,,21,30,1.43,,,
,,2007 - 2008,,,,28,24,0.86,,,
,,2008 - 2009,,,,17,4,0.24,,,
,,2009 - 2010,,,,20,36,1.8,,,
,,2010 - 2011,,,,22,32,1.45,,,
,,2011 - 2012,,,,9,10,1.11,,,
,,2013 - 2014,,,,22,32,1.45,,,
,,2014 - 2015,,,,11,,0,,,
,,2015 - 2016,,,,22,14,0.64,,,
,,2016 - 2017,,,,12,2,0.17,,,
,,2017 - 2018,,,,12,7,0.58,,,
,,2018 - 2019,,,,18,10,0.56,,,
,,2019 - 2020,,,,25,16,0.64,,,
,,2020 - 2021,,,,22,50,2.27,,,
,,2021 - 2022,,,,25,56,2.24,,,
,4. Kangra,2001 - 2002,49,65,1.33,,,,,,
,,2002 - 2003,49,32,0.65,,,,,,
,,2005 - 2006,,,,44,42,0.95,,,
,,2006 - 2007,,,,30,34,1.13,,,
,,2007 - 2008,,,,27,32,1.19,,,
,,2008 - 2009,,,,17,7,0.41,,,
,,2009 - 2010,,,,40,70,1.75,,,
,,2010 - 2011,,,,44,68,1.55,,,
,,2011 - 2012,,,,67,89,1.33,,,
,,2012 - 2013,,,,69,91,1.32,,,
,,2013 - 2014,,,,41,68,1.66,,,
,,2014 - 2015,,,,77,80,1.04,,,
,,2015 - 2016,,,,42,68,1.62,,,
,,2016 - 2017,,,,13,3,0.23,,,
,,2017 - 2018,,,,13,8,0.62,,,
,,2018 - 2019,,,,38,23,0.61,,,
,,2019 - 2020,,,,42,26,0.62,,,
,,2020 - 2021,,,,43,98,2.28,,,
,,2021 - 2022,,,,35,82,2.34,,,
,5. Kullu,2001 - 2002,605,558,0.92,,,,,,
,,2002 - 2003,"1,333.00",702,0.53,,,,,,
,,2005 - 2006,,,,594,299,0.5,,,
,,2006 - 2007,,,,569,458,0.8,,,
,,2007 - 2008,,,,783,984,1.26,,,
,,2008 - 2009,,,,296,116,0.39,,,
,,2009 - 2010,,,,900,"1,390.00",1.54,,,
,,2010 - 2011,,,,921,"1,196.00",1.3,,,
,,2011 - 2012,,,,830,743,0.9,,,
,,2012 - 2013,,,,920,852,0.93,,,
,,2013 - 2014,,,,915,"1,196.00",1.31,,,
,,2014 - 2015,,,,"1,027.00","1,030.00",1,,,
,,2015 - 2016,,,,770,928,1.21,,,
,,2016 - 2017,,,,190,92,0.48,,,
,,2017 - 2018,,,,190,108,0.57,,,
,,2018 - 2019,,,,210,119,0.57,,,
,,2019 - 2020,,,,215,144,0.67,,,
,,2020 - 2021,,,,"1,270.00","2,286.00",1.8,,,
,,2021 - 2022,,,,"1,225.00","2,205.00",1.8,,,
,6. Mandi,2001 - 2002,163,58,0.36,,,,,,
,,2002 - 2003,403,133,0.33,,,,,,
,,2005 - 2006,,,,341,515,1.51,,,
,,2006 - 2007,,,,259,366,1.41,,,
,,2007 - 2008,,,,590,833,1.41,,,
,,2008 - 2009,,,,593,157,0.26,,,
,,2009 - 2010,,,,260,430,1.65,,,
,,2010 - 2011,,,,261,384,1.47,,,
,,2011 - 2012,,,,296,367,1.24,,,
,,2012 - 2013,,,,307,312,1.02,,,
,,2013 - 2014,,,,255,384,1.51,,,
,,2014 - 2015,,,,258,253,0.98,,,
,,2015 - 2016,,,,260,319,1.23,,,
,,2016 - 2017,,,,446,100,0.22,,,
,,2017 - 2018,,,,446,195,0.44,,,
,,2018 - 2019,,,,373,164,0.44,,,
,,2019 - 2020,,,,370,237,0.64,,,
,,2020 - 2021,,,,481,661,1.37,,,
,,2021 - 2022,,,,603,845,1.4,,,
,7. Shimla,2001 - 2002,23,29,1.26,,,,,,
,,2002 - 2003,89,35,0.39,,,,,,
,,2005 - 2006,,,,174,184,1.06,,,
,,2006 - 2007,,,,122,172,1.41,,,
,,2007 - 2008,,,,136,192,1.41,,,
,,2008 - 2009,,,,219,109,0.5,,,
,,2009 - 2010,,,,360,580,1.61,,,
,,2010 - 2011,,,,359,509,1.42,3,4,1.33
,,2011 - 2012,,,,341,391,1.15,,,
,,2012 - 2013,,,,273,342,1.25,,,
,,2013 - 2014,,,,355,509,1.43,,,
,,2014 - 2015,,,,346,422,1.22,,,
,,2015 - 2016,,,,350,427,1.22,,,
,,2016 - 2017,,,,194,78,0.4,,,
,,2017 - 2018,,,,194,111,0.57,,,
,,2018 - 2019,,,,205,116,0.57,,,
,,2019 - 2020,,,,198,133,0.67,,,
,,2020 - 2021,,,,298,633,2.12,,,
,,2021 - 2022,,,,357,758,2.12,,,
,8. Sirmaur,2001 - 2002,606,888,1.47,,,,,,
,,2002 - 2003,"1,085.00","1,341.00",1.24,,,,,,
,,2005 - 2006,,,,"1,632.00",821,0.5,,,
,,2006 - 2007,,,,"1,824.00","1,352.00",0.74,,,
,,2007 - 2008,,,,"2,589.00","3,314.00",1.28,,,
,,2008 - 2009,,,,"2,696.00",723,0.27,,,
,,2009 - 2010,,,,"3,100.00","5,700.00",1.84,,,
,,2010 - 2011,,,,"3,255.00","5,121.00",1.57,,,
,,2011 - 2012,,,,"2,467.00","4,123.00",1.67,,,
,,2012 - 2013,,,,"2,551.00","4,273.00",1.68,,,
,,2013 - 2014,,,,"3,215.00","5,121.00",1.59,,,
,,2014 - 2015,,,,"2,733.00","4,576.00",1.67,,,
,,2015 - 2016,,,,"2,767.00","4,625.00",1.67,,,
,,2016 - 2017,,,,"2,332.00",567,0.24,,,
,,2017 - 2018,,,,"2,332.00",770,0.33,,,
,,2018 - 2019,,,,"2,575.00",901,0.35,,,
,,2019 - 2020,,,,"2,875.00","1,869.00",0.65,,,
,,2020 - 2021,,,,"4,164.00","8,562.00",2.06,,,
,,2021 - 2022,,,,"4,530.00","9,319.00",2.06,,,
,9. Solan,2001 - 2002,20,23,1.15,,,,,,
,,2002 - 2003,88,54,0.61,,,,,,
,,2005 - 2006,,,,87,54,0.62,,,
,,2006 - 2007,,,,27,28,1.04,,,
,,2007 - 2008,,,,45,28,0.62,,,
,,2008 - 2009,,,,34,24,0.71,,,
,,2009 - 2010,,,,20,34,1.7,,,
,,2010 - 2011,,,,19,28,1.47,,,
,,2012 - 2013,,,,26,39,1.5,,,
,,2013 - 2014,,,,19,28,1.47,,,
,,2014 - 2015,,,,18,27,1.5,,,
,,2015 - 2016,,,,28,40,1.43,,,
,,2016 - 2017,,,,28,11,0.39,,,
,,2017 - 2018,,,,28,14,0.5,,,
,,2018 - 2019,,,,31,15,0.48,,,
,,2019 - 2020,,,,35,26,0.74,,,
,,2020 - 2021,,,,88,123,1.4,,,
,,2021 - 2022,,,,60,84,1.4,,,
,10. Una,2001 - 2002,6,7,1.17,,,,,,
,,2002 - 2003,11,1,0.09,,,,,,
,,2005 - 2006,,,,9,5,0.56,,,
,,2006 - 2007,,,,9,11,1.22,,,
,,2007 - 2008,,,,13,18,1.38,,,
,,2008 - 2009,,,,17,24,1.41,,,
,,2009 - 2010,,,,25,39,1.56,,,
,,2010 - 2011,,,,22,31,1.41,,,
,,2011 - 2012,,,,14,21,1.5,,,
,,2012 - 2013,,,,11,17,1.55,,,
,,2013 - 2014,,,,23,31,1.35,,,
,,2014 - 2015,,,,23,38,1.65,,,
,,2015 - 2016,,,,23,38,1.65,,,
,,2016 - 2017,,,,9,11,1.22,,,
,,2017 - 2018,,,,9,11,1.22,,,
,,2018 - 2019,,,,16,19,1.19,,,
,,2019 - 2020,,,,18,14,0.78,,,
,,2020 - 2021,,,,45,112,2.49,,,
,,2021 - 2022,,,,47,118,2.51,,,
7. Jammu and Kashmir,1. Anantnag,2008 - 2009,,,,4,3.2,0.8,,,
,,2017 - 2018,,,,13,8.5,0.65,,,
,2. Badgam,2000 - 2001,14,11,0.79,,,,,,
,,2006 - 2007,,,,38,30.4,0.8,,,
,,2007 - 2008,,,,38,30.4,0.8,85,63.8,0.75
,,2008 - 2009,,,,110,88,0.8,,,
,,2009 - 2010,,,,105,84.2,0.8,99,74.5,0.75
,,2010 - 2011,,,,119,95.4,0.8,27,20.3,0.75
,,2011 - 2012,,,,237,190,0.8,18,13.6,0.76
,,2012 - 2013,,,,130,104.2,0.8,2,1.5,0.75
,,2013 - 2014,,,,130,104.2,0.8,,,
,,2015 - 2016,,,,17,13.6,0.8,,,
,,2016 - 2017,,,,17,13.6,0.8,,,
,,2017 - 2018,,,,10,8,0.8,,,
,,2018 - 2019,,,,11,8.8,0.8,,,
,,2019 - 2020,,,,8,6.4,0.8,,,
,,2020 - 2021,,,,11,8.8,0.8,,,
,,2021 - 2022,,,,7,5.6,0.8,,,
,,2022 - 2023,,,,10,8,0.8,,,
,3. Doda,2000 - 2001,2,2,1,,,,,,
,,2006 - 2007,,,,3,1.9,0.63,,,
,,2007 - 2008,,,,3,1.9,0.63,,,
,,2009 - 2010,,,,14,13.1,0.94,,,
,,2010 - 2011,,,,16,15,0.94,,,
,,2011 - 2012,,,,18,16.9,0.94,,,
,,2012 - 2013,,,,18,16.9,0.94,,,
,,2013 - 2014,,,,18,16.9,0.94,,,
,,2015 - 2016,,,,25,23.4,0.94,,,
,,2016 - 2017,,,,45,42.1,0.94,,,
,,2018 - 2019,,,,12,10.3,0.86,,,
,,2019 - 2020,,,,16,13.73,0.86,,,
,,2020 - 2021,,,,18,15.4,0.86,,,
,,2021 - 2022,,,,30,25.7,0.86,,,
,,2022 - 2023,,,,39,33.37,0.86,,,
,4. Jammu,2000 - 2001,15,14,0.93,,,,,,
,,2006 - 2007,,,,9,8.2,0.91,,,
,,2007 - 2008,,,,9,8.2,0.91,,,
,,2008 - 2009,,,,17,15.5,0.91,,,
,,2009 - 2010,,,,18,16.6,0.92,,,
,,2010 - 2011,,,,22,22,1,,,
,,2011 - 2012,,,,13,13,1,,,
,,2012 - 2013,,,,14,14,1,,,
,,2013 - 2014,,,,14,14,1,,,
,,2015 - 2016,,,,50,42.5,0.85,,,
,,2016 - 2017,,,,47,40,0.85,,,
,,2018 - 2019,,,,46,34.8,0.76,,,
,,2019 - 2020,,,,46,34.8,0.76,,,
,,2020 - 2021,,,,46,34.8,0.76,,,
,,2022 - 2023,,,,1,0.3,0.3,,,
,5. Kathua,2000 - 2001,1,1,1,,,,,,
,,2006 - 2007,,,,17,12.5,0.74,,,
,,2007 - 2008,,,,17,12.5,0.74,,,
,,2008 - 2009,,,,21,15.4,0.73,,,
,,2009 - 2010,,,,27,20.1,0.74,,,
,,2010 - 2011,,,,29,21.6,0.74,,,
,,2011 - 2012,,,,29,21.6,0.74,,,
,,2012 - 2013,,,,29,21.6,0.74,,,
,,2013 - 2014,,,,29,21.6,0.74,,,
,,2015 - 2016,,,,57,42.3,0.74,,,
,,2016 - 2017,,,,41,30.4,0.74,,,
,,2017 - 2018,,,,42,31.1,0.74,,,
,,2018 - 2019,,,,40,29.6,0.74,,,
,,2019 - 2020,,,,41,30.34,0.74,,,
,,2020 - 2021,,,,40,29.6,0.74,,,
,,2021 - 2022,,,,40,29.6,0.74,,,
,,2022 - 2023,,,,40,29.6,0.74,,,
,6. Kishtwar,2016 - 2017,,,,1,0.9,0.9,,,
,7. Kulgam,2021 - 2022,,,,131,36.1,0.28,,,
,,2022 - 2023,,,,86,23.7,0.28,,,
,8. Poonch,2000 - 2001,58,50,0.86,,,,,,
,,2006 - 2007,,,,117,100.8,0.86,,,
,,2007 - 2008,,,,117,100.8,0.86,,,
,,2008 - 2009,,,,120,103.4,0.86,,,
,,2009 - 2010,,,,129,111.3,0.86,,,
,,2010 - 2011,,,,104,89.7,0.86,,,
,,2011 - 2012,,,,117,100.9,0.86,,,
,,2012 - 2013,,,,122,105.2,0.86,,,
,,2013 - 2014,,,,122,105.2,0.86,,,
,,2015 - 2016,,,,130,111.9,0.86,,,
,,2016 - 2017,,,,120,103.3,0.86,,,
,,2017 - 2018,,,,137,117.9,0.86,,,
,,2018 - 2019,,,,111,95.5,0.86,,,
,,2019 - 2020,,,,88,75.71,0.86,,,
,,2020 - 2021,,,,69,59.3,0.86,,,
,,2021 - 2022,,,,95,81.6,0.86,,,
,,2022 - 2023,,,,92,79.07,0.86,,,
,9. Pulwama,2016 - 2017,,,,14,9.1,0.65,,,
,10. Rajauri,2000 - 2001,21,20,0.95,,,,,,
,,2006 - 2007,,,,124,115.1,0.93,,,
,,2007 - 2008,,,,124,115.1,0.93,,,
,,2008 - 2009,,,,122,113.2,0.93,,,
,,2009 - 2010,,,,56,52.1,0.93,,,
,,2010 - 2011,,,,163,151.6,0.93,,,
,,2011 - 2012,,,,156,145.1,0.93,,,
,,2012 - 2013,,,,174,161.8,0.93,,,
,,2013 - 2014,,,,174,161.8,0.93,,,
,,2015 - 2016,,,,94,87.4,0.93,,,
,,2016 - 2017,,,,117,108.8,0.93,,,
,,2017 - 2018,,,,150,139.5,0.93,,,
,,2018 - 2019,,,,115,107,0.93,,,
,,2019 - 2020,,,,121,112.58,0.93,,,
,,2020 - 2021,,,,151,140.5,0.93,,,
,,2021 - 2022,,,,165,153.5,0.93,,,
,,2022 - 2023,,,,244,227.03,0.93,,,
,11. Reasi,2007 - 2008,,,,26,21.9,0.84,,,
,,2008 - 2009,,,,28,23.6,0.84,,,
,,2009 - 2010,,,,26,22.3,0.86,,,
,,2010 - 2011,,,,28,24,0.86,,,
,,2011 - 2012,,,,15,12.9,0.86,,,
,,2012 - 2013,,,,10,8.6,0.86,,,
,,2013 - 2014,,,,10,8.6,0.86,,,
,,2016 - 2017,,,,2,1.8,0.9,,,
,,2019 - 2020,,,,2,1.5,0.75,,,
,,2020 - 2021,,,,2,1.5,0.75,,,
,,2021 - 2022,,,,2,1.5,0.75,,,
,12. Srinagar,2000 - 2001,48,30,0.63,,,,,,
,,2006 - 2007,,,,48,30.6,0.64,,,
,,2007 - 2008,,,,48,30.6,0.64,18,13.5,0.75
,,2008 - 2009,,,,43,27.4,0.64,,,
,,2009 - 2010,,,,43,27.6,0.64,15,11.4,0.76
,,2010 - 2011,,,,17,10.9,0.64,14,10.6,0.76
,,2011 - 2012,,,,34,21.8,0.64,,,
,,2012 - 2013,,,,33,21.1,0.64,,,
,,2013 - 2014,,,,33,21.1,0.64,,,
,,2015 - 2016,,,,189,120.7,0.64,,,
,,2016 - 2017,,,,189,120.7,0.64,,,
,,2017 - 2018,,,,188,120.1,0.64,,,
,,2018 - 2019,,,,189,120.7,0.64,,,
,,2019 - 2020,,,,189,120.7,0.64,,,
,,2020 - 2021,,,,167,106.7,0.64,,,
,,2021 - 2022,,,,167,106.7,0.64,,,
,,2022 - 2023,,,,167,106.7,0.64,,,
,13. Udhampur,2000 - 2001,42,37,0.88,,,,,,
,,2006 - 2007,,,,168,151.9,0.9,31,35.7,1.15
,,2007 - 2008,,,,142,130,0.92,,,
,,2008 - 2009,,,,139,127.3,0.92,,,
,,2009 - 2010,,,,70,64.1,0.92,,,
,,2010 - 2011,,,,64,58.6,0.92,,,
,,2011 - 2012,,,,74,67.8,0.92,,,
,,2012 - 2013,,,,123,112.7,0.92,,,
,,2013 - 2014,,,,123,112.7,0.92,,,
,,2015 - 2016,,,,297,271.1,0.91,,,
,,2016 - 2017,,,,152,138.7,0.91,,,
,,2017 - 2018,,,,139,126.8,0.91,,,
,,2018 - 2019,,,,151,137.7,0.91,,,
,,2019 - 2020,,,,151,137.7,0.91,,,
,,2020 - 2021,,,,131,119.4,0.91,,,
,,2021 - 2022,,,,136,124,0.91,,,
,,2022 - 2023,,,,145,132.16,0.91,,,
8. Karnataka,1. Bagalkot,2000 - 2001,27,22,0.81,,,,,,
,,2002 - 2003,18,15,0.83,,,,,,
,,2003 - 2004,150,124,0.83,,,,,,
,,2004 - 2005,150,124,0.83,,,,,,
,,2005 - 2006,60,50,0.83,,,,,,
,,2006 - 2007,55,46,0.84,,,,,,
,,2007 - 2008,23,64,2.78,,,,,,
,,2008 - 2009,30,61,2.03,,,,,,
,,2009 - 2010,25,32,1.28,,,,,,
,,2010 - 2011,16,21,1.31,,,,,,
,,2011 - 2012,13,16,1.23,,,,,,
,,2012 - 2013,10,13,1.3,,,,,,
,,2015 - 2016,7,9,1.29,,,,,,
,,2016 - 2017,40,33,0.83,,,,,,
,,2017 - 2018,15,13,0.87,,,,,,
,,2018 - 2019,7,46,6.57,,,,,,
,,2019 - 2020,5,26,5.2,,,,,,
,,2020 - 2021,64,338,5.28,,,,,,
,,2021 - 2022,18,93,5.17,,,,,,
,,2022 - 2023,2,16,8,,,,,,
,2. Bangalore rural,2000 - 2001,3,3,1,,,,,,
,,2005 - 2006,8,9,1.13,,,,,,
,,2006 - 2007,4,5,1.25,,,,,,
,,2007 - 2008,4,4,1,,,,,,
,,2008 - 2009,3,7,2.33,,,,,,
,,2009 - 2010,6,8,1.33,,,,,,
,,2010 - 2011,9,12,1.33,,,,,,
,,2011 - 2012,9,11,1.22,,,,,,
,,2012 - 2013,1,1,1,,,,,,
,,2013 - 2014,1,1,1,,,,,,
,,2014 - 2015,3,3,1,,,,,,
,,2015 - 2016,4,5,1.25,,,,,,
,,2017 - 2018,1,1,1,,,,,,
,,2018 - 2019,4,27,6.75,,,,,,
,,2020 - 2021,1,5,5,,,,,,
,,2021 - 2022,4,22,5.5,,,,,,
,,2022 - 2023,5,29,5.8,,,,,,
,3. Belgaum,2000 - 2001,558,667,1.2,,,,,,
,,2002 - 2003,531,635,1.2,,,,,,
,,2003 - 2004,285,341,1.2,,,,,,
,,2004 - 2005,425,508,1.2,,,,,,
,,2005 - 2006,509,609,1.2,,,,,,
,,2006 - 2007,465,556,1.2,,,,,,
,,2007 - 2008,868,897,1.03,,,,,,
,,2008 - 2009,665,"3,319.00",4.99,,,,,,
,,2009 - 2010,885,583,0.66,,,,,,
,,2010 - 2011,"1,146.00","2,538.00",2.21,,,,,,
,,2011 - 2012,"1,042.00","2,995.00",2.87,,,,,,
,,2012 - 2013,623,"1,790.00",2.87,,,,,,
,,2013 - 2014,648,"1,309.00",2.02,,,,,,
,,2014 - 2015,720,"1,652.00",2.29,,,,,,
,,2015 - 2016,"1,013.00","1,535.00",1.52,,,,,,
,,2016 - 2017,762,"1,009.00",1.32,,,,,,
,,2017 - 2018,453,830,1.83,,,,,,
,,2018 - 2019,295,"1,082.00",3.67,,,,,,
,,2019 - 2020,95,700,7.37,,,,,,
,,2020 - 2021,845,"4,458.00",5.28,,,,,,
,,2021 - 2022,472,"2,586.00",5.48,,,,,,
,,2022 - 2023,271,"2,112.00",7.79,,,,,,
,4. Bellary,2000 - 2001,2,5,2.5,,,,,,
,,2002 - 2003,4,11,2.75,,,,,,
,,2003 - 2004,3,8,2.67,,,,,,
,,2004 - 2005,1,3,3,,,,,,
,,2016 - 2017,2,2,1,,,,,,
,,2018 - 2019,3,20,6.67,,,,,,
,,2019 - 2020,2,10,5,,,,,,
,,2020 - 2021,7,37,5.29,,,,,,
,,2021 - 2022,7,39,5.57,,,,,,
,5. Bengaluru urban,2002 - 2003,8,6,0.75,,,,,,
,,2003 - 2004,12,9,0.75,,,,,,
,,2004 - 2005,13,10,0.77,,,,,,
,,2005 - 2006,16,12,0.75,,,,,,
,,2006 - 2007,14,11,0.79,,,,,,
,,2007 - 2008,13,13,1,,,,,,
,,2008 - 2009,19,42,2.21,,,,,,
,,2009 - 2010,19,27,1.42,,,,,,
,,2010 - 2011,18,23,1.28,,,,,,
,,2011 - 2012,20,25,1.25,,,,,,
,,2012 - 2013,2,3,1.5,,,,,,
,,2013 - 2014,2,2,1,,,,,,
,,2018 - 2019,3,20,6.67,,,,,,
,,2019 - 2020,1,5,5,,,,,,
,,2020 - 2021,1,5,5,,,,,,
,,2021 - 2022,1,6,6,,,,,,
,,2022 - 2023,1,8,8,,,,,,
,6. Bidar,2000 - 2001,46,87,1.89,,,,,,
,,2002 - 2003,104,197,1.89,,,,,,
,,2003 - 2004,73,138,1.89,,,,,,
,,2004 - 2005,85,161,1.89,,,,,,
,,2005 - 2006,75,142,1.89,,,,,,
,,2006 - 2007,60,113,1.88,,,,,,
,,2007 - 2008,74,76,1.03,,,,,,
,,2008 - 2009,67,147,2.19,,,,,,
,,2009 - 2010,107,150,1.4,,,,,,
,,2010 - 2011,135,174,1.29,,,,,,
,,2011 - 2012,182,227,1.25,,,,,,
,,2012 - 2013,128,167,1.3,,,,,,
,,2013 - 2014,93,98,1.05,,,,,,
,,2014 - 2015,50,55,1.1,,,,,,
,,2015 - 2016,43,58,1.35,,,,,,
,,2016 - 2017,21,17,0.81,,,,,,
,,2017 - 2018,15,13,0.87,,,,,,
,,2018 - 2019,79,524,6.63,,,,,,
,,2019 - 2020,3,15,5,,,,,,
,,2020 - 2021,139,735,5.29,,,,,,
,,2021 - 2022,100,529,5.29,,,,,,
,,2022 - 2023,74,588,7.95,,,,,,
,7. Bijapur,2000 - 2001,387,321,0.83,,,,,,
,,2002 - 2003,582,482,0.83,,,,,,
,,2003 - 2004,200,166,0.83,,,,,,
