State,District,Year,Cashewnut,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2014 - 2015,,,,,,,"29,608.00","15,159.00",0.51
,,2015 - 2016,,,,,,,"29,713.00","9,984.00",0.34
,,2016 - 2017,,,,,,,"29,985.00","13,943.00",0.46
,,2017 - 2018,,,,,,,"28,453.00","19,735.00",0.69
,,2018 - 2019,,,,,,,"29,300.00","26,714.00",0.91
,,2019 - 2020,,,,,,,"33,394.00","33,394.00",1
,4. Guntur,2000 - 2001,97,21,0.22,,,,,,
,,2001 - 2002,150,41,0.27,,,,,,
,,2002 - 2003,150,19,0.13,,,,,,
,,2003 - 2004,150,40,0.27,,,,,,
,,2004 - 2005,159,34,0.21,,,,,,
,,2005 - 2006,159,42,0.26,,,,,,
,,2006 - 2007,159,42,0.26,,,,,,
,,2008 - 2009,156,45,0.29,,,,,,
,,2009 - 2010,166,49,0.3,,,,,,
,,2010 - 2011,162,39,0.24,,,,,,
,,2011 - 2012,162,42,0.26,,,,,,
,,2012 - 2013,,,,,,,154,42,0.27
,,2013 - 2014,,,,,,,154,49,0.32
,,2014 - 2015,,,,,,,152,53,0.35
,,2015 - 2016,,,,,,,152,57,0.38
,,2016 - 2017,,,,,,,116,50,0.43
,,2017 - 2018,,,,,,,121,32,0.26
,,2018 - 2019,,,,,,,115,97,0.84
,5. Kadapa,2000 - 2001,7,2,0.29,,,,,,
,,2001 - 2002,7,2,0.29,,,,,,
,,2002 - 2003,7,1,0.14,,,,,,
,,2003 - 2004,7,2,0.29,,,,,,
,,2004 - 2005,7,2,0.29,,,,,,
,,2005 - 2006,7,2,0.29,,,,,,
,,2006 - 2007,6,2,0.33,,,,,,
,,2008 - 2009,6,2,0.33,,,,,,
,,2009 - 2010,6,2,0.33,,,,,,
,,2010 - 2011,6,1,0.17,,,,,,
,,2011 - 2012,6,2,0.33,,,,,,
,,2012 - 2013,,,,,,,7,2,0.29
,,2013 - 2014,,,,,,,6,2,0.33
,,2014 - 2015,,,,,,,6,2,0.33
,,2015 - 2016,,,,,,,8,3,0.38
,,2016 - 2017,,,,,,,6,3,0.5
,,2017 - 2018,,,,,,,7,,0
,,2018 - 2019,,,,,,,7,,0
,6. Krishna,2000 - 2001,824,180,0.22,,,,,,
,,2001 - 2002,803,220,0.27,,,,,,
,,2002 - 2003,478,59,0.12,,,,,,
,,2003 - 2004,355,95,0.27,,,,,,
,,2004 - 2005,337,72,0.21,,,,,,
,,2005 - 2006,307,82,0.27,,,,,,
,,2006 - 2007,307,81,0.26,,,,,,
,,2008 - 2009,282,82,0.29,,,,,,
,,2009 - 2010,259,77,0.3,,,,,,
,,2010 - 2011,170,41,0.24,,,,,,
,,2011 - 2012,180,46,0.26,,,,,,
,,2012 - 2013,,,,,,,127,34,0.27
,,2013 - 2014,,,,,,,122,38,0.31
,,2014 - 2015,,,,,,,115,40,0.35
,,2015 - 2016,,,,,,,115,43,0.37
,,2016 - 2017,,,,,,,115,50,0.43
,,2017 - 2018,,,,,,,77,142,1.84
,,2018 - 2019,,,,,,,85,94,1.11
,,2019 - 2020,,,,,,,81,81,1
,7. Prakasam,2000 - 2001,761,166,0.22,,,,,,
,,2001 - 2002,702,193,0.27,,,,,,
,,2002 - 2003,687,85,0.12,,,,,,
,,2003 - 2004,698,187,0.27,,,,,,
,,2004 - 2005,689,147,0.21,,,,,,
,,2005 - 2006,648,173,0.27,,,,,,
,,2006 - 2007,672,177,0.26,,,,,,
,,2008 - 2009,"1,060.00",339,0.32,,,,,,
,,2009 - 2010,"1,063.00",316,0.3,,,,,,
,,2010 - 2011,"1,056.00",253,0.24,,,,,,
,,2011 - 2012,"1,078.00",277,0.26,,,,,,
,,2012 - 2013,,,,,,,"1,045.00",283,0.27
,,2013 - 2014,,,,,,,"1,029.00",324,0.31
,,2014 - 2015,,,,,,,958,335,0.35
,,2015 - 2016,,,,,,,922,343,0.37
,,2016 - 2017,,,,,,,919,397,0.43
,,2017 - 2018,,,,,,,195,"1,436.00",7.36
,,2018 - 2019,,,,,,,139,766,5.51
,,2019 - 2020,,,,,,,957,957,1
,8. Spsr nellore,2000 - 2001,743,162,0.22,,,,,,
,,2001 - 2002,665,183,0.28,,,,,,
,,2002 - 2003,778,97,0.12,,,,,,
,,2003 - 2004,806,216,0.27,,,,,,
,,2004 - 2005,733,157,0.21,,,,,,
,,2005 - 2006,662,176,0.27,,,,,,
,,2006 - 2007,674,178,0.26,,,,,,
,,2008 - 2009,479,140,0.29,,,,,,
,,2009 - 2010,480,143,0.3,,,,,,
,,2010 - 2011,491,118,0.24,,,,,,
,,2011 - 2012,453,116,0.26,,,,,,
,,2012 - 2013,,,,,,,390,106,0.27
,,2013 - 2014,,,,,,,393,124,0.32
,,2014 - 2015,,,,,,,211,74,0.35
,,2015 - 2016,,,,,,,169,63,0.37
,,2016 - 2017,,,,,,,169,73,0.43
,,2017 - 2018,,,,,,,154,970,6.3
,,2018 - 2019,,,,,,,156,78,0.5
,,2019 - 2020,,,,,,,20,20,1
,9. Srikakulam,2000 - 2001,"18,571.00","6,339.00",0.34,,,,,,
,,2001 - 2002,"18,901.00","7,965.00",0.42,,,,,,
,,2002 - 2003,"19,080.00","8,414.00",0.44,,,,,,
,,2003 - 2004,"19,494.00","7,427.00",0.38,,,,,,
,,2004 - 2005,"19,902.00","9,016.00",0.45,,,,,,
,,2005 - 2006,"20,240.00","8,152.00",0.4,,,,,,
,,2006 - 2007,"20,943.00","7,226.00",0.35,,,,,,
,,2008 - 2009,"22,971.00","5,972.00",0.26,,,,,,
,,2009 - 2010,"22,971.00","9,165.00",0.4,,,,,,
,,2010 - 2011,"23,355.00","8,442.00",0.36,,,,,,
,,2011 - 2012,"23,897.00","8,700.00",0.36,,,,,,
,,2012 - 2013,,,,,,,"22,485.00","8,230.00",0.37
,,2013 - 2014,,,,,,,"22,600.00","8,543.00",0.38
,,2014 - 2015,,,,,,,"22,111.00","8,623.00",0.39
,,2015 - 2016,,,,,,,"23,561.00","7,775.00",0.33
,,2016 - 2017,,,,,,,"23,823.00","8,648.00",0.36
,,2017 - 2018,,,,,,,"24,032.00","28,645.00",1.19
,,2018 - 2019,,,,,,,"24,346.00","21,219.00",0.87
,,2019 - 2020,,,,,,,"26,714.00","26,714.00",1
,10. Visakhapatanam,2000 - 2001,"29,540.00","7,313.00",0.25,,,,,,
,,2001 - 2002,"29,675.00","14,486.00",0.49,,,,,,
,,2002 - 2003,"31,179.00","3,802.00",0.12,,,,,,
,,2003 - 2004,"31,045.00","16,996.00",0.55,,,,,,
,,2004 - 2005,"32,611.00","6,204.00",0.19,,,,,,
,,2005 - 2006,"32,029.00","7,239.00",0.23,,,,,,
,,2006 - 2007,"30,626.00","10,188.00",0.33,,,,,,
,,2008 - 2009,"32,516.00","7,855.00",0.24,,,,,,
,,2009 - 2010,"32,264.00","8,825.00",0.27,,,,,,
,,2010 - 2011,"31,731.00","6,821.00",0.21,,,,,,
,,2011 - 2012,"33,639.00","3,621.00",0.11,,,,,,
,,2012 - 2013,,,,,,,"32,074.00","7,382.00",0.23
,,2013 - 2014,,,,,,,"32,321.00","9,599.00",0.3
,,2014 - 2015,,,,,,,"29,367.00","5,638.00",0.19
,,2015 - 2016,,,,,,,"30,319.00","9,005.00",0.3
,,2016 - 2017,,,,,,,"28,596.00","11,667.00",0.41
,,2017 - 2018,,,,,,,"29,770.00","20,421.00",0.69
,,2018 - 2019,,,,,,,"29,055.00","24,180.00",0.83
,,2019 - 2020,,,,,,,"34,663.00","34,663.00",1
,11. Vizianagaram,2000 - 2001,"8,266.00","1,801.00",0.22,,,,,,
,,2001 - 2002,"9,138.00","2,512.00",0.27,,,,,,
,,2002 - 2003,"10,741.00","1,335.00",0.12,,,,,,
,,2003 - 2004,"11,179.00","2,996.00",0.27,,,,,,
,,2004 - 2005,"11,434.00","2,445.00",0.21,,,,,,
,,2005 - 2006,"11,686.00","3,112.00",0.27,,,,,,
,,2006 - 2007,"11,686.00","3,083.00",0.26,,,,,,
,,2008 - 2009,"14,874.00","4,344.00",0.29,,,,,,
,,2009 - 2010,"16,343.00","4,864.00",0.3,,,,,,
,,2010 - 2011,"16,477.00","3,948.00",0.24,,,,,,
,,2011 - 2012,"16,430.00","4,034.00",0.25,,,,,,
,,2012 - 2013,,,,,,,"15,374.00","4,335.00",0.28
,,2013 - 2014,,,,,,,"15,106.00","4,955.00",0.33
,,2014 - 2015,,,,,,,"13,642.00","3,438.00",0.25
,,2015 - 2016,,,,,,,"9,743.00","2,066.00",0.21
,,2016 - 2017,,,,,,,"16,488.00","4,386.00",0.27
,,2017 - 2018,,,,,,,"17,302.00","10,146.00",0.59
,,2018 - 2019,,,,,,,"17,801.00","12,757.00",0.72
,,2019 - 2020,,,,,,,"3,136.00","3,136.00",1
,12. West godavari,2000 - 2001,"42,702.00","8,824.00",0.21,,,,,,
,,2001 - 2002,"42,195.00","6,854.00",0.16,,,,,,
,,2002 - 2003,"42,464.00","2,482.00",0.06,,,,,,
,,2003 - 2004,"41,674.00","6,068.00",0.15,,,,,,
,,2004 - 2005,"40,257.00","8,934.00",0.22,,,,,,
,,2005 - 2006,"39,890.00","12,637.00",0.32,,,,,,
,,2006 - 2007,"38,718.00","7,136.00",0.18,,,,,,
,,2008 - 2009,"36,541.00","15,737.00",0.43,,,,,,
,,2009 - 2010,"24,633.00","6,182.00",0.25,,,,,,
,,2010 - 2011,"23,379.00","5,700.00",0.24,,,,,,
,,2011 - 2012,"22,134.00","10,636.00",0.48,,,,,,
,,2012 - 2013,,,,,,,"18,518.00","6,055.00",0.33
,,2013 - 2014,,,,,,,"17,795.00","6,406.00",0.36
,,2014 - 2015,,,,,,,"17,678.00","6,435.00",0.36
,,2015 - 2016,,,,,,,"15,016.00","11,457.00",0.76
,,2016 - 2017,,,,,,,"11,572.00","9,026.00",0.78
,,2017 - 2018,,,,,,,"15,045.00","7,689.00",0.51
,,2018 - 2019,,,,,,,"11,493.00","13,124.00",1.14
,,2019 - 2020,,,,,,,"16,695.00","16,695.00",1
3. Chhattisgarh,1. Bastar,2020 - 2021,"1,048.00",0,0,,,,,,
,,2021 - 2022,965,0,0,,,,,,
,2. Dantewada,2021 - 2022,3,0,0,,,,,,
,3. Kanker,2020 - 2021,10,0,0,,,,,,
,,2021 - 2022,6,0,0,,,,,,
,4. Raigarh,2020 - 2021,139,0,0,,,,,,
,,2021 - 2022,150,0,0,,,,,,
,5. Surguja,2020 - 2021,2,0,0,,,,,,
,,2021 - 2022,2,0,0,,,,,,
4. Goa,1. North goa,2004 - 2005,"39,987.00","18,714.00",0.47,,,,,,
,,2005 - 2006,"40,109.00","19,734.00",0.49,,,,,,
,,2006 - 2007,"40,282.00","17,765.00",0.44,,,,,,
,,2007 - 2008,"40,508.00","15,327.00",0.38,,,,,,
,,2013 - 2014,"40,712.00","18,115.00",0.44,,,,,,
,,2014 - 2015,"40,819.00","18,297.00",0.45,,,,,,
,,2015 - 2016,"37,516.00","11,817.00",0.31,,,,,,
,,2016 - 2017,"37,603.00","16,433.00",0.44,,,,,,
,,2017 - 2018,"37,087.00","20,846.00",0.56,,,,,,
,,2018 - 2019,"37,219.00","20,553.00",0.55,,,,,,
,,2019 - 2020,"37,259.00","20,472.00",0.55,,,,,,
,,2020 - 2021,"37,402.00","18,556.00",0.5,,,,,,
,,2021 - 2022,"37,430.00","17,149.00",0.46,,,,,,
,,2022 - 2023,"37,463.00","16,995.00",0.45,,,,,,
,2. South goa,2004 - 2005,"14,871.00","6,842.00",0.46,,,,,,
,,2005 - 2006,"14,912.00","7,336.00",0.49,,,,,,
,,2006 - 2007,"15,020.00","6,615.00",0.44,,,,,,
,,2007 - 2008,"15,104.00","6,615.00",0.44,,,,,,
,,2013 - 2014,"15,224.00","6,217.00",0.41,,,,,,
,,2014 - 2015,"15,260.00","6,714.00",0.44,,,,,,
,,2015 - 2016,"19,093.00","5,732.00",0.3,,,,,,
,,2016 - 2017,"19,132.00","7,959.00",0.42,,,,,,
,,2017 - 2018,"19,161.00","7,166.00",0.37,,,,,,
,,2018 - 2019,"19,198.00","7,035.00",0.37,,,,,,
,,2019 - 2020,"19,217.00","8,158.00",0.42,,,,,,
,,2020 - 2021,"19,427.00","8,810.00",0.45,,,,,,
,,2021 - 2022,"19,460.00","8,883.00",0.46,,,,,,
,,2022 - 2023,"19,471.00","8,805.00",0.45,,,,,,
5. Karnataka,1. Bagalkot,2008 - 2009,1,0.61,0.61,,,,,,
,,2009 - 2010,1,1,1,,,,,,
,,2010 - 2011,1,1,1,,,,,,
,,2011 - 2012,1,1,1,,,,,,
,,2012 - 2013,2,2,1,,,,,,
,,2013 - 2014,3,3,1,,,,,,
,,2018 - 2019,16,19,1.19,,,,,,
,,2019 - 2020,15,21,1.4,,,,,,
,,2020 - 2021,27,34,1.26,,,,,,
,,2021 - 2022,37,53,1.43,,,,,,
,,2022 - 2023,10,54,5.4,,,,,,
,2. Bangalore rural,2008 - 2009,44,27.05,0.61,,,,,,
,,2009 - 2010,159,121,0.76,,,,,,
,,2010 - 2011,159,117,0.74,,,,,,
,,2011 - 2012,16,13,0.81,,,,,,
,,2012 - 2013,21,17,0.81,,,,,,
,,2013 - 2014,23,21,0.91,,,,,,
,,2014 - 2015,24,18,0.75,,,,,,
,,2015 - 2016,30,19,0.63,,,,,,
,,2016 - 2017,15,8,0.53,,,,,,
,,2017 - 2018,20,15,0.75,,,,,,
,,2018 - 2019,49,59,1.2,,,,,,
,,2019 - 2020,111,157,1.41,,,,,,
,,2020 - 2021,112,142,1.27,,,,,,
,,2021 - 2022,117,165,1.41,,,,,,
,,2022 - 2023,110,514,4.67,,,,,,
,3. Belgaum,2008 - 2009,634,389.78,0.61,,,,,,
,,2009 - 2010,773,586,0.76,,,,,,
,,2010 - 2011,896,657,0.73,,,,,,
,,2011 - 2012,796,638,0.8,,,,,,
,,2012 - 2013,"1,392.00","1,120.00",0.8,,,,,,
,,2013 - 2014,"1,544.00","1,377.00",0.89,,,,,,
,,2014 - 2015,"1,638.00","3,016.00",1.84,,,,,,
,,2015 - 2016,"1,674.00","3,397.00",2.03,,,,,,
,,2016 - 2017,"1,674.00","5,053.00",3.02,,,,,,
,,2017 - 2018,"1,735.00","5,139.00",2.96,,,,,,
,,2018 - 2019,"5,175.00","7,572.00",1.46,,,,,,
,,2019 - 2020,"5,100.00","6,311.00",1.24,,,,,,
,,2020 - 2021,"5,579.00","10,639.00",1.91,,,,,,
